original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,bleu_score,meteor_score,bertscore,bartscore
"caresse l’horizon de la nuit, cherche le coeur de jais que l’aube recouvre de chair. il mettrait dans tes yeux des pensées innocentes, des flammes, des ailes et des verdures que le soleil n’inventa pas.
ce n’est pas la nuit qui te manque, mais sa puissance.","acaricia o horizonte da noite, busca o coração de azeviche que a aurora recobre de carne. ele te porá nos olhos pensamentos inocentes, chamas, asas e verduras que o sol ainda não inventou.
não é a noite que te falta, mas o seu poder.",fr_XX,pt_XX,"<unk> <unk> da <unk> , <unk> o coração de <unk> , que <unk> de <unk> , em <unk> , e <unk> que o sol <unk> <unk> <unk> em <unk> dos nossos olhos .
<unk> a noite que estão a <unk> , mas a sua <unk> .",0.04924193175306597,0.27773289009957375,0.6214250922203064,0.7133225
"j’avais devant les yeux les ténèbres. l’abîme
qui n’a pas de rivage et qui n’a pas de cime,
était là, morne, immense ; et rien n’y remuait.
je me sentais perdu dans l’infini muet.
au fond, à travers l’ombre, impénétrable voile,
on apercevait dieu comme une sombre étoile.
je m’écriai : — mon âme, ô mon âme ! il faudrait,
pour traverser ce gouffre où nul bord n’apparaît,
et pour qu’en cette nuit jusqu’à ton dieu tu marches,
bâtir un pont géant sur des millions d’arches.
qui le pourra jamais ! personne ! ô deuil ! effroi !
pleure ! — un fantôme blanc se dressa devant moi
pendant que je jetai sur l’ombre un œil d’alarme,
et ce fantôme avait la forme d’une larme ;
c’était un front de vierge avec des mains d’enfant ;
il ressemblait au lys que la blancheur défend ;
ses mains en se joignant faisaient de la lumière.
il me montra l’abîme où va toute poussière,
si profond, que jamais un écho n’y répond;
et me dit : — si tu veux je bâtirai le pont.
vers ce pâle inconnu je levai ma paupière.
— quel est ton nom ? lui dis-je. il me dit: — la prière.","diante de mim, a escuridão. a voragem
que não tem cimo e que nem sequer tem margem
lá estava, sombria, imensa; nada nela mexia.
perdido no mundo infinito eu me sentia.
ao longe, através da sombra, impenetrável véu,
entrevia-se deus, pálida estrela no céu.
clamei: – ó alma, alma minha! eu precisava,
para atravessar o abismo cujo fim não vislumbrava,
e para durante a noite até deus eu ascender,
de construir uma ponte e em mil arcos a estender.
quem o conseguirá? ninguém!ó dor! tormento!
chora! – um fantasma branco ergueu-se no momento
em que à sombra um olhar de temor eu deitava.
a forma de uma lágrima esse fantasma mostrava;
tinha uma fronte de virgem e duas mãos de criança;
lembrava um lírio que toda a brancura alcança;
as suas duas mãos juntas acendiam uma luz.
apontou o abismo onde tudo a pó se reduz,
tão fundo que nem o eco aí segue a sua lei,
e disse-me: – se quiseres, a ponte construirei.
para o desconhecido ergui meus olhos do chão.
-como te chamas? perguntei. respondeu: – a oração.",fr_XX,pt_XX,"<unk> à frente dos olhos .
<unk> que não se trata da terra e <unk> .
<unk> <unk> enorme ; e não <unk> <unk> .
Sentia-me perdido em <unk> <unk> .
<unk> através do &quot; <unk> &quot; em <unk> .
<unk> Deus como uma escuridão .
<unk> : &quot; O meu <unk> <unk> o meu espírito ! &quot;
O que é que se passa para o que se passa com o <unk> .
<unk> esta noite <unk> o vosso Deus <unk> o vosso Deus .
Vamos construir uma ponte gigante em milhões de dólares .
&quot; O que é que eu podia fazer ! &quot; Ninguém !
A chorar ! Um fantasma branco está a <unk> à minha frente .
Enquanto eu estava a trabalhar em <unk> um olho <unk> .
e o fantasma tinha a forma <unk> .
<unk> um grupo de diâmetro com as mãos .
Estava no <unk> que a <unk> <unk> .
As suas mãos estão a <unk> da <unk> .
<unk> <unk> em que ele estava a <unk> .
<unk> que nunca um &quot; deepfake &quot; <unk> <unk> .
E eu : &quot; Se quiserem o <unk> o <unk> &quot; ,
O que eu estava a dizer é que eu estava a <unk> a minha <unk> .
— o que é o vosso nome ? O que é que ele estava a fazer ?",0.017821342660765543,0.2111098153515432,0.6017763614654541,0.9069002
"souvenir d’enfance
j’entendais en pleine nuit,
un son régulier,
comme une chanson dans le noir,
coupant le silence de la nuit.
je me paniquais, je criais maman.
mon petit frère se réveillait,
entendait la chanson dans le noir.
mon petit frère se paniquait,
et criait maman aussi.
la voix de maman,
magie, splendeur, douceur dans la nuit.
elle nous assurait que ce son,
n’était que papa en train de ronfler.
mais ce son ainsi insistant,
ouvrait les ailes de l’imagination,
la peur nous envahissait,
et voilà que tout à coup, ups !
quatre petites jambes pardessus le barreau,
du berceau où nous dormions.
et ainsi bien collés,
au chaud entre papa et maman,
mon petit frère et moi,
nous dormions comme si on était,
dans le ciel, dans les bras de dieu …","lembrança de infancia
eu ouvia em plena madrugada,
um som regular,
como uma canção na escuridão,
cortando o silencio da noite.
em pânico, eu gritava mamãe.
meu irmãozinho se acordava,
escutava a canção na escuridão.
meu irmãozinho em pânico,
gritava mamãe tambem.
a voz de mamãe …
magia, esplendor e brandura na escuridão.
ela nos assegurava que este som,
era so papai roncando no seu sono.
mas esse som assim persistente,
abria as asas da imaginação,
o mêdo nos invadia,
e eis que de repente, ups !
quatro perninhas por cima da barra,
do berço onde dormíamos.
e assim bem agarradinhos,
no quentinho entre papai e mamãe,
meu irmãozinho e eu,
nós dormíamos como si estivéssemos,
no céu, nos braços de deus …",fr_XX,pt_XX,"<unk> <unk> <unk> .
<unk> em <unk> .
Um som <unk> um som .
como uma canção no <unk> .
<unk> o silêncio da <unk> .
Eu estava a <unk> <unk> .
O meu irmão <unk> o meu irmão .
<unk> a música no <unk> .
O meu irmão <unk> o meu irmão .
e a gritar mãe .
A voz de <unk> .
<unk> <unk> <unk> em <unk> .
<unk> que este &quot; <unk> &quot; <unk> que este &quot; <unk> &quot; <unk> que o <unk>
<unk> que o pai está a <unk> .
Mas o som desta forma <unk> .
<unk> as asas de <unk> .
O medo <unk> o medo do medo .
E , em <unk> <unk> !
As quatro pernas <unk> o <unk> .
<unk> em que estamos a <unk> .
e assim bem <unk> .
No meio do pai , e <unk> .
O meu irmão e <unk> o meu irmão .
<unk> como se estivéssemos a <unk> .
<unk> nos braços de Deus .",0.04447661602210947,0.23631609379375812,0.6193281412124634,0.8650012
"horloge! dieu sinistre, effrayant, impassible,
dont le doigt nous menace et nous dit: “souviens-toi!
les vibrantes douleurs dans ton cœur plein d’effroi
se planteront bientôt comme dans une cible;
le plaisir vaporeux fuira vers l’horizon
ainsi qu’une sylphide au fond de la coulisse;
chaque instant te dévore un morceau du délice
a chaque homme accordé pour toute sa saison.
trois mille six cents fois par heure, la seconde
chuchote: souviens-toi! — rapide, avec sa voix
d’insecte, maintenant dit: je suis autrefois,
et j’ai pompé ta vie avec ma trompe immonde!
remember! souviens-toi! prodigue! esto memor!
(mon gosier de métal parle toutes les langues.)
les minutes, mortel folâtre, sont des gangues
qu’il ne faut pas lâcher sans en extraire l’or!
souviens-toi que le temps est un jouer avide
qui gagne sans tricher, à tout coup! c’est la loi.
le jour décroît; la nuit augmente; souviens-toi!
la gouffre a toujours soif; la clepsydre se vide.","relógio! deus sinistro, hediondo, indiferente,
que nos aponta o dedo em riste e diz: “recorda!
a dor vibrante que a lama em pânico te acorda
como num alvo há de encravar-se brevemente;
vaporoso, o prazer fugirá no horizonte
como uma sílfide por trás dos bastidores;
cada instante devora os melhores sabores
que todo homem degusta antes que a morte o afronte.
três mil seiscentas vezes por hora, o segundo
te murmura: recorda! — e logo, sem demora,
com voz de inseto, o agora diz: eu sou o outrora,
e te suguei a vida com meu bulbo imundo!
remember! souviens-toi! esto memor! (eu falo
qualquer idioma em minha goela de metal.)
cada minuto é como uma ganga, ó mortal,
e há que extrair todo o ouro até purificá-lo!
recorda: o tempo é sempre um jogador atento
que ganha, sem furtar, cada jogada! é a lei.
o dia vai, a noite vem; recordar-te-ei!
esgota-se a clepsidra; o abismo está sedento.",fr_XX,pt_XX,"<unk> Deus <unk> <unk> <unk> <unk> .
O que é que o dedo nos leva e <unk> <unk> <unk> .
O que é que se passa com o seu coração .
<unk> em breve como uma <unk> em breve .
O prazer <unk> <unk> para <unk> .
Por isso , <unk> <unk> no fundo da <unk> .
Todos os dias <unk> um pedaço do prazer .
Todos os homens <unk> a toda a sua <unk> .
São três mil milhões de dólares por ano .
<unk> <unk> , <unk> com a sua voz .
<unk> agora <unk> eu sou <unk> .
e <unk> <unk> a tua vida com a minha vida com a minha vida .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> <unk> de metal .
Os <unk> mortal são <unk> .
<unk> não temos de acabar com o <unk> .
<unk> que o tempo está a brincar .
<unk> sem <unk> a toda a <unk> <unk> a <unk> .
O dia <unk> a noite .
<unk> sempre a <unk> <unk> a <unk> .",0.0177709547347203,0.1797880040263873,0.6107122898101807,0.8615518
"o muse de mon cœur, amante des palais,
auras-tu, quand janvier lâchera ses borées,
durant les noirs ennuis des neigeuses soirées,
un tison pour chauffer tes deux pieds violets?
ranimeras-tu donc tes épaules marbrées
aux nocturnes rayons qui percent les volets?
sentant ta bourse à sec autant que ton palais,
récolteras-tu l’or des voûtes azurées?
il te faut, pour gagner ton pain de chaque soir,
comme un enfant de chœur, jouer de l’encensoir,
chanter des te deum auxquels tu ne crois guère,
ou, saltimbanque à jeun, étaler tes appas
et ton rire trempé de pleurs qu’on ne voit pas,
pour faire épanouir la rate du vulgaire.","ó musa de minha alma, amante dos palácios,
terás, quando janeiro desatar seus ventos,
no tédio negro dos crepúsculos nevoentos,
uma brasa que esquente os teus dois pés violáceos?
aquecerás teus níveos ombros sonolentos
na luz noturna que os postigos deixam coar?
sem um níquel na bolsa e seco o paladar,
colherás o ouro dos cerúleos firmamentos?
tens que, para ganhar o pão de cada dia,
esse turíbulo agitar na sacristia,
entoar esses te deum que nada têm de novo,
ou, bufão em jejum, exibir teus encantos
e teu riso molhado de invisíveis prantos
para desopilar o fígado do povo.",fr_XX,pt_XX,"<unk> <unk> do meu <unk> <unk> .
<unk> quando janeiro <unk> os seus <unk> .
Durante os negros , <unk> <unk> .
Um &quot; <unk> &quot; para o outro dos dois pés .
Por isso , <unk> os ombros <unk> .
<unk> os <unk> que <unk> os <unk> .
<unk> a tua bolsa em seca , como o vosso <unk> .
<unk> <unk> dos <unk> <unk> .
<unk> para ganhar o seu pão de cada <unk> .
como uma criança de <unk> de <unk> de <unk> .
<unk> os <unk> que não se sentem <unk> .
<unk> <unk> a <unk> <unk> .
e o teu pai <unk> de chorar não consegue ver <unk> .
Para fazer o <unk> do &quot; <unk> &quot; do &quot; <unk> &quot; do &quot; <unk> &quot; do",0.017351165962691952,0.18217219411940347,0.5528028011322021,0.8739833
"ô colombe qui meurs dans le ciel azuré,
rouvre un instant les yeux, mourante aux blanches ailes !
le vautour qui te tue expire, déchiré
par des flèches mortelles.
va, tu tombes vengée, ô victime, et ta sœur
peut voir, en traversant la forêt d’ombre pleine,
l’oiseau tout sanglant pendre au carquois d’un chasseur
qui passe dans la plaine.
le jeune archer, folâtre et chantant des chansons,
passe, sa proie au dos, par les herbes fleuries,
laissant déchiqueter par les dents des buissons
ces dépouilles meurtries.","ó pomba que fenece no céu azulado,
reabre os olhos e a asa branca, enquanto cais!
pois morre o teu algoz, o abutre é lacerado
pelas flechas mortais.
ó vítima que cai, alguém já te vingou,
e pelo bosque em sombras, vê-se o teu irmão
sangrando, atado à aljava de um caçador
que canta uma canção.
pelos prados, o arqueiro jovial brincando
passa entre a relva em flor, com a sua presa atrás,
enquanto os dentes dos arbustos vão rasgando
os seus restos mortais!",fr_XX,pt_XX,"<unk> <unk> que <unk> no céu <unk> .
<unk> um minuto com os <unk> .
O protocolo que estão a matar <unk> <unk> .
<unk> <unk> .
<unk> <unk> <unk> <unk> <unk> e a tua irmã .
Pode <unk> a floresta <unk> .
<unk> <unk> <unk> em <unk> <unk> .
que se passa na <unk> .
O jovem <unk> <unk> e a cantar .
<unk> a sua deusa em <unk> , através das ervas <unk> .
<unk> os dentes pelos dentes .
<unk> <unk> .",0.012911045942587615,0.1483615160349854,0.5874848961830139,0.81453073
"je te voulais auprès de moi …
mais je ne savais pas où te trouver,
je voulais t’appeler,
mais je ne savais pas en quelle direction,
je voulais de ton amour,
mais je ne savais pas qu’il existait.
combien de fois dans mes rêves,
je t’ai emmené auprès de moi …
je rêvais de toi, sans t’avoir jamais vu.
je rêvais de ton êtr sans t’avoir jamais rencontré.
je t’ emmenais déjà auprès de moi …
je sentais ta chaleur sans que je sache que c’était la tienne.
je sentais ta vibration sans que je sache que c’était toi.
je sentais tes baisers sans que je sache que c’étaient tes lèvres.
aujourd’hui, t’es rentré dans mon âme,
comme une brise câline et ardente,
m’apportant paix et sérénité.
je te respire, je te sens, je te vis profondément.
reste auprès de moi …","eu ja te queria perto de mim …
mas não sabia onde te encontrar,
eu queria te chamar,
mas não sabia em qual direção,
eu queria do teu amor,
mas não sabia que ele existia.
quantas vezes nos meus sonhos,
eu te levei junto a mim …
eu sonhava contigo, sem nunca ter te visto.
eu sonhava com teu ser, sem nunca ter te encontrado.
eu ja te levava junto a mim …
eu sentia teu calor, sem que eu soubesse que era o teu.
eu sentia tua vibração, sem que eu soubesse que eras tu.
eu sentia teus beijos, sem que eu soubesse que eram teus lábios.
hoje, tu entraste na minha alma,
como uma brisa meiga e cálida,
me trazendo paz e serenidade.
eu te respiro, te sinto, te vivo profundamente.
ficas comigo …",fr_XX,pt_XX,"Eu queria sair de mim .
Mas eu não sabia onde estão a <unk> .
Eu queria <unk> .
Mas eu não sabia o que <unk> .
Eu queria o teu &quot; <unk> &quot; .
Mas eu não sabia <unk> <unk> .
Quanto mais tempo nos meus <unk> .
Eu estava a <unk> a mim .
Eu estava a trabalhar em <unk> sem <unk> .
Eu estava a sair da tua <unk> sem <unk> .
Eu estava a tentar <unk> .
Sabia o vosso calor sem conta que a <unk> a <unk> a <unk> .
Eu estava a sentir o seu &quot; <unk> &quot; sem que eu gostava que <unk> <unk> <unk> .
Eu estava a sentir o que eu estava a fazer .
<unk> <unk> decidiu sair do meu <unk> .
como uma colmeia <unk> e <unk> .
<unk> paz e <unk> .
Eu estou a <unk> eu <unk> <unk> .
O que é que eu estava a fazer é o que eu estava a fazer .",0.026399380500122135,0.22575172465506896,0.6536834239959717,0.9049765
"homme, libre penseur ! te crois-tu seul pensant
dans ce monde où la vie éclate en toute chose?
des forces que tu tiens ta liberté dispose,
mais de tous tes conseils l’univers est absent.
respecte dans la bête un esprit agissant:
chaque fleur est une âme à la nature éclose;
un mystère d’amour dans le métal repose;
« tout est sensible ! » et tout sur ton être est puissant.
crains, dans le mur aveugle, un regard qui t’épie:
à la matière même un verbe est attaché…
ne la fais pas servir à quelque usage impie!
souvent dans l’être obscur habite un dieu caché;
et comme un œil naissant couvert par ses paupières,
un pur esprit s’accroît sous l’écorce des pierres!","homem! livre pensador! serás o único que pensa
neste mundo onde a vida cintila em cada ente?
de tuas forças tua liberdade dispõe naturalmente,
mas teus conselhos todos o universo dispensa.
honra na fera o espírito que fermenta…
cada flor é uma alma em natura nascente;
um mistério de amor no metal reside dormente;
“tudo é sensível!” e poderoso em teu ser se apresenta.
receia, no muro cego, um olhar curioso:
à própria matéria encontra-se um verbo unido…
não te sirvas dela para qualquer fim impiedoso!
quase sempre no ser obscuro mora um deus escondido.
e, como um olho novo coberto por suas pálpebras,
um espírito puro medra sob a crosta das pedras!",fr_XX,pt_XX,"<unk> aberto ! <unk> sozinho .
Neste mundo , em que a vida está a ser a vida .
As forças que querem a vossa liberdade <unk> .
Mas , de qualquer modo , o conselho <unk> é <unk> .
O que é que se passa com a mente .
Cada flor é uma alma à natureza .
Um mistério <unk> no Museu <unk> .
&quot; <unk> &quot; , e tudo sobre o vosso ser <unk> .
<unk> na parede <unk> um olhar que <unk> .
Até a matéria até um &quot; marshmallow &quot; é <unk> .
Não se trata de usar uma utilização <unk> .
Muitas vezes , em <unk> negro vive um Deus <unk> .
e como um olho <unk> por causa dos seus <unk> .
Um grande espírito <unk> sob o <unk> dos <unk> .",0.046712658961693625,0.29792898414404734,0.6673164367675781,0.9283271
"dites-moi où, n’en quel pays,
est flora la belle romaine,
archipiades, ne thaïs,
qui fut sa cousine germaine,
echo, parlant quant bruit on mène
dessus rivière ou sur étang,
qui beauté eut trop plus qu’humaine?
mais où sont les neiges d’antan?
où est la très sage héloïs,
pour qui fut châtré et puis moine
pierre esbaillart à saint-denis?
pour son amour eut cette essoine.
semblablement, où est la roine
qui commanda que buridan
fût jeté en un sac en seine?
mais où sont les neiges d’antan?
la roine blanche comme un lis
qui chantait à voix de sirène,
berthe au grand pied, bietrix, aliz,
haramburgis qui tint le maine,
et jeanne, la bonne lorraine
qu’anglais brûlèrent à rouen ;
où sont-ils, où, vierge souvraine?
mais où sont les neiges d’antan?
prince, n’enquerrez de semaine
où elles sont, ni de cet an,
que ce refrain ne vous remaine:
mais où sont les neiges d’antan?","ora dizei-me em que país
flora estará, bela romana,
arquipiades ou taís
que sua prima foi germana.
eco a falar, quando um som plana
por rio ou lago, e que já tem o
dom de formosa mais que humana?
mas onde estão neves de antanho?
onde é mui sábia heloís
por quem castrado e monge pena
pedro balerdo em s. dinis?
amor lhe deu provação plena.
e assim também onde é que reina
essa que a buridan por banho
mandou deitar num saco ao sena?
mas onde estão neves de antanho?
rainha branca como um lis,
voz que a sereia em canto irmana,
berta pé-grande, alis, biatriz,
aremburgis que foi menana,
e de lorena a boa joana
qu’ingrês em ruão queimou no lenho.
onde estão, virgem soberana?
mas onde estão neves de antanho?
senhor, cuidar de ano ou semana
onde elas são, não voz traz ganho,
nem meu refrão a vós engana:
mas onde estão as neves de antanho?",fr_XX,pt_XX,"<unk> <unk> <unk> que <unk> <unk> .
<unk> a bela <unk> .
<unk> não <unk> .
que foi a sua coluna <unk> .
<unk> falar sobre o barulho .
Em <unk> ou em <unk> .
que a beleza teve mais <unk> .
Mas , em que são os <unk> <unk> .
O que é que é o que é que é a que é
Para quem foi <unk> e o Brian e o diretor , e depois
<unk> a <unk> .
O seu amor teve esta <unk> .
<unk> onde é a <unk> .
que <unk> que a <unk> que <unk> que a <unk> que <unk> que
Foi uma mochila em <unk> .
Mas , em que são os <unk> <unk> .
A <unk> branca como uma arma .
que estava a lutar para a voz de <unk> .
<unk> no grande <unk> <unk> .
<unk> que <unk> o <unk> .
e <unk> a boa <unk> .
<unk> <unk> em <unk> .
O que é que <unk> <unk> em branco .
Mas , em que são os <unk> <unk> .
<unk> <unk> de semana .
Onde estão a <unk> ou este &quot; <unk> &quot; .
O que é que este &quot; <unk> &quot; não nos diz que o
Mas , em que são os <unk> <unk> .",0.013584278203977491,0.1675350428402712,0.6137225031852722,0.89463973
"sous le pont mirabeau coule la seine
et nos amours
faut-il qu’il m’em souvienne
la joie venait toujours après la peine
vienne la nuit sonne l’heure
les jours s’en vont je demeure
les mains dans les mains restons face à face
tandis que sous
le pont de nos bras passe
des éternels regards l’onde si lasse
vienne la nuit sonne l’heure
les jours s’en vont je demeure
l’amour s’en va comme cette eau courante
l’amour s’en va
comme la vie est lente
et comme l’espérance est violente
vienne la nuit sonne l’heure
les jours s’en vont je demeure
passent les jours et passent les semaines
ni temps passé
ni les amours reviennet
sous le pont mirabeau coule la seine
vienne la nuit sonne l’heure
les jours s’en vont je demeure","escorre sob a ponte o rio sena
e em nossos amores
a lembrança me acena
vinha sempre o prazer depois da pena
que venha a noite e soe a hora
os dias se vão não vou embora
mãos nas mãos esperemos face a face
até que sob a ponte
dos nossos braços passe
o eterno desse olhar em nosso enlace
que venha a noite e soe a hora
os dias se vão não vou embora
o amor se vai como água turbulenta
assim o amor se vai
e como a vida é lenta
e como esta esperança é violenta
que venha a noite e soe a hora
os dias se vão não vou embora
os dias passam passam as semanas
não voltam o passado
nem as paixões humanas
e o sena flui em águas soberanas
que venha a noite e soe a hora
os dias se vão não vou embora
os dias passam passam mas que pena
passado amor
nenhuma volta acena
na ponte mirabeau se vai o sena
a noite venha sem demora
eu fico e o tempo vai embora",fr_XX,pt_XX,"A ponte <unk> <unk> .
e os nossos <unk> .
<unk> <unk> <unk> .
A alegria era sempre depois da pena .
<unk> a noite .
Os dias <unk> .
As mãos estão a lidar com as mãos .
À medida que sob baixo do que sob baixo do que sob baixo do que sob
O convés dos nossos braços está a passar .
<unk> <unk> .
<unk> a noite .
Os dias <unk> .
<unk> <unk> , como esta água .
<unk> <unk> vai <unk> .
A vida é lenta como a vida é lenta .
e como <unk> é violento .
<unk> a noite .
Os dias <unk> .
<unk> os dias e passam as semanas .
ou tempo passado .
nem os <unk> <unk> .
A ponte <unk> <unk> .
<unk> a noite .
Os dias <unk> .",0.06045089586290115,0.24190894994782564,0.6263155341148376,0.9348164
