,bartscore_openrnn_opus,bartscore_openrnn_ft,bartscore_marianmt_pt,bartscore_marianmt_ft,bartscore_mbart_pt,bartscore_mbart_ft,bartscore_google,bartscore_chatgpt_p1,bartscore_chatgpt_p2,bartscore_maritaca_p1,bartscore_maritaca_p2
bartscore_openrnn_opus,1.0,0.9999956711592952,5.00570931272204e-05,0.9000720533882488,1.4194810111778366e-06,0.35776248681864864,6.936258234446768e-10,4.285460875053104e-14,3.073304943868038e-10,8.071321389024888e-14,7.357263243079615e-09
bartscore_openrnn_ft,0.9999956711592952,1.0,4.239306465758652e-06,0.631955663839615,8.803462425710507e-08,0.12914357745196858,2.4665491871189715e-11,8.881784197001252e-16,1.0357714685937935e-11,1.6653345369377348e-15,3.073304943868038e-10
bartscore_marianmt_pt,5.00570931272204e-05,4.239306465758652e-06,1.0,0.03336113206435287,0.9998859624906091,0.30949335905446185,0.738171404543536,0.06091386441555946,0.6594702976668931,0.07634889692234248,0.914211173264339
bartscore_marianmt_ft,0.9000720533882488,0.631955663839615,0.03336113206435287,1.0,0.002972995694509928,0.9988646738567695,9.896006423426584e-06,4.398877373468224e-09,5.252151883627931e-06,7.357263243079615e-09,6.0869411737107804e-05
bartscore_mbart_pt,1.4194810111778366e-06,8.803462425710507e-08,0.9998859624906091,0.002972995694509928,1.0,0.06091386441555968,0.9819389201078085,0.30949335905446085,0.9649855977574301,0.3577624868186481,0.9988646738567695
bartscore_mbart_ft,0.35776248681864864,0.12914357745196858,0.30949335905446185,0.9988646738567695,0.06091386441555968,1.0,0.0006680709072086621,9.066502378862751e-07,0.00039390783313875133,1.4194810111778366e-06,0.002972995694509928
bartscore_google,6.936258234446768e-10,2.4665491871189715e-11,0.738171404543536,9.896006423426584e-06,0.9819389201078085,0.0006680709072086621,1.0,0.9715949811877995,0.9999999999949579,0.9819389201078086,0.9999997324737218
bartscore_chatgpt_p1,4.285460875053104e-14,8.881784197001252e-16,0.06091386441555946,4.398877373468224e-09,0.30949335905446085,9.066502378862751e-07,0.9715949811877995,1.0,0.9858626636722673,0.999999999999912,0.8675571001643083
bartscore_chatgpt_p2,3.073304943868038e-10,1.0357714685937935e-11,0.6594702976668931,5.252151883627931e-06,0.9649855977574301,0.00039390783313875133,0.9999999999949579,0.9858626636722673,1.0,0.9916848518588476,0.9999956711592952
bartscore_maritaca_p1,8.071321389024888e-14,1.6653345369377348e-15,0.07634889692234248,7.357263243079615e-09,0.3577624868186481,1.4194810111778366e-06,0.9819389201078086,0.999999999999912,0.9916848518588476,1.0,0.9000720533882485
bartscore_maritaca_p2,7.357263243079615e-09,3.073304943868038e-10,0.914211173264339,6.0869411737107804e-05,0.9988646738567695,0.002972995694509928,0.9999997324737218,0.8675571001643083,0.9999956711592952,0.9000720533882485,1.0
