,bertscore_openrnn_opus,bertscore_openrnn_ft,bertscore_marianmt_pt,bertscore_marianmt_ft,bertscore_mbart_pt,bertscore_mbart_ft,bertscore_google,bertscore_chatgpt_p1,bertscore_chatgpt_p2,bertscore_maritaca_p1,bertscore_maritaca_p2
bertscore_openrnn_opus,1.0,0.9999999999999999,7.229496030713989e-07,0.3331801021384748,0.00019030095146788106,0.011452356772405192,3.219646771412954e-15,0.0,1.298294804996658e-12,8.071321389024888e-14,5.765277144575975e-12
bertscore_openrnn_ft,0.9999999999999999,1.0,9.066502378862751e-07,0.35776248681864864,0.0002288209073116887,0.013180072815799027,4.440892098500626e-15,0.0,1.7544854458151349e-12,1.1057821325266559e-13,7.73336950032899e-12
bertscore_marianmt_pt,7.229496030713989e-07,9.066502378862751e-07,1.0,0.048180946276923486,0.9937627586028395,0.6319556638396147,0.2061147559661226,0.00640596499915691,0.6864369055844028,0.4361232571811713,0.8084199761341706
bertscore_marianmt_ft,0.3331801021384748,0.35776248681864864,0.048180946276923486,1.0,0.5193250598187985,0.9819389201078086,1.8003281898604229e-07,1.0166789632393147e-10,1.2185059932945386e-05,1.7720900381545945e-06,3.369311630707639e-05
bertscore_mbart_pt,0.00019030095146788106,0.0002288209073116887,0.9937627586028395,0.5193250598187985,1.0,0.9966597182110019,0.008597450734670331,6.0869411737107804e-05,0.09485416643914313,0.03336113206435287,0.15681496978559128
bertscore_mbart_ft,0.011452356772405192,0.013180072815799027,0.6319556638396147,0.9819389201078086,0.9966597182110019,1.0,0.00013098391624211114,2.8788638273269385e-07,0.0034788846966840037,0.000794041307372928,0.007428160701507758
bertscore_google,3.219646771412954e-15,4.440892098500626e-15,0.2061147559661226,1.8003281898604229e-07,0.008597450734670331,0.00013098391624211114,1.0,0.9890806627445242,0.9996874656062953,0.999999254004174,0.9976208548730544
bertscore_chatgpt_p1,0.0,0.0,0.00640596499915691,1.0166789632393147e-10,6.0869411737107804e-05,2.8788638273269385e-07,0.9890806627445242,1.0,0.7381714045435366,0.9142111732643393,0.6040376486990131
bertscore_chatgpt_p2,1.298294804996658e-12,1.7544854458151349e-12,0.6864369055844028,1.2185059932945386e-05,0.09485416643914313,0.0034788846966840037,0.9996874656062953,0.7381714045435366,1.0,0.9999997324737218,0.9999999991857873
bertscore_maritaca_p1,8.071321389024888e-14,1.1057821325266559e-13,0.4361232571811713,1.7720900381545945e-06,0.03336113206435287,0.000794041307372928,0.999999254004174,0.9142111732643393,0.9999997324737218,1.0,0.9999812632061638
bertscore_maritaca_p2,5.765277144575975e-12,7.73336950032899e-12,0.8084199761341706,3.369311630707639e-05,0.15681496978559128,0.007428160701507758,0.9976208548730544,0.6040376486990131,0.9999999991857873,0.9999812632061638,1.0
