,bleu_openrnn_opus,bleu_openrnn_ft,bleu_marianmt_pt,bleu_marianmt_ft,bleu_mbart_pt,bleu_mbart_ft,bleu_google,bleu_chatgpt_p1,bleu_chatgpt_p2,bleu_maritaca_p1,bleu_maritaca_p2
bleu_openrnn_opus,1.0,0.9999997324737218,0.00019030095146788106,0.005514243390647655,0.015139264119143792,8.957703302647779e-05,0.0,1.6653345369377348e-15,1.7729184786929864e-10,3.1897817720505373e-12,1.5446071088831559e-09
bleu_openrnn_ft,0.9999997324737218,1.0,3.369311630707639e-05,0.0013197180741124637,0.0040635697020510175,1.4980377662343614e-05,0.0,1.1102230246251565e-16,1.385236370055054e-11,2.0650148258027912e-13,1.3435708101638966e-10
bleu_marianmt_pt,0.00019030095146788106,3.369311630707639e-05,1.0,0.9995064689380725,0.9937627586028395,0.9999999999113933,0.0003292121683705629,0.00640596499915691,0.40932198544608656,0.12914357745196892,0.6319556638396147
bleu_marianmt_ft,0.005514243390647655,0.0013197180741124637,0.9995064689380725,1.0,0.9999999772737034,0.9976208548730544,6.4970056573576684e-06,0.0002288209073116887,0.06827058164610988,0.011452356772405303,0.15681496978559128
bleu_mbart_pt,0.015139264119143792,0.0040635697020510175,0.9937627586028395,0.9999999772737034,1.0,0.9819389201078086,1.4194810111778366e-06,6.0869411737107804e-05,0.02939224878229263,0.0040635697020510175,0.07634889692234248
bleu_mbart_ft,8.957703302647779e-05,1.4980377662343614e-05,0.9999999999113933,0.9976208548730544,0.9819389201078086,1.0,0.0006680709072086621,0.011452356772405192,0.5193250598187984,0.1886175998003754,0.738171404543536
bleu_google,0.0,0.0,0.0003292121683705629,6.4970056573576684e-06,1.4194810111778366e-06,0.0006680709072086621,1.0,0.9998080125983243,0.5193250598187988,0.8675571001643083,0.30949335905446185
bleu_chatgpt_p1,1.6653345369377348e-15,1.1102230246251565e-16,0.00640596499915691,0.0002288209073116887,6.0869411737107804e-05,0.011452356772405192,0.9998080125983243,1.0,0.9269593846299171,0.9976208548730544,0.7861306221656197
bleu_chatgpt_p2,1.7729184786929864e-10,1.385236370055054e-11,0.40932198544608656,0.06827058164610988,0.02939224878229263,0.5193250598187984,0.5193250598187988,0.9269593846299171,1.0,0.9999812632061638,0.9999999155147986
bleu_maritaca_p1,3.1897817720505373e-12,2.0650148258027912e-13,0.12914357745196892,0.011452356772405303,0.0040635697020510175,0.1886175998003754,0.8675571001643083,0.9976208548730544,0.9999812632061638,1.0,0.9988646738567695
bleu_maritaca_p2,1.5446071088831559e-09,1.3435708101638966e-10,0.6319556638396147,0.15681496978559128,0.07634889692234248,0.738171404543536,0.30949335905446185,0.7861306221656197,0.9999999155147986,0.9988646738567695,1.0
