,meteor_openrnn_opus,meteor_openrnn_ft,meteor_marianmt_pt,meteor_marianmt_ft,meteor_mbart_pt,meteor_mbart_ft,meteor_google,meteor_chatgpt_p1,meteor_chatgpt_p2,meteor_maritaca_p1,meteor_maritaca_p2
meteor_openrnn_opus,1.0,0.9966597182110019,0.0025361559609516915,0.011452356772405192,0.03778822236011159,0.0011160321372771786,1.1102230246251565e-16,6.217248937900877e-15,4.398877373468224e-09,7.68174412968392e-11,6.91487588300177e-08
meteor_openrnn_ft,0.9966597182110019,1.0,2.7577486077956515e-05,0.00019030095146788106,0.0009421698859126693,9.896006423426584e-06,0.0,0.0,4.291567101688543e-12,4.285460875053104e-14,1.0166789632393147e-10
meteor_marianmt_pt,0.0025361559609516915,2.7577486077956515e-05,1.0,0.999999254004174,0.9996874656062953,0.9999999991857873,0.00015800859151715585,0.0011160321372771786,0.3331801021384748,0.08519492428355224,0.6319556638396147
meteor_marianmt_ft,0.011452356772405192,0.00019030095146788106,0.999999254004174,1.0,0.9999997324737218,0.999964197232999,2.2536585766896877e-05,0.00019030095146788106,0.1424754447005775,0.0258428991045897,0.35776248681864864
meteor_mbart_pt,0.03778822236011159,0.0009421698859126693,0.9996874656062953,0.9999997324737218,1.0,0.9976208548730544,3.416545398038373e-06,3.369311630707639e-05,0.05423257045994545,0.007428160701507758,0.1721888370507374
meteor_mbart_ft,0.0011160321372771786,9.896006423426584e-06,0.9999999991857873,0.999964197232999,0.9976208548730544,1.0,0.00039390783313875133,0.0025361559609516915,0.4634693146539397,0.1424754447005775,0.7626810314403387
meteor_google,1.1102230246251565e-16,0.0,0.00015800859151715585,2.2536585766896877e-05,3.416545398038373e-06,0.00039390783313875133,1.0,0.9999981241423055,0.49124480543522275,0.8675571001643083,0.22468583421406618
meteor_chatgpt_p1,6.217248937900877e-15,0.0,0.0011160321372771786,0.00019030095146788106,3.369311630707639e-05,0.0025361559609516915,0.9999981241423055,1.0,0.7861306221656197,0.9819389201078086,0.49124480543522364
meteor_chatgpt_p2,4.398877373468224e-09,4.291567101688543e-12,0.3331801021384748,0.1424754447005775,0.05423257045994545,0.4634693146539397,0.49124480543522275,0.7861306221656197,1.0,0.999964197232999,0.9999981241423055
meteor_maritaca_p1,7.68174412968392e-11,4.285460875053104e-14,0.08519492428355224,0.0258428991045897,0.007428160701507758,0.1424754447005775,0.8675571001643083,0.9819389201078086,0.999964197232999,1.0,0.9953961004343003
meteor_maritaca_p2,6.91487588300177e-08,1.0166789632393147e-10,0.6319556638396147,0.35776248681864864,0.1721888370507374,0.7626810314403387,0.22468583421406618,0.49124480543522364,0.9999981241423055,0.9953961004343003,1.0
