,bertscore_openrnn_opus,bertscore_openrnn_ft,bertscore_marianmt_pt,bertscore_marianmt_ft,bertscore_mbart_pt,bertscore_mbart_ft,bertscore_google,bertscore_chatgpt_p1,bertscore_chatgpt_p2,bertscore_maritaca_p1,bertscore_maritaca_p2
bertscore_openrnn_opus,1.0,0.9999981241423055,5.00570931272204e-05,0.2061147559661224,0.3831704675906591,0.0021596849396697815,1.7729184786929864e-10,0.0,8.881784197001252e-16,1.63202784619898e-14,3.11972669919669e-14
bertscore_openrnn_ft,0.9999981241423055,1.0,5.252151883627931e-06,0.06827058164610988,0.1568149697855914,0.0003292121683705629,7.73336950032899e-12,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16
bertscore_marianmt_pt,5.00570931272204e-05,5.252151883627931e-06,1.0,0.49124480543522275,0.28676023337037804,0.9992419233031417,0.6040376486990119,0.0021596849396697815,0.013180072815799027,0.04271407426182583,0.05423257045994556
bertscore_marianmt_ft,0.2061147559661224,0.06827058164610988,0.49124480543522275,1.0,0.9999999155147986,0.9484442572308379,0.0009421698859126693,1.5736754566120226e-08,2.8788638273269385e-07,2.2089277509351746e-06,3.416545398038373e-06
bertscore_mbart_pt,0.3831704675906591,0.1568149697855914,0.28676023337037804,0.9999999155147986,1.0,0.8294638472138312,0.0002288209073116887,2.0110392240368924e-09,4.2471157701839957e-08,3.632246718954235e-07,5.755983111255247e-07
bertscore_mbart_ft,0.0021596849396697815,0.0003292121683705629,0.9992419233031417,0.9484442572308379,0.8294638472138312,1.0,0.12914357745196858,5.00570931272204e-05,0.00047053772248895065,0.0021596849396697815,0.002972995694509928
bertscore_google,1.7729184786929864e-10,7.73336950032899e-12,0.6040376486990119,0.0009421698859126693,0.0002288209073116887,0.12914357745196858,1.0,0.6319556638396147,0.9000720533882488,0.9819389201078085,0.9890806627445243
bertscore_chatgpt_p1,0.0,0.0,0.0021596849396697815,1.5736754566120226e-08,2.0110392240368924e-09,5.00570931272204e-05,0.6319556638396147,1.0,0.9999956711592952,0.9992419233031417,0.9983387710139414
bertscore_chatgpt_p2,8.881784197001252e-16,0.0,0.013180072815799027,2.8788638273269385e-07,4.2471157701839957e-08,0.00047053772248895065,0.9000720533882488,0.9999956711592952,1.0,0.9999997324737218,0.9999981241423055
bertscore_maritaca_p1,1.63202784619898e-14,4.440892098500626e-16,0.04271407426182583,2.2089277509351746e-06,3.632246718954235e-07,0.0021596849396697815,0.9819389201078085,0.9992419233031417,0.9999997324737218,1.0,0.999999999999912
bertscore_maritaca_p2,3.11972669919669e-14,8.881784197001252e-16,0.05423257045994556,3.416545398038373e-06,5.755983111255247e-07,0.002972995694509928,0.9890806627445243,0.9983387710139414,0.9999981241423055,0.999999999999912,1.0
