,meteor_openrnn_opus,meteor_openrnn_ft,meteor_marianmt_pt,meteor_marianmt_ft,meteor_mbart_pt,meteor_mbart_ft,meteor_google,meteor_chatgpt_p1,meteor_chatgpt_p2,meteor_maritaca_p1,meteor_maritaca_p2
meteor_openrnn_opus,1.0,0.9819389201078086,0.00015800859151715585,0.2061147559661224,0.9715949811877994,0.4361232571811713,5.4233103008449746e-08,1.2922996006636822e-13,6.673528396561323e-11,6.217248937900877e-15,3.219646771412954e-15
meteor_openrnn_ft,0.9819389201078086,1.0,2.2783111452984173e-07,0.004737962655773975,0.3094933590544613,0.019858243700996536,1.385236370055054e-11,0.0,5.329070518200751e-15,0.0,0.0
meteor_marianmt_pt,0.00015800859151715585,2.2783111452984173e-07,1.0,0.6594702976668931,0.02939224878229274,0.3831704675906591,0.9383532876132327,0.045377180954950136,0.34536343380731893,0.013180072815799027,0.009932147486221288
meteor_marianmt_ft,0.2061147559661224,0.004737962655773975,0.6594702976668931,1.0,0.948444257230838,0.999999254004174,0.02584289910458959,8.913010278055467e-06,0.0005139532631919241,1.1353086163401471e-06,7.229496030713989e-07
meteor_mbart_pt,0.9715949811877994,0.3094933590544613,0.02939224878229274,0.948444257230838,1.0,0.9953961004343003,7.38998598599494e-05,1.7627885817717015e-09,3.234297800691621e-07,1.3435708101638966e-10,7.68174412968392e-11
meteor_mbart_ft,0.4361232571811713,0.019858243700996536,0.3831704675906591,0.999999254004174,0.9953961004343003,1.0,0.00640596499915691,1.014750121930419e-06,8.137794806239995e-05,1.1191064908100401e-07,6.91487588300177e-08
meteor_google,5.4233103008449746e-08,1.385236370055054e-11,0.9383532876132327,0.02584289910458959,7.38998598599494e-05,0.00640596499915691,1.0,0.7745449253596708,0.9960697379617017,0.5193250598187984,0.46346931465393904
meteor_chatgpt_p1,1.2922996006636822e-13,0.0,0.045377180954950136,8.913010278055467e-06,1.7627885817717015e-09,1.014750121930419e-06,0.7745449253596708,1.0,0.9992419233031417,0.9999995468596957,0.9999971222683701
meteor_chatgpt_p2,6.673528396561323e-11,5.329070518200751e-15,0.34536343380731893,0.0005139532631919241,3.234297800691621e-07,8.137794806239995e-05,0.9960697379617017,0.9992419233031417,1.0,0.983994883094355,0.9745227839681159
meteor_maritaca_p1,6.217248937900877e-15,0.0,0.013180072815799027,1.1353086163401471e-06,1.3435708101638966e-10,1.1191064908100401e-07,0.5193250598187984,0.9999995468596957,0.983994883094355,1.0,0.999999999999912
meteor_maritaca_p2,3.219646771412954e-15,0.0,0.009932147486221288,7.229496030713989e-07,7.68174412968392e-11,6.91487588300177e-08,0.46346931465393904,0.9999971222683701,0.9745227839681159,0.999999999999912,1.0
