,bartscore_openrnn_opus,bartscore_openrnn_ft,bartscore_marianmt_pt,bartscore_marianmt_ft,bartscore_mbart_pt,bartscore_mbart_ft,bartscore_google,bartscore_chatgpt_p1,bartscore_chatgpt_p2,bartscore_maritaca_p1,bartscore_maritaca_p2
bartscore_openrnn_opus,1.0,0.999999999999912,3.3937714860599044e-09,1.420488209280535e-07,4.110035363469322e-05,0.03778822236011159,1.849820296939697e-11,1.3435708101638966e-10,3.369311630707639e-05,7.73336950032899e-12,3.321036756709361e-08
bartscore_openrnn_ft,0.999999999999912,1.0,2.0110392240368924e-09,8.803462425710507e-08,2.7577486077956515e-05,0.02939224878229263,1.0357714685937935e-11,7.68174412968392e-11,2.2536585766896877e-05,4.291567101688543e-12,2.0215473961471275e-08
bartscore_marianmt_pt,3.3937714860599044e-09,2.0110392240368924e-09,1.0,0.999964197232999,0.884521686747487,0.0481809462769236,0.9996874656062953,0.9999956711592952,0.9000720533882485,0.9988646738567695,0.9999997324737218
bartscore_marianmt_ft,1.420488209280535e-07,8.803462425710507e-08,0.999964197232999,1.0,0.9953961004343003,0.22468583421406618,0.9649855977574303,0.9937627586028396,0.9966597182110019,0.938353287613233,0.9999999950403538
bartscore_mbart_pt,4.110035363469322e-05,2.7577486077956515e-05,0.884521686747487,0.9953961004343003,1.0,0.8675571001643088,0.40932198544608656,0.6040376486990119,0.9999999999999999,0.3331801021384748,0.9772148048489464
bartscore_mbart_ft,0.03778822236011159,0.02939224878229263,0.0481809462769236,0.22468583421406618,0.8675571001643088,1.0,0.0034788846966840037,0.009932147486221288,0.8491933672471834,0.0021596849396697815,0.12914357745196858
bartscore_google,1.849820296939697e-11,1.0357714685937935e-11,0.9996874656062953,0.9649855977574303,0.40932198544608656,0.0034788846966840037,1.0,0.9999999772737034,0.4361232571811713,0.9999999999949579,0.9916848518588477
bartscore_chatgpt_p1,1.3435708101638966e-10,7.68174412968392e-11,0.9999956711592952,0.9937627586028396,0.6040376486990119,0.009932147486221288,0.9999999772737034,1.0,0.6319556638396147,0.999999254004174,0.9992419233031417
bartscore_chatgpt_p2,3.369311630707639e-05,2.2536585766896877e-05,0.9000720533882485,0.9966597182110019,0.9999999999999999,0.8491933672471834,0.4361232571811713,0.6319556638396147,1.0,0.35776248681864864,0.9819389201078085
bartscore_maritaca_p1,7.73336950032899e-12,4.291567101688543e-12,0.9988646738567695,0.938353287613233,0.3331801021384748,0.0021596849396697815,0.9999999999949579,0.999999254004174,0.35776248681864864,1.0,0.9819389201078088
bartscore_maritaca_p2,3.321036756709361e-08,2.0215473961471275e-08,0.9999997324737218,0.9999999950403538,0.9772148048489464,0.12914357745196858,0.9916848518588477,0.9992419233031417,0.9819389201078085,0.9819389201078088,1.0
