,bertscore_openrnn_opus,bertscore_openrnn_ft,bertscore_marianmt_pt,bertscore_marianmt_ft,bertscore_mbart_pt,bertscore_mbart_ft,bertscore_google,bertscore_chatgpt_p1,bertscore_chatgpt_p2,bertscore_maritaca_p1,bertscore_maritaca_p2
bertscore_openrnn_opus,1.0,0.9999981241423055,8.0245614108021e-06,0.000794041307372928,0.00047053772248895065,3.416545398038373e-06,5.895284260759581e-14,5.765277144575975e-12,3.416545398038373e-06,4.291567101688543e-12,4.291567101688543e-12
bertscore_openrnn_ft,0.9999981241423055,1.0,7.229496030713989e-07,0.00010840659203648073,6.0869411737107804e-05,2.8788638273269385e-07,1.6653345369377348e-15,2.0650148258027912e-13,2.8788638273269385e-07,1.5121237595394632e-13,1.5121237595394632e-13
bertscore_marianmt_pt,8.0245614108021e-06,7.229496030713989e-07,1.0,0.9976208548730544,0.9992419233031417,0.9999999999113933,0.17218883705073806,0.5193250598187988,0.9999999999113933,0.49124480543522364,0.49124480543522364
bertscore_marianmt_ft,0.000794041307372928,0.00010840659203648073,0.9976208548730544,1.0,0.9999999999949579,0.9916848518588477,0.009932147486221288,0.06827058164610988,0.9916848518588477,0.06091386441555968,0.06091386441555968
bertscore_mbart_pt,0.00047053772248895065,6.0869411737107804e-05,0.9992419233031417,0.9999999999949579,1.0,0.9966597182110019,0.015139264119143792,0.09485416643914313,0.9966597182110019,0.08519492428355224,0.08519492428355224
bertscore_mbart_ft,3.416545398038373e-06,2.8788638273269385e-07,0.9999999999113933,0.9916848518588477,0.9966597182110019,1.0,0.2443275117132221,0.6319556638396147,1.0,0.6040376486990119,0.6040376486990119
bertscore_google,5.895284260759581e-14,1.6653345369377348e-15,0.17218883705073806,0.009932147486221288,0.015139264119143792,0.2443275117132221,1.0,0.999964197232999,0.2443275117132221,0.9999812632061638,0.9999812632061638
bertscore_chatgpt_p1,5.765277144575975e-12,2.0650148258027912e-13,0.5193250598187988,0.06827058164610988,0.09485416643914313,0.6319556638396147,0.999964197232999,1.0,0.6319556638396147,0.9999999999999999,0.9999999999999999
bertscore_chatgpt_p2,3.416545398038373e-06,2.8788638273269385e-07,0.9999999999113933,0.9916848518588477,0.9966597182110019,1.0,0.2443275117132221,0.6319556638396147,1.0,0.6040376486990119,0.6040376486990119
bertscore_maritaca_p1,4.291567101688543e-12,1.5121237595394632e-13,0.49124480543522364,0.06091386441555968,0.08519492428355224,0.6040376486990119,0.9999812632061638,0.9999999999999999,0.6040376486990119,1.0,1.0
bertscore_maritaca_p2,4.291567101688543e-12,1.5121237595394632e-13,0.49124480543522364,0.06091386441555968,0.08519492428355224,0.6040376486990119,0.9999812632061638,0.9999999999999999,0.6040376486990119,1.0,1.0
