,bleu_openrnn_opus,bleu_openrnn_ft,bleu_marianmt_pt,bleu_marianmt_ft,bleu_mbart_pt,bleu_mbart_ft,bleu_google,bleu_chatgpt_p1,bleu_chatgpt_p2,bleu_maritaca_p1,bleu_maritaca_p2
bleu_openrnn_opus,1.0,0.9998859624906091,1.1353086163401471e-06,0.00019030095146788106,7.38998598599494e-05,0.00019030095146788106,6.936258234446768e-10,1.7729184786929864e-10,8.803462425710507e-08,1.1845895375728333e-09,2.7492592457045717e-06
bleu_openrnn_ft,0.9998859624906091,1.0,2.0215473961471275e-08,6.4970056573576684e-06,2.2089277509351746e-06,6.4970056573576684e-06,5.765277144575975e-12,1.298294804996658e-12,1.1845895375728333e-09,1.0357714685937935e-11,5.4233103008449746e-08
bleu_marianmt_pt,1.1353086163401471e-06,2.0215473961471275e-08,1.0,0.9966597182110019,0.9995064689380725,0.9966597182110019,0.9858626636722673,0.9572966254028638,0.9999981241423055,0.9916848518588476,0.9999999999113933
bleu_marianmt_ft,0.00019030095146788106,6.4970056573576684e-06,0.9966597182110019,1.0,0.9999999991857873,1.0,0.5475774216936847,0.40932198544608656,0.9484442572308379,0.6040376486990119,0.9992419233031417
bleu_mbart_pt,7.38998598599494e-05,2.2089277509351746e-06,0.9995064689380725,0.9999999991857873,1.0,0.9999999991857873,0.6864369055844028,0.5475774216936847,0.9819389201078086,0.7381714045435366,0.9999347498992704
bleu_mbart_ft,0.00019030095146788106,6.4970056573576684e-06,0.9966597182110019,1.0,0.9999999991857873,1.0,0.5475774216936847,0.40932198544608656,0.9484442572308379,0.6040376486990119,0.9992419233031417
bleu_google,6.936258234446768e-10,5.765277144575975e-12,0.9858626636722673,0.5475774216936847,0.6864369055844028,0.5475774216936847,1.0,0.9999999991857873,0.9996874656062953,0.999999999999912,0.9649855977574303
bleu_chatgpt_p1,1.7729184786929864e-10,1.298294804996658e-12,0.9572966254028638,0.40932198544608656,0.5475774216936847,0.40932198544608656,0.9999999991857873,1.0,0.9976208548730544,0.9999999772737034,0.914211173264339
bleu_chatgpt_p2,8.803462425710507e-08,1.1845895375728333e-09,0.9999981241423055,0.9484442572308379,0.9819389201078086,0.9484442572308379,0.9996874656062953,0.9976208548730544,1.0,0.9998859624906091,0.999964197232999
bleu_maritaca_p1,1.1845895375728333e-09,1.0357714685937935e-11,0.9916848518588476,0.6040376486990119,0.7381714045435366,0.6040376486990119,0.999999999999912,0.9999999772737034,0.9998859624906091,1.0,0.9772148048489465
bleu_maritaca_p2,2.7492592457045717e-06,5.4233103008449746e-08,0.9999999999113933,0.9992419233031417,0.9999347498992704,0.9992419233031417,0.9649855977574303,0.914211173264339,0.999964197232999,0.9772148048489465,1.0
