,meteor_openrnn_opus,meteor_openrnn_ft,meteor_marianmt_pt,meteor_marianmt_ft,meteor_mbart_pt,meteor_mbart_ft,meteor_google,meteor_chatgpt_p1,meteor_chatgpt_p2,meteor_maritaca_p1,meteor_maritaca_p2
meteor_openrnn_opus,1.0,0.9998080125983243,0.00013098391624211114,6.0869411737107804e-05,0.0002288209073116887,0.00640596499915691,3.3937714860599044e-09,8.838996201632199e-11,2.9792709410614293e-09,3.78720388383158e-11,2.0256480015579115e-07
meteor_openrnn_ft,0.9998080125983243,1.0,3.416545398038373e-06,1.4194810111778366e-06,6.4970056573576684e-06,0.0003292121683705629,2.4665491871189715e-11,4.4719783431901305e-13,2.1364465752071737e-11,1.7674750552032492e-13,2.2933955845516607e-09
meteor_marianmt_pt,0.00013098391624211114,3.416545398038373e-06,1.0,0.9999999999113933,0.9999999999949579,0.9983387710139414,0.7626810314403383,0.3961588761120186,0.7505519215257075,0.3212208698728005,0.9839948830943551
meteor_marianmt_ft,6.0869411737107804e-05,1.4194810111778366e-06,0.9999999999113933,1.0,0.9999999772737034,0.9937627586028395,0.849193367247183,0.505254958366798,0.8394965340651943,0.42264770852724587,0.9946301512733509
meteor_mbart_pt,0.0002288209073116887,6.4970056573576684e-06,0.9999999999949579,0.9999999772737034,1.0,0.9995064689380725,0.6864369055844022,0.3212208698728005,0.6730310047702686,0.2545461613842569,0.9684197288681684
meteor_mbart_ft,0.00640596499915691,0.0003292121683705629,0.9983387710139414,0.9937627586028395,0.9995064689380725,1.0,0.18861759980037485,0.045377180954950136,0.1802703366990518,0.03132187746029491,0.5899731677080837
meteor_google,3.3937714860599044e-09,2.4665491871189715e-11,0.7626810314403383,0.849193367247183,0.6864369055844022,0.18861759980037485,1.0,0.9999867107561913,1.0,0.9999133120654494,0.9999133120654494
meteor_chatgpt_p1,8.838996201632199e-11,4.4719783431901305e-13,0.3961588761120186,0.505254958366798,0.3212208698728005,0.045377180954950136,0.9999867107561913,1.0,0.9999907095479014,0.9999999999949579,0.9858626636722673
meteor_chatgpt_p2,2.9792709410614293e-09,2.1364465752071737e-11,0.7505519215257075,0.8394965340651943,0.6730310047702686,0.1802703366990518,1.0,0.9999907095479014,1.0,0.9999347498992704,0.9998859624906091
meteor_maritaca_p1,3.78720388383158e-11,1.7674750552032492e-13,0.3212208698728005,0.42264770852724587,0.2545461613842569,0.03132187746029491,0.9999133120654494,0.9999999999949579,0.9999347498992704,1.0,0.9715949811877994
meteor_maritaca_p2,2.0256480015579115e-07,2.2933955845516607e-09,0.9839948830943551,0.9946301512733509,0.9684197288681684,0.5899731677080837,0.9999133120654494,0.9858626636722673,0.9998859624906091,0.9715949811877994,1.0
