,bartscore_openrnn_opus,bartscore_openrnn_ft,bartscore_marianmt_pt,bartscore_marianmt_ft,bartscore_mbart_pt,bartscore_mbart_ft,bartscore_google,bartscore_chatgpt_p1,bartscore_chatgpt_p2,bartscore_maritaca_p1,bartscore_maritaca_p2
bartscore_openrnn_opus,1.0,0.9999999999999999,7.928213454633237e-07,3.2054331411401904e-09,4.1902593558296175e-05,0.24646707220724406,2.291500322826323e-13,4.5141668181258865e-12,1.393885007416884e-12,6.712594924351833e-10,0.0
bartscore_openrnn_ft,0.9999999999999999,1.0,6.339636963170747e-07,2.479062621851824e-09,3.446760295022777e-05,0.22702544609178887,1.6864287744056128e-13,3.372302437298913e-12,1.035393992765421e-12,5.14673081930539e-10,0.0
bartscore_marianmt_pt,7.928213454633237e-07,6.339636963170747e-07,1.0,0.9985554487112165,0.9997302360911204,0.07892782391402886,0.5172646610338101,0.7807040787048466,0.6818792541565903,0.9903797443172776,0.024098768362481482
bartscore_marianmt_ft,3.2054331411401904e-09,2.479062621851824e-09,0.9985554487112165,1.0,0.8792961964404777,0.003864205712047153,0.9687676039394512,0.9979269730779314,0.992691149205042,0.9999999957830495,0.26693029845017446
bartscore_mbart_pt,4.1902593558296175e-05,3.446760295022777e-05,0.9997302360911204,0.8792961964404777,1.0,0.4091083679057268,0.1196156427083298,0.28839182133871843,0.208618890929537,0.7573891783654174,0.0015004078501300588
bartscore_mbart_ft,0.24646707220724406,0.22702544609178887,0.07892782391402886,0.003864205712047153,0.4091083679057268,1.0,8.418175961200092e-06,6.164687026533056e-05,2.8308763324158548e-05,0.0015004078501300588,4.138652975882451e-09
bartscore_google,2.291500322826323e-13,1.6864287744056128e-13,0.5172646610338101,0.9687676039394512,0.1196156427083298,8.418175961200092e-06,1.0,0.9999993637837533,0.9999999957830495,0.992691149205042,0.974727812961125
bartscore_chatgpt_p1,4.5141668181258865e-12,3.372302437298913e-12,0.7807040787048466,0.9979269730779314,0.28839182133871843,6.164687026533056e-05,0.9999993637837533,1.0,0.9999999999247341,0.9998345619575808,0.8621798637298301
bartscore_chatgpt_p2,1.393885007416884e-12,1.035393992765421e-12,0.6818792541565903,0.992691149205042,0.208618890929537,2.8308763324158548e-05,0.9999999957830495,0.9999999999247341,1.0,0.9990146896732781,0.9224553073950842
bartscore_maritaca_p1,6.712594924351833e-10,5.14673081930539e-10,0.9903797443172776,0.9999999957830495,0.7573891783654174,0.0015004078501300588,0.992691149205042,0.9998345619575808,0.9990146896732781,1.0,0.409108367905727
bartscore_maritaca_p2,0.0,0.0,0.024098768362481482,0.26693029845017446,0.0015004078501300588,4.138652975882451e-09,0.974727812961125,0.8621798637298301,0.9224553073950842,0.409108367905727,1.0
