,bertscore_openrnn_opus,bertscore_openrnn_ft,bertscore_marianmt_pt,bertscore_marianmt_ft,bertscore_mbart_pt,bertscore_mbart_ft,bertscore_google,bertscore_chatgpt_p1,bertscore_chatgpt_p2,bertscore_maritaca_p1,bertscore_maritaca_p2
bertscore_openrnn_opus,1.0,0.9999692873476873,0.00010874475775257686,0.00032442891111172933,0.0020707031359233907,1.9009353319443534e-05,1.9984014443252818e-15,2.5190294294930027e-11,1.1336424354801977e-08,1.3345602400960388e-10,1.1102230246251565e-16
bertscore_openrnn_ft,0.9999692873476873,1.0,5.5519837579565134e-06,1.9009353319443534e-05,0.0001575333253022171,7.928213454633237e-07,0.0,3.106404022901188e-13,2.2998258852879871e-10,1.8740564655672642e-12,0.0
bertscore_marianmt_pt,0.00010874475775257686,5.5519837579565134e-06,1.0,0.9999999957830495,0.9999018882176084,0.9999997720474454,0.01076089828384752,0.31081792623968507,0.8792961964404777,0.4623502624554404,0.003864205712047153
bertscore_marianmt_ft,0.00032442891111172933,1.9009353319443534e-05,0.9999999957830495,1.0,0.999998398606692,0.9999692873476873,0.004496942690396133,0.1912517230092603,0.7573891783654174,0.31081792623968507,0.0015004078501300588
bertscore_mbart_pt,0.0020707031359233907,0.0001575333253022171,0.9999018882176084,0.999998398606692,1.0,0.995971391480725,0.0007721535662080781,0.06328942385739023,0.4623502624554404,0.11961564270832936,0.00022678659405006574
bertscore_mbart_ft,1.9009353319443534e-05,7.928213454633237e-07,0.9999997720474454,0.9999692873476873,0.995971391480725,1.0,0.03513928218730822,0.5450490647102781,0.974727812961125,0.7078613192156815,0.01418517439062017
bertscore_google,1.9984014443252818e-15,0.0,0.01076089828384752,0.004496942690396133,0.0007721535662080781,0.03513928218730822,1.0,0.9840109425717105,0.6006141490232948,0.9445769660436272,0.9999999806649178
bertscore_chatgpt_p1,2.5190294294930027e-11,3.106404022901188e-13,0.31081792623968507,0.1912517230092603,0.06328942385739023,0.5450490647102781,0.9840109425717105,1.0,0.9985554487112165,0.9999999957830495,0.9341568951973418
bertscore_chatgpt_p2,1.1336424354801977e-08,2.2998258852879871e-10,0.8792961964404777,0.7573891783654174,0.4623502624554404,0.974727812961125,0.6006141490232948,0.9985554487112165,1.0,0.9999018882176084,0.409108367905727
bertscore_maritaca_p1,1.3345602400960388e-10,1.8740564655672642e-12,0.4623502624554404,0.31081792623968507,0.11961564270832936,0.7078613192156815,0.9445769660436272,0.9999999957830495,0.9999018882176084,1.0,0.8437173205673945
bertscore_maritaca_p2,1.1102230246251565e-16,0.0,0.003864205712047153,0.0015004078501300588,0.00022678659405006574,0.01418517439062017,0.9999999806649178,0.9341568951973418,0.409108367905727,0.8437173205673945,1.0
