,bleu_openrnn_opus,bleu_openrnn_ft,bleu_marianmt_pt,bleu_marianmt_ft,bleu_mbart_pt,bleu_mbart_ft,bleu_google,bleu_chatgpt_p1,bleu_chatgpt_p2,bleu_maritaca_p1,bleu_maritaca_p2
bleu_openrnn_opus,1.0,0.9999999806649178,3.21309592488106e-07,0.00010874475775257686,0.005224109537556032,0.0003871098495739078,5.551115123125783e-16,1.8740564655672642e-12,2.5190294294930027e-11,5.14673081930539e-10,1.9984014443252818e-15
bleu_openrnn_ft,0.9999999806649178,1.0,6.253589224236578e-08,2.8308763324158548e-05,0.0017641248954581856,0.00010874475775257686,0.0,2.291500322826323e-13,3.372302437298913e-12,7.699751947143341e-11,1.1102230246251565e-16
bleu_marianmt_pt,3.21309592488106e-07,6.253589224236578e-08,1.0,0.992691149205042,0.6818792541565903,0.9618101934283501,0.17491985796837228,0.8029177430859408,0.944576966043627,0.9959713914807251,0.24646707220724462
bleu_marianmt_ft,0.00010874475775257686,2.8308763324158548e-05,0.992691149205042,1.0,0.9985554487112165,0.9999999806649178,0.0060581400429126075,0.14530856908069378,0.31081792623968507,0.6006141490232948,0.01076089828384752
bleu_mbart_pt,0.005224109537556032,0.0017641248954581856,0.6818792541565903,0.9985554487112165,1.0,0.9999439468015907,0.00013098720539650444,0.00934659689278261,0.031049136741195693,0.108162748066158,0.0002714643821203344
bleu_mbart_ft,0.0003871098495739078,0.00010874475775257686,0.9618101934283501,0.9999999806649178,0.9999439468015907,1.0,0.0020707031359233907,0.07075237118142397,0.17491985796837106,0.409108367905727,0.003864205712047153
bleu_google,5.551115123125783e-16,0.0,0.17491985796837228,0.0060581400429126075,0.00013098720539650444,0.0020707031359233907,1.0,0.9959713914807251,0.9618101934283505,0.8029177430859408,0.9999999999247341
bleu_chatgpt_p1,1.8740564655672642e-12,2.291500322826323e-13,0.8029177430859408,0.14530856908069378,0.00934659689278261,0.07075237118142397,0.9959713914807251,1.0,0.9999997720474454,0.9995732660372877,0.9990146896732781
bleu_chatgpt_p2,2.5190294294930027e-11,3.372302437298913e-12,0.944576966043627,0.31081792623968507,0.031049136741195693,0.17491985796837106,0.9618101934283505,0.9999997720474454,1.0,0.999998398606692,0.9840109425717105
bleu_maritaca_p1,5.14673081930539e-10,7.699751947143341e-11,0.9959713914807251,0.6006141490232948,0.108162748066158,0.409108367905727,0.8029177430859408,0.9995732660372877,0.999998398606692,1.0,0.8792961964404777
bleu_maritaca_p2,1.9984014443252818e-15,1.1102230246251565e-16,0.24646707220724462,0.01076089828384752,0.0002714643821203344,0.003864205712047153,0.9999999999247341,0.9990146896732781,0.9840109425717105,0.8792961964404777,1.0
