,meteor_openrnn_opus,meteor_openrnn_ft,meteor_marianmt_pt,meteor_marianmt_ft,meteor_mbart_pt,meteor_mbart_ft,meteor_google,meteor_chatgpt_p1,meteor_chatgpt_p2,meteor_maritaca_p1,meteor_maritaca_p2
meteor_openrnn_opus,1.0,0.9999692873476873,2.9407388209001795e-06,9.013915383715432e-05,0.01418517439062017,0.008103377346175944,5.329070518200751e-15,2.5157653738006047e-12,1.4284129434827264e-11,2.5190294294930027e-11,1.3766765505351941e-14
meteor_openrnn_ft,0.9999692873476873,1.0,1.0054677923587718e-07,4.49877821073752e-06,0.0015004078501300588,0.0007721535662080781,0.0,2.609024107869118e-14,1.6864287744056128e-13,3.106404022901188e-13,1.1102230246251565e-16
meteor_marianmt_pt,2.9407388209001795e-06,1.0054677923587718e-07,1.0,0.9999018882176084,0.7573891783654174,0.8437173205673945,0.1319863753194097,0.5728776984914211,0.733071458807116,0.7807040787048466,0.17491985796837162
meteor_marianmt_ft,9.013915383715432e-05,4.49877821073752e-06,0.9999018882176084,1.0,0.9840109425717104,0.9945300391477786,0.018559637505295212,0.17491985796837106,0.28839182133871843,0.33416403288966623,0.02738088436505781
meteor_mbart_pt,0.01418517439062017,0.0015004078501300588,0.7573891783654174,0.9840109425717104,1.0,0.9999999999247341,0.00013098720539650444,0.003864205712047153,0.00934659689278261,0.012366434729964126,0.00022678659405006574
meteor_mbart_ft,0.008103377346175944,0.0007721535662080781,0.8437173205673945,0.9945300391477786,0.9999999999247341,1.0,0.0002714643821203344,0.007012818297084666,0.01624097364007504,0.02116896394857104,0.0004611620015942952
meteor_google,5.329070518200751e-15,0.0,0.1319863753194097,0.018559637505295212,0.00013098720539650444,0.0002714643821203344,1.0,0.9995732660372877,0.995971391480725,0.992691149205042,0.9999999999957185
meteor_chatgpt_p1,2.5157653738006047e-12,2.609024107869118e-14,0.5728776984914211,0.17491985796837106,0.003864205712047153,0.007012818297084666,0.9995732660372877,1.0,0.9999999957830495,0.9999999280703098,0.9999018882176084
meteor_chatgpt_p2,1.4284129434827264e-11,1.6864287744056128e-13,0.733071458807116,0.28839182133871843,0.00934659689278261,0.01624097364007504,0.995971391480725,0.9999999957830495,1.0,0.9999999999999252,0.9985554487112165
meteor_maritaca_p1,2.5190294294930027e-11,3.106404022901188e-13,0.7807040787048466,0.33416403288966623,0.012366434729964126,0.02116896394857104,0.992691149205042,0.9999999280703098,0.9999999999999252,1.0,0.9970834054050891
meteor_maritaca_p2,1.3766765505351941e-14,1.1102230246251565e-16,0.17491985796837162,0.02738088436505781,0.00022678659405006574,0.0004611620015942952,0.9999999999957185,0.9999018882176084,0.9985554487112165,0.9970834054050891,1.0
