,bartscore_openrnn_opus,bartscore_openrnn_ft,bartscore_marianmt_pt,bartscore_marianmt_ft,bartscore_mbart_pt,bartscore_mbart_ft,bartscore_google,bartscore_chatgpt_p1,bartscore_chatgpt_p2,bartscore_maritaca_p1,bartscore_maritaca_p2
bartscore_openrnn_opus,1.0,0.9916848518588476,0.0002288209073116887,0.28676023337037837,0.9383532876132327,0.9999999991857873,7.73336950032899e-12,1.849820296939697e-11,1.849820296939697e-11,9.493604791188659e-09,5.295813787498105e-10
bartscore_openrnn_ft,0.9916848518588476,1.0,7.229496030713989e-07,0.013180072815799027,0.28676023337037837,0.9715949811877994,1.1102230246251565e-15,3.219646771412954e-15,3.219646771412954e-15,4.291567101688543e-12,1.5121237595394632e-13
bartscore_marianmt_pt,0.0002288209073116887,7.229496030713989e-07,1.0,0.6040376486990119,0.06091386441555957,0.0005611406041537981,0.15681496978559128,0.20611475596612172,0.20611475596612172,0.7861306221656197,0.49124480543522275
bartscore_marianmt_ft,0.28676023337037837,0.013180072815799027,0.6040376486990119,1.0,0.9916848518588476,0.4093219854460872,6.0869411737107804e-05,0.00010840659203648073,0.00010840659203648073,0.005514243390647655,0.0009421698859126693
bartscore_mbart_pt,0.9383532876132327,0.28676023337037837,0.06091386441555957,0.9916848518588476,1.0,0.9772148048489465,1.420488209280535e-07,2.8788638273269385e-07,2.8788638273269385e-07,4.110035363469322e-05,4.239306465758652e-06
bartscore_mbart_ft,0.9999999991857873,0.9715949811877994,0.0005611406041537981,0.4093219854460872,0.9772148048489465,1.0,3.283995297920228e-11,7.68174412968392e-11,7.68174412968392e-11,3.321036756709361e-08,2.0110392240368924e-09
bartscore_google,7.73336950032899e-12,1.1102230246251565e-15,0.15681496978559128,6.0869411737107804e-05,1.420488209280535e-07,3.283995297920228e-11,1.0,0.9999999999949579,0.9999999999949579,0.9953961004343003,0.999964197232999
bartscore_chatgpt_p1,1.849820296939697e-11,3.219646771412954e-15,0.20611475596612172,0.00010840659203648073,2.8788638273269385e-07,7.68174412968392e-11,0.9999999999949579,1.0,1.0,0.9983387710139414,0.9999956711592952
bartscore_chatgpt_p2,1.849820296939697e-11,3.219646771412954e-15,0.20611475596612172,0.00010840659203648073,2.8788638273269385e-07,7.68174412968392e-11,0.9999999999949579,1.0,1.0,0.9983387710139414,0.9999956711592952
bartscore_maritaca_p1,9.493604791188659e-09,4.291567101688543e-12,0.7861306221656197,0.005514243390647655,4.110035363469322e-05,3.321036756709361e-08,0.9953961004343003,0.9983387710139414,0.9983387710139414,1.0,0.9999981241423055
bartscore_maritaca_p2,5.295813787498105e-10,1.5121237595394632e-13,0.49124480543522275,0.0009421698859126693,4.239306465758652e-06,2.0110392240368924e-09,0.999964197232999,0.9999956711592952,0.9999956711592952,0.9999981241423055,1.0
