,bertscore_openrnn_opus,bertscore_openrnn_ft,bertscore_marianmt_pt,bertscore_marianmt_ft,bertscore_mbart_pt,bertscore_mbart_ft,bertscore_google,bertscore_chatgpt_p1,bertscore_chatgpt_p2,bertscore_maritaca_p1,bertscore_maritaca_p2
bertscore_openrnn_opus,1.0,0.9858626636722673,0.00047053772248895065,0.6040376486990119,0.7861306221656197,0.1721888370507374,3.283995297920228e-11,3.219646771412954e-15,4.440892098500626e-16,9.493604791188659e-09,3.1897817720505373e-12
bertscore_openrnn_ft,0.9858626636722673,1.0,1.1353086163401471e-06,0.0481809462769236,0.10537089575803349,0.0040635697020510175,3.219646771412954e-15,0.0,0.0,2.3673285554082213e-12,2.220446049250313e-16
bertscore_marianmt_pt,0.00047053772248895065,1.1353086163401471e-06,1.0,0.3831704675906591,0.22468583421406618,0.8491933672471834,0.1721888370507374,0.0040635697020510175,0.0015578946403643767,0.6864369055844022,0.07634889692234281
bertscore_marianmt_ft,0.6040376486990119,0.0481809462769236,0.3831704675906591,1.0,0.9999999772737034,0.9998080125983243,1.4980377662343614e-05,1.5736754566120226e-08,3.3937714860599044e-09,0.000794041307372928,2.7492592457045717e-06
bertscore_mbart_pt,0.7861306221656197,0.10537089575803349,0.22468583421406618,0.9999999772737034,1.0,0.9966597182110019,3.416545398038373e-06,2.614420457902611e-09,5.295813787498105e-10,0.0002288209073116887,5.755983111255247e-07
bertscore_mbart_ft,0.1721888370507374,0.0040635697020510175,0.8491933672471834,0.9998080125983243,0.9966597182110019,1.0,0.00047053772248895065,1.1353086163401471e-06,2.8788638273269385e-07,0.013180072815799027,0.00010840659203648073
bertscore_google,3.283995297920228e-11,3.219646771412954e-15,0.1721888370507374,1.4980377662343614e-05,3.416545398038373e-06,0.00047053772248895065,1.0,0.9858626636722673,0.9484442572308381,0.9992419233031417,0.9999999155147986
bertscore_chatgpt_p1,3.219646771412954e-15,0.0,0.0040635697020510175,1.5736754566120226e-08,2.614420457902611e-09,1.1353086163401471e-06,0.9858626636722673,1.0,0.9999999950403538,0.6594702976668931,0.9988646738567695
bertscore_chatgpt_p2,4.440892098500626e-16,0.0,0.0015578946403643767,3.3937714860599044e-09,5.295813787498105e-10,2.8788638273269385e-07,0.9484442572308381,0.9999999950403538,1.0,0.49124480543522364,0.9916848518588476
bertscore_maritaca_p1,9.493604791188659e-09,2.3673285554082213e-12,0.6864369055844022,0.000794041307372928,0.0002288209073116887,0.013180072815799027,0.9992419233031417,0.6594702976668931,0.49124480543522364,1.0,0.9890806627445243
bertscore_maritaca_p2,3.1897817720505373e-12,2.220446049250313e-16,0.07634889692234281,2.7492592457045717e-06,5.755983111255247e-07,0.00010840659203648073,0.9999999155147986,0.9988646738567695,0.9916848518588476,0.9890806627445243,1.0
