,bleu_openrnn_opus,bleu_openrnn_ft,bleu_marianmt_pt,bleu_marianmt_ft,bleu_mbart_pt,bleu_mbart_ft,bleu_google,bleu_chatgpt_p1,bleu_chatgpt_p2,bleu_maritaca_p1,bleu_maritaca_p2
bleu_openrnn_opus,1.0,0.6319556638396147,0.008597450734670331,0.9858626636722673,0.9999956711592952,0.9999981241423055,5.755983111255247e-07,1.0357714685937935e-11,3.1897817720505373e-12,8.803462425710507e-08,7.357263243079615e-09
bleu_openrnn_ft,0.6319556638396147,1.0,4.575884301472044e-07,0.05423257045994534,0.3094933590544613,0.33318010213847427,5.21249710061511e-13,0.0,0.0,4.285460875053104e-14,1.6653345369377348e-15
bleu_marianmt_pt,0.008597450734670331,4.575884301472044e-07,1.0,0.26502678701831106,0.04271407426182605,0.03778822236011159,0.6594702976668931,0.013180072815799027,0.007428160701507758,0.4361232571811702,0.2061147559661224
bleu_marianmt_ft,0.9858626636722673,0.05423257045994534,0.26502678701831106,1.0,0.9998080125983243,0.9996874656062953,0.00027468931812291153,3.321036756709361e-08,1.2232000856648995e-08,6.0869411737107804e-05,8.0245614108021e-06
bleu_mbart_pt,0.9999956711592952,0.3094933590544613,0.04271407426182605,0.9998080125983243,1.0,0.9999999999999999,8.0245614108021e-06,3.073304943868038e-10,1.0166789632393147e-10,1.4194810111778366e-06,1.420488209280535e-07
bleu_mbart_ft,0.9999981241423055,0.33318010213847427,0.03778822236011159,0.9996874656062953,0.9999999999999999,1.0,6.4970056573576684e-06,2.335990290092127e-10,7.68174412968392e-11,1.1353086163401471e-06,1.1191064908100401e-07
bleu_google,5.755983111255247e-07,5.21249710061511e-13,0.6594702976668931,0.00027468931812291153,8.0245614108021e-06,6.4970056573576684e-06,1.0,0.8675571001643083,0.7861306221656197,0.9999999155147986,0.9998080125983243
bleu_chatgpt_p1,1.0357714685937935e-11,0.0,0.013180072815799027,3.321036756709361e-08,3.073304943868038e-10,2.335990290092127e-10,0.8675571001643083,1.0,0.9999999999113933,0.9649855977574303,0.9976208548730544
bleu_chatgpt_p2,3.1897817720505373e-12,0.0,0.007428160701507758,1.2232000856648995e-08,1.0166789632393147e-10,7.68174412968392e-11,0.7861306221656197,0.9999999999113933,1.0,0.9269593846299173,0.9916848518588476
bleu_maritaca_p1,8.803462425710507e-08,4.285460875053104e-14,0.4361232571811702,6.0869411737107804e-05,1.4194810111778366e-06,1.1353086163401471e-06,0.9999999155147986,0.9649855977574303,0.9269593846299173,1.0,0.999999254004174
bleu_maritaca_p2,7.357263243079615e-09,1.6653345369377348e-15,0.2061147559661224,8.0245614108021e-06,1.420488209280535e-07,1.1191064908100401e-07,0.9998080125983243,0.9976208548730544,0.9916848518588476,0.999999254004174,1.0
