,meteor_openrnn_opus,meteor_openrnn_ft,meteor_marianmt_pt,meteor_marianmt_ft,meteor_mbart_pt,meteor_mbart_ft,meteor_google,meteor_chatgpt_p1,meteor_chatgpt_p2,meteor_maritaca_p1,meteor_maritaca_p2
meteor_openrnn_opus,1.0,0.7861306221656196,0.017355947064690236,0.7861306221656197,0.9999999991857873,0.9999999991857873,4.239306465758652e-06,3.073304943868038e-10,1.849820296939697e-11,1.420488209280535e-07,4.398877373468224e-09
meteor_openrnn_ft,0.7861306221656196,1.0,5.252151883627931e-06,0.015139264119143792,0.6594702976668936,0.8845216867474871,4.365863226496458e-11,2.220446049250313e-16,0.0,5.21249710061511e-13,6.217248937900877e-15
meteor_marianmt_pt,0.017355947064690236,5.252151883627931e-06,1.0,0.8084199761341706,0.03336113206435287,0.008597450734670331,0.7626810314403387,0.03336113206435298,0.008597450734670331,0.3577624868186481,0.10537089575803305
meteor_marianmt_ft,0.7861306221656197,0.015139264119143792,0.8084199761341706,1.0,0.8845216867474872,0.6594702976668936,0.015139264119143792,1.8388382023837302e-05,2.2089277509351746e-06,0.0015578946403643767,0.00013098391624211114
meteor_mbart_pt,0.9999999991857873,0.6594702976668936,0.03336113206435287,0.8845216867474872,1.0,0.999999254004174,1.2185059932945386e-05,1.1845895375728333e-09,7.68174412968392e-11,4.575884301472044e-07,1.5736754566120226e-08
meteor_mbart_ft,0.9999999991857873,0.8845216867474871,0.008597450734670331,0.6594702976668936,0.999999254004174,1.0,1.4194810111778366e-06,7.68174412968392e-11,4.291567101688543e-12,4.2471157701839957e-08,1.1845895375728333e-09
meteor_google,4.239306465758652e-06,4.365863226496458e-11,0.7626810314403387,0.015139264119143792,1.2185059932945386e-05,1.4194810111778366e-06,1.0,0.914211173264339,0.7127151545055201,0.999964197232999,0.9890806627445242
meteor_chatgpt_p1,3.073304943868038e-10,2.220446049250313e-16,0.03336113206435298,1.8388382023837302e-05,1.1845895375728333e-09,7.68174412968392e-11,0.914211173264339,1.0,0.999999254004174,0.9976208548730544,0.999999254004174
meteor_chatgpt_p2,1.849820296939697e-11,0.0,0.008597450734670331,2.2089277509351746e-06,7.68174412968392e-11,4.291567101688543e-12,0.7127151545055201,0.999999254004174,1.0,0.9649855977574303,0.9995064689380725
meteor_maritaca_p1,1.420488209280535e-07,5.21249710061511e-13,0.3577624868186481,0.0015578946403643767,4.575884301472044e-07,4.2471157701839957e-08,0.999964197232999,0.9976208548730544,0.9649855977574303,1.0,0.9999812632061638
meteor_maritaca_p2,4.398877373468224e-09,6.217248937900877e-15,0.10537089575803305,0.00013098391624211114,1.5736754566120226e-08,1.1845895375728333e-09,0.9890806627445242,0.999999254004174,0.9995064689380725,0.9999812632061638,1.0
