,bartscore_openrnn_opus,bartscore_openrnn_ft,bartscore_marianmt_pt,bartscore_marianmt_ft,bartscore_mbart_pt,bartscore_mbart_ft,bartscore_google,bartscore_chatgpt_p1,bartscore_chatgpt_p2,bartscore_maritaca_p1,bartscore_maritaca_p2
bartscore_openrnn_opus,1.0,0.999999254004174,3.416545398038373e-06,0.5475774216936847,0.019858243700996536,0.8084199761341706,8.803462425710507e-08,4.975020395647789e-12,5.329070518200751e-15,9.071315920650136e-10,5.765277144575975e-12
bartscore_openrnn_ft,0.999999254004174,1.0,3.632246718954235e-07,0.28676023337037837,0.004737962655773975,0.5475774216936844,7.357263243079615e-09,2.41140440948584e-13,1.1102230246251565e-16,5.7954752108457797e-11,2.815525590449397e-13
bartscore_marianmt_pt,3.416545398038373e-06,3.632246718954235e-07,1.0,0.04271407426182605,0.7127151545055208,0.011452356772405303,0.9999347498992704,0.6180379355060773,0.12284572607271138,0.9649855977574301,0.6319556638396147
bartscore_marianmt_ft,0.5475774216936847,0.28676023337037837,0.04271407426182605,1.0,0.9572966254028638,0.999999254004174,0.004737962655773864,5.84263369896032e-06,3.7563420152153526e-08,0.0002288209073116887,6.4970056573576684e-06
bartscore_mbart_pt,0.019858243700996536,0.004737962655773975,0.7127151545055208,0.9572966254028638,1.0,0.8084199761341706,0.28676023337037804,0.003760724199535437,8.137794806239995e-05,0.0481809462769236,0.0040635697020510175
bartscore_mbart_ft,0.8084199761341706,0.5475774216936844,0.011452356772405303,0.999999254004174,0.8084199761341706,1.0,0.0009421698859126693,6.452021578118305e-07,2.9792709410614293e-09,3.369311630707639e-05,7.229496030713989e-07
bartscore_google,8.803462425710507e-08,7.357263243079615e-09,0.9999347498992704,0.004737962655773864,0.28676023337037804,0.0009421698859126693,1.0,0.9435578987313927,0.4497351650465238,0.9998080125983243,0.9484442572308381
bartscore_chatgpt_p1,4.975020395647789e-12,2.41140440948584e-13,0.6180379355060773,5.84263369896032e-06,0.003760724199535437,6.452021578118305e-07,0.9435578987313927,1.0,0.9988646738567695,0.9997540662839169,1.0
bartscore_chatgpt_p2,5.329070518200751e-15,1.1102230246251565e-16,0.12284572607271138,3.7563420152153526e-08,8.137794806239995e-05,2.9792709410614293e-09,0.4497351650465238,0.9988646738567695,1.0,0.8924738788479636,0.9986228342987619
bartscore_maritaca_p1,9.071315920650136e-10,5.7954752108457797e-11,0.9649855977574301,0.0002288209073116887,0.0481809462769236,3.369311630707639e-05,0.9998080125983243,0.9997540662839169,0.8924738788479636,1.0,0.9998080125983243
bartscore_maritaca_p2,5.765277144575975e-12,2.815525590449397e-13,0.6319556638396147,6.4970056573576684e-06,0.0040635697020510175,7.229496030713989e-07,0.9484442572308381,1.0,0.9986228342987619,0.9998080125983243,1.0
