,bleu_openrnn_opus,bleu_openrnn_ft,bleu_marianmt_pt,bleu_marianmt_ft,bleu_mbart_pt,bleu_mbart_ft,bleu_google,bleu_chatgpt_p1,bleu_chatgpt_p2,bleu_maritaca_p1,bleu_maritaca_p2
bleu_openrnn_opus,1.0,0.9999347498992704,0.000794041307372928,1.4980377662343614e-05,0.1424754447005775,1.0357714685937935e-11,5.895284260759581e-14,2.0383694732117874e-12,3.78720388383158e-11,2.0110392240368924e-09,4.03731603704216e-10
bleu_openrnn_ft,0.9999347498992704,1.0,0.009932147486221288,0.0003292121683705629,0.4912448054352233,9.071315920650136e-10,7.73336950032899e-12,2.035452917326097e-10,2.9792709410614293e-09,1.1191064908100401e-07,2.5930060432166613e-08
bleu_marianmt_pt,0.000794041307372928,0.009932147486221288,1.0,0.9992419233031417,0.9269593846299171,0.08519492428355202,0.009932147486221288,0.045377180954950136,0.13568543593279014,0.4361232571811713,0.28676023337037804
bleu_marianmt_ft,1.4980377662343614e-05,0.0003292121683705629,0.9992419233031417,1.0,0.4361232571811713,0.49124480543522275,0.12914357745196858,0.3453634338073184,0.6180379355060781,0.9269593846299171,0.8294638472138312
bleu_mbart_pt,0.1424754447005775,0.4912448054352233,0.9269593846299171,0.4361232571811713,1.0,0.0003292121683705629,1.2185059932945386e-05,0.00011918568497271131,0.0007284913019138806,0.007428160701507758,0.002972995694509928
bleu_mbart_ft,1.0357714685937935e-11,9.071315920650136e-10,0.08519492428355202,0.49124480543522275,0.0003292121683705629,1.0,0.9998859624906091,0.9999999979045399,0.9999999997140815,0.9996874656062953,0.9999907095479014
bleu_google,5.895284260759581e-14,7.73336950032899e-12,0.009932147486221288,0.12914357745196858,1.2185059932945386e-05,0.9998859624906091,1.0,0.9999971222683701,0.9990694662014126,0.9484442572308379,0.9858626636722673
bleu_chatgpt_p1,2.0383694732117874e-12,2.035452917326097e-10,0.045377180954950136,0.3453634338073184,0.00011918568497271131,0.9999999979045399,0.9999971222683701,1.0,0.999999254004174,0.9971742035218841,0.9997540662839169
bleu_chatgpt_p2,3.78720388383158e-11,2.9792709410614293e-09,0.13568543593279014,0.6180379355060781,0.0007284913019138806,0.9999999997140815,0.9990694662014126,0.999999254004174,1.0,0.9999739359655692,0.9999998469762188
bleu_maritaca_p1,2.0110392240368924e-09,1.1191064908100401e-07,0.4361232571811713,0.9269593846299171,0.007428160701507758,0.9996874656062953,0.9484442572308379,0.9971742035218841,0.9999739359655692,1.0,0.9999999950403538
bleu_maritaca_p2,4.03731603704216e-10,2.5930060432166613e-08,0.28676023337037804,0.8294638472138312,0.002972995694509928,0.9999907095479014,0.9858626636722673,0.9997540662839169,0.9999998469762188,0.9999999950403538,1.0
