,meteor_openrnn_opus,meteor_openrnn_ft,meteor_marianmt_pt,meteor_marianmt_ft,meteor_mbart_pt,meteor_mbart_ft,meteor_google,meteor_chatgpt_p1,meteor_chatgpt_p2,meteor_maritaca_p1,meteor_maritaca_p2
meteor_openrnn_opus,1.0,0.9999997324737218,0.0009421698859126693,2.7577486077956515e-05,0.6040376486990119,9.071315920650136e-10,5.329070518200751e-15,3.78720388383158e-11,1.3529256603916906e-09,2.0215473961471275e-08,7.803695756258833e-08
meteor_openrnn_ft,0.9999997324737218,1.0,0.00019030095146788106,4.239306465758652e-06,0.35776248681864864,7.68174412968392e-11,3.3306690738754696e-16,2.7485791420645e-12,1.168969365750172e-10,2.0110392240368924e-09,8.359008707436999e-09
meteor_marianmt_pt,0.0009421698859126693,0.00019030095146788106,1.0,0.9996874656062953,0.49124480543522364,0.33318010213847393,0.0027465110603358545,0.12284572607271116,0.3703681270205329,0.6594702976668931,0.7974260254944545
meteor_marianmt_ft,2.7577486077956515e-05,4.239306465758652e-06,0.9996874656062953,1.0,0.10537089575803349,0.8294638472138312,0.04018619946016544,0.5334382886405696,0.8585484703430841,0.9772148048489465,0.9946301512733509
meteor_mbart_pt,0.6040376486990119,0.35776248681864864,0.49124480543522364,0.10537089575803349,1.0,0.00015800859151715585,2.2899441565193968e-08,1.6600361419261134e-05,0.0002087164673783004,0.0013197180741124637,0.0032167259954014593
meteor_mbart_ft,9.071315920650136e-10,7.68174412968392e-11,0.33318010213847393,0.8294638472138312,0.00015800859151715585,1.0,0.8924738788479633,0.9999971222683701,0.999999999999995,0.9999956711592952,0.9998513786208085
meteor_google,5.329070518200751e-15,3.3306690738754696e-16,0.0027465110603358545,0.04018619946016544,2.2899441565193968e-08,0.8924738788479633,1.0,0.9890806627445242,0.8675571001643083,0.6180379355060773,0.46346931465393804
meteor_chatgpt_p1,3.78720388383158e-11,2.7485791420645e-12,0.12284572607271116,0.5334382886405696,1.6600361419261134e-05,0.9999971222683701,0.9890806627445242,1.0,0.9999907095479014,0.9980068274720131,0.9890806627445242
meteor_chatgpt_p2,1.3529256603916906e-09,1.168969365750172e-10,0.3703681270205329,0.8585484703430841,0.0002087164673783004,0.999999999999995,0.8675571001643083,0.9999907095479014,1.0,0.9999988031091853,0.9999347498992704
meteor_maritaca_p1,2.0215473961471275e-08,2.0110392240368924e-09,0.6594702976668931,0.9772148048489465,0.0013197180741124637,0.9999956711592952,0.6180379355060773,0.9980068274720131,0.9999988031091853,1.0,0.9999999979045399
meteor_maritaca_p2,7.803695756258833e-08,8.359008707436999e-09,0.7974260254944545,0.9946301512733509,0.0032167259954014593,0.9998513786208085,0.46346931465393804,0.9890806627445242,0.9999347498992704,0.9999999979045399,1.0
