original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,bleu_score,meteor_score,bertscore,bartscore
"my tears are like the quiet drift
of petals from some magic rose;
and all my grief flows from the rift
of unremembered skies and snows.
i think, that if i touched the earth,
it would crumble;
it is so sad and beautiful,
so tremulously like a dream.","mes larmes sont comme la douce dérive
des pétales tombés de quelque rose magique ;
tout mon chagrin s’écoule de l’abîme
des cieux et neiges oubliés.
je crois, si je touchais la terre,
qu’elle s’effondrerait ;
elle est si triste et belle,
si frissonnante comme un rêve.",en_XX,fr_XX,"mes larmes sont comme le calme <unk> <unk> .
des pétales d&apos; une magie magique d&apos; un <unk> magique de la magie magique de
et tout mon deuil passe de l&apos; explosion de l&apos; explosion de l&apos; explosion de
<unk> <unk> et <unk> <unk>
<unk> qui <unk> la <unk> <unk> .
<unk> <unk> .
C&apos; est si triste et <unk> .
<unk> comme un <unk> comme un <unk> comme un <unk> comme un <unk> comme un",0.05124634860335101,0.28497243941955475,0.60468590259552,0.85500455
"my tears are like the quiet drift
of petals from some magic rose;
and all my grief flows from the rift
of unremembered skies and snows.
i think, that if i touched the earth,
it would crumble;
it is so sad and beautiful,
so tremulously like a dream.","mes larmes sont telles les discrets détours
de pétales chus d’une rose magique ;
et toute ma peine se déverse depuis la faille
de cieux et de neiges effacés.
je pense que, si j’atteignais la terre,
elle tomberait en morceaux ;
c’est tellement triste et beau,
tel un rêve qui tremble.",en_XX,fr_XX,"mes larmes sont comme le calme <unk> <unk> .
des pétales d&apos; une magie magique d&apos; un <unk> magique de la magie magique de
et tout mon deuil passe de l&apos; explosion de l&apos; explosion de l&apos; explosion de
<unk> <unk> et <unk> <unk>
<unk> qui <unk> la <unk> <unk> .
<unk> <unk> .
C&apos; est si triste et <unk> .
<unk> comme un <unk> comme un <unk> comme un <unk> comme un <unk> comme un",0.018851157424826077,0.27036241824218205,0.5989000201225281,0.845489
"my tears are like the quiet drift
of petals from some magic rose;
and all my grief flows from the rift
of unremembered skies and snows.
i think, that if i touched the earth,
it would crumble;
it is so sad and beautiful,
so tremulously like a dream.","mes larmes sont comme le tracé silencieux
des pétales tombés d’une rose enchantée ;
et toute ma douleur s’échappe hors du grand creux
de cieux et de neiges que j’ai occultés.
je crois, si je touchais la terre,
qu’elle s’écroulerait ;
elle est si malheureuse et belle,
comme un rêve par ses frissons.",en_XX,fr_XX,"mes larmes sont comme le calme <unk> <unk> .
des pétales d&apos; une magie magique d&apos; un <unk> magique de la magie magique de
et tout mon deuil passe de l&apos; explosion de l&apos; explosion de l&apos; explosion de
<unk> <unk> et <unk> <unk>
<unk> qui <unk> la <unk> <unk> .
<unk> <unk> .
C&apos; est si triste et <unk> .
<unk> comme un <unk> comme un <unk> comme un <unk> comme un <unk> comme un",0.04272181639613097,0.2545362903225807,0.5980581641197205,0.8502881
"my tears are like the quiet drift
of petals from some magic rose;
and all my grief flows from the rift
of unremembered skies and snows.
i think, that if i touched the earth,
it would crumble;
it is so sad and beautiful,
so tremulously like a dream.","mes larmes dérivent comme
les pétales d’une rose magique
et toute ma douleur coule
de la faille des cieux et de neiges sans nombre.
je pense que si je retombais
sur terre, je m’effriterais ;
c’est si triste et beau
c’est le tremblement d’un rêve.",en_XX,fr_XX,"mes larmes sont comme le calme <unk> <unk> .
des pétales d&apos; une magie magique d&apos; un <unk> magique de la magie magique de
et tout mon deuil passe de l&apos; explosion de l&apos; explosion de l&apos; explosion de
<unk> <unk> et <unk> <unk>
<unk> qui <unk> la <unk> <unk> .
<unk> <unk> .
C&apos; est si triste et <unk> .
<unk> comme un <unk> comme un <unk> comme un <unk> comme un <unk> comme un",0.03156847114280466,0.28440366972477066,0.6063429713249207,0.8576248
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, quand les voix tendres s’éteignent,
retentit dans la mémoire ;
les parfums, quand les douces violettes fanent,
vit encore dans les sensations qu’elles avivent.
les pétales de rose, quand la rose est morte,
sont amassés pour le lit de l’être aimé ;
ainsi donc l’image de toi, quand tu auras disparu,
sur quoi l’amour même reposera.",en_XX,fr_XX,"<unk> quand les voix douces <unk> <unk>
<unk> dans les <unk> dans les <unk> <unk> dans les <unk> <unk> dans les <unk>
<unk> quand <unk> <unk> <unk> <unk> <unk>
<unk> dans le sens où ils <unk> dans le sens où ils <unk> dans le
<unk> <unk> quand la rose est <unk> .
<unk> pour les <unk> <unk> <unk> pour les <unk> <unk>
et donc votre <unk> quand vous tapez des <unk> d&apos; art.
L&apos; amour se <unk> de la <unk> <unk> <unk> <unk> .",0.029438050760590452,0.1789926573178518,0.579077422618866,0.7937143
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, alors que les voix douces meurent,
retentit dans la mémoire ;
les senteurs, alors que les violettes suaves s’altèrent,
vit encore dans les sens qu’elles exaltent.
les pétales de rose, alors que la rose est morte,
s’amoncellent pour la couche de l’être aimé ;
or donc cette impression de toi, au moment de ton départ,
sur quoi l’amour même trouvera le sommeil.",en_XX,fr_XX,"<unk> quand les voix douces <unk> <unk>
<unk> dans les <unk> dans les <unk> <unk> dans les <unk> <unk> dans les <unk>
<unk> quand <unk> <unk> <unk> <unk> <unk>
<unk> dans le sens où ils <unk> dans le sens où ils <unk> dans le
<unk> <unk> quand la rose est <unk> .
<unk> pour les <unk> <unk> <unk> pour les <unk> <unk>
et donc votre <unk> quand vous tapez des <unk> d&apos; art.
L&apos; amour se <unk> de la <unk> <unk> <unk> <unk> .",0.02083525077416633,0.17973391494002183,0.5810176730155945,0.7978325
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, lorsque meurent les douces voix,
vibre en la mémoire ;
les odeurs, lorsque dépérissent les suaves violettes,
se préservent dans la sensation qu’elles attisent.
les pétales de rose, lorsque est morte la rose,
sont amoncelés pour le lit de la bien-aimée ;
ainsi tes pensées, lorsque tu seras partie,
seront la couche de l’amour.",en_XX,fr_XX,"<unk> quand les voix douces <unk> <unk>
<unk> dans les <unk> dans les <unk> <unk> dans les <unk> <unk> dans les <unk>
<unk> quand <unk> <unk> <unk> <unk> <unk>
<unk> dans le sens où ils <unk> dans le sens où ils <unk> dans le
<unk> <unk> quand la rose est <unk> .
<unk> pour les <unk> <unk> <unk> pour les <unk> <unk>
et donc votre <unk> quand vous tapez des <unk> d&apos; art.
L&apos; amour se <unk> de la <unk> <unk> <unk> <unk> .",0.009567460642490758,0.1390644753476612,0.5758697390556335,0.7908941
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, au moment que se taisent les voix douces,
résonne en la mémoire ;
les baumes, au moment que s’assèchent les violettes délicates,
perdurent dans le sens qu’elles exaltent.
les pétales de rose, une fois que la rose a péri,
s’amoncellent pour former la couche de l’aimé ;
de même la pensée de toi, une fois que tu seras parti,
à quoi l’amour lui-même s’endormira.",en_XX,fr_XX,"<unk> quand les voix douces <unk> <unk>
<unk> dans les <unk> dans les <unk> <unk> dans les <unk> <unk> dans les <unk>
<unk> quand <unk> <unk> <unk> <unk> <unk>
<unk> dans le sens où ils <unk> dans le sens où ils <unk> dans le
<unk> <unk> quand la rose est <unk> .
<unk> pour les <unk> <unk> <unk> pour les <unk> <unk>
et donc votre <unk> quand vous tapez des <unk> d&apos; art.
L&apos; amour se <unk> de la <unk> <unk> <unk> <unk> .",0.020151192198940043,0.14412945634924076,0.563366174697876,0.78977823
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, quand les voix s’adoucissent à mourir,
résonne en souvenir ;
les fragrances, quand les tendres violettes se gâtent,
perdurent dans la sensualité qu’elles exaltent.
les pétales de rose, quand la rose a péri,
sont ramassés pour le lit de l’être chéri ;
et donc cette impression de toi, quand tu t’en seras allée,
sur laquelle l’amour même est voué à reposer.",en_XX,fr_XX,"<unk> quand les voix douces <unk> <unk>
<unk> dans les <unk> dans les <unk> <unk> dans les <unk> <unk> dans les <unk>
<unk> quand <unk> <unk> <unk> <unk> <unk>
<unk> dans le sens où ils <unk> dans le sens où ils <unk> dans le
<unk> <unk> quand la rose est <unk> .
<unk> pour les <unk> <unk> <unk> pour les <unk> <unk>
et donc votre <unk> quand vous tapez des <unk> d&apos; art.
L&apos; amour se <unk> de la <unk> <unk> <unk> <unk> .",0.021256377710996383,0.16459394620595472,0.5773401856422424,0.78896964
"now lords and ladies blithe and bold,
to bless you here now am i bound:
i thank you all a thousand-fold,
and pray god save you whole and sound;
wherever you go on grass or ground,
may he you guide that nought you grieve,
for friendship that i here have found
against my will i take my leave.
for friendship and for favours good,
for meat and drink you heaped on me,
the lord that raised was on the rood
now keep you comely company.
on sea or land where’er you be,
may he you guide that nought you grieve.
such fair delight you laid on me
against my will i take my leave.
against my will although i wend,
i may not always tarry here;
for everything must have and end,
and even friends must part, i fear;
be we beloved however dear
out of this world death will us reave,
and when we brought are to our bier
against our will we take our leave.
now good day to you, goodmen all,
and good day to you, young and old,
and good day to you, great and small,
and gramercy a thousand-fold!
if ought there were that dear ye hold,
full fain i would the deed achieve –
now christ you keep from sorrows cold
for now at last i take my leave.","seigneurs et dames, allègres et admirables,
recevez à présent ma bénédiction :
soyez tous remerciés mille fois,
et dieu vous garde sains et saufs ;
que vos pas mènent sur l’herbe douce ou le sol dur,
qu’il vous guide afin que rien ne vous afflige,
puisque ici j’ai trouvé l’amitié
je prends congé contre mon gré.
vous m’avez tant couvert d’affection et de faveurs,
tant pourvu en vivres et en boisson,
puisse notre seigneur qui fut cloué sur la croix
vous tenir une délicate compagnie.
que vous soyez sur terre ou sur mer,
qu’il vous guide afin que rien ne vous afflige.
puisque vous m’avez apporté tant de plaisir
je prends congé contre mon gré.
quand bien même je m’en vais malgré moi,
je ne pourrais demeurer ici pour toujours ;
car toutes choses doivent finir,
et même les amis se séparer, je le crains ;
quelle que soit la force de nos liens
la mort nous arrachera à ce monde,
et lorsque nous serons mis en bière
nous prendrons congé contre notre gré.
à présent, salut à vous, tous gens de bien,
salut à vous, jeunes et vieux,
salut à vous, petits et grands,
et mille fois grand merci !
si quelque dessein vous tenait à cœur,
je l’accomplirais bien volontiers –
à présent, christ vous garde des peines cruelles,
car enfin je prends congé.",en_XX,fr_XX,"<unk> et messieurs <unk> et <unk> <unk> et <unk> <unk> et <unk> <unk> et <unk>
<unk> vous <unk> ici maintenant ,
Merci beaucoup à tous un <unk> .
et prier Dieu vous sauve tout et <unk> .
où vous allez sur l&apos; herbe ou la <unk> .
<unk> que vous <unk> cette <unk> qui vous <unk> <unk> <unk> qui vous <unk> <unk>
pour l&apos; amitié qui a trouvé qu&apos; ici , ici , ont trouvé qu&apos; ici
<unk> ma <unk> <unk> <unk> mon <unk> <unk>
pour l&apos; amitié et pour les services de service pour l&apos; amitié et pour les
pour la viande et boire des <unk> sur <unk>
le seigneur qui a été élevé était sur le <unk> <unk> .
maintenant vous gardez <unk> <unk> <unk> .
<unk> sur la mer ou la terre <unk> vous <unk> <unk> .
<unk> que vous <unk> cette <unk> qui vous <unk> <unk> <unk> qui vous <unk> <unk>
si juste que vous me <unk> sur moi sur moi .
<unk> ma <unk> <unk> <unk> mon <unk> <unk>
contre ma volonté , bien qu&apos; un <unk> <unk> <unk> .
Il n&apos; y a peut-être pas toujours de <unk> <unk> <unk> .
pour tout avoir et <unk> pour tout avoir et <unk> pour tout avoir et <unk>
et même des amis doivent <unk> d&apos; une certaine façon <unk> <unk> <unk>
être appréciée par les chers aussi chers que nous sommes chers aussi chers que nous
<unk> de ce monde <unk> nous <unk> de la mort de ce monde nous <unk>
et quand nous avons amené nos <unk> à notre <unk> .
<unk> notre volonté de prendre notre <unk>
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> .
et du bon jour pour <unk> jeunes et <unk> jeunes et <unk> jeunes et <unk>
et le bon jour pour <unk> grand et <unk> <unk>
et <unk> une <unk> <unk> .
S&apos; il y avait ce <unk> <unk> <unk> <unk> .
L&apos; action <unk> <unk> -
<unk> de <unk> froid .
maintenant , à l&apos; échelle dernière ,",0.0064176286771620294,0.1897994927087027,0.5644288063049316,0.90603244
