original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,bleu_score,meteor_score,bertscore,bartscore
"bright star, would i were stedfast as thou art—
not in lone splendour hung aloft the night
and watching, with eternal lids apart,
like nature's patient, sleepless eremite,
the moving waters at their priestlike task
of pure ablution round earth's human shores,
or gazing on the new soft-fallen mask
of snow upon the mountains and the moors—
no—yet still stedfast, still unchangeable,
pillow'd upon my fair love's ripening breast,
to feel for ever its soft fall and swell,
awake for ever in a sweet unrest,
still, still to hear her tender-taken breath,
and so live ever—or else swoon to death.","astre brillant! puissé-je, immobile comme tu l'es—
non pas, resplendir à l'écart suspendu dans la nuit,
et surveiller, les paupières éternellement redressées,
tel un forçat de la nature, ermite sans sommeil,
les eaux mouvantes, dans leur tâche lustrale,
purifiant de leur ablution les rivages des hommes,
ou contempler le masque floconneux, que, fraîchement tombée,
la neige impose aux montagnes et aux bruyères,—
non,—mais, puissé-je, toujours immobile, toujours immuable,
posséder comme oreiller le sein mûrissant de ma bien aimée,
pour le sentir à jamais doucement se soulever puis s'abaisser,
eveillé à jamais en une délicieuse insomnie,
pour entendre encore, et encore, sa tendre respiration,
et vivre ainsi toujours—ou sinon m'évanouir dans la mort!",en_XX,fr_XX,"<unk> <unk> <unk> en tant que « <unk> <unk> » .
Ce n&apos; est pas dans le cas de la nuit de la nuit .
et <unk> avec <unk> <unk> <unk> .
Comme <unk> <unk> <unk> <unk> <unk> <unk> , comme <unk> <unk> <unk> , comme <unk> <unk>
<unk> à leur tâche <unk> à leur tâche .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> , <unk> <unk> , <unk> <unk> , <unk> de
ou <unk> sur le nouveau masque <unk> <unk> .
La neige de la neige sur la montagne et le <unk> de la neige .
<unk> toujours <unk> toujours <unk> .
<unk> sur mon <unk> <unk> <unk> <unk> <unk> .
pour avoir jamais eu sa queue douce et <unk> pour avoir jamais eu sa queue et
Pour jamais jamais dans un club de 5 ans .
<unk> toujours à l&apos; entendre son <unk> <unk> .
et donc vivre <unk> d&apos; autres <unk> pour <unk> à <unk> .",0.008402679462319753,0.16463456376140204,0.5543737411499023,0.88462925
"so on a pleasant morning, as he leant
into the sun-rise, o’er the balustrade
of the garden-terrace, towards him they bent
their footing through the dews; and to him said,
«you seem there in the quiet of content,
«lorenzo, and we are most loth to invade
«calm speculation; but if you are wise,
«bestride your steed while cold is in the skies.","ainsi, par une riante matinée, comme il se penchait
au lever du soleil, par dessus la balustrade
de la terrasse du jardin, vers lui ils dirigèrent
leurs pas à travers la rosée; et lui dirent:
«vous semblez heureux et satisfait ici,
lorenzo, et nous sommes désolés de troubler
votre paisible méditation; mais si vous êtes sage,
enfourchez votre coursier pendant qu'il fait encore frais.",en_XX,fr_XX,"Donc , sur un <unk> <unk> comme il <unk> .
Dans le <unk> <unk> , le <unk> <unk> le <unk> <unk> .
pour lui qu&apos; ils se <unk> qu&apos; ils <unk> qu&apos; ils <unk> qu&apos; ils <unk> <unk>
<unk> à travers le <unk> et lui <unk> à son <unk> .
<unk> semble là dans le calme de <unk> de <unk> .
<unk> et nous sommes la plus <unk> pour envahir les <unk> et nous sommes la plus
<unk> <unk> , mais si vous êtes <unk> .
<unk> votre <unk> pendant le froid est dans le <unk> de la <unk> .",0.03092724804664664,0.2708689458689459,0.5832184553146362,0.85343605
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, au moment que se taisent les voix douces,
résonne en la mémoire ;
les baumes, au moment que s’assèchent les violettes délicates,
perdurent dans le sens qu’elles exaltent.
les pétales de rose, une fois que la rose a péri,
s’amoncellent pour former la couche de l’aimé ;
de même la pensée de toi, une fois que tu seras parti,
à quoi l’amour lui-même s’endormira.",en_XX,fr_XX,"<unk> quand <unk> <unk> <unk> <unk> <unk> <unk> <unk> .
<unk> dans le <unk> de <unk> .
<unk> quand <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> .
Ils vivent dans le sens qu&apos; ils <unk> dans le sens qu&apos; ils <unk> dans
<unk> quand le bébé est <unk> ,
<unk> pour le <unk> <unk> <unk> .
Donc , si vous <unk> l&apos; art à l&apos; art .
L&apos; amour lui-même se <unk> <unk> <unk> <unk> .",0.022135399475189634,0.14458460200086995,0.5647284984588623,0.80665493
"had i the heavens’ embroidered cloths,
enwrought with golden and silver light,
the blue and the dim and the dark cloths
of night and light and the half light,
i would spread the cloths under your feet:
but i, being poor, have only my dreams;
i have spread my dreams under your feet;
tread softly because you tread on my dreams.","eussé-je des cieux les vêtements brodés,
tissus de lumière d’or et de lumière d’argent,
les bleus, les troubles, les noirs vêtements
de la nuit et du jour et du demi-jour,
je jetterais sous tes pieds tous ces vêtements ;
mais je suis pauvre, et je n’ai que mes rêves ;
j’ai voulu que mes rêves soient jetés sous tes pieds ;
fais-toi légère car tu foules mes rêves.",en_XX,fr_XX,"Le <unk> <unk> <unk> <unk> <unk> .
<unk> avec de l&apos; or et de la volonté de <unk> <unk> ,
Les <unk> et les <unk> et les <unk> sombres et l&apos; obscurité et l&apos; obscurité et
La nuit et la moitié de la moitié et la moitié de la moitié de la
<unk> <unk> le <unk> sous votre <unk> .
Mais <unk> être <unk> n&apos; ont que mon <unk> .
<unk> ont <unk> mes rêves sous votre <unk> .
<unk> doucement parce que vous <unk> sur mon <unk> <unk> .",0.024434905053008927,0.18677215046196452,0.6027693152427673,0.8999106
"out in the mindless void the daemon bore me,
past the bright clusters of dimensioned space,
till neither time nor matter stretched before me,
but only chaos, without form or place.
here the vast lord of all in darkness muttered
things he had dreamed but could not understand,
while near him shapeless bat-things flopped and fluttered
in idiot vortices that ray-streams fanned.
they danced insanely to the high, thin whining
of a cracked flute clutched in a moustrous paw,
whence flow the aimless waves whose chance combining
gives each frail cosmos its eternal law.
« i am his messenger, » the daemon said,
as in contempt he struck his master’s head.","le daimôn m’enleva dans le vide insensible,
par-delà les amas brillants de l’espace dimensionné,
jusqu’à ce que ni le temps ni la matière ne s’étendissent devant moi,
rien que le chaos, sans forme ni lieu.
ici, le vaste seigneur de tout murmurait dans les ténèbres
des choses qu’il avait rêvées mais ne pouvait comprendre,
pendant qu’auprès de lui d’informes choses vampiriques voltigeaient, chutaient,
en vortex idiots qu’éventaient des flux de rayons.
prises de frénésie elles dansaient au son aigu, plaintivement fluet
d’une flûte fendue, dans l’étau d’une patte monstrueuse,
d’où s’écoulait sans but l’onde aux mélanges hasardeux qui
donnent à chaque cosmos fragile sa loi éternelle.
« je suis son messager », affirma le daimôn,
alors qu’il frappait, méprisant, la tête de son maître.",en_XX,fr_XX,"<unk> au vide <unk> , le <unk> <unk> <unk> <unk> .
Au cours des groupes <unk> de <unk> <unk> de <unk> <unk> .
Peu importe ce n&apos; est pas le moment de ne pas se laver avant de ne
Mais seulement <unk> sans forme ou <unk> ne forme pas de <unk> ou de <unk> ,
Ici , le grand Mike de tous dans l&apos; obscurité de <unk> .
Il avait cru qu&apos; il n&apos; avait pas pu <unk> , mais ne pouvait pas se
<unk> <unk> <unk> et <unk> <unk> et <unk> <unk> ,
<unk> <unk> qui <unk> <unk> <unk> qui <unk> <unk> <unk> .
Ils <unk> à la taille de la taille de la taille <unk> <unk> .
Un <unk> de <unk> <unk> dans un <unk> de <unk> <unk> , dans un <unk> de
<unk> <unk> les vagues <unk> dont la chance <unk> la chance de manipuler les ondes <unk>
<unk> le cosmos de <unk> ses <unk> <unk> .
<unk> <unk> est son <unk> <unk> le <unk> <unk> <unk> .
En tant qu&apos; au Cambodge qu&apos; il avait frappé son <unk> <unk> <unk> .",0.014478145263668918,0.15882178868757374,0.5547621846199036,0.8478652
"she danc'd along with vague, regardless eyes,
anxious her lips, her breathing quick and short:
the hallow'd hour was near at hand: she sighs
amid the timbrels, and the throng'd resort
of whisperers in anger, or in sport;
'mid looks of love, defiance, hate, and scorn,
hoodwink'd with faery fancy; all amort,
save to st. agnes and her lambs unshorn,
and all the bliss to be before to-morrow morn.","elle trépignait dans l'attente, les yeux vagues, sans regards,
les lèvres anxieuses, la respiration brève et haletante:
l'heure consacrée approchait: elle soupirait
parmi les tambourins et la foule entassée
qui chuchotait avec colère, ou avec gaîté;
parmi les regards d'amour, de défiance, de haine, de dédain,
aveuglée par son fantasque caprice: toute triste,
ne pensant qu'à sainte-agnès, à ses agneaux sous leurs toisons,
et à toute la félicité qui devait survenir avant le lendemain matin.",en_XX,fr_XX,"Elle <unk> le long de <unk> <unk> .
Son <unk> son <unk> de sa queue et son <unk> <unk> ,
La prochaine heure de <unk> était près de <unk> qu&apos; elle <unk> à <unk> , elle
<unk> le <unk> et le <unk> <unk> <unk> ,
de <unk> ou de <unk> dans le <unk> ou dans le <unk> de <unk> ou de
<unk> ressemble à <unk> <unk> et <unk> <unk> et <unk> <unk> ,
<unk> avec <unk> <unk> tous les <unk> .
<unk> à <unk> <unk> et ses moutons <unk> <unk> et ses moutons <unk> <unk> et ses
et tous les <unk> pour être avant de <unk> <unk> <unk> .",0.008513157561759858,0.14367816091954022,0.5676702857017517,0.82001334
"bright star, would i were steadfast as thou art—
not in lone splendour hung aloft the night
and watching, with eternal lids apart,
like nature’s patient, sleepless eremite,
the moving waters at their priestlike task
of pure ablution round earth’s human shores,
or gazing on the new soft-fallen mask
of snow upon the mountains and the moors—
no—yet still steadfast, still unchangeable,
pillow’d upon my fair love’s ripening breast,
to feel for ever its soft fall and swell,
awake for ever in a sweet unrest,
still, still to hear her tender-taken breath,
and so live ever—or else swoon to death.","vive étoile, avec ta fermeté que j’advienne —
non dans un éclat seul appendu dans la nuit,
aux aguets, ouvrant des paupières éternelles
tel de la nature l’ermite sans sommeil,
des eaux mouvantes qui tâchent comme des prêtres
à la pure ablution de toute rive humaine,
à l’affût du masque doux, tombé à l’instant,
de la neige sur les montagnes et les landes —
non — pourtant ferme encore, indéfectible encore,
ma tête sur le sein mûr de ma bien-aimée,
pour sentir à jamais son doux balancement,
à jamais éveillé dans un trouble plaisant,
encore, encore à l’écoute de son haleine,
ainsi vivre toujours — ou sombrer dans la mort.",en_XX,fr_XX,"<unk> <unk> <unk> en tant que « <unk> <unk> » .
Ce n&apos; est pas dans le cas de la nuit de la nuit .
et <unk> avec <unk> <unk> <unk> .
Comme <unk> <unk> <unk> <unk> <unk> <unk> , comme <unk> <unk> <unk> , comme <unk> <unk>
<unk> à leur tâche <unk> à leur tâche .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> , <unk> <unk> , <unk> <unk> , <unk> de
ou <unk> sur le nouveau masque <unk> <unk> .
La neige de la neige sur la montagne et le <unk> de la neige .
<unk> toujours <unk> toujours <unk> .
<unk> sur mon <unk> <unk> <unk> <unk> <unk> .
pour avoir jamais eu sa queue douce et <unk> pour avoir jamais eu sa queue et
Pour jamais jamais dans un club de 5 ans .
<unk> toujours à l&apos; entendre son <unk> <unk> .
et donc vivre <unk> d&apos; autres <unk> pour <unk> à <unk> .",0.018303509737684496,0.1605285571349425,0.5688843131065369,0.8654555
"queen of the wide air; thou most lovely queen
of all the brightness that mine eyes have seen!
as thou exceedest all things in thy shine,
so every tale, does this sweet tale of thine.
o for three words of honey, that i might
tell but one wonder of thy bridal night!","reine du vaste espace, ô souveraine la plus charmante
entre toutes les splendeurs que mes yeux aient vues!
de même que ton éclat surpasse toutes choses,
de même aucun conte n'atteint la douceur du tien.
oh! pour trois paroles suaves comme le miel, puissé-je
raconter une seule merveille de ta nuit nuptiale!",en_XX,fr_XX,"La mère de la grande mère <unk> la plus belle dame le plus belle que la
Les yeux de la cavalerie ont des <unk> de toute la stratosphère que les yeux ont
<unk> tous des choses dans le <unk> de <unk> .
Donc tous les <unk> font ce célèbre conte de <unk> de <unk> .
Pendant 3 mots de <unk> qui pourraient être <unk> ,
Personne ne me demande d&apos; être <unk> <unk> <unk> .",0.01100352086107795,0.13385826771653545,0.5866830945014954,0.9006201
"for them the ceylon diver held his breath,
and went all naked to the hungry shark;
for them his ears gush’d blood; for them in death
the seal on the cold ice with piteous bark
lay full of darts; for them alone did seethe
a thousand men in troubles wide and dark:
half-ignorant, they turn’d an easy wheel,
that set sharp racks at work, to pinch and peel.","pour eux, le plongeur de ceylan retenait sa respiration,
et s'exposait sans défense à la voracité des requins;
pour eux le sang jaillissait de ses oreilles; pour eux, mourant,
sur la froide glace, le phoque aboyait lugubrement
et gisait criblé de dards; pour eux seuls se consumaient
des milliers d'hommes en proie à des tourments innombrables:
semi-barbares, ils tournaient nonchalamment une roue.
instrument de torture qui tranchait, broyait, écorchait vif.",en_XX,fr_XX,"pour eux , pour eux les <unk> <unk> <unk> son <unk> .
et nous sommes allés tous à la mort à la mort <unk> .
pour eux pour eux en mort pour eux en mort pour eux en mort .
Le <unk> sur la glace froide avec le <unk> de la glace avec <unk> <unk> , avec
Il s&apos; agit de <unk> pour eux qu&apos; il n&apos; avait pas fait de <unk> pour eux
Un millier de personnes en difficulté et de <unk> <unk> et <unk> .
<unk> qu&apos; ils ont <unk> un <unk> facile .
<unk> <unk> à <unk> et <unk> , à <unk> et à <unk> , et à <unk> ,",0.02020951037143986,0.26254662774436516,0.5952268838882446,0.8647034
"small, busy flames play through the fresh laid coals,
and their faint cracklings o'er our silence creep
like whispers of the household gods that keep
a gentle empire o'er fraternal souls.
and while, for rhymes, i search around the poles,
your eyes are fix d, as in poetic sleep,
upon the lore so voluble and deep,
that aye at fall of night our care condoles.
this is your birth-day tom, and i rejoice
that thus it passes smoothly, quietly.
many such eves of gently whisp'ring noise
may we together pass, and calmly try
what are this world s true joys, ere the great voice,
from its fair face, shall bid our spirits fly.","de petites flammes agitées traversent le charbon dont on vient d'emplir l'âtre,
et leur léger pétillement se fait entendre au milieu de notre solitude,
tels des chuchotements de dieux familiers qui gardent
un affectueux empire sur nos fraternelles âmes.
et pendant qu'à la recherche de rimes je voyage jusqu'aux pôles,
vos regards sont fixés, comme en un sommeil poétique,
sur la légende si abondante et si profonde
qui toujours, à la tombée de la nuit, apaise nos soucis.
c'est votre jour de naissance, tom, et je me réjouis
qu'il se passe ainsi en une reposante quiétude.
bien des veillées semblables de doux chuchotement
puissions-nous passer ensemble, et ressentir dans le calme
ce que sont les vraies joies d'ici-bas—avant que la grande voix
de la céleste bouche, ordonne à nos esprits de prendre notre vol.",en_XX,fr_XX,"<unk> s&apos; est occupé à la recherche de boue à travers le <unk> <unk> .
et leur <unk> <unk> <unk> notre silence <unk> notre silence <unk> de notre silence et de leur silence
comme <unk> des dieux de la maison qui continuent de conserver les dieux de la retraite qui gardent
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> .
et <unk> pour la recherche de la recherche de la recherche de la recherche de <unk> .
Vos yeux <unk> des <unk> comme dans le <unk> <unk> ,
<unk> et <unk> , <unk> et <unk> .
<unk> de la nuit de la nuit de nos soins <unk> de la nuit .
C&apos; est votre « <unk> <unk> » et « <unk> <unk> » .
C&apos; est ainsi que ça marche <unk> <unk> .
Combien de <unk> <unk> <unk> <unk> <unk> <unk> .
Nous avons peut-être des <unk> et essayer d&apos; essayer d&apos; essayer d&apos; essayer de <unk> et d&apos; <unk>
Ce qui est vrai à ce que ce monde est le plus gros <unk> <unk> le grand <unk>
de sa droite juste , de ses <unk> <unk> de nos esprits <unk> <unk> de nos esprits <unk>",0.021197568596916,0.19251012584571234,0.5687431693077087,0.8440269
