original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,bleu_score,meteor_score,bertscore,bartscore
"land lies in water; it is shadowed green.
shadows, or are they shallows, at its edges
showing the line of long sea-weeded ledges
where weeds hang to the simple blue from green.
or does the land lean down to lift the sea from under,
drawing it unperturbed around itself?
along the fine tan sandy shelf
is the land tugging at the sea from under?
the shadow of newfoundland lies flat and still.
labrador’s yellow, where the moony eskimo
has oiled it. we can stroke these lovely bays,
under a glass as if they were expected to blossom,
or as if to provide a clean cage for invisible fish.
the names of seashore towns run out to sea,
the names of cities cross the neighboring mountains
— the printer here experiencing the same excitement
as when emotion too far exceeds its cause.
these peninsulas take the water between thumb and finger
like women feeling for the smoothness of yard-goods.
mapped waters are more quiet than the land is,
lending the land their waves’ own corfirmation:
and norway’s hare runs south in agitation,
profiles investigate the sea, where land is.
are they assigned, or can the countries pick their colors?
— what suits the character or the native waters best.
topography displays no favorites; north’s as near as west.
more delicate than the historians’ are the map-makers’ colors.","terra entre águas, sombreada de verde.
sombras, talvez rasos, lhe traçam o contorno,
uma linha de recifes, algas como adorno,
riscando o azul singelo com seu verde.
ou a terra avança sobre o mar e o levanta
e abarca, sem bulir suas águas lentas?
ao longo das praias pardacentas
será que a terra puxa o mar e o levanta?
a sombra da terra nova jaz imóvel.
o labrador é amarelo, onde o esquimó sonhador
o untou de óleo. afagamos essas belas baías,
em vitrines, como se fossem florir, ou como se
para servir de aquário a peixes invisíveis.
os nomes dos portos se espraiam pelo mar,
os nomes das cidades sobem as serras vizinhas
— aqui o impressor experimentou um sentimento semelhante
ao da emoção ultrapassando demais a sua causa.
as penínsulas pegam a água entre polegar e indicador
como mulheres apalpando pano antes de comprar.
as águas mapeadas são mais tranquilas que a terra,
e lhe emprestam sua forma ondulada:
a lebre da noruega corre para o sul, afobada,
perfis investigam o mar, onde há terra.
é compulsório, ou os países escolhem as suas cores?
— as mais condizentes com a nação ou as águas nacionais.
topografia é imparcial; norte e oeste são iguais.
mais sutis que as do historiador são do cartógrafo as cores.",en_XX,pt_XX,"A terra repousa na água; é sombreada de verde.
Sombras, ou serão elas rasas, em suas margens
mostram a linha de longas lajes cobertas de algas
onde as algas pendem do azul simples do verde.
ou será que a terra se inclina para erguer o mar de baixo,
envolvendo-o imperturbado ao seu redor?
ao longo da fina prateleira de areia bronzeada
a terra puxa o mar de baixo?
a sombra de Newfoundland jaz plana e quieta.
o Labrador é amarelo, onde o esquimó lunar
o untou. podemos acariciar essas belas baías,
sob um vidro como se fossem esperadas florescer,
ou como se fornecessem uma gaiola limpa para peixes invisíveis.
os nomes de cidades costeiras correm para o mar,
os nomes de cidades atravessam as montanhas vizinhas
— o impressor aqui experimentando a mesma excitação
quando a emoção excede demais a sua causa.
essas penínsulas seguram a água entre o polegar e o dedo
como mulheres sentindo a suavidade dos tecidos.
as águas mapeadas são mais tranquilas do que a terra,
emprestando à terra a confirmação das próprias ondas:
e a lebre da Noruega corre para o sul em agitação,
perfis investigam o mar, onde a terra está.
serão eles atribuídos, ou os países podem escolher suas cores?
— o que se adequa melhor ao caráter ou às águas nativas.
a topografia não mostra favoritismo; o norte está tão perto quanto o oeste.
mais delicadas do que as dos historiadores são as cores dos cartógrafos.",0.2684423047502018,0.5229575229499157,0.8114302158355713,0.9936478
"we’d rather have the iceberg than the ship,
although it meant the end of travel.
although it stood stock-still like cloudy rock
and all the sea were moving marble.
we’d rather have the iceberg than the ship;
we’d rather own this breathing plain of snow
though the ship’s sails were laid upon the sea
as the snow lies undissolved upon the water.
o solemn, floating field,
are you aware an iceberg takes repose
with you, and when it wakes may pasture on your snows?","o iceberg nos atrai mais que o navio,
mesmo acabando com a viagem.
mesmo pairando imóvel, nuvem pétrea,
e o mar um mármore revolto.
o iceberg nos atrai mais que o navio:
queremos esse chão vivo de neve,
mesmo com as velas do navio tombadas
qual neve indissoluta sobre a água.
ó calmo campo flutuante,
sabes que um iceberg dorme em ti, e em breve
vai despertar e talvez pastar na tua neve?",en_XX,pt_XX,"Prefiríamos ter o iceberg do que o navio,
mesmo que isso significasse o fim das viagens.
mesmo que ele permanecesse imóvel como rocha nublada
e todo o mar fosse como mármore em movimento.
Prefiríamos ter o iceberg do que o navio;
prefiríamos possuir essa planície respirante de neve
embora as velas do navio estivessem estendidas sobre o mar
enquanto a neve permanece indissolúvel sobre a água.
Ó solene campo flutuante,
você tem consciência de que um iceberg repousa
com você e quando desperta pode pastar em suas neves?",0.16338753185117624,0.41099207204245425,0.7790834307670593,0.968836
"this is a scene a sailor’d give his eyes for
the ship’s ignored. the iceberg rises
and sinks again; its glassy pinnacles
correct elliptics in the sky.
this is a scene where he who treads the boards
is artlessly rhetorical. the curtain
is light enough to rise on finest ropes
that airy twists of snow provide.
the wits of these white peaks
spar with the sun. its weight the iceberg dares
upon a shifting stage and stands and stares.","esta cena um marujo daria os olhos
pra ver. esquece-se o navio. o iceberg
sobe e desce; seus píncaros de vidro
corrigem elípticas no céu.
este cenário empresta a quem o pisa
uma retórica fácil. o pano leve
é levantado por cordas finíssimas
de aéreas espirais de neve.
duelo de argúcia entre as alvas agulhas
e o sol. o seu peso o iceberg enfrenta
no palco instável e incerto onde se assenta.",en_XX,pt_XX,"Esta é uma cena que um marinheiro daria seus olhos para ter
O navio é ignorado. O iceberg se ergue
e afunda novamente; suas pontas de vidro
corrigem elípticos no céu.
Esta é uma cena onde aquele que pisa as tábuas
é artificiosamente retórico. A cortina
é leve o suficiente para subir nas melhores cordas
que os torções aéreos da neve proporcionam.
Os espíritos desses picos brancos
duelam com o sol. Seu peso o iceberg desafia
em um palco em constante mudança, e fica de pé e observa.",0.07984263153404746,0.37839615997627785,0.7457622289657593,0.95965326
"this iceberg cuts its facets from within.
like jewelry from a grave
it saves itself perpetually and adorns
only itself, perhaps the snows
which so surprise us lying on the sea.
good-bye, we say, good-bye, the ship steers off
where waves give in to one another’s waves
and clouds run in a warmer sky.
icebergs behoove the soul
(both being self-made from elements least visible)
to see them so: fleshed, fair, erected indivisible.","é por dentro que o iceberg se faceta.
tal como joias numa tumba
ele se salva para sempre, e adorna
só a si, talvez também as neves
que nos assombram tanto sobre o mar.
adeus, adeus, dizemos, e o navio
segue viagem, e as ondas se sucedem,
e as nuvens buscam um céu mais quente.
o iceberg seduz a alma
(pois os dois se inventam do quase invisível)
a vê-lo assim: concreto, ereto, indivisível.",en_XX,pt_XX,"Este iceberg corta seus facetes de dentro.
como joias de uma sepultura
ele se salva perpetuamente e se adorna
apenas a si mesmo, talvez as neves
que tanto nos surpreendem deitadas no mar.
adeus, dizemos, adeus, o navio segue em frente
onde as ondas cedem umas às outras
e as nuvens correm em um céu mais quente.
icebergs convêm à alma
(ambos sendo auto-criados a partir de elementos menos visíveis)
vê-los assim: encorpados, belos, eretos indivisíveis.",0.1768827589777536,0.4892525257485177,0.7976306676864624,0.9679755
"alone on the railroad track
i walked with pounding heart.
the ties were too close together
or maybe too far apart.
the scenery was impoverished:
scrub-pine and oak; beyond
its mingled gray-green foliage
i saw the little pond
where the dirty hermit lives,
lie like an old tear
holding onto its injuries
lucidly year after year.
the hermit shot off his shot-gun
and the tree by his cabin shook.
over the pond went a ripple.
the pet hen went chook-chook.
“love should be put into action!”
screamed the old hermit.
across the pond an echo
tried and tried to confirm it.","sozinha nos trilhos eu ia,
coração aos saltos no peito.
o espaço entre os dormentes
era excessivo, ou muito estreito.
paisagem empobrecida:
carvalhos, pinheiros franzinos;
e além da folhagem cinzenta
vi luzir ao longe o laguinho
onde vive o eremita sujo,
como uma lágrima translúcida
a conter seus sofrimentos
ao longo dos anos, lúcida.
o eremita deu um tiro
e uma árvore balançou.
o laguinho estremeceu.
sua galinha cacarejou.
bradou o velho eremita:
“amor tem que ser posto em prática!”
ao longe, um eco esboçou
sua adesão, não muito enfática.",en_XX,pt_XX,"sozinho na linha do trem
eu caminhava com o coração batendo.
os trilhos estavam muito próximos
ou talvez muito distantes.
a paisagem era empobrecida:
pinheiros e carvalhos; além
de seu misto de folhagem cinza-esverdeada
eu vi o pequeno lago
onde o eremita sujo vive,
deitado como uma velha lágrima
agarrando-se às suas feridas
lucidamente ano após ano.
o eremita disparou sua espingarda
e a árvore perto de sua cabana tremeu.
sobre o lago foi uma ondulação.
a galinha de estimação fez chook-chook.
""o amor deve ser colocado em ação!""
gritou o velho eremita.
do outro lado do lago um eco
tentou e tentou confirmar isso.",0.043928914489783255,0.32346282550401045,0.78104168176651,0.98297536
"which eye’s his eye?
which limb lies
next the mirror?
for neither is clearer
nor a different color
than the other,
nor meets a stranger
in this arrangement
of leg and leg and
arm and so on.
to his mind
it’s the indication
of a mirrored reflection
somewhere along the line
of what we call the spine.","qual olho é o dele?
qual membro é real
e qual está no espelho?
a cor é igual
à esquerda e à direita,
e ninguém suspeita
que esta ou aquela
perna, ou braço, seja
verdade ou impostura
nessa estranha estrutura.
a seu ver,
isso é prova garantida
de uma imagem refletida
ao longo desta linha
que chamamos de espinha.",en_XX,pt_XX,"Qual olho é o seu olho?
Qual membro repousa
ao lado do espelho?
Pois nenhum é mais claro
nem de cor diferente
do que o outro,
nem encontra um estranho
neste arranjo
de perna e perna e
braço e assim por diante.
Para sua mente
é a indicação
de um reflexo espelhado
em algum ponto
do que chamamos de espinha.",0.12982200919474038,0.31109600062657083,0.7711553573608398,0.9547548
"he felt in modesty
his person was
half looking-glass,
for why should he
be doubled?
the glass must stretch
down his middle,
or rather down the edge.
but he’s in doubt
as to which side’s in or out
of the mirror.
there’s little margin for error,
but there’s no proof, either.
and if half his head’s reflected,
thought, he thinks, might be affected.","modesto, sentia
que sua pessoa
era metade espelho:
pois duplicar-se seria
um total destrambelho.
o vidro se prolonga
por sua mediana,
ou melhor, sua borda.
mas ele não sabe direito
o que está dentro ou fora
da imagem refletida.
não há muita margem de erro,
mas provar é impossível.
e se meio cérebro é reflexo
seu pensamento terá nexo?",en_XX,pt_XX,"Ele sentiu em modéstia
sua pessoa era
meio espelho,
por que ele deveria
ser duplicado?
O espelho deve se estender
pela metade,
ou melhor, pela borda.
mas ele está em dúvida
sobre qual lado está dentro ou fora
do espelho.
há pouco espaço para erro,
mas não há prova alguma.
e se metade de sua cabeça é refletida,
pensou, ele pensa, pode ser afetado.",0.15195306935538141,0.3971959366815438,0.8035439848899841,0.9633423
"but he’s resigned
to such economical design.
if the glass slips
he’s in a fix —
only one leg etc. but
while it stays put
he can walk and run
and his hands can clasp one
another. the uncertainty
he says he
finds exhilarating. he loves
that sense of constant re-adjustment.
he wishes to be quoted as saying at present:
“half is enough.”","mas ele aceita sem problema
a parcimônia do esquema.
se o espelho escorregar
vai ser de amargar —
só uma perna etc. mas por ora
está apoiado na escora,
e ele anda e corre e pega a mão
com a outra. a sensação
de incerteza o deixa feliz,
ele diz.
afirma também que gosta
de estar sempre a se reajustar.
no momento, eis o que tem a declarar:
“metade basta.”",en_XX,pt_XX,"mas ele está resignado
a um design tão econômico.
se o copo escorrega
ele está em apuros —
apenas uma perna etc. mas
enquanto ele permanece no lugar
ele pode andar e correr
e suas mãos podem se unir
uma à outra. a incerteza
ele diz que
encontra estimulante. ele adora
essa sensação de constante reajuste.
ele deseja ser citado dizendo no momento:
""meio é suficiente"".",0.09832242014973674,0.30141685499899984,0.7830235362052917,0.97202647
"remembering the strait of belle isle or
some northerly harbor of labrador,
before he became a schoolteacher
a great-uncle painted a big picture.
receding for miles on either side
into a flushed, still sky
are overhanging pale blue cliffs
hundreds of feet high,
their bases fretted by little arches,
the entrances to caves
running in along the level of a bay
masked by perfect waves.
on the middle of that quiet floor
sits a fleet of small black ships,
square-rigged, sails furled, motionless,
their spars like burnt match-sticks.","lembrando o estreito de belle isle, talvez,
ou algum porto em labrador,
antes de virar professor,
meu tio-avô pintou um quadro, uma vez.
dos dois lados, tendo ao fundo
um céu imóvel e rubicundo,
estendem-se barrancos azul-pálido
com uma altura respeitável,
em cuja base há arcos pequenos
que são grutas naturais
ao nível de uma baía onde as ondas
são exatamente iguais.
nesse assoalho tranquilo
barquinhos negros estão ancorados,
com velas redondas, e mastros
que lembram fósforos queimados.",en_XX,pt_XX,"lembrando o estreito de Belle Isle ou
algum porto setentrional de Labrador,
antes de se tornar professor
um tio-avô pintou um grande quadro.
recuando por milhas de cada lado
para um céu ruborizado e imóvel
estão penhascos azul pálido salientes
centenas de pés de altura,
suas bases ornamentadas por pequenos arcos,
as entradas para cavernas
correndo ao longo do nível de uma baía
encoberta por ondas perfeitas.
no meio desse chão silencioso
repousa uma frota de pequenos navios negros,
de velas quadradas, paradas, imóveis,
suas mastreações como fósforos queimados.",0.15064586093627053,0.40522875816993464,0.7806915044784546,0.97805274
"and high above them, over the tall cliffs’
semi-translucent ranks,
are scribbled hundreds of fine black birds
hanging in n’s in banks.
one can hear their crying, crying,
the only sound there is
except for occasional sighing
as a large aquatic animal breathes.
in the pink light
the small red sun goes rolling, rolling,
round and round and round at the same height
in perpetual sunset, comprehensive, consoling,
while the ships consider it.
apparently they have reached their destination.
it would be hard to say what brought them there,
commerce or contemplation.","lá no alto, acima dos barrancos
diáfanos e solenes,
centenas de gaivotas garatujam-se,
formando fileiras de enes.
elas pipilam, pipilam,
um som triste, mas simpático,
tendo por contraponto o suspiro
de algum mamífero aquático.
na luz rósea
um solzinho vermelho rola, rola,
dá voltas e voltas, na mesma altura,
num crepúsculo eterno, e consola,
enquanto o perscrutam os navios.
chegaram ao porto, pelo visto. mas não
se sabe o que os trouxe até ali,
se comércio ou contemplação.",en_XX,pt_XX,"E bem acima deles, sobre as altas falésias
fileiras semitranslúcidas,
centenas de finos pássaros negros estão rabiscados
pendurados em n's em bancos.
pode-se ouvir seu choro, choro,
o único som que há
exceto por suspiros ocasionais
enquanto um grande animal aquático respira.
na luz cor-de-rosa
o pequeno sol vermelho vai rolando, rolando,
em volta e volta e volta à mesma altura
em um pôr do sol perpétuo, abrangente, consolador,
enquanto os navios o contemplam.
aparentemente eles chegaram ao seu destino.
seria difícil dizer o que os trouxe até ali,
comércio ou contemplação.",0.12998702186986819,0.4057139441754827,0.7708263397216797,0.9829799
