original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,bleu_score,meteor_score,bertscore,bartscore
"how can i then return in happy plight,
that am debarr’d the benefit of rest?
when day’s oppression is not eas’d by night,
but day by night, and night by day oppress’d,
and each, though enemies to either’s reign,
do in consent shake hands to torture me,
the one by toil, the other to complain
how far i toil, still further off from thee.
i tell the day, to please him thou art bright
and dost him grace when clouds do blot the heaven:
so flatter i the swart-complexion’d night;
when sparkling stars twire not thou gild’st the even.
but day doth daily draw my sorrows longer,
and night doth nightly make grief’s strength seem stronger.","como hei de restaurar-me na bonança
se órfão da graça do repouso vi-me,
pois a opressão do dia a noite alcança,
da noite o dia, e dia e noite oprime;
que ambos, embora em natureza opostos,
deram-se as mãos para me dar tortura:
um dá-me a dura pena, outro desgostos,
que este penar longe de ti mais dura.
digo que és luz para agradar ao dia,
e, se há nuvens, que podes removê-las;
louvo também da noite a tez sombria:
douras o céu se não houver estrelas.
mas cada dia, o dia a dor aumenta
e cada noite, a noite inda a acrescenta.",en_XX,pt_XX,"como posso, então, voltar em feliz situação,
- que debarr'd o benefício do descanso?
quando a opressão do dia não é facilitada à noite,
dia de noite, e noite de dia oprimido,
e cada um, embora seja inimigo do seu reinado,
com consentimento, aperte as mãos para me torturar,
um de labuta, o outro de queixar-se
o quanto eu trabalho, ainda mais longe de ti.
eu digo o dia, para agradá-lo tu és brilhante
e agracia-o quando as nuvens apagam o céu;
tão lisonjeada a noite da complexão do swart;
quando as estrelas cintilantes não se agarram ao par.
mas o dia me tira diariamente as dores por mais tempo,
e a noite faz a força do luto parecer mais forte.",0.08238831800928506,0.3819438667443096,0.7292607426643372,0.9790107
"and high above them, over the tall cliffs’
semi-translucent ranks,
are scribbled hundreds of fine black birds
hanging in n’s in banks.
one can hear their crying, crying,
the only sound there is
except for occasional sighing
as a large aquatic animal breathes.
in the pink light
the small red sun goes rolling, rolling,
round and round and round at the same height
in perpetual sunset, comprehensive, consoling,
while the ships consider it.
apparently they have reached their destination.
it would be hard to say what brought them there,
commerce or contemplation.","lá no alto, acima dos barrancos
diáfanos e solenes,
centenas de gaivotas garatujam-se,
formando fileiras de enes.
elas pipilam, pipilam,
um som triste, mas simpático,
tendo por contraponto o suspiro
de algum mamífero aquático.
na luz rósea
um solzinho vermelho rola, rola,
dá voltas e voltas, na mesma altura,
num crepúsculo eterno, e consola,
enquanto o perscrutam os navios.
chegaram ao porto, pelo visto. mas não
se sabe o que os trouxe até ali,
se comércio ou contemplação.",en_XX,pt_XX,"e sobre eles, sobre as arribas altas.
fileiras semi-translúcidas,
são rabiscadas centenas de ave-preta
em n’s em bancos.
pode-se ouvir o seu choro, o seu choro,
o único som que existe
com excepção de suspirações ocasionais
como um grande animal aquático respira.
na luz cor-de-rosa
o pequeno sol vermelho rola, rola,
round e round e round na mesma altura
em por do sol perpétuo, compreensivo, consolador,
enquanto os navios o consideram.
aparentemente chegaram ao seu destino.
seria difícil dizer o que os trouxe para lá,
comércio ou contemplação.",0.1277471851369101,0.40353643724696353,0.7614085078239441,0.9714758
"i reason, earth is short,
and anguish absolute,
and many hurt;
but what of that?
i reason, we eould die:
the best vitality
cannot excel decay;
but what of that?
i reason that in heaven
somehow, it will be even.
some new equation given:
but what of that","a vida é curta,
a dor absoluta,
muitos caem na luta:
mas e daí?
mesmo o mais forte,
não vence a morte,
essa é a humana sorte:
mas, e daí?
no céu de algum modo as contas
se acertarão
em nova eouação
mas, e daí?",en_XX,pt_XX,"a razão, a terra é curta,
e angústia absoluta,
e muitos feridos;
mas o que dizer disso?
eu raciocinar, nós eould morrer:
a melhor vitalidade
não pode excel decaimento;
mas o que dizer disso?
eu raciocinar que no céu
de alguma forma, será par.
uma nova equação dada:
mas o que isso",0.060338253206241386,0.2866771962364033,0.7275316715240479,0.9629793
"i never saw a moor,
i never saw the sea;
yet know i how the heather looks,
and what a wave must be.
i never spoke with god,
nor visited in heaven:
yet certain am i of the spot
as if the chart were given.","nunca vi o deserto,
nunca vi o mar;
no entanto sei como é o cactus,
e a vaga a ondular.
nunca falei com deus.
nem fui ao paraíso;
mas conheço o caminho
qual mapa preciso.",en_XX,pt_XX,"eu nunca vi um mouro,
eu nunca vi o mar;
- ainda sei como a urze se parece,
e o que uma onda deve ser.
eu nunca falei com Deus,
nem visitada no céu:
– ainda estou certo do ponto
- como se o gráfico fosse dado.",0.1460138278657807,0.44279038017223277,0.7875751852989197,0.9517009
"my glass shall not persuade me i am old,
so long as youth and thou are of one date;
but when in thee time’s furrows i behold,
then look i death my days should expiate.
for all that beauty that doth cover thee
is but the seemly raiment of my heart,
which in thy breast doth live, as thine in me:
how can i then, be elder than thou art?
o! therefore, love, be of thyself so wary
as i, not for myself, but for thee will;
bearing thy heart, which i will keep so chary
as tender nurse her babe from faring ill.
presume not on thy heart when mine is slain;
thou gav’st me thine, not to give back again.","o espelho não me prova que envelheço
enquanto andares par com a mocidade;
mas se de rugas vir teu rosto impresso,
já sei que a morte a minha vida invade.
pois toda essa beleza que te veste
vem de meu coração, que é teu espelho;
o meu vive em teu peito, e o teu me deste:
por isso como posso ser mais velho?
portanto, amor, tenhas de ti cuidado
que eu, não por mim, antes por ti, terei;
levar teu coração, tão desvelado
qual ama guarda o doce infante, eu hei.
e nem penses em volta, morto o meu,
pois para sempre é que me deste o teu.",en_XX,pt_XX,"o meu copo não me convencerá de que sou velho,
enquanto a mocidade e tu fores de uma só data;
mas quando no teu tempo eu eis,
eis a morte que os meus dias devem expiar.
por toda a beleza que te cobre
é, mas as vestes do meu coração,
que no teu peito vives, como o teu em mim;
como posso eu, então, ser mais velho do que tu és?

como eu, não para mim, mas para ti;
Levando o teu coração, que eu vou manter tão acalentado
como amazã tenra do seu bébé, de se adoecer.
não presumas no teu coração quando o meu for morto;
tu me gav’t teu, para não dar de volta.",0.07360118880748553,0.3803028646301023,0.7763482332229614,0.9817457
"our dual presence has its unity
in that perfection of body which my love,
by loving it, became, and did from life
raise into godness, calm above the strife
of times, and changing passions far above.
but since men see more with the eyes than soul,
still i in stone shall utter this great dole;
still, eager that men hunger by thy presence,
i shall to marble carry this regret
that in my heart like a great star is set.
thus, even in stone, our love shall stand so great
in thy statue of us, like a god's fate,
our love's incarnate and discarnate essence,
that, like a trumpet reaching over seas
and going from continent to continent,
our love shall speak its joy and woe, death-blent,
over infinities and eternities.","nossa dual presença tem sua unidade
na perfeição corpórea em que meu amor,
amando-a, se tornou, e elevou da vida
à divindade, calma sobre a luta-tempo
e muito acima das paixões mutáveis.
mas se homens mais veem d'olhos que d'alma,
eis que em pedra clamarei minha grande dor;
e zeloso dos homens, famintos de tua presença,
transporei ao mármore esta mágoa
que em meu coração como grande estrela se posta.
assim, mesmo em pedra se erguerá nosso amor tão grande
em tua nossa estátua, qual de um deus destino,
encarnada-desencarnada essência do nosso amor,
que, qual trompa ressoando além-mar
e indo de continente a continente,
nosso amor dirá sua alegre dor, morte-mesclando,
sobre infinidades e eternidades.",en_XX,pt_XX,"a nossa dupla presença tem a sua unidade
na perfeição do corpo que o meu amor,
- por amá-lo, tornou-se, e fez da vida
elevar a divindade, calma acima da contenda
de tempos, e de paixões mutáveis muito acima.
mas, visto que os homens vêem mais com os olhos do que com a alma,
eu ainda em pedra pronunciarei este grande dole;
ainda, ansioso para que os homens tenham fome pela tua presença,

Que no meu coração, como uma grande estrela, se ponha.
assim, mesmo em pedra, o nosso amor se manterá tão grande
na tua estátua de nós, como o destino de um deus,
a essência encarnada e desencarnada do nosso amor,
que, como uma trombeta que se estende sobre o mar
e indo de continente a continente,
o nosso amor falará a sua alegria e ai, clemente de morte,
sobre infinitos e eternidades.",0.18333678493258854,0.5282645694093208,0.8377662897109985,0.98501915
"the sparrows hurriedly begin their play.
then, in the west, “boom!” and a cloud of smoke.
“boom!” and the exploding ball
of blossom blooms again.
(and all the employees who work in plants
where such a sound says “danger,” or once said “death,”
turn in their sleep and feel
the short hairs bristling
on backs of necks.) the cloud of smoke moves off.
a shirt is taken off a threadlike clothes-line.
along the street below
the water-wagon comes
throwing its hissing, snowy fan across
peelings and newspapers. the water dries
light-dry, dark-wet, the pattern
of the cool watermelon.
i hear the day-springs of the morning strike
from stony walls and halls and iron beds,
scattered or grouped cascades,
alarms for the expected:
queer cupids of all persons getting up,
whose evening meal they will prepare all day,
you will dine well
on his heart, on his, and his,
so send them about your business affectionately,
dragging in the streets their unique loves.
scourge them with roses only,
be light as helium,
for always to one, or several, morning comes,
whose head has fallen over the edge of his bed,
whose face is turned
so that the image of
the city grows down into his open eyes
inverted and distorted. no. i mean
distorted and revealed,
if he sees it at all.","pardais apressados começam o espetáculo.
então, do oeste, um “bum!” e uma nuvem de fumaça.
“bum!” e a bola de flor
explode em fogo outra vez.
(e os operários de fábricas para quem
este som diz “perigo”, e outrora “morte”,
se viram na cama e sentem
eriçar-se os cabelos
da nuca.) a nuvem de fumaça se afasta.
de um fio de varal tira-se uma camisa.
pela rua passa
o caminhão d’água
lançando um leque alvo e sibilante
sobre jornais e cascas. onde seca
é claro, o molhado é escuro,
como na fresca melancia.
ouço as molas da manhã soando
em muros, corredores, camas de ferro,
soltas ou em arpejos,
alarmes esperados:
levantam-se os cupidos improváveis
de quem vai preparar-lhes o jantar,
vocês vão alimentar-se
do coração dele, e dele,
assim, despachem com afeto esses que saem
arrastando pela rua seus amores singulares.
neles só batam com rosas,
sejam leves como o hélio,
pois o dia sempre chega a um caído
com a cabeça para fora do colchão,
rosto virado de modo
que a imagem da cidade
surge em seus olhos abertos inversa
e distorcida. não. melhor dizendo:
distorcida e revelada,
se é que ele a vê de fato.",en_XX,pt_XX,"os pardais apressam-se a começar a sua peça.
então, no oeste, “boom!” e uma nuvem de fumaça.
“boom!” e a bola explodindo
de flor desabrocha novamente.
(e todos os funcionários que trabalham em
onde tal som diz “perigo”, ou uma vez disse “morte”,
- em seu sono e sentir
os pêlos curtos
nas costas dos pescoços.) a nuvem de fumaça se move.
- uma camisa é retirada de uma linha de roupas threadlike.
- ao longo da rua abaixo
- o vagão d'água vem
jogando seu assobio, fã nevado do outro lado
peelings e jornais. a água seca
light-seco, escuro-molhado, o padrão
da melancia fresca.
ouço as auroras da greve matinal
de paredes e halls pedregosos e de leitos de ferro,
em cascatas dispersas ou agrupadas,
alarmes para o esperado:
queer cupidos de todas as pessoas que se levantam,
cujas refeições da tarde prepararão o dia todo,
- você vai jantar bem
no seu coração, no seu, e no seu,
então mande-os sobre o seu negócio afetuosamente,
- arrastando nas ruas seus amores únicos.
esfregando-os apenas com rosas,
ser leve como o hélio,
para sempre para um, ou vários, a manhã vem,
cuja cabeça caiu sobre a orla do seu leito,

para que a imagem de
a cidade cresce em seus olhos abertos
invertido e distorcido. não. eu quero dizer
distorcidas e reveladas,
se ele o vir de todo.",0.1698064231179223,0.47541731264214815,0.7890636920928955,0.9900876
"hang with festoons and wreaths and coronals
the corridors and halls!
be there all round the sound of gay bells ringing!
let there be echoing singing!
pour out like a libation all your joy!
shout, even ye children, little maid and boy
whose belly yet unfurred yet whitely decks
a sexless thing of sex!
shout out as if ye knew what joy this is
you clap at in such bliss!","enfeitai com festões, guirlandas e coroas
os corredores e salas!
que haja ao redor o alegre som de sino tinindo!
que haja ecoante canto!
vertei qual libação toda a alegria!
gritai mesmo vós, pequenos, menina e rapaz
cujo ventre 'inda liso orna cândido
um assexuado algo de sexo!
berrai como se soubésseis que alegria é esta
que aplaudis com tal deleite!",en_XX,pt_XX,"com festões e grinaldas e coronais
os corredores e halls!
estar lá todo o som de sinos gays tocando!
faça-se ecoar o canto!
despeje como uma libação toda a sua alegria!
shout, que filhinhos, garçom e garçom

- uma coisa sem sexo do sexo!
gemei como se soubésseis a alegria que isto é
você aplaude em tal bem-aventurança!",0.06840570875937638,0.3710630336805885,0.7736841440200806,0.9773394
"lullaby.
adult and child
sink to their rest.
at sea the big ship sinks and dies,
lead in its breast.
lullaby.
let nations rage,
let nations fall.
the shadow of the crib makes an enormous cage
upon the wall.
lullaby.
sleep on and on,
war’s over soon.
drop the silly, harmless toy,
pick up the moon.
lullaby.
if they should say
you have no sense,
don’t you mind them; it won’t make
much difference.
lullaby.
adult and child
sink to their rest.
at sea the big ship sinks and dies,
lead in its breast.","nana neném.
criança e adulto
dormem fundo.
no mar, o navio ferido naufraga,
cheio de chumbo.
nana neném.
países brigam,
países morrem.
a sombra do berço traça na parede
uma gaiola enorme.
nana neném.
dorme que a guerra acaba
e o sono continua.
larga esse brinquedo bobo
e pega a lua.
nana neném.
se alguém disser
que criança não tem siso,
não liga pra eles não, que isso de siso
não é preciso.
nana neném.
criança e adulto
dormem fundo.
no mar, o navio ferido naufraga,
cheio de chumbo.",en_XX,pt_XX,"lullaby.
adulto e criança
para o seu descanso.
no mar o grande navio afunda e morre,
- chumbo em seu peito.
lullaby.
que as nações se enfureçam,
Que as nações caiam.
a sombra do presépio faz uma enorme jaula
sobre a parede.
lullaby.
dormir sobre e sobre,
A guerra está acabada em breve.
largar o brinquedo tonto e inómodo,
- Apanha a lua.
lullaby.
se é que se deve dizer
você não tem sentido,
não se importe com eles; isso não vai fazer
- muita diferença.
lullaby.
adulto e criança
para o seu descanso.
no mar o grande navio afunda e morre,
- chumbo em seu peito.",0.06390478919667687,0.3666818266388275,0.7861669063568115,0.95931095
"last night another big one fell.
it splattered like an egg of fire
against the cliff behind the house.
the flame ran down. we saw the pair
of owls who nest there flying up
and up, their whirling black-and-white
stained bright pink underneath, until
they shrieked up out of sight.
the ancient owls’ nest must have burned.
hastily, all alone,
a glistening armadillo left the scene,
rose-flecked, head down, tail down,
and then a baby rabbit jumped out,
short-eared, to our surprise.
so soft! — a handful of intangible ash
with fixed, ignited eyes.
too pretty, dreamlike mimicry!
o falling fire and piercing cry
and panic, and a weak mailed fist
clenched ignorant against the sky!","ontem caiu um grande aqui perto
na encosta de pedra nua.
quebrou como um ovo de fogo.
as chamas desceram. vimos duas
corujas fugindo do ninho,
os dorsos das asas ariscas
tingidas de um rosa vivo,
guinchando até sumirem de vista.
o velho ninho se incendiara.
sozinho, em polvorosa,
um tatu reluzente fugiu,
cabisbaixo, salpicado de rosa,
depois um ser de orelhas curtas,
por estranho que pareça, um coelho.
tão macio! — pura cinza intangível
com olhos fixos, dois pontos vermelhos.
ah, mimetismo frágil, onírico!
fogo caindo, um escarcéu
e um punho cerrado, ignorante
e débil, voltado contra o céu!",en_XX,pt_XX,"na noite passada, outro grande caiu.
- slattered como um ovo de fogo
- contra o precipício atrás da casa.
a chama afundou. nós vimos o par
de corujas que nidificam lá voando para cima
e para cima, o seu ronronar preto-e-branco
tingido cor-de-rosa brilhante por baixo, até
eles gritavam para fora da vista.
o ninho das corujas antigas deve ter sido queimado.
s pressas, sós,
um tatu reluzente deixou a cena,
rose-flecked, head down, tail down,
e então um coelhinho saltou para fora,
de orelhas curtas, para nossa surpresa.
tão macio! um punhado de cinzas intangíveis
com olhos fixos e inflamados.
muito bonita, mímica onírica!
Queda de fogo e piercing
e pânico, e um punho fraco
- ignorantes cerrados contra o céu!",0.1283410648489553,0.408353331845072,0.7561956644058228,0.9314325
