original_poem,translated_poem,translated_by_TA,src_lang,tgt_lang,bleu_score,meteor_score,bertscore,bartscore
"land lies in water; it is shadowed green.
shadows, or are they shallows, at its edges
showing the line of long sea-weeded ledges
where weeds hang to the simple blue from green.
or does the land lean down to lift the sea from under,
drawing it unperturbed around itself?
along the fine tan sandy shelf
is the land tugging at the sea from under?
the shadow of newfoundland lies flat and still.
labrador’s yellow, where the moony eskimo
has oiled it. we can stroke these lovely bays,
under a glass as if they were expected to blossom,
or as if to provide a clean cage for invisible fish.
the names of seashore towns run out to sea,
the names of cities cross the neighboring mountains
— the printer here experiencing the same excitement
as when emotion too far exceeds its cause.
these peninsulas take the water between thumb and finger
like women feeling for the smoothness of yard-goods.
mapped waters are more quiet than the land is,
lending the land their waves’ own corfirmation:
and norway’s hare runs south in agitation,
profiles investigate the sea, where land is.
are they assigned, or can the countries pick their colors?
— what suits the character or the native waters best.
topography displays no favorites; north’s as near as west.
more delicate than the historians’ are the map-makers’ colors.","terra entre águas, sombreada de verde.
sombras, talvez rasos, lhe traçam o contorno,
uma linha de recifes, algas como adorno,
riscando o azul singelo com seu verde.
ou a terra avança sobre o mar e o levanta
e abarca, sem bulir suas águas lentas?
ao longo das praias pardacentas
será que a terra puxa o mar e o levanta?
a sombra da terra nova jaz imóvel.
o labrador é amarelo, onde o esquimó sonhador
o untou de óleo. afagamos essas belas baías,
em vitrines, como se fossem florir, ou como se
para servir de aquário a peixes invisíveis.
os nomes dos portos se espraiam pelo mar,
os nomes das cidades sobem as serras vizinhas
— aqui o impressor experimentou um sentimento semelhante
ao da emoção ultrapassando demais a sua causa.
as penínsulas pegam a água entre polegar e indicador
como mulheres apalpando pano antes de comprar.
as águas mapeadas são mais tranquilas que a terra,
e lhe emprestam sua forma ondulada:
a lebre da noruega corre para o sul, afobada,
perfis investigam o mar, onde há terra.
é compulsório, ou os países escolhem as suas cores?
— as mais condizentes com a nação ou as águas nacionais.
topografia é imparcial; norte e oeste são iguais.
mais sutis que as do historiador são do cartógrafo as cores.","a terra está em água; tem sombra verde.
sombras, ou são superficiales, nas suas bordas
que mostra a linha de longas listas de algas marítimas
onde as ervas pendem ao azul simples do verde.
ou a terra inclina-se para levantar o mar debaixo,
a desenhar sem perturbação à sua volta?
ao longo da parede fina e fina de areia
Será que a terra está a afastar-se ao mar debaixo?
a sombra da Terra Nova está plana e ainda.
o amarelo do Labrador, onde o Eskimo moony
com petróleo. Podemos tocar nestas encantadoras baies,
sob um vidro como se fossem esperadas a florescer,
ou como se providenciassem uma gaiola limpa para peixes invisíveis.
os nomes de cidades costeiras acabam por chegar ao mar,
os nomes das cidades atravessam as montanhas vizinhos
— a impressora aqui experimenta a mesma excitação
como quando a emoção ultrapassa a sua causa.
estas peninsulas captam a água entre o polegar e o dedo
como as mulheres a sentirem a regularidade dos bens de quinta.
As águas projetadas são mais tranquilas do que a terra.
emprestando a terra com a sua própria confirmação das ondas:
e o saco de Noruega corre para o Sul em agitação,
profiles investigam o mar, onde está a terra.
são atribuídos, ou os países podem escolher as suas cores?
— o que melhor se adapta ao carácter ou às águas indígenas.
a topografia não mostra favoritos; o norte está tão próximo do oeste.
mais delicados do que os historiadores são as cores dos cartografadores.",en_XX,pt_XX,0.1965818051955428,0.4040251123061079,0.784770131111145,0.98153466
"we’d rather have the iceberg than the ship,
although it meant the end of travel.
although it stood stock-still like cloudy rock
and all the sea were moving marble.
we’d rather have the iceberg than the ship;
we’d rather own this breathing plain of snow
though the ship’s sails were laid upon the sea
as the snow lies undissolved upon the water.
o solemn, floating field,
are you aware an iceberg takes repose
with you, and when it wakes may pasture on your snows?","o iceberg nos atrai mais que o navio,
mesmo acabando com a viagem.
mesmo pairando imóvel, nuvem pétrea,
e o mar um mármore revolto.
o iceberg nos atrai mais que o navio:
queremos esse chão vivo de neve,
mesmo com as velas do navio tombadas
qual neve indissoluta sobre a água.
ó calmo campo flutuante,
sabes que um iceberg dorme em ti, e em breve
vai despertar e talvez pastar na tua neve?","preferiríamos ter o iceberg do que o barco,
embora signifiquesse o fim da viagem.
embora estivesse suspenso como rocha nublada
e todo o mar estava em movimento de mármol.
preferiríamos ter o iceberg do que o barco;
preferiríamos ter esta praça respiradora de neve
apesar das asas do barco serem colocadas no mar
como a neve está dessolveda na água.
o campo solemne, flutuante,
Sabem que um iceberg toma reposo?
com vocês, e quando se acorda pode pasear nas vossas neves?",en_XX,pt_XX,0.04229397743665807,0.29553884590739626,0.7248920798301697,0.9612938
"this is a scene a sailor’d give his eyes for
the ship’s ignored. the iceberg rises
and sinks again; its glassy pinnacles
correct elliptics in the sky.
this is a scene where he who treads the boards
is artlessly rhetorical. the curtain
is light enough to rise on finest ropes
that airy twists of snow provide.
the wits of these white peaks
spar with the sun. its weight the iceberg dares
upon a shifting stage and stands and stares.","esta cena um marujo daria os olhos
pra ver. esquece-se o navio. o iceberg
sobe e desce; seus píncaros de vidro
corrigem elípticas no céu.
este cenário empresta a quem o pisa
uma retórica fácil. o pano leve
é levantado por cordas finíssimas
de aéreas espirais de neve.
duelo de argúcia entre as alvas agulhas
e o sol. o seu peso o iceberg enfrenta
no palco instável e incerto onde se assenta.","Esta é uma cena para que um marinheiro dá os olhos
o navio é ignorado. o iceberg sobe
e afunda-se novamente; os seus picos de vidro
correctas elípticas no céu.
Esta é uma cena em que o que passa os painéis
é retórica sem arte. a cortina
é suficientemente leve para subir nas cordas mais finas
que os saltos de neve providenciam.
a inteligência destes picos brancos
Spar com o sol. o seu peso o icebergue
num palco em movimento, e está em pé e olha.",en_XX,pt_XX,0.16165496857672507,0.385821806860206,0.7932162880897522,0.9639403
"this iceberg cuts its facets from within.
like jewelry from a grave
it saves itself perpetually and adorns
only itself, perhaps the snows
which so surprise us lying on the sea.
good-bye, we say, good-bye, the ship steers off
where waves give in to one another’s waves
and clouds run in a warmer sky.
icebergs behoove the soul
(both being self-made from elements least visible)
to see them so: fleshed, fair, erected indivisible.","é por dentro que o iceberg se faceta.
tal como joias numa tumba
ele se salva para sempre, e adorna
só a si, talvez também as neves
que nos assombram tanto sobre o mar.
adeus, adeus, dizemos, e o navio
segue viagem, e as ondas se sucedem,
e as nuvens buscam um céu mais quente.
o iceberg seduz a alma
(pois os dois se inventam do quase invisível)
a vê-lo assim: concreto, ereto, indivisível.","este iceberg corta as suas facetas do interior.
como jóias de uma sepultura
que se salva para sempre e adorna
só a si mesma, talvez a neve
o que nos surpreende tanto ao estarmos no mar.
Adeus, dizemos, Adeus, o navio sai
onde as ondas cedem às ondas dos outros
e as nuvens circulam num céu mais quente.
icebergs behoove a alma
( ambos sendo auto-fabricados de elementos menos visíveis)
para os verem assim: com carne, justos, errados indivisíveis.",en_XX,pt_XX,0.2041345695684684,0.46817170070140024,0.837317705154419,0.9719227
"alone on the railroad track
i walked with pounding heart.
the ties were too close together
or maybe too far apart.
the scenery was impoverished:
scrub-pine and oak; beyond
its mingled gray-green foliage
i saw the little pond
where the dirty hermit lives,
lie like an old tear
holding onto its injuries
lucidly year after year.
the hermit shot off his shot-gun
and the tree by his cabin shook.
over the pond went a ripple.
the pet hen went chook-chook.
“love should be put into action!”
screamed the old hermit.
across the pond an echo
tried and tried to confirm it.","sozinha nos trilhos eu ia,
coração aos saltos no peito.
o espaço entre os dormentes
era excessivo, ou muito estreito.
paisagem empobrecida:
carvalhos, pinheiros franzinos;
e além da folhagem cinzenta
vi luzir ao longe o laguinho
onde vive o eremita sujo,
como uma lágrima translúcida
a conter seus sofrimentos
ao longo dos anos, lúcida.
o eremita deu um tiro
e uma árvore balançou.
o laguinho estremeceu.
sua galinha cacarejou.
bradou o velho eremita:
“amor tem que ser posto em prática!”
ao longe, um eco esboçou
sua adesão, não muito enfática.","sozinha na pista de ferrocarril
Eu caminhava com um coração a bater.
os laços estavam demasiado próximos uns dos outros
ou talvez demasiado distantes.
a paisagem estava empobrecida:
pinha e alven; além
as suas folhas minúsculas de verde cinzento
Eu vi o pequeno lago
onde vive o desalojado sujo,
Mentir como uma tua lágrimas
agarrando-se às suas feridas
lucidamente ano após ano.
o hermit disparou da sua pistola
e a árvore à sua cabina tremou.
sobre o lago ocorreu uma onda.
a galinha de estimação morou-morou.
""O amor deve ser aplicado!""
gritou o idoso hermita.
ao longo do lago, um eco
tentei confirmá-lo.",en_XX,pt_XX,0.03887822228746114,0.26841592445005186,0.7601320147514343,0.97598994
"which eye’s his eye?
which limb lies
next the mirror?
for neither is clearer
nor a different color
than the other,
nor meets a stranger
in this arrangement
of leg and leg and
arm and so on.
to his mind
it’s the indication
of a mirrored reflection
somewhere along the line
of what we call the spine.","qual olho é o dele?
qual membro é real
e qual está no espelho?
a cor é igual
à esquerda e à direita,
e ninguém suspeita
que esta ou aquela
perna, ou braço, seja
verdade ou impostura
nessa estranha estrutura.
a seu ver,
isso é prova garantida
de uma imagem refletida
ao longo desta linha
que chamamos de espinha.","que olho é o seu olho?
qual é o membro que fica
ao lado do espelho?
porque nem um é mais claro
nem uma cor diferente
do que o outro,
nem se encontra com um estranho
neste acordo
de pernas e pernas e
de braço e por aí fora.
para a sua mente
é a indicação
de um reflexo espelhado
algures na linha
do que chamamos da espinha.",en_XX,pt_XX,0.041807216162993564,0.2972087070081361,0.7647688984870911,0.9537324
"he felt in modesty
his person was
half looking-glass,
for why should he
be doubled?
the glass must stretch
down his middle,
or rather down the edge.
but he’s in doubt
as to which side’s in or out
of the mirror.
there’s little margin for error,
but there’s no proof, either.
and if half his head’s reflected,
thought, he thinks, might be affected.","modesto, sentia
que sua pessoa
era metade espelho:
pois duplicar-se seria
um total destrambelho.
o vidro se prolonga
por sua mediana,
ou melhor, sua borda.
mas ele não sabe direito
o que está dentro ou fora
da imagem refletida.
não há muita margem de erro,
mas provar é impossível.
e se meio cérebro é reflexo
seu pensamento terá nexo?","sentia-se humilde
a sua pessoa era
meio óculos,
porque é que ele deveria
se duplicar?
o vidro tem que esticar
no seu meio,
ou melhor, para baixo do limiar.
mas ele está em dúvida
de que lado está dentro ou fora
do espelho.
Há uma pequena margem de erro,
mas também não há provas.
e se metade da cabeça se refletir,
pensa, ele pensa, que poderá ser afetado.",en_XX,pt_XX,0.16492013222587185,0.4166443917349218,0.7987441420555115,0.8667551
"but he’s resigned
to such economical design.
if the glass slips
he’s in a fix —
only one leg etc. but
while it stays put
he can walk and run
and his hands can clasp one
another. the uncertainty
he says he
finds exhilarating. he loves
that sense of constant re-adjustment.
he wishes to be quoted as saying at present:
“half is enough.”","mas ele aceita sem problema
a parcimônia do esquema.
se o espelho escorregar
vai ser de amargar —
só uma perna etc. mas por ora
está apoiado na escora,
e ele anda e corre e pega a mão
com a outra. a sensação
de incerteza o deixa feliz,
ele diz.
afirma também que gosta
de estar sempre a se reajustar.
no momento, eis o que tem a declarar:
“metade basta.”","mas ele desistiu.
para um design tão económico.
se o vidro cair
ele está numa situação difícil.
apenas uma perna, etc. mas
enquanto permaneça em pé
ele pode andar e correr
e as suas mãos conseguem agarrar uma
outra. a incerteza
ele diz que
parece estimulante. Ele adora
esse sentido de constante reajustamento.
Ele quer ser citado a dizer agora:
"""" metade é suficiente """".",en_XX,pt_XX,0.053763629545570006,0.2465191238496933,0.7690023183822632,0.96745074
"remembering the strait of belle isle or
some northerly harbor of labrador,
before he became a schoolteacher
a great-uncle painted a big picture.
receding for miles on either side
into a flushed, still sky
are overhanging pale blue cliffs
hundreds of feet high,
their bases fretted by little arches,
the entrances to caves
running in along the level of a bay
masked by perfect waves.
on the middle of that quiet floor
sits a fleet of small black ships,
square-rigged, sails furled, motionless,
their spars like burnt match-sticks.","lembrando o estreito de belle isle, talvez,
ou algum porto em labrador,
antes de virar professor,
meu tio-avô pintou um quadro, uma vez.
dos dois lados, tendo ao fundo
um céu imóvel e rubicundo,
estendem-se barrancos azul-pálido
com uma altura respeitável,
em cuja base há arcos pequenos
que são grutas naturais
ao nível de uma baía onde as ondas
são exatamente iguais.
nesse assoalho tranquilo
barquinhos negros estão ancorados,
com velas redondas, e mastros
que lembram fósforos queimados.","a lembrar-se do fio de Belle Isle ou
um porto do norte do Labrador,
antes de se tornar professor
um avô pintou uma grande imagem.
a afastar-se a quilómetros por cada lado
num céu fluído, silencioso
sobrevolam-se falais azules pálidos
a centenas de pés de altura,
as bases assustadas por pequenos arcos,
as entradas às cavernas
a correr pelo nível de uma baía
mascaradas por ondas perfeitas.
no meio daquele chão silencioso
encontra uma flota de pequenos navios negros,
de pontas quadradas, de barcos cobertos, sem movimento,
as suas palhinhas como fósforos queimados.",en_XX,pt_XX,0.08017577807456155,0.2938520704605614,0.7598546147346497,0.97808397
"and high above them, over the tall cliffs’
semi-translucent ranks,
are scribbled hundreds of fine black birds
hanging in n’s in banks.
one can hear their crying, crying,
the only sound there is
except for occasional sighing
as a large aquatic animal breathes.
in the pink light
the small red sun goes rolling, rolling,
round and round and round at the same height
in perpetual sunset, comprehensive, consoling,
while the ships consider it.
apparently they have reached their destination.
it would be hard to say what brought them there,
commerce or contemplation.","lá no alto, acima dos barrancos
diáfanos e solenes,
centenas de gaivotas garatujam-se,
formando fileiras de enes.
elas pipilam, pipilam,
um som triste, mas simpático,
tendo por contraponto o suspiro
de algum mamífero aquático.
na luz rósea
um solzinho vermelho rola, rola,
dá voltas e voltas, na mesma altura,
num crepúsculo eterno, e consola,
enquanto o perscrutam os navios.
chegaram ao porto, pelo visto. mas não
se sabe o que os trouxe até ali,
se comércio ou contemplação.","e em cima deles, em alturas elevadas.
Rangos semi-translúcentes,
são escritos centenas de pássaros negros finos
penduradas nos bancos.
um pode ouvir o seu choro, o seu choro,
o único som que existe
exceto os sinais ocasionais.
como um grande animal acuático respira.
na luz cor-de-rosa
o pequeno sol vermelho roda, roda,
redondo e redondo e redondo na mesma altura
num pôr-do-sol perpétuo, completo, consolante,
enquanto os navios a consideram.
aparentemente eles chegaram ao seu destino.
Seria difícil dizer o que os levou lá,
commerce ou contemplação.",en_XX,pt_XX,0.054288968141560034,0.34329790622433076,0.7417200803756714,0.9753149
