original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,bleu_score,meteor_score,bertscore,bartscore
"how can i then return in happy plight,
that am debarr’d the benefit of rest?
when day’s oppression is not eas’d by night,
but day by night, and night by day oppress’d,
and each, though enemies to either’s reign,
do in consent shake hands to torture me,
the one by toil, the other to complain
how far i toil, still further off from thee.
i tell the day, to please him thou art bright
and dost him grace when clouds do blot the heaven:
so flatter i the swart-complexion’d night;
when sparkling stars twire not thou gild’st the even.
but day doth daily draw my sorrows longer,
and night doth nightly make grief’s strength seem stronger.","como hei de restaurar-me na bonança
se órfão da graça do repouso vi-me,
pois a opressão do dia a noite alcança,
da noite o dia, e dia e noite oprime;
que ambos, embora em natureza opostos,
deram-se as mãos para me dar tortura:
um dá-me a dura pena, outro desgostos,
que este penar longe de ti mais dura.
digo que és luz para agradar ao dia,
e, se há nuvens, que podes removê-las;
louvo também da noite a tez sombria:
douras o céu se não houver estrelas.
mas cada dia, o dia a dor aumenta
e cada noite, a noite inda a acrescenta.",en_XX,pt_XX,"Como é que se pode <unk> em <unk> <unk> em <unk> <unk> .
Isso é <unk> o benefício do <unk> de <unk> <unk> .
Quando a ação <unk> não é <unk> por <unk> <unk> .
No dia de <unk> e noite por dia <unk> <unk> e noite por dia <unk> e noite
No entanto e <unk> os inimigos para <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> as mãos para <unk> <unk> para <unk> <unk> .
Uma por <unk> a outra para <unk> a outra para <unk> a outra para <unk> a outra
Até que ponto <unk> ainda mais <unk> da <unk> de <unk> .
<unk> o <unk> para <unk> a arte brilhante .
e <unk> <unk> quando as nuvens fazem a <unk> a <unk> .
<unk> <unk> a <unk> <unk> a <unk> <unk> .
Quando se <unk> as estrelas <unk> não se <unk> a <unk> a <unk> a <unk> a <unk>
Mas o dia <unk> <unk> o meu <unk> <unk> <unk> o meu <unk> <unk> .
A noite e a noite <unk> <unk> faz força <unk> parece <unk> parece <unk> .",0.010796201906102504,0.16445066480055984,0.5547611713409424,0.8119657
"and high above them, over the tall cliffs’
semi-translucent ranks,
are scribbled hundreds of fine black birds
hanging in n’s in banks.
one can hear their crying, crying,
the only sound there is
except for occasional sighing
as a large aquatic animal breathes.
in the pink light
the small red sun goes rolling, rolling,
round and round and round at the same height
in perpetual sunset, comprehensive, consoling,
while the ships consider it.
apparently they have reached their destination.
it would be hard to say what brought them there,
commerce or contemplation.","lá no alto, acima dos barrancos
diáfanos e solenes,
centenas de gaivotas garatujam-se,
formando fileiras de enes.
elas pipilam, pipilam,
um som triste, mas simpático,
tendo por contraponto o suspiro
de algum mamífero aquático.
na luz rósea
um solzinho vermelho rola, rola,
dá voltas e voltas, na mesma altura,
num crepúsculo eterno, e consola,
enquanto o perscrutam os navios.
chegaram ao porto, pelo visto. mas não
se sabe o que os trouxe até ali,
se comércio ou contemplação.",en_XX,pt_XX,"e a alta <unk> por cima da <unk> <unk> .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
São <unk> centenas de grandes aves negros .
<unk> em <unk> em <unk> em <unk> em <unk> em <unk> em <unk> em <unk> em <unk>
Um pode ouvir o <unk> <unk> <unk> .
O único som ali é que existe o único som .
exceto para <unk> <unk> .
Como uma grande <unk> <unk> <unk> .
na luz cor-de-rosa da luz cor-de-rosa .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> e <unk> até à mesma altura .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
enquanto os pescadores se consideram <unk> <unk> .
Provavelmente eles chegaram a <unk> o <unk> .
Seria difícil dizer o que lhes levou <unk> <unk> <unk> .
ou <unk> ou <unk> <unk> ou <unk> .",0.00887412664457961,0.1335788740461666,0.5287448167800903,0.77186096
"i reason, earth is short,
and anguish absolute,
and many hurt;
but what of that?
i reason, we eould die:
the best vitality
cannot excel decay;
but what of that?
i reason that in heaven
somehow, it will be even.
some new equation given:
but what of that","a vida é curta,
a dor absoluta,
muitos caem na luta:
mas e daí?
mesmo o mais forte,
não vence a morte,
essa é a humana sorte:
mas, e daí?
no céu de algum modo as contas
se acertarão
em nova eouação
mas, e daí?",en_XX,pt_XX,"A <unk> <unk> é <unk> .
e <unk> <unk> <unk> <unk> .
e muitos <unk> <unk> e muitos <unk> <unk> .
mas o que de <unk> <unk> .
<unk> <unk> que <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
a melhor <unk> a <unk> a melhor <unk> a <unk> a
Não pode ser <unk> <unk> <unk> .
mas o que de <unk> <unk> .
A razão do céu , na qual , no céu ,
<unk> será <unk> .
Uma nova equação <unk> .
mas o que é que isso é daquele assunto .",0.008093023008303796,0.19364861958502655,0.5908979177474976,0.84837675
"i never saw a moor,
i never saw the sea;
yet know i how the heather looks,
and what a wave must be.
i never spoke with god,
nor visited in heaven:
yet certain am i of the spot
as if the chart were given.","nunca vi o deserto,
nunca vi o mar;
no entanto sei como é o cactus,
e a vaga a ondular.
nunca falei com deus.
nem fui ao paraíso;
mas conheço o caminho
qual mapa preciso.",en_XX,pt_XX,"♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪
♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪
Ainda sabem como é que a <unk> <unk> <unk> <unk> .
e o que uma onda tem de <unk> <unk> .
♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪ ♪
ou passou em <unk> em <unk> .
No entanto , certamente é o &quot; hashtag &quot; do local do local
Como se o gráfico fosse <unk> <unk> .",0.013539652280769638,0.20648526077097507,0.5910832285881042,0.70106137
"my glass shall not persuade me i am old,
so long as youth and thou are of one date;
but when in thee time’s furrows i behold,
then look i death my days should expiate.
for all that beauty that doth cover thee
is but the seemly raiment of my heart,
which in thy breast doth live, as thine in me:
how can i then, be elder than thou art?
o! therefore, love, be of thyself so wary
as i, not for myself, but for thee will;
bearing thy heart, which i will keep so chary
as tender nurse her babe from faring ill.
presume not on thy heart when mine is slain;
thou gav’st me thine, not to give back again.","o espelho não me prova que envelheço
enquanto andares par com a mocidade;
mas se de rugas vir teu rosto impresso,
já sei que a morte a minha vida invade.
pois toda essa beleza que te veste
vem de meu coração, que é teu espelho;
o meu vive em teu peito, e o teu me deste:
por isso como posso ser mais velho?
portanto, amor, tenhas de ti cuidado
que eu, não por mim, antes por ti, terei;
levar teu coração, tão desvelado
qual ama guarda o doce infante, eu hei.
e nem penses em volta, morto o meu,
pois para sempre é que me deste o teu.",en_XX,pt_XX,"O meu vidro não me <unk> a <unk> é <unk> .
tanto quanto jovens e <unk> são de uma <unk> <unk> .
Mas quando em <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> ♪ Mas quando em
Depois olhem para a morte dos meus dias .
Para tudo isso a beleza que <unk> a <unk> <unk> .
É o <unk> <unk> da minha <unk> <unk> do meu <unk> .
Em <unk> <unk> <unk> como <unk> em <unk> em <unk> em <unk> , em <unk> em <unk>
Como é que se pode levar a <unk> <unk> do que <unk> <unk> .
<unk> <unk> é de <unk> tão <unk> .
Como <unk> não para <unk> mas para <unk> <unk> .
<unk> <unk> que vão continuar a <unk> tão <unk> .
Como uma enfermeira <unk> a <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> não se <unk> com o coração quando é <unk> .
<unk> <unk> não para <unk> <unk> <unk> .",0.0077567644628404615,0.14377137992206054,0.592917263507843,0.8232994
"our dual presence has its unity
in that perfection of body which my love,
by loving it, became, and did from life
raise into godness, calm above the strife
of times, and changing passions far above.
but since men see more with the eyes than soul,
still i in stone shall utter this great dole;
still, eager that men hunger by thy presence,
i shall to marble carry this regret
that in my heart like a great star is set.
thus, even in stone, our love shall stand so great
in thy statue of us, like a god's fate,
our love's incarnate and discarnate essence,
that, like a trumpet reaching over seas
and going from continent to continent,
our love shall speak its joy and woe, death-blent,
over infinities and eternities.","nossa dual presença tem sua unidade
na perfeição corpórea em que meu amor,
amando-a, se tornou, e elevou da vida
à divindade, calma sobre a luta-tempo
e muito acima das paixões mutáveis.
mas se homens mais veem d'olhos que d'alma,
eis que em pedra clamarei minha grande dor;
e zeloso dos homens, famintos de tua presença,
transporei ao mármore esta mágoa
que em meu coração como grande estrela se posta.
assim, mesmo em pedra se erguerá nosso amor tão grande
em tua nossa estátua, qual de um deus destino,
encarnada-desencarnada essência do nosso amor,
que, qual trompa ressoando além-mar
e indo de continente a continente,
nosso amor dirá sua alegre dor, morte-mesclando,
sobre infinidades e eternidades.",en_XX,pt_XX,"A nossa presença <unk> tem a sua unidade a sua unidade a sua unidade a sua unidade
naquela perfeição do corpo que o meu <unk> <unk> o meu <unk> do corpo do que o
<unk> <unk> <unk> e fizeram da vida da vida .
<unk> em <unk> <unk> acima dos espaços <unk> acima dos espaços <unk> acima dos espaços <unk> acima
A <unk> e a mudança das histórias muito <unk> de <unk> .
Mas desde os homens ver mais com os olhos do que <unk> <unk> .
Ainda na pedra em pedra .
<unk> <unk> que os homens <unk> com <unk> <unk> <unk> por <unk> <unk> .
<unk> <unk> a <unk> a <unk> .
que , na minha coração , tal como uma estrela excelente é <unk> <unk> .
<unk> mesmo em <unk> o nosso amor .
Na estátua de <unk> como uma <unk> <unk> <unk> como uma <unk> <unk> <unk> .
<unk> <unk> e <unk> <unk> <unk> <unk> e <unk> <unk> <unk> <unk> e <unk> <unk> <unk> <unk>
<unk> como uma <unk> de <unk> .
e vão do continente para <unk> <unk> para <unk> <unk> .
O nosso amor fala com a sua alegria e <unk> <unk> <unk> .
<unk> e <unk> <unk> e <unk> <unk> .",0.008579113342284677,0.22624019162744502,0.5768132209777832,0.8627114
"the sparrows hurriedly begin their play.
then, in the west, “boom!” and a cloud of smoke.
“boom!” and the exploding ball
of blossom blooms again.
(and all the employees who work in plants
where such a sound says “danger,” or once said “death,”
turn in their sleep and feel
the short hairs bristling
on backs of necks.) the cloud of smoke moves off.
a shirt is taken off a threadlike clothes-line.
along the street below
the water-wagon comes
throwing its hissing, snowy fan across
peelings and newspapers. the water dries
light-dry, dark-wet, the pattern
of the cool watermelon.
i hear the day-springs of the morning strike
from stony walls and halls and iron beds,
scattered or grouped cascades,
alarms for the expected:
queer cupids of all persons getting up,
whose evening meal they will prepare all day,
you will dine well
on his heart, on his, and his,
so send them about your business affectionately,
dragging in the streets their unique loves.
scourge them with roses only,
be light as helium,
for always to one, or several, morning comes,
whose head has fallen over the edge of his bed,
whose face is turned
so that the image of
the city grows down into his open eyes
inverted and distorted. no. i mean
distorted and revealed,
if he sees it at all.","pardais apressados começam o espetáculo.
então, do oeste, um “bum!” e uma nuvem de fumaça.
“bum!” e a bola de flor
explode em fogo outra vez.
(e os operários de fábricas para quem
este som diz “perigo”, e outrora “morte”,
se viram na cama e sentem
eriçar-se os cabelos
da nuca.) a nuvem de fumaça se afasta.
de um fio de varal tira-se uma camisa.
pela rua passa
o caminhão d’água
lançando um leque alvo e sibilante
sobre jornais e cascas. onde seca
é claro, o molhado é escuro,
como na fresca melancia.
ouço as molas da manhã soando
em muros, corredores, camas de ferro,
soltas ou em arpejos,
alarmes esperados:
levantam-se os cupidos improváveis
de quem vai preparar-lhes o jantar,
vocês vão alimentar-se
do coração dele, e dele,
assim, despachem com afeto esses que saem
arrastando pela rua seus amores singulares.
neles só batam com rosas,
sejam leves como o hélio,
pois o dia sempre chega a um caído
com a cabeça para fora do colchão,
rosto virado de modo
que a imagem da cidade
surge em seus olhos abertos inversa
e distorcida. não. melhor dizendo:
distorcida e revelada,
se é que ele a vê de fato.",en_XX,pt_XX,"Os <unk> começam a <unk> a <unk> <unk> .
<unk> na <unk> <unk> e uma nuvem de <unk> <unk> e uma nuvem de <unk> <unk> e
<unk> e a bola <unk> .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> todos os funcionários que trabalham em plantas em plantas que trabalham em plantas em
Este som diz que <unk> ou disse <unk> <unk> .
<unk> no sono e sentir sentir o seu sono e sentir sentir o seu sono
o pequeno <unk> <unk> <unk> .
em <unk> a nuvem de fumo move-se <unk> <unk> .
Uma camisa é tirada por uma <unk> <unk> <unk> .
Ao longo da rua abaixo abaixo da rua abaixo da rua abaixo da rua abaixo
A <unk> vem a <unk> .
<unk> a sua sanduíche de <unk> <unk> em todo o lado da <unk> .
<unk> e <unk> a água da água a <unk> a <unk> da água .
<unk> <unk> o padrão do padrão <unk> o padrão <unk> o padrão <unk> o padrão
da <unk> fixe <unk> .
Ser ouvir o <unk> da manhã .
de paredes <unk> e <unk> <unk> e ferro <unk> e ferro <unk> e ferro <unk>
<unk> ou <unk> <unk> <unk> <unk> ou <unk> <unk> <unk> <unk> ou <unk> <unk> <unk>
<unk> para o <unk> .
<unk> <unk> de todas as pessoas que recebem <unk> <unk> de todas as pessoas que
cujo dia de noite <unk> todos os <unk> .
Vão <unk> bem .
na <unk> e <unk> em <unk> e <unk> <unk> .
Portanto , <unk> sobre o nosso negócio <unk> .
<unk> nas ruas nas ruas do <unk> único .
<unk> com <unk> <unk> <unk> com <unk> <unk> <unk> com <unk> <unk> <unk> com <unk>
A luz é tão <unk> como <unk> <unk> .
Para sempre para <unk> ou <unk> <unk> <unk> <unk> .
cuja cabeça tem <unk> com o limite da sua <unk> <unk> .
cujo rosto é feito .
É assim que a imagem do facto de a imagem da imagem .
A cidade cresce para os olhos abertos .
<unk> e <unk> <unk> ♪ <unk> ♪ ♪ ♪ ♪ ♪ ♪ ♪ e <unk>
<unk> e <unk> <unk> e <unk> <unk> e <unk> <unk> e <unk> <unk> e <unk>
Se ele <unk> na <unk> <unk> .",0.015637620644531624,0.20045504584589205,0.5784612894058228,0.85872805
"hang with festoons and wreaths and coronals
the corridors and halls!
be there all round the sound of gay bells ringing!
let there be echoing singing!
pour out like a libation all your joy!
shout, even ye children, little maid and boy
whose belly yet unfurred yet whitely decks
a sexless thing of sex!
shout out as if ye knew what joy this is
you clap at in such bliss!","enfeitai com festões, guirlandas e coroas
os corredores e salas!
que haja ao redor o alegre som de sino tinindo!
que haja ecoante canto!
vertei qual libação toda a alegria!
gritai mesmo vós, pequenos, menina e rapaz
cujo ventre 'inda liso orna cândido
um assexuado algo de sexo!
berrai como se soubésseis que alegria é esta
que aplaudis com tal deleite!",en_XX,pt_XX,"<unk> com <unk> e <unk> e <unk> e <unk> e <unk> e <unk> e <unk> e <unk>
As margens e <unk> <unk> e <unk> <unk> .
<unk> o som do &quot; gay &quot; <unk> <unk> <unk> <unk> .
Vamos haver <unk> <unk> <unk> .
<unk> como uma <unk> toda a <unk> .
&quot; <unk> mesmo <unk> <unk> e rapaz &quot;
<unk> <unk> ainda <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
Uma coisa <unk> de <unk> .
<unk> como se <unk> sabia o que é que a alegria é isto .
<unk> numa forma tão <unk> .",0.008993960258634522,0.14603808290475975,0.5439845323562622,0.8125103
"lullaby.
adult and child
sink to their rest.
at sea the big ship sinks and dies,
lead in its breast.
lullaby.
let nations rage,
let nations fall.
the shadow of the crib makes an enormous cage
upon the wall.
lullaby.
sleep on and on,
war’s over soon.
drop the silly, harmless toy,
pick up the moon.
lullaby.
if they should say
you have no sense,
don’t you mind them; it won’t make
much difference.
lullaby.
adult and child
sink to their rest.
at sea the big ship sinks and dies,
lead in its breast.","nana neném.
criança e adulto
dormem fundo.
no mar, o navio ferido naufraga,
cheio de chumbo.
nana neném.
países brigam,
países morrem.
a sombra do berço traça na parede
uma gaiola enorme.
nana neném.
dorme que a guerra acaba
e o sono continua.
larga esse brinquedo bobo
e pega a lua.
nana neném.
se alguém disser
que criança não tem siso,
não liga pra eles não, que isso de siso
não é preciso.
nana neném.
criança e adulto
dormem fundo.
no mar, o navio ferido naufraga,
cheio de chumbo.",en_XX,pt_XX,"<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
e criança muito vulneráveis e criança infantil e criança infantil e criança muito vulneráveis e criança
<unk> para o seu <unk> .
No centro do grande navio e <unk> <unk> e <unk> .
<unk> na sua <unk> .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
Vamos às nações <unk> <unk> .
Vamos às nações <unk> <unk> .
A sombra do fosso faz uma enorme gaiola .
na <unk> <unk> .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> e <unk> em <unk> e <unk> .
<unk> ao longo da <unk> <unk> .
<unk> a <unk> <unk> <unk> <unk> .
<unk> o <unk> .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
Se elas devem dizer se deviam dizer se deviam dizer se deviam dizer se deviam dizer
Não têm <unk> <unk> .
<unk> <unk> <unk> faz <unk> <unk> .
Muito <unk> muito <unk> .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
e criança muito vulneráveis e criança infantil e criança infantil e criança muito vulneráveis e criança
<unk> para o seu <unk> .
No centro do grande navio e <unk> <unk> e <unk> .
<unk> na sua <unk> .",0.0091128301156383,0.12872628726287266,0.5564209818840027,0.8025017
"last night another big one fell.
it splattered like an egg of fire
against the cliff behind the house.
the flame ran down. we saw the pair
of owls who nest there flying up
and up, their whirling black-and-white
stained bright pink underneath, until
they shrieked up out of sight.
the ancient owls’ nest must have burned.
hastily, all alone,
a glistening armadillo left the scene,
rose-flecked, head down, tail down,
and then a baby rabbit jumped out,
short-eared, to our surprise.
so soft! — a handful of intangible ash
with fixed, ignited eyes.
too pretty, dreamlike mimicry!
o falling fire and piercing cry
and panic, and a weak mailed fist
clenched ignorant against the sky!","ontem caiu um grande aqui perto
na encosta de pedra nua.
quebrou como um ovo de fogo.
as chamas desceram. vimos duas
corujas fugindo do ninho,
os dorsos das asas ariscas
tingidas de um rosa vivo,
guinchando até sumirem de vista.
o velho ninho se incendiara.
sozinho, em polvorosa,
um tatu reluzente fugiu,
cabisbaixo, salpicado de rosa,
depois um ser de orelhas curtas,
por estranho que pareça, um coelho.
tão macio! — pura cinza intangível
com olhos fixos, dois pontos vermelhos.
ah, mimetismo frágil, onírico!
fogo caindo, um escarcéu
e um punho cerrado, ignorante
e débil, voltado contra o céu!",en_XX,pt_XX,"Na noite passada há outra <unk> .
<unk> como um ovo de fogo de fogo .
contra a <unk> por detrás da <unk> .
<unk> a <unk> que vimos a <unk> .
de <unk> que lá lá voam lá fora .
e <unk> as suas <unk> <unk> <unk> <unk> os seus <unk> <unk> <unk> .
<unk> brilhante <unk> até até à <unk> .
<unk> fora da <unk> <unk> .
O limite antigo <unk> tem de ter <unk> <unk> .
<unk> todos os <unk> <unk> todos os <unk> <unk> todos os <unk> <unk> todos os
Uma <unk> <unk> a <unk> a <unk> .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
e depois um rapaz <unk> <unk> <unk> <unk> <unk> .
<unk> para a nossa <unk> .
<unk> — uma dúzia de <unk> <unk> .
com <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> o fogo e <unk> chorar <unk> .
e <unk> e um <unk> <unk> <unk> e um <unk> de <unk> .
<unk> <unk> contra o <unk> <unk> contra o <unk> <unk> contra o <unk> <unk> contra",0.01700898219612009,0.1291062399065616,0.5281067490577698,0.7782662
