original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,bleu_score,meteor_score,bertscore,bartscore
"em luzentes assentos, marchetados
de ouro e de perlas, mais abaixo estavam
os outros deuses todos assentados
como a razão e a ordem concertavam
(precedem os antigos, mais honrados,
mais abaixo os menores se assentavam);
quando júpiter alto, assim dizendo,
c'um tom de voz começa grave e horrendo:
eternos moradores do luzente,
estelífero polo e claro assento:
se do grande valor da forte gente
de luso não perdeis o pensamento,
deveis de ter sabido claramente
como é dos fados grandes certo intento
que por ela se esqueçam os humanos
de assírios, persas, gregos e romanos.","sur des sièges plus bas, d’une noble ordonnance,
et de perles et d’or richement incrustés,
les dieux se sont assis, et de la préséance
observent même entr’eux les arrêts respectés.
a la place d’honneur est l’âge vénérable,
la jeunesse est derrière avec les demi-dieux;
alors, et d’une voix sonore et redoutable,
jupiter dit ces mots au conseil glorieux:
«immortels habitants du lumineux empire,
«du firmament serein, du pôle de splendeur,
«vous vous rappelez tous sans l’entendre redire,
«que des forts lusilains la brillante valeur
«a de hauts faits sans nombre illustré leur histoire,
«el que ce peuple aura par la loi des destins
«un grandiose avenir effaçant la mémoire
«des assyriens, des grecs, des persans et romains.",pt_XX,fr_XX,"dans les sièges luminants, marchant
D'or et de perles, plus c'était bas
Les autres dieux se sont mis en place.
* comme raison et ordre congrégés
(avant les anciens, les plus honorés,
– le plus bas les enfants étaient assis;
Quand il est défoncé, pour ainsi dire,
– un ton de la voix commence grièveux et épouvantable:
""Ver les reliures de la lueur,
– polo stellifère et siège transparent:
Si de la grande valeur des gens forts
Ne perds pas l'esprit avec luso,
- Tu as dû le savoir.
# Comment c'est de la grande mode d'un certain essai #
♪ pour qu'elle oublie les humains ♪
d'Assyriens, de Perses, de Grecs et de Romains.",0.028786205258845197,0.20736456510836307,0.7086058855056763,0.96795577
"de panos de algodão vinham vestidos,
de várias cores, brancos e listrados:
uns trazem derredor de si cingidos,
outros em modo airoso sobraçados:
da cinta para cima vêm despidos;
por armas têm adargas o terçados;
com toucas na cabeça; e navegando,
anafis sonorosos vão tocando.","de, pièces de colon, à rayures ou blanches
ils étaient revêtus, suivant leurs goûts divers.
les unes en ceinture, et leur couvrant les hanches,
les autres sur le dos flottant au gré des airs.
leur poitrine était nue. en signe pacifique
le sabre, la zagaie, auprès d’eux sont rangés.
el tout en naviguant, leur barbare musique
fait entendre des sons discords et prolongés.",pt_XX,fr_XX,"Avec des étoffes de coton, elles étaient habillées,
Multicolore, blanc et rayé:
- Certains d'entre nous grincent dans les parages,
Autres en mode aéré:
- de la bande, on a tiré.
- par les armoiries ont des dargas o terceados;
- avec des calottes sur la tête; et la navigation,
- Les anaphis sonoreux vont jouer.",0.008752909218998196,0.14285714285714285,0.6962782144546509,0.9540748
"as duas flores
são duas flores unidas
são duas rosas nascidas
talvez do mesmo arrebol,
vivendo,no mesmo galho,
da mesma gota de orvalho,
do mesmo raio de sol.
unidas, bem como as penas
das duas asas pequenas
de um passarinho do céu...
como um casal de rolinhas,
como a tribo de andorinhas
da tarde no frouxo véu.
unidas, bem como os prantos,
que em parelha descem tantos
das profundezas do olhar...
como o suspiro e o desgosto,
como as covinhas do rosto,
como as estrelas do mar.
unidas... ai quem pudera
numa eterna primavera
viver, qual vive esta flor.
juntar as rosas da vida
na rama verde e florida,
na verde rama do amor!","les deux fleurs
ce sont deux fleurs unies
ce sont deux roses nées
peut-être du même rougeoyant
sur la même branche, vivant,
de la même goutte de rosée,
du même rayon de soleil.
unies, aussi comme les plumes
des deux petites ailes
d’un oiseau du ciel...
comme un couple de tourterelles
comme la tribu d’hirondelles
du soir dans le voile relâché.
unies, aussi comme les sanglots,
qui par paires descendent tant
des profondeurs du regard....
comme le soupir et le chagrin,
comme les petits creux des joues,
comme les étoiles de mer.
unies... heureux celui qui pourrait
dans un éternel printemps
vivre, comme cette fleur.
assembler les roses de la vie
sur le feuillage vert et fleuri
le vert feuillage de l’amour!",pt_XX,fr_XX,"Les deux fleurs
- C'est deux fleurs.
Est-ce que deux roses naissent ?
- Peut-être du même tremblement,
""Vivre, dans la même branche,
de la même goutte de rosée,
- du même rayon de soleil.
Ensemble, ainsi que les plumes
des deux petites ailes
♪ d'un petit oiseau du ciel... ♪
- comme un couple de bobines,
- comme le râteau des slobs.
Après-midi dans le voile.
* et les lamentations et les lamentations, *
De la même façon, tant de gens descendent.
Depuis les profondeurs du regard...
""comme le soupir et le délice,
Comme les chardons de la face,
Comme les astres de la mer.
# Nous sommes tous ensemble... # # # Whoo, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa...
♪ dans une source éternelle ♪
Vive, sur quoi cette fleur vit.
""Ensemble les roses de la vie""
dans la branche verte et fleurie,
- Sur la branche verte de l'amour!",0.1414313753576584,0.42498410618728155,0.7147617936134338,0.84791994
"primavera
a musa que passava
não era a que sabias.
vinha em lua minguante
a espaços vestida
por espelhos azuis
e narcisos de frio.
que remanso tão meigo
em seus peitos havia!
que miosótis de leite
em suas veias tíbias,
três tangentes tocavam
o seu coração dúbio.
não lhe soubeste o corpo —
terra da madrugada
que se dava ferida,
nem os seus cursos de água.
olhavas tão ao longe
enquanto o amor te olhava.","printemps
la muse qui passait
n'était pas celle que tu connaissais.
elle arrivait en lune décroissante
par intervalles habillée
par des miroirs bleus
et des jonquilles froides.
quelle mare si douce
qu'il y avait dans ses seins!
quels myosotis laiteux
dans ses veines vacillantes,
trois tangentes qui touchaient
son coeur indécis.
tu n'as pas connu son corps —
la terre qui à l'aube
s'offrait avec sa blessure,
ni ses cours d'eau.
ton regard se perdait si loin
pendant que l'amour te regardait.",pt_XX,fr_XX,"Printemps
♪ la muse qui était en train de passer ♪
- Ce n'est pas celui que tu connaissais.
- Il vient sur une lune.
- aux espaces habillés.
♪ par des miroirs bleus ♪
- et des narcissos froids.
- Je suis si gentil.
- Il y avait dans ses seins!
- cette myosotis de lait
Dans son tibia,
""Trois tangents jouèrent
- votre cœur douteux.
- Tu ne connaissais pas son corps.
- Le pays de l'aube.
- qu'il a été blessé,
- ou de vos cours d'eau.
- Tu as regardé si loin.
- Pendant que l'amour te regardait.",0.16320138836795178,0.4678832908855314,0.7745928764343262,0.9460087
"descalça vai para a fonte
leonor pela verdura;
vai fermosa, e não segura.
leva na cabeça o pote,
o testo nas mãos de prata,
cinta de fina escarlata,
sainho de chamelote;
traz a vasquinha de cote,
mais branca que a neve pura.
vai fermosa e não segura.
descobre a touca a garganta,
cabelos de ouro entrançado
fita de cor de encarnado,
tão linda que o mundo espanta.
chove nela graça tanta,
que dá graça à fermosura.
vai fermosa e não segura.","pieds nus elle va à la source
leonor, par la verdure;
elle va belle, mais pas sûre d'elle.
sur la tête elle porte la cruche,
le couvercle dans ses mains d'argent,
ceinture de fine escarlate,
petite veste de laine;
elle porte la jupe plissée,
plus blanche que la neige pure.
elle va belle mais pas sûre d'elle.
la gorge par le bonnet dévoilée,
les cheveux en or tressés,
ruban de couleur vermeil,
si belle que le monde s'émerveille.
sur elle tant de grâce se déverse,
que gagne en charme la beauté.
elle va belle mais pas sûre d'elle.",pt_XX,fr_XX,"Unshoes va à la fontaine
- leonor pelle vegetat;
Ça va être beau, et ce n'est pas sûr.
- Il a le pot dans la tête,
le texte dans les mains de l'argent,
- fin ruban écarlate,
- la saine de caméléon;
- C'est une bonne idée.
Plus blanc que la neige pure.
- Ça va être beau et pas sûr.
- Trouvez la casquette sur la gorge,
Cheveux or tressés
Une bande de couleur incarnée,
C'est si beau que le monde est stupéfiant.
Il pleut en elle tant de grâce,
- C'est tout.
- Ça va être beau et pas sûr.",0.10341276072432869,0.3532305443714366,0.7550881505012512,0.9669593
"na terra cautamente aparelhavam
armas e munições, que, como vissem
que no rio os navios ancoravam,
neles ousadamente se subissem;
e nesta treïção determinavam
que os de luso de todo destruíssem,
e que, incautos, pagassem deste jeito
o mal que em moçambique tinham feito.","a terre, cependant, pour la lâche embuscade,
armes et munitions s'apprêtaient en secret.
le plan était tracé. on risquait l'escalade
si tôt que les vaisseaux leur ancrage auraient fait.
les maurs massacraient tout; bien faible résistance
feraient les portugais, à l'improvisle pris,
on tirerait ainsi une pleine vengeance
des faits qu’à mozambique ils avaient accomplis.",pt_XX,fr_XX,"Sur la terre, prudemment labourée dans l'air
""Les warmes et les munitions, qui, comme vous pouvez le voir,
""que dans la rivière les navires amarraient,
- en eux hardiment s'ils viennent;
et dans ce tretion déterminé
Que la tiédeur de tous détruise,
Et que, impiement, ils paieraient de cette façon.
Le mal qu'ils avaient fait au Mozambique.",0.020610594872805196,0.17087667161961367,0.690047562122345,0.9343342
"ah! marília, que tormento
não tens de sentir saudosa!
não podem ver os teus olhos
a campina deleitosa,
nem a tua mesma aldeia,
que tiranos não proponham
à inda inquieta ideia
uma imagem de aflição.
mandarás aos surdos deuses
novos suspiros em vão... (bis) /
//
quando à janela saíres,
sem quereres, descuidada,
tue verás marília, a minha
a minha pobre morada.
tu dirás estão contigo :
ali dirceu esperava
para me levar consigo ;
e ali sofreu a prisão.
mandarás aos surdos deuses
novos suspiros em vão. (bis)
numa masmorra metido,
eu não vejo imagens destas,
imagens, que são por certo
a quem adora funestas.
mas se existem separadas
dos inchados, roxos olhos,
estão, que é mais, retratadas
no fundo do coração.
também mando aos surdos deuses
tristes suspiros em vão. (bis)
//
os mares, minha bela, não se movem;
o brando norte assopra, nem diviso
uma nuvem sequer na esfera toda;
o destro nauta aqui não é preciso;
eu só conduzo a nau, eu só modero
do seu governo a roda
o brando norte assopra, nem diviso
uma nuvem sequer na esfera toda;
o destro nauta aqui não é preciso;
eu só conduzo a nau, eu só modero
do seu governo a roda./
mas ouço já de amor as sábias vozes:
ele me diz que sofra, senão morro:
e perco, então, se morro, uns doces laços.
não quero já, marília, mais socorro;
oh! ditoso sofrer, que lucrar pode
a glória dos teus braços!","oh! marília, qu’elle tourment
tu ne dois sentir nostalgique!
tes yeux ne peuvent voir
la prairie idyllique,
pas même ton propre village.
que les tyrans ne suggèrent
à l’idée seulement troublée
une vision de calamité.
tu enverrais à des dieux sourds
de nouveaux et vains soupirs ... /
//
lorsque que tu seras à la fenêtre,
sans le vouloir, sans trop penser,
tu veras marilia, la mienne
la mienne ma pauvre maison.
tu dirá en toi-même :
c’est là que dirceu attendait
pour avec lui m’emmener ;
et là il souffrit la prison
tu enverras aux dieux sourds
des nouveaux et vains soupirs. (bis)
dans un cachot relégué,
je ne vois pas ces images,
images qui, sans doute, sembleraient
à celui qui aime, funestes.
mais s'il en existe, éloignées
des yeux gonflés et noircis,
elles seront, qui plus est,
au fond du coeur représentées.
moi aussi j’enverrai aux dieux sourds
de tristes et vains soupirs... /
//
ma belle, les océans ne s’agitent pas;
doux le souffle du nord, et je ne devine
même pas un nuage dans tout la sphère;
ici l’habile marin n’est point requis;
je ne fais que guider le navire, dont je modère
la roue de l’orientation.
doux le souffle du nord, et je ne devine
même pas un nuage dans tout la sphère;
ici l’habile marin n’est point requis;
je ne fais que guider le navire, dont je modère
la roue de l’orientation./
mais j'entends déjà de l’amour les voix averties:
il me dit ou de souffrir ou de mourir:
et si je meurs, je perds alors des liens exquis.
marilia, encore de l’aide je n’en veux pas;
oh! heureuse souffrance, bienfait que peut avoir
la gloire de tes bras!",pt_XX,fr_XX,"Marília, quelle douleur!
- Tu n'as pas besoin d'être savoureux !
♪ ne peut pas voir tes yeux ♪
- le champ délectable,
""ou votre propre village,
- que les tyrans ne proposent pas
A l'idée de l'inda malaisé
C'est une image de deuil.
Tu vas envoyer les dieux sourds
De nouveaux soupirs en vain... (bis) /
- //
Quand tu pars à la fenêtre,
Inconsciemment, imprudemment,
Tu vas me tuer, tu vas voir ma marília.
- Mon pauvre endroit.
- Vous dîtes qu'ils sont avec vous :
- Il est parti et il a attendu.
- pour m'emmener avec toi;
- et il était en prison.
Tu vas envoyer les dieux sourds
- Non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non, non.
- dans un donjon,
- Je ne vois aucune de ces images,
Images, qui sont à coup sûr
A celui qui aime la calamité.
- mais s'ils sont séparés
♪ des chemisiers, des yeux pourpres, ♪
Ce qui est plus, c'est la photo.
- au fond du cœur.
Je suis aussi en charge des dieux sourds.
- soupirs tristes en vain. (bis)
- //
""Les mers, ma belle, ne bougent pas;
- les souffles mous du nord, ou les divisives
- un nuage, même dans l'ensemble de la sphère;
- la nauta de droite n'est pas nécessaire;
Je ne conduis que la new, je ne fais que modérer
De la part de votre gouvernement, la roue
- les souffles mous du nord, ou les divisives
- un nuage, même dans l'ensemble de la sphère;
- la nauta de droite n'est pas nécessaire;
Je ne conduis que la new, je ne fais que modérer
De votre gouvernement à la roue.
Mais je peux déjà entendre les sages voix de l'amour:
- Il me dit qu'il a mal, ou je vais mourir.
- et je perds, donc, si je meurs, des jolies cravates.
- Je ne veux plus d'aide, Marília.
""Oh, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my, my.
La gloire de vos bras !",0.07384803816003821,0.36972352735712993,0.7125029563903809,0.94491744
"ser poeta é ser mais alto, é ser maior
do que os homens! morder como quem beija!
é ser mendigo e dar como quem seja
rei do reino de áquem e de além dor!
é ter de mil desejos o esplendor
e não saber sequer que se deseja!
é ter cá dentro um astro que flameja,
é ter garras e asas de condor!
é ter fome, é ter sede de infinito!
por elmo, as manhãs de oiro e de cetim...
é condensar o mundo num só grito!
e é amar-te, assim, perdidamente...
é seres alma, e sangue, e vida em mim
e dizê-lo cantando a toda a gente!","être poète c’est être plus haut, c’est être plus grand
que les hommes! mordre comme qui si on embrassait!
c’est mendier et donner comme si on était
roi du royaume d’ici et d’au-delà de la douleur!
c’est avoir de mille désirs la splendeur
sans même savoir qu’on les désire!
et avoir en soi un astre qui resplendit,
c’est avoir des griffes et des ailes de condor!
c’est avoir faim, c’est avoir soif d’infini!
comme armure, les matins d’or et de satin…
c’est condenser le monde dans un seul cri!
et c’est t’aimer ainsi, éperdument…
et que tu sois âme, sang et vie en moi
et le dire en chantant au monde entier!",pt_XX,fr_XX,"- pour être un poéte, c'est d'être plus grand, c'est d'être plus grand.
- des hommes! pour mordre comme un embrassant!
C'est d'être un mendiant et de donner à qui il est
""Roi du royaume de l'aquim et au-delà de la douleur!
C'est d'avoir de mille désirs la splendeur
- et ne sais même pas ce que tu veux!
C'est pour avoir une star enflammée,
- C'est pour avoir des ailes de clivage et de condor!
C'est pour avoir faim, c'est pour avoir soif de l'infini !
- par elmo, les matins de l'oir et du satin...
C'est condensant le monde en un seul cri !
- et c'est pour t'aimer, donc...
Etre une âme, et du sang, et de la vie en moi
- et dis-le en chantant à tout le monde!",0.13332665585481024,0.3910953960197861,0.7768612504005432,0.9767189
"que, se aqui a razão se não mostrasse
vencida do temor demasiado,
bem fora que aqui baco os sustentasse,
pois que de luso vem, seu tão privado;
mas esta tenção sua agora passe,
porque enfim vem de estômago danado;
que nunca tirará alheia inveja
o bem que outrem merece e o céu deseja.","«n’est-il pas positif qu'une terreur panique
«a fait croire à bacclius qu’il doit craindre pour lui,
«el que sans l’intérêt de son renom antique,
«de ces fils de lusus, il deviendrait l’appui;
«dans leurs vastes desseins si ce dieu les entrave
«de sa malignité ne voit-on pas l’effet?
«et permettrons-nous donc que l’envie ôte au brave,
«la gloire qu’il mérite, et que le sort promet?",pt_XX,fr_XX,"- c'est, si c'est la raison si je ne me montre pas
Dépassé par la peur aussi,
C'est un long chemin de ma part de pouvoir les soutenir,
""car de luso cometh, son si privé;
Mais l'attention que vous portez passe,
Parce que ça vient d'un estomac dégueulasse.
♪ qui ne rendra jamais un homme jaloux ♪
- le bien que l'autre homme mérite et le ciel le désire.",0.0071759971438667405,0.11254019292604503,0.6991478800773621,0.9568126
"o amor e o tempo
pela montanha alcantilada
todos quatro em alegre companhia,
o amor, o tempo, a minha amada
e eu subíamos um dia.
da minha amada no gentil semblante
já se viam indícios de cansaço;
o amor passava-nos adiante
e o tempo acelerava o passo.
– amor! amor! mais devagar!
não corras tanto assim, que tão ligeira
não pode com certeza caminhar
a minha doce companheira!
súbito, o amor e o tempo, combinados,
abrem as asas trémulas ao vento…
– por que voais assim tão apressados?
onde vos dirigis?» – nesse momento,
volta-se o amor e diz com azedume:
– tende paciência, amigos meus!
eu sempre tive este costume
de fugir com o tempo… adeus! adeus!","l'amour et le temps
par la montagne escarpée
tous les quatre en joyeux entour,
l'amour, le temps, ma bien-aimée
et moi, nous montions un jour.
de ma bien-aimée sur le doux semblant
des signes de fatigue il y avait déjà;
l'amour de vitesse nous gagnant
et le temps qui accélérait le pas.
- amour! amour! plus doucement!
ne cours pas tant, car de si légère
elle ne peut sans doute pas marcher
ma douce compagnière!
soudain, l'amour et le temps, combinés,
déploient leurs ailes tremblantes dans le vent...
– pourquoi volez-vous si pressés ?
où vous dirigez-vous? - à ce moment,
l'amour se retourne et dit avec amertume :
– soyez patients, mes amis !
j'ai toujours eu cette coutume
de avec le temps m'enfuir… adieu ! adieu!",pt_XX,fr_XX,"- L'amour et le temps.
- par la montagne de l'alcantilada.
Tous les quatre en compagnie de jolly,
♪ L'amour, le temps, mon amour ♪
- Un jour, je monterais.
de ma bien-aimée dans la douce ressemblance
- des signes de fatigue ont déjà été observés;
♪ L'amour nous transmettrait ♪
- et le temps a accéléré le rythme.
– l'amour! l'amour! ralentir!
Ne cours pas ainsi, alors la lumière
# Je ne peux pas être sûr de marcher #
- Ma douce compagne!
""Soudain, l'amour et le temps, combinés,
Ouvrir les ailes tremblant au vent...
Pourquoi volez-vous si vite ?
– où allez-vous?» – en ce moment,
Il se tourne vers l'amour et dit avec auresse:
Soyez patient, mes amis!
- J'ai toujours eu cette habitude.
- de s'enfuir avec le temps... au revoir! au revoir!",0.23484245984286437,0.5742095846730553,0.7978072762489319,0.9834961
