original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,bleu_score,meteor_score,bertscore,bartscore
"o sonho da linguagem
escreverás sobre a sujeição dos animais.
mas não hoje. lembra-te de como se move
a pantera, ainda, na jaula sem literatura
que lhe legaram. lembrar-te-ás. mas não hoje.
porque hoje é o dia em que as metáforas
despertam, a arca se abre, e a linguagem
se assemelha a uma invenção em aberto.
uma vigília de metáforas preenchendo a noite,
como um fogo-de-santelmo que, eternamente,
a cobrisse, a si e ao seu manto e aos seus símbolos.
hoje é o dia em que a noite se faz dia,
em que a linguagem celebra os animais
depois dos animais terem perecido,
mas sem que haja memória disso,
sequer nostalgia disso. apenas linguagem,
apenas sentido e som a ressoar dentro
do sentido, sem que a hipótese de um princípio
se imponha, sem que a hipótese de um fim se imponha.
haverás de despertar, tu também,
para a vigília das metáforas,
para o sonho da linguagem.","the dream of language
you’ll write about the subjection of animals.
but not today. remember how the panther
still moves in the literature-free cage
it inherited. you’ll remember. but not today.
because today’s the day when metaphors
awaken, the chest opens up, and language
resembles an invention in progress.
a vigil of metaphors filling up the night,
as if it and its mantle and its symbols
were covered by an eternal saint elmo’s fire.
today’s the day when night becomes day,
when language celebrates animals
after the animals have perished
but with no trace of them surviving
in memory or in longing. just language,
just meaning and sound echoing inside
meaning, with no possibility of a beginning
asserting itself, no possibility of an end.
you too will have to wake up
to the vigil of metaphors,
to the dream of language.",pt_XX,en_XX,"the dream of language you will write about the subjection of animals. but not today. remember how the bread still moves in the jar without the literature they read. you will remember. but not today. because today is the day when metaphors wake up, the shell opens, and language resembles an open invention. a vigil of metaphors filling the night, like a flame of sandalwood that, forever, covers itself with itself and its staff and symbols. today is the day when night becomes day, when language celebrates the animals after the animals have died, but without a memory of that, not even a nostalgia of that. only language, only meaning and sound shouting within meaning, without the possibility of a beginning imposing itself, without the possibility of an end imposing itself. you will have to wake up, you too, to the vigil of metaphors, to the dream of language.",0.4321495299065208,0.656265405197318,0.9039160013198853,0.92775637
"a máscara
esta luz animada e desprendida
duma longínqua estrela misteriosa
que, vindo reflectir-se em nosso rosto,
acende nele estranha claridade;
esta lâmpada oculta em nossa máscara
tornada transparente e radiante
de alegria, de dor ou desespero
e de outros sentimentos emanados
do coração dum anjo ou dum demónio;
este retrato ideal e verdadeiro,
composto de alma e corpo e de que somos
a trágica moldura, errando à sorte,
é ela, é ela, a nossa aparição,
feita de estrelas, sombras, ventanias
e séculos sem fim surgindo, enfim,
cá fora, sobre a terra, à luz do sol.","the mask
that living and unfettered light
arriving from a distant, mysterious star
and reflecting off our face,
making it shine with a strange glow. . .
that hidden lamp which turns our mask
transparent and radiant
with joy, sorrow or despair
and still other feelings arisen
from an angel’s or a demon’s heart. . .
that true and ideal portrait composed
of soul and body and whose frame
we are, aimlessly wandering. . .
that’s it, yes, our apparition, us,
made of stars, shadows, raging winds
and countless centuries, finally emerging
out here, on earth, in the light of the sun.",pt_XX,en_XX,"the mask this lively and dazzling light from a long, mysterious star that, as it comes to reflect on our face, shines in its strange clarity; this hidden lamp in our mask made transparent and radiant by joy, pain or despair and other feelings emanating from the heart of an angel or demon; this ideal and true portrait, composed of soul and body and that we are the tragic frame, mistaken for luck, it is, it is, our appearance made up of stars, shadows, windows and endless centuries rising, finally, out on earth, in the sun's light.",0.17962969693048478,0.5491427427549296,0.8809574246406555,0.9189144
"antre mi mesmo em mim
não sei que se alevantou
que tão meu inimigo sou
uns tempos com grande engano
vivi eu mesmo comigo
agora no maior perigo
se me descobriu mor dano
caro custou um desengano
e pois m’este não matou
assaz caro me custou
de mim sou feito alheo
antre cuidado e cuidado
está um mal derramado
que por meu grão mal me veo
nova dor novo arreceo
foi este que me matou
que tão meu inimigo sou","between myself and me
between myself and me
i don’t know what’s emerged
to make me my own enemy.
for a time i lived as a fool,
at peace with myself.
now i see the great harm
a great danger can wreak.
disillusion costs dearly:
so costly was my latest
disillusion, it didn’t kill me.
i’m a stranger to myself.
my cruel fate is dispersed
in sorrow after sorrow,
cruelly sent my way.
fresh pain, fresh fear
have taken ahold of me.
here i am, trapped.",pt_XX,en_XX,inside of me inside of me i don’t know what happened to me i don’t know what happened to me what happened to me what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my enemy what happened to my en,0.020733795681713844,0.08550185873605948,0.742046594619751,0.58538675
"a terra do nunca
se eu fosse para a terra do nunca,
teria tudo o que quisesse numa cama de nada:
os sonhos que ninguém teve quando
o sol se punha de manhã;
a rapariga que cantava num canteiro
de flores vivas;
a água que sabia a vinho na boca
de todos os bêbedos.
iria de bicicleta sem ter de pedalar,
numa estrada de nuvens.
e quando chegasse ao céu, pisaria
as estrelas caídas num chão de nebulosas.
a terra do nunca é onde nunca
chegaria se eu fosse para a terra do nunca.
e é por isso que a apanho do chão,
e a meto em sacos de terra do nunca.
um dia, quando alguém me pedir a terra do nunca,
despejarei todos os sacos à sua porta.
e a rapariga que cantava sairá da terra
com um canteiro de flores vivas.
e os bêbedos encherão os copos
com a água que sabia a vinho.
na terra do nunca, com o sol a pôr-se
quando nasce o dia.","the land of never
if i went to the land of never,
i would have everything i wanted in a bed of nothing:
the dreams that no one had when
the sun came up in the morning;
the girl who sang in a bed
of vivid flowers;
the water that tasted of wine in the mouth
of every drunk.
i would ride my bicycle without having to pedal,
down a street of clouds.
and when i had reached the sky, i’d step
on the stars that had fallen on the misty ground.
the land of never is where i would never
arrive if i went to the land of never.
that is why i scoop up the ground,
filling up bags with the earth of never.
one day, when someone asks me about the land of never,
i’ll empty all the bags on their doorstep.
and the girl who sang will come out of the earth
with a bed of vivid flowers.
and the drunks will fill their glasses
with the water that tastes of wine.
in the land of never, with the sun rising
when the day is born.",pt_XX,en_XX,"the land of never if i went to the land of never, i would have everything i wanted in a bed of nothing: dreams no one had when the sun rose in the morning; the girl singing in a living flower pot; the water that knew the wine in the mouths of all drunks. i would ride a bike without having to pedal, on a road of clouds. and when i reached the sky, i would climb the fallen stars on a ground of fog. the land of never is where i would never get if i went to the land of never. and that’s why i grab it from the ground, and put it into sacks of the land of never. one day, when someone asks me for the land of never, i’ll empty all sacks at his door. and the girl singing will come out of the land with a living flower pot. and drunks will fill the cups with the water that knew the wine. in the land of never, with the sun rising when the day rises.",0.5293460728381026,0.7493896218682825,0.9156466722488403,0.9259025
"exaltação
viver!... beber o vento e o sol!... erguer
ao céu os corações a palpitar!
deus fez os nossos braços pra prender,
e a boca fez-se sangue pra beijar!
a chama, sempre rubra, ao alto, a arder!...
asas sempre perdidas a pairar,
mais alto para as estrelas desprender!...
a glória!... a fama!... o orgulho de criar!...
da vida tenho o mel e tenho os travos
no lago dos meus olhos de violetas,
nos meus beijos extáticos, pagãos!...
trago na boca o coração dos cravos!
boêmios, vagabundos, e poetas:
— como eu sou vossa irmã, ó meus irmãos!...","exaltation
to live!... to drink the wind and sun!...
to lift up to the sky our throbbing
hearts! god made our arms for grasping!
and gave us mouths of blood for kissing!
the always red-glowing flame on high!...
the always straying wings that soar
still higher, ready to uproot the stars!...
glory!... fame!... the pride of creating!...
life’s honey and life’s bitterness
dwell in the lake of my eyes like violets
and in my ecstatic, pagan kisses!...
the heart of carnations fills my mouth!
o bohemians, tramps and poets,
how truly, brothers, i’m your sister!",pt_XX,en_XX,"exaltation to live!... to drink the wind and the sun!... to lift up to the sky our hearts to palpate! god made our arms to hold, and our mouth made blood to kiss! the flame, always stealing, rising up, burning!... the wings, always lost, burning, rising up to the stars to burning!... glory!... fame!... the pride of creating!... of life I have the honey and the grass in the lake of my violet eyes, in my exotic, pagan kiss!... i hold in my mouth the heart of the cravens!",0.3584910750899928,0.4385469285411096,0.885017991065979,0.9434014
"as palavras
são como um cristal,
as palavras.
algumas, um punhal,
um incêndio.
outras,
orvalho apenas.
secretas vêm, cheias de memória.
inseguras navegam:
barcos ou beijos,
as águas estremecem.
desamparadas, inocentes,
leves.
tecidas são de luz
e são a noite.
e mesmo pálidas
verdes paraísos lembram ainda.
quem as escuta? quem
as recolhe, assim,
cruéis, desfeitas,
nas suas conchas puras?","words
they are like a crystal,
words.
some a dagger,
some a blaze.
others,
merely dew.
secret they come, full of memory.
insecurely they sail:
cockleboats or kisses,
the waters trembling.
abandoned, innocent,
weightless.
they are woven of light.
they are the night.
and even pallid
they recall green paradise.
who hears them? who
gathers them, thus,
cruel, shapeless,
in their pure shells?",pt_XX,en_XX,"the words are like a crystal, the words. some, a whistle, a flame. others, just an owl. secrets come, full of memories. insecure sails: boats or beers, the waters dim. lost, innocent, light. dark they are of light and are night. and even burnt green paradises remember. who listens to them? who picks them up, thus, cruel, flawed, in their pure shells?",0.28433716536108966,0.6924165294721396,0.8794571757316589,0.81373894
"[neil young]
na hora em que eu mais ruía
o sol aplainava o relvado, palmeiras
ondulavam num lago turvo
longe o escaravelho porvindoiro
que as reduziu a um coto
assemelhando-as a um ananás que degrada hoje
pelos jardins
o repuxo animava sem triunfo o pântano
da juventude
as varandas em fogo
o verão começando pelo fim
horas extraordinárias aquelas
em que as aves adiavam o repouso por causa
dos insectos do turno sequente
ourados absortos estrepitantes
a hora em que mais ninguém deitava como eu
a bicicleta sobre a falta
e se sentava na relva prendendo as lágrimas
as mãos tapando o rosto o rosto entre os geolhos e uma
roda atrás a girar
não havia o ecrã de bolso oportuno
era inevitável encarar o que não tem conserto
nem nunca terá
era do dia o instante altíloquo
uma harmónica crepitava nos auscultadores
feria de morte o touro da tarde
esse búfalo ermo que se aparta da manada
para ficar-se
os subidos candeeiros acendiam
havia um muro recém pintado
sujo já por um grafito de província
um cão passava ao largo levantava o focinho ao
perfume dos jantares
que chegava de onde
se entrevia o espalha-cor dos televisores
havia o farrapo de lua
como flanela posta sobre a ganga das alturas
agraudava os dós arrumados
na caixa do futuro
a hédera das extensões percorria aquela hora
uma ideia sulcava a charneca celeste
o coração alpinista no avesso dos volumes
rarefeito
o mundo era já uma seara de nojo
e fartura – belo desastroso feroz – lugar de forças
e destruições
eu tacteava de olhos fechados
puro intrínseco
procurava um celeiro urbano onde guardar
o ouro-sémen pronto a detonar
a libélula extrema o grilo inicial
a andorinha cujo ninho resulta de um cúmulo
de lama e ervas secas e rasoira
as superfícies alimentando-se no ar
nas minhas costas o exíguo refrigério
da biblioteca pública
àquela hora antro de nebulosos soldados
repousando da luta de guerrilha
hasta la derrota, siempre!
infligiam estragos mínimos a um inimigo
bronco mas relutante
apenas tombavam nas emboscadas aqueles
como eu mais sorumbáticos
tanto oito visível ainda sobre o chão
lavrado à força de rodar no mesmo sítio
ousara trespassar o pórtico do infinito
finava sempre inclinado sobre o jantar","[neil young]
that moment when i was really falling apart
and the sun lingered over the lawn, and the palms
billowed above the turbid lake
faraway the promised beetle
reduced those palms to a stump
until they seemed like a pineapple which these days
rots in the gardens
the fountain blandly animated the swamp
of the young
the balconies on fire
the summer beginning at its end
overtime hours those
in which the birds delayed their naps because
of the next shift of insects
hallucinating self-absorbed clamorous
at that hour no one else like me setting their bicycle
down on the dearth
sitting on the grass holding back tears
covering their face with their hands, face between their knees and a
wheel behind still spinning
there was no convenient pocket screen
facing up to that which can’t be fixed and never will be
was inevitable
it was on that day the eloquent moment
a harmonica crackled in my headphones
mortally wounding the afternoon’s bull
that solitary buffalo that steers clear of the herd
to die
the high lamps lit up
a newly painted wall
already marked with a small town’s graffito
a dog went past lifting its snout to the
scent of dinners
which came from where
the televisions’ color-blend rose in the air
there was the shred of moon
like flannel sewn onto the denim of the heights
it nurtured hoarded hurt
in the box of the future
the ivy of extensions twined through that hour
an idea furrowed the celestial fen
the mountaineer heart inside the volumes
rarefied
the world was already a glebe of lamentation
and overabundance – beautiful disastrous fierce – locus of forces
and ruin
i fingered with my eyes closed
pure intrinsic
searched out an urban granary where i could keep
the semen-gold ready to detonate
the extreme dragonfly the first cricket
the swallow who got up its nest in a cumulus
of mud and dried weeds who smooths
the surfaces feeding itself in the air
at my back the exiguous cooling
of the public library
at that hour a cavern of nebulous soldiers
resting from their war of resistance
hasta la derrota, siempre!
they inflicted little damage on a rough
but reluctant enemy
only those as sullen as i
walked into ambushes
so many figure eights still visible on the ground
forcefully hoed up from repeatedly going round in the same place
i had dared to go past the gate of the infinite
always ending up bent over dinner",pt_XX,en_XX,"[neil young] at the time when i cried most the sun lit up the grass, palm trees flourished in a barren lake far from the forested beetle that reduced them to a cliff resembling a branch that degrades today in the gardens the rush to the forest unprecedentedly animated the thrill of youth the fireplaces on fire the summer beginning at the end extraordinary hours those in which birds lingered because of the drought’s insects sunflowers absorptively absorbed at the time when no one laid their bike like me on the precipice and sat in the grass picking up tears their hands covering their face face between the eyelids and a wheel twisting back there was no timetable pocket screen it was inevitable to look at what hasn’t settled and never will it was from day to day the altyloque moment a harmony crumbling in the headphones death’s day’s fair the afternoon’s roar that sturdy buffalo that breaks out of the herd to stay up the upright candlesticks burned there was a wall barely painted dirty already by provincial graphite a dog passed by raising the beetle to the fragrance of the dinners that reached from where the spread of televisions came there was the moonlight like a flower hanging over the river of heights it aggravated the rusty dust in the box of the future the heat of the expansions passed at that time an idea ignited the celestial shell the alpinist heart in the forefront of rare volumes the world was already a night of disgust and torment – a beautiful disastrous ferocity – a place of forces and destruction i tapped eyes closed purely intrinsically i sought an urban cell where to keep the gold-seed ready to detonate the extreme libel the initial scream the sunflower whose nest came from a pile of mud and dry grass and shrubs the surfaces feeding on my back the exhaustive refrigeration from the public library at that dark hour of foggy soldiers resting on the battle of guerrillas until defeat, always!",0.14613505633402754,0.4034540379758933,0.8403840065002441,0.9359689
"o corpo espacejado
perdia-se-lhe o corpo no deserto, que dentro dele aos poucos conquistava um espaço cada vez maior, novos contornos, novas posições, e lhe envolvia os órgãos que, isolados nas areias, adquiriam uma reverberação particular. ia-se de dia para dia espacejando. as várias partes de que só por abstracção se chegava à noção de um todo começavam a afastar-se umas das outras, de forma que entre elas não tardou que espumejassem as marés e a própria via-láctea principiasse a abrir caminho. a sua carne exercia aliás uma enigmática atracção sobre as estrelas, que em breve conseguiu assimilar, exibindo-as, aos olhos de quem o não soubesse, como luminosas cicatrizes cujo brilho, transmutado em sangue, lentamente se esvaía. ele mais não era, nessas ocasiões, do que um morrão, nas cinzas do qual, quase imperceptível, se podia no entanto detectar ainda a palpitação das vísceras, que a mais pequena alteração na direcção do vento era capaz de pôr de novo a funcionar. resolveu então plastificar-se. principiou pelas extremidades, pelos dedos das mãos e pelos pés, mas passado pouco tempo eram já os pulmões, os intestinos e o coração o que minuciosamente ele embrulhava em celofane, contra o qual as ondas produziam um ruído
aterrador.","the strewn body
his body was getting lost in the desert, which kept gaining more ground and redefining its borders inside him, causing his organs, isolated by the surrounding sands, to reverberate in a strange new way. day by day he was getting more strewn out. the various parts of what could only abstractly be conceived as a whole were beginning to spread apart, such that the ocean tides were soon foaming between them, and the milky way itself started cutting through. his flesh, in fact, exerted an enigmatic attraction on the stars, which in due course it managed to assimilate, exhibiting them (to the unknowing) as so many luminous scars whose glow, transformed into blood, slowly dwindled. on these occasions he was no more than an ember among the ashes, though one could still make out the faint throbbing of his guts, apt to be quickened by the slightest change in the wind’s direction. so he decided on a plastic-coated self. he began with his extremities, his fingers and feet, but soon he was meticulously wrapping his lungs, intestines and heart in cellophane, against which the waves made a frightful sound.",pt_XX,en_XX,"spaced body the spaced body lost its body in the desert, which in a few of its parts conquered an ever larger space, new outlines, new positions, and encompassed its organs which, isolated in the sands, acquired a particular reverberation. it wandered day by day, spaced. the various parts of it which, only by abstraction, could reach the notion of the whole, began to distance themselves from each other, so that between them the tides would soon sweep and the railway itself would begin to make its way. its flesh did indeed exercise a mysterious attraction to the stars, which it soon managed to assimilate, displaying in the eyes of those who didn’t know it, as bright scars whose shining, transmuted into blood, slowly faded. it was no longer, in those oasis, what a moron was, in the shades of which, almost imperceptible, it was still possible to detect the palpitations of the veins, that the slightest change in the direction of the wind was able to restore its function. so it decided to plaster itself. it began with its extremities, with its fingertips and feet, but after a short while it was already the lungs, intestines and heart which it carefully wrapped into cellophane, against which the waves produced a terrifying noise.",0.16283847394167403,0.41696483814730806,0.8929757475852966,0.9719895
"meio-dia
meio-dia. um canto da praia sem ninguém.
o sol no alto, fundo, enorme, aberto,
tornou o céu de todo o deus deserto.
a luz cai implacável como um castigo.
não há fantasmas nem almas,
e o mar imenso solitário e antigo,
parece bater palmas.","midday
midday. a corner of the deserted beach.
the huge, deep, open sun on high
has chased all the gods from the sky.
the harsh light falls like a punishment.
there are no ghosts and no souls,
and the vast, ancient, solitary sea
loudly claps its hands.",pt_XX,en_XX,"midday midday. a corner of the beach with no one. the sun in the sky, deep, huge, open, has become the sky of the entire god desert. the light falls implacably as a punishment. there are no ghosts and no souls, and the vast, solitary, ancient sea seems to clap.",0.4160836802136781,0.7482039876394986,0.9136268496513367,0.89702153
"o silêncio incompleto
que silêncio incompleto entre tantos rumores!
agora, e só agora, eles tentam dizer-nos
que amaram e esqueceram, e sempre ficaram longe
da verdade final. o amor é uma dívida
irresgatável contraída na escuridão
e só morte libera os pagadores relapsos.
tudo terminará num oceano de sombras.
os mortos também acabam, após tantas lágrimas
e missas cantadas e anúncios nos jornais.
nascemos para nos evaporar, após ter sido
a água que cobre a rampa do estaleiro.
nascemos para dizer o nosso nome ao vento.
nossos corpos rastejaram até a entrada da gruta.
mas onde estavam as almas naquele instrante
de êxtase e servidão? estavam escondidas
como os morcegos, dormiam plácidas como as placentas.","incomplete silence
what an incomplete silence among so many sounds!
now, and only now, they are trying to tell us
that they loved and they forgot, and always remained far
from any final truth. love is an unredeemable
debt contracted in the dark
and only death can free the debtors from default.
everything will reach its end in an ocean of shadows.
the dead also cease, after so many tears,
and masses sung and notices in the daily newspapers.
we are born to evaporate, after having been
water lapping at the boatyard launching ramp.
we are born to say our name to the wind.
our bodies crawled to the entrance of the cave.
but where were our souls at that moment
of ecstasy and bondage? they were hidden
like bats, sleeping, as placid as placentas.",pt_XX,en_XX,"the incomplete silence the incomplete silence between so many rumours! now, and only now, they try to tell us they loved and forgot, and always stayed away from the final truth. love is an irrevocable debt against the darkness and only death frees the relapsed payers. everything will end in an ocean of shadows. the dead too end, after so many tears and missed calls and ads in the newspapers. we’re born to evaporate, after being the water covering the pilgrim’s cliff. we’re born to tell our name to the wind. our bodies crawled to the entrance of the cave. but where were the souls in that strange ecstasy and servitude? they were hidden like bats, they slept flat like bats.",0.412367386705018,0.6543870837808808,0.908336877822876,0.934811
"para a educação sentimental
tantas vezes se vive de uma arrebatada
noção dos contrastes mais fortes entre o bem e o
mal, entre a grandeza e a abjecção, entre as rápidas
peripécias de um heroísmo ansioso e o destino inexorável,
que o melodrama é da nossa mais funda natureza,
nostálgica, obscuramente nostálgica do coração radical,
do que vai à desfilada nos sonhos contraditórios,
do que engendra imagens capciosas e julga viver em liberdade,
mas é só imprudente e explosivo, mas esbarra
nas malhas deste mundo, nos imprevistos
da traição e da morte, ou tem de renunciar perante os rasgos
mais sublimes. a paixão dilacera bruscamente as personagens
apegadas à felicidade, os obstáculos
também têm protagonistas, ajustes de contas, cruéis fulgores,
perseguições, e nos casos desvairados de amor não há saída.
desse falhanço insuportável nasce o melodrama,
lírico, incontido, entre golfadas de espiral vertiginosa
com o sangue e a memória, com o que não tem remédio e a música trágica,
em que alguém vai morrer, alguém se perde alucinado,
e alguém se salva e porventura alguém escreve
a história e alguém lhe junta a música
para as emoções serem mais opressivas e talvez mais devoradoras
e mais fáceis, e alguém tem o desejo disso, um estremecimento
de arrepio e vulgaridade, um ávido prazer inconfessado.","sentimental education
we often live according to a rash
notion of stark contrasts between good
and evil, greatness and wretchedness, the swift deeds
of an avid heroism and the inexorable march of destiny,
melodrama being part of our deepest nature,
obscurely but stubbornly nostalgic for the radical heart,
which races at top speed in contradictory dreams,
which engenders seductive images and thinks it lives in freedom,
but it’s merely reckless and explosive, it stumbles
into the world’s snares, into unexpected
treachery and death, or it must renounce in the face of the most
sublime flashes. passion rudely lacerates people
attached to happiness. the obstacles we meet
also have protagonists, scores to settle, cruel splendors,
feverish pursuits. and in desperate cases of love there’s no way out.
from that unbearable failure is born lyrical, unbridled
melodrama, amid whirling, dizzying spurts
of blood and memory, of dashed hopes and tragic music,
in which someone dies, someone goes mad,
and someone is saved, and maybe someone writes down
the story, and someone else adds music
for the emotions to be more oppressive and perhaps more consuming
and facile, and someone desires this, it makes someone feel a shiver
of tingling banality, a voracious and unconfessed thrill.",pt_XX,en_XX,"for sentimental education so often it lives out of an overwhelming notion of the strongest contrasts between good and evil, between grandeur and rejection, between the quick deaths of anxious heroism and the inevitable destiny, that melodrama is from our deepest nature, nostalgic, obscurely nostalgic of the radical heart, from what goes on to plunge into contradictory dreams, from what engenders captivating images and tries to live in freedom, but is only reckless and explosive, but escapes the evils of this world, the unforeseens of betrayal and death, or has to give up before the most sublime faces. passion abruptly dissolves the characters eager for happiness, the obstacles too have protagonists, adjustments of numbers, cruel dawns, pursuits, and in cases of broken love there is no way out. from this intolerable failure the melodrama, lyrical, unfamiliar, rises up between waves of spirals vertiginous with blood and memory, with which there is no remedy and tragic music, in which someone dies, someone loses the hallucination, and someone saves, and perhaps someone writes the story and someone joins the music to make the emotions more oppressive and perhaps more delicious and easier, and someone has the longing for that, a stiffness of bitterness and vulgarity, a bold unconfessed pleasure.",0.22686408761112756,0.5187976921645263,0.8703286051750183,0.94823205
"oxfordshire
quero o bem, e quero o mal, e afinal não quero nada.
estou mal deitado sobre a direita, e mal deitado sobre a esquerda
e mal deitado sobre a consciência de existir.
estou universalmente mal, metafisicamente mal,
mas o pior é que me dói a cabeça.
isso é mais grave que a significação do universo.
uma vez, ao pé de oxford, num passeio campestre,
vi erguer-se, de uma curva da estrada, na distância próxima
a torre-velha de uma igreja acima de casas da aldeia ou vila.
ficou-me fotográfico esse incidente nulo
como uma dobra transversal escangalhando o vinco das calças.
agora vem a propósito…
da estrada eu previa espiritualidade a essa torre de igreja
que era a fé de todas as eras, e a eficaz caridade.
da vila, quando lá cheguei, a torre da igreja era a torre da igreja,
e, ainda por cima, estava ali.
é-se feliz na austrália, desde que lá se não vá.","oxfordshire
i want the good, i want the bad, and in the end i want nothing.
i toss in bed, uncomfortable on my right side, on my left side,
and on my consciousness of existing.
i’m universally uncomfortable, metaphysically uncomfortable,
but what’s even worse is my headache.
that’s more serious than the meaning of the universe.
once, while walking in the country around oxford,
i saw up ahead, beyond a bend in the road,
a church steeple towering above the houses of a hamlet or village.
the photographic image of that non-event has remained with me
like a horizontal wrinkle marring a trouser’s crease.
today it seems relevant...
from the road i associated that steeple with spirituality,
the faith of all ages, and practical charity.
when i arrived at the village, the steeple was a steeple
and, what’s more, there it was.
you can be happy in australia, as long as you don’t go there.",pt_XX,en_XX,"oxfordshire i want good, i want evil, and it turns out i don’t want anything. i’m badly laid on the right, and badly laid on the left and badly laid on the consciousness of existence. i’m universally wrong, metaphysically wrong, but worst of all, it hurts my head. it’s more serious than the meaning of the universe. once, on a sidewalk near oxford, on a campfire, i saw myself erect from a curve of the road, near the old church tower above the village or village’s houses. it became photographic to me that the incident was as cloudy as a cross-section slitting my pants. now let’s see... from the road i prescribed spirituality to that church tower that was the faith of all the ages, and effective charity. from the village, when i got there, the church tower was the church tower, and, still above, i was there. i’m happy in australlia, as long as you don’t go there.",0.2554366278473259,0.511508819918789,0.8894566297531128,0.9291326
"num jardim adornado de verdura
a que esmaltam por cima várias flores,
entrou um dia a deusa dos amores,
com a deusa da caça e da espessura.
diana tomou logo ũa rosa pura,
vénus um roxo lírio, dos milhores;
mas excediam muito às outras flores
as violas, na graça e fermosura.
perguntam a cupido, que ali estava,
qual daquelas três flores tomaria,
por mais suave, pura e mais fermosa?
sorrindose, o minino lhe tornava:
todas fermosas são, mas eu queria
viol’antes que lírio, nem que rosa.","to a garden luxuriously verdant . . .
to a garden luxuriously verdant
and enamelled with countless flowers,
there came one day the two goddesses
of love, and of dense forests and hunting.
then diana plucked a perfect rose
and venus the best of the red lilies,
but exceeding by far all the other flowers
in beauty and grace were the violas.
they asked cupid, who was standing near,
which of the blooms, in his opinion,
was sweetest, purest and most lovely?
the youngster answered with a grin:
— all three are gorgeous, but i much prefer
viola-tion to mere rose and lily.",pt_XX,en_XX,"in a garden adorned with vegetable trees overlaid by various flowers, one day the goddess of loves entered, with the goddess of hunting and thickness. diana soon took a purple rose hat, came a lily rock, from the millers; but the other flowers far outweigh the virgins, in their grace and beauty. they ask the cupid, who was there, which of those three flowers would she take, softer, purer and more beautiful? she smiled, the minino made her look: they’re all beautiful, but I wanted violins that lily, not that rose.",0.07447769536159005,0.36279414737392834,0.8618801832199097,0.9024205
