original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,bleu_score,meteor_score,bertscore,bartscore
"o sonho da linguagem
escreverás sobre a sujeição dos animais.
mas não hoje. lembra-te de como se move
a pantera, ainda, na jaula sem literatura
que lhe legaram. lembrar-te-ás. mas não hoje.
porque hoje é o dia em que as metáforas
despertam, a arca se abre, e a linguagem
se assemelha a uma invenção em aberto.
uma vigília de metáforas preenchendo a noite,
como um fogo-de-santelmo que, eternamente,
a cobrisse, a si e ao seu manto e aos seus símbolos.
hoje é o dia em que a noite se faz dia,
em que a linguagem celebra os animais
depois dos animais terem perecido,
mas sem que haja memória disso,
sequer nostalgia disso. apenas linguagem,
apenas sentido e som a ressoar dentro
do sentido, sem que a hipótese de um princípio
se imponha, sem que a hipótese de um fim se imponha.
haverás de despertar, tu também,
para a vigília das metáforas,
para o sonho da linguagem.","the dream of language
you’ll write about the subjection of animals.
but not today. remember how the panther
still moves in the literature-free cage
it inherited. you’ll remember. but not today.
because today’s the day when metaphors
awaken, the chest opens up, and language
resembles an invention in progress.
a vigil of metaphors filling up the night,
as if it and its mantle and its symbols
were covered by an eternal saint elmo’s fire.
today’s the day when night becomes day,
when language celebrates animals
after the animals have perished
but with no trace of them surviving
in memory or in longing. just language,
just meaning and sound echoing inside
meaning, with no possibility of a beginning
asserting itself, no possibility of an end.
you too will have to wake up
to the vigil of metaphors,
to the dream of language.",pt_XX,en_XX,"The dream of language .
<unk> about <unk> &apos;s <unk> .
But you don &apos;t remember how you move .
<unk> <unk> in the <unk> .
<unk> <unk> but not <unk> .
Because it &apos;s the day where metaphors are .
<unk> the <unk> .
If you look at an invention in <unk> .
<unk> <unk> .
As a <unk> <unk> <unk> <unk> .
And his <unk> and his <unk> and his <unk> .
It &apos;s the day .
Which language <unk> the animals .
After animals have <unk> .
But there &apos;s no <unk> memory .
<unk> <unk> just <unk> .
It just makes sense and sound to <unk> inside it .
It &apos;s not the chance of a principle principle .
<unk> without the chance of a ending .
<unk> of <unk> .
<unk> of <unk> .
The dream of <unk> .",0.054002776148160236,0.25239125578820154,0.8011025190353394,0.80771637
"a máscara
esta luz animada e desprendida
duma longínqua estrela misteriosa
que, vindo reflectir-se em nosso rosto,
acende nele estranha claridade;
esta lâmpada oculta em nossa máscara
tornada transparente e radiante
de alegria, de dor ou desespero
e de outros sentimentos emanados
do coração dum anjo ou dum demónio;
este retrato ideal e verdadeiro,
composto de alma e corpo e de que somos
a trágica moldura, errando à sorte,
é ela, é ela, a nossa aparição,
feita de estrelas, sombras, ventanias
e séculos sem fim surgindo, enfim,
cá fora, sobre a terra, à luz do sol.","the mask
that living and unfettered light
arriving from a distant, mysterious star
and reflecting off our face,
making it shine with a strange glow. . .
that hidden lamp which turns our mask
transparent and radiant
with joy, sorrow or despair
and still other feelings arisen
from an angel’s or a demon’s heart. . .
that true and ideal portrait composed
of soul and body and whose frame
we are, aimlessly wandering. . .
that’s it, yes, our apparition, us,
made of stars, shadows, raging winds
and countless centuries, finally emerging
out here, on earth, in the light of the sun.",pt_XX,en_XX,"The sign .
This <unk> light and <unk> .
An mysterious star .
<unk> in our <unk> .
<unk> on it .
This hidden light in our screen .
<unk> and <unk> .
<unk> or desperation .
and other feelings .
A <unk> or a <unk> .
This ideal and <unk> picture .
<unk> and body and what we are .
The tragic <unk> <unk> .
It &apos;s <unk> to our <unk> .
<unk> <unk> <unk> <unk> .
and centuries .
Here &apos;s the <unk> of <unk> .",0.025286066169474906,0.2527464370546318,0.8090106248855591,0.808673
"antre mi mesmo em mim
não sei que se alevantou
que tão meu inimigo sou
uns tempos com grande engano
vivi eu mesmo comigo
agora no maior perigo
se me descobriu mor dano
caro custou um desengano
e pois m’este não matou
assaz caro me custou
de mim sou feito alheo
antre cuidado e cuidado
está um mal derramado
que por meu grão mal me veo
nova dor novo arreceo
foi este que me matou
que tão meu inimigo sou","between myself and me
between myself and me
i don’t know what’s emerged
to make me my own enemy.
for a time i lived as a fool,
at peace with myself.
now i see the great harm
a great danger can wreak.
disillusion costs dearly:
so costly was my latest
disillusion, it didn’t kill me.
i’m a stranger to myself.
my cruel fate is dispersed
in sorrow after sorrow,
cruelly sent my way.
fresh pain, fresh fear
have taken ahold of me.
here i am, trapped.",pt_XX,en_XX,"<unk> .
I don &apos;t know .
I &apos;m that my enemy is so my enemy .
A few times a few times .
I &apos;ve lived myself .
Now in the biggest danger .
If I found <unk> damage .
It &apos;s expensive .
And because they <unk> it .
<unk> medicine .
I &apos;m made <unk> .
<unk> and care .
It &apos;s a bad <unk> .
I &apos;m going to tell you for my bad restrictions .
new pain <unk> new pain .
This is what caught me .
I &apos;m that my enemy is so my enemy .",0.029407682027850997,0.2624362657091562,0.7948319315910339,0.8375751
"a terra do nunca
se eu fosse para a terra do nunca,
teria tudo o que quisesse numa cama de nada:
os sonhos que ninguém teve quando
o sol se punha de manhã;
a rapariga que cantava num canteiro
de flores vivas;
a água que sabia a vinho na boca
de todos os bêbedos.
iria de bicicleta sem ter de pedalar,
numa estrada de nuvens.
e quando chegasse ao céu, pisaria
as estrelas caídas num chão de nebulosas.
a terra do nunca é onde nunca
chegaria se eu fosse para a terra do nunca.
e é por isso que a apanho do chão,
e a meto em sacos de terra do nunca.
um dia, quando alguém me pedir a terra do nunca,
despejarei todos os sacos à sua porta.
e a rapariga que cantava sairá da terra
com um canteiro de flores vivas.
e os bêbedos encherão os copos
com a água que sabia a vinho.
na terra do nunca, com o sol a pôr-se
quando nasce o dia.","the land of never
if i went to the land of never,
i would have everything i wanted in a bed of nothing:
the dreams that no one had when
the sun came up in the morning;
the girl who sang in a bed
of vivid flowers;
the water that tasted of wine in the mouth
of every drunk.
i would ride my bicycle without having to pedal,
down a street of clouds.
and when i had reached the sky, i’d step
on the stars that had fallen on the misty ground.
the land of never is where i would never
arrive if i went to the land of never.
that is why i scoop up the ground,
filling up bags with the earth of never.
one day, when someone asks me about the land of never,
i’ll empty all the bags on their doorstep.
and the girl who sang will come out of the earth
with a bed of vivid flowers.
and the drunks will fill their glasses
with the water that tastes of wine.
in the land of never, with the sun rising
when the day is born.",pt_XX,en_XX,"Earth &apos;s land .
If I was the land of <unk> .
I &apos;d have everything I wanted in a <unk> bed .
The dreams had no one .
<unk> .
The girl <unk> in a <unk> .
<unk> flowers .
The water I knew wine in your mouth .
Every <unk> of all <unk> .
I would have no <unk> .
On a <unk> street .
and when he went to <unk> <unk> .
<unk> stars in a <unk> floor .
It &apos;s never where the land is never .
<unk> if I was the land of <unk> .
That &apos;s why <unk> &apos;s <unk> .
and <unk> in land bags .
A <unk> when someone asks me the land of <unk> .
<unk> all his bags .
and the girl who took me out of the land .
<unk> of flowers <unk> .
and <unk> <unk> .
And with water that knew <unk> .
The sun <unk> with the sun .
When the <unk> rises .",0.10982185073374319,0.30772126969416125,0.816708505153656,0.8340319
"exaltação
viver!... beber o vento e o sol!... erguer
ao céu os corações a palpitar!
deus fez os nossos braços pra prender,
e a boca fez-se sangue pra beijar!
a chama, sempre rubra, ao alto, a arder!...
asas sempre perdidas a pairar,
mais alto para as estrelas desprender!...
a glória!... a fama!... o orgulho de criar!...
da vida tenho o mel e tenho os travos
no lago dos meus olhos de violetas,
nos meus beijos extáticos, pagãos!...
trago na boca o coração dos cravos!
boêmios, vagabundos, e poetas:
— como eu sou vossa irmã, ó meus irmãos!...","exaltation
to live!... to drink the wind and sun!...
to lift up to the sky our throbbing
hearts! god made our arms for grasping!
and gave us mouths of blood for kissing!
the always red-glowing flame on high!...
the always straying wings that soar
still higher, ready to uproot the stars!...
glory!... fame!... the pride of creating!...
life’s honey and life’s bitterness
dwell in the lake of my eyes like violets
and in my ecstatic, pagan kisses!...
the heart of carnations fills my mouth!
o bohemians, tramps and poets,
how truly, brothers, i’m your sister!",pt_XX,en_XX,"<unk> <unk> .
<unk> drink the wind and <unk> .
The hearts to <unk> .
God did our arms .
<unk> blood .
<unk> always <unk> the <unk> .
wings always lost <unk> .
It &apos;s higher for <unk> stars .
<unk> to <unk> <unk> .
I have the <unk> and I have the <unk> .
On my eyes of <unk> .
I <unk> <unk> <unk> .
I started in your mouth .
<unk> <unk> and <unk> <unk> .
I &apos;m your <unk> <unk> .",0.03152687420853068,0.14920351283987646,0.7938120365142822,0.82744145
"as palavras
são como um cristal,
as palavras.
algumas, um punhal,
um incêndio.
outras,
orvalho apenas.
secretas vêm, cheias de memória.
inseguras navegam:
barcos ou beijos,
as águas estremecem.
desamparadas, inocentes,
leves.
tecidas são de luz
e são a noite.
e mesmo pálidas
verdes paraísos lembram ainda.
quem as escuta? quem
as recolhe, assim,
cruéis, desfeitas,
nas suas conchas puras?","words
they are like a crystal,
words.
some a dagger,
some a blaze.
others,
merely dew.
secret they come, full of memory.
insecurely they sail:
cockleboats or kisses,
the waters trembling.
abandoned, innocent,
weightless.
they are woven of light.
they are the night.
and even pallid
they recall green paradise.
who hears them? who
gathers them, thus,
cruel, shapeless,
in their pure shells?",pt_XX,en_XX,"The words are the words .
It &apos;s like a <unk> <unk> .
<unk> <unk> .
<unk> a <unk> .
A <unk> <unk> .
<unk> <unk> .
<unk> <unk> <unk> .
secret <unk> .
<unk> <unk> <unk> .
<unk> or <unk> ships .
<unk> water .
<unk> <unk> <unk> .
<unk> <unk> .
<unk> are light .
and are <unk> .
and even <unk> .
OK .
who <unk> who <unk> who <unk> who <unk> who <unk> who
<unk> <unk> <unk> .
<unk> <unk> <unk> .
In their <unk> .",0.019857584108430703,0.20131995776135164,0.7876461148262024,0.7623539
"[neil young]
na hora em que eu mais ruía
o sol aplainava o relvado, palmeiras
ondulavam num lago turvo
longe o escaravelho porvindoiro
que as reduziu a um coto
assemelhando-as a um ananás que degrada hoje
pelos jardins
o repuxo animava sem triunfo o pântano
da juventude
as varandas em fogo
o verão começando pelo fim
horas extraordinárias aquelas
em que as aves adiavam o repouso por causa
dos insectos do turno sequente
ourados absortos estrepitantes
a hora em que mais ninguém deitava como eu
a bicicleta sobre a falta
e se sentava na relva prendendo as lágrimas
as mãos tapando o rosto o rosto entre os geolhos e uma
roda atrás a girar
não havia o ecrã de bolso oportuno
era inevitável encarar o que não tem conserto
nem nunca terá
era do dia o instante altíloquo
uma harmónica crepitava nos auscultadores
feria de morte o touro da tarde
esse búfalo ermo que se aparta da manada
para ficar-se
os subidos candeeiros acendiam
havia um muro recém pintado
sujo já por um grafito de província
um cão passava ao largo levantava o focinho ao
perfume dos jantares
que chegava de onde
se entrevia o espalha-cor dos televisores
havia o farrapo de lua
como flanela posta sobre a ganga das alturas
agraudava os dós arrumados
na caixa do futuro
a hédera das extensões percorria aquela hora
uma ideia sulcava a charneca celeste
o coração alpinista no avesso dos volumes
rarefeito
o mundo era já uma seara de nojo
e fartura – belo desastroso feroz – lugar de forças
e destruições
eu tacteava de olhos fechados
puro intrínseco
procurava um celeiro urbano onde guardar
o ouro-sémen pronto a detonar
a libélula extrema o grilo inicial
a andorinha cujo ninho resulta de um cúmulo
de lama e ervas secas e rasoira
as superfícies alimentando-se no ar
nas minhas costas o exíguo refrigério
da biblioteca pública
àquela hora antro de nebulosos soldados
repousando da luta de guerrilha
hasta la derrota, siempre!
infligiam estragos mínimos a um inimigo
bronco mas relutante
apenas tombavam nas emboscadas aqueles
como eu mais sorumbáticos
tanto oito visível ainda sobre o chão
lavrado à força de rodar no mesmo sítio
ousara trespassar o pórtico do infinito
finava sempre inclinado sobre o jantar","[neil young]
that moment when i was really falling apart
and the sun lingered over the lawn, and the palms
billowed above the turbid lake
faraway the promised beetle
reduced those palms to a stump
until they seemed like a pineapple which these days
rots in the gardens
the fountain blandly animated the swamp
of the young
the balconies on fire
the summer beginning at its end
overtime hours those
in which the birds delayed their naps because
of the next shift of insects
hallucinating self-absorbed clamorous
at that hour no one else like me setting their bicycle
down on the dearth
sitting on the grass holding back tears
covering their face with their hands, face between their knees and a
wheel behind still spinning
there was no convenient pocket screen
facing up to that which can’t be fixed and never will be
was inevitable
it was on that day the eloquent moment
a harmonica crackled in my headphones
mortally wounding the afternoon’s bull
that solitary buffalo that steers clear of the herd
to die
the high lamps lit up
a newly painted wall
already marked with a small town’s graffito
a dog went past lifting its snout to the
scent of dinners
which came from where
the televisions’ color-blend rose in the air
there was the shred of moon
like flannel sewn onto the denim of the heights
it nurtured hoarded hurt
in the box of the future
the ivy of extensions twined through that hour
an idea furrowed the celestial fen
the mountaineer heart inside the volumes
rarefied
the world was already a glebe of lamentation
and overabundance – beautiful disastrous fierce – locus of forces
and ruin
i fingered with my eyes closed
pure intrinsic
searched out an urban granary where i could keep
the semen-gold ready to detonate
the extreme dragonfly the first cricket
the swallow who got up its nest in a cumulus
of mud and dried weeds who smooths
the surfaces feeding itself in the air
at my back the exiguous cooling
of the public library
at that hour a cavern of nebulous soldiers
resting from their war of resistance
hasta la derrota, siempre!
they inflicted little damage on a rough
but reluctant enemy
only those as sullen as i
walked into ambushes
so many figure eights still visible on the ground
forcefully hoed up from repeatedly going round in the same place
i had dared to go past the gate of the infinite
always ending up bent over dinner",pt_XX,en_XX,"<unk> <unk> <unk> .
It &apos;s time in the time .
The sun <unk> <unk> .
<unk> in a <unk> lake .
All right .
<unk> to a <unk> .
<unk> to a <unk> .
<unk> gardens .
<unk> <unk> .
Women &apos;s youth youth youth youth youth youth youth youth youth
<unk> in fire .
The summer start by the end .
It &apos;s an extraordinary time .
The birds <unk> the <unk> .
<unk> of the <unk> .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
The time no one ever <unk> like me .
The bike about lack about lack .
And if you sit in the <unk> .
<unk> face the face between <unk> and a <unk> .
It comes back to it .
There was no <unk> .
It was inevitable .
Nothing will never have enough .
It was the moment .
<unk> a <unk> .
<unk> of death the afternoon .
That <unk> <unk> that <unk> of <unk> .
To <unk> to <unk> .
<unk> <unk> <unk> .
There was a <unk> wall .
<unk> for a <unk> .
A dog went back to <unk> <unk> .
<unk> records .
It comes from where it comes from where it comes from
<unk> the <unk> of <unk> .
There was <unk> <unk> .
As <unk> <unk> on the <unk> of the time .
<unk> <unk> <unk> .
in the future of the future .
The <unk> of <unk> .
An <unk> idea .
It &apos;s the <unk> heart .
<unk> <unk> .
The world was already a <unk> .
<unk> -- beautiful <unk> .
and <unk> and <unk> .
I <unk> my eyes .
<unk> assumptions .
It &apos;s a global <unk> .
The <unk> ready .
The initial <unk> <unk> .
<unk> whose <unk> .
<unk> and <unk> .
The surfaces <unk> in the air .
My back <unk> <unk> .
The public library from the public library .
That time of <unk> soldiers .
<unk> of <unk> .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> <unk> .
<unk> but <unk> .
Just <unk> in the <unk> .
As I <unk> more <unk> .
so much about the ground on the ground .
<unk> the force of <unk> in the same place .
<unk> <unk> &apos;s <unk> .
It &apos;s always <unk> about dinner .",0.032834840554894135,0.21409156333038087,0.7797850966453552,0.88462204
"o corpo espacejado
perdia-se-lhe o corpo no deserto, que dentro dele aos poucos conquistava um espaço cada vez maior, novos contornos, novas posições, e lhe envolvia os órgãos que, isolados nas areias, adquiriam uma reverberação particular. ia-se de dia para dia espacejando. as várias partes de que só por abstracção se chegava à noção de um todo começavam a afastar-se umas das outras, de forma que entre elas não tardou que espumejassem as marés e a própria via-láctea principiasse a abrir caminho. a sua carne exercia aliás uma enigmática atracção sobre as estrelas, que em breve conseguiu assimilar, exibindo-as, aos olhos de quem o não soubesse, como luminosas cicatrizes cujo brilho, transmutado em sangue, lentamente se esvaía. ele mais não era, nessas ocasiões, do que um morrão, nas cinzas do qual, quase imperceptível, se podia no entanto detectar ainda a palpitação das vísceras, que a mais pequena alteração na direcção do vento era capaz de pôr de novo a funcionar. resolveu então plastificar-se. principiou pelas extremidades, pelos dedos das mãos e pelos pés, mas passado pouco tempo eram já os pulmões, os intestinos e o coração o que minuciosamente ele embrulhava em celofane, contra o qual as ondas produziam um ruído
aterrador.","the strewn body
his body was getting lost in the desert, which kept gaining more ground and redefining its borders inside him, causing his organs, isolated by the surrounding sands, to reverberate in a strange new way. day by day he was getting more strewn out. the various parts of what could only abstractly be conceived as a whole were beginning to spread apart, such that the ocean tides were soon foaming between them, and the milky way itself started cutting through. his flesh, in fact, exerted an enigmatic attraction on the stars, which in due course it managed to assimilate, exhibiting them (to the unknowing) as so many luminous scars whose glow, transformed into blood, slowly dwindled. on these occasions he was no more than an ember among the ashes, though one could still make out the faint throbbing of his guts, apt to be quickened by the slightest change in the wind’s direction. so he decided on a plastic-coated self. he began with his extremities, his fingers and feet, but soon he was meticulously wrapping his lungs, intestines and heart in cellophane, against which the waves made a frightful sound.",pt_XX,en_XX,"<unk> bodies .
<unk> the body in the <unk> , in the <unk> , a <unk> space and <unk> new new <unk> , and he helped her isolated <unk> in <unk> , and he helped her <unk> <unk> in <unk> to the <unk> of the hands , and he was very little time .
<unk> <unk> .",0.00520275421967512,0.0840732817015896,0.773451030254364,0.6524207
"meio-dia
meio-dia. um canto da praia sem ninguém.
o sol no alto, fundo, enorme, aberto,
tornou o céu de todo o deus deserto.
a luz cai implacável como um castigo.
não há fantasmas nem almas,
e o mar imenso solitário e antigo,
parece bater palmas.","midday
midday. a corner of the deserted beach.
the huge, deep, open sun on high
has chased all the gods from the sky.
the harsh light falls like a punishment.
there are no ghosts and no souls,
and the vast, ancient, solitary sea
loudly claps its hands.",pt_XX,en_XX,"<unk> .
<unk> a corner of the beach without <unk> .
The sun in <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
It became the sky everywhere .
<unk> <unk> like a <unk> <unk> .
There &apos;s no <unk> or <unk> .
and the very <unk> and <unk> sea .
It seems <unk> <unk> .",0.039200862249860455,0.24701701323251418,0.8109090924263,0.66454655
"o silêncio incompleto
que silêncio incompleto entre tantos rumores!
agora, e só agora, eles tentam dizer-nos
que amaram e esqueceram, e sempre ficaram longe
da verdade final. o amor é uma dívida
irresgatável contraída na escuridão
e só morte libera os pagadores relapsos.
tudo terminará num oceano de sombras.
os mortos também acabam, após tantas lágrimas
e missas cantadas e anúncios nos jornais.
nascemos para nos evaporar, após ter sido
a água que cobre a rampa do estaleiro.
nascemos para dizer o nosso nome ao vento.
nossos corpos rastejaram até a entrada da gruta.
mas onde estavam as almas naquele instrante
de êxtase e servidão? estavam escondidas
como os morcegos, dormiam plácidas como as placentas.","incomplete silence
what an incomplete silence among so many sounds!
now, and only now, they are trying to tell us
that they loved and they forgot, and always remained far
from any final truth. love is an unredeemable
debt contracted in the dark
and only death can free the debtors from default.
everything will reach its end in an ocean of shadows.
the dead also cease, after so many tears,
and masses sung and notices in the daily newspapers.
we are born to evaporate, after having been
water lapping at the boatyard launching ramp.
we are born to say our name to the wind.
our bodies crawled to the entrance of the cave.
but where were our souls at that moment
of ecstasy and bondage? they were hidden
like bats, sleeping, as placid as placentas.",pt_XX,en_XX,"<unk> silence .
It &apos;s that it &apos;s bad .
<unk> and just <unk> them .
<unk> and always were far away .
<unk> love love is a debt .
<unk> <unk> in darkness .
and only <unk> <unk> .
All <unk> in a <unk> ocean .
The dead ones also <unk> after so many tears .
and <unk> <unk> and <unk> .
We &apos;re going to go to <unk> after it was .
The water <unk> the <unk> of <unk> .
Let &apos;s say our name to <unk> .
It &apos;s our <unk> bodies .
But where the souls were in that <unk> .
<unk> and <unk> were hidden .
<unk> <unk> like <unk> <unk> like <unk> <unk> .",0.051783501503999525,0.2607826222533136,0.8063697218894958,0.80705655
