original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"land lies in water; it is shadowed green.
shadows, or are they shallows, at its edges
showing the line of long sea-weeded ledges
where weeds hang to the simple blue from green.
or does the land lean down to lift the sea from under,
drawing it unperturbed around itself?
along the fine tan sandy shelf
is the land tugging at the sea from under?
the shadow of newfoundland lies flat and still.
labrador’s yellow, where the moony eskimo
has oiled it. we can stroke these lovely bays,
under a glass as if they were expected to blossom,
or as if to provide a clean cage for invisible fish.
the names of seashore towns run out to sea,
the names of cities cross the neighboring mountains
— the printer here experiencing the same excitement
as when emotion too far exceeds its cause.
these peninsulas take the water between thumb and finger
like women feeling for the smoothness of yard-goods.
mapped waters are more quiet than the land is,
lending the land their waves’ own corfirmation:
and norway’s hare runs south in agitation,
profiles investigate the sea, where land is.
are they assigned, or can the countries pick their colors?
— what suits the character or the native waters best.
topography displays no favorites; north’s as near as west.
more delicate than the historians’ are the map-makers’ colors.","terra entre águas, sombreada de verde.
sombras, talvez rasos, lhe traçam o contorno,
uma linha de recifes, algas como adorno,
riscando o azul singelo com seu verde.
ou a terra avança sobre o mar e o levanta
e abarca, sem bulir suas águas lentas?
ao longo das praias pardacentas
será que a terra puxa o mar e o levanta?
a sombra da terra nova jaz imóvel.
o labrador é amarelo, onde o esquimó sonhador
o untou de óleo. afagamos essas belas baías,
em vitrines, como se fossem florir, ou como se
para servir de aquário a peixes invisíveis.
os nomes dos portos se espraiam pelo mar,
os nomes das cidades sobem as serras vizinhas
— aqui o impressor experimentou um sentimento semelhante
ao da emoção ultrapassando demais a sua causa.
as penínsulas pegam a água entre polegar e indicador
como mulheres apalpando pano antes de comprar.
as águas mapeadas são mais tranquilas que a terra,
e lhe emprestam sua forma ondulada:
a lebre da noruega corre para o sul, afobada,
perfis investigam o mar, onde há terra.
é compulsório, ou os países escolhem as suas cores?
— as mais condizentes com a nação ou as águas nacionais.
topografia é imparcial; norte e oeste são iguais.
mais sutis que as do historiador são do cartógrafo as cores.",en_XX,pt_XX,"a terra jaz na água; é sombreada verde.
sombras, ou são rasas, em suas bordas
mostrando a linha de longas saliências de algas marinhas
onde as algas pendem do azul simples do verde.
ou a terra se inclina para levantar o mar de baixo,
atraí-lo imperturbável em torno de si?
ao longo da fina plataforma de areia bronzeada
a terra está puxando o mar de baixo?
a sombra de newfoundland jaz plana e parada.
amarelo de labrador, onde o esquimó lunar
o lubrificou. podemos acariciar essas baías adoráveis,
sob um vidro como se esperassem que florescessem,
ou como se para fornecer uma gaiola limpa para peixes invisíveis.
os nomes das cidades litorâneas correm para o mar,
os nomes das cidades cruzam as montanhas vizinhas
— o impressor aqui experimentando a mesma excitação
como quando a emoção excede em muito sua causa.
essas penínsulas pegam a água entre o polegar e o indicador
como mulheres sentindo a maciez dos produtos de jardinagem.
águas mapeadas são mais calmas do que a terra,
emprestando à terra a própria confirmação de suas ondas:
e a lebre da Noruega corre para o sul em agitação,
perfis investigam o mar, onde a terra está.
elas são designadas, ou os países podem escolher suas cores?
— o que combina melhor com o personagem ou com as águas nativas.
a topografia não exibe favoritos; o norte é tão próximo quanto o oeste.
mais delicadas do que as cores dos historiadores são as dos cartógrafos.",0.0
"alone on the railroad track
i walked with pounding heart.
the ties were too close together
or maybe too far apart.
the scenery was impoverished:
scrub-pine and oak; beyond
its mingled gray-green foliage
i saw the little pond
where the dirty hermit lives,
lie like an old tear
holding onto its injuries
lucidly year after year.
the hermit shot off his shot-gun
and the tree by his cabin shook.
over the pond went a ripple.
the pet hen went chook-chook.
“love should be put into action!”
screamed the old hermit.
across the pond an echo
tried and tried to confirm it.","sozinha nos trilhos eu ia,
coração aos saltos no peito.
o espaço entre os dormentes
era excessivo, ou muito estreito.
paisagem empobrecida:
carvalhos, pinheiros franzinos;
e além da folhagem cinzenta
vi luzir ao longe o laguinho
onde vive o eremita sujo,
como uma lágrima translúcida
a conter seus sofrimentos
ao longo dos anos, lúcida.
o eremita deu um tiro
e uma árvore balançou.
o laguinho estremeceu.
sua galinha cacarejou.
bradou o velho eremita:
“amor tem que ser posto em prática!”
ao longe, um eco esboçou
sua adesão, não muito enfática.",en_XX,pt_XX,"sozinho na linha férrea
eu andei com o coração batendo forte.
os laços estavam muito próximos
ou talvez muito distantes.
o cenário era empobrecido:
pinheiros e carvalhos; além
sua folhagem cinza-esverdeada misturada
eu vi o pequeno lago
onde o eremita sujo vive,
deita como uma lágrima velha
segurando seus ferimentos
lucidamente ano após ano.
o eremita disparou sua espingarda
e a árvore perto de sua cabana tremeu.
sobre o lago houve uma ondulação.
a galinha de estimação fez chook-chook.
o amor deve ser posto em ação!
gritou o velho eremita.
do outro lado do lago um eco
tentou e tentou confirmar.",0.0
"remembering the strait of belle isle or
some northerly harbor of labrador,
before he became a schoolteacher
a great-uncle painted a big picture.
receding for miles on either side
into a flushed, still sky
are overhanging pale blue cliffs
hundreds of feet high,
their bases fretted by little arches,
the entrances to caves
running in along the level of a bay
masked by perfect waves.
on the middle of that quiet floor
sits a fleet of small black ships,
square-rigged, sails furled, motionless,
their spars like burnt match-sticks.","lembrando o estreito de belle isle, talvez,
ou algum porto em labrador,
antes de virar professor,
meu tio-avô pintou um quadro, uma vez.
dos dois lados, tendo ao fundo
um céu imóvel e rubicundo,
estendem-se barrancos azul-pálido
com uma altura respeitável,
em cuja base há arcos pequenos
que são grutas naturais
ao nível de uma baía onde as ondas
são exatamente iguais.
nesse assoalho tranquilo
barquinhos negros estão ancorados,
com velas redondas, e mastros
que lembram fósforos queimados.",en_XX,pt_XX,"lembrando do estreito de belle isle ou
algum porto ao norte de labrador,
antes de se tornar professor
um tio-avô pintou um grande quadro.
recuando por quilômetros de cada lado
em um céu ruborizado e parado
estão pendurados penhascos azul-claros
com centenas de pés de altura,
suas bases frisadas por pequenos arcos,
as entradas para cavernas
correndo ao longo do nível de uma baía
mascaradas por ondas perfeitas.
no meio daquele chão tranquilo
fica uma frota de pequenos navios pretos,
de velas quadradas, velas enroladas, imóveis,
seus mastros como fósforos queimados.",0.0
"and high above them, over the tall cliffs’
semi-translucent ranks,
are scribbled hundreds of fine black birds
hanging in n’s in banks.
one can hear their crying, crying,
the only sound there is
except for occasional sighing
as a large aquatic animal breathes.
in the pink light
the small red sun goes rolling, rolling,
round and round and round at the same height
in perpetual sunset, comprehensive, consoling,
while the ships consider it.
apparently they have reached their destination.
it would be hard to say what brought them there,
commerce or contemplation.","lá no alto, acima dos barrancos
diáfanos e solenes,
centenas de gaivotas garatujam-se,
formando fileiras de enes.
elas pipilam, pipilam,
um som triste, mas simpático,
tendo por contraponto o suspiro
de algum mamífero aquático.
na luz rósea
um solzinho vermelho rola, rola,
dá voltas e voltas, na mesma altura,
num crepúsculo eterno, e consola,
enquanto o perscrutam os navios.
chegaram ao porto, pelo visto. mas não
se sabe o que os trouxe até ali,
se comércio ou contemplação.",en_XX,pt_XX,"e bem acima deles, sobre as fileiras semitranslúcidas dos altos penhascos,
estão rabiscadas centenas de belos pássaros pretos
pendurados em n's em bancos.
pode-se ouvir seus gritos, gritos,
o único som que há
exceto por suspiros ocasionais
enquanto um grande animal aquático respira.
na luz rosa
o pequeno sol vermelho vai rolando, rolando,
girando e girando e girando na mesma altura
em perpétuo pôr do sol, abrangente, consolador,
enquanto os navios o consideram.
aparentemente eles chegaram ao seu destino.
seria difícil dizer o que os trouxe lá,
comércio ou contemplação.",0.0
"here, above,
cracks in the buildings are filled with battered moonlight.
the whole shadow of man is only as big as his hat.
it lies at his feet like a circle for a doll to stand on,
and he makes an inverted pin, the point magnetized to the moon.
he does not see the moon; he observes only her vast properties,
feeling the queer light on his hands, neither warm nor cold,
of a temperature impossible to record in thermometers.","aqui no alto
o luar amassado penetra nas fendas dos prédios.
a sombra do homem, pequena como o seu chapéu,
jaz a seus pés, um disco onde cabe um boneco,
e ele é um alfinete com a ponta imantada para a lua.
ele não vê a lua: observa suas vastas qualidades,
sente nas mãos a luz estranha, nem quente nem fria,
de uma temperatura que os termômetros não medem.",en_XX,pt_XX,"aqui, acima,
as rachaduras nos prédios estão cheias de luar maltratado.
a sombra inteira do homem é apenas do tamanho do seu chapéu.
ela fica aos seus pés como um círculo para uma boneca ficar em pé,
e ele faz um alfinete invertido, a ponta magnetizada para a lua.
ele não vê a lua; ele observa apenas suas vastas propriedades,
sentindo a luz estranha em suas mãos, nem quente nem fria,
de uma temperatura impossível de registrar em termômetros.",0.0
"but when the man-moth
pays his rare, although occasional, visits to the surface,
the moon looks rather different to him. he emerges
from an opening under the edge of one of the sidewalks
and nervously begins to scale the faces of the buildings.
he thinks the moon is a small hole at the top of the sky,
proving the sky quite useless for protection.
he trembles, but must investigate as high as he can climb.","mas quando o homem-mariposa
sobe à superfície, o que só faz raramente,
a lua lhe parece coisa bem diversa. ele
emerge de uma abertura junto ao meio-fio
e põe-se a escalar, nervoso, as faces dos prédios.
pensa que a lua é um furo pequeno no céu,
prova de que o céu não serve como proteção.
embora trema, tem que subir para investigar.",en_XX,pt_XX,"mas quando o homem-mariposa
faz suas raras, embora ocasionais, visitas à superfície,
a lua parece bem diferente para ele. ele emerge
de uma abertura sob a borda de uma das calçadas
e nervosamente começa a escalar as faces dos prédios.
ele acha que a lua é um pequeno buraco no topo do céu,
provando que o céu é completamente inútil para proteção.
ele treme, mas deve investigar o mais alto que puder subir.",0.0
"then he returns
to the pale subways of cement he calls his home. he flits,
he flutters, and cannot get aboard the silent trains
fast enough to suit him. the doors close swiftly.
the man-moth always seats himself facing the wrong way
and the train starts at once at its full, terrible speed,
without a shift in gears or a gradation of any sort.
he cannot tell the rate at which he travels backwards.","então retorna
aos túneis subterrâneos onde mora. saltita,
hesita, e sempre entra no vagão menos depressa
do que pretende. as portas fecham rápido.
ele se senta sempre de frente para o lado errado
e o trem sai a toda, com uma pressa terrível,
sem trocar marcha, sem transição alguma. ele não sabe
a que velocidade está indo para trás.",en_XX,pt_XX,"então ele retorna
aos metrôs pálidos de cimento que ele chama de lar. ele voa,
ele esvoaça, e não consegue embarcar nos trens silenciosos
rápido o suficiente para ele. as portas se fecham rapidamente.
o homem-mariposa sempre se senta de frente para o lado errado
e o trem parte imediatamente em sua velocidade máxima e terrível,
sem uma troca de marchas ou uma gradação de qualquer tipo.
ele não consegue dizer a velocidade em que viaja para trás.",0.0
"earliest morning, switching all the tracks
that cross the sky from cinder star to star,
coupling the ends of streets
to trains of light,
now draw us into daylight in our beds;
and clear away what presses on the brain:
put out the neon shapes
that float and swell and glare
down the gray avenue between the eyes
in pinks and yellows, letters and twitching signs.
hang-over moons, wane, wane!
from the window i see
an immense city, carefully revealed,
made delicate by over-workmanship,
detail upon detail,
cornice upon façade
reaching so languidly up into
a weak white sky, it seems to waver there.
(where it has slowly grown
in skies of water-glass
from fused beads of iron and copper crystals,
the little chemical garden in a jar
trembles and stands again,
pale blue, blue-green, and brick.)","a madrugada, desviando todos os trilhos
que riscam o céu das brasas às estrelas,
ligando os fins das ruas
a trilhas luminosas,
traz a luz do dia a nossas camas;
e leva embora o que nos pesa na mente:
apaga as formas de néon
que pairam e pulsam e doem
pela avenida cinzenta entre os olhos
em rosa e amarelo, letras a latejar.
ó luas de ressaca, minguai,
minguai! da janela vejo
uma cidade imensa, revelada com cuidado,
delicada por excesso de desvelo,
detalhe por detalhe,
cornija por fachada
a se estender, toda lânguida, até
um céu branco e débil, e nele hesitar.
(onde cresceu bem lenta
em céus de copo d’água
de contas de ferro e cristais de cobre
fundidos, “jardinzinho” químico num pote
tremendo um pouco, azul--claro, verde-azulado, brique.)",en_XX,pt_XX,"de manhã cedo, trocando todos os trilhos
que cruzam o céu de estrela de cinzas para estrela,
acoplando as pontas das ruas
a trens de luz,
agora nos atraem para a luz do dia em nossas camas;
e limpam o que pressiona o cérebro:
apagam as formas de neon
que flutuam e incham e brilham
pela avenida cinza entre os olhos
em rosas e amarelos, letras e sinais trêmulos.
luas de ressaca, minguantes, minguantes!
da janela eu vejo
uma cidade imensa, cuidadosamente revelada,
tornada delicada pelo excesso de trabalho,
detalhe após detalhe,
cornija sobre fachada
alcançando tão languidamente para cima em
um céu branco fraco, parece vacilar ali.
(onde cresceu lentamente
em céus de vidro d'água
de contas fundidas de cristais de ferro e cobre,
o pequeno jardim químico em uma jarra
treme e se levanta novamente,
azul-claro, verde-azulado e tijolo.)",0.0
"the sparrows hurriedly begin their play.
then, in the west, “boom!” and a cloud of smoke.
“boom!” and the exploding ball
of blossom blooms again.
(and all the employees who work in plants
where such a sound says “danger,” or once said “death,”
turn in their sleep and feel
the short hairs bristling
on backs of necks.) the cloud of smoke moves off.
a shirt is taken off a threadlike clothes-line.
along the street below
the water-wagon comes
throwing its hissing, snowy fan across
peelings and newspapers. the water dries
light-dry, dark-wet, the pattern
of the cool watermelon.
i hear the day-springs of the morning strike
from stony walls and halls and iron beds,
scattered or grouped cascades,
alarms for the expected:
queer cupids of all persons getting up,
whose evening meal they will prepare all day,
you will dine well
on his heart, on his, and his,
so send them about your business affectionately,
dragging in the streets their unique loves.
scourge them with roses only,
be light as helium,
for always to one, or several, morning comes,
whose head has fallen over the edge of his bed,
whose face is turned
so that the image of
the city grows down into his open eyes
inverted and distorted. no. i mean
distorted and revealed,
if he sees it at all.","pardais apressados começam o espetáculo.
então, do oeste, um “bum!” e uma nuvem de fumaça.
“bum!” e a bola de flor
explode em fogo outra vez.
(e os operários de fábricas para quem
este som diz “perigo”, e outrora “morte”,
se viram na cama e sentem
eriçar-se os cabelos
da nuca.) a nuvem de fumaça se afasta.
de um fio de varal tira-se uma camisa.
pela rua passa
o caminhão d’água
lançando um leque alvo e sibilante
sobre jornais e cascas. onde seca
é claro, o molhado é escuro,
como na fresca melancia.
ouço as molas da manhã soando
em muros, corredores, camas de ferro,
soltas ou em arpejos,
alarmes esperados:
levantam-se os cupidos improváveis
de quem vai preparar-lhes o jantar,
vocês vão alimentar-se
do coração dele, e dele,
assim, despachem com afeto esses que saem
arrastando pela rua seus amores singulares.
neles só batam com rosas,
sejam leves como o hélio,
pois o dia sempre chega a um caído
com a cabeça para fora do colchão,
rosto virado de modo
que a imagem da cidade
surge em seus olhos abertos inversa
e distorcida. não. melhor dizendo:
distorcida e revelada,
se é que ele a vê de fato.",en_XX,pt_XX,"os pardais apressadamente começam sua brincadeira.
então, no oeste, “bum!” e uma nuvem de fumaça.
“bum!” e a bola explosiva
de flores floresce novamente.
(e todos os funcionários que trabalham em fábricas
onde tal som diz “perigo”, ou uma vez disse “morte”,
se viram no sono e sentem
os pelos curtos se arrepiando
na nuca.) a nuvem de fumaça se afasta.
uma camisa é tirada de um varal fino.
ao longo da rua abaixo
o vagão de água vem
jogando seu leque sibilante e nevado sobre
cascas e jornais. a água seca
claro-seco, escuro-molhado, o padrão
da melancia fresca.
ouço os raios do dia da manhã atacarem
de paredes de pedra e corredores e camas de ferro,
cascatas espalhadas ou agrupadas,
alarmes para o esperado:
cupidos estranhos de todas as pessoas se levantando,
cuja refeição noturna eles prepararão o dia todo,
vocês jantarão bem
no coração dele, no dele e dele,
então enviem-nos sobre seus negócios afetuosamente,
arrastando nas ruas seus amores únicos.
os açoitem apenas com rosas,
sejam leves como hélio,
pois sempre para um, ou vários, a manhã chega,
cuja cabeça caiu sobre a beirada de sua cama,
cujo rosto está virado
de modo que a imagem da
cidade cresce em seus olhos abertos
invertida e distorcida. não. quero dizer
distorcida e revelada,
se ele a vê.",0.0
"at six o’clock we were waiting for coffee,
waiting for coffee and the charitable crumb
that was going to be served from a certain balcony,
— like kings of old, or like a miracle.
it was still dark. one foot of the sun
steadied itself on a long ripple in the river.
the first ferry of the day had just crossed the river.
it was so cold we hoped that the coffee
would be very hot, seeing that the sun
was not going to warm us; and that the crumb
would be a loaf each, buttered, by a miracle.
at seven a man stepped out on the balcony.
he stood for a minute alone on the balcony
looking over our heads toward the river.
a servant handed him the makings of a miracle,
consisting of one lone cup of coffee
and one roll, which he proceeded to crumb,
his head, so to speak, in the clouds — along with the sun.
was the man crazy? what under the sun
was he trying to do, up there on his balcony!
each man received one rather hard crumb,
which some flicked scornfully into the river,
and, in a cup, one drop of the coffee.
some of us stood around, waiting for the miracle.
i can tell what i saw next; it was not a miracle.
a beautiful villa stood in the sun
and from its doors came the smell of hot coffee.
in front, a baroque white plaster balcony
added by birds, who nest along the river,
— i saw it with one eye close to the crumb —
and galleries and marble chambers. my crumb
my mansion, made for me by a miracle,
through ages, by insects, birds, and the river
working the stone. every day, in the sun,
at breakfast time i sit on my balcony
with my feet up, and drink gallons of coffee.
we licked up the crumb and swallowed the coffee.
a window across the river caught the sun
as if the miracle were working, on the wrong balcony.","às seis, estávamos à espera do café,
à espera do café e da caridosa migalha
que seriam servidos de uma certa varanda
— como por reis de outrora, ou por milagre.
ainda estava escuro. um dos pés do sol
se apoiava numa longa ondulação do rio.
a primeira barca do dia já cruzara o rio.
tal era o frio que ansiávamos por café
quentíssimo — pois pelo visto o sol
não ia aquecer-nos — e uma migalha
que fosse um pão para cada um, como um milagre.
às sete um homem apareceu na varanda.
ficou a sós por um minuto na varanda
olhando não para nós, mas para o rio.
um criado deu-lhe material para um milagre,
ou seja, uma única xícara de café
e um pão, que ele reduziu a migalhas,
com a cabeça nas nuvens, tal qual o sol.
seria um louco? parado ali, ao sol,
que estava ele fazendo na varanda?
cada um recebeu uma mísera migalha,
que uns, com desprezo, jogaram no rio,
e, numa xícara, uma gota de café.
alguns de nós ficamos, à espera do milagre.
digo o que vi em seguida: não foi milagre.
era um belo casarão, aberto ao sol,
de onde vinha um cheiro quente de café.
à frente, uma estrutura barroca, uma varanda
de gesso branco, feita pelas aves do rio
— foi o que vi ao olhar de perto a migalha —
galerias e salões de mármore. minha migalha,
uma mansão, feita para mim por milagre,
ao longo dos tempos, pelas aves, pelo rio
a lavrar a pedra. todos os dias, ao sol,
pela manhã, me instalo na varanda,
os pés para cima, e bebo litros de café.
engolimos a migalha e a gota de café.
além-rio, uma janela refletia o sol
como se o milagre fosse em outra varanda.",en_XX,pt_XX,"às seis horas estávamos esperando pelo café,
esperando pelo café e pela migalha caridosa
que seria servida de uma certa sacada,
— como reis de antigamente, ou como um milagre.
ainda estava escuro. um pé do sol
se firmou em uma longa ondulação no rio.
a primeira balsa do dia tinha acabado de cruzar o rio.
estava tão frio que esperávamos que o café
estivesse bem quente, visto que o sol
não iria nos aquecer; e que a migalha
seria um pão cada, amanteigado, por um milagre.
às sete um homem saiu na sacada.
ele ficou por um minuto sozinho na sacada
olhando por cima de nossas cabeças em direção ao rio.
um servo entregou a ele os ingredientes de um milagre,
consistindo em uma única xícara de café
e um pãozinho, que ele começou a esfarelar,
sua cabeça, por assim dizer, nas nuvens — junto com o sol.
o homem estava louco? o que sob o sol
ele estava tentando fazer, lá em cima na sacada!
cada homem recebeu uma migalha bem dura,
que alguns jogaram com desdém no rio,
e, em uma xícara, uma gota de café.
alguns de nós ficaram parados, esperando o milagre.
posso dizer o que vi em seguida; não foi um milagre.
uma bela vila estava ao sol
e de suas portas vinha o cheiro de café quente.
na frente, uma sacada barroca de gesso branco
adicionada por pássaros, que fazem ninhos ao longo do rio,
— eu a vi com um olho perto da migalha —
e galerias e câmaras de mármore. minha migalha
minha mansão, feita para mim por um milagre,
através das eras, por insetos, pássaros e o rio
trabalhando a pedra. todos os dias, ao sol,
na hora do café da manhã eu sento na minha sacada
com os pés para cima e bebo galões de café.
nós lambíamos a migalha e engulíamos o café.
uma janela do outro lado do rio captava o sol
como se o milagre estivesse acontecendo, na sacada errada.",0.0
