original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"iv / o breath
beneath that loved and celebrated breast;
silent, bored really blindly veined,
grieves, maybe lives and lets
live, passes bets,
something moving but invisibly,
and with what clamor why restrained
i cannot fathom even a ripple.
(see the thin flying of nine black hairs
four around one five the other nipple,
flying almost intolerably on your own breath.)
equivocal, but what we have in common’s bound to be there,
whatever we must own equivalents for,
something that maybe i could bargain with
and make a separate peace beneath
within if never with.","iv / fôlego
sob aquele peito amado e célebre,
calado, no fundo entediado com veias cegas,
sofre, talvez viva e deixe correr
o barco, sem pagar para ver,
algo a mover-se mas invisível,
e com clamor só que contido
nenhum tremor tudo tranquilo.
(vê o voo fino de nove pelos negros
quatro em torno de um cinco do outro mamilo,
voo quase insuportável no vento do teu próprio hálito.)
ambíguo, mas o que temos em comum tem que estar lá,
seja lá o que havemos de ter de equivalente,
algo com que eu talvez possa entrar num acordo
um tratado de paz debaixo
dentro dele já que jamais com ele.",en_XX,pt_XX,"iv / o fôlego
sob aquele seio amado e celebrado;
silencioso, entediado, cegamente veiado,
lamenta, talvez viva e permite viver,
passa apostas,
algo se move mas invisivelmente,
e com que clamor por que contido
não consigo nem sequer adivinhar uma ondulação.
(veja o tênue voo de nove pelos negros
quatro ao redor de um, cinco ao redor do outro mamilo,
voando quase insuportavelmente ao sabor de seu próprio fôlego.)
equívoco, mas o que temos em comum deve estar lá,
seja o que for que devamos possuir equivalentes para,
algo com o que talvez eu possa negociar
e fazer uma paz separada sob
dentro se nunca com.",1.0
"from fairest creatures we desire increase,
that thereby beauty’s rose might never die,
but as the riper should by time decease,
his tender heir might bear his memory:
but thou, contracted to thine own bright eyes,
feed’st thy light’s flame with self-substantial fuel,
making a famine where abundance lies,
thyself thy foe, to thy sweet self too cruel.
thou that art now the world’s fresh ornament
and only herald to the gaudy spring,
within thine own bud buriest thy content
and, tender churl, mak’st waste in niggarding.
pity the world, or else this glutton be,
to eat the world’s due, by the grave and thee.","dos seres ímpares ansiamos prole
para que a flor do belo não se extinga,
e se a rosa madura o tempo colhe,
fresco botão sua memória vinga.
mas tu, que só com os olhos teus contrais,
nutres o ardor com as próprias energias
causando fome onde a abundância jaz,
cruel rival, que o próprio ser crucias.
tu, que do mundo és hoje o galardão,
arauto da festiva natureza,
matas o teu prazer inda em botão
e, sovina, esperdiças na avareza.
piedade, senão ides, tu e o fundo
do chão, comer o que é devido ao mundo.",en_XX,pt_XX,"De criaturas belas desejamos prole,
para que a rosa da beleza nunca morra,
mas como o maduro pelo tempo se desfaça,
seu herdeiro gentil possa carregar sua memória:
mas tu, limitado aos teus próprios olhos radiantes,
alimentas a chama da tua luz com combustível substancial próprio,
fazendo uma fome onde abundância existe,
inimigo de ti mesmo, cruel demais para tua doce companhia.
Tu que és agora o ornamento fresco do mundo
e apenas arauto da vistosa primavera,
dentro da tua própria flor enterras teu contentamento
e, avarento gentil, desperdiças ao mesquinhamente guardar.
Piedade ao mundo, ou então que este glutão seja,
para comer o que é devido ao mundo, pela sepultura e por ti.",1.0
"when forty winters shall besiege thy brow,
and dig deep trenches in thy beauty’s field,
thy youth’s proud livery, so gaz’d on now,
will be a tatter’d weed, of small worth held:
then being ask’d where all thy beauty lies,
where all the treasure of thy lusty days,
to say, within thine own deep-sunken eyes,
were an all-eating shame and thriftless praise.
how much more praise deserv’d thy beauty’s use,
if thou couldst answer, ‘this fair child of mine
shall sum my count, and make my old excuse,’
proving his beauty by succession thine!
this were to be new made when thou art old,
and see thy blood warm when thou feel’st it cold.","quando no assédio de quarenta invernos
se cavarem as linhas de teu rosto,
da juventude os teus galões supernos
pobres andrajos se tiverem posto,
se então te perguntarem pelo fausto
de teus dias de glória e de beleza,
dizer que tudo jaz no olhar exausto,
opróbrio fora, encômio sem grandeza.
mais mérito terias nessa usança
se pudesses dizer: “meu filho há-de
saldar-me a dívida, exculpar-me a idade”,
provando que a beleza é tua herança.
fora tornar em novo as coisas velhas
e ver o sangue quente enquanto engelhas.",en_XX,pt_XX,"quando quarenta invernos cercarão tua fronte,
e cavarem trincheiras fundas em teu campo de beleza,
a vistosa armadura de tua juventude, tão admirada agora,
será um mero farrapo, de pequeno valor considerado:
então, sendo perguntado onde toda tua beleza reside,
onde todo o tesouro de teus dias de vigor,
para dizer, dentro de teus próprios olhos afundados,
seria uma vergonha devoradora e um elogio sem proveito.
quanto mais merecida seria a tua beleza em uso,
se pudesses responder: 'este belo filho meu
resumirá minha conta e fará minha velhice desculpável',
provando sua beleza pela tua sucessão!
isso seria ser refeito quando tu estiveres velho,
e ver teu sangue quente quando tu sentires frio.",1.0
"when i do count the clock that tells the time,
and see the brave day sunk in hideous night;
when i behold the violet past prime,
and sable curls, all silver’d o’er with white;
when lofty trees i see barren of leaves,
which erst from heat did canopy the herd,
and summer’s green all girded up in sheaves,
borne on the bier with white and bristly beard,
then of thy beauty do i question make,
that thou among the wastes of time must go,
since sweets and beauties do themselves forsake
and die as fast as they see others grow;
and nothing ‘gainst time’s scythe can make defence
save breed, to brave him when he takes thee hence.","quando a hora dobra em triste e tardo toque
e em noite horrenda vejo escoar-se o dia,
quando vejo esvair-se a violeta, ou que
a prata a preta têmpora assedia;
quando vejo sem folha o tronco antigo
que ao rebanho estendia a sombra franca
e em feixe atado agora o verde trigo
seguir no carro, a barba hirsuta e branca;
sobre tua beleza então questiono
que há de sofrer do tempo a dura prova,
pois as graças do mundo em abandono
morrem ao ver nascendo a graça nova.
contra a foice do tempo é vão combate,
salvo a prole, que o enfrenta se te abate.",en_XX,pt_XX,"Quando conto o relógio que indica a hora,
e vejo o dia valente mergulhado em horrenda noite;
quando contemplo a violeta desbotada,
e os cabelos negros, todos prateados de branco;
quando vejo as altivas árvores sem folhas,
que outrora do calor protegiam o rebanho,
e o verde do verão todo amarrado em feixes,
transportado no andor com a barba branca e eriçada,
então questiono tua beleza,
pois tu, entre os escombros do tempo, deves ir,
desde que doces e belezas se abandonam a si mesmas
e morrem tão rápido quanto veem os outros crescer;
e nada contra a foice do tempo pode fazer defesa
a não ser a prole, para enfrentá-lo quando te levar.",1.0
"not from the stars do i my judgment pluck;
and yet methinks i have astronomy,
but not to tell of good or evil luck,
of plagues, of dearths, or seasons’ quality;
nor can i fortune to brief minutes tell,
pointing to each his thunder, rain, and wind,
or say with princes if it shall go well,
by oft predict that i in heaven find:
but from thine eyes my knowledge i derive,
and, constant stars, in them i read such art
as ‘truth and beauty shall together thrive,
if from thyself to store thou wouldst convert;’
or else of thee this i prognosticate:
‘thy end is truth’s and beauty’s doom and date.’","dos astros não retiro entendimento
embora eu tenha cá de astronomia,
mas não para prever a sorte, o intento
das estações, ou fome, epidemia;
nem sei dizer o que será do instante,
prever a alguém quer chuva, ou vento, ou raio;
se tudo há-de sorrir ao governante
segundo as predições que aos céus extraio.
de teus olhos provêm meus atributos
e, astros constantes, leio ali tal arte:
“que a verdade e a beleza darão frutos
se em ti deixas de tanto reservar-te”;
ou um vaticínio sobre ti revelo:
“teu fim põe termo ao verdadeiro e ao belo.”",en_XX,pt_XX,"Não das estrelas retiro meu julgamento;
e ainda assim me parece que tenho astronomia,
mas não para dizer de bom ou mau destino,
de pragas, escassezes ou a qualidade das estações;
nem posso a fortuna para breves minutos dizer,
apontando para cada um seu trovão, chuva e vento,
ou dizer com príncipes se irá bem,
por muita previsão que no céu encontro:
mas dos teus olhos minha ciência derivo,
e, estrelas constantes, neles leio tal arte
que 'a verdade e a beleza juntas prosperarão',
se de ti mesma para o acúmulo tua riqueza converteres;'
ou então de ti isto eu prognostico:
'seu fim será o julgamento e a data da verdade e da beleza.'",1.0
"who will believe my verse in time to come,
if it were fill’d with your most high deserts?
though yet, heaven knows, it is but as a tomb
which hides your life and shows not half your parts.
if i could write the beauty of your eyes
and in fresh numbers number all your graces,
the age to come would say, ‘this poet lies;
such heavenly touches ne’er touch’d earthly faces.’
so should my papers, yellow’d with their age,
be scorn’d, like old men of less truth than tongue,
and your true rights be term’d a poet’s rage
and stretched metre of an antique song:
but were some child of yours alive that time,
you should live twice, — in it and in my rime.","um dia crer nos versos meus quem há-de
se eu neles derramar teus dons mais puros?
no entanto sabe o céu que eles são muros
que a tua vida ocultam por metade.
dissera o que de teu olhar emana,
teus dons em nova métrica medira,
que acharia o porvir então: “mentira!
tais tratos não retratam face humana.”
que mofem pois deste papel fanado
qual de velhos loquazes, e a teu ente
chamem de pura exaltação da mente
e a meu verso exageros do passado.
mas se chegar a tua estirpe a tanto,
em dobro hás-de viver: nela e em meu canto.",en_XX,pt_XX,"Quem acreditaria no meu verso em tempos futuros,
se ele estivesse repleto de suas mais altas virtudes?
Embora ainda, sabe o céu, é como uma tumba
que esconde sua vida e não mostra metade das suas partes.
Se eu pudesse escrever a beleza dos seus olhos
e em novos números numerar todas as suas graças,
a era futura diria: 'Este poeta mente;
toques tão celestiais nunca tocaram faces terrenas.'
Assim, meus papéis, amarelados com a idade,
seriam desprezados, como velhos de menos verdade que língua,
e seus verdadeiros direitos seriam chamados de fúria de um poeta
e esticada métrica de uma antiga canção:
mas se algum filho seu estivesse vivo naquele tempo,
você viveria duas vezes, — nele e na minha rima.",1.0
"shall i compare thee to a summer’s day?
thou art more lovely and more temperate:
rough winds do shake the darling buds of may,
and summer’s lease hath all too short a date:
sometime too hot the eye of heaven shines,
and often is his gold complexion dimm’d:
and every fair from fair sometime declines,
by chance, or nature’s changing course untrimm’d;
but thy eternal summer shall not fade,
nor lose possession of that fair thou ow’st,
nor shall death brag thou wander’st in his shade,
when in eternal lines to time thou grow’st;
so long as men can breathe, or eyes can see,
so long lives this, and this gives life to thee.","devo igualar-te a um dia de verão?
mais afável e belo é o teu semblante:
o vento esfolha maio inda em botão,
dura o termo estival um breve instante.
muitas vezes a luz do céu calcina,
mas o áureo tom também perde a clareza:
de seu belo a beleza enfim declina,
ao léu ou pelas leis da natureza.
só teu verão eterno não se acaba
nem a posse de tua formosura;
de impor-te a sombra a morte não se gaba
pois que esta estrofe eterna ao tempo dura.
enquanto houver viventes nesta lida,
há-de viver meu verso e te dar vida.",en_XX,pt_XX,"Devo comparar-te a um dia de verão?
Tu és mais amável e mais temperada:
Ventos rudes abalam os amados botões de maio,
E o aluguel do verão é muito curto:
Às vezes o olho do céu brilha demais,
E frequentemente sua tez dourada se desvanece:
E toda beleza, de bela, às vezes declina,
Por acaso, ou pelo curso cambiante da natureza não aparado;
Mas o teu verão eterno não vai passar,
Nem perder o encanto que te pertence,
Nem a morte vai te gabar que andas na sua sombra,
Quando em linhas eternas ao tempo tu cresces;
Enquanto houver quem respire, ou olhos possam ver,
Enquanto isso viverá, e isso dará vida a ti.",1.0
"devouring time, blunt thou the lion’s paws,
and make the earth devour her own sweet brood;
pluck the keen teeth from the fierce tiger’s jaws,
and burn the long-liv’d phœnix in her blood;
make glad and sorry seasons as thou fleets,
and do whate’er thou wilt, swift-footed time,
to the wide world and all her fading sweets;
but i forbid thee one most heinous crime:
o! carve not with thy hours my love’s fair brow,
nor draw no lines there with thine antique pen;
him in thy course untainted do allow
for beauty’s pattern to succeeding men.
yet, do thy worst, old time: despite thy wrong,
my love shall in my verse ever live young.","tempo voraz, ao leão cegas as garras
e à terra fazes devorar seus genes;
ao tigre as presas hórridas desgarras
e ardes no próprio sangue a eterna fênix.
pelo caminho vão teus pés ligeiros
alegres, tristes estações deixando;
impões-te ao mundo e aos gozos passageiros,
mas proíbo-te um crime mais nefando:
de meu amor não vinques o semblante
nem nele imprimas o teu traço duro.
oh! permite que intacto siga avante
como padrão do belo no futuro.
ou antes, velho tempo, sê perverso:
pois jovem sempre há-de o manter meu verso.",en_XX,pt_XX,"Devorador tempo, desgasta as garras do leão,
e faz a terra devorar sua própria prole;
arranca os dentes afiados das mandíbulas do tigre feroz,
e queime a longeva fênix em seu próprio sangue;
torna alegres e tristes as estações enquanto voas,
e faz o que quiseres, rápido tempo,
ao vasto mundo e a todas as suas doces belezas efêmeras;
mas eu te proíbo de um crime mais hediondo:
oh! não esculpas com tuas horas a fronte bela de meu amor,
nem traças linhas lá com tua antiga pena;
deixa-o incólume em tua passagem
como padrão de beleza para os homens que virão.
contudo, faz o pior, velho tempo: apesar de teu mal,
meu amor viverá sempre jovem em minha poesia.",1.0
"my glass shall not persuade me i am old,
so long as youth and thou are of one date;
but when in thee time’s furrows i behold,
then look i death my days should expiate.
for all that beauty that doth cover thee
is but the seemly raiment of my heart,
which in thy breast doth live, as thine in me:
how can i then, be elder than thou art?
o! therefore, love, be of thyself so wary
as i, not for myself, but for thee will;
bearing thy heart, which i will keep so chary
as tender nurse her babe from faring ill.
presume not on thy heart when mine is slain;
thou gav’st me thine, not to give back again.","o espelho não me prova que envelheço
enquanto andares par com a mocidade;
mas se de rugas vir teu rosto impresso,
já sei que a morte a minha vida invade.
pois toda essa beleza que te veste
vem de meu coração, que é teu espelho;
o meu vive em teu peito, e o teu me deste:
por isso como posso ser mais velho?
portanto, amor, tenhas de ti cuidado
que eu, não por mim, antes por ti, terei;
levar teu coração, tão desvelado
qual ama guarda o doce infante, eu hei.
e nem penses em volta, morto o meu,
pois para sempre é que me deste o teu.",en_XX,pt_XX,"meu vidro não me convencerá de que sou velho,
enquanto a juventude e tu mesma estiverdes na mesma data;
mas quando em ti vejo as rugas do tempo,
então contemplo a morte pagar minha dívida.
pois toda essa beleza que te cobre
não é mais que a vestimenta adequada do meu coração,
que em teu peito vive, assim como o teu em mim:
como posso então ser mais velho do que tu és?
oh! portanto, amor, guarda-te a ti mesma
como eu, não por mim, mas por ti o farei;
carregando teu coração, que guardarei tão cautelosamente
como ama cuidadosa seu bebê de padecimentos.
não presumas sobre teu coração quando o meu estiver perdido;
tu me deste o teu, não para devolvê-lo novamente.",1.0
"as an unperfect actor on the stage,
who with his fear is put besides his part,
or some fierce thing replete with too much rage,
whose strength’s abundance weakens his own heart;
so i, for fear of trust, forget to say
the perfect ceremony of love’s rite,
and in mine own love’s strength seem to decay,
o’ercharg’d with burden of mine own love’s might.
o! let my books be then the eloquence
and dumb presagers of my speaking breast,
who plead for love, and look for recompense,
more than that tongue that more hath more express’d.
o! learn to read what silent love hath writ:
to hear with eyes belongs to love’s fine wit.","como imperfeito ator que em meio à cena
o seu papel na indecisão recita,
ou como o ser violento em fúria plena
a que o excesso de forças debilita;
também eu, sem confiança em mim, me esqueço
no amor de os ritos próprios recitar,
e na força com que amo me enfraqueço
rendido ao peso do poder de amar.
oh! sejam pois meus livros a eloquência,
áugures mudos do expressivo peito,
que amor implorem, peçam recompensa,
mais do que a voz que muito mais tem feito.
saibas ler o que o mudo amor escreve,
que o fino amor ouvir com os olhos deve.",en_XX,pt_XX,"Como um ator imperfeito no palco,
que com seu medo se esquece do seu papel,
ou alguma fera repleta de excessiva raiva,
cuja força em abundância enfraquece o próprio coração;
assim eu, por medo da confiança, esqueço-me de dizer
a perfeita cerimônia do rito do amor,
e na força do meu próprio amor pareço decair,
sobrecarregado pelo peso da minha própria força de amor.
oh! que meus livros sejam então a eloquência
e presságios mudos do meu peito que fala,
que pleiteiam pelo amor, e esperam recompensa,
mais do que aquela língua que mais expressou.
oh! aprenda a ler o que o amor silencioso escreveu:
ouvir com os olhos pertence à fina arte do amor.",1.0
