original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"iv / o breath
beneath that loved and celebrated breast;
silent, bored really blindly veined,
grieves, maybe lives and lets
live, passes bets,
something moving but invisibly,
and with what clamor why restrained
i cannot fathom even a ripple.
(see the thin flying of nine black hairs
four around one five the other nipple,
flying almost intolerably on your own breath.)
equivocal, but what we have in common’s bound to be there,
whatever we must own equivalents for,
something that maybe i could bargain with
and make a separate peace beneath
within if never with.","iv / fôlego
sob aquele peito amado e célebre,
calado, no fundo entediado com veias cegas,
sofre, talvez viva e deixe correr
o barco, sem pagar para ver,
algo a mover-se mas invisível,
e com clamor só que contido
nenhum tremor tudo tranquilo.
(vê o voo fino de nove pelos negros
quatro em torno de um cinco do outro mamilo,
voo quase insuportável no vento do teu próprio hálito.)
ambíguo, mas o que temos em comum tem que estar lá,
seja lá o que havemos de ter de equivalente,
algo com que eu talvez possa entrar num acordo
um tratado de paz debaixo
dentro dele já que jamais com ele.",en_XX,pt_XX,"A respiração / / noite <unk> / <unk> / <unk> / <unk> <unk> / <unk> <unk> / <unk>
por baixo desse amor e <unk> <unk> <unk> .
<unk> <unk> de forma segura <unk> de forma segura <unk> de forma segura <unk> de forma segura <unk>
<unk> talvez <unk> e deixe que <unk> ,
A <unk> passa <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> algo a mexer-se mas <unk> <unk> <unk> , mas <unk> <unk> <unk> , mas <unk> <unk> <unk>
e com o que <unk> <unk> <unk> <unk> porquê <unk> , <unk> e com o que <unk> <unk>
Não podemos imaginar sequer uma <unk> de uma <unk> de <unk>
<unk> o <unk> de nove negros negros de nove negros negros .
quatro por mais de cinco <unk> entre os outros <unk> <unk> .
<unk> na vossa própria <unk> <unk> quase <unk> na vossa própria <unk> <unk> quase <unk> na vossa <unk>
<unk> mas o que temos em <unk> ligados a ser <unk> <unk> ,
O que quer que tenhamos de possuir <unk> <unk> <unk> <unk> em que precisamos de ter <unk> <unk>
algo que talvez talvez pudesse <unk> com uma coisa que talvez possa <unk> com uma coisa que talvez
e fazer uma paz separada por baixo de baixo e fazer uma paz separada por baixo de baixo
dentro de quem nunca <unk> <unk> , se nunca <unk> <unk> , se nunca <unk> <unk> nunca <unk>",1.0
"from fairest creatures we desire increase,
that thereby beauty’s rose might never die,
but as the riper should by time decease,
his tender heir might bear his memory:
but thou, contracted to thine own bright eyes,
feed’st thy light’s flame with self-substantial fuel,
making a famine where abundance lies,
thyself thy foe, to thy sweet self too cruel.
thou that art now the world’s fresh ornament
and only herald to the gaudy spring,
within thine own bud buriest thy content
and, tender churl, mak’st waste in niggarding.
pity the world, or else this glutton be,
to eat the world’s due, by the grave and thee.","dos seres ímpares ansiamos prole
para que a flor do belo não se extinga,
e se a rosa madura o tempo colhe,
fresco botão sua memória vinga.
mas tu, que só com os olhos teus contrais,
nutres o ardor com as próprias energias
causando fome onde a abundância jaz,
cruel rival, que o próprio ser crucias.
tu, que do mundo és hoje o galardão,
arauto da festiva natureza,
matas o teu prazer inda em botão
e, sovina, esperdiças na avareza.
piedade, senão ides, tu e o fundo
do chão, comer o que é devido ao mundo.",en_XX,pt_XX,"de criaturas <unk> que desejamos <unk> <unk> de criaturas <unk> que desejamos <unk> <unk> de criaturas <unk>
que , assim , os <unk> <unk> talvez nunca <unk> o <unk> de que , assim ,
mas como os <unk> deviam passar pelo tempo <unk> <unk> ,
O seu antigo herdeiro pode aguentar o seu <unk> <unk> o seu <unk> <unk> pode <unk> o
Mas <unk> <unk> a ser uma <unk> brilhante de <unk> <unk> de uma forma estranha mas de
<unk> a vender chamas com <unk> <unk> com <unk> <unk> <unk> <unk> <unk> <unk> com <unk> <unk>
Fazer uma fome onde a abundância <unk> em abundância em que a abundância <unk> a abundância de
<unk> a andar para a <unk> para a <unk> também para um <unk> doce demais demais <unk>
A arte agora é a <unk> de <unk> <unk> de <unk> <unk> .
e apenas <unk> para o <unk> <unk> <unk> ,
<unk> <unk> <unk> a um conteúdo em <unk> <unk> em <unk> <unk> em <unk> <unk> em <unk>
<unk> <unk> <unk> <unk> em <unk> <unk> em <unk> <unk> em <unk> <unk> <unk> <unk> <unk> <unk>
pena de mais ou menos esta <unk> <unk> <unk> .
para comer os <unk> <unk> pela sepultura e <unk> <unk> pela sepultura e <unk> <unk> pela sepultura",1.0
"when forty winters shall besiege thy brow,
and dig deep trenches in thy beauty’s field,
thy youth’s proud livery, so gaz’d on now,
will be a tatter’d weed, of small worth held:
then being ask’d where all thy beauty lies,
where all the treasure of thy lusty days,
to say, within thine own deep-sunken eyes,
were an all-eating shame and thriftless praise.
how much more praise deserv’d thy beauty’s use,
if thou couldst answer, ‘this fair child of mine
shall sum my count, and make my old excuse,’
proving his beauty by succession thine!
this were to be new made when thou art old,
and see thy blood warm when thou feel’st it cold.","quando no assédio de quarenta invernos
se cavarem as linhas de teu rosto,
da juventude os teus galões supernos
pobres andrajos se tiverem posto,
se então te perguntarem pelo fausto
de teus dias de glória e de beleza,
dizer que tudo jaz no olhar exausto,
opróbrio fora, encômio sem grandeza.
mais mérito terias nessa usança
se pudesses dizer: “meu filho há-de
saldar-me a dívida, exculpar-me a idade”,
provando que a beleza é tua herança.
fora tornar em novo as coisas velhas
e ver o sangue quente enquanto engelhas.",en_XX,pt_XX,"♪ Quando os invernos <unk> ♪ devem <unk> ♪ <unk> ♪ <unk> ♪ <unk> ♪ <unk> ♪
<unk> as profundas trincheiras em <unk> <unk> <unk> <unk> <unk> <unk> e <unk> profundas <unk> em <unk>
<unk> orgulhosos <unk> tão <unk> em <unk> <unk> em <unk> <unk> <unk> em <unk> <unk> <unk> <unk>
será uma <unk> <unk> de pequenas <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
Depois sendo <unk> onde todas as <unk> <unk> <unk> <unk> ,
onde todas as <unk> <unk> <unk> <unk> <unk> <unk> onde todas as <unk> de <unk> <unk> <unk>
<unk> em <unk> <unk> <unk> em <unk> <unk> por dentro de <unk> <unk> <unk> em <unk> <unk>
Eram uma vergonha <unk> e <unk> <unk> <unk> .
Quanto mais <unk> se <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
Se &quot; <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> &quot; de <unk> <unk> <unk> <unk>
<unk> a minha <unk> e <unk> a minha antiga <unk> <unk> .
<unk> a sua beleza por <unk> <unk> <unk> <unk> <unk> <unk> a provar a sua beleza por
Isto era ser novo feito quando &quot; <unk> &quot; de arte <unk> &quot; <unk> &quot; .
<unk> sangue quente quando &quot; <unk> &quot; o <unk> <unk> <unk> <unk> &quot; <unk> &quot; .",1.0
"when i do count the clock that tells the time,
and see the brave day sunk in hideous night;
when i behold the violet past prime,
and sable curls, all silver’d o’er with white;
when lofty trees i see barren of leaves,
which erst from heat did canopy the herd,
and summer’s green all girded up in sheaves,
borne on the bier with white and bristly beard,
then of thy beauty do i question make,
that thou among the wastes of time must go,
since sweets and beauties do themselves forsake
and die as fast as they see others grow;
and nothing ‘gainst time’s scythe can make defence
save breed, to brave him when he takes thee hence.","quando a hora dobra em triste e tardo toque
e em noite horrenda vejo escoar-se o dia,
quando vejo esvair-se a violeta, ou que
a prata a preta têmpora assedia;
quando vejo sem folha o tronco antigo
que ao rebanho estendia a sombra franca
e em feixe atado agora o verde trigo
seguir no carro, a barba hirsuta e branca;
sobre tua beleza então questiono
que há de sofrer do tempo a dura prova,
pois as graças do mundo em abandono
morrem ao ver nascendo a graça nova.
contra a foice do tempo é vão combate,
salvo a prole, que o enfrenta se te abate.",en_XX,pt_XX,"Quando <unk> o relógio que diz ao <unk> que diz o <unk> <unk> o <unk>
e ver o dia corajoso <unk> em <unk> <unk> <unk> <unk> <unk> .
♪ O <unk> <unk> ♪ O <unk> passado ♪ O <unk> passado ♪ O <unk> passado ♪
<unk> <unk> todos os <unk> <unk> com <unk> <unk> , com <unk> <unk> , com <unk> <unk>
Quando as árvores <unk> veem o árido de <unk> <unk> de <unk> <unk> <unk> de <unk> <unk>
O que <unk> de calor fez as copas do calor <unk> as <unk> do <unk> que <unk>
<unk> verde todos os <unk> em <unk> <unk> em <unk>
<unk> na <unk> com <unk> brancos e <unk> <unk> <unk> e <unk>
Depois de uma <unk> fazer uma pergunta &quot; <unk> &quot; &quot; <unk> &quot; <unk> &quot; <unk> &quot;
&quot; O que quer que seja &quot; entre os desperdícios do tempo deve <unk> de <unk> de
A partir de doces e <unk> fazem <unk> <unk> <unk> ,
e morrer tão depressa quanto veem outros <unk> <unk> <unk> .
e nada <unk> <unk> <unk> pode fazer com que <unk> <unk> possa fazer com que <unk> <unk>
<unk> a <unk> quando ele pega em <unk> <unk> quando se <unk> <unk> <unk> <unk> <unk> para",1.0
"not from the stars do i my judgment pluck;
and yet methinks i have astronomy,
but not to tell of good or evil luck,
of plagues, of dearths, or seasons’ quality;
nor can i fortune to brief minutes tell,
pointing to each his thunder, rain, and wind,
or say with princes if it shall go well,
by oft predict that i in heaven find:
but from thine eyes my knowledge i derive,
and, constant stars, in them i read such art
as ‘truth and beauty shall together thrive,
if from thyself to store thou wouldst convert;’
or else of thee this i prognosticate:
‘thy end is truth’s and beauty’s doom and date.’","dos astros não retiro entendimento
embora eu tenha cá de astronomia,
mas não para prever a sorte, o intento
das estações, ou fome, epidemia;
nem sei dizer o que será do instante,
prever a alguém quer chuva, ou vento, ou raio;
se tudo há-de sorrir ao governante
segundo as predições que aos céus extraio.
de teus olhos provêm meus atributos
e, astros constantes, leio ali tal arte:
“que a verdade e a beleza darão frutos
se em ti deixas de tanto reservar-te”;
ou um vaticínio sobre ti revelo:
“teu fim põe termo ao verdadeiro e ao belo.”",en_XX,pt_XX,"Não das estrelas fazem &quot; i &amp; lt ; / i &amp; gt ; a <unk>
e contudo , os <unk> <unk> têm <unk> <unk> ,
mas não para falar de bom ou mau trabalho de bom ou mau ou bom ou
de <unk> <unk> ou de <unk> <unk> <unk> de <unk> <unk> ou de <unk> <unk> <unk>
&quot; ou &quot; <unk> &quot; ou &quot; <unk> &quot; .
<unk> a cada um dos seus <unk> <unk> e <unk> <unk> .
ou dizer com príncipes se ela for <unk> para se <unk> em <unk> ou para se
<unk> preveem que , no céu <unk> , em <unk> <unk> ,
mas com os olhos <unk> do meu conhecimento <unk> <unk> <unk> ,
<unk> constantes <unk> <unk> uma tal arte ler essa arte de tal forma própria .
como <unk> e beleza se <unk> em <unk> <unk> em <unk> e beleza em conjunto em
Se a partir de <unk> para armazenar &quot; <unk> &quot; <unk> <unk> <unk> <unk> <unk> <unk>
ou mais de um <unk> deste tipo &quot; <unk> &quot; de &quot; <unk> &quot; ou de
<unk> final é <unk> e <unk> <unk> e <unk> <unk> e <unk> <unk> e <unk> <unk>",1.0
"who will believe my verse in time to come,
if it were fill’d with your most high deserts?
though yet, heaven knows, it is but as a tomb
which hides your life and shows not half your parts.
if i could write the beauty of your eyes
and in fresh numbers number all your graces,
the age to come would say, ‘this poet lies;
such heavenly touches ne’er touch’d earthly faces.’
so should my papers, yellow’d with their age,
be scorn’d, like old men of less truth than tongue,
and your true rights be term’d a poet’s rage
and stretched metre of an antique song:
but were some child of yours alive that time,
you should live twice, — in it and in my rime.","um dia crer nos versos meus quem há-de
se eu neles derramar teus dons mais puros?
no entanto sabe o céu que eles são muros
que a tua vida ocultam por metade.
dissera o que de teu olhar emana,
teus dons em nova métrica medira,
que acharia o porvir então: “mentira!
tais tratos não retratam face humana.”
que mofem pois deste papel fanado
qual de velhos loquazes, e a teu ente
chamem de pura exaltação da mente
e a meu verso exageros do passado.
mas se chegar a tua estirpe a tanto,
em dobro hás-de viver: nela e em meu canto.",en_XX,pt_XX,"Quem irá acreditar no meu verso no tempo para <unk> <unk> de <unk> ?
se fosse <unk> com a maior parte do <unk> <unk> com a maior parte do <unk> de <unk>
Embora <unk> <unk> <unk> seja , mas como um túmulo de um túmulo ,
que esconde a vida e mostra não metade dos vossos <unk> <unk> não metade da vossa <unk> .
Se &quot; y &quot; pudesse escrever a beleza dos olhos dos olhos , se &quot; y &quot; pudesse
&quot; e em números frescos &quot; todos os vossos <unk> <unk> &quot; .
A idade para vir <unk> <unk> poeta <unk> <unk> <unk> <unk> .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
para que o meu <unk> <unk> com o seu <unk> <unk> com o seu <unk> <unk> com o
<unk> como homens antigos de menos verdade do que a <unk> <unk> de <unk> de menos de <unk>
e os nossos direitos verdadeiros estão a ser <unk> uma raiva <unk> a uma raiva <unk> .
<unk> <unk> de uma <unk> <unk> <unk> de uma <unk> <unk> e <unk> de uma <unk> <unk> de
mas eram crianças que os <unk> estavam a viver .
Deviam viver <unk> , dentro dela e na minha <unk> <unk> .",1.0
"shall i compare thee to a summer’s day?
thou art more lovely and more temperate:
rough winds do shake the darling buds of may,
and summer’s lease hath all too short a date:
sometime too hot the eye of heaven shines,
and often is his gold complexion dimm’d:
and every fair from fair sometime declines,
by chance, or nature’s changing course untrimm’d;
but thy eternal summer shall not fade,
nor lose possession of that fair thou ow’st,
nor shall death brag thou wander’st in his shade,
when in eternal lines to time thou grow’st;
so long as men can breathe, or eyes can see,
so long lives this, and this gives life to thee.","devo igualar-te a um dia de verão?
mais afável e belo é o teu semblante:
o vento esfolha maio inda em botão,
dura o termo estival um breve instante.
muitas vezes a luz do céu calcina,
mas o áureo tom também perde a clareza:
de seu belo a beleza enfim declina,
ao léu ou pelas leis da natureza.
só teu verão eterno não se acaba
nem a posse de tua formosura;
de impor-te a sombra a morte não se gaba
pois que esta estrofe eterna ao tempo dura.
enquanto houver viventes nesta lida,
há-de viver meu verso e te dar vida.",en_XX,pt_XX,"<unk> <unk> a uma <unk> <unk> de <unk> <unk> .
&quot; A arte mais encantadora e mais <unk> &quot;
<unk> ventos <unk> as papilas <unk> de <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
A <unk> <unk> <unk> demasiado curta de uma <unk> de <unk>
demasiado quente os olhos do paraíso <unk> do paraíso <unk> demais .
e muitas vezes é a <unk> de ouro de ouro .
e todos os dias de <unk> <unk> <unk> de um dia justo e justo de um <unk>
<unk> ou <unk> a mudar o curso de curso de <unk> ou de <unk> ou de <unk>
Mas , ao contrário do verão eterno , não vai <unk> o <unk> <unk> não vai <unk>
ou perder a posse dessa <unk> justa ♪ <unk> ♪ ♪ <unk> ♪ ♪ <unk> ♪ ♪
♪ Nem a morte ♪ <unk> ♪ <unk> ♪ nos seus <unk> ♪
Quando nas linhas <unk> a tempo parcial <unk> <unk> <unk> ,
Há tanto tempo que os homens podem <unk> ou olhos podem <unk> os olhos pode <unk> ou
Há tanto tempo que vive a vida a <unk> e isto dá vida a <unk> a <unk>",1.0
"devouring time, blunt thou the lion’s paws,
and make the earth devour her own sweet brood;
pluck the keen teeth from the fierce tiger’s jaws,
and burn the long-liv’d phœnix in her blood;
make glad and sorry seasons as thou fleets,
and do whate’er thou wilt, swift-footed time,
to the wide world and all her fading sweets;
but i forbid thee one most heinous crime:
o! carve not with thy hours my love’s fair brow,
nor draw no lines there with thine antique pen;
him in thy course untainted do allow
for beauty’s pattern to succeeding men.
yet, do thy worst, old time: despite thy wrong,
my love shall in my verse ever live young.","tempo voraz, ao leão cegas as garras
e à terra fazes devorar seus genes;
ao tigre as presas hórridas desgarras
e ardes no próprio sangue a eterna fênix.
pelo caminho vão teus pés ligeiros
alegres, tristes estações deixando;
impões-te ao mundo e aos gozos passageiros,
mas proíbo-te um crime mais nefando:
de meu amor não vinques o semblante
nem nele imprimas o teu traço duro.
oh! permite que intacto siga avante
como padrão do belo no futuro.
ou antes, velho tempo, sê perverso:
pois jovem sempre há-de o manter meu verso.",en_XX,pt_XX,"♪ <unk> <unk> ♪ O <unk> <unk> ♪ O <unk> <unk> ♪ O <unk> <unk> ♪ O
e fazer com que a terra <unk> o seu doce <unk> <unk> o seu doce <unk> e
<unk> os dentes interessados da <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> os dentes <unk>
e queimar os <unk> <unk> na sua <unk> <unk> na sua <unk> .
<unk> <unk> e <unk> como &quot; <unk> &quot; <unk> <unk> &quot; <unk> &quot; ,
♪ <unk> ♪ <unk> ♪ <unk> <unk> ♪ <unk> <unk> ♪ <unk> ♪ <unk> ♪ <unk> ♪
para o mundo mais amplo e toda a sua <unk> <unk> <unk> .
Mas , de acordo com uma <unk> <unk> mais <unk> ,
<unk> <unk> não com as horas <unk> a minha <unk> <unk> <unk> a <unk> <unk> a <unk>
Não <unk> linhas com <unk> <unk> <unk> <unk> <unk> .
<unk> que , em seguida , permite que os <unk> <unk> , <unk> , não vale a
para <unk> <unk> para <unk> <unk> <unk> para <unk> <unk> <unk> para <unk> <unk> <unk> para <unk>
A <unk> faz <unk> antigos , apesar de <unk> <unk> <unk> , apesar de <unk> <unk> <unk>
O meu amor , no meu verso , vive em <unk> <unk> em <unk> <unk> a <unk>",1.0
"my glass shall not persuade me i am old,
so long as youth and thou are of one date;
but when in thee time’s furrows i behold,
then look i death my days should expiate.
for all that beauty that doth cover thee
is but the seemly raiment of my heart,
which in thy breast doth live, as thine in me:
how can i then, be elder than thou art?
o! therefore, love, be of thyself so wary
as i, not for myself, but for thee will;
bearing thy heart, which i will keep so chary
as tender nurse her babe from faring ill.
presume not on thy heart when mine is slain;
thou gav’st me thine, not to give back again.","o espelho não me prova que envelheço
enquanto andares par com a mocidade;
mas se de rugas vir teu rosto impresso,
já sei que a morte a minha vida invade.
pois toda essa beleza que te veste
vem de meu coração, que é teu espelho;
o meu vive em teu peito, e o teu me deste:
por isso como posso ser mais velho?
portanto, amor, tenhas de ti cuidado
que eu, não por mim, antes por ti, terei;
levar teu coração, tão desvelado
qual ama guarda o doce infante, eu hei.
e nem penses em volta, morto o meu,
pois para sempre é que me deste o teu.",en_XX,pt_XX,"O meu copo não me <unk> de <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
há tanto tempo que os jovens e os &quot; <unk> &quot; são de uma <unk> de <unk>
Mas , em <unk> <unk> <unk> &quot; <unk> &quot; <unk> &quot; <unk> &quot; ,
Depois olhar para a morte de &quot; <unk> &quot; os meus dias deviam <unk> os meus dias
para toda aquela beleza que <unk> a cobertura de todos os que se encontram na cobertura de
mas a <unk> <unk> da minha <unk> <unk> da minha <unk> .
Em <unk> a <unk> <unk> como <unk> em <unk> em <unk> , em <unk> , em <unk>
Como é que o <unk> pode ser mais velho do que ♪ <unk> <unk> ♪ <unk> <unk>
<unk> <unk> <unk> tão <unk> como <unk> <unk> <unk> <unk> <unk> <unk> de forma a ser <unk>
como <unk> não para <unk> , mas para <unk> <unk> para <unk> , mas para <unk> <unk>
&quot; <unk> que <unk> tão <unk> &quot; que <unk> &quot; tão <unk> &quot; que <unk> &quot; <unk>
A <unk> <unk> de <unk> <unk> <unk> <unk> <unk> <unk> de <unk> <unk> <unk> de <unk> <unk>
<unk> não se <unk> no coração quando a minha é <unk> <unk> quando a minha é <unk>
♪ <unk> <unk> ♪ <unk> não para devolver ♪ <unk> <unk> ♪ <unk> ♪ <unk> ♪ <unk>",1.0
"as an unperfect actor on the stage,
who with his fear is put besides his part,
or some fierce thing replete with too much rage,
whose strength’s abundance weakens his own heart;
so i, for fear of trust, forget to say
the perfect ceremony of love’s rite,
and in mine own love’s strength seem to decay,
o’ercharg’d with burden of mine own love’s might.
o! let my books be then the eloquence
and dumb presagers of my speaking breast,
who plead for love, and look for recompense,
more than that tongue that more hath more express’d.
o! learn to read what silent love hath writ:
to hear with eyes belongs to love’s fine wit.","como imperfeito ator que em meio à cena
o seu papel na indecisão recita,
ou como o ser violento em fúria plena
a que o excesso de forças debilita;
também eu, sem confiança em mim, me esqueço
no amor de os ritos próprios recitar,
e na força com que amo me enfraqueço
rendido ao peso do poder de amar.
oh! sejam pois meus livros a eloquência,
áugures mudos do expressivo peito,
que amor implorem, peçam recompensa,
mais do que a voz que muito mais tem feito.
saibas ler o que o mudo amor escreve,
que o fino amor ouvir com os olhos deve.",en_XX,pt_XX,"como um ator de <unk> na <unk> do <unk> como um ator de <unk> na <unk>
com o seu medo , para além do seu medo , para além do seu <unk>
ou alguma coisa <unk> com demasiado <unk> com demasiado <unk> ,
cuja abundância de <unk> enfraquece o seu <unk> <unk> o seu <unk> .
<unk> por ter medo de <unk> a dizer a dizer a dizer a dizer a dizer
A cerimónia perfeita de <unk> <unk> <unk> <unk> <unk> .
e na minha força <unk> parece <unk> <unk> ,
<unk> com o fardo da minha <unk> <unk> <unk> <unk> <unk> com o seu <unk> <unk>
Os meus livros são depois os <unk> depois do <unk> .
e <unk> <unk> da minha palestra <unk> <unk> da minha <unk> <unk> .
Quem <unk> para <unk> e procurar <unk> <unk> por <unk> ?
Mais do que aquela língua que mais <unk> mais <unk> <unk> mais <unk> <unk> mais <unk>
As <unk> aprendem a ler o que o amor silencioso <unk> <unk> <unk> <unk> <unk> <unk>
<unk> com olhos <unk> a <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>",1.0
