original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"kasala pour mon kaku ii
mvidi mukulu, l’esprit aîné, avait puni mon kaku d‘une longévité absurde
kaku vieillissait, pourrissait mais ne trépassait pas pour autant
il se targuait d‘être né en 1667, en 1756 ou 1786
une fois, il mourut même pendant trente minutes
et ressuscita comme si de rien n’était
protestataire de la première pluie, beau gosse
du haut de ses trois siècles d‘âge
mon kaku avait le sang frais d‘un jeunot","kasala for my kaku ii
mvidi mukulu, the elder spirit, punished my kaku with an absurdly long life
kaku grew older, he broke down, but did not pass away for all that
he boasted he had been born in 1667, in 1756 or 1786
once, he even died for thirty minutes
and was raised from the dead as if nothing had happened
protester of the first rain, fine looking fellow
from the summit of his three centuries of age
my kaku had the quick blood of a youngster",fr_XX,en_XX,"kasala for my grandpa great
mvidi mukulu, the eldest spirit, had punished my grandpa with an absurd longevity
grandpa was aging, decaying but never passing away
he boasted of being born in 1667, 1756 or 1786
once, he even died for thirty minutes
and resurrected as if nothing had happened
a rebel of the first rain, handsome chap
at the age of three centuries
my grandpa had the fresh blood of a youngster",0
"1
je ne me souviens de rien.
rien.
il y a un avant, noir, vide, silencieux.
après il y a ma tante qui me donne de la purée en imitant l’avion avec la cuillère à soupe.
à partir de l’avion, à partir de la purée, tout est net.
chaque souvenir est là, limpide, pur.
les odeurs des placards, des gens, de la nourriture.
les bruits, les chansons, les comptines, les voix, les rires, tout est là.
les couleurs, les imprimés, les fleurs, les pièces de la maison,
les jouets, le jardin d’enfants, tout.
mais avant ça, rien.
tout noir.","1
i can’t remember anything.
nothing.
there’s a before, dark, empty and silent.
afterwards there’s my aunt feeding me mashed potatoes and
imitating a plane with the tablespoon.
then, from the plane, from the mashed potatoes, everything is clear.
every memory is there, limpid, pure.
the smell of closets, of people, of food.
the sounds, the songs, the nursery rhymes, the voices, the smiles,
everything is there.
the colours, the prints, the flowers, every room of the house, the toys,
the kindergarten, everything.
but before that, nothing.
just darkness.",fr_XX,en_XX,"1
I do not remember a thing.
a thing.
there is a before, dark, empty, silent.
then there is my aunt giving me mashed potatoes imitating an airplane with the soup spoon.
from the airplane, from the mashed potatoes, everything is clear.
each memory is there, limpid, pure.
the smells of the closets, of the people, of the food.
the sounds, the songs, the nursery rhymes, the voices, the laughter, everything is there.
the colors, the patterns, the flowers, the rooms of the house,
the toys, the kindergarten garden, everything.
but before that, nothing.
all black.",0
"a.
en cette journée lézardée de déceptions où le bleu a quitté la mer pour envahir la colline chaînes blindées dans l’amas minuscule minuit avorte le jour laissant la casbah à ses débris. j’en appelle à la mémoire d’alger de ses comptoirs marins aux chars de l’occupation j’en appelle à hassiba à djamila à didouche et à boudiaf aux ancêtres et aux amnésiques aux violeurs de rêves et aux traîtres de toujours j’en appelle à chaque goutte versée à chaque humiliation que jaillisse enfin la baie et qu’elle nous habite qu’elle ouvre nos paupières assommées que se réveillent al anka et les diwans assiégés que s’ouvrent les seuils de nos maisons et que s’élève le chant nouveau. que se lève le tgv expresse, qu’il ramène la brise de tanger et qu’il amorce sa course de tunis à alexandrie et de beyrouth à istanbul. que s’ouvre un jour nouveau et que minuit embaume de jasmin.","a.
on this morning cracked with disappointments when blue has left the sea to invade the hill in a uniformed chain tightening on the diminishing crowds. midnight aborts the day leaving the casbah to its rubbish and fragments. i appeal to the memory of algiers from its seaside bars to the tanks of the occupation, i appeal to hassiba to djamila to didouche and to boudiaf to the ancestors and to the amnesiacs to the rapists of dreams and to the perpetual traitors i appeal to every drop spilled to every humiliation let the bay gush forth at last and let it inhabit us let it open our senseless eyelids let al anka and the besieged diwans awaken let the doorways of our houses open and let a new song arise. let the tgv express awaken, let it bring back the breeze from tanger and let it start a new route from tunis to alexandria and from beirut to istanbul. let a new day open and let midnight be fragrant with jasmine.",fr_XX,en_XX,"On this lizard-skin day of shattered hopes  
where blue has left the sea to invade the hill  
chains armored in the tiny heap  
midnight aborts the day, leaving the casbah to its ruins.  

I call upon the memory of Algiers  
from its seaports to the occupation tanks  
I call upon Hassiba, Djamila, Didouche, and Boudiaf  
upon the ancestors and the amnesiacs  
the dream violators and the eternal traitors  
I call upon every drop shed, every humiliation  
may the bay finally spring forth and dwell within us  
may it open our dazed eyelids  
may Al Anka and the besieged Diwans awaken  
may the thresholds of our homes open  
and may the new song rise.  

Let the high-speed TGV arise  
bringing the breeze of Tangier, starting its journey  
from Tunis to Alexandria, from Beirut to Istanbul.  
Let a new day dawn and midnight be perfumed with jasmine.",0
"'le livre du large et du long' (fragment)
de ses deux mains, il prit de la cendre poussiéreuse,
qu’il versa sur sa tête grise en sanglotant très fort.
-
bonjour et salut
depuis toujours je bougeais pour comprendre
voici parmi les manières de raconter
une
j'étais jeune au départ
je ne connaissais pas ma taille
car je ne connaissais ni bien ni mal ni choses ni rien
car les serpents n'ont pas la connaissance
de la hauteur de la largeur c'est faux
car je n’étais pas serpent mais j’aurais
pu car je remarqu’cent fois +
mille tout est faux mais vrai
les serpents mesurent ce qu'ils trouv avec leurs corps c'est leur manière
d'être en vie et ce fût ma manière
voulant comprendre le monde avec mon corps écoutez-moi
j’aimais mon existence
et je m’agenouillais pour ainsi dire devant ce sentiment
il faudrait le comprendre
j’avais le don de moi sur terre
suppliant donnant détruisant
rendant ordonnant accourant
rencontrant trainant revenant
servant appelant rentrant
protégeant réglant je charbonnais ma
gueule entendant descendant sonnant
ébranlant courant jaillissant décochant
planant écoutant écrivant calculant
j’en ai vu sautillant déplaçant
titubant caressant bondissant parlant
noyant
j’ai reculé frappé flotté
je jure mes têtes mes morts
balançant écrasant vissant vissant dans quoi vissant
j’ai beaucoup mythonné
j’ai mythonné les jours
j’ai mythonné le corps
j’ai mythonné moi-même
sage gai triste en colère
m'ennuyant ayant froid ayant peur ayant mal faisant mal
vitement calmement vivement
je ramassais les os de petites créatures
mortes je calculais
les kilomètres parcourus par des insectes
hérissés de cils courts clairsemés
dans le pourri indéfiniment r’
résisteraient les fibres les nervures des feuilles
réduisant par
cisaille
les résidus en pate dans leurs petits intestins – ces insectes
que j’imaginais
et distribuais mes molécul au hasard par ma langue que je passais sur
les meubles dans la maison et sur les murs
les rues les bancs le métro sur les écharp des gens le peupl
je voulus me répandre
souvent je téléphonais à mes amis pour leur dire – je n'existe pas
mes amis répondaient tu n'existes pas
car je n’avais pas d’amis
au hasard les voix des numéros disaient –qui êtes-vous
je répondais – je n'existe pas ils répondaient – oui
je répondais – et dîtes-mois pourquoi je n'existerais pas
ils répondaient des paroles que je rayais
je les rayais et je rayais les feuilles sur les arbr
que je croisais avec une aiguille
méchante méchante et je classais mes objets par ordre alphabétiqu et
je les détestais
j
me roulant
à l'intérieur de me longtemps
et il n’y eût ni quête ni marais ni grain
ni inférieurs ni supérieurs ni sommet
ni capitale ni troupes ni majesté
ni zguègues ni balance ni millions
ni kichta ni bombes ni jardin ni religion ni cause
pour me calmer
j'imaginais des asticots plus longs que vous et me
dans les zones des aires de la nature
plus étendus que mon père et mes soeurs
ma mère et tous les cousinages des périmètres
il faut me croire à propos de moi je pensais du vide
la route était dure autour de me
ma main ne possédait ni bien ni mal ni rien
chaque matin devenait pire car le matin ne possédait ni rien ni rien
les dimensions deviennent douloureuses
ceci blesse
ceci blesse
comme rien ne ressembl à rien tout ressemble à tout
exactement exactement je me le dis
la membrane entre la lumière et l'oeil
une chose sans forme déformée
je profite de moi comme une sécurité
profitant du vocabulaire
profitant de me comme une sécurité
profitant de me comme un profit
soudain les angles furent des angles et les pointes des pointes
je m’endormis
...","le livre du large et du long (fragment)
he took the powdery ash in both hands,
pouring it over his grey head as he wept.
-
hello and hi there
i always longed to understand
so here amongst the many ways of telling is
one
i was young to begin with
i didn’t know my size
as i didn’t know right or wrong or anything or nothing
as snakes aren’t aware
that height and width is wrong
as i wasn’t a snake but i could
have because i notice a hundred times +
a thousand everything is wrong but right
snakes measure whatever they find with their bodies it’s their way of
being alive and that was my way
wanting to understand the world with my body listen to me
i loved my existence
and i bowed down so to speak before that feeling
you must understand
i had the gift of myself on earth
begging giving destroying
submitting ordering rushing
finding dragging returning
serving calling coming back
protecting resolving i blackened my
mouth hearing descending resounding
shaking running spurting shooting
gliding listening writing calculating
i saw some bouncing shifting
staggering stroking leaping speaking
drowning
i retreated struck flustered
i swear on my life my death
swinging crushing screwing screwing in what screwing
i bullshitted a lot
i bullshitted days
i bullshitted bodies
i bullshitted myself
good joyful sad angry
getting bored being cold being afraid being hurt hurting
quickly calmly deeply
i collected the bones of little
dead creatures i calculated
the kilometres covered by insects
bristling with short thin lashes
in the indefinitely rotten air
the leaf’s fibres its veins will resist
reduction by
shears
the pasty residue in their small intestines – these insects
that i imagined
and randomly disbursed my molecules with my tongue which i passed over the furniture in the house and over the walls
the streets the benches the metro on people’s scarves the people
i wanted to spread myself around
i often called my friends to tell them - i don’t exist
my friends responded you don’t exist
as i didn’t have any friends
the random voices dialled said – who are you
i replied – i don’t exist they replied – yes
i replied – and tell me why i don’t exist
they replied with the words that i scratched out
i scratched them out and i scratched the leaves onto the trees
that i crossed with a needle
naughty naughty and i arranged my objects in alphabetical order and
i hated them
i
turning myself
within iself for a long time
and there was no quest or marsh or grain
no lowers or uppers or summit
or capital or troops or majesty
or dicks or account or millions
no coin or bombs or garden or religion or cause
to calm myself
i imagined maggots longer than you or i
in the airy parts of nature
stretchier than my father and my sisters
my mother and all the distant cousins
believe me when i say i thought of emptiness
the road was hard around me
my hand held no right or wrong or anything
every morning got worse because the morning didn’t hold a thing not a thing
dimensions become painful
that hurts
that hurts
as nothing looks like anything everything looks like everything
exactly exactly i tell myself
the membrane between light and eye
a deformed formless thing
i enjoy myself as a safety
enjoying vocabulary
enjoying i as a safety
enjoying i as an enjoyment
suddenly angles were angles and points were points
i fell asleep",fr_XX,en_XX,"'the book of the vast and the long' (fragment)
with his two hands, he took the dusty ash,
that he poured on his gray head while sobbing very hard.
-
hello and greetings
since always I moved to understand
here among the ways of telling
one
I was young at the beginning
I didn't know my size
for I knew neither good nor bad nor things nor nothing
for snakes do not have knowledge
of height of width it's false
for I was not a snake but I could have been
because I noticed a hundred times more
a thousand everything is false but true
snakes measure what they find with their bodies it's their way
of being alive and that was my way
wanting to understand the world with my body listen to me
I loved my existence
and I knelt before that feeling
it must be understood
I had the gift of myself on earth
pleading giving destroying
returning commanding rushing
meeting dragging returning
serving calling entering
protecting settling I blackened my
mouth hearing descending ringing
shaking running bursting shooting
hovering listening writing calculating
I have seen hopping moving
stumbling caressing leaping speaking
drowning
I stepped back struck floated
I swear my heads my deaths
swinging crushing screwing screwing into what screwing
I have mythologized a lot
I mythologized the days
I mythologized the body
I mythologized myself
wise happy sad angry
bored cold afraid in pain causing pain
quickly calmly eagerly
I collected the bones of small creatures
dead I calculated
the kilometers traveled by insects
bristling with short sparse lashes
in the rot indefinitely r '
resist the fibers the veins of the leaves
reducing by
shears
the residues into paste in their small intestines - these insects
that I imagined
and I distributed my molecules randomly with my tongue that I passed over
the furniture in the house and on the walls
the streets the benches the subway on people's scarves the people
I wanted to spread myself
often I would call my friends to tell them - I do not exist
my friends would reply you do not exist
because I had no friends
randomly the voices of the numbers would say - who are you
I would reply - I do not exist they would reply - yes
I would reply - and tell me why I would not exist
they would reply with words that I scratched out
I scratched them out and I scratched out the leaves on the tre
that I crossed with a needle
mean mean and I classified my items alphabetically and
I hated them
r
rolling
inside me for a long time
and there was no quest no marsh no grain
no inferiors no superiors no summit
no capital no troops no majesty
no zguègues no balance no millions
no kichta no bombs no garden no religion no cause
to calm me down
I imagined maggots longer than you and me
in the zones of nature's areas
larger than my father and my sisters
my mother and all the perimeters of cousinships
you must believe me about me I thought of void
the road was tough around me
my hand possessed neither good nor bad nor nothing
each morning got worse as the morning possessed neither nothing nor nothing
the dimensions become painful
this hurts
this hurts
as nothing resembles nothing everything resembles everything
exactly exactly I tell myself
the membrane between light and eye
a shapeless deformed thing
I take advantage of myself as security
taking advantage of the vocabulary
taking advantage of myself as security
taking advantage of myself as profit
suddenly the angles were angles and the tips were tips
I fell asleep
...",0
"trains
le paysage défile comme un jackson pollock, vaches en pointillés, nuages étirés, taches tournesols et rails déformés. la fenêtre froide se colle à mon oreille et j’entends tatactater la bête humaine.
tatactatoum, tatactatoum, tatactatoum.
je ne suis pas eva marie saint, je n’ai ni la mort aux trousses ni les baisers de cary grant. il n’y a derrière la vitre que ces paysages de cartes postales, cette campagne d’avant-guerre, ces empreintes ferroviaires : une vache, un château, une église, un âne, une vieille mobylette ou un train à la retraite, de l’herbe à perte de vue, des champs de coquelicots, un village suspendu, la dame-blanche, un mouton ou peut-être une chèvre, un autre coquelicot, une jupe en corolle, une canette de soda, un plastique, une poubelle, un néon, un flash.
tatactatoum, tatactatoum, tatactatoum.
je ne suis pas celia johnson dans brève rencontre à attendre jeudi prochain, jeudi prochain, jeudi prochain, les amours interdites dans un petit café. il n’y a derrière la glace que d’amers paysages qui se répètent et défilent et reviennent et repassent et tournent et recommencent et les vaches se ressemblent et la neige dissimule les pas des loups, des ogres et des sorcières.
tatactatoum, tatactatoum, tatactatoum.
je ne suis pas marilyn monroe dans certains l’aiment chaud. il n’y a devant mes yeux que d’immenses pâtis, rocailles et herbes folles que les cornes ébahies ruminent méthodiquement.
tatactatoum, tatactatoum, tatactatoum.
défilent les kilomètres, le nord est encore loin. cent-cinq virgule huit, nous arriverons demain.","trains
scenes unravel like a jackson pollock, cow dots, stretched clouds, sunflower patches and deformed tracks. the cold window sticks to my ear and i can hear the tactactac of the human beast.
tatactatum, tatactatum, tatactatum.
i am not eva marie saint, i am not going north by northwest and cary grant is not kissing me. all i can see behind these glass panes are picture postcard scenes, pre-war countryside, railway prints: a cow, a castle, a church, a donkey, an old motorcycle or a disused train, grass as far as the eye can see, poppy fields, a village on the hills, the white lady, a sheep or maybe a goat, a single poppy, a flared skirt, a can of a fizzy drink, a piece of plastic, a bin, a neon light, a flash.
tatactatum, tatactatum, tatactatum.
i am not celia johnson in brief encounter waiting for next thursday, next thursday, next thursday’s forbidden loves in a little café. all i can see behind this window pane are bitter landscapes going round and round and on and on and cows look like cows and the snow hides every trace of wolf, ogre and witch.
tatactatum, tatactatum, tatactatum.
i am not marilyn monroe in some like it hot. all i can see are immense mounds, rock gardens and weeds which astonished horns methodically ruminate.
tatactatum, tatactatum, tatactatum.
the kilometres add up, the north is still a long way away. a hundred and five point eight, we’ll get there tomorrow.",fr_XX,en_XX,"trains
the landscape rolls by like a jackson pollock, cows in dots, stretched clouds, sunflower stains and warped rails. the cold window sticks to my ear and I hear the human beast click-clacking.
click-clack, click-clack, click-clack.
I am not eva marie saint, I have neither death on my heels nor kisses from cary grant. behind the glass there are only these postcard landscapes, this pre-war countryside, these railway imprints: a cow, a castle, a church, a donkey, an old moped or a retired train, grass as far as the eye can see, fields of poppies, a suspended village, the white lady, a sheep or maybe a goat, another poppy, a bell-shaped skirt, a soda can, a plastic, a trash can, a neon light, a flash.
click-clack, click-clack, click-clack.
I am not celia johnson in brief encounter waiting for next thursday, next thursday, next thursday, forbidden loves in a small café. behind the glass there are only bitter landscapes that repeat and roll by and come back and pass again and turn and start over and the cows look alike and the snow covers the steps of wolves, ogres and witches.
click-clack, click-clack, click-clack.
I am not marilyn monroe in some like it hot. in front of my eyes there are only immense pastures, rocks and wild grass that the astonished horns methodically ruminate.
click-clack, click-clack, click-clack.
miles go by, the north is still far. one hundred and five point eight, we will arrive tomorrow.",0
"tu n’as pas abandonné la maison
c’est la maison qui t’a abandonné
ton pays
les bâtisses de ton enfance
ton village
ce bleu particulier
aux dernières heures du printemps
la terre de tes ancêtres
si tu t’en souviens
les cailloux placés là
qu’on replace
sans trop savoir pourquoi
et qui apaisent
qui rassurent nos regards pressés
cet arbre solitaire
au sommet de la colline
que tu n’as pas foulée de tes pieds
***
tu as habité le sol
sous tes orteils
nul ne prévoit
quand commence le voyage
quand il est temps de quitter
la colline
de cheminer
vers la montagne des autres
nul ne prévoit
où se dessinent les lignes
qui te séparent
de la géographie des autres
de leurs ombres
tu as habité
de tout ton être
la ligne
à traverser
***
quand on cherche
c’est avec les mains
qu’on observe
avec le corps ouvert
abandonné
à la montagne
c’est dans le mouvement
que s’enracine
la mémoire
dans le mouvement
que s’habite la courbe
ta maison abandonne
qui l’abandonne
s’émiette sur qui veut
rouiller son souffle
ta maison c’est là où tu transportes
ton enfance.","‘you didn’t leave home’
you didn’t leave home
your home left you
your country
the buildings of your childhood
your village
that special blue
of the last hours of spring
land of your ancestors
if you remembered those
pebbles placed just so
and put back
without quite knowing why
that assuage
that reassure our hurried glances
that solitary tree
on a hilltop
where you never set foot
***
you inhabited the ground
under your toes
no one foresees
when the journey will begin
when it’s time to leave
the hill
make your way
toward their mountain, the others
no one foresees
where the lines will be drawn
that separate you
from the others’ geography
from their shadows
you inhabited
with all your being
the line
to be crossed
***
whoever searches
observes
with his hands
with the body open
and abandoned
on the mountain
it’s in movement
that memory
takes root
in movement
that the curve is at home
your house abandons
whoever abandoned it
crumbles on whoever
would rust its breath
your house is wherever you carry
your childhood",fr_XX,en_XX,"You did not abandon the house
it's the house that abandoned you
your country
the buildings of your childhood
your village
that particular blue
in the last hours of spring
the land of your ancestors
if you remember it
the stones placed there
that are replaced
without knowing quite why
and that soothe
that reassure our hurried glances
that solitary tree
at the top of the hill
that you did not tread with your feet

***
you inhabited the ground
beneath your toes
no one predicts
when the journey begins
when it's time to leave
the hill
to walk
towards others' mountain
no one predicts
where the lines are drawn
that separate you
from the geography of others
from their shadows
you inhabited
with all your being
the line
to cross

***
when one searches
it is with the hands
that one observes
with the body open
abandoned
to the mountain
it is in the movement
that memory takes root
in the movement
that the curve is inhabited
your abandoned house
abandons who abandons it
crumbles on whoever wants
to rust their breath
your house is where you carry
your childhood.",0
"ce que j’aime de jésus
ce sont ses pieds délavés
et ceux de ses compagnons
- treize auréoles -
sur les icones abandonnées
du petit mont athos bulgare
je ne parle pas du figuier
- le figuier que jésus illumine –
ni de la roche en cascade
- ça ressemble plus au grand canyon
qu’à la galilée –
ces pieds finement délavés de jésus
me font penser aux peintures rupestres
du tassili
il n’y a aucun pied aussi finement
tracé sur les roches du hoggar
ce sont des silhouettes longilignes
suspendues
exactement comme le christ
suspendues figées et dynamiques à la fois
c’est un éclair
une allusion dénuée de logique
en apparence
on trouve ce qu’on trouve
surtout si c’est autre chose qu’on observe
ce que j’aime de l’astrophysicien
ce sont ses pressentiments
quand il dit peut-être
quand il dit que la statistique
a altéré la physique
l’a figée
vidée
désincarnée
quand il dit que la matière
n’est pas matière
que le temps et l’espace
sont hérésie
que nous autres humains
nous prenons trop au sérieux
à nous croire fragiles
à nous inventer puissants
que nous inventons des repères
que nous oublions les avoir inventés
qu’il faut lever le contrôle
quand il dit peut-être
rendre son âme à ton doute","what i like about jesus
what i like about jesus
are his faded feet
and those of his companions
-- thirteen haloes –
on the abandoned icons
of the small bulgarian mount athos
i’m not talking about the fig tree
-- the fig tree jesus illuminates—
nor of the cascade of rocks
-- more like the grand canyon than galilee—
jesus’ delicately faded feet
made me think of the rock paintings
of tassili
there is no foot as finely
traced on hoggar’s boulders
they are long slender figures
suspended
exactly like the christ
suspended fixed and dynamic at once
it’s a lightning bolt
an allusion stripped of logic
or so it seems
you find what you find
above all when it’s different from what you see
what i like about the astrophysicist
are his premonitions
when he says perhaps
when he says that statistics
have altered physics
fixed it in place
emptied
disembodied
when he says that matter
isn’t matter
that time and space
are heresy
that we humans
take ourselves too seriously
thinking ourselves fragile
inventing ourselves powerful
that we invent landmarks
that we forget having invented them
that we must relinquish control
when he says perhaps
give your doubt back its soul",fr_XX,en_XX,"What I love about Jesus
are his feet, washed out
and those of his companions
- thirteen halos -
on the abandoned icons
of the little Bulgarian Athos mountain
I do not speak of the fig tree
- the fig tree that Jesus illuminates –
nor of the cascading rock
- it resembles more the grand canyon
than Galilee –
these finely washed out feet of Jesus
remind me of the rock paintings
of Tassili
there is no foot as finely
etched on the rocks of Hoggar
they are slender silhouettes
suspended
exactly like Christ
suspended frozen and dynamic at once
it's a flash
an illogical allusion
on the surface
we find what we find
especially if it's something else we observe
what I love about the astrophysicist
are his intuitions
when he says perhaps
when he says that statistics
altered physics
froze it
emptied it
disembodied it
when he says that matter
is not matter
that time and space
are heresy
that us humans
take ourselves too seriously
believing ourselves fragile
inventing ourselves powerful
that we invent points of reference
forgetting we invented them
that we need to let go of control
when he says perhaps
surrender your soul to your doubt",0
"4
et puis il y a toutes les fois où il n’est pas là.
pas là quand j’ai perdu ma première dent,
pas là quand je suis entrée à l’école,
pas là quand je me suis pris une balançoire sur la tête,
pas là quand j’ai fait pipi au lit,
pas là quand j’ai dessiné un bonhomme avec dix doigts à chaque main,
pas là quand j’ai fait du vélo sans les roulettes,
pas là quand j’ai eu mon appareil dentaire,
pas là quand j’ai embrassé un garçon pour la première fois,
pas là quand j’ai eu de la fièvre,
pas là quand j’ai eu une mauvaise note en mathématiques,
un vingt sur vingt en italien, une heure de colle,
pas là quand j’ai voulu passer le permis,
pas là quand j’ai fui la maison dans la nuit,
pas là quand je suis allée en boîte,
pas là quand je suis rentrée trop tard,
pas là quand tout est rentré dans l’ordre,
pas là quand ma fille est née,
pas là quand j’ai rencontré mon homme,
pas là.","4
and then there’s all the times he was not there.
not there when i lost my first tooth,
not there when i started school,
not there when i got a swing in the head,
not there when i wet my bed,
not there when i drew a man with ten fingers on each hand,
not there when i rode the bike without the training wheels,
not there when i got my dental braces,
not there when i kissed a boy for the first time,
not there when i had a fever,
not there when i had a low grade in mathematics,
a ten out of ten in italian, one hour in detention,
not there when i tried to pass the driving test,
not there when i ran away from home in the middle of the night,
not there when i went to the disco,
not there when i came home too late,
not there when everything went back to normal,
not there when my daughter was born,
not there when i met my man,
not there.",fr_XX,en_XX,"And then there are all the times when he's not there.
Not there when I lost my first tooth,
Not there when I entered school,
Not there when I got hit in the head by a swing,
Not there when I wet the bed,
Not there when I drew a stick figure with ten fingers on each hand,
Not there when I rode a bike without training wheels,
Not there when I got braces,
Not there when I kissed a boy for the first time,
Not there when I had a fever,
Not there when I got a bad grade in math,
A perfect score in Italian, an hour of detention,
Not there when I wanted to get my driver's license,
Not there when I ran away from home in the night,
Not there when I went to a club,
Not there when I came home too late,
Not there when everything fell into place,
Not there when my daughter was born,
Not there when I met my man,
Not there.",0
"dans le jardin de rocaille
un homme muet danse
on ne sait l’oraison funèbre
un homme sourd dit-ton
sème des pas d’abondance
et des cercles solaires
il n’est pas né pour entendre
la déflagration du monde
y a-t-il un lieu échoué
sur une crête oubliée
où les nouvelles ne parviendraient pas
où les nouvelles ne se supposeraient pas
où les nouvelles ne se sentiraient pas
y a-t-il une brèche de temps
qui n’attende pas
de figer nos regards
sur les écrans asphyxiés ?
y a-t-il des yeux en ce monde
des oreilles en ce monde
qui soient nés
pour accueillir
en leurs âmes
l’obscénité
l’obscénité
l’obscénité
l’obscénité
l’obscénité
et s’en détourner
et ne pas s’en détourner ?","in the rock garden
in the rock garden
a mute man dances
we don’t know what funeral oration
they say a deaf man
sows steps of abundance
and solar circles
he was not born to hear
the world exploding
is there a place washed up
on a forgotten ridge
where the news wouldn’t arrive
where the news wouldn’t be implied
where the news wouldn’t be felt
is there a breech in time
that isn’t waiting
to fix our gaze
on suffocated screens
are there eyes in this world
ears in this world
that were born
to welcome
into their souls
obscenity
obscenity
obscenity
obscenity
obscenity
and turn away
and not turn away?",fr_XX,en_XX,"in the rocky garden's dance
a silent man moves with grace
funereal prayers one cannot trace
a deaf man, they say, in trance
scatters footsteps of abundance
and solar circles in the air
he wasn't born to hear the loud
world's explosion, nor its blare
is there a place forgotten
on a crest where news won't spread
where news won't be assumed
where news won't be felt
is there a time's fissure
that won't wait
to freeze our gazes
on suffocated screens?
are there eyes in this world
ears in this world
that were born
to embrace
in their souls
obscenity
obscenity
obscenity
obscenity
obscenity
and turn away
and not turn away?",0
"il y a sur nos têtes une ombre verticale qui vibre
une ombre qui claque sur nos têtes
un sifflement clandestin
dans la plaine aride sur nos têtes
encombrées
et pendant que ça siffle que rien ne prévoit que ça siffle
que nos crânes bourdonnent
c’est un toit en béton qui accueille nos humeurs
nos flancs téméraires sur la plate-forme de fortune
la constellation larguée
dans le brouillard des sens
tu n’as pas abandonné l’épave poussiéreuse
des ombres verticales courent à lisière de dunes
tes yeux emmaillotés derrière la glace concave
protection anti uv non garantie
des touches noires à lisière de dunes
un solfège sans bruit
tu n’as pas abandonné l’épave poussiéreuse
une ombre verticale plantée dans la plaine aride
que tu irrigues de promesses
l’organe métallique qui vibre à lisière de poumon
sur la plate-forme de béton
où les musiques s’entrechoquent
protection non garantie
pour un totem de fortune.","from \'six makeshift trees around my bathtub \'
above our heads a vertical shadow vibrates
a shadow that flaps above our heads
a clandestine whistling
on the arid plain above our overloaded
heads
and while there’s that whistling that unanticipated whistling
as our buzzing skulls
a cement roof accommodates our moods
our reckless hipbones on the makeshift platform
the constellation set adrift
in the fog of the senses
you have not abandoned the dusty wreckage
vertical shadows race at the dunes’ edge
your eyes bandaged behind concave ice
anti-uv protection not guaranteed
a piano’s black keys
at the dunes’ edge
a scale that makes no sound
you have not abandoned the dusty wreckage
a vertical shadow planted on the arid plain
that you water with promises
the metallic organ that vibrates
at the edge of a lung
on the cement platform
where the musics clash
protection not guaranteed
for a makeshift totem.",fr_XX,en_XX,"Upon our heads a vertical shadow quivers,
A shadow that claps upon our heads,
A clandestine whistle
In the arid plain above our heads
Cluttered
And while it whistles, unforeseen, that it whistles,
That our skulls hum,
It's a concrete roof that welcomes our moods,
Our daring sides on the makeshift platform,
The constellation cast adrift
In the fog of senses,
You didn't abandon the dusty wreck
Vertical shadows running along the dune's edge,
Your eyes wrapped behind concave glass,
UV protection not guaranteed,
Black keys on the dune's edge,
A silent solfeggio,
You didn't abandon the dusty wreck
A vertical shadow planted in the arid plain
That you irrigate with promises,
The metallic organ vibrating at the lung's edge
On the concrete platform
Where musics collide,
Protection not guaranteed
For a totem of fortune.",0
