original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"la vierge de miséricorde
tout, maintenant,
bien au chaud
sous ton manteau léger,
presque rien que de brume et de broderie,
madone de miséricorde de la neige.
contre ton corps
dorment, nus,
les êtres et les choses, et tes doigts
voilent de leur clarté ces paupières closes.","the virgin of mercy
all, now,
nice and warm
under your light cloak,
almost nothing but mist and embroidery,
madonna of mercy of the snow.
against your body
beings and things
sleep, naked, and your fingers
shade those closed eyelids from their light.",fr_XX,en_XX,"the virgin of mercy
all, now,
snug and warm
beneath your light cloak,
almost nothing but mist and embroidery,
madonna of snow mercy.
against your body
sleep, naked,
beings and things, and your fingers
veil with their brightness those closed eyelids.",2
"juste avant l’aube
je regarde à travers les vitres, et je crois comprendre
qu’il a cessé de neiger. une flaque bleue
s’étend, brillante un peu, devant les arbres,
d’une paroi à l’autre de la nuit.
je sors.
je descends précautionneusement l’escalier de bois
dont les marches sont nivelées par la neige fraîche.
le froid cerne et pénètre mes chevilles,
il semble que l’esprit en soit plus clair,
qui perçoit mieux le silence des choses.
dort-il encore
dans l’enchevêtrement du tas de bois
serré sous la fenêtre,
le chipmunk, notre voisin simple,
ou est-il déjà à errer dans les crissements et le froid?
je vois d’infimes marques devant la porte.","just before dawn
just before dawn
i look through the window, and i think i understand
that it has stopped snowing. a blue puddle
spreads, sparkling a little, in front of the trees,
from one end to the other of the night.
i go out.
i cautiously go down the wooden stairs
where the fresh snow has levelled the steps.
the cold surrounds and penetrates my ankles,
it seems that my mind is clearer because of it,
which perceives better the silence of things.
he is still sleeping
in the confusion of the pile of wood
ricked under the window,
the chipmunk, our simple neighbour,
or is he already roaming in the crunchy cold?
i see tiny marks in front of the door.",fr_XX,en_XX,"Just before dawn
I look through the windows, and I believe I understand
that it has stopped snowing. a blue puddle
extends, shining a bit, in front of the trees,
from one wall to the other of the night.
I step outside.
I carefully descend the wooden staircase
whose steps are smoothed by the fresh snow.
The cold surrounds and penetrates my ankles,
it seems that the mind is clearer,
perceiving better the silence of things.
Is he still sleeping
in the tangle of wood
tightly packed under the window,
the chipmunk, our simple neighbor,
or is he already wandering in the creaks and the cold?
I see tiny marks in front of the door.",2
"l’été encore
j’avance dans la neige, j’ai fermé
les yeux, mais la lumière sait franchir
les paupières poreuses, et je perçois
que dans mes mots c’est encore la neige
qui tourbillonne, se resserre, se déchire.
neige,
lettre que l’on retrouve et que l’on déplie,
et l’encre en a blanchi et dans les signes
la gaucherie de l’esprit est visible
qui ne sait qu’en enchevêtrer les ombres claires.
et on essaye de lire, on ne comprend pas
qui s’intéresse à nous dans la mémoire,
sinon que c’est l’été encore; et que l’on voit
sous les flocons les feuilles, et la chaleur
monter du sol absent comme une brume.","summer again
i go through the snow. i closed
my eyes, but the light can still get through
my porous eyelids, and i perceive
that in my words it’s still the snow
that swirls, thickens, bursts.
snow,
a letter that we find and unfold,
and the ink on it has faded and in the marks
the clumsiness of the wit is visible
which can only muddle up its sharp shadows.
and we try to read, we don’t understand
who is interested in us in memory,
except that it’s summer again; and we see
under the flakes the leaves, and the heat
rise from the missing sun like a mist.",fr_XX,en_XX,"Summer still
I move through the snow, I have closed
my eyes, but the light knows how to pass
through the porous eyelids, and I perceive
that in my words it is still the snow
whirling, tightening, tearing apart.
snow,
letter that is found and unfolded,
and the ink has whitened it, and in the signs
the awkwardness of the mind is visible
which only knows how to entangle the clear shadows.
and we try to read, we do not understand
who cares about us in memory,
except that it is still summer; and we see
under the flakes the leaves, and the warmth
rising from the absent ground like a haze.",2
"ville-perce-neige
j’ai voulu
penser des villes perce-neige,
des villes percées-de-neige
pour tes doigts.
j’ai voulu penser
des villes blanches, des villes de neige,
pour ces quelques tiges – en givre - sur tes doigts
au lieu des sourires qui restent clos.
j’ai voulu
penser des aurores blanches, prisonnières des neiges.
sans cure.
et des pluies, des pluies, des pluies,
lentes, sans prévenance, trempées d’or,
pluies de neige
comme tes rôles, tes visages sans faille, appris par cœur
te quittent, te trahissent, te défont chaque jour dans le silence terrible des salles, sans épilogue.
– j’ai voulu ne rien dire.
j’ai voulu penser des villes prisonnières
de ces quelques mots brodés de neiges, qui s’égarent.
j’ai voulu me taire,
me tenir ici - être loin,
dans le corps d’étés suspendus,
– pour tes étés qui m’inhabitent.
j’ai voulu penser des aurores blanches, leur cœur - rouge - de neige,
j’ai voulu penser ta fureur - blanche – sur les sauterelles des ciels qui se déchirent, des ciels qui se quittent, se vident.
et des pluies, des pluies, des pluies rouges
de neige
comme les villes se brodent et se débrodent, s’élèvent s’effondrent,
les villes blanches, les villes flottantes, les villes profondes, les villes qui n’existent pas
au pied des tours hautes et rouges de tes rages d’orage qui sentent la groseille.
j’ai voulu plonger mes doigts ; ne rien retenir.
j’ai voulu penser des lunes
des lunes blessées, des lunes percées, des lunes-perce-neige,
des lunes de sang
pour tes nuits qui quittent les visages, les mains et les terres, pour tes nuits désertes et ocres.
j’ai voulu croire aux soleils d’encre pour couronner tes fuites.
j’ai voulu boire les soleils; être froid, en veille.
j’ai voulu cracher les lunes: brûler froid.
j’ai voulu ensorceler
les jardins aux joies ocres et sans refuge,
les jardins suspendus de tes joies et
accrocher des oiseaux – oiseaux d’argent – et des lunes taillés d’or aux branches des sommeils pourpres.
j’ai voulu penser les salles,
les salles endormies sur les sauterelles d’or, les salles où tes pas se réveillent,
etre là; me tenir loin.
regarder, ne rien voir.
ecouter; ne rien entendre.
plonger mes doigts; détremper.
toucher; ne rien retenir
de tes chants qui chancellent, s’enlisent
dans les tours hautes et rouges d’orage.
prier aux aubes blanches, aux aubes prisonnières, aux aubes de neige
pour les oiseaux de ta rage.
j’ai voulu être là; ne rien habiter.
j’ai voulu ne pas t’habiter.
vider les grappes du froid, les rochers d’astres, dans les corps qui crissent de tes mots
ecouter, ne rien entendre.
regarder, ne rien voir
etre là, être loin.
j’ai voulu penser des villes blanches, des villes profondes, des villes prisonnières,
j’ai voulu penser des villes-perce-neige, des villes-percées-de-neige, des villes de veilles sans refuge,
j’ai voulu
etre là ; ne rien habiter
sourire aux sourires qu’on t’offrirait un jour.","snowdrop city
i wanted
to think of snowdrop cities,
of cities dropping with snow
for your fingers.
i wanted to think
about white cities, about snow cities,
for these few stems – in frost – on your fingers
instead of smiles that stay closed.
i wanted
to think about white dawns, prisoners of the snows.
carefree.
and about rains, rains, rains,
slow, without consideration, drenched with gold,
rains of snow
like your roles, your flawless faces, learned by heart
leave you, betray you, undo you each day in the terrible silence of the rooms without a conclusion.
‘i wanted to say nothing.’
i wanted to think about prisoner cities
about those few words embroidered with snow, which
wander from the point.
i wanted to be quiet,
to be here – to be far,
in a body of suspended summers –
for your summers which live in me.
i wanted to think of white dawns, their heart – red – of snow,
i wanted to think your fury – white – on the grasshoppers of the breaking skies, of the skies that depart, that empty.
and of rains, rains, red rains
of snow
as the cities are embellished and are unembellished, rise, fall,
the white cities, the floating cities, the deep cities, the cities that don’t exist at the foot of the high red towers of your stormy rages that smell of red currants.
i wanted to plunge my fingers; to hold back nothing.
i wanted to think about moons
of wounded moons, of dropped moons, of snowdrop moons,
of moons of blood
for your nights that desert the faces, the hands and the lands, for your ochre and deserted nights.
i wanted to believe in suns of ink to crown your escapes.
i wanted to drink the suns; to be cold, wakeful.
i wanted to spit the moons: to burn cold.
i wanted to bewitch
the gardens of ochre joys and without refuge,
the hanging gardens of your joys and
to attract birds – silver birds – and moons carved of branched gold
of purple sleep.
i wanted to think the rooms,
the rooms asleep on the golden grasshoppers, the rooms where your footsteps awake,
to be there; to be far away.
to look, to see nothing.
to listen; to hear nothing.
to plunge my fingers; to soak.
to touch; to hold back nothing
of your songs that falter, sink.
in the high, red towers of storm.
to pray to the white dawns, to the prisoner dawns, to the dawns of snow
for the birds of your rage.
i wanted to be there; to dwell nowhere.
i wanted not to live in you.
to empty the clusters of the cold, the rocks of stars, in the bodies that grind your words
to listen, to hear nothing.
to look, to see nothing
to be there, to be far away.
i wanted to think of white cities, of deep cities, of prisoner cities,
i wanted to think of snowdrop cities, of cities dropping with snow, of cities of waking without refuge,
i wanted
to be there, to dwell nowhere
to smile at the smiles that you would be given one day.",fr_XX,en_XX,"snow-piercing city
I wanted
to think of snow-piercing cities,
cities pierced by snow
for your fingers.
I wanted to think
of white cities, snow cities,
for these few stems - frosted - on your fingers
instead of the closed smiles.
I wanted
to think of white dawns, imprisoned by snow.
without care.
and rains, rains, rains,
slow, unexpected, soaked in gold,
snow rains
like your roles, your flawless faces, learned by heart
leave you, betray you, undo you every day in the terrible silence of the rooms, without conclusion.
– I wanted to say nothing.
I wanted to think of cities imprisoned
by these few words embroidered with snow, wandering.
I wanted to be silent,
to stand here - to be far away,
in the bodies of suspended summers,
– for your summers that inhabit me.
I wanted to think of white dawns, their heart - red - of snow,
I wanted to think of your fury - white - on the grasshoppers of the tearing skies, of the skies that part, empty.
and rains, rains, red rains
of snow
as the cities embroider and unravel, rise and fall,
the white cities, the floating cities, the deep cities, the cities that do not exist
at the foot of the high and red towers of your storms that smell of currant.
I wanted to plunge my fingers; to hold onto nothing.
I wanted to think of moons
wounded moons, pierced moons, snow-piercing moons,
blood moons
for your nights that leave faces, hands and lands, for your deserted and ocher nights.
I wanted to believe in ink suns to crown your escapes.
I wanted to drink the suns; to be cold, vigilant.
I wanted to spit out the moons: burn cold.
I wanted to bewitch
the gardens with ocher and shelterless joys,
the suspended gardens of your joys and
hang birds - silver birds - and moons carved in gold on the branches of crimson sleeps.
I wanted to think of the rooms,
the rooms asleep on the golden grasshoppers, the rooms where your steps awaken,
to be there; to stand far away.
look, see nothing.
listen; hear nothing.
plunge my fingers; soak.
touch; hold onto nothing
of your songs that waver, get stuck
in the high and red storm towers.
pray at white dawns, imprisoned dawns, snow dawns
for the birds of your rage.
I wanted to be there; not inhabit anything.
I wanted not to inhabit you.
empty the clusters of cold, the rocks of stars, in the bodies that creak with your words
listen, hear nothing.
look, see nothing
be there, be far away.
I wanted to think of white cities, deep cities, imprisoned cities,
I wanted to think of snow-piercing cities, snow-pierced cities, cities of sleep without shelter,
I wanted
to be there; not inhabit anything
smile at the smiles that would be offered to you one day.",2
"le peu d’eau
à ce flocon
qui sur ma main se pose, j’ai désir
d’assurer l’éternel
en faisant de ma vie, de ma chaleur,
de mon passé, de ces jours d’à présent,
un instant simplement: cet instant-ci, sans bornes.
mais déjà il n’est plus
qu’un peu d’eau, qui se perd
dans la brume des corps qui vont dans la neige.","the little bit of water
this snowflake
that alights on my hand, i wish
to fix it as eternal
in making of my life, my heat,
my past, these present days,
simply a moment, this very moment, limitless.
but already it is only
a little bit of water getting lost
in the mist of the flakes going into the snow.",fr_XX,en_XX,"the little water
to this snowflake
that lands on my hand, I desire
to ensure the eternal
by making of my life, of my warmth,
of my past, of these days of now,
a moment simply: this moment here, boundless.
but already it is no longer
more than a little water, lost
in the mist of bodies moving through the snow.",2
"le jardin
il neige.
sous les flocons la porte
ouvre enfin au jardin
de plus que le monde.
j’avance. mais se prend
mon écharpe à du fer
rouillé, et se déchire
en moi l’étoffe du songe.","the garden
it’s snowing.
under the snowflakes the gate
finally opens to the garden
of more than the world.
i go forward. but my scarf
gets caught on rusty
iron and tears
in me the fabric of the dream.",fr_XX,en_XX,"the garden
it snows.
under the flakes the door
finally opens to the garden
beyond the world.
I move forward. but my scarf
gets caught on rusted iron,
and the fabric of the dream tears
within me.",2
"on dirait beaucoup d’e muets dans une phrase.
on sent qu’on ne leur doit
que des ombres de métaphores.
on dirait,
dès qu’il neige plus dru,
de ces mains qui repoussent d’autres mains
mais jouent avec les doigts qu’elles refusent.","it sounds like a lot of silent e’s in a sentence
it sounds like a lot of silent e’s in a sentence.
one feels that one owes them
only shadows of metaphors.
it’s like,
as soon as it is snowing more heavily,
these hands that push away other hands
but play with the fingers they have rejected.",fr_XX,en_XX,"It seems like many silent e's in a sentence.
It feels like we owe them
only shadows of metaphors.
It seems,
as soon as the snow falls less thickly,
of those hands pushing away other hands
but playing with the fingers they reject.",2
"la grande neige
première neige tôt ce matin. l’ocre, le vert
se réfugient sous les arbres.
seconde, vers midi. ne demeure
de la couleur
que les aiguilles de pins
qui tombent elles aussi plus dru parfois que la neige.
puis, vers le soir,
le fléau de la lumière s’immobilise.
les ombres et les rêves ont même poids.
un peu de vent
écrit du bout du pied un mot hors du monde.","the big snow
first snow early this morning. the ochre, the green
take refuge under the trees.
second, around noon. no colour
remains
except the pine needles
that sometimes fall thicker than the snow.
then toward evening,
the curse of the light comes to an end.
shadows and dreams have the same weight.
a little wind
writes with the tip of its toe a word outside the world.",fr_XX,en_XX,"the grand snowfall
first snow early this morning. the ochre, the green
seek refuge under the trees.
second, around noon. nothing remains
of color
except for the pine needles
which fall sometimes more densely than the snow.
then, towards evening,
the scourge of light stands still.
shadows and dreams carry equal weight.
a bit of wind
writes with the tip of its foot a word beyond the world.",2
"le moulin
je suis le point unique, la leçon
d’un paysage où se joignent, le soir,
rivière, église et vieux moulin :
le clocher monte, l’arbre tient,
la roue travaille, et l’eau grise
s’en va sous le vent d’hiver,
laissant passer, entre chaque aube,
de quoi moudre le grain, scier
les planches des cercueils, et faire
rêver l’oisif, dans ce roulement calme
qui continue à fabriquer de l’énergie
avec le temps qui reste à la matière
quand les hommes ont fini de crier
sur le manteau doux de la neige.","the mill
i am the single point, the lesson
in a landscape where evening links
a stream, a church, and an old mill:
the bell tower rises, the tree stands fast,
the wheel works, and gray water
flows away beneath the winter wind,
letting enough pass, from dawn to dawn
to grind grain, to saw
coffin planks, to make
idle men dream, in this calm rumbling
which keeps on fabricating energy
in the time that’s left for matter
when mankind has done shouting
over the soft cloak of snow.",fr_XX,en_XX,"the mill
I am the single point, the lesson
of a landscape where come together, at evening,
river, church, and old mill:
the steeple rises, the tree holds,
the wheel works, and the gray water
flows under the winter wind,
letting through, between each dawn,
enough to grind the grain, saw
the planks for coffins, and make
the dreamer dream, in this gentle rumble
that continues to produce energy
with the time that remains for matter
when men have finished shouting
on the soft cloak of snow.",2
"neige
hiver descend de la neige.
masse de neige antique.
elle est réchauffée lentement.
c’est un blanc froid.
avec les terribilités.
une beauté à distance.
dehors, bois de chauffage
que demande la vie dedans.
luge porte le bois.
actionnée.
loisir polit
bouton de rose
ou double surface dans le jeu,
et le pont du souvenir
de silences d’enfance.
futur jouet est courbé.
l’impossibilité jouet.
il avance dans des rudesses.
vers maison.
joujou du pauvre
au pays de la neige constante.
durabilité de la neige
demande une critique?
luge porte aliment du feu utile.
avant l’huile de pierre.
matière chauffe matière.
elle éclaire.
bois et fer lugent le bois.
l. est besoin dans vie rude.
froid arrête dehors,
là où continue limpidité
parfois.
un homme fait un feu intermédiaire.
dans l’air sec et dur.
homme enlève de la neige
en chemin.
il critique la neige?
dessous, il y a une clé d’or.
comme sous le champ au printemps?
la serrure est loin dans l’apparence.
c’est une clé seule en hiver.
homme creuse dans de la terre.
il y a une cassette de fer.
montagne miniature.
serrure est dure à voir.
des yeux doivent s’employer.
serrure est discrète d’un côté.
la clé aime le côté.
tour de clé infini
se précise.
rhumain trouve la manière
de tourner la clé.
chercherie en hiver.
été fait oublier la clé?
et le vent sévère?
pronom personnel est dedans.
il est quelqu’un ou la clé?
conte est la serrure infinie
maintenant.
d’où son entretien.
d’après ‘la clef d’or’","snow
winter comes down from the snow.
mass of ancient snow.
slowly warmed up.
it is a white cold.
with its frighteningness.
beauty at a distance.
outside, kindling wood
demanding the life inside.
sledge carries the wood.
operated.
leisure polishes
rose bud
or double surface of the game,
and the bridge of memory
of childhood silences.
future toy is rounded.
the impossibility toy.
it plunges into the harshness.
towards house.
poor man’s toy
in the land of constant snow.
does lastingness of snow
deserve commentary?
sledge bears useful fire fuel.
before stoneware lamp.
matter heats matter.
it throws out light.
wood and iron sledge the wood.
s. needed in hard life.
cold halts outside,
along with clarity
sometimes.
a man makes an intermediate fire.
in the hard dry air.
man clears the snow
on path.
does he contest the snow?
underneath is a golden key.
like under the field in spring?
the keyhole is distant in appearance.
there is only a key in winter.
man burrows into the earth.
there is an iron casket.
miniature mountain.
keyhole is hard to see.
eyes must work hard.
keyhole is hidden in one side.
the key likes the side.
infinite key turning
underway.
human finds the way
of turning the key.
a winter seeking.
summer forgetful of the key?
and the wind severe?
personal pronoun is inside.
is it someone or the key?
tale is the infinite keyhole
now.
whence its upkeep.
after ‘the golden key’",fr_XX,en_XX,"snow
winter descends with snow.
mass of ancient snow.
it's slowly warmed.
a cold white.
with terrors.
a beauty from afar.
outside, firewood
that life demands inside.
sled carries the wood.
activated.
political leisure
rose button
or double surface in play,
and the bridge of memory
of childhood silences.
future toy is bent.
the impossibility of a toy.
it moves through hardships.
towards home.
poor man's plaything
in the land of constant snow.
durability of snow
requires criticism?
sled carries useful fire fuel.
before the oil from stone.
material warms material.
it illuminates.
wood and iron lament the wood.
it is needed in harsh life.
cold stops outside,
where clarity continues
sometimes.
a man makes an intermediate fire.
in the dry and harsh air.
man removes snow
along the way.
does he criticize the snow?
beneath, there is a golden key.
like under the field in spring?
the lock is far in appearance.
it's a lonely key in winter.
man digs into the earth.
there is an iron casket.
miniature mountain.
lock is hard to see.
eyes must be employed.
lock is discreet on one side.
the key favors the side.
endless turn of the key
becomes clear.
human finds the way
to turn the key.
searching in winter.
has summer forgotten the key?
and the harsh wind?
personal pronoun is inside.
is it someone or the key?
tale is the endless lock
now.
hence its maintenance.
from 'the golden key'",2
