original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"noli me tangere
hésite le flocon dans le ciel bleu
a nouveau, le dernier flocon de la grande neige.
et c’est comme entrerait au jardin celle qui
avait bien du rêver ce qui pourrait être,
ce regard, ce dieu simple, sans souvenir
du tombeau, sans pensée que le bonheur,
sans avenir
que sa dissipation dans le bleu du monde.
‘non, ne me touche pas’, lui dirait-il,
mais même dire non serait de lumière.","noli me tangere
the flake hesitates in the blue sky
once again, the last flake of the big snow.
and it’s as though she who must surely have imagined
what could be would enter the garden,
that look, that simple god, without remembering
the tomb, without any thought but happiness,
without any future
except its dispersal in the blue of the world.
‘no, don’t touch me,’ he would say to her,
but even to say no would shed light.",fr_XX,en_XX,"noli me tangere
the snowflake hesitates in the blue sky
again, the last flake of the great snow.
and it's as if she would enter the garden who
had surely dreamed of what could be,
that gaze, that simple god, with no memory
of the tomb, no thought but happiness,
no future
but its dissipation in the blue of the world.
'No, don't touch me,' he would tell her,
but even saying no would be light.",1
"la vierge de miséricorde
tout, maintenant,
bien au chaud
sous ton manteau léger,
presque rien que de brume et de broderie,
madone de miséricorde de la neige.
contre ton corps
dorment, nus,
les êtres et les choses, et tes doigts
voilent de leur clarté ces paupières closes.","the virgin of mercy
all, now,
nice and warm
under your light cloak,
almost nothing but mist and embroidery,
madonna of mercy of the snow.
against your body
beings and things
sleep, naked, and your fingers
shade those closed eyelids from their light.",fr_XX,en_XX,"the virgin of mercy
everything, now,
nice and warm
beneath your light cloak,
almost nothing but mist and embroidery,
madonna of mercy of the snow.
Behind your body
sleep, naked,
beings and things, and your fingers
veil these closed eyelids with their clarity.",1
"de natura rerum
lucrèce le savait:
ouvre le coffre,
tu verras, il est plein de neige
qui tourbillonne.
et parfois deux flocons
se rencontrent, s’unissent,
ou bien l’un se détourne, gracieusement
dans son peu de mort.
d’où vient qu’il fasse clair
dans quelques mots
quand l’un n’est que la nuit,
l’autre, qu’un rêve ?
d’où viennent ces deux ombres
qui vont, riant,
et l’une emmitouflée
d’une laine rouge ?","de natura rerum
lucretius knew it:
open the chest
and you will see that it’s full of swirling
snow.
and sometimes two flakes
meet, combine,
or else one turns aside gracefully
in its small death.
where does the idea come from that it’s clear
in a few words
when the one is only the night,
the other only a dream?
where do those two shadows come from
going along smiling,
and the one muffled up
in red wool?",fr_XX,en_XX,"Lucretius knew it: open the chest, you'll see, it's full of snow swirling around. And sometimes two snowflakes meet, unite, or one turns away, gracefully in its lack of death. Why is it that it's light in a few words when one is only night, the other only a dream? Where do these two shadows come from, walking, laughing, one wrapped in red wool?",1
"juste avant l’aube
je regarde à travers les vitres, et je crois comprendre
qu’il a cessé de neiger. une flaque bleue
s’étend, brillante un peu, devant les arbres,
d’une paroi à l’autre de la nuit.
je sors.
je descends précautionneusement l’escalier de bois
dont les marches sont nivelées par la neige fraîche.
le froid cerne et pénètre mes chevilles,
il semble que l’esprit en soit plus clair,
qui perçoit mieux le silence des choses.
dort-il encore
dans l’enchevêtrement du tas de bois
serré sous la fenêtre,
le chipmunk, notre voisin simple,
ou est-il déjà à errer dans les crissements et le froid?
je vois d’infimes marques devant la porte.","just before dawn
just before dawn
i look through the window, and i think i understand
that it has stopped snowing. a blue puddle
spreads, sparkling a little, in front of the trees,
from one end to the other of the night.
i go out.
i cautiously go down the wooden stairs
where the fresh snow has levelled the steps.
the cold surrounds and penetrates my ankles,
it seems that my mind is clearer because of it,
which perceives better the silence of things.
he is still sleeping
in the confusion of the pile of wood
ricked under the window,
the chipmunk, our simple neighbour,
or is he already roaming in the crunchy cold?
i see tiny marks in front of the door.",fr_XX,en_XX,"Just before dawn
I look through the windows, and I think I understand
that it has stopped snowing. A blue puddle
spreads, glistening a little, in front of the trees,
from one wall of the night to the other.
I go outside.
I cautiously descend the wooden staircase
whose steps are leveled by fresh snow.
The cold surrounds and penetrates my ankles,
it seems that my mind is clearer,
which better perceives the silence of things.
Is he still asleep
in the tangle of the pile of wood
tightly packed under the window,
the chipmunk, our simple neighbor,
or is he already wandering in the creaking and the cold?
I see tiny marks in front of the door.",1
"l’été encore
j’avance dans la neige, j’ai fermé
les yeux, mais la lumière sait franchir
les paupières poreuses, et je perçois
que dans mes mots c’est encore la neige
qui tourbillonne, se resserre, se déchire.
neige,
lettre que l’on retrouve et que l’on déplie,
et l’encre en a blanchi et dans les signes
la gaucherie de l’esprit est visible
qui ne sait qu’en enchevêtrer les ombres claires.
et on essaye de lire, on ne comprend pas
qui s’intéresse à nous dans la mémoire,
sinon que c’est l’été encore; et que l’on voit
sous les flocons les feuilles, et la chaleur
monter du sol absent comme une brume.","summer again
i go through the snow. i closed
my eyes, but the light can still get through
my porous eyelids, and i perceive
that in my words it’s still the snow
that swirls, thickens, bursts.
snow,
a letter that we find and unfold,
and the ink on it has faded and in the marks
the clumsiness of the wit is visible
which can only muddle up its sharp shadows.
and we try to read, we don’t understand
who is interested in us in memory,
except that it’s summer again; and we see
under the flakes the leaves, and the heat
rise from the missing sun like a mist.",fr_XX,en_XX,"summer again
I walk through the snow, I have closed
my eyes, but the light knows how to penetrate
the porous eyelids, and I perceive
that in my words it is still the snow
that swirls, tightens, tears.
snow,
a letter that one finds and unfolds,
and the ink has whitened and in the signs
the clumsiness of the mind is visible
which only knows how to tangle the clear shadows.
and we try to read, we don't understand
who is interested in us in memory,
except that it is still summer; and that we see
beneath the flakes the leaves, and the heat
rising from the absent ground like a mist.",1
"ville-perce-neige
j’ai voulu
penser des villes perce-neige,
des villes percées-de-neige
pour tes doigts.
j’ai voulu penser
des villes blanches, des villes de neige,
pour ces quelques tiges – en givre - sur tes doigts
au lieu des sourires qui restent clos.
j’ai voulu
penser des aurores blanches, prisonnières des neiges.
sans cure.
et des pluies, des pluies, des pluies,
lentes, sans prévenance, trempées d’or,
pluies de neige
comme tes rôles, tes visages sans faille, appris par cœur
te quittent, te trahissent, te défont chaque jour dans le silence terrible des salles, sans épilogue.
– j’ai voulu ne rien dire.
j’ai voulu penser des villes prisonnières
de ces quelques mots brodés de neiges, qui s’égarent.
j’ai voulu me taire,
me tenir ici - être loin,
dans le corps d’étés suspendus,
– pour tes étés qui m’inhabitent.
j’ai voulu penser des aurores blanches, leur cœur - rouge - de neige,
j’ai voulu penser ta fureur - blanche – sur les sauterelles des ciels qui se déchirent, des ciels qui se quittent, se vident.
et des pluies, des pluies, des pluies rouges
de neige
comme les villes se brodent et se débrodent, s’élèvent s’effondrent,
les villes blanches, les villes flottantes, les villes profondes, les villes qui n’existent pas
au pied des tours hautes et rouges de tes rages d’orage qui sentent la groseille.
j’ai voulu plonger mes doigts ; ne rien retenir.
j’ai voulu penser des lunes
des lunes blessées, des lunes percées, des lunes-perce-neige,
des lunes de sang
pour tes nuits qui quittent les visages, les mains et les terres, pour tes nuits désertes et ocres.
j’ai voulu croire aux soleils d’encre pour couronner tes fuites.
j’ai voulu boire les soleils; être froid, en veille.
j’ai voulu cracher les lunes: brûler froid.
j’ai voulu ensorceler
les jardins aux joies ocres et sans refuge,
les jardins suspendus de tes joies et
accrocher des oiseaux – oiseaux d’argent – et des lunes taillés d’or aux branches des sommeils pourpres.
j’ai voulu penser les salles,
les salles endormies sur les sauterelles d’or, les salles où tes pas se réveillent,
etre là; me tenir loin.
regarder, ne rien voir.
ecouter; ne rien entendre.
plonger mes doigts; détremper.
toucher; ne rien retenir
de tes chants qui chancellent, s’enlisent
dans les tours hautes et rouges d’orage.
prier aux aubes blanches, aux aubes prisonnières, aux aubes de neige
pour les oiseaux de ta rage.
j’ai voulu être là; ne rien habiter.
j’ai voulu ne pas t’habiter.
vider les grappes du froid, les rochers d’astres, dans les corps qui crissent de tes mots
ecouter, ne rien entendre.
regarder, ne rien voir
etre là, être loin.
j’ai voulu penser des villes blanches, des villes profondes, des villes prisonnières,
j’ai voulu penser des villes-perce-neige, des villes-percées-de-neige, des villes de veilles sans refuge,
j’ai voulu
etre là ; ne rien habiter
sourire aux sourires qu’on t’offrirait un jour.","snowdrop city
i wanted
to think of snowdrop cities,
of cities dropping with snow
for your fingers.
i wanted to think
about white cities, about snow cities,
for these few stems – in frost – on your fingers
instead of smiles that stay closed.
i wanted
to think about white dawns, prisoners of the snows.
carefree.
and about rains, rains, rains,
slow, without consideration, drenched with gold,
rains of snow
like your roles, your flawless faces, learned by heart
leave you, betray you, undo you each day in the terrible silence of the rooms without a conclusion.
‘i wanted to say nothing.’
i wanted to think about prisoner cities
about those few words embroidered with snow, which
wander from the point.
i wanted to be quiet,
to be here – to be far,
in a body of suspended summers –
for your summers which live in me.
i wanted to think of white dawns, their heart – red – of snow,
i wanted to think your fury – white – on the grasshoppers of the breaking skies, of the skies that depart, that empty.
and of rains, rains, red rains
of snow
as the cities are embellished and are unembellished, rise, fall,
the white cities, the floating cities, the deep cities, the cities that don’t exist at the foot of the high red towers of your stormy rages that smell of red currants.
i wanted to plunge my fingers; to hold back nothing.
i wanted to think about moons
of wounded moons, of dropped moons, of snowdrop moons,
of moons of blood
for your nights that desert the faces, the hands and the lands, for your ochre and deserted nights.
i wanted to believe in suns of ink to crown your escapes.
i wanted to drink the suns; to be cold, wakeful.
i wanted to spit the moons: to burn cold.
i wanted to bewitch
the gardens of ochre joys and without refuge,
the hanging gardens of your joys and
to attract birds – silver birds – and moons carved of branched gold
of purple sleep.
i wanted to think the rooms,
the rooms asleep on the golden grasshoppers, the rooms where your footsteps awake,
to be there; to be far away.
to look, to see nothing.
to listen; to hear nothing.
to plunge my fingers; to soak.
to touch; to hold back nothing
of your songs that falter, sink.
in the high, red towers of storm.
to pray to the white dawns, to the prisoner dawns, to the dawns of snow
for the birds of your rage.
i wanted to be there; to dwell nowhere.
i wanted not to live in you.
to empty the clusters of the cold, the rocks of stars, in the bodies that grind your words
to listen, to hear nothing.
to look, to see nothing
to be there, to be far away.
i wanted to think of white cities, of deep cities, of prisoner cities,
i wanted to think of snowdrop cities, of cities dropping with snow, of cities of waking without refuge,
i wanted
to be there, to dwell nowhere
to smile at the smiles that you would be given one day.",fr_XX,en_XX,"snowdrop-city
I wanted
to imagine snowdrop-cities,
cities pierced by snow
for your fingers.
I wanted to imagine
white cities, cities of snow,
for these few stems – in frost – on your fingers
instead of the smiles that remain closed.
I wanted
to imagine white dawns, prisoners of the snows.
without care.
and rains, rains, rains,
slow, without consideration, drenched in gold,
rains of snow
like your roles, your flawless faces, learned by heart
leave you, betray you, undo you every day in the terrible silence of the halls, without epilogue.
—I wanted to say nothing.
I wanted to imagine cities imprisoned
by these few words embroidered with snow, which go astray. I wanted to be silent,
to stay here - to be far away,
in the body of suspended summers,
– for your summers that inhabit me.
I wanted to think of white dawns, their hearts - red - of snow,
I wanted to think of your fury - white - on the locusts of the skies that tear themselves apart, of the skies that leave each other, empty themselves.
and of the rains, of the rains, of the red rains
of snow
like cities embroider and unembroider, rise and collapse,
the white cities, the floating cities, the deep cities, the cities that do not exist
at the foot of the tall, red towers of your stormy rages that smell of gooseberries.
I wanted to plunge my fingers; to hold nothing back. I wanted to think of moons
wounded moons, pierced moons, snowdrop moons,
blood moons
for your nights that leave faces, hands, and lands, for your deserted, ochre nights.
I wanted to believe in inky suns to crown your escapes.
I wanted to drink the suns; to be cold, awake.
I wanted to spit out the moons: to burn cold.
I wanted to bewitch
the gardens of ochre joys and without refuge,
the hanging gardens of your joys and
hang birds—silver birds—and moons carved in gold from the branches of purple sleep.
I wanted to think of the rooms,
the rooms asleep on the golden grasshoppers, the rooms where your footsteps awaken,
to be there; to stay far away.
to watch, to see nothing.
to listen; to hear nothing.
to plunge my fingers; soak.
touch; retain nothing
of your songs that waver, sink
into the tall, storm-red towers.
pray to the white dawns, to the imprisoned dawns, to the snowy dawns
for the birds of your rage.
I wanted to be there; to inhabit nothing.
I wanted not to inhabit you.
empty the clusters of cold, the rocks of stars, in the bodies that creak with your words
listen, hear nothing.
look, see nothing
be there, be far away.
I wanted to think of white cities, deep cities, imprisoned cities,
I wanted to think of snowdrop cities, cities pierced by snow, cities of vigils without refuge,
I wanted
to be there; to inhabit nothing
smile at the smiles that would one day be offered to you.",1
"la charrue
cinq heures. la neige encore. j’entends des voix
à l’avant du monde.
une charrue
comme une lune au troisième quartier
brille, mais la recouvre
la nuit d’un pli de la neige.
et cet enfant
a toute la maison pour lui, désormais. il va
d’une fenêtre à l’autre. il presse
ses doigts contre la vitre. il voit
des gouttes se former là ou il cesse
d’en pousser la buée vers le ciel qui tombe.","the plough
five o’clock. snow again. i hear voices
in the front of the world.
a plough
like a moon in the third quarter
shines, but the night
covers it with a layer of snow.
and this child
has the whole house to himself, from now on. he goes
from one window to another. he presses
his fingers against the glass. he sees
drops form where he stops
pushing the mist towards the falling sky.",fr_XX,en_XX,"The plow
five o'clock. The snow still. I hear voices
at the front of the world.
A plow
shines like a moon in its third quarter, but covers it
at night with a fold of snow.
And this child
has the whole house to himself, now. He goes
from one window to another. He presses
his fingers against the glass. He sees
drops forming where he stops
pushing the mist towards the falling sky.",1
"les pommes
et que faut-il penser
de ces pommes jaunes?
hier, elles étonnaient, d’attendre ainsi, nues
après la chute des feuilles,
aujourd’hui elles charment
tant leurs épaules
sont, modestement, soulignées
d’un ourlet de neige.","the apples
and what must we think
of these yellow apples?
yesterday, they astonished, waiting like this, naked
after the leaves had fallen,
today they charm
as their shoulders
are modestly accented
with an edging of snow.",fr_XX,en_XX,"Apples
and what should we think
of these yellow apples?
Yesterday, they were astonishing, waiting like this, naked
after the leaves had fallen,
today they are charming
so much so that their shoulders
are, modestly, highlighted
by a hem of snow.",1
"la parure
il neige. âme, que voulais-tu
que tu n’aies eu de naissance éternelle?
vois, tu as là
pour la mort même une robe de fête.
une parure comme à l’adolescence,
de celles que l’on prend à mains soucieuses
car l’étoffe en est transparente et reste près
des doigts qui la déploient dans la lumière,
on sait qu’elle est fragile comme l’amour.
mais des corolles, des feuilles y sont brodées,
et déjà la musique se fait entendre
dans la salle voisine, illuminée.
une ardeur mystérieuse te prend la main.
tu vas, le coeur battant, dans la grande neige.","finery
it’s snowing. soul, did you expect
to have eternal birth?
see, you have there
even a party dress for death.
finery like in adolescence,
of those that we take in anxious hands
as the fabric of it is transparent and remains near
fingers that open it out in the light,
we know that it’s as fragile as love.
but corollas and leaves are embroidered there,
and already the music can be heard
in the neighbouring room, where the lights are.
a mysterious ardour takes your hand.
you go, your heart pounding, into the big snow.",fr_XX,en_XX,"the finery
It's snowing. Soul, what did you want
that you didn't have eternal birth?
See, you have here
a festive dress for death itself.
a finery like that of adolescence,
one that one takes with anxious hands
for the fabric is transparent and remains close
to the fingers that unfold it in the light,
one knows that it is fragile like love.
But corollas, leaves are embroidered on it,
and already music can be heard
in the neighboring room, illuminated.
A mysterious ardor takes your hand.
You go, your heart beating, into the deep snow.",1
"neige
fugace sur l’écharpe, sur le gant
comme cette illusion, le coquelicot,
dans la main qui rêva, l’été passé
sur le chemin parmi les pierres sèches,
que l’absolu est à portée du monde.
pourtant, quelle promesse
dans cette eau, de contact léger, puisqu’elle fut,
un instant, la lumière! le ciel d’été
n’a guère de nuées pour entrouvrir
plus clair chemin sous des voûtes plus sombres.
circé
sous sa pergola d’ombres, l’illuminée,
n’eut pas de fruits plus rouges.","snow
snow
fleeting on the scarf, on the glove
like this illusion, the poppy,
in the hand that dreamed, last summer
on the road among the dry stones,
that the absolute is within reach of the world.
however, what promise
in the delicate touch of this water, for it was,
for an instant, the light! the summer sky
has hardly any clouds to half open
a brighter way under dark vaults.
circé
under her pergola of shadows, the visionary,
had no redder fruit.",fr_XX,en_XX,"neige
fugace sur l’écharpe, sur le gant
comme cette illusion, le coquelicot,
dans la main qui rêva, l’été passé
sur le chemin parmi les pierres sèches,
que l’absolu est à portée du monde.
pourtant, quelle promesse
dans cette eau, de contact léger, puisqu’elle fut,
un instant, la lumière! le ciel d’été
n’a guère de nuées pour entrouvrir
plus clair chemin sous des voûtes plus sombres.
circé
sous sa pergola d’ombres, l’illuminée,
n’eut pas de fruits plus rouges.",1
