original_poem,translated_poem,translated_by_TA,src_lang,tgt_lang,topic
"kasala pour mon kaku ii
mvidi mukulu, l’esprit aîné, avait puni mon kaku d‘une longévité absurde
kaku vieillissait, pourrissait mais ne trépassait pas pour autant
il se targuait d‘être né en 1667, en 1756 ou 1786
une fois, il mourut même pendant trente minutes
et ressuscita comme si de rien n’était
protestataire de la première pluie, beau gosse
du haut de ses trois siècles d‘âge
mon kaku avait le sang frais d‘un jeunot","kasala for my kaku ii
mvidi mukulu, the elder spirit, punished my kaku with an absurdly long life
kaku grew older, he broke down, but did not pass away for all that
he boasted he had been born in 1667, in 1756 or 1786
once, he even died for thirty minutes
and was raised from the dead as if nothing had happened
protester of the first rain, fine looking fellow
from the summit of his three centuries of age
my kaku had the quick blood of a youngster","- kasala for my kaku ii
mvidi mukulu, the eldest mind, had punished my kaku with an absurd longevity
kaku was getting old, rotting, but didn't go too far.
he was worried about being born in 1667, 1756 or 1786.
once, he died even for thirty minutes
and resurrected as if nothing were
protestant of the first rain, handsome
from the top of its three centuries of age
my kaku had the fresh blood of a playnot",fr_XX,en_XX,0
"1
je ne me souviens de rien.
rien.
il y a un avant, noir, vide, silencieux.
après il y a ma tante qui me donne de la purée en imitant l’avion avec la cuillère à soupe.
à partir de l’avion, à partir de la purée, tout est net.
chaque souvenir est là, limpide, pur.
les odeurs des placards, des gens, de la nourriture.
les bruits, les chansons, les comptines, les voix, les rires, tout est là.
les couleurs, les imprimés, les fleurs, les pièces de la maison,
les jouets, le jardin d’enfants, tout.
mais avant ça, rien.
tout noir.","1
i can’t remember anything.
nothing.
there’s a before, dark, empty and silent.
afterwards there’s my aunt feeding me mashed potatoes and
imitating a plane with the tablespoon.
then, from the plane, from the mashed potatoes, everything is clear.
every memory is there, limpid, pure.
the smell of closets, of people, of food.
the sounds, the songs, the nursery rhymes, the voices, the smiles,
everything is there.
the colours, the prints, the flowers, every room of the house, the toys,
the kindergarten, everything.
but before that, nothing.
just darkness.","1
I don't remember anything.
Nothing.
There's a front, black, empty, quiet.
Then there's my aunt who gives me puree by imitating the plane with the soup spoon.
from the plane, from the purée, everything is clear.
Every memory is there, clear, pure.
smells of closets, people, food.
The noises, the songs, the rhymes, the voices, the laughs, it's all there.
the colours, prints, flowers, rooms of the house,
toys, kindergarten, everything.
But before that, nothing.
All black.",fr_XX,en_XX,0
"a.
en cette journée lézardée de déceptions où le bleu a quitté la mer pour envahir la colline chaînes blindées dans l’amas minuscule minuit avorte le jour laissant la casbah à ses débris. j’en appelle à la mémoire d’alger de ses comptoirs marins aux chars de l’occupation j’en appelle à hassiba à djamila à didouche et à boudiaf aux ancêtres et aux amnésiques aux violeurs de rêves et aux traîtres de toujours j’en appelle à chaque goutte versée à chaque humiliation que jaillisse enfin la baie et qu’elle nous habite qu’elle ouvre nos paupières assommées que se réveillent al anka et les diwans assiégés que s’ouvrent les seuils de nos maisons et que s’élève le chant nouveau. que se lève le tgv expresse, qu’il ramène la brise de tanger et qu’il amorce sa course de tunis à alexandrie et de beyrouth à istanbul. que s’ouvre un jour nouveau et que minuit embaume de jasmin.","a.
on this morning cracked with disappointments when blue has left the sea to invade the hill in a uniformed chain tightening on the diminishing crowds. midnight aborts the day leaving the casbah to its rubbish and fragments. i appeal to the memory of algiers from its seaside bars to the tanks of the occupation, i appeal to hassiba to djamila to didouche and to boudiaf to the ancestors and to the amnesiacs to the rapists of dreams and to the perpetual traitors i appeal to every drop spilled to every humiliation let the bay gush forth at last and let it inhabit us let it open our senseless eyelids let al anka and the besieged diwans awaken let the doorways of our houses open and let a new song arise. let the tgv express awaken, let it bring back the breeze from tanger and let it start a new route from tunis to alexandria and from beirut to istanbul. let a new day open and let midnight be fragrant with jasmine.","A.
on this day lizarded with disappointments where the blue has left the sea to invade the hill armored chains in the tiny midnight cluster aborts the day leaving the casbah to its debris. j的en calls for the memory of its sea counters to the tanks of the occupation j的en to hassiba to djamila to dodouche and to boudiaf to the ancestors and amnesics to the rapists of dreams and to the traitors of always j的en calls to every drop paid at every humiliation that finally flows the bay and that she lives that she opens our assumed eyelides that wake up al anka and the besieged diwans that open the thresholds of our houses and that rises the new song. that the express tgv rises, that he brings back the breeze of tanger and that he starts his race of tunis to Alexandria and beyrouth to istanbul. that opens a new day and that midnight embalms of jasmine.",fr_XX,en_XX,0
"'le livre du large et du long' (fragment)
de ses deux mains, il prit de la cendre poussiéreuse,
qu’il versa sur sa tête grise en sanglotant très fort.
-
bonjour et salut
depuis toujours je bougeais pour comprendre
voici parmi les manières de raconter
une
j'étais jeune au départ
je ne connaissais pas ma taille
car je ne connaissais ni bien ni mal ni choses ni rien
car les serpents n'ont pas la connaissance
de la hauteur de la largeur c'est faux
car je n’étais pas serpent mais j’aurais
pu car je remarqu’cent fois +
mille tout est faux mais vrai
les serpents mesurent ce qu'ils trouv avec leurs corps c'est leur manière
d'être en vie et ce fût ma manière
voulant comprendre le monde avec mon corps écoutez-moi
j’aimais mon existence
et je m’agenouillais pour ainsi dire devant ce sentiment
il faudrait le comprendre
j’avais le don de moi sur terre
suppliant donnant détruisant
rendant ordonnant accourant
rencontrant trainant revenant
servant appelant rentrant
protégeant réglant je charbonnais ma
gueule entendant descendant sonnant
ébranlant courant jaillissant décochant
planant écoutant écrivant calculant
j’en ai vu sautillant déplaçant
titubant caressant bondissant parlant
noyant
j’ai reculé frappé flotté
je jure mes têtes mes morts
balançant écrasant vissant vissant dans quoi vissant
j’ai beaucoup mythonné
j’ai mythonné les jours
j’ai mythonné le corps
j’ai mythonné moi-même
sage gai triste en colère
m'ennuyant ayant froid ayant peur ayant mal faisant mal
vitement calmement vivement
je ramassais les os de petites créatures
mortes je calculais
les kilomètres parcourus par des insectes
hérissés de cils courts clairsemés
dans le pourri indéfiniment r’
résisteraient les fibres les nervures des feuilles
réduisant par
cisaille
les résidus en pate dans leurs petits intestins – ces insectes
que j’imaginais
et distribuais mes molécul au hasard par ma langue que je passais sur
les meubles dans la maison et sur les murs
les rues les bancs le métro sur les écharp des gens le peupl
je voulus me répandre
souvent je téléphonais à mes amis pour leur dire – je n'existe pas
mes amis répondaient tu n'existes pas
car je n’avais pas d’amis
au hasard les voix des numéros disaient –qui êtes-vous
je répondais – je n'existe pas ils répondaient – oui
je répondais – et dîtes-mois pourquoi je n'existerais pas
ils répondaient des paroles que je rayais
je les rayais et je rayais les feuilles sur les arbr
que je croisais avec une aiguille
méchante méchante et je classais mes objets par ordre alphabétiqu et
je les détestais
j
me roulant
à l'intérieur de me longtemps
et il n’y eût ni quête ni marais ni grain
ni inférieurs ni supérieurs ni sommet
ni capitale ni troupes ni majesté
ni zguègues ni balance ni millions
ni kichta ni bombes ni jardin ni religion ni cause
pour me calmer
j'imaginais des asticots plus longs que vous et me
dans les zones des aires de la nature
plus étendus que mon père et mes soeurs
ma mère et tous les cousinages des périmètres
il faut me croire à propos de moi je pensais du vide
la route était dure autour de me
ma main ne possédait ni bien ni mal ni rien
chaque matin devenait pire car le matin ne possédait ni rien ni rien
les dimensions deviennent douloureuses
ceci blesse
ceci blesse
comme rien ne ressembl à rien tout ressemble à tout
exactement exactement je me le dis
la membrane entre la lumière et l'oeil
une chose sans forme déformée
je profite de moi comme une sécurité
profitant du vocabulaire
profitant de me comme une sécurité
profitant de me comme un profit
soudain les angles furent des angles et les pointes des pointes
je m’endormis
...","le livre du large et du long (fragment)
he took the powdery ash in both hands,
pouring it over his grey head as he wept.
-
hello and hi there
i always longed to understand
so here amongst the many ways of telling is
one
i was young to begin with
i didn’t know my size
as i didn’t know right or wrong or anything or nothing
as snakes aren’t aware
that height and width is wrong
as i wasn’t a snake but i could
have because i notice a hundred times +
a thousand everything is wrong but right
snakes measure whatever they find with their bodies it’s their way of
being alive and that was my way
wanting to understand the world with my body listen to me
i loved my existence
and i bowed down so to speak before that feeling
you must understand
i had the gift of myself on earth
begging giving destroying
submitting ordering rushing
finding dragging returning
serving calling coming back
protecting resolving i blackened my
mouth hearing descending resounding
shaking running spurting shooting
gliding listening writing calculating
i saw some bouncing shifting
staggering stroking leaping speaking
drowning
i retreated struck flustered
i swear on my life my death
swinging crushing screwing screwing in what screwing
i bullshitted a lot
i bullshitted days
i bullshitted bodies
i bullshitted myself
good joyful sad angry
getting bored being cold being afraid being hurt hurting
quickly calmly deeply
i collected the bones of little
dead creatures i calculated
the kilometres covered by insects
bristling with short thin lashes
in the indefinitely rotten air
the leaf’s fibres its veins will resist
reduction by
shears
the pasty residue in their small intestines – these insects
that i imagined
and randomly disbursed my molecules with my tongue which i passed over the furniture in the house and over the walls
the streets the benches the metro on people’s scarves the people
i wanted to spread myself around
i often called my friends to tell them - i don’t exist
my friends responded you don’t exist
as i didn’t have any friends
the random voices dialled said – who are you
i replied – i don’t exist they replied – yes
i replied – and tell me why i don’t exist
they replied with the words that i scratched out
i scratched them out and i scratched the leaves onto the trees
that i crossed with a needle
naughty naughty and i arranged my objects in alphabetical order and
i hated them
i
turning myself
within iself for a long time
and there was no quest or marsh or grain
no lowers or uppers or summit
or capital or troops or majesty
or dicks or account or millions
no coin or bombs or garden or religion or cause
to calm myself
i imagined maggots longer than you or i
in the airy parts of nature
stretchier than my father and my sisters
my mother and all the distant cousins
believe me when i say i thought of emptiness
the road was hard around me
my hand held no right or wrong or anything
every morning got worse because the morning didn’t hold a thing not a thing
dimensions become painful
that hurts
that hurts
as nothing looks like anything everything looks like everything
exactly exactly i tell myself
the membrane between light and eye
a deformed formless thing
i enjoy myself as a safety
enjoying vocabulary
enjoying i as a safety
enjoying i as an enjoyment
suddenly angles were angles and points were points
i fell asleep","The 'book of the sea and the long' (fragment)
with his two hands, he took dusty ashes,
which he poured on his gray head, sobbing very loudly.
-
Hello and hi
I've always been moving to understand
Here are some of the ways to tell
a
I was young at first.
I didn't know my size
for I knew neither good nor evil nor things nor anything
For the serpents have no knowledge
of the height of the width is false
'Cause I wasn't a snake, but I'd have
because I notice a hundred times +
Thousand everything is false but true
snakes measure what they find with their bodies is their way
to be alive and it was my way
wanting to understand the world with my body listen to me
I loved my existence
and I was kneeling so much in front of that feeling
We should understand that.
I had the gift of me on earth
supplanting giving destroying
making order current
encountering trailing coming back
service calling home
protecting regulating I was coaling my
Hearing mouth coming down ringing
flashing current shaker popping out
hovering listening writing calculating
I've seen some jumping moving
titubant caressing leaping talking
drowning
I've gone backwards, hit floated.
I swear my heads my dead
squeaky swinging screwing in what screwing
I've been a lot of mythony.
I've been mythonized every day.
I've been mythonizing the body.
I've been mythonized myself.
wise, sad, angry gai
boring me being cold being afraid having hurting
quickly calmly
I was picking up bones from little creatures.
dead I was calculating
the kilometres travelled by insects
bristles of sparse short lashes
in the rotten forever
would resist the fibers the veins of the leaves
reducing by
shear
residues in their small intestines – these insects
that I imagined
and randomly distributed my molecule by my tongue that I passed on
furniture in the house and on the walls
the streets the benches the subway on the scarf of the people the poppl
I wanted to spread
often I phoned my friends to tell them – I don't exist
My friends answered you don't exist
'Cause I didn't have friends.
at random the voices of the numbers said – who are you?
I was answering – I don't exist they were answering – yes
I was answering – and say-months why I wouldn't exist
They were saying words that I was scratching.
I scratched them and scratched the leaves on the arbr
that I was crossing with a needle
mean villain and I was classifying my objects in alphabetic order and
I hated them.
j
Rolling me
inside me for a long time
and there was no quest, no marshes, no grain.
Neither lower nor higher nor top
neither capital nor troops nor majesty
neither zguègues nor scales nor millions
neither kichta nor bombs nor garden nor religion or cause
to calm me down
I thought I'd take a lot longer asticots than you and I'd be
in areas of nature
more extensive than my father and sisters
my mother and all the cousins of the perimeters
You have to believe me about me I thought of the emptiness
the road was hard around me
My hand had neither good nor evil nor anything.
every morning became worse because the morning had neither anything nor anything
the dimensions become painful
This hurts.
This hurts.
as nothing looks like anything everything looks like everything
Exactly exactly I'm saying to myself.
the membrane between the light and the eye
one thing without a distorted shape
I take advantage of myself as a security
Taking advantage of the vocabulary
profiting from me as a security
profiting from me as a profit
suddenly the angles were angles and the points of the points
I'm going to sleep.
...",fr_XX,en_XX,0
"trains
le paysage défile comme un jackson pollock, vaches en pointillés, nuages étirés, taches tournesols et rails déformés. la fenêtre froide se colle à mon oreille et j’entends tatactater la bête humaine.
tatactatoum, tatactatoum, tatactatoum.
je ne suis pas eva marie saint, je n’ai ni la mort aux trousses ni les baisers de cary grant. il n’y a derrière la vitre que ces paysages de cartes postales, cette campagne d’avant-guerre, ces empreintes ferroviaires : une vache, un château, une église, un âne, une vieille mobylette ou un train à la retraite, de l’herbe à perte de vue, des champs de coquelicots, un village suspendu, la dame-blanche, un mouton ou peut-être une chèvre, un autre coquelicot, une jupe en corolle, une canette de soda, un plastique, une poubelle, un néon, un flash.
tatactatoum, tatactatoum, tatactatoum.
je ne suis pas celia johnson dans brève rencontre à attendre jeudi prochain, jeudi prochain, jeudi prochain, les amours interdites dans un petit café. il n’y a derrière la glace que d’amers paysages qui se répètent et défilent et reviennent et repassent et tournent et recommencent et les vaches se ressemblent et la neige dissimule les pas des loups, des ogres et des sorcières.
tatactatoum, tatactatoum, tatactatoum.
je ne suis pas marilyn monroe dans certains l’aiment chaud. il n’y a devant mes yeux que d’immenses pâtis, rocailles et herbes folles que les cornes ébahies ruminent méthodiquement.
tatactatoum, tatactatoum, tatactatoum.
défilent les kilomètres, le nord est encore loin. cent-cinq virgule huit, nous arriverons demain.","trains
scenes unravel like a jackson pollock, cow dots, stretched clouds, sunflower patches and deformed tracks. the cold window sticks to my ear and i can hear the tactactac of the human beast.
tatactatum, tatactatum, tatactatum.
i am not eva marie saint, i am not going north by northwest and cary grant is not kissing me. all i can see behind these glass panes are picture postcard scenes, pre-war countryside, railway prints: a cow, a castle, a church, a donkey, an old motorcycle or a disused train, grass as far as the eye can see, poppy fields, a village on the hills, the white lady, a sheep or maybe a goat, a single poppy, a flared skirt, a can of a fizzy drink, a piece of plastic, a bin, a neon light, a flash.
tatactatum, tatactatum, tatactatum.
i am not celia johnson in brief encounter waiting for next thursday, next thursday, next thursday’s forbidden loves in a little café. all i can see behind this window pane are bitter landscapes going round and round and on and on and cows look like cows and the snow hides every trace of wolf, ogre and witch.
tatactatum, tatactatum, tatactatum.
i am not marilyn monroe in some like it hot. all i can see are immense mounds, rock gardens and weeds which astonished horns methodically ruminate.
tatactatum, tatactatum, tatactatum.
the kilometres add up, the north is still a long way away. a hundred and five point eight, we’ll get there tomorrow.","Trains
The landscape scrolls like a pollock jackson, dotted cows, stretched clouds, sunflower spots and deformed rails.The cold window sticks to my ear and I hear tactatate the human beast.
tatactatoum, tatactatoum, tatactatoum.
I am not a saint eva marie, I have neither the death with the kits nor the kisses of the cary grant. There is behind the glass only these landscapes of postcards, this pre-war campaign, these railway footprints: a cow, a castle, a church, a donkey, an old moped or a retired train, grass as far as the sight can be, fields of poppies, a suspended village, a white lady, a sheep or perhaps a goat, another poppie, a corolla skirt, a can of soda, a plastic, a trash, a neon, a flash.
tatactatoum, tatactatoum, tatactatoum.
I'm not celia johnson in brief meeting to wait next Thursday, next Thursday, next Thursday, the forbidden loves in a small café. There is behind the ice that damers landscapes that repeat and scroll and come back and iron and turn and start again and the cows look alike and the snow hides the steps of wolves, ogres and witches.
tatactatoum, tatactatoum, tatactatoum.
I'm not marilyn monroe in some warm love. There are in front of my eyes only huge meats, rocks and crazy herbs that the ebony horns scramble methodically.
tatactatoum, tatactatoum, tatactatoum.
The north is still far. One hundred and five decimal eight, we will arrive tomorrow.",fr_XX,en_XX,0
"tu n’as pas abandonné la maison
c’est la maison qui t’a abandonné
ton pays
les bâtisses de ton enfance
ton village
ce bleu particulier
aux dernières heures du printemps
la terre de tes ancêtres
si tu t’en souviens
les cailloux placés là
qu’on replace
sans trop savoir pourquoi
et qui apaisent
qui rassurent nos regards pressés
cet arbre solitaire
au sommet de la colline
que tu n’as pas foulée de tes pieds
***
tu as habité le sol
sous tes orteils
nul ne prévoit
quand commence le voyage
quand il est temps de quitter
la colline
de cheminer
vers la montagne des autres
nul ne prévoit
où se dessinent les lignes
qui te séparent
de la géographie des autres
de leurs ombres
tu as habité
de tout ton être
la ligne
à traverser
***
quand on cherche
c’est avec les mains
qu’on observe
avec le corps ouvert
abandonné
à la montagne
c’est dans le mouvement
que s’enracine
la mémoire
dans le mouvement
que s’habite la courbe
ta maison abandonne
qui l’abandonne
s’émiette sur qui veut
rouiller son souffle
ta maison c’est là où tu transportes
ton enfance.","‘you didn’t leave home’
you didn’t leave home
your home left you
your country
the buildings of your childhood
your village
that special blue
of the last hours of spring
land of your ancestors
if you remembered those
pebbles placed just so
and put back
without quite knowing why
that assuage
that reassure our hurried glances
that solitary tree
on a hilltop
where you never set foot
***
you inhabited the ground
under your toes
no one foresees
when the journey will begin
when it’s time to leave
the hill
make your way
toward their mountain, the others
no one foresees
where the lines will be drawn
that separate you
from the others’ geography
from their shadows
you inhabited
with all your being
the line
to be crossed
***
whoever searches
observes
with his hands
with the body open
and abandoned
on the mountain
it’s in movement
that memory
takes root
in movement
that the curve is at home
your house abandons
whoever abandoned it
crumbles on whoever
would rust its breath
your house is wherever you carry
your childhood","You didn't give up the house.
It's the house that abandoned you.
your country
the buildings of your childhood
your village
this particular blue
in the last hours of spring
the land of your forefathers
if you remember
the pebbles placed there
to be replaced
I don't know why.
and soothing
who reassure our eyes in a hurry
this lonely tree
at the top of the hill
that you didn't walk out of your feet
***
You've lived in the ground.
under your toes
no one's planning
When the journey begins
when it's time to leave
the hill
to travel
to the mountains of others
no one's planning
where lines are drawn
that separate you
of the geography of others
of their shadows
You've lived.
with all your being
the line
to be crossed
***
When you're looking
It's with your hands.
which we can observe.
with the body open
abandoned
in the mountains
It's in the movement.
than root
memory
in the movement
that dwells on the curve
your house is giving up.
who abandons it
who wants to
Rug his breath
your house is where you carry
Your childhood.",fr_XX,en_XX,0
"ce que j’aime de jésus
ce sont ses pieds délavés
et ceux de ses compagnons
- treize auréoles -
sur les icones abandonnées
du petit mont athos bulgare
je ne parle pas du figuier
- le figuier que jésus illumine –
ni de la roche en cascade
- ça ressemble plus au grand canyon
qu’à la galilée –
ces pieds finement délavés de jésus
me font penser aux peintures rupestres
du tassili
il n’y a aucun pied aussi finement
tracé sur les roches du hoggar
ce sont des silhouettes longilignes
suspendues
exactement comme le christ
suspendues figées et dynamiques à la fois
c’est un éclair
une allusion dénuée de logique
en apparence
on trouve ce qu’on trouve
surtout si c’est autre chose qu’on observe
ce que j’aime de l’astrophysicien
ce sont ses pressentiments
quand il dit peut-être
quand il dit que la statistique
a altéré la physique
l’a figée
vidée
désincarnée
quand il dit que la matière
n’est pas matière
que le temps et l’espace
sont hérésie
que nous autres humains
nous prenons trop au sérieux
à nous croire fragiles
à nous inventer puissants
que nous inventons des repères
que nous oublions les avoir inventés
qu’il faut lever le contrôle
quand il dit peut-être
rendre son âme à ton doute","what i like about jesus
what i like about jesus
are his faded feet
and those of his companions
-- thirteen haloes –
on the abandoned icons
of the small bulgarian mount athos
i’m not talking about the fig tree
-- the fig tree jesus illuminates—
nor of the cascade of rocks
-- more like the grand canyon than galilee—
jesus’ delicately faded feet
made me think of the rock paintings
of tassili
there is no foot as finely
traced on hoggar’s boulders
they are long slender figures
suspended
exactly like the christ
suspended fixed and dynamic at once
it’s a lightning bolt
an allusion stripped of logic
or so it seems
you find what you find
above all when it’s different from what you see
what i like about the astrophysicist
are his premonitions
when he says perhaps
when he says that statistics
have altered physics
fixed it in place
emptied
disembodied
when he says that matter
isn’t matter
that time and space
are heresy
that we humans
take ourselves too seriously
thinking ourselves fragile
inventing ourselves powerful
that we invent landmarks
that we forget having invented them
that we must relinquish control
when he says perhaps
give your doubt back its soul","What I love about jesus
They're her feet unwashed.
and those of his companions
- 13 aureoles -
on abandoned icons
of the small Bulgarian athos mountain
I'm not talking about the fig tree.
- the fig tree that jesus illuminates –
or cascading rock
- It's more like the big canyon.
that at the gallstone –
these finely washed feet of jesus
Make me think of rock paintings
Tassili
There's no foot so finely
plotted on the rocks of the hoggar
They're long-line silhouettes.
suspended
Just like Christ
frozen suspended and dynamic at the same time
It's a flash.
an allusion without logic
Appearances
we find what we find.
especially if it's something else we're looking at.
what I like about the astrophysicist
It's her presentments.
when he may be saying
when he says that statistics
has altered the physics
Frozen
emptied
disincarnate
when he says that matter
is not a substance
as time and space
are heresy
that we humans
we take too seriously
to think we're fragile
to invent us powerful
that we invent landmarks
that we forget to have invented them
the need to remove the control
when he may be saying
return your soul to your doubt",fr_XX,en_XX,0
"4
et puis il y a toutes les fois où il n’est pas là.
pas là quand j’ai perdu ma première dent,
pas là quand je suis entrée à l’école,
pas là quand je me suis pris une balançoire sur la tête,
pas là quand j’ai fait pipi au lit,
pas là quand j’ai dessiné un bonhomme avec dix doigts à chaque main,
pas là quand j’ai fait du vélo sans les roulettes,
pas là quand j’ai eu mon appareil dentaire,
pas là quand j’ai embrassé un garçon pour la première fois,
pas là quand j’ai eu de la fièvre,
pas là quand j’ai eu une mauvaise note en mathématiques,
un vingt sur vingt en italien, une heure de colle,
pas là quand j’ai voulu passer le permis,
pas là quand j’ai fui la maison dans la nuit,
pas là quand je suis allée en boîte,
pas là quand je suis rentrée trop tard,
pas là quand tout est rentré dans l’ordre,
pas là quand ma fille est née,
pas là quand j’ai rencontré mon homme,
pas là.","4
and then there’s all the times he was not there.
not there when i lost my first tooth,
not there when i started school,
not there when i got a swing in the head,
not there when i wet my bed,
not there when i drew a man with ten fingers on each hand,
not there when i rode the bike without the training wheels,
not there when i got my dental braces,
not there when i kissed a boy for the first time,
not there when i had a fever,
not there when i had a low grade in mathematics,
a ten out of ten in italian, one hour in detention,
not there when i tried to pass the driving test,
not there when i ran away from home in the middle of the night,
not there when i went to the disco,
not there when i came home too late,
not there when everything went back to normal,
not there when my daughter was born,
not there when i met my man,
not there.","• 4
And then there's every time he's not here.
Not there when I lost my first tooth,
Not there when I went to school,
Not there when I got a swing on my head,
Not there when I peed in bed,
Not there when I drew a man with ten fingers at each hand,
Not there when I did a bike without the wheels,
Not there when I got my dental device,
Not there when I kissed a boy for the first time,
Not there when I had fever,
Not there when I got a bad grade in mathematics,
One twenty out of twenty in Italian, one hour of glue,
Not there when I wanted to pass the license,
Not there when I fled home in the night,
Not there when I went to a club,
Not there when I got home too late,
Not there when everything came in order,
Not there when my daughter was born,
Not there when I met my man,
Not here.",fr_XX,en_XX,0
"dans le jardin de rocaille
un homme muet danse
on ne sait l’oraison funèbre
un homme sourd dit-ton
sème des pas d’abondance
et des cercles solaires
il n’est pas né pour entendre
la déflagration du monde
y a-t-il un lieu échoué
sur une crête oubliée
où les nouvelles ne parviendraient pas
où les nouvelles ne se supposeraient pas
où les nouvelles ne se sentiraient pas
y a-t-il une brèche de temps
qui n’attende pas
de figer nos regards
sur les écrans asphyxiés ?
y a-t-il des yeux en ce monde
des oreilles en ce monde
qui soient nés
pour accueillir
en leurs âmes
l’obscénité
l’obscénité
l’obscénité
l’obscénité
l’obscénité
et s’en détourner
et ne pas s’en détourner ?","in the rock garden
in the rock garden
a mute man dances
we don’t know what funeral oration
they say a deaf man
sows steps of abundance
and solar circles
he was not born to hear
the world exploding
is there a place washed up
on a forgotten ridge
where the news wouldn’t arrive
where the news wouldn’t be implied
where the news wouldn’t be felt
is there a breech in time
that isn’t waiting
to fix our gaze
on suffocated screens
are there eyes in this world
ears in this world
that were born
to welcome
into their souls
obscenity
obscenity
obscenity
obscenity
obscenity
and turn away
and not turn away?","In the rock garden
a mute man dances
we don't know funeral prayer
a deaf man says to you
some des pas d'abundance
and solar circles
he wasn't born to hear
the deflagration of the world
Is there a failed place
on a forgotten ridge
where the news won't get
where the news wouldn't happen
where the news wouldn't feel
Is there a time breach?
who does not wait
to freeze our eyes
on suffocated screens?
Are there eyes in this world?
of the ears in this world
born
to accommodate
in their souls
Obscenity
Obscenity
Obscenity
Obscenity
Obscenity
and turn away from it
And don't turn away from it?",fr_XX,en_XX,0
"il y a sur nos têtes une ombre verticale qui vibre
une ombre qui claque sur nos têtes
un sifflement clandestin
dans la plaine aride sur nos têtes
encombrées
et pendant que ça siffle que rien ne prévoit que ça siffle
que nos crânes bourdonnent
c’est un toit en béton qui accueille nos humeurs
nos flancs téméraires sur la plate-forme de fortune
la constellation larguée
dans le brouillard des sens
tu n’as pas abandonné l’épave poussiéreuse
des ombres verticales courent à lisière de dunes
tes yeux emmaillotés derrière la glace concave
protection anti uv non garantie
des touches noires à lisière de dunes
un solfège sans bruit
tu n’as pas abandonné l’épave poussiéreuse
une ombre verticale plantée dans la plaine aride
que tu irrigues de promesses
l’organe métallique qui vibre à lisière de poumon
sur la plate-forme de béton
où les musiques s’entrechoquent
protection non garantie
pour un totem de fortune.","from \'six makeshift trees around my bathtub \'
above our heads a vertical shadow vibrates
a shadow that flaps above our heads
a clandestine whistling
on the arid plain above our overloaded
heads
and while there’s that whistling that unanticipated whistling
as our buzzing skulls
a cement roof accommodates our moods
our reckless hipbones on the makeshift platform
the constellation set adrift
in the fog of the senses
you have not abandoned the dusty wreckage
vertical shadows race at the dunes’ edge
your eyes bandaged behind concave ice
anti-uv protection not guaranteed
a piano’s black keys
at the dunes’ edge
a scale that makes no sound
you have not abandoned the dusty wreckage
a vertical shadow planted on the arid plain
that you water with promises
the metallic organ that vibrates
at the edge of a lung
on the cement platform
where the musics clash
protection not guaranteed
for a makeshift totem.","There is a vertical shadow on our heads that vibrates
a shadow slamming on our heads
an underground whistle
in the arid plain on our heads
Congested
and while it whistles that nothing predicts it whistles
that our skulls pounce
it's a concrete roof that welcomes our moods
our reckless flanks on the makeshift platform
the constellation dropped
in the fog of the senses
You didn't give up the dusty wreck.
vertical shadows run along the edge of dunes
your eyes wrapped behind the concave ice
uv protection not guaranteed
black touches to the edge of dunes
a noise-free solfeggio
You didn't give up the dusty wreck.
a vertical shadow planted in the arid plain
Irrigation of promises
metal organ that vibrates at the edge of the lung
on the concrete platform
where the musics intertwine
protection not guaranteed
for a fortune totem.",fr_XX,en_XX,0
