original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"la poésie ne sert à rien
quand sonne le réveil, strident, brutal
et qu’il te faut bouger ton corps et ton courage du lit à la douche, au café insipide,
au garage, à la route, au bureau inutile
la poésie ne sert à rien . . .
quand tu déneiges ton pallier,
quand on te grille la priorité, quand on te raye ta voiture,
quand tu renverses ton café quand tu oublies, quand tu rates,
quand pressent les réunions, quand tombent les deadlines,
quand tu oublies de passer prendre le pain et les enfants
la poésie ne sert à rien?
quand partent les absents
de nos mémoires vides, de nos images effacées par la distance, le temps et les soucis
quand leurs visages deviennent flous vagues, pâles ou imprécis
la poésie, sert-elle à quelque chose?
quand crache la télé, du monde les infamies les guerres, les morts, les dictatures, les peurs, la faim, la haine, le désespoir, la rage, l’horreur, la peine et les tortures
la poésie sert à quelque chose
quand sonne le réveil, sifflant, jovial
et que tu te sais vivant, présent, debout
dans ton espace peuplé de gens, de sons, de souvenirs
la poésie sert
à savourer ton café, à te foutre
des dates butoir, médiocrités et autres impératifs
elle t’entoure dans tes rires, tes pleurs et tes orgasmes
la poésie est un orgasme!","poetry is useless
when the alarm clock rings, strident, brutal
you should move your body and your courage out of bed to the shower,
to the tasteless coffee, to the garage, to the road, to the boring office
poetry is useless . . .
when you clear snow from your doorstep,
when someone ignores your right of way,
when someone scratches your car,
when you spill your coffee, when you forget, when you miss,
when meetings run, when deadlines fall, when you forget to take home
bread and children
is poetry useless?
when those absent leave our memories,
cleaned from pictures, deleted by distances, weather and worries
when their faces become blurry,
vague, pale or imprecise
is poetry useful?
when tv screams out, of the world infamies, wars, death, dictatorships,
fears, hunger, hatred, despair, fury, horror, sorrow and tortures
poetry is useful
when the alarm clock rings, whistling, jovial
and you know you are alive, present, standing-up
in your living space full of people, sounds and memories
poetry helps
to enjoy your coffee, not to care
about deadlines, mediocrities and other requirements
it surrounds you when you laugh, when you cry, when you come
poetry is an orgasm!",fr_XX,en_XX,"poetry serves no purpose
when the alarm rings, strident, brutal
and you must move your body and courage from bed to shower, to insipid coffee,
to the garage, to the road, to the pointless office
poetry serves no purpose...

when you shovel your stoop,
when they cut you off, when they scratch your car,
when you spill your coffee when you forget, when you miss,
when meetings press in, when deadlines fall,
when you forget to pick up the bread and children
does poetry serve no purpose?
when the absent
fade from our empty memories, from our images erased by distance, time, and worries
when their faces become blurred, vague, pale or imprecise
does poetry serve any purpose?
when the tv spews the world's infamies, wars, deaths, dictatorships, fears, hunger, hate, despair, anger, horror, pain and torture
does poetry serve some purpose
when the alarm rings, whistling, jovial
and you know yourself alive, present, standing
in your space populated by people, sounds, memories
poetry serves
to savor your coffee, to give a damn
about deadlines, mediocrity and other imperatives
it surrounds you in your laughter, tears, and orgasms
poetry is an orgasm!",2
"je te mange. tu entres en moi dans le silence de la poésie, en même temps que tout ce que nous avons dit précédemment, avec le premier verre de vin, et aussi avec le deuxième, tu entres avec les questions posées et les réponses données, avec les phrases pour faire bonne figure et celles à double sens, avec ta main qui effleure mon bras tandis que tu prends du pain, avec les pieds sous la table et les instants de doute, tu entres avec le premier service, avec le deuxième et le troisième, avec un autre verre de vin, avec un dessert, un café et l’addition s’il vous plaît, tu entres avec une promenade en direction du phare, avec les éclats de rire et les blagues un peu stupides, avec un baiser et la saveur piquante de nos lèvres qui s’entrelacent et se taisent toute la nuit. je te mange.","i devour you
i devour you. you enter me in the silence of poetry, at the same time as everything we’ve already said, with the first glass of wine, and with the second, you enter with questions asked and answers given, with manicured words and double meaning, with your hand grazing my arm as you reach for bread, with our feet touching perhaps on purpose, you enter with the first course, with the second and third, with another glass of wine, with dessert, coffee, and the check please, you enter strolling toward the lighthouse, with laughter and silly jokes, with a kiss and the spicy taste of our lips melting, silent all night. i devour you.",fr_XX,en_XX,"I devour you. You enter into me in the silence of poetry, along with everything we've previously said, with the first glass of wine, and also with the second, you enter with the questions asked and the answers given, with the sentences to make a good impression and those with double meanings, with your hand brushing my arm as you take some bread, with feet under the table and moments of doubt, you enter with the first course, with the second and the third, with another glass of wine, with dessert, coffee, and the bill please, you enter with a stroll towards the lighthouse, with bursts of laughter and somewhat stupid jokes, with a kiss and the sharp taste of our lips intertwining and quieting down all night. I devour you.",2
"un jour les muses poseront nues pour les poetes
un jour la poésie sortira du marché de la poésie
la poésie sortira de sa tanière
et prendra la route toute seule
comme une grande
ce sera un jour de fresque
un jour peint
sans chevalet
avec des nuances hautes en couleurs
ce jour se boira clair comme une source
se mangera par grappes
mûres de fruits
de beaux fruits qui exploseront de rire
dans le jus de la bouche
l’horizon se donne couché
en toute déraison devant la phrase
un jour viendra
où les muses poseront nues pour les poètes","one day muses will pose naked for poets
one day poetry will come off the poetry market
poetry will come out of hiding
and make its own way
like a grown-up
it will be a day of frescoes
a painted day
easel-less
nuanced and colourful
on that day we’ll drink spring water
we’ll eat by the bunch
ripe with fruit
beautiful fruit that will burst into laughter
in the mouth’s juices
the horizon sets
mindlessly before the phrase
a day will come
when muses will pose naked for poets",fr_XX,en_XX,"one day the muses will pose nude for the poets
one day poetry will emerge from the market of poetry
poetry will emerge from its lair
and take the road alone
like a great one
it will be a day of fresco
a painted day
without an easel
with high-color nuances
this day will be drunk clear as a spring
eaten in bunches
ripe berries
of beautiful fruits that will burst with laughter
in the juice of the mouth
the horizon lies down
in all its madness before the phrase
one day will come
where the muses will pose nude for the poets",2
"prologue
elle
tout ceci est de mémoire profane
les poètes ont tout réinventé
il fallait un homme
qui surpasse les dieux
et qui comme tout homme
loin de sa maison
si souvent en larmes
maudisse la mer vineuse
se griffe le visage
quand le poète est mort
dix autres ont pris sa place et ont récrit l’histoire
ainsi l’homme a engendré le mythe
j’ai cloué l’espoir aux quatre murs de ma cellule
il n’est pas de territoire plus vaste que celui de ma mémoire
j’ai creusé ses montagnes, vidé ses rivières
retourné les pierres de toutes ses murailles
en attendant le retour de mon amant barbare
cet homme qui rassemble vos voix
endure vos délires
et porte tous les masques
cet homme que vous appelez ulysse","prologue
she
all that follows is from profane memory
the poets reinvented everything
they needed a man
to upstage the gods
and, like any man
far from home
with much weeping
to curse the wine-dark sea
and tear at his face
when the poet died
ten took his place and rewrote the story
and so man created the myth
i nailed hope to the four walls of my cell
there is no land more vast than memory
i hollowed out its mountains, drained its rivers
searched among the stones of all its ramparts
waiting for my errant lover to return
the man who rallies your voices
endures your deliriums
and wears every mask
the man you call ulysses",fr_XX,en_XX,"prologue
she
all this is from profane memory
the poets have reinvented everything
it took a man
who surpasses the gods
and who like any man
far from his home
so often in tears
to curse the wine-dark sea
to scratch his face
when the poet died
ten others took his place and rewrote history
thus man has engendered the myth
i have nailed hope to the four walls of my cell
there is no territory larger than that of my memory
i have dug its mountains, emptied its rivers
turned over the stones of all its walls
waiting for the return of my barbarian lover
that man who gathers your voices
suffers your deliriums
and wears all the masks
that man you call ulysses",2
"une défense de la poésie
cela se passe
ici
entre la sensation aiguë et le sentiment latent
entrant tu
as troublé le vieux jeu de l’âme
et du paysage
alors j’ai bien besoin de toi pour avancer.
quel bonheur te voir surmarcher
mon territoire, échanger quelques mots
insignifiants de passe avec les nains
du jardin. les figures humaines s’étaient tues
dans la partie construite du domaine
à la frontière à peine un vieillard retenait-
il l’attention en tranchant la queue d’une banane
affublée d’un code-barre avec un couteau suisse.
oui, dès la première sensation
la face visible annonce la couleur
le code du jour : la nature
de son lien avec la cachée. cela se passe
ici, non pas dans le « non-dit »
mais entre les vues du moment
du quartier tout à fait fidèles
et ce qu’elles couvrent qu’il faut dire.
un vérin hydraulique soutient la galerie
je m’y appuie, j’éprouve sa résistance
à chaque ligne. chaque ligne mesure
la distance entre le décor
constat que l’on dresse et son ombre
inventaire que l’on couche par écrit –
entre la sensation aiguë et le sentiment latent, entre
entre. or cette proportion capricieuse qui règle
mon débit maladif, le rythme, le débite
avait gelé dans les lieux familiers. tout un pan
gagné par le désert et ses nuits froides
et son vent-fou-que-nul-n’écoute-impunément.
le même manège : regards d’habitués qui s’évitent
préfèrent se rendre la monnaie des paroles de profil
murs et chaussée lustrés par la rêverie
pour la rêverie, sketches mille fois répétés
devant une assemblée de chaises. entrant tu
as troublé le vieux jeu de l’âme
et du paysage. l’air que tu déplaces en marchant
a regonflé les figures de cartes d’ici.
– cela nous fait un peu beaucoup d’images
non ? de quoi parlait le téléfilm hier soir ?
même pas compris si c’était un docudrama
ou quoi. – oui, tout se mêle ce matin
plutôt se juxtapose, une vue clap une autre
dosages inégaux de soleil, passants, voitures, ciment
que rien ne lie sinon l’analogie dont la raison
fuit dans la vue suivante. – au moins j’espère
qu’en les cousant tu cernes un peu mieux
ce qu’elles couvrent dans ta pauvre petite tête.
– en deux mots j’appelle ça le sentimental
alors j’ai bien besoin de toi pour avancer
d’une comparaison à l’autre ironiquement
naïvement dans cette lumière indirecte
cette « réalité » qui se cite elle-même
et se distance. car derrière elle, loin derrière
la réalisme et l’imagination piétinent
dans un mortel docudrama. – c’est tout ?
– c’est tout, j’ai trop parlé, c’est de ta faute.
maintenant changeons de terrasse
cherchons du silence mais dehors.","a defense of poetry
that happens
here
between the acute sensation and the latent feeling
entering you
troubled the old game of both soul
and landscape
so i really need you if i’m to advance.
what joy to see you walking over
my territory, exchanging a few
insignificant words in passing with the garden
gnomes. human figures had become silent
in the constructed part of the domain
on the boundary an aged man barely held
anyone’s attention as he cut the end off a banana
bearing a barcode with a swiss penknife.
yes, from the first sensation
the visible side announces the colour
the code of the day: the nature
of its link with what’s hidden. that happens
here, not in the ‘un-said’
but between the views of the moment
of the area all completely accurate
and what they cover up is what must be said.
a hydraulic jack supports the gallery
i lean on it, i test its resistance
on each line. each line measures
the distance between the décor
the record set up and its shadow
inventory you lay down in writing –
between the acute sensation and the latent feeling, enters
between. but this capricious proportion that rules
my unhealthy flow, rhythms it, gets it going
had frozen in the usual places. a whole area
invaded by the desert and its cold nights
and its mad-wind-that-no-one-listens-to-expecting-to-get-away-with-it.
the same set-up: the gaze of regulars who avoid each other
preferring to hand back the change of words in profile
walls and floor polished darkly by daydreams
for daydreams, sketches rehearsed a thousand times
before an audience of chairs. entering you
troubled the old game of both soul
and landscape. the air you displace when you walk
has re-swollen the card figures that belong here.
– that leaves us with quite a lot of images
doesn’t it? what was last night’s tv drama about?
i didn’t even get if it was a docudrama
or something else. – yes, everything’s getting muddled up this morning
or rather juxtaposed, one view bang another
unequal doses of sun, passers-by, cars, cement
that nothing links except the analogy whose logic
vanishes into the next vision. – i hope at least
that when sewing them together you understand more clearly
what they’re hiding in your poor little head.
– in two words i call that the sentimental
so i really need you if i’m to advance
from one comparison to the other ironically
naively in this indirect light
this ‘reality’ that quotes itself
and moves away. because behind it, far behind
realism and imagination stand around
in a mortal docudrama. – that’s all?
– that’s all, i’ve said too much, it’s your fault.
now let’s change terrace
let’s look for silence but outside.",fr_XX,en_XX,"A Defense of Poetry
This takes place
Here
Between the acute sensation and the latent feeling
As you enter
You have disrupted the old game of soul
And landscape
I greatly need you to move forward.
What joy to see you outstep
My territory, exchange a few
Meaningless words of pass with the dwarves
Of the garden. Human figures had been silent
In the constructed part of the domain
At the border just an old man held
Attention by trimming the tail of a banana
Adorned with a barcode with a Swiss army knife.
Yes, from the first sensation
The visible side reveals itself
The code of the day: nature
Of its bond with the hidden. This takes place
Here, not in the 'unsaid'
But between the views of the moment
Of the neighborhood quite faithful
And what they cover that must be said.
A hydraulic jack supports the gallery
I lean on it, I feel its resistance
At each line. Each line measures
The distance between the setting
Report drawn and its shadow
Inventory laid down in writing –
Between the acute sensation and the latent feeling, between
Between. Now this capricious proportion that regulates
My sickly flow, the rhythm, the debit
Had frozen in familiar places. An entire section
Taken by the desert and its cold nights
And its wind-mad-no-one-listens-impunément.
The same carousel: habitual glances that avoid each other
Prefer to give the change of words in profile
Walls and roadway polished by reverie
For reverie, sketches a thousand times repeated
Before an assembly of chairs. As you enter
You have disrupted the old game of soul
And landscape. The air you displace by walking
Has inflated the figures of the local cards.
– Doesn't that give us quite an array of images?
What was the telefilm about last night?
Not even understood if it was a docudrama
Or what. – Yes, everything mixes this morning
Rather juxtaposes, a view clap another
Unequal dosages of sun, passersby, cars, concrete
That nothing binds but the analogy the reason
Flees into the following view. – At least I hope
That by stitching them you better frame
What they cover in your poor little head.
– In two words I call it sentimental
I greatly need you to move forward
From one comparison to the other ironically
Naively in this indirect light
This 'reality' that quotes itself
And distances itself. For behind it, far behind
Realism and imagination tread
In a deadly docudrama. – Is that all?
– That's all, I've talked too much, it's your fault.
Now let's change terraces
Seek silence but outside.",2
"la poésie de france
la france possède de grands artistes et de grands poètes. la france, ses artistes, ses poètes ses plus grands artistes et ses plus grands poètes, ses plus grands artistes de ce siècle, ses plus grands poètes de ce siècle, les deux plus grands poètes et les deux plus grands artistes de france de ce siècle. la france possède les deux plus grands poètes français de ce siècle. ses deux plus grands poètes vivants de ce siècle et ses deux plus grands artistes vivants de ce siècle. le deux plus grands poètes de france écrivent des poèmes. la france possede une grande poésie car la france possède les deux plus grands poètes vivants de ce siècle de france. les deux plus grands poètes vivants de ce siècle écrivent des poèmes en france. les deux plus grands poètes vivants écrivent des poèmes en français. la france possède des poèmes de grande valeur.","poetry in france
france has great artists and great poets. france, its artists, its poets, its greatest artists and its greatest poets, its greatest artists of this century, its greatest poets of this century, the two greatest poets and the two greatest artists of france of this century. france has the two greatest french poets of this century. its two greatest living poets of this century and its two greatest living artists of this century. the two greatest poets of france write poems. france has great poetry because france has the greatest living poets of this century of france. the two greatest living poets of this century write poems in france. the two greatest living poets write poems in french. france has poems of great value.",fr_XX,en_XX,"French poetry
France possesses great artists and great poets. France, her artists, her poets, her greatest artists and her greatest poets, her greatest artists of this century, her greatest poets of this century, the two greatest poets and the two greatest artists of France of this century. France possesses the two greatest French poets of this century. Her two greatest living poets of this century and her two greatest living artists of this century. The two greatest poets of France write poems. France possesses great poetry because France possesses the two greatest living poets of this century in France. The two greatest living poets of this century write poems in France. The two greatest living poets write poems in French. France possesses poems of great value.",2
"fatras
i.
a première vue, ce ne sont que des jeux incohérents. des remplissages grotesques. un non-sens exhibé. voire une impression de platitude. des variations formelles pour le plaisir d’une élite. un élixir ! le lecteur d’aujourd’hui s’ennuie devant la complexité des techniques mises en œuvre. il n’entend rien à toutes ces expérimentations délurées du langage. les journaux lui parlent autrement. chaque jour une catastrophe nouvelle le plonge dans l’angoisse. du sang éclabousse les récits rapportés. une trame d’éléments imprévisibles où se discernent mal les fils d’or de la broderie.
ii.
la contrainte exercée fausse la syntaxe. des décalages s’insinuent dans la distorsion du vocabulaire. la narration n’obéit à aucune causalité. les événements se succèdent à l’identique. cela amuse quelques stylistes qui voient là une liberté exemplaire. mais les jongleries ne parviennent pas à faire taire les ventres creux. on se heurte de partout à un sens douteux. on cherche les mots qui tranchent pour avoir le dessus. en réalité les choix restent restreints. les noms prédominent sur les verbes et les adjectifs. toponymes terribles. obscénités ciselées. blasphèmes irrémédiables. scatologie malsaine. noms d’animaux ou de gens répugnants. désignations de certaines parties du corps. tout ça grouille dans une trivialité qui provoque un léger dégoût.
iii.
ça frise la polyphonie macabre. on ne s’écoute plus au milieu du tableau. chacun trouve son compte dans l’affaire, dit-il. mais le compte n’est pas bon. il ne s’agit pas d’un simple trait de plume. tu vois combien le moindre mot pèse sur la langue. le débusquer n’a pas été de tout repos. tu souffres devant les contradictions du lexique avec l’espoir de plus en plus réduit de trouver une issue. la parole n’est jamais libre ni profuse malgré les signes d’ouverture. c’est un saignement qui ne tarit pas. un couleur locale sans l’emphase du temps.
au delà, un vide apparent produit un effet de contraste.","hodgepodge
i.
at first sight, they are only incoherent games. grotesque fillers. show-off non-sense. smacking of the platitudinous. formal variations for the pleasure of an elite. an elixir! today’s reader is bored faced with the complexity of the techniques put into play. he understands nothing of all these sassy-smart experiments with language. the newspapers speak differently to him. each day a new catastrophe engulfs him in anguish. blood all over the reported stories. a woof of unforeseeable elements where it is difficult to recognize the golden threads of the embroidery.
ii.
the practiced constraint falsifies syntax. intervals insinuate themselves into the distortion of the vocabulary. the narrative obeys no causality. events follow each other without any change. this amuses some stylists who see in it an exemplary freedom. but such juggling is incapable of silencing the empty bellies. everywhere one bumps into a dubious meaning. one looks for words with an edge to get the upper hand. in fact, the choices remain limited. the nouns prevail over the verbs and adjectives. terrible toponyms. chiseled obscenities. irremediable blasphemies. unhealthy scatologies. repugnant names of animals or people. earmarking of certain body parts. all of which teems in a triviality that provokes a slight disgust.
iii.
it borders on a macabre polyphony. one doesn’t listen to one another anymore in the middle of the tableau. there’s something in it for everyone, he says. but it doesn’t add up. it is not a question of a simple stroke of the pen. you see how heavy the slightest word weighs down on language. to ferret it out hasn’t been a picnic. you suffer faced with the contradictions of the lexicon in the ever slighter hope of finding a way out. language is never free or profuse despite signs of an opening up. it is a bleeding that can’t be staunched. a local color lacking the emphasis of time.
beyond that, an apparent emptiness produces an effect of contrast.",fr_XX,en_XX,"fatras
i.
at first glance, these are just incoherent games. grotesque fillers. an exhibited nonsense. or an impression of flatness. formal variations for the pleasure of an elite. an elixir! today's reader is bored by the complexity of the techniques used. he doesn't understand all these daring experiments with language. newspapers talk to him differently. every day, a new catastrophe plunges him into anguish. blood splatters the reported accounts. a web of unpredictable elements where the golden threads of embroidery are barely discernible.
ii.
the constraint applied distorts syntax. shifts creep into the distortion of vocabulary. the narration obeys no causality. events succeed each other identically. this amuses some stylists who see this as exemplary freedom. but the juggling fails to silence hollow stomachs. everywhere one encounters a dubious sense. one searches for words that stand out to gain the upper hand. in reality, choices remain restricted. nouns predominate over verbs and adjectives. terrible toponyms. carved obscenities. irremediable blasphemies. unhealthy scatology. names of repugnant animals or people. designations of certain body parts. all this swarms in a triviality that causes a slight disgust.
iii.
it borders on macabre polyphony. one no longer listens amidst the tableau. each finds his account in the affair, he says. but the account is not good. it is not a simple stroke of the pen. you see how much the slightest word weighs on the tongue. uncovering it was no easy task. you suffer in the face of the contradictions of the lexicon with increasingly reduced hope of finding an exit. speech is never free or profuse despite signs of openness. it is a bleeding that never stops. a local color without the emphasis of time.
beyond, an apparent void produces a contrast effect.",2
"césure – i.
s’il vient interroger une trace à moitié calcinée, c’est poussé par
un atavisme ou plutôt une technique jalousement gardée. dans le secret, il a
tissé le poème. des mois de retraite dans le désert, livré aux vents, pour se
conformer à la tradition. gerçures et fouet. l’âpreté de l’écho initie à des
ruptures de ton. le sang se dilue dans l’éloignement. se découvre alors la
fragilité du rythme avec une peur soudaine de l’obscurité. il ne dira rien du
frémissement de l’ouïe ni de l’étrangeté des visions. des images sonores
se bousculent…
il se tient debout pour évoquer la demeure.
la circonstance est banale contrairement aux mots pour la décrire.
toute une mise en scène rhétorique pour évacuer le mutisme de la cendre.","caesura – i.
if he comes to interrogate a half-burned trace, he does so impelled by an atavism or rather a jealously guarded technique. he has woven the poem in secrecy. months of retreat in the desert, at the mercy of the winds, so as to conform to the tradition. chaffing and the whip. the echo’s harshness initiates into tonal ruptures. remoteness dilutes the blood. that’s when the rhythm’s fragility is discovered together with a sudden fear of obscurity. he’ll say nothing about the shiver in the hearing or the strangeness of the visions. sound images jostle…
he stands upright to evoke the dwelling.
the circumstance is banal in contrast to the words that describe it.
a complete rhetorical staging in order to evacuate the mutism of the ashes.",fr_XX,en_XX,"caesura – i.
if he comes to question a trace half-burned, it's driven by
an atavism or rather a technique jealously guarded. in secret, he has
woven the poem. months of retreat in the desert, exposed to the winds, to conform to tradition. cracks and lash. the harshness of the echo initiates into tone disruptions. blood dilutes in distance. the fragility of the rhythm is then discovered with a sudden fear of darkness. he will say nothing of the trembling of hearing or the strangeness of visions. sound images crowd each other...
he stands to evoke the abode.
the circumstance is banal unlike the words to describe it.
a whole rhetorical mise en scène to evacuate the muteness of the ash.",2
"césure – vi
elle n’a jamais quitté cette trace qui se lit dans la roche quelquefois. chacun localise là où une nostalgie le presse. pour la décrire tu invoques les arbres et la faune à l’entour. tous les patelins d’arabie, et leurs fleurs précoces et leurs bourrasques y passent.
une géographie idéale où les stations s’équivalent. les femmes de la tribu sont belles et inaccessibles. le désir violent moque ton ardeur. il dérive sans retenue dans la joute. il y a aussi le vin rouge et les algarades.
« et l’amour ? comment cela se passe, dans le désert ? car ces gens aiment par-dessus tout ! »
le poète se fie à sa technique et l’étendue du vocabulaire. il a toute une année pour accomplir sa tâche.","caesura – vi.
she has never left that trace that sometimes can be read in the rock. everyone localizes there where a nostalgia presses him. to describe her you invoke the trees and the fauna all around. all the villages of arabia with their early flowers and their gusts of wind get listed.
an ideal geography in which all stations are equivalent. the women of the tribe are beautiful and inaccessible. violent desire mocks your ardor. with nothing holding it back it drifts into the joust. there’s also the red wine and the angry outbursts.
‘and love? how does that happen, in the desert? because people love, before all else!’
the poet trusts in his technique and in the scope of the vocabulary. he has a whole year to accomplish his task.",fr_XX,en_XX,"caesura – i
she has never left this trace that is read in the rock sometimes. everyone locates where a nostalgia presses them. to describe it, you invoke the trees and the fauna around. all the villages of arabia, and their early flowers and gusts pass there.
an ideal geography where the stations are equivalent. the women of the tribe are beautiful and inaccessible. the violent desire mocks your ardor. it drifts without restraint in the contest. there is also the red wine and the uproars.
'and love? how does it go, in the desert? for these people love above all else!'
the poet relies on his technique and the range of his vocabulary. he has an entire year to accomplish his task.",2
"les obscenites
obscène le poème non dit, non fait
– le seul à dire, le seul à ne pas faire –
et qui se tait, se terre au fond du corps
comme un foetus mort et déjà pourrissant.
(et dehors obscène la chatte qui rapporte
le chant d’un oiseau tué entre ses dents.)","obscenities
obscene the poem says not, does not
– the only thing to say, the only thing not to do –
and which is silent, hides in the depths of the body
like a foetus dead and already decaying.
(and beyond obscene is the cat who reports
the song of a bird killed in her teeth.)",fr_XX,en_XX,"The obscenities
obscene is the unsaid, undone poem
– the only one to speak, the only one not to act –
and which remains silent, buries itself deep within the body
like a dead fetus already rotting.
(and outside, obscene, the cat brings back
the song of a bird killed between its teeth.)",2
