original_poem,translated_poem,translated_by_TA,src_lang,tgt_lang,topic
"kasala pour mon kaku ii
mvidi mukulu, l’esprit aîné, avait puni mon kaku d‘une longévité absurde
kaku vieillissait, pourrissait mais ne trépassait pas pour autant
il se targuait d‘être né en 1667, en 1756 ou 1786
une fois, il mourut même pendant trente minutes
et ressuscita comme si de rien n’était
protestataire de la première pluie, beau gosse
du haut de ses trois siècles d‘âge
mon kaku avait le sang frais d‘un jeunot","kasala for my kaku ii
mvidi mukulu, the elder spirit, punished my kaku with an absurdly long life
kaku grew older, he broke down, but did not pass away for all that
he boasted he had been born in 1667, in 1756 or 1786
once, he even died for thirty minutes
and was raised from the dead as if nothing had happened
protester of the first rain, fine looking fellow
from the summit of his three centuries of age
my kaku had the quick blood of a youngster","my kaku ii
mvidi mukulu, the old mind, had punished my kaku with an absurd longevity
kaku aging, losing, but not passing
he presumed to have been born in 1667, 1756 or 1786
once he died even for thirty minutes
and recovered as if nothing was
protester of the first rain, nice gosse
the highest of its three centuries of age
my kaku had the fresh blood of a cheetah",fr_XX,en_XX,0
"1
je ne me souviens de rien.
rien.
il y a un avant, noir, vide, silencieux.
après il y a ma tante qui me donne de la purée en imitant l’avion avec la cuillère à soupe.
à partir de l’avion, à partir de la purée, tout est net.
chaque souvenir est là, limpide, pur.
les odeurs des placards, des gens, de la nourriture.
les bruits, les chansons, les comptines, les voix, les rires, tout est là.
les couleurs, les imprimés, les fleurs, les pièces de la maison,
les jouets, le jardin d’enfants, tout.
mais avant ça, rien.
tout noir.","1
i can’t remember anything.
nothing.
there’s a before, dark, empty and silent.
afterwards there’s my aunt feeding me mashed potatoes and
imitating a plane with the tablespoon.
then, from the plane, from the mashed potatoes, everything is clear.
every memory is there, limpid, pure.
the smell of closets, of people, of food.
the sounds, the songs, the nursery rhymes, the voices, the smiles,
everything is there.
the colours, the prints, the flowers, every room of the house, the toys,
the kindergarten, everything.
but before that, nothing.
just darkness.","In addition, the Committee recommends that the State party take all necessary measures to ensure the full enjoyment of all human rights and fundamental freedoms, including the right to freedom of opinion and expression.
I don't remember anything.
nothing.
there is a front, black, empty, silent.
after there is my aunt who gives me purity by imitating the airplane with the soup spoon.
From the airplane, from the purse, everything is clean.
Every memory is there, clean, pure.
the smells of placards, people, food.
The noises, the songs, the comptines, the voices, the laughs, everything is there.
colours, prints, flowers, houseware,
the toys, the kindergarten, everything.
but before that, nothing.
all black.",fr_XX,en_XX,0
"a.
en cette journée lézardée de déceptions où le bleu a quitté la mer pour envahir la colline chaînes blindées dans l’amas minuscule minuit avorte le jour laissant la casbah à ses débris. j’en appelle à la mémoire d’alger de ses comptoirs marins aux chars de l’occupation j’en appelle à hassiba à djamila à didouche et à boudiaf aux ancêtres et aux amnésiques aux violeurs de rêves et aux traîtres de toujours j’en appelle à chaque goutte versée à chaque humiliation que jaillisse enfin la baie et qu’elle nous habite qu’elle ouvre nos paupières assommées que se réveillent al anka et les diwans assiégés que s’ouvrent les seuils de nos maisons et que s’élève le chant nouveau. que se lève le tgv expresse, qu’il ramène la brise de tanger et qu’il amorce sa course de tunis à alexandrie et de beyrouth à istanbul. que s’ouvre un jour nouveau et que minuit embaume de jasmin.","a.
on this morning cracked with disappointments when blue has left the sea to invade the hill in a uniformed chain tightening on the diminishing crowds. midnight aborts the day leaving the casbah to its rubbish and fragments. i appeal to the memory of algiers from its seaside bars to the tanks of the occupation, i appeal to hassiba to djamila to didouche and to boudiaf to the ancestors and to the amnesiacs to the rapists of dreams and to the perpetual traitors i appeal to every drop spilled to every humiliation let the bay gush forth at last and let it inhabit us let it open our senseless eyelids let al anka and the besieged diwans awaken let the doorways of our houses open and let a new song arise. let the tgv express awaken, let it bring back the breeze from tanger and let it start a new route from tunis to alexandria and from beirut to istanbul. let a new day open and let midnight be fragrant with jasmine.","a.
on this day of disappointments where the blue has left the sea to invade the hill chains armoured in the tiny hammocks midnight aborts the day leaving the casbah to its debris. I call upon the memory of raising its sea counters to the ships of the occupation I call upon Hassiba to djamila to doouche and to boudiaf to the ancestors and amputees to the violators of dreams and to the heirs of eternity I call upon every drop paid to every humiliation that finally glows the bay and that it dwells in us that it opens our sleepy pappies that wakes al anka and the seated diwans that opens the thresholds of our houses and that rises the new song. that the express tgv awakens, that he brings the break of tanger and that he begin",fr_XX,en_XX,0
"'le livre du large et du long' (fragment)
de ses deux mains, il prit de la cendre poussiéreuse,
qu’il versa sur sa tête grise en sanglotant très fort.
-
bonjour et salut
depuis toujours je bougeais pour comprendre
voici parmi les manières de raconter
une
j'étais jeune au départ
je ne connaissais pas ma taille
car je ne connaissais ni bien ni mal ni choses ni rien
car les serpents n'ont pas la connaissance
de la hauteur de la largeur c'est faux
car je n’étais pas serpent mais j’aurais
pu car je remarqu’cent fois +
mille tout est faux mais vrai
les serpents mesurent ce qu'ils trouv avec leurs corps c'est leur manière
d'être en vie et ce fût ma manière
voulant comprendre le monde avec mon corps écoutez-moi
j’aimais mon existence
et je m’agenouillais pour ainsi dire devant ce sentiment
il faudrait le comprendre
j’avais le don de moi sur terre
suppliant donnant détruisant
rendant ordonnant accourant
rencontrant trainant revenant
servant appelant rentrant
protégeant réglant je charbonnais ma
gueule entendant descendant sonnant
ébranlant courant jaillissant décochant
planant écoutant écrivant calculant
j’en ai vu sautillant déplaçant
titubant caressant bondissant parlant
noyant
j’ai reculé frappé flotté
je jure mes têtes mes morts
balançant écrasant vissant vissant dans quoi vissant
j’ai beaucoup mythonné
j’ai mythonné les jours
j’ai mythonné le corps
j’ai mythonné moi-même
sage gai triste en colère
m'ennuyant ayant froid ayant peur ayant mal faisant mal
vitement calmement vivement
je ramassais les os de petites créatures
mortes je calculais
les kilomètres parcourus par des insectes
hérissés de cils courts clairsemés
dans le pourri indéfiniment r’
résisteraient les fibres les nervures des feuilles
réduisant par
cisaille
les résidus en pate dans leurs petits intestins – ces insectes
que j’imaginais
et distribuais mes molécul au hasard par ma langue que je passais sur
les meubles dans la maison et sur les murs
les rues les bancs le métro sur les écharp des gens le peupl
je voulus me répandre
souvent je téléphonais à mes amis pour leur dire – je n'existe pas
mes amis répondaient tu n'existes pas
car je n’avais pas d’amis
au hasard les voix des numéros disaient –qui êtes-vous
je répondais – je n'existe pas ils répondaient – oui
je répondais – et dîtes-mois pourquoi je n'existerais pas
ils répondaient des paroles que je rayais
je les rayais et je rayais les feuilles sur les arbr
que je croisais avec une aiguille
méchante méchante et je classais mes objets par ordre alphabétiqu et
je les détestais
j
me roulant
à l'intérieur de me longtemps
et il n’y eût ni quête ni marais ni grain
ni inférieurs ni supérieurs ni sommet
ni capitale ni troupes ni majesté
ni zguègues ni balance ni millions
ni kichta ni bombes ni jardin ni religion ni cause
pour me calmer
j'imaginais des asticots plus longs que vous et me
dans les zones des aires de la nature
plus étendus que mon père et mes soeurs
ma mère et tous les cousinages des périmètres
il faut me croire à propos de moi je pensais du vide
la route était dure autour de me
ma main ne possédait ni bien ni mal ni rien
chaque matin devenait pire car le matin ne possédait ni rien ni rien
les dimensions deviennent douloureuses
ceci blesse
ceci blesse
comme rien ne ressembl à rien tout ressemble à tout
exactement exactement je me le dis
la membrane entre la lumière et l'oeil
une chose sans forme déformée
je profite de moi comme une sécurité
profitant du vocabulaire
profitant de me comme une sécurité
profitant de me comme un profit
soudain les angles furent des angles et les pointes des pointes
je m’endormis
...","le livre du large et du long (fragment)
he took the powdery ash in both hands,
pouring it over his grey head as he wept.
-
hello and hi there
i always longed to understand
so here amongst the many ways of telling is
one
i was young to begin with
i didn’t know my size
as i didn’t know right or wrong or anything or nothing
as snakes aren’t aware
that height and width is wrong
as i wasn’t a snake but i could
have because i notice a hundred times +
a thousand everything is wrong but right
snakes measure whatever they find with their bodies it’s their way of
being alive and that was my way
wanting to understand the world with my body listen to me
i loved my existence
and i bowed down so to speak before that feeling
you must understand
i had the gift of myself on earth
begging giving destroying
submitting ordering rushing
finding dragging returning
serving calling coming back
protecting resolving i blackened my
mouth hearing descending resounding
shaking running spurting shooting
gliding listening writing calculating
i saw some bouncing shifting
staggering stroking leaping speaking
drowning
i retreated struck flustered
i swear on my life my death
swinging crushing screwing screwing in what screwing
i bullshitted a lot
i bullshitted days
i bullshitted bodies
i bullshitted myself
good joyful sad angry
getting bored being cold being afraid being hurt hurting
quickly calmly deeply
i collected the bones of little
dead creatures i calculated
the kilometres covered by insects
bristling with short thin lashes
in the indefinitely rotten air
the leaf’s fibres its veins will resist
reduction by
shears
the pasty residue in their small intestines – these insects
that i imagined
and randomly disbursed my molecules with my tongue which i passed over the furniture in the house and over the walls
the streets the benches the metro on people’s scarves the people
i wanted to spread myself around
i often called my friends to tell them - i don’t exist
my friends responded you don’t exist
as i didn’t have any friends
the random voices dialled said – who are you
i replied – i don’t exist they replied – yes
i replied – and tell me why i don’t exist
they replied with the words that i scratched out
i scratched them out and i scratched the leaves onto the trees
that i crossed with a needle
naughty naughty and i arranged my objects in alphabetical order and
i hated them
i
turning myself
within iself for a long time
and there was no quest or marsh or grain
no lowers or uppers or summit
or capital or troops or majesty
or dicks or account or millions
no coin or bombs or garden or religion or cause
to calm myself
i imagined maggots longer than you or i
in the airy parts of nature
stretchier than my father and my sisters
my mother and all the distant cousins
believe me when i say i thought of emptiness
the road was hard around me
my hand held no right or wrong or anything
every morning got worse because the morning didn’t hold a thing not a thing
dimensions become painful
that hurts
that hurts
as nothing looks like anything everything looks like everything
exactly exactly i tell myself
the membrane between light and eye
a deformed formless thing
i enjoy myself as a safety
enjoying vocabulary
enjoying i as a safety
enjoying i as an enjoyment
suddenly angles were angles and points were points
i fell asleep","'the book of the broad and the long' (fragment)
from both his hands, he took the dusty ash,
that he turns on his grey head, bleeding very hard.
- Amendment to the Criminal Code of the Republic of Moldova
welcome and greetings
ever since I was walking to understand
here are some of the ways to tell
a
I was young at the beginning
I didn't know my size
because I knew neither good nor bad, neither things nor anything
because snakes do not know
height of the width is false
because I was not a snake, but I would have
can because I notice a hundred times +
thousand everything is false but true
snakes measure what they find with their bodies is their way
to be alive and that was my way
wanting to understand the world with my body listen to me
I loved my existence
and I was thrilled, to say the least, by this feeling
should be understood
I had the gift of myself on earth
crying giving destructive
ordering acquiring
meeting trainee returning
returning appellant servant
protecting regulating I coal my
guerule listening down sounding
burning cooling current decaying
Planner Listening Writing Calculating
I saw a moving jumper
titubant caressing jumping talking
noyan
I have retreated hit floating
I judge my heads my deaths
skydiving skydiving skydiving what skydiving
I was very mythical
I mythoned the days
I have mythized the body
I have mythologized myself
sage gai sad in anger
annoying having cold having fear having wrong doing wrong
quickly calmly
I picked up the bones of little creatures
dead I calculated
kilometres travelled by insects
inherited from short, clear-sewn shells
in the indefinite r
fibre resistant leaf nerves
reducing by
sail
residues in their small intestines – these insects
that I had imagined
and distributed my molecule randomly through my language, which I passed on
furniture in the home and on the walls
the streets the benches the subway on the rooftops of the people the pop
I wanted to spread
often I would call my friends to tell them – I don’t exist
my friends replied you don't exist
because I had no friends
by chance the numbers’ votes said –who are you
I replied – I don’t exist they replied – yes
I replied – and you know why I wouldn’t exist
they responded to words that I cried out
I tear them and I tear the leaves on the arbr
that I crossed with a needle
and I classified my objects in alphabetical order and
I detained them
j
rolling
within me long
and there would be no search, no marshes, no grain
nor lower nor upper nor top
no capital, no troops, no majesty
not Zguegs nor balance nor millions
ni kichta ni bombs ni garden ni religion ni cause
to calm me down
I imagined the asticots longer than you and me
in nature areas
more than my father and my sisters
my mother and all cousins of the perimeter
must believe me about me I thought of the vacuum
the road was rough around me
my hand had neither good nor bad nor anything
every morning became worse because in the morning there was nothing or nothing
the dimensions become painful
this hurts
this hurts
as nothing looks like nothing everything looks like everything
exactly exactly I'm saying
the membrane between light and the eye
a thing without deformed form
I take advantage of myself as a security
using vocabulary
taking advantage of me as a security
profiting from me as a profit
suddenly the angles were angles and the points of the points
I fell asleep
...",fr_XX,en_XX,0
"trains
le paysage défile comme un jackson pollock, vaches en pointillés, nuages étirés, taches tournesols et rails déformés. la fenêtre froide se colle à mon oreille et j’entends tatactater la bête humaine.
tatactatoum, tatactatoum, tatactatoum.
je ne suis pas eva marie saint, je n’ai ni la mort aux trousses ni les baisers de cary grant. il n’y a derrière la vitre que ces paysages de cartes postales, cette campagne d’avant-guerre, ces empreintes ferroviaires : une vache, un château, une église, un âne, une vieille mobylette ou un train à la retraite, de l’herbe à perte de vue, des champs de coquelicots, un village suspendu, la dame-blanche, un mouton ou peut-être une chèvre, un autre coquelicot, une jupe en corolle, une canette de soda, un plastique, une poubelle, un néon, un flash.
tatactatoum, tatactatoum, tatactatoum.
je ne suis pas celia johnson dans brève rencontre à attendre jeudi prochain, jeudi prochain, jeudi prochain, les amours interdites dans un petit café. il n’y a derrière la glace que d’amers paysages qui se répètent et défilent et reviennent et repassent et tournent et recommencent et les vaches se ressemblent et la neige dissimule les pas des loups, des ogres et des sorcières.
tatactatoum, tatactatoum, tatactatoum.
je ne suis pas marilyn monroe dans certains l’aiment chaud. il n’y a devant mes yeux que d’immenses pâtis, rocailles et herbes folles que les cornes ébahies ruminent méthodiquement.
tatactatoum, tatactatoum, tatactatoum.
défilent les kilomètres, le nord est encore loin. cent-cinq virgule huit, nous arriverons demain.","trains
scenes unravel like a jackson pollock, cow dots, stretched clouds, sunflower patches and deformed tracks. the cold window sticks to my ear and i can hear the tactactac of the human beast.
tatactatum, tatactatum, tatactatum.
i am not eva marie saint, i am not going north by northwest and cary grant is not kissing me. all i can see behind these glass panes are picture postcard scenes, pre-war countryside, railway prints: a cow, a castle, a church, a donkey, an old motorcycle or a disused train, grass as far as the eye can see, poppy fields, a village on the hills, the white lady, a sheep or maybe a goat, a single poppy, a flared skirt, a can of a fizzy drink, a piece of plastic, a bin, a neon light, a flash.
tatactatum, tatactatum, tatactatum.
i am not celia johnson in brief encounter waiting for next thursday, next thursday, next thursday’s forbidden loves in a little café. all i can see behind this window pane are bitter landscapes going round and round and on and on and cows look like cows and the snow hides every trace of wolf, ogre and witch.
tatactatum, tatactatum, tatactatum.
i am not marilyn monroe in some like it hot. all i can see are immense mounds, rock gardens and weeds which astonished horns methodically ruminate.
tatactatum, tatactatum, tatactatum.
the kilometres add up, the north is still a long way away. a hundred and five point eight, we’ll get there tomorrow.","trains
The landscape swirls like a jackson pollock, pointed cows, distant clouds, sunspots and deformed railroads. The cold window hits my ear and I hear the human beast yell.
tatactatoum, tatactatoum, tatactatoum.
I’m not a saintly wife, I don’t have a dead kit or cary grant bathers. There’s only these postcard landscapes behind the window, this pre-war countryside, these railroad footprints: a cow, a castle, a church, a donkey, an old mobylet or retirement train, the grass that loses its sight, the fields of coquelicots, a suspended village, the white lady, a sheep or maybe a sheep, another coquelicot, a rolled-up jacket, a soda can, plastic, a trash, a neon, a flash.
tatactatoum, tatactatoum, tatactatoum.
I’m not celia johnson in a short meeting to wait next Thursday, next Thursday, next Thursday, the forbidden loves in a small coffee shop. There’s nothing behind the ice but amer landscapes that repeat and walk and come back and eat and turn and start and cows resemble and the snow hides the steps of wolves, ogres and sorcerers.
tatactatoum, tatactatoum, tatactatoum.
I’m not Marilyn monroe in some hot bed. There’s just a lot of fat, rocky and crazy grass in front of me, and the whispering ears rumble rhythmically.
tatactatoum, tatactatoum, tatactatoum.
cross the kilometres, the north is still far. fifty-five decimal eight, we will arrive tomorrow.",fr_XX,en_XX,0
"tu n’as pas abandonné la maison
c’est la maison qui t’a abandonné
ton pays
les bâtisses de ton enfance
ton village
ce bleu particulier
aux dernières heures du printemps
la terre de tes ancêtres
si tu t’en souviens
les cailloux placés là
qu’on replace
sans trop savoir pourquoi
et qui apaisent
qui rassurent nos regards pressés
cet arbre solitaire
au sommet de la colline
que tu n’as pas foulée de tes pieds
***
tu as habité le sol
sous tes orteils
nul ne prévoit
quand commence le voyage
quand il est temps de quitter
la colline
de cheminer
vers la montagne des autres
nul ne prévoit
où se dessinent les lignes
qui te séparent
de la géographie des autres
de leurs ombres
tu as habité
de tout ton être
la ligne
à traverser
***
quand on cherche
c’est avec les mains
qu’on observe
avec le corps ouvert
abandonné
à la montagne
c’est dans le mouvement
que s’enracine
la mémoire
dans le mouvement
que s’habite la courbe
ta maison abandonne
qui l’abandonne
s’émiette sur qui veut
rouiller son souffle
ta maison c’est là où tu transportes
ton enfance.","‘you didn’t leave home’
you didn’t leave home
your home left you
your country
the buildings of your childhood
your village
that special blue
of the last hours of spring
land of your ancestors
if you remembered those
pebbles placed just so
and put back
without quite knowing why
that assuage
that reassure our hurried glances
that solitary tree
on a hilltop
where you never set foot
***
you inhabited the ground
under your toes
no one foresees
when the journey will begin
when it’s time to leave
the hill
make your way
toward their mountain, the others
no one foresees
where the lines will be drawn
that separate you
from the others’ geography
from their shadows
you inhabited
with all your being
the line
to be crossed
***
whoever searches
observes
with his hands
with the body open
and abandoned
on the mountain
it’s in movement
that memory
takes root
in movement
that the curve is at home
your house abandons
whoever abandoned it
crumbles on whoever
would rust its breath
your house is wherever you carry
your childhood","you haven’t left the house
it’s the house that left you
your country
your childhood buildings
your village
this particular blue
at the last hours of spring
the land of your ancestors
if you remember
the stones placed there
replaced by
not knowing too well why
and which are relaxing
that ease our urgent eyes
this solitary tree
at the top of the hill
that you have not dug your feet
***
you have lived on the ground
under your hands
no provision
when the journey begins
when it is time to leave
hill
railway
to the mountain of the others
no provision
where lines are drawn
that separate you
of the geography of the others
of their members
you have lived
of all your being
line
through
***
when looking for
it is with the hands
observed
with the open body
abandoned
in the mountain
it is in the movement
the roots of
the memory
in movement
that the curve is used
your house is abandoned
which abandons it
....
rolling his breath
your home is where you transport
your childhood.",fr_XX,en_XX,0
"ce que j’aime de jésus
ce sont ses pieds délavés
et ceux de ses compagnons
- treize auréoles -
sur les icones abandonnées
du petit mont athos bulgare
je ne parle pas du figuier
- le figuier que jésus illumine –
ni de la roche en cascade
- ça ressemble plus au grand canyon
qu’à la galilée –
ces pieds finement délavés de jésus
me font penser aux peintures rupestres
du tassili
il n’y a aucun pied aussi finement
tracé sur les roches du hoggar
ce sont des silhouettes longilignes
suspendues
exactement comme le christ
suspendues figées et dynamiques à la fois
c’est un éclair
une allusion dénuée de logique
en apparence
on trouve ce qu’on trouve
surtout si c’est autre chose qu’on observe
ce que j’aime de l’astrophysicien
ce sont ses pressentiments
quand il dit peut-être
quand il dit que la statistique
a altéré la physique
l’a figée
vidée
désincarnée
quand il dit que la matière
n’est pas matière
que le temps et l’espace
sont hérésie
que nous autres humains
nous prenons trop au sérieux
à nous croire fragiles
à nous inventer puissants
que nous inventons des repères
que nous oublions les avoir inventés
qu’il faut lever le contrôle
quand il dit peut-être
rendre son âme à ton doute","what i like about jesus
what i like about jesus
are his faded feet
and those of his companions
-- thirteen haloes –
on the abandoned icons
of the small bulgarian mount athos
i’m not talking about the fig tree
-- the fig tree jesus illuminates—
nor of the cascade of rocks
-- more like the grand canyon than galilee—
jesus’ delicately faded feet
made me think of the rock paintings
of tassili
there is no foot as finely
traced on hoggar’s boulders
they are long slender figures
suspended
exactly like the christ
suspended fixed and dynamic at once
it’s a lightning bolt
an allusion stripped of logic
or so it seems
you find what you find
above all when it’s different from what you see
what i like about the astrophysicist
are his premonitions
when he says perhaps
when he says that statistics
have altered physics
fixed it in place
emptied
disembodied
when he says that matter
isn’t matter
that time and space
are heresy
that we humans
take ourselves too seriously
thinking ourselves fragile
inventing ourselves powerful
that we invent landmarks
that we forget having invented them
that we must relinquish control
when he says perhaps
give your doubt back its soul","what I love about Jesus
are his feet shifted
and those of his companions
- 13 awards -
on abandoned icons
the small Bulgarian athos mountain
I'm not talking about the feather
- the feather that Jesus lights –
or cascade rock
- it looks more like a big canyon
as well as chicken –
these feet finely shifted from jésus
I think of cave paintings
Tassili
there is no foot so finely
on Hoggar rocks
these are long-lined silhouettes
suspended
just like the Christian
fig suspended and dynamic at the same time
is a lightning bolt
a non-logical allegation
apparent
we find what we find
especially if it is something else that is observed
what I like about the astrophysicist
these are his pressures
when he may say
when he says that statistics
has altered the physical
the
envisaged
incarcerated
when it states that the substance
is not material
that time and space
are heroic
that we other human beings
we take too seriously
believe we are fragile
to invent powerful
that we invent benchmarks
that we forget to have invented them
that controls need to be lifted
when he may say
make his voice your doubt",fr_XX,en_XX,0
"4
et puis il y a toutes les fois où il n’est pas là.
pas là quand j’ai perdu ma première dent,
pas là quand je suis entrée à l’école,
pas là quand je me suis pris une balançoire sur la tête,
pas là quand j’ai fait pipi au lit,
pas là quand j’ai dessiné un bonhomme avec dix doigts à chaque main,
pas là quand j’ai fait du vélo sans les roulettes,
pas là quand j’ai eu mon appareil dentaire,
pas là quand j’ai embrassé un garçon pour la première fois,
pas là quand j’ai eu de la fièvre,
pas là quand j’ai eu une mauvaise note en mathématiques,
un vingt sur vingt en italien, une heure de colle,
pas là quand j’ai voulu passer le permis,
pas là quand j’ai fui la maison dans la nuit,
pas là quand je suis allée en boîte,
pas là quand je suis rentrée trop tard,
pas là quand tout est rentré dans l’ordre,
pas là quand ma fille est née,
pas là quand j’ai rencontré mon homme,
pas là.","4
and then there’s all the times he was not there.
not there when i lost my first tooth,
not there when i started school,
not there when i got a swing in the head,
not there when i wet my bed,
not there when i drew a man with ten fingers on each hand,
not there when i rode the bike without the training wheels,
not there when i got my dental braces,
not there when i kissed a boy for the first time,
not there when i had a fever,
not there when i had a low grade in mathematics,
a ten out of ten in italian, one hour in detention,
not there when i tried to pass the driving test,
not there when i ran away from home in the middle of the night,
not there when i went to the disco,
not there when i came home too late,
not there when everything went back to normal,
not there when my daughter was born,
not there when i met my man,
not there.","In addition, the Committee recommends that the State party take all necessary measures to ensure the full enjoyment of all human rights and fundamental freedoms, including the right to education, including the right to health, the right to food, the right to education, the right to health care and the right to education.
and then there are all the times when he isn’t there.
not there when I lost my first tooth,
not there when I went to school,
not there when I took a swing on my head,
not there when I was in bed,
not there when I drew a good man with ten fingers in each hand,
not there when I did the bike without the roulettes,
not there when I had my dental device,
not there when I first hugged a boy,
not there when I had the fever,
not when I got a bad grade in mathematics,
one in twenty in Italian, one hour of glue,
not there when I wanted to pass the permit,
not there when I fled home at night,
not there when I went into the box,
not there when I came back too late,
not when everything is in order,
not when my daughter was born,
not there when I met my husband,
not there.",fr_XX,en_XX,0
"dans le jardin de rocaille
un homme muet danse
on ne sait l’oraison funèbre
un homme sourd dit-ton
sème des pas d’abondance
et des cercles solaires
il n’est pas né pour entendre
la déflagration du monde
y a-t-il un lieu échoué
sur une crête oubliée
où les nouvelles ne parviendraient pas
où les nouvelles ne se supposeraient pas
où les nouvelles ne se sentiraient pas
y a-t-il une brèche de temps
qui n’attende pas
de figer nos regards
sur les écrans asphyxiés ?
y a-t-il des yeux en ce monde
des oreilles en ce monde
qui soient nés
pour accueillir
en leurs âmes
l’obscénité
l’obscénité
l’obscénité
l’obscénité
l’obscénité
et s’en détourner
et ne pas s’en détourner ?","in the rock garden
in the rock garden
a mute man dances
we don’t know what funeral oration
they say a deaf man
sows steps of abundance
and solar circles
he was not born to hear
the world exploding
is there a place washed up
on a forgotten ridge
where the news wouldn’t arrive
where the news wouldn’t be implied
where the news wouldn’t be felt
is there a breech in time
that isn’t waiting
to fix our gaze
on suffocated screens
are there eyes in this world
ears in this world
that were born
to welcome
into their souls
obscenity
obscenity
obscenity
obscenity
obscenity
and turn away
and not turn away?","in the rock garden
a mute dancing man
unknown funeral oratory
a deaf man says so
flows of abundance
and solar circles
it is not born to hear
the deflagration of the world
is there a failed location
on a forgotten ridge
where the news would not reach
where the news would not be expected
where the news would not feel
there is a shortage of time
which does not expect
to look at
on asphyxiated screens?
there are eyes in this world
ears in this world
who are born
to accommodate
in their hearts
the obscenity
the obscenity
the obscenity
the obscenity
the obscenity
and deviate from it
and not turn away from it?",fr_XX,en_XX,0
"il y a sur nos têtes une ombre verticale qui vibre
une ombre qui claque sur nos têtes
un sifflement clandestin
dans la plaine aride sur nos têtes
encombrées
et pendant que ça siffle que rien ne prévoit que ça siffle
que nos crânes bourdonnent
c’est un toit en béton qui accueille nos humeurs
nos flancs téméraires sur la plate-forme de fortune
la constellation larguée
dans le brouillard des sens
tu n’as pas abandonné l’épave poussiéreuse
des ombres verticales courent à lisière de dunes
tes yeux emmaillotés derrière la glace concave
protection anti uv non garantie
des touches noires à lisière de dunes
un solfège sans bruit
tu n’as pas abandonné l’épave poussiéreuse
une ombre verticale plantée dans la plaine aride
que tu irrigues de promesses
l’organe métallique qui vibre à lisière de poumon
sur la plate-forme de béton
où les musiques s’entrechoquent
protection non garantie
pour un totem de fortune.","from \'six makeshift trees around my bathtub \'
above our heads a vertical shadow vibrates
a shadow that flaps above our heads
a clandestine whistling
on the arid plain above our overloaded
heads
and while there’s that whistling that unanticipated whistling
as our buzzing skulls
a cement roof accommodates our moods
our reckless hipbones on the makeshift platform
the constellation set adrift
in the fog of the senses
you have not abandoned the dusty wreckage
vertical shadows race at the dunes’ edge
your eyes bandaged behind concave ice
anti-uv protection not guaranteed
a piano’s black keys
at the dunes’ edge
a scale that makes no sound
you have not abandoned the dusty wreckage
a vertical shadow planted on the arid plain
that you water with promises
the metallic organ that vibrates
at the edge of a lung
on the cement platform
where the musics clash
protection not guaranteed
for a makeshift totem.","there is a vertical shadow on our heads that glows
a shadow that knocks on our heads
unlawful seizure
in the dry plain on our heads
compressed
and while it's ringing, there's nothing to say that it's ringing
that our skulls bourdon
it is a concrete roof that welcomes our guests
our controlling flanks on the fortune platform
extended constellation
in the fog of directions
you haven’t abandoned the dust storm
vertical shades running at the edge of dunes
your eyes wrapped behind the concave ice
non-guaranteed UV protection
black-lined dune touches
noise-free shelter
you haven’t abandoned the dust storm
a vertical shade planted in the dry plain
that you are making promises
the metal organ that vibrates to the lung lining
on the concrete platform
where music intersects
unsecured protection
for a fortune totem.",fr_XX,en_XX,0
