original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"la poésie ne sert à rien
quand sonne le réveil, strident, brutal
et qu’il te faut bouger ton corps et ton courage du lit à la douche, au café insipide,
au garage, à la route, au bureau inutile
la poésie ne sert à rien . . .
quand tu déneiges ton pallier,
quand on te grille la priorité, quand on te raye ta voiture,
quand tu renverses ton café quand tu oublies, quand tu rates,
quand pressent les réunions, quand tombent les deadlines,
quand tu oublies de passer prendre le pain et les enfants
la poésie ne sert à rien?
quand partent les absents
de nos mémoires vides, de nos images effacées par la distance, le temps et les soucis
quand leurs visages deviennent flous vagues, pâles ou imprécis
la poésie, sert-elle à quelque chose?
quand crache la télé, du monde les infamies les guerres, les morts, les dictatures, les peurs, la faim, la haine, le désespoir, la rage, l’horreur, la peine et les tortures
la poésie sert à quelque chose
quand sonne le réveil, sifflant, jovial
et que tu te sais vivant, présent, debout
dans ton espace peuplé de gens, de sons, de souvenirs
la poésie sert
à savourer ton café, à te foutre
des dates butoir, médiocrités et autres impératifs
elle t’entoure dans tes rires, tes pleurs et tes orgasmes
la poésie est un orgasme!","poetry is useless
when the alarm clock rings, strident, brutal
you should move your body and your courage out of bed to the shower,
to the tasteless coffee, to the garage, to the road, to the boring office
poetry is useless . . .
when you clear snow from your doorstep,
when someone ignores your right of way,
when someone scratches your car,
when you spill your coffee, when you forget, when you miss,
when meetings run, when deadlines fall, when you forget to take home
bread and children
is poetry useless?
when those absent leave our memories,
cleaned from pictures, deleted by distances, weather and worries
when their faces become blurry,
vague, pale or imprecise
is poetry useful?
when tv screams out, of the world infamies, wars, death, dictatorships,
fears, hunger, hatred, despair, fury, horror, sorrow and tortures
poetry is useful
when the alarm clock rings, whistling, jovial
and you know you are alive, present, standing-up
in your living space full of people, sounds and memories
poetry helps
to enjoy your coffee, not to care
about deadlines, mediocrities and other requirements
it surrounds you when you laugh, when you cry, when you come
poetry is an orgasm!",fr_XX,en_XX,"Poetry serves nothing to use .
When sounds <unk> <unk> <unk> .
And <unk> you need to move your body and your courage to the <unk> coffee .
<unk> to the unnecessary office at the unnecessary office .
The poetry is nothing .
When you look at your <unk> .
When you move to your <unk> when you &apos;re <unk> your <unk> .
When you walk back when you walk when you hear your coffee when you go to sleep when you go to sleep when you lose your coffee when you go to sleep when you go to sleep when you lose your coffee
When <unk> comes when <unk> fall out .
When you try to spend the bread and the kids .
The poetry is only serves to <unk> .
When the <unk> go off .
<unk> of our <unk> <unk> from the <unk> and the struggles of our <unk> .
When their faces become blurred <unk> or <unk> <unk> .
<unk> <unk> at a <unk> .
<unk> the <unk> of the world to the <unk> , the <unk> , the <unk> , the <unk> , the <unk> , the <unk> <unk> , the <unk> <unk> , the <unk> .
It serves poetry for something .
<unk> <unk> <unk> <unk> .
And you know <unk> <unk> .
In your space populated by <unk> of memories of memories .
Poetry serves poetry .
<unk> your <unk> to <unk> .
<unk> <unk> and other imperatives .
<unk> in your <unk> and your orgasms .
Poetry is a <unk> .",2
"je te mange. tu entres en moi dans le silence de la poésie, en même temps que tout ce que nous avons dit précédemment, avec le premier verre de vin, et aussi avec le deuxième, tu entres avec les questions posées et les réponses données, avec les phrases pour faire bonne figure et celles à double sens, avec ta main qui effleure mon bras tandis que tu prends du pain, avec les pieds sous la table et les instants de doute, tu entres avec le premier service, avec le deuxième et le troisième, avec un autre verre de vin, avec un dessert, un café et l’addition s’il vous plaît, tu entres avec une promenade en direction du phare, avec les éclats de rire et les blagues un peu stupides, avec un baiser et la saveur piquante de nos lèvres qui s’entrelacent et se taisent toute la nuit. je te mange.","i devour you
i devour you. you enter me in the silence of poetry, at the same time as everything we’ve already said, with the first glass of wine, and with the second, you enter with questions asked and answers given, with manicured words and double meaning, with your hand grazing my arm as you reach for bread, with our feet touching perhaps on purpose, you enter with the first course, with the second and third, with another glass of wine, with dessert, coffee, and the check please, you enter strolling toward the lighthouse, with laughter and silly jokes, with a kiss and the spicy taste of our lips melting, silent all night. i devour you.",fr_XX,en_XX,I &apos;ll take you back to me in the silence of the <unk> at the same time that all we &apos;ve said is <unk> with the first glass of <unk> and the <unk> <unk> with the sentences to make a good figure and the <unk> <unk> with the <unk> and the <unk> and the <unk> of the <unk> and the <unk> and the <unk> of the <unk> and the <unk> and the <unk> of the <unk> and the <unk> .,2
"un jour les muses poseront nues pour les poetes
un jour la poésie sortira du marché de la poésie
la poésie sortira de sa tanière
et prendra la route toute seule
comme une grande
ce sera un jour de fresque
un jour peint
sans chevalet
avec des nuances hautes en couleurs
ce jour se boira clair comme une source
se mangera par grappes
mûres de fruits
de beaux fruits qui exploseront de rire
dans le jus de la bouche
l’horizon se donne couché
en toute déraison devant la phrase
un jour viendra
où les muses poseront nues pour les poètes","one day muses will pose naked for poets
one day poetry will come off the poetry market
poetry will come out of hiding
and make its own way
like a grown-up
it will be a day of frescoes
a painted day
easel-less
nuanced and colourful
on that day we’ll drink spring water
we’ll eat by the bunch
ripe with fruit
beautiful fruit that will burst into laughter
in the mouth’s juices
the horizon sets
mindlessly before the phrase
a day will come
when muses will pose naked for poets",fr_XX,en_XX,"<unk> <unk> for <unk> .
One day the poetry comes from the poetry market .
The poetry comes from her <unk> .
And take the road alone .
like a big one .
It will be a day of <unk> .
one day painted one day painted .
<unk> without <unk> <unk> without <unk> .
With high colors in color .
This day would become clear as a source .
<unk> by clusters .
<unk> fruit .
<unk> fruit .
In the juice of the mouth .
<unk> .
In front of the sentence .
one day will come one day .
<unk> <unk> for poets .",2
"prologue
elle
tout ceci est de mémoire profane
les poètes ont tout réinventé
il fallait un homme
qui surpasse les dieux
et qui comme tout homme
loin de sa maison
si souvent en larmes
maudisse la mer vineuse
se griffe le visage
quand le poète est mort
dix autres ont pris sa place et ont récrit l’histoire
ainsi l’homme a engendré le mythe
j’ai cloué l’espoir aux quatre murs de ma cellule
il n’est pas de territoire plus vaste que celui de ma mémoire
j’ai creusé ses montagnes, vidé ses rivières
retourné les pierres de toutes ses murailles
en attendant le retour de mon amant barbare
cet homme qui rassemble vos voix
endure vos délires
et porte tous les masques
cet homme que vous appelez ulysse","prologue
she
all that follows is from profane memory
the poets reinvented everything
they needed a man
to upstage the gods
and, like any man
far from home
with much weeping
to curse the wine-dark sea
and tear at his face
when the poet died
ten took his place and rewrote the story
and so man created the myth
i nailed hope to the four walls of my cell
there is no land more vast than memory
i hollowed out its mountains, drained its rivers
searched among the stones of all its ramparts
waiting for my errant lover to return
the man who rallies your voices
endures your deliriums
and wears every mask
the man you call ulysses",fr_XX,en_XX,"<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
She she , she she , she she , she she , she she , she she , she she
All of this is <unk> memory .
The poets have sacrificed everything .
It had a man .
<unk> the gods .
And that just like every man .
from his house away from his house .
So often in tears .
<unk> the <unk> Sea .
<unk> your face .
When the poet died .
Ten others took their place and <unk> <unk> .
<unk> has generated the myth .
<unk> <unk> <unk> at the four walls of my cell .
It will not make any larger territory than my memory .
<unk> dug its <unk> empty rivers .
Let &apos;s go back to the stones .
<unk> the return of my lover .
This guy who brings together your voice .
<unk> your delusions .
And all the masks and door .
This man you call <unk> .",2
"une défense de la poésie
cela se passe
ici
entre la sensation aiguë et le sentiment latent
entrant tu
as troublé le vieux jeu de l’âme
et du paysage
alors j’ai bien besoin de toi pour avancer.
quel bonheur te voir surmarcher
mon territoire, échanger quelques mots
insignifiants de passe avec les nains
du jardin. les figures humaines s’étaient tues
dans la partie construite du domaine
à la frontière à peine un vieillard retenait-
il l’attention en tranchant la queue d’une banane
affublée d’un code-barre avec un couteau suisse.
oui, dès la première sensation
la face visible annonce la couleur
le code du jour : la nature
de son lien avec la cachée. cela se passe
ici, non pas dans le « non-dit »
mais entre les vues du moment
du quartier tout à fait fidèles
et ce qu’elles couvrent qu’il faut dire.
un vérin hydraulique soutient la galerie
je m’y appuie, j’éprouve sa résistance
à chaque ligne. chaque ligne mesure
la distance entre le décor
constat que l’on dresse et son ombre
inventaire que l’on couche par écrit –
entre la sensation aiguë et le sentiment latent, entre
entre. or cette proportion capricieuse qui règle
mon débit maladif, le rythme, le débite
avait gelé dans les lieux familiers. tout un pan
gagné par le désert et ses nuits froides
et son vent-fou-que-nul-n’écoute-impunément.
le même manège : regards d’habitués qui s’évitent
préfèrent se rendre la monnaie des paroles de profil
murs et chaussée lustrés par la rêverie
pour la rêverie, sketches mille fois répétés
devant une assemblée de chaises. entrant tu
as troublé le vieux jeu de l’âme
et du paysage. l’air que tu déplaces en marchant
a regonflé les figures de cartes d’ici.
– cela nous fait un peu beaucoup d’images
non ? de quoi parlait le téléfilm hier soir ?
même pas compris si c’était un docudrama
ou quoi. – oui, tout se mêle ce matin
plutôt se juxtapose, une vue clap une autre
dosages inégaux de soleil, passants, voitures, ciment
que rien ne lie sinon l’analogie dont la raison
fuit dans la vue suivante. – au moins j’espère
qu’en les cousant tu cernes un peu mieux
ce qu’elles couvrent dans ta pauvre petite tête.
– en deux mots j’appelle ça le sentimental
alors j’ai bien besoin de toi pour avancer
d’une comparaison à l’autre ironiquement
naïvement dans cette lumière indirecte
cette « réalité » qui se cite elle-même
et se distance. car derrière elle, loin derrière
la réalisme et l’imagination piétinent
dans un mortel docudrama. – c’est tout ?
– c’est tout, j’ai trop parlé, c’est de ta faute.
maintenant changeons de terrasse
cherchons du silence mais dehors.","a defense of poetry
that happens
here
between the acute sensation and the latent feeling
entering you
troubled the old game of both soul
and landscape
so i really need you if i’m to advance.
what joy to see you walking over
my territory, exchanging a few
insignificant words in passing with the garden
gnomes. human figures had become silent
in the constructed part of the domain
on the boundary an aged man barely held
anyone’s attention as he cut the end off a banana
bearing a barcode with a swiss penknife.
yes, from the first sensation
the visible side announces the colour
the code of the day: the nature
of its link with what’s hidden. that happens
here, not in the ‘un-said’
but between the views of the moment
of the area all completely accurate
and what they cover up is what must be said.
a hydraulic jack supports the gallery
i lean on it, i test its resistance
on each line. each line measures
the distance between the décor
the record set up and its shadow
inventory you lay down in writing –
between the acute sensation and the latent feeling, enters
between. but this capricious proportion that rules
my unhealthy flow, rhythms it, gets it going
had frozen in the usual places. a whole area
invaded by the desert and its cold nights
and its mad-wind-that-no-one-listens-to-expecting-to-get-away-with-it.
the same set-up: the gaze of regulars who avoid each other
preferring to hand back the change of words in profile
walls and floor polished darkly by daydreams
for daydreams, sketches rehearsed a thousand times
before an audience of chairs. entering you
troubled the old game of both soul
and landscape. the air you displace when you walk
has re-swollen the card figures that belong here.
– that leaves us with quite a lot of images
doesn’t it? what was last night’s tv drama about?
i didn’t even get if it was a docudrama
or something else. – yes, everything’s getting muddled up this morning
or rather juxtaposed, one view bang another
unequal doses of sun, passers-by, cars, cement
that nothing links except the analogy whose logic
vanishes into the next vision. – i hope at least
that when sewing them together you understand more clearly
what they’re hiding in your poor little head.
– in two words i call that the sentimental
so i really need you if i’m to advance
from one comparison to the other ironically
naively in this indirect light
this ‘reality’ that quotes itself
and moves away. because behind it, far behind
realism and imagination stand around
in a mortal docudrama. – that’s all?
– that’s all, i’ve said too much, it’s your fault.
now let’s change terrace
let’s look for silence but outside.",fr_XX,en_XX,"A defense of poetry .
It &apos;s happening .
here here here here here here .
<unk> feeling between the acute sensation and the <unk> feeling .
Come home you go to you .
<unk> the old game of <unk> .
and landscape landscape and landscape .
So let &apos;s take a good need for you .
What happiness can you see ?
My <unk> exchange a few words .
<unk> with the dwarfs .
<unk> <unk> <unk> .
In the built area of the field .
At the border barely a <unk> <unk> .
He <unk> the banana <unk> tail .
<unk> <unk> <unk> with a <unk> knife .
<unk> from the first sensation .
The visible face <unk> color .
The code of the day : the nature of the day .
It &apos;s going to happen with the <unk> .
Not in the &quot; <unk> . &quot;
But between the views of the moment of the moment .
The entire neighborhood is completely faithful to the neighborhood .
And this <unk> covers <unk> .
<unk> <unk> support the gallery .
I <unk> <unk> <unk> .
Every single line measures every single line .
The distance between the scene between the landscape .
Make sure that <unk> is <unk> .
Let &apos;s make sure that <unk> .
<unk> feeling between the acute sensation and the <unk> feeling between the <unk> feeling and the
<unk> that <unk> proportion that rule rule rule that rule rule rule .
My <unk> <unk> la <unk> .
It had frozen in the <unk> places all a <unk> .
The <unk> and the cold night .
and her <unk> .
The same <unk> , the <unk> <unk> .
We prefer to make the word of the speech profile .
<unk> and <unk> .
For the <unk> <unk> <unk> .
In front of a gathering of <unk> , you go to a gathering of <unk> .
<unk> the old game of <unk> .
And <unk> <unk> that you &apos;re going to walk .
<unk> the figures of <unk> cards .
-- that makes us a little bit <unk> .
What was the <unk> yesterday ?
I don &apos;t even understand that .
Or <unk> -- <unk> all this morning .
<unk> a <unk> view .
<unk> <unk> <unk> <unk> <unk> .
I don &apos;t know that nothing links .
<unk> in the <unk> view .
<unk> the <unk> you &apos;ll ring a little better .
This <unk> covers in your poor little <unk> .
-- in two words .
So let &apos;s take a good need for you to go forward .
Let &apos;s compare to <unk> ironically .
naively in this indirect light .
And that &quot; reality &quot; that the word &quot; reality &quot; is itself .
<unk> behind <unk> behind <unk> .
<unk> and <unk> <unk> .
In a <unk> mortal -- <unk> ?
<unk> <unk> <unk> <unk> <unk> .
Now it &apos;s changing .
<unk> for silence but <unk> .",2
"la poésie de france
la france possède de grands artistes et de grands poètes. la france, ses artistes, ses poètes ses plus grands artistes et ses plus grands poètes, ses plus grands artistes de ce siècle, ses plus grands poètes de ce siècle, les deux plus grands poètes et les deux plus grands artistes de france de ce siècle. la france possède les deux plus grands poètes français de ce siècle. ses deux plus grands poètes vivants de ce siècle et ses deux plus grands artistes vivants de ce siècle. le deux plus grands poètes de france écrivent des poèmes. la france possede une grande poésie car la france possède les deux plus grands poètes vivants de ce siècle de france. les deux plus grands poètes vivants de ce siècle écrivent des poèmes en france. les deux plus grands poètes vivants écrivent des poèmes en français. la france possède des poèmes de grande valeur.","poetry in france
france has great artists and great poets. france, its artists, its poets, its greatest artists and its greatest poets, its greatest artists of this century, its greatest poets of this century, the two greatest poets and the two greatest artists of france of this century. france has the two greatest french poets of this century. its two greatest living poets of this century and its two greatest living artists of this century. the two greatest poets of france write poems. france has great poetry because france has the greatest living poets of this century of france. the two greatest living poets of this century write poems in france. the two greatest living poets write poems in french. france has poems of great value.",fr_XX,en_XX,"<unk> poetry .
The <unk> has great artists and great <unk> , and the <unk> , his greatest artists , and his greatest <unk> , his greatest artists of this <unk> , the two greatest poets of this century , and the two greatest artists of the <unk> , the two greatest poets of this century , and the two greatest artists of this century , the two greatest poets of this century , and the two greatest artists of this century , the two greatest poets of this century , and the two of the greatest poets of this century , the two greatest poets of this century would be having great poems .",2
"fatras
i.
a première vue, ce ne sont que des jeux incohérents. des remplissages grotesques. un non-sens exhibé. voire une impression de platitude. des variations formelles pour le plaisir d’une élite. un élixir ! le lecteur d’aujourd’hui s’ennuie devant la complexité des techniques mises en œuvre. il n’entend rien à toutes ces expérimentations délurées du langage. les journaux lui parlent autrement. chaque jour une catastrophe nouvelle le plonge dans l’angoisse. du sang éclabousse les récits rapportés. une trame d’éléments imprévisibles où se discernent mal les fils d’or de la broderie.
ii.
la contrainte exercée fausse la syntaxe. des décalages s’insinuent dans la distorsion du vocabulaire. la narration n’obéit à aucune causalité. les événements se succèdent à l’identique. cela amuse quelques stylistes qui voient là une liberté exemplaire. mais les jongleries ne parviennent pas à faire taire les ventres creux. on se heurte de partout à un sens douteux. on cherche les mots qui tranchent pour avoir le dessus. en réalité les choix restent restreints. les noms prédominent sur les verbes et les adjectifs. toponymes terribles. obscénités ciselées. blasphèmes irrémédiables. scatologie malsaine. noms d’animaux ou de gens répugnants. désignations de certaines parties du corps. tout ça grouille dans une trivialité qui provoque un léger dégoût.
iii.
ça frise la polyphonie macabre. on ne s’écoute plus au milieu du tableau. chacun trouve son compte dans l’affaire, dit-il. mais le compte n’est pas bon. il ne s’agit pas d’un simple trait de plume. tu vois combien le moindre mot pèse sur la langue. le débusquer n’a pas été de tout repos. tu souffres devant les contradictions du lexique avec l’espoir de plus en plus réduit de trouver une issue. la parole n’est jamais libre ni profuse malgré les signes d’ouverture. c’est un saignement qui ne tarit pas. un couleur locale sans l’emphase du temps.
au delà, un vide apparent produit un effet de contraste.","hodgepodge
i.
at first sight, they are only incoherent games. grotesque fillers. show-off non-sense. smacking of the platitudinous. formal variations for the pleasure of an elite. an elixir! today’s reader is bored faced with the complexity of the techniques put into play. he understands nothing of all these sassy-smart experiments with language. the newspapers speak differently to him. each day a new catastrophe engulfs him in anguish. blood all over the reported stories. a woof of unforeseeable elements where it is difficult to recognize the golden threads of the embroidery.
ii.
the practiced constraint falsifies syntax. intervals insinuate themselves into the distortion of the vocabulary. the narrative obeys no causality. events follow each other without any change. this amuses some stylists who see in it an exemplary freedom. but such juggling is incapable of silencing the empty bellies. everywhere one bumps into a dubious meaning. one looks for words with an edge to get the upper hand. in fact, the choices remain limited. the nouns prevail over the verbs and adjectives. terrible toponyms. chiseled obscenities. irremediable blasphemies. unhealthy scatologies. repugnant names of animals or people. earmarking of certain body parts. all of which teems in a triviality that provokes a slight disgust.
iii.
it borders on a macabre polyphony. one doesn’t listen to one another anymore in the middle of the tableau. there’s something in it for everyone, he says. but it doesn’t add up. it is not a question of a simple stroke of the pen. you see how heavy the slightest word weighs down on language. to ferret it out hasn’t been a picnic. you suffer faced with the contradictions of the lexicon in the ever slighter hope of finding a way out. language is never free or profuse despite signs of an opening up. it is a bleeding that can’t be staunched. a local color lacking the emphasis of time.
beyond that, an apparent emptiness produces an effect of contrast.",fr_XX,en_XX,"<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
It &apos;s a <unk> <unk> , and it &apos;s only a <unk> game of <unk> <unk> , and it &apos;s a <unk> <unk> of the <unk> <unk> , and it &apos;s a <unk> <unk> , and it &apos;s a <unk> <unk> of the <unk> <unk> , and it &apos;s a <unk> <unk> , and it &apos;s a <unk> <unk> .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
The <unk> <unk> of the <unk> <unk> in the distortion of the <unk> <unk> in the <unk> of the <unk> , the <unk> of the <unk> to <unk> , a few <unk> that see a <unk> freedom , but the <unk> don &apos;t get to silence the <unk> <unk> , and the <unk> <unk> <unk> <unk> <unk> , and <unk> <unk> <unk> <unk> <unk> <unk> , and <unk> <unk> <unk> <unk> <unk> <unk> , and <unk> <unk> <unk> <unk> <unk> .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
It &apos;s <unk> <unk> , and it &apos;s not going to be in the middle of the <unk> , and it &apos;s <unk> <unk> , but it &apos;s not <unk> <unk> , it &apos;s not <unk> , it &apos;s <unk> , and it &apos;s not <unk> , it &apos;s <unk> , and it &apos;s not <unk> , it &apos;s all about the <unk> of the <unk> , and it &apos;s not <unk> .
<unk> an apparent vacuum produces a <unk> effect .",2
"césure – i.
s’il vient interroger une trace à moitié calcinée, c’est poussé par
un atavisme ou plutôt une technique jalousement gardée. dans le secret, il a
tissé le poème. des mois de retraite dans le désert, livré aux vents, pour se
conformer à la tradition. gerçures et fouet. l’âpreté de l’écho initie à des
ruptures de ton. le sang se dilue dans l’éloignement. se découvre alors la
fragilité du rythme avec une peur soudaine de l’obscurité. il ne dira rien du
frémissement de l’ouïe ni de l’étrangeté des visions. des images sonores
se bousculent…
il se tient debout pour évoquer la demeure.
la circonstance est banale contrairement aux mots pour la décrire.
toute une mise en scène rhétorique pour évacuer le mutisme de la cendre.","caesura – i.
if he comes to interrogate a half-burned trace, he does so impelled by an atavism or rather a jealously guarded technique. he has woven the poem in secrecy. months of retreat in the desert, at the mercy of the winds, so as to conform to the tradition. chaffing and the whip. the echo’s harshness initiates into tonal ruptures. remoteness dilutes the blood. that’s when the rhythm’s fragility is discovered together with a sudden fear of obscurity. he’ll say nothing about the shiver in the hearing or the strangeness of the visions. sound images jostle…
he stands upright to evoke the dwelling.
the circumstance is banal in contrast to the words that describe it.
a complete rhetorical staging in order to evacuate the mutism of the ashes.",fr_XX,en_XX,"Make sure <unk> .
<unk> comes to a half <unk> <unk> .
A <unk> or a <unk> technique in the <unk> , it &apos;s got a <unk> .
<unk> the months of retirement in the <unk> <unk> to the <unk> .
<unk> to the <unk> <unk> and <unk> <unk> of <unk> .
<unk> the blood <unk> in <unk> &apos;s <unk> .
<unk> of the rhythm with sudden fear of <unk> , it &apos;s not going to say anything about it .
<unk> de <unk> and <unk> of sound .
<unk> <unk> itself .
He &apos;s standing up for the <unk> .
<unk> is commonplace unlike words for <unk> .
A whole game set at a rhetorical stage to <unk> the <unk> of the <unk> .",2
"césure – vi
elle n’a jamais quitté cette trace qui se lit dans la roche quelquefois. chacun localise là où une nostalgie le presse. pour la décrire tu invoques les arbres et la faune à l’entour. tous les patelins d’arabie, et leurs fleurs précoces et leurs bourrasques y passent.
une géographie idéale où les stations s’équivalent. les femmes de la tribu sont belles et inaccessibles. le désir violent moque ton ardeur. il dérive sans retenue dans la joute. il y a aussi le vin rouge et les algarades.
« et l’amour ? comment cela se passe, dans le désert ? car ces gens aiment par-dessus tout ! »
le poète se fie à sa technique et l’étendue du vocabulaire. il a toute une année pour accomplir sa tâche.","caesura – vi.
she has never left that trace that sometimes can be read in the rock. everyone localizes there where a nostalgia presses him. to describe her you invoke the trees and the fauna all around. all the villages of arabia with their early flowers and their gusts of wind get listed.
an ideal geography in which all stations are equivalent. the women of the tribe are beautiful and inaccessible. violent desire mocks your ardor. with nothing holding it back it drifts into the joust. there’s also the red wine and the angry outbursts.
‘and love? how does that happen, in the desert? because people love, before all else!’
the poet trusts in his technique and in the scope of the vocabulary. he has a whole year to accomplish his task.",fr_XX,en_XX,"Make it <unk> .
It will never leave that record that reads in the <unk> rock every single one of them where a nostalgia to describe it to you , and the animals and the animals in <unk> , and their early <unk> and their early <unk> .
It &apos;s an ideal geography where the <unk> stations of the tribe are beautiful and <unk> the violent desire for your <unk> , and it &apos;s not <unk> to the <unk> , it &apos;s the red and the <unk> .
&quot; and <unk> ? How does this happen in the desert ? &quot;
The poet is based on her technique , and he has a whole year to accomplish his <unk> .",2
"les obscenites
obscène le poème non dit, non fait
– le seul à dire, le seul à ne pas faire –
et qui se tait, se terre au fond du corps
comme un foetus mort et déjà pourrissant.
(et dehors obscène la chatte qui rapporte
le chant d’un oiseau tué entre ses dents.)","obscenities
obscene the poem says not, does not
– the only thing to say, the only thing not to do –
and which is silent, hides in the depths of the body
like a foetus dead and already decaying.
(and beyond obscene is the cat who reports
the song of a bird killed in her teeth.)",fr_XX,en_XX,"<unk> <unk> .
<unk> poem <unk> <unk> .
-- the only one in <unk> the only one not to do it .
And that was going on to the back of the body .
like a dead fetus and already <unk> .
<unk> outside the cat .
<unk> bird songs killed between her <unk> .",2
