original_poem,translated_poem,src_lang,tgt_lang,topic
"noli me tangere
hésite le flocon dans le ciel bleu
a nouveau, le dernier flocon de la grande neige.
et c’est comme entrerait au jardin celle qui
avait bien du rêver ce qui pourrait être,
ce regard, ce dieu simple, sans souvenir
du tombeau, sans pensée que le bonheur,
sans avenir
que sa dissipation dans le bleu du monde.
‘non, ne me touche pas’, lui dirait-il,
mais même dire non serait de lumière.","noli me tangere
the flake hesitates in the blue sky
once again, the last flake of the big snow.
and it’s as though she who must surely have imagined
what could be would enter the garden,
that look, that simple god, without remembering
the tomb, without any thought but happiness,
without any future
except its dispersal in the blue of the world.
‘no, don’t touch me,’ he would say to her,
but even to say no would shed light.",fr_XX,en_XX,1
"de natura rerum
lucrèce le savait:
ouvre le coffre,
tu verras, il est plein de neige
qui tourbillonne.
et parfois deux flocons
se rencontrent, s’unissent,
ou bien l’un se détourne, gracieusement
dans son peu de mort.
d’où vient qu’il fasse clair
dans quelques mots
quand l’un n’est que la nuit,
l’autre, qu’un rêve ?
d’où viennent ces deux ombres
qui vont, riant,
et l’une emmitouflée
d’une laine rouge ?","de natura rerum
lucretius knew it:
open the chest
and you will see that it’s full of swirling
snow.
and sometimes two flakes
meet, combine,
or else one turns aside gracefully
in its small death.
where does the idea come from that it’s clear
in a few words
when the one is only the night,
the other only a dream?
where do those two shadows come from
going along smiling,
and the one muffled up
in red wool?",fr_XX,en_XX,1
"juste avant l’aube
je regarde à travers les vitres, et je crois comprendre
qu’il a cessé de neiger. une flaque bleue
s’étend, brillante un peu, devant les arbres,
d’une paroi à l’autre de la nuit.
je sors.
je descends précautionneusement l’escalier de bois
dont les marches sont nivelées par la neige fraîche.
le froid cerne et pénètre mes chevilles,
il semble que l’esprit en soit plus clair,
qui perçoit mieux le silence des choses.
dort-il encore
dans l’enchevêtrement du tas de bois
serré sous la fenêtre,
le chipmunk, notre voisin simple,
ou est-il déjà à errer dans les crissements et le froid?
je vois d’infimes marques devant la porte.","just before dawn
just before dawn
i look through the window, and i think i understand
that it has stopped snowing. a blue puddle
spreads, sparkling a little, in front of the trees,
from one end to the other of the night.
i go out.
i cautiously go down the wooden stairs
where the fresh snow has levelled the steps.
the cold surrounds and penetrates my ankles,
it seems that my mind is clearer because of it,
which perceives better the silence of things.
he is still sleeping
in the confusion of the pile of wood
ricked under the window,
the chipmunk, our simple neighbour,
or is he already roaming in the crunchy cold?
i see tiny marks in front of the door.",fr_XX,en_XX,1
"l’été encore
j’avance dans la neige, j’ai fermé
les yeux, mais la lumière sait franchir
les paupières poreuses, et je perçois
que dans mes mots c’est encore la neige
qui tourbillonne, se resserre, se déchire.
neige,
lettre que l’on retrouve et que l’on déplie,
et l’encre en a blanchi et dans les signes
la gaucherie de l’esprit est visible
qui ne sait qu’en enchevêtrer les ombres claires.
et on essaye de lire, on ne comprend pas
qui s’intéresse à nous dans la mémoire,
sinon que c’est l’été encore; et que l’on voit
sous les flocons les feuilles, et la chaleur
monter du sol absent comme une brume.","summer again
i go through the snow. i closed
my eyes, but the light can still get through
my porous eyelids, and i perceive
that in my words it’s still the snow
that swirls, thickens, bursts.
snow,
a letter that we find and unfold,
and the ink on it has faded and in the marks
the clumsiness of the wit is visible
which can only muddle up its sharp shadows.
and we try to read, we don’t understand
who is interested in us in memory,
except that it’s summer again; and we see
under the flakes the leaves, and the heat
rise from the missing sun like a mist.",fr_XX,en_XX,1
"ville-perce-neige
j’ai voulu
penser des villes perce-neige,
des villes percées-de-neige
pour tes doigts.
j’ai voulu penser
des villes blanches, des villes de neige,
pour ces quelques tiges – en givre - sur tes doigts
au lieu des sourires qui restent clos.
j’ai voulu
penser des aurores blanches, prisonnières des neiges.
sans cure.
et des pluies, des pluies, des pluies,
lentes, sans prévenance, trempées d’or,
pluies de neige
comme tes rôles, tes visages sans faille, appris par cœur
te quittent, te trahissent, te défont chaque jour dans le silence terrible des salles, sans épilogue.
– j’ai voulu ne rien dire.
j’ai voulu penser des villes prisonnières
de ces quelques mots brodés de neiges, qui s’égarent.
j’ai voulu me taire,
me tenir ici - être loin,
dans le corps d’étés suspendus,
– pour tes étés qui m’inhabitent.
j’ai voulu penser des aurores blanches, leur cœur - rouge - de neige,
j’ai voulu penser ta fureur - blanche – sur les sauterelles des ciels qui se déchirent, des ciels qui se quittent, se vident.
et des pluies, des pluies, des pluies rouges
de neige
comme les villes se brodent et se débrodent, s’élèvent s’effondrent,
les villes blanches, les villes flottantes, les villes profondes, les villes qui n’existent pas
au pied des tours hautes et rouges de tes rages d’orage qui sentent la groseille.
j’ai voulu plonger mes doigts ; ne rien retenir.
j’ai voulu penser des lunes
des lunes blessées, des lunes percées, des lunes-perce-neige,
des lunes de sang
pour tes nuits qui quittent les visages, les mains et les terres, pour tes nuits désertes et ocres.
j’ai voulu croire aux soleils d’encre pour couronner tes fuites.
j’ai voulu boire les soleils; être froid, en veille.
j’ai voulu cracher les lunes: brûler froid.
j’ai voulu ensorceler
les jardins aux joies ocres et sans refuge,
les jardins suspendus de tes joies et
accrocher des oiseaux – oiseaux d’argent – et des lunes taillés d’or aux branches des sommeils pourpres.
j’ai voulu penser les salles,
les salles endormies sur les sauterelles d’or, les salles où tes pas se réveillent,
etre là; me tenir loin.
regarder, ne rien voir.
ecouter; ne rien entendre.
plonger mes doigts; détremper.
toucher; ne rien retenir
de tes chants qui chancellent, s’enlisent
dans les tours hautes et rouges d’orage.
prier aux aubes blanches, aux aubes prisonnières, aux aubes de neige
pour les oiseaux de ta rage.
j’ai voulu être là; ne rien habiter.
j’ai voulu ne pas t’habiter.
vider les grappes du froid, les rochers d’astres, dans les corps qui crissent de tes mots
ecouter, ne rien entendre.
regarder, ne rien voir
etre là, être loin.
j’ai voulu penser des villes blanches, des villes profondes, des villes prisonnières,
j’ai voulu penser des villes-perce-neige, des villes-percées-de-neige, des villes de veilles sans refuge,
j’ai voulu
etre là ; ne rien habiter
sourire aux sourires qu’on t’offrirait un jour.","snowdrop city
i wanted
to think of snowdrop cities,
of cities dropping with snow
for your fingers.
i wanted to think
about white cities, about snow cities,
for these few stems – in frost – on your fingers
instead of smiles that stay closed.
i wanted
to think about white dawns, prisoners of the snows.
carefree.
and about rains, rains, rains,
slow, without consideration, drenched with gold,
rains of snow
like your roles, your flawless faces, learned by heart
leave you, betray you, undo you each day in the terrible silence of the rooms without a conclusion.
‘i wanted to say nothing.’
i wanted to think about prisoner cities
about those few words embroidered with snow, which
wander from the point.
i wanted to be quiet,
to be here – to be far,
in a body of suspended summers –
for your summers which live in me.
i wanted to think of white dawns, their heart – red – of snow,
i wanted to think your fury – white – on the grasshoppers of the breaking skies, of the skies that depart, that empty.
and of rains, rains, red rains
of snow
as the cities are embellished and are unembellished, rise, fall,
the white cities, the floating cities, the deep cities, the cities that don’t exist at the foot of the high red towers of your stormy rages that smell of red currants.
i wanted to plunge my fingers; to hold back nothing.
i wanted to think about moons
of wounded moons, of dropped moons, of snowdrop moons,
of moons of blood
for your nights that desert the faces, the hands and the lands, for your ochre and deserted nights.
i wanted to believe in suns of ink to crown your escapes.
i wanted to drink the suns; to be cold, wakeful.
i wanted to spit the moons: to burn cold.
i wanted to bewitch
the gardens of ochre joys and without refuge,
the hanging gardens of your joys and
to attract birds – silver birds – and moons carved of branched gold
of purple sleep.
i wanted to think the rooms,
the rooms asleep on the golden grasshoppers, the rooms where your footsteps awake,
to be there; to be far away.
to look, to see nothing.
to listen; to hear nothing.
to plunge my fingers; to soak.
to touch; to hold back nothing
of your songs that falter, sink.
in the high, red towers of storm.
to pray to the white dawns, to the prisoner dawns, to the dawns of snow
for the birds of your rage.
i wanted to be there; to dwell nowhere.
i wanted not to live in you.
to empty the clusters of the cold, the rocks of stars, in the bodies that grind your words
to listen, to hear nothing.
to look, to see nothing
to be there, to be far away.
i wanted to think of white cities, of deep cities, of prisoner cities,
i wanted to think of snowdrop cities, of cities dropping with snow, of cities of waking without refuge,
i wanted
to be there, to dwell nowhere
to smile at the smiles that you would be given one day.",fr_XX,en_XX,1
"la charrue
cinq heures. la neige encore. j’entends des voix
à l’avant du monde.
une charrue
comme une lune au troisième quartier
brille, mais la recouvre
la nuit d’un pli de la neige.
et cet enfant
a toute la maison pour lui, désormais. il va
d’une fenêtre à l’autre. il presse
ses doigts contre la vitre. il voit
des gouttes se former là ou il cesse
d’en pousser la buée vers le ciel qui tombe.","the plough
five o’clock. snow again. i hear voices
in the front of the world.
a plough
like a moon in the third quarter
shines, but the night
covers it with a layer of snow.
and this child
has the whole house to himself, from now on. he goes
from one window to another. he presses
his fingers against the glass. he sees
drops form where he stops
pushing the mist towards the falling sky.",fr_XX,en_XX,1
"la parure
il neige. âme, que voulais-tu
que tu n’aies eu de naissance éternelle?
vois, tu as là
pour la mort même une robe de fête.
une parure comme à l’adolescence,
de celles que l’on prend à mains soucieuses
car l’étoffe en est transparente et reste près
des doigts qui la déploient dans la lumière,
on sait qu’elle est fragile comme l’amour.
mais des corolles, des feuilles y sont brodées,
et déjà la musique se fait entendre
dans la salle voisine, illuminée.
une ardeur mystérieuse te prend la main.
tu vas, le coeur battant, dans la grande neige.","finery
it’s snowing. soul, did you expect
to have eternal birth?
see, you have there
even a party dress for death.
finery like in adolescence,
of those that we take in anxious hands
as the fabric of it is transparent and remains near
fingers that open it out in the light,
we know that it’s as fragile as love.
but corollas and leaves are embroidered there,
and already the music can be heard
in the neighbouring room, where the lights are.
a mysterious ardour takes your hand.
you go, your heart pounding, into the big snow.",fr_XX,en_XX,1
"neige
fugace sur l’écharpe, sur le gant
comme cette illusion, le coquelicot,
dans la main qui rêva, l’été passé
sur le chemin parmi les pierres sèches,
que l’absolu est à portée du monde.
pourtant, quelle promesse
dans cette eau, de contact léger, puisqu’elle fut,
un instant, la lumière! le ciel d’été
n’a guère de nuées pour entrouvrir
plus clair chemin sous des voûtes plus sombres.
circé
sous sa pergola d’ombres, l’illuminée,
n’eut pas de fruits plus rouges.","snow
snow
fleeting on the scarf, on the glove
like this illusion, the poppy,
in the hand that dreamed, last summer
on the road among the dry stones,
that the absolute is within reach of the world.
however, what promise
in the delicate touch of this water, for it was,
for an instant, the light! the summer sky
has hardly any clouds to half open
a brighter way under dark vaults.
circé
under her pergola of shadows, the visionary,
had no redder fruit.",fr_XX,en_XX,1
"le peu d’eau
à ce flocon
qui sur ma main se pose, j’ai désir
d’assurer l’éternel
en faisant de ma vie, de ma chaleur,
de mon passé, de ces jours d’à présent,
un instant simplement: cet instant-ci, sans bornes.
mais déjà il n’est plus
qu’un peu d’eau, qui se perd
dans la brume des corps qui vont dans la neige.","the little bit of water
this snowflake
that alights on my hand, i wish
to fix it as eternal
in making of my life, my heat,
my past, these present days,
simply a moment, this very moment, limitless.
but already it is only
a little bit of water getting lost
in the mist of the flakes going into the snow.",fr_XX,en_XX,1
"le jardin
il neige.
sous les flocons la porte
ouvre enfin au jardin
de plus que le monde.
j’avance. mais se prend
mon écharpe à du fer
rouillé, et se déchire
en moi l’étoffe du songe.","the garden
it’s snowing.
under the snowflakes the gate
finally opens to the garden
of more than the world.
i go forward. but my scarf
gets caught on rusty
iron and tears
in me the fabric of the dream.",fr_XX,en_XX,1
