original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"de la route jusqu\'à västerås 18
quant à mon orientation dans le temps j'étais de plus en plus perdue.
boutonnée à une section où le passé, le présent et le futur
s'accumulaient et transpiraient.
j'avais atteint la hauteur maximale de mon ancrage il y a bien des années.
à présent je rétrécissais à la dérive.
dans l'espace j'étais trempée jusqu'aux os et je peinais dans la bourbe.
quant à la question de mon devenir, j'étais incapable de répondre.
il ne m'était pas clair si le propulseur d'une vie désirée s'était arrêté,
ou s'il fallait espérer qu'un élan non encore identifié
se développerait.
j'en avais marre de moi comme instance organisatrice
et colonne vertébrale de mes journées.
mes épaules n'étaient pas suffisamment larges pour porter la charge
car ma désorientation et ma mutinerie étaient plus profondes que je ne l'estimais.","from the road to västerås 18
as to my orientation in time i became more and more lost.
fastened to a stretch where the past, present and future
accumulated and transpired.
i had attained my maximum level of integration many years ago.
presently i withdrew drifting.
in space i was soaked to the bone and floundered in the mire.
as to the question of my future, i was incapable of response.
it wasn't clear to me whether the engine of a desired life had shorted,
or whether i should hope an unidentified surge
was building.
i was sick of myself as an organizing instance
and backbone of my days.
my shoulders were not wide enough to bear the weight
as my disorientation and my mutiny were deeper than
i guessed.",fr_XX,en_XX,"From the road to Västerås 18
As for my orientation in time, I was increasingly lost.
Put away at a section where the past, present, and future
accumulated and transpired.
I had reached the maximum height of my anchorage many years ago.
Now I was shrinking and drifting.
In space, I was soaked to the skin and toiling in the mud.
As for the question of my future, I was unable to answer.
It was unclear to me whether the propeller of a desired life had stopped,
or whether I should hope that a yet unidentified momentum
would develop.
I was fed up with myself as the organizing body
and backbone of my days. My shoulders weren't broad enough to carry the load
because my disorientation and mutiny were deeper than I realized.",5.0
"cette ouverture est traitée d’origine
jetée sur la grand-route section
la poussière aux méchants halte bon capitaine
simple consolidation des rambardes
dextérité pour l’attente de la fée aussi bas
que vous et elle dans quelle mesure elle brode
surface docile se changer d’où elle part
son vieux jour suspecté tout d’argent
que parc exclut que dans le défilé
rarement les retrouve panorama les amis
une foule de gens votre point à ce corps de boutons
livraison d’illustrés l’indiffère et décore les allées.","flirt formula 03
this overture called an origin
on a wide-open road section
dust to the evil halt good captain
simple consolidation of banisters
adept to await the fairy as low as
you and her however she embroiders
gentle surfaces to change start at go
her olden days all silvery suspicious
that park excludes that on the pass
rarely meets them panorama dear friends
a crowd of people your buttons dot embodies
cartoon delivery bores her decorates lanes.",fr_XX,en_XX,"This opening is treated as original
thrown onto the main road section
dust to the wicked halt good captain
simple consolidation of the railings
dexterity for the fairy's wait as low
as you and she to what extent she embroiders
docile surface to change from where she leaves
her old day suspected all of money
that park excludes that in the parade
rarely finds them panorama friends
a crowd of people your point to this body of buttons
delivery of illustrated ones indifferent and decorates the alleys.",5.0
"cher seul décor il faut qu’il soit petit
s’adapte à l’opacité la modèle l’ombre
avec des traits délai sens
à un proche je t’aime saisir dans
un léger sang d’insecte sur épingle
réduit bonus de l’édifice l’aiguille
oh voilà qu’elle se trouve si concurrente de
des ailes au choix elle va circuler autour
jette des clous bang dans le décor
est proposée est affûtée d’alfa précision.","flirt formula 02
dear only decor it must be small
welcome opacity model it shadow it
with strokes pauses the feel
for another you i love to hold
pin prick in the light insect blood
bonus shrunk edifice the needle
so now in the competition
of wings at will it will flit about
spit nails bang into the set
is offered sharp in alfa precision.",fr_XX,en_XX,"Dear, only the decor must be small.
Adapts to the opacity, the model, the shadow
with lines, delay, meaning
to a loved one, I love you, capture in
a light insect blood on a pin
reduced bonus of the building, the needle
oh, there it is, so competing with
wings of your choice, it will circulate around
throws nails, bang in the decor
is proposed, is sharpened with alfa precision.",5.0
"dédale – vous êtes ici (8)
on voudrait s’échapper, détacher
observer en contre-jour, anonyme
derrière son masque anatomique
la foule des visages sans marque
dont les regards vrais, éclipses
visions disloquées dans l’oubli
souterrain, ville pavée en creux
se dissimule, doublure à l’envers
des correspondances inscrites
mosaïques et néons, rames jaunes
défilés à la vitesse des tunnels
artères obscurcies traversant
sous l’air libre autrement égalé
le voyage qui conduit non-voyant
distance reliée au site, la durée
d’aller le retour en topographie
forme peu réelle de fractionner
les relévements de terre en mont
réseau de tentatives, d’où sortir
à la surface des portes urbaines
arrêt, station, passerelle du nom","maze – you are here (8)
we would like to escape, to detach
to look backlit, anonymous
behind their anatomic mask
crowd of unmarked faces
with true gazes, eclipses
dislocated visions in forgotten
underground, paved hollow town
conceals, lining inside out
inscribed correspondences
mosaics and neons, yellow trains
passing by at tunnels speed
obscured arteries crossing
under free air otherwise equaled
trip conducting blind
distance tied to the site, duration
to go return in topography
somewhat real form to fraction
risings of earth in small bumps
network of tries, from where rise
to surface urban doors
stop, station, bridge naming",fr_XX,en_XX,"maze – you are here (8)
one would like to escape, detach
observe against the light, anonymous
behind its anatomical mask
the crowd of unmarked faces
whose true gazes, eclipses
visions dislocated in oblivion
underground, hollow paved city
hides, a reverse lining
of inscribed connections
mosaics and neon lights, yellow trains
passing at the speed of tunnels
obscured arteries crossing
beneath the otherwise equal open air
the journey that leads the blind
distance connected to the site, the duration
of the outward journey in topography
unreal form of dividing
the earth elevations into mountains
network of attempts, from which to exit
on the surface of urban gates
stop, station, footbridge of the name",5.0
"dédale – vous êtes ici (6)
ici, vous êtes ici, chantier votif
passager dans la ville éventrée
indésirable encore au lieu clos
des obstructions et ses limites
à l’encontre, si près de rejoindre
bouché, condamné de là, l’interdit
ou se glisser par une claire-voie
issue dans le dédale métallique
qui cantonne borné, le périmètre
canalise le parcours à circuler","maze – you are here (6)
here, you are here, votive site
temporary in desemboweled town
undesirable in the closed space
of obstructions and its limits
counter to, so close to join
plugged up, condemned from there
interdiction or to slip by fence
exit in the metallic labyrinth
which confines limited, the perimeter
channels the path to go round",fr_XX,en_XX,"maze – you are here (6)
here, you are here, votive site
passenger in the gutted city
still undesirable in the enclosed space
of obstructions and its limits
against, so close to joining
blocked, condemned from there, the forbidden
or slipping through an open way
exit in the metal maze
which confines, bounded, the perimeter
channels the route to be circulated",5.0
"dédale – vous êtes ici (5)
selon la ligne d’un morcellement
l’axe autour duquel à l’est l’ouest
seulement là, comme si va et vient
sans rotation, le mouvement même
battement du pendule oscillant
aux extrêmes, à ignorer le centre
dans l’encombrement persistant
des canalisations agglutinées
levier des grues à reconstruire
acier, les fondations de l’utopie
qui affleurent, vestiges retors
exhumés des fouilles, décombres","maze – you are here (5)
according to the line of a parcelling
axe around which to the east the west
only there, as if coming and going
without rotation, this same move
beating of the pendulum
swinging to limits, ignoring
the center in the persistant
congestion of fused pipes
crane’s lever to reconstruct
steel, foundations of utopia
rising to surface, wily vestiges
dug from excavations, rubble",fr_XX,en_XX,"maze – you are here (5)
along the line of a fragmentation
the axis around which to the east the west
only there, as if back and forth
without rotation, the movement itself
beat of the oscillating pendulum
at the extremes, ignoring the center
in the persistent clutter
of the clustered pipes
lever of the cranes to be rebuilt
steel, the foundations of utopia
which surface, twisted vestiges
exhumed from the excavations, rubble",5.0
"dédale – vous êtes ici (4)
hors du plan où disparaît ce lieu
d’abord vertical aux dimensions
par pans portant à la face l’appui
dans l’espace alourdi des volumes
cubes édifiés édifices à surgir
échafaudés en aplomb, pesanteur
vers le sol attractif, gravitant
à rechercher le centre, une ville
démembrée au temps, son entaille","maze – you are here (4)
from map where this place disappears
first vertically with dimensions
by pieces bringing to face standing
in space made heavy by volumes
edified cubes edifices to arise
erected steady, weightiness
towards attractive ground, gravitating
looking for center, a town
dismembered from time, its cut",fr_XX,en_XX,"maze – you are here (4)
outside the plane where this place disappears
first vertical in dimensions
in sections bearing support on the face
in the heavy space of volumes
built cubes, edifices to emerge
scaffolded plumb, heaviness
towards the attractive ground, gravitating
toward the center, a city
dismembered in time, its notch",5.0
"dédale – vous êtes ici (3)
sur le plan, les aplats de la ville
vous êtes ici, dans le cercle vide
encerclé, cercle rouge et carmin
l’image des hypothèses projetée
au point calculé de la sphère, ici
sur la surface illisible du lieu
repérage de l’étendue apparente
dûment légendée à l’observateur
car désorienté, ce vide cardinal
empreintes défigurées de la vue
au travers, maillage imaginaire
et sans relief de dire, ici cercle
à échelle réduite, il faut briser
et sortir dans la ville, échappée","maze – you are here (3)
on the map, town’s flattening
you are here, in the empty circle
encircled, red and carmine circle
image of hypotheses projected
in the calculated point of sphere, here
on the unreadable surface of place
locating the visible area
duly captioned for the observer
for disoriented, this cardinal emptiness
distorted traces of the view
through, imaginary grid
and without depth to say, here circle
with reduced scale, must crush
and go downtown, stealing away",fr_XX,en_XX,"maze – you are here (3)
on the map, the flat tints of the city
you are here, in the empty circle
encircled, red and carmine circle
the image of the hypotheses projected
at the calculated point of the sphere, here
on the illegible surface of the place
identification of the apparent extent
duly labeled to the observer
because disoriented, this cardinal void
disfigured imprints of the view
through, imaginary mesh
and without relief of saying, here circle
on a reduced scale, one must break
and exit into the city, escape",5.0
"dédale – vous êtes ici (10)
péril d’usure, repartir étranger
à la faveur soudaine, l’irruption
pointée après les perspectives
par l’embrasure où se dispersent
ces contours pétrifiés, recours
des ombres, des lumières perçues
retombées opaques, demi-teintes
sur le lieu dépaysé, introuvable
au territoire graphique, profil
en suspens de la ville, fragments
des vis-à-vis à l’instant, parcours
dans le transit rotatif, la terre
hâtée selon le long des horizons
et demeure le vertige, battement
de cils, l’oeil incertain d’énigme
le lieu sans cesse au proche, loin
vous êtes ici, en dehors du cercle
passant étrange, étranger ainsi
libre usage, marchant nulle part","maze – you are here (10)
danger of wear and tear, leave stranger
thanks to sudden favor, irruption
looked out after perspectives
by doorway where these petrified
contours scatter, recourse to
shadows, lights spotted
opaque fall out, half-tones on
disoriented sight, unobtainable
in graphic territory, profile
on hold of town, fragments
of vis-a-vis instant, route taken
in rotating transit, earth hastened
according to length of horizons
and stays dizziness, blinking
eyelash, eye uncertain of enigma
the place continually near, far
you are here, outside of the circle
strange passerby, stranger then
to free usage, going nowhere",fr_XX,en_XX,"maze – you are here (10)
danger of attrition, leaving a stranger
to the sudden favor, the irruption
pointed after the perspectives
by the embrasure where these petrified contours disperse, recourse
of shadows, of perceived lights
opaque fallouts, half-tones
on the disoriented place, unfindable
in the graphic territory, suspended profile
of the city, fragments
of vis-à-vis at the moment, journey
in the rotating transit, the earth
hurried along the horizons
and remains the vertigo, fluttering
of eyelashes, the uncertain eye of enigma
the place constantly near, far
you are here, outside the circle
strange passerby, stranger thus
free use, walking nowhere",5.0
"dédale – vous êtes ici (1)
voies, voyages, le roulement ferré
dans ses rails et gris, traverses
continu cheminement du ballast
roulant déroulant sur la courbe
ses frottements, d’un bruit sourd
et s’approche, imminent au signal
l’aiguillage, où bifurque ferrée
la voie enferrée de ses remblais
tracé concassé, une seule traite
au ralenti, la traînée mécanique
s’essoufle le rythme et plus bas
lenteur à la destination, crisse
aux coulisses de la ville, décors
les bas-côtés, panneaux glissant
qui s’affichent, icônes alentour
des mots, archives estampillées
où n’importe, d’un lieu quelconque
dépourvu des distinctions, sauf
dans l’attente, à l’arrêt du moment
annoncé, s’entrevoit, quel, unique
le nom connu à désigner le voyage
quand par là il finit et commence
rendu possible de l’éloignement
intervalle géographique, l’exil
par le graphe, abscisse, position
déposé sur le quai, gare d'arrivée","maze – you are here (1)
tracks, trips, rumble rimmed
in steel rails and grey, ties
continuous course of ballast
rolling and unwinding on curves
its rubbing, with muffled sound
and approaches, imminent to signal
switching, where steeled in
rails in steel branch off
traced grounded, a single stretch
in slow motion, the mechanical pull
runs out the rhythm and lower
slowly to its destination, screeches
at the town’s curtain, scenery
edges, sliding signals
that display, icons around
words, stamped archives
wherever, from an ordinary place
without any distinctions, except
waiting, at the stop announcing
moment, glimpses, that, unique
known name indicating the trip
when this way it ends and begins
produced from the distance
geographical space, exile
by graph, x-axis, position
placed on platform, arrival station",fr_XX,en_XX,"maze – you are here (1)
tracks, journeys, the rolling iron
in its rails and gray, sleepers
continuous path of the ballast
rolling unrolling on the curve
its friction, with a dull noise
and approaches, imminent at the signal
the switch, where the iron branches
the track covered in iron by its embankments
crushed track, a single stroke
in slow motion, the mechanical drag
runs out of breath, and lower down
slowness to the destination, creaks
behind the scenes of the city, scenery
the verges, sliding signs
that are displayed, icons around
words, stamped archives
where anything, from any place
devoid of distinctions, except
while waiting, at the stop of the announced moment
one glimpses, what, unique
the known name to designate the journey
when by this it ends and begins
made possible by the distance
interval geographic, exile
by graph, abscissa, position
deposited on the platform, arrival station",5.0
