original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"vie de femme …
les sentiments passent en premier.
ils sont absorbés et préservés.
si banalisés … exterminés.
si entretenus … sauvegardés.
si sauvegardés, elle est séduite.
si exterminés, l’autre est vite oublié.
et le poisson prend le large …
pour nager dans d’autres rives,
a l’encontre d’une âme pure,
telle que la sienne.
la solitude corrompt l’âme.
le téméraire loyal qui passe par là,
chanceux ou don juan,
c’est qu’il est arrivé …
sur le bon endroit au bon moment.","vida de mulher …
os sentimentos passam em primeiro.
eles são absorvidos e preservados.
si banalizados … exterminados.
si alimentados… salvados.
si salvados, ela é seduzida.
si exterminados, o outro é rápido esquecido.
e o peixe cai em alto mar …
para nadar em outras margens,
ao encontro de uma alma pura,
tal como a sua.
a solidão corrompe a alma.
o temerário leal que ali passa,
felizardo ou don juan,
é que ele chegou …
no bom lugar no momento certo.",fr_XX,pt_XX,"vida de mulher...
os sentimentos vêm em primeiro lugar.
eles são absorvidos e preservados.
se banalizados... exterminados.
se cultivados... preservados.
se preservados, ela é seduzida.
se exterminados, o outro é rapidamente esquecido.
e o peixe parte para longe...
para nadar em outras margens,
indo contra uma alma pura,
como a sua.
a solidão corrompe a alma.
o audacioso leal que passa por ali,
sortudo ou don juan,
é porque ele chegou...
no lugar certo, na hora certa.",1
"vie de femme …
les sentiments passent en premier.
ils sont absorbés et préservés.
si banalisés … exterminés.
si entretenus … sauvegardés.
si sauvegardés, elle est séduite.
si exterminés, l’autre est vite oublié.
et le poisson prend le large …
pour nager dans d’autres rives,
a l’encontre d’une âme pure,
telle que la sienne.
la solitude corrompt l’âme.
le téméraire loyal qui passe par là,
chanceux ou don juan,
c’est qu’il est arrivé …
sur le bon endroit au bon moment.","vida de mulher …
os sentimentos passam em primeiro.
eles são absorvidos e preservados.
si banalizados … exterminados.
si alimentados… salvados.
si salvados, ela é seduzida.
si exterminados, o outro é rápido esquecido.
e o peixe cai em alto mar …
para nadar em outras margens,
ao encontro de uma alma pura,
tal como a sua.
a solidão corrompe a alma.
o temerário leal que ali passa,
felizardo ou don juan,
é que ele chegou …
no bom lugar no momento certo.",fr_XX,pt_XX,"vida de mulher…
os sentimentos vêm em primeiro lugar.
eles são absorvidos e preservados.
se banalizados… exterminados.
se nutridos… salvaguardados.
se salvaguardados, ela é seduzida.
se exterminados, o outro é rapidamente esquecido.
e o peixe se afasta…
para nadar em outras margens,
em direção a uma alma pura,
como a sua.
a solidão corrompe a alma.
o corajoso leal que passa por ali,
sortudo ou don juan,
é porque ele chegou…
no lugar certo, na hora certa.",1
"ta différence …
où es tu, que fais tu, comment vas-tu ?
et le temps qui passe et cette bataille éternelle,
« ta différence » fait ton arrogance et ta peur.
la peur qui t’enferme dans ta coquille,
« ta différence » qui t’isole dans ton monde.
et la solitude nous corrompt et nous ronge les âmes.
et ton esprit se souvenant encore du mien,
s’adosse sur mon âme et la rends nostalgique et fragile.
et mon esprit se souvenant encore du tien,
s’adosse sur ton âme et la rends nostalgique et fragile.
je le sais … ton berceau différent du mien,
je le sais … ton être enchainé à la profondeur de ta créature.
et tes envies dans ton esprit confus, tourbillonnant dans ton cœur…
et la peur … incrustée en toi te rendant craintif et indécis.
ton âme je l’ai percée …
si seulement ton coeur me serait ouvert,
le temps serait à nous,
« ta différence » serait la mienne,
et nous serions heureux …","sua diferença …
onde está você, que faz você, como vai você ?
e o tempo que passa et esta batalha eterna,
« sua diferença » faz sua arrogância e seu mêdo.
o mêdo que te encarcera no seu caracol,
« sua diferença » que te isola no seu mundo.
e a solidão nos corrompe et nos rói as almas.
e seu espírito se lembrando aínda do meu,
se encosta na minha alma e a torna nostálgica e frágil.
e meu espírito se lembrando aínda do seu,
se encosta na sua alma e a torna nostálgica e frágil.
eu sei … seu berço diferente do meu,
eu sei … seu ser prisoneiro na profundeza de sua criação.
e seus desejos no seu espírito confuso, turbilhonando no seu coração …
e o mêdo … encrustado em voce lhe tornando receioso e indeciso.
sua alma eu a penetrei …
se seu coração tivesse se abrido,
o tempo sería nosso,
sua diferença seria minha,
e nós seríamos felizes …",fr_XX,pt_XX,"A tua diferença...
Onde estás, o que fazes, como estás?
E o tempo que passa e essa batalha eterna,
""A tua diferença"" faz a tua arrogância e o teu medo.
O medo que te aprisiona na tua concha,
""A tua diferença"" que te isola no teu mundo.
E a solidão nos corrompe e nos roí as almas.
E o teu espírito ainda se lembrando do meu,
se apoia na minha alma e a torna nostálgica e frágil.
E o meu espírito ainda se lembrando do teu,
se apoia na tua alma e a torna nostálgica e frágil.
Eu sei... o teu berço diferente do meu,
Eu sei... o teu ser acorrentado à profundidade da tua criatura.
E os teus desejos na tua mente confusa, tumultuando no teu coração...
E o medo... incrustado em ti, tornando-te temeroso e indeciso.
A tua alma eu a perfurei...
Se ao menos o teu coração se abrisse a mim,
o tempo seria nosso,
""A tua diferença"" seria a minha,
e seríamos felizes...",1
"vous, mon amour; mon amour des yeux verts.
vous, mon amour.
mon amour des yeux verts,
qui j’ai rencontré un jour.
vous, mon amour.
mon amour des yeux verts,
tempête, torrent, volcan dans mon âme,
dés les premiers instants.
vous, les yeux verts, visage brun,
qui je n’ai jamais oublié,
vous, les yeux verts, visage brun,
redis-moi ton prénom mon amour,
pour rêver de vous, vous tenir par la main,
vous embrasser comme jamais,
et vous garder auprès de moi.
vous, mon amour,
qui m’a tant impressionnée,
vous êtes plus fort que le passé,
plus fort que le présent,
plus fort que le temps.
ai … si vous le saviez,
combien mon repenti,
d’être partie sans vous dire combien,
combien je vous désirais …","voce, meu amor; meu amor dos olhos verdes.
voce, meu amor.
meu amor dos olhos verdes,
que eu encontrei um dia.
voce, meu amor.
meu amor de olhos verdes,
tempestade, torrente, vulcão na minha alma,
desde o primeiro instante.
você, dos olhos verdes, visagem morena,
que eu nunca esqueci.
voce, dos olhos verdes, visagem morena,
repete seu nome pra mim meu amor,
para eu sonhar com voce,
lhe trazer pela mão,
lhe beijar como nunca,
e lhe guardar junto a mim.
voce, meu amor,
que tanto me impressionou,
é mais forte que o passado,
é mais forte que o presente
é mais forte que o tempo.
ai … si voce soubesse,
quanto o meu arrependimento,
ter partido sem lhe dizer o quanto,
o quanto eu lhe queria …",fr_XX,pt_XX,"tu, meu amor; meu amor de olhos verdes.
tu, meu amor.
meu amor de olhos verdes,
que um dia encontrei.
tu, meu amor.
meu amor de olhos verdes,
tempestade, rio, vulcão em minha alma,
desde os primeiros instantes.
tu, olhos verdes, rosto moreno,
que nunca esqueci,
tu, olhos verdes, rosto moreno,
diz-me novamente teu nome, meu amor,
para sonhar contigo, te segurar pela mão,
te beijar como nunca,
e te manter perto de mim.
tu, meu amor,
que tanto me impressionou,
és mais forte que o passado,
mais forte que o presente,
mais forte que o tempo.
ai ... se soubesses,
quanto me arrependo,
de ter partido sem dizer o quanto,
o quanto eu te desejava ...",1
"prélude …
donnons nous l’envie,
l’ envie de nous découvrir,
de nous désirer, de nous donner enfin.
ouvrons nous le cœur avant de commencer.
soyons l’envie de l’autre, dans l’écoute et dans les mots.
quoi de plus beau, de plus excitant, q‘un baiser accompagné d’une âme bien aimée ?
quoi de plus vibrant, de plus désiré, q’un câlin sorti de la fusion de nos âmes entrelacées ?
puis, sans crainte, sans aucune réticence, nos cœurs couronnés, nous âmes avides, nos corps suivent en symbiose … l’union parfaite, un seul corps, donnant ainsi à tout jamais, l’envie de suivre à deux, dans une alliance harmonieuse, pour une vie pleine d’amour.
cela serait un rêve, d’une maturité remplie d’ardeur…
heureux celui qu’arrive la garder auprès de soi, pour satisfaire tous ses désirs :
des mots et de l’écoute,
des regards et de la présence,
des baisers et encore des baisers,
et des sourires et des larmes.
l’important c’est d’être ensemble, ne se quitter, que pour mourir… et peut-être, qu’au-delà, se retrouver, si dieu le veut …","preludio …
demo-nos o desejo,
o desejo de nos descobrir, de nos desejar,
de nos dar-mos enfim.
abramo-nos o coração antes de começar.
sejamos o desejo do outro na escuta e nas palavras.
que existe de mais belo, de mais excitante,
que um beijo acompanhado de uma alma querida?
que existe de mais vibrante, de mais desejado,
que um carinho saido da fusão, de nossas almas entrelaçadas ?
depois sem mêdo, sem nenhuma reticencia, nossos corações coroados, nossas almas avidas,
nossos corpos seguem, em simbiose … a união perfeita, un so corpo, dando assim, para sempre, o desejo de seguir a dois numa aliança harmoniosa,
para uma vida cheia de amor.
isto seria um sonho, de uma maturidade repleta de ardor …
feliz aquele que consegue guarda-la junto a si para satisfazer todos seus desejos :
de palavras, de escuta,
de olhares e de presença,
de beijos e mais beijos,
e de sorrisos e de lágrimas.
o importante é estar juntos, se separar, so para morrer …
e talvez que, no além, se reencontrar, si deus quiser…",fr_XX,pt_XX,"prelúdio...
deixemo-nos levar,
levar-nos a descobrir,
a desejar-nos, a finalmente nos dar.
abramos o coração antes de começar.
sejamos a vontade um do outro, na escuta e nas palavras.
o que há de mais belo, de mais excitante, do que um beijo acompanhado de uma alma amada?
o que há de mais vibrante, de mais desejado, do que um abraço surgido da fusão de nossas almas entrelaçadas?
então, sem medo, sem qualquer reticência, nossos corações coroados, nossas almas ávidas, nossos corpos seguem em simbiose... a união perfeita, um só corpo, dando assim para sempre, a vontade de seguir a dois, em uma aliança harmoniosa, para uma vida cheia de amor.
isso seria um sonho, de uma maturidade repleta de ardor...
feliz aquele que consegue mantê-lo consigo, para satisfazer todos os seus desejos:
de palavras e escuta,
de olhares e presença,
de beijos e mais beijos,
e de sorrisos e lágrimas.
o importante é estar juntos, não se separar, senão para morrer... e talvez, além disso, reencontrar-se, se Deus assim o quiser...",1
"passion, amour, sexe …
homme, que faites-vous?
vos paroles viriles, fébriles, attisées,
poussant les portes d’un rêve oublié,
dans l’âme d’une femme douée,
que le monde semble agripper…
homme, que voulez-vous ?
sentir votre verge danser dans ses entrailles,
voir son corps frémissant et attisé,
jusqu’à ce que votre désir igné,
hurle sa chanson charnelle ?
et voir s’envoler de nouveau,
la passion pour un désir fougueux,
qui part vous laissant le vide,
jusqu’à ce qu’une autre flamme la suscite de nouveau ?
ou voulez-vous, homme…
la serrer contre votre cœur,
l’aimer et sentir bonheur,
chaque soir, chaque matin,
et encore saluer dieu
pour chaque jour de vie en vous !?","paixão, amor, sexo ..
homem, que estas fazendo ?
tuas palavras viris, febris, instigadas, forçando as portas de um sonho esquecido,
na alma de uma mulher dotada,
que o mundo parece agarrar…
homem, que estas querendo ?
sentir tua haste dançar em seu ventre,
ver seu corpo tremer de excitação,
até que teu desejo ígneo,
brade sua canção ?
e ver partir de novo,
a paixão por um desejo fogoso,
que parte te deixando o vazio,
até que outra chama, a desperte de novo ?
ou queres, homem…
aperta-la contra seu coração,
amá-la e sentir felicidade,
toda manhã, toda noite
e ainda saudar deus
por cada dia de vida em vós ?!!!",fr_XX,pt_XX,"paixão, amor, sexo…
homem, o que você faz?
suas palavras viris, febris, incendiadas,
empurrando as portas de um sonho esquecido,
na alma de uma mulher talentosa,
que o mundo parece agarrar…
homem, o que você deseja?
sentir seu falo dançar em suas entranhas,
ver seu corpo tremendo e incendiado,
até que seu desejo ígneo,
grite sua canção carnal?
e ver voar de novo,
a paixão por um desejo ardente,
que parte deixando-o vazio,
até que outra chama o reacenda?
ou você deseja, homem…
abraçá-la contra seu coração,
amá-la e sentir felicidade,
cada noite, cada manhã,
e ainda saudar Deus
por cada dia de vida em você!?",1
"cœur déchiré
pourquoi l’avoir dérobé, si tu ne désirais pas le garder ?
et ainsi avec tant d’ardeur, à leurer même le cupidon ?
oh voleur ! tôt ou tard je te le reprendrai,
et aussi brutalement comme tu me l’as fait à moi.
en arrivant comme un angelot,
en partant comme un voleur,
et comme si le monde,
ne tournait qu’autour de toi.
ce jour arrivera et toi,
ne te moqueras plus de moi, de ma naïveté.
et tu éprouveras comme moi aujourd’hui,
l’abandon, la déchirure, un mal être bien défini.
et l’amour, de retour dans mon ego,
je le détiendrai si calme, si serein,
dans mon être plein de vie,
pour un autre bien choisi.","coração rasgado
porque tê-lo roubado, se não desejava guarda-lo ?
e com tanto ardor, enganando até o cupido ?
oh ladro ! cedo ou tarde eu o pegarei de volta,
assim tão brutalmente como o fez comigo.
chegando como um anjinho,
partindo como um ladrão,
et como se o mundo,
so girasse ao seu redor.
este dia chegará e voce,
nao rirá mais de mim, de minha inocencia.
e provará como eu atualmente,
o abandono, o rasgão, um mal estar bem definido.
e o amor, de volta ao meu ego,
eu o guardarei tão calmo, tão sereno
no meu ser cheio de vida,
para um outro bem escolhido.",fr_XX,pt_XX,"coração partido
por que o roubaste, se não querias mantê-lo?
e assim, com tanta paixão, enganando até Cupido?
oh ladrão! cedo ou tarde vou retomá-lo,
e tão brutalmente como fizeste comigo.
chegando como um anjinho,
partindo como um ladrão,
e como se o mundo
girasse apenas em torno de ti.
esse dia chegará e tu,
não mais zombarás de mim, da minha ingenuidade.
e sentirás como eu hoje,
o abandono, a dilaceração, um mal-estar bem definido.
e o amor, de volta ao meu ego,
eu o segurarei tão calmo, tão sereno,
em meu ser cheio de vida,
para outro escolhido com sabedoria.",1
"mon poète …
l’esprit hanté par ce qui est déjà éteint, par ce qui n’y est plus.
je le veux, je le projette vers un futur débordé de vie et d’amour sincère mais,
mon poète préfère toujours le passé,
et suscite la tristesse …","meu poeta …
o espirito obsecado pelo que ja está apagado, por aquilo que ja não é mais.
eu o quero, eu o projeto em um futuro transbordante de vida et de amor sincero mas,
meu poeta prefere sempre o passado,
e suscita a tristesa …",fr_XX,pt_XX,"meu poeta...
a mente assombrada pelo que já se apagou, pelo que não está mais lá.
eu o quero, eu o projeto em direção a um futuro transbordando de vida e amor sincero mas,
meu poeta sempre prefere o passado,
e desperta a tristeza...",1
"mon fils …
vingt ans se sont passés …
avant je te soutenais dans mes bras,
et ne ratais un seul instant,
pour te faire plein de bisous partout.
aujourd’hui t’as pris tes pas,
et suis seul ton avenir.
comme un grand, plein de sagesse,
t’es ma fierté, mon seul but.
j’ai toute confiance en toi,
pour mettre en œuvre ce que je t’ai appris,
pour bâtir une vie honnête,
remplie de toutes les vertus.
et mon amour qui te suit,
ne demande qu’à te soutenir,
te donner la force pour réussir,
et à dieu de te protéger toujours.","meu filho …
vinte anos se passaram …
antes eu lhe amparava nos meus braços,
e não perdia um so instante,
para lhe dar um montão de beijinhos.
hoje voce caminha autônomo,
et segue sozinho seu futuro.
como um senhor,
cheio de juizo,
voce é meu orgullo,
meu único alvo.
tenho toda confiança em voce,
para colocar em obras tudo que lhe ensinei,
para construir uma vida honesta,
cheia de todas as virtudes.
et meu amor que lhe segue,
pede para lhe apoiar sempre,
lhe dar forças para vencer,
et a deus de lhe proteger.",fr_XX,pt_XX,"meu filho …
vinte anos se passaram …
antes, eu te segurava nos meus braços,
e não perdia um só momento,
para te encher de beijos por toda parte.
hoje, você deu seus passos,
e eu acompanho sozinho o seu futuro.
como um grande, cheio de sabedoria,
você é o meu orgulho, o meu único objetivo.
tenho total confiança em você,
para colocar em prática o que te ensinei,
para construir uma vida honesta,
repleta de todas as virtudes.
e o meu amor que te segue,
só deseja te apoiar,
te dar a força para ter sucesso,
e a Deus para te proteger sempre.",1
"moment de nostalgie.
oh sentiment profond,
qui pénètre la poitrine et insiste à y rester.
cette chose poignante qui révèle le vide,
paralyse le regard le remplissant de tristesse.
oh, sentiment qui creuse,
qui jette dans le vide,
tout être aimable sans aucune pitié.
obligée je suis de te laisser la place,
si tu insistes à m’y habiter.
voilà, une lueur s’impose !
me dévoile, me secoue, t’arrachant de moi.
je partais fragile, naïve et inerte,
contente je suis de m’être séparée de toi.","momento de nostalgia
oh sentimento profond,
que penetra no peito
e insiste em ali ficar,
esta coisa pungente que revela o vazio,
paralisa o olhar lhe enchendo de tristesa.
oh, sentimento que perfura, que joga no vazio todo ser amável,
sem nenhuma piedade.
obrigada eu sou de me deixar partir,
se tu persistes em dentro morar …
eis que uma luz se impõe,
me desvela, me sacode,
te arrancando de mim.
eu partia frágil, inocente e inerte,
contente estou de ter me separado de ti.",fr_XX,pt_XX,"momento de nostalgia.
oh, sentimento profundo,
que penetra o peito e insiste em permanecer.
essa coisa tocante que revela o vazio,
paralisa o olhar, enchendo-o de tristeza.
oh, sentimento que escava,
que joga no vazio,
todo ser amável sem piedade alguma.
sou obrigada a te dar espaço,
se insistes em habitar em mim.
aqui está, uma luz se impõe!
me revela, me sacode, te arrancando de mim.
partia frágil, ingênua e inerte,
feliz estou por ter me separado de ti.",1
