original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"vie de femme …
les sentiments passent en premier.
ils sont absorbés et préservés.
si banalisés … exterminés.
si entretenus … sauvegardés.
si sauvegardés, elle est séduite.
si exterminés, l’autre est vite oublié.
et le poisson prend le large …
pour nager dans d’autres rives,
a l’encontre d’une âme pure,
telle que la sienne.
la solitude corrompt l’âme.
le téméraire loyal qui passe par là,
chanceux ou don juan,
c’est qu’il est arrivé …
sur le bon endroit au bon moment.","vida de mulher …
os sentimentos passam em primeiro.
eles são absorvidos e preservados.
si banalizados … exterminados.
si alimentados… salvados.
si salvados, ela é seduzida.
si exterminados, o outro é rápido esquecido.
e o peixe cai em alto mar …
para nadar em outras margens,
ao encontro de uma alma pura,
tal como a sua.
a solidão corrompe a alma.
o temerário leal que ali passa,
felizardo ou don juan,
é que ele chegou …
no bom lugar no momento certo.",fr_XX,pt_XX,"vida de mulher...
os sentimentos vêm primeiro.
elas são absorvidas e preservadas.
tão banalizado… exterminado.
se mantido… salvo.
se salva, ela é seduzida.
se exterminado, o outro é rapidamente esquecido.
e o peixe decola...
nadar em outras praias,
contra uma alma pura,
como o seu.
A solidão corrompe a alma.
o leal temerário que passa,
Lucky ou Don Juan,
é que aconteceu...
no lugar certo na hora certa.",1
"que veux-tu quand tu seras grand ?
trouver l’amour …
que veux tu faire avec l’amour ?
le chérir …
que veux tu comme amour ?
le vrai …
quel nom lui donnerais-tu ?
sincérité …
comment le souhaites-tu ?
constant …
que demanderais-tu à cet amour ?
fidélité …
combien de temps le garderais-tu ?
pour toujours …
où l’emmènerais tu ?
dans mon coeur …
que serais-tu pour lui ?
l’amour …
il en est déjà un !?
non ! il est la moitié d’un amour","que queres quando serás grande ?
encontrar o amor …
que queres fazer com o amor ?
amá-lo …
que queres como amor ?
o verdadeiro …
qual nome o darias tu ?
sinceridade …
como o desejas tu ?
constante …
que pedirias tu a este amor ?
fidelidade …
quanto tempo o guardarias tu ?
para sempre …
onde o levarias tu ?
no meu coração …
que serias tu para ele ?
o amor …
ele ja é um !?
nao ! ele é a metade de um amor …",fr_XX,pt_XX,"O que você quer quando crescer?
encontre o amor...
O que você quer fazer com o amor?
valorize isso…
Que tipo de amor você quer?
o verdadeiro...
Que nome você daria a ele?
sinceridade...
como você deseja?
constante …
O que você pediria desse amor?
lealdade …
Por quanto tempo você ficaria com ele?
para sempre …
onde você o levaria?
no meu coração...
O que você seria para ele?
amor…
ele já tem um ano!?
Não ! ele é metade de um amor",1
"tais-toi
je t’aime … mon amour, ma chérie.
tais-toi, ne répètes plus jamais ça,
tais-toi, tu ne sais pas ce que tu dis.
les mots qui caressent,
viennent en fusion avec dieu.
je ne veux pas de tes mots,
qu’ arrivent avec tes ténèbres,
de ton esprit sans paix,
qui débat contre ton corps.
les mots sortis de ta bouche,
ne guérissent pas ta blessure,
te rendent encore plus jaloux,
de ceux qu’ont connu l’amour.
je t’aime … mon amour, ma chérie.
tais-toi, tu ne sais pas ce qu’est l’amour,
tais-toi, tu ne sais pas ce que tu fais.
si seulement, t’ avais connu musset,
tu saurais, que tu n’as pas encore vécu.
que ta vie, n’est pas sommeil,
elle est seulement … un cauchemar.","cala-te
eu te amo … meu amor, minha querida.
cala-te, nao repitas nunca mais isso,
cala-te, tu nao sabes o que dises.
as palavras que acariciam,
vêm em fusao com deus.
nao quero tuas palavras,
que chegam com tuas trevas,
de teu espirito sem paz,
que debate contra teu corpo.
as palavras saidas de tua boca,
não curam tua cicatriz,
te tornam ainda mais ciumento,
daqueles que conheceram o amor.
eu te amo … meu amor, minha querida.
cala-te, tu nao sabes o que é o amor,
cala-te, tu nao sabes o que fazes.
si pelo menos, tu tivesses conhecido musset,
tu saberias que ainda nao viveu.
que tua vida nao é sono,
ela é somente … um pesadelo.",fr_XX,pt_XX,"cale-se
Eu te amo... meu amor, minha querida.
cala a boca, nunca mais diga isso,
Cale a boca, você não sabe o que está dizendo.
as palavras que acariciam,
entre em fusão com Deus.
Eu não quero suas palavras,
que vêm com sua escuridão,
da sua mente sem paz,
que argumenta contra seu corpo.
as palavras que saíram da sua boca,
não cure sua ferida,
te deixar ainda mais com ciúmes,
daqueles que conheceram o amor.
Eu te amo... meu amor, minha querida.
cala a boca, você não sabe o que é amor,
Cale a boca, você não sabe o que está fazendo.
Se você tivesse conhecido Musset,
você saberia que ainda não viveu.
que sua vida não é sono,
ela é apenas... um pesadelo.",1
"ta différence …
où es tu, que fais tu, comment vas-tu ?
et le temps qui passe et cette bataille éternelle,
« ta différence » fait ton arrogance et ta peur.
la peur qui t’enferme dans ta coquille,
« ta différence » qui t’isole dans ton monde.
et la solitude nous corrompt et nous ronge les âmes.
et ton esprit se souvenant encore du mien,
s’adosse sur mon âme et la rends nostalgique et fragile.
et mon esprit se souvenant encore du tien,
s’adosse sur ton âme et la rends nostalgique et fragile.
je le sais … ton berceau différent du mien,
je le sais … ton être enchainé à la profondeur de ta créature.
et tes envies dans ton esprit confus, tourbillonnant dans ton cœur…
et la peur … incrustée en toi te rendant craintif et indécis.
ton âme je l’ai percée …
si seulement ton coeur me serait ouvert,
le temps serait à nous,
« ta différence » serait la mienne,
et nous serions heureux …","sua diferença …
onde está você, que faz você, como vai você ?
e o tempo que passa et esta batalha eterna,
« sua diferença » faz sua arrogância e seu mêdo.
o mêdo que te encarcera no seu caracol,
« sua diferença » que te isola no seu mundo.
e a solidão nos corrompe et nos rói as almas.
e seu espírito se lembrando aínda do meu,
se encosta na minha alma e a torna nostálgica e frágil.
e meu espírito se lembrando aínda do seu,
se encosta na sua alma e a torna nostálgica e frágil.
eu sei … seu berço diferente do meu,
eu sei … seu ser prisoneiro na profundeza de sua criação.
e seus desejos no seu espírito confuso, turbilhonando no seu coração …
e o mêdo … encrustado em voce lhe tornando receioso e indeciso.
sua alma eu a penetrei …
se seu coração tivesse se abrido,
o tempo sería nosso,
sua diferença seria minha,
e nós seríamos felizes …",fr_XX,pt_XX,"sua diferença...
onde você está, o que você está fazendo, como você está?
e o passar do tempo e esta batalha eterna,
“Sua diferença” faz você ficar arrogante e medroso.
o medo que te tranca na sua concha,
“sua diferença” que o isola em seu mundo.
e a solidão nos corrompe e corrói nossas almas.
e sua mente ainda lembrando da minha,
se apoia na minha alma e a torna nostálgica e frágil.
e minha mente ainda lembrando da sua,
se apoia em sua alma e a torna nostálgica e frágil.
Eu sei... seu berço é diferente do meu,
Eu sei... você está acorrentado às profundezas da sua criatura.
e seus desejos em sua mente confusa, girando em seu coração…
e medo… embutido em você, tornando-o medroso e indeciso.
Eu perfurei sua alma...
se ao menos seu coração estivesse aberto para mim,
o tempo seria nosso,
“a sua diferença” seria a minha,
e ficaríamos felizes...",1
"prélude …
donnons nous l’envie,
l’ envie de nous découvrir,
de nous désirer, de nous donner enfin.
ouvrons nous le cœur avant de commencer.
soyons l’envie de l’autre, dans l’écoute et dans les mots.
quoi de plus beau, de plus excitant, q‘un baiser accompagné d’une âme bien aimée ?
quoi de plus vibrant, de plus désiré, q’un câlin sorti de la fusion de nos âmes entrelacées ?
puis, sans crainte, sans aucune réticence, nos cœurs couronnés, nous âmes avides, nos corps suivent en symbiose … l’union parfaite, un seul corps, donnant ainsi à tout jamais, l’envie de suivre à deux, dans une alliance harmonieuse, pour une vie pleine d’amour.
cela serait un rêve, d’une maturité remplie d’ardeur…
heureux celui qu’arrive la garder auprès de soi, pour satisfaire tous ses désirs :
des mots et de l’écoute,
des regards et de la présence,
des baisers et encore des baisers,
et des sourires et des larmes.
l’important c’est d’être ensemble, ne se quitter, que pour mourir… et peut-être, qu’au-delà, se retrouver, si dieu le veut …","preludio …
demo-nos o desejo,
o desejo de nos descobrir, de nos desejar,
de nos dar-mos enfim.
abramo-nos o coração antes de começar.
sejamos o desejo do outro na escuta e nas palavras.
que existe de mais belo, de mais excitante,
que um beijo acompanhado de uma alma querida?
que existe de mais vibrante, de mais desejado,
que um carinho saido da fusão, de nossas almas entrelaçadas ?
depois sem mêdo, sem nenhuma reticencia, nossos corações coroados, nossas almas avidas,
nossos corpos seguem, em simbiose … a união perfeita, un so corpo, dando assim, para sempre, o desejo de seguir a dois numa aliança harmoniosa,
para uma vida cheia de amor.
isto seria um sonho, de uma maturidade repleta de ardor …
feliz aquele que consegue guarda-la junto a si para satisfazer todos seus desejos :
de palavras, de escuta,
de olhares e de presença,
de beijos e mais beijos,
e de sorrisos e de lágrimas.
o importante é estar juntos, se separar, so para morrer …
e talvez que, no além, se reencontrar, si deus quiser…",fr_XX,pt_XX,"prelúdio …
vamos nos dar o desejo,
o desejo de nos descobrir,
para nos desejar, para finalmente nos entregarmos.
Vamos abrir nossos corações antes de começar.
sejamos a inveja do outro, na escuta e nas palavras.
O que poderia ser mais lindo, mais emocionante, do que um beijo acompanhado de uma alma amada?
O que poderia ser mais vibrante, mais desejado, do que um abraço nascido da fusão de nossas almas entrelaçadas?
então, sem medo, sem qualquer relutância, nossos corações coroados, nossas almas ávidas, nossos corpos seguem em simbiose... a união perfeita, um único corpo, dando assim para sempre, o desejo de seguir como um par, em uma aliança harmoniosa, para uma vida cheia de amor.
seria um sonho, de uma maturidade cheia de ardor...
feliz é aquele que consegue mantê-la perto de si, para satisfazer todos os seus desejos:
palavras e escuta,
aparência e presença,
beijos e mais beijos,
e sorrisos e lágrimas.
O importante é estarmos juntos, deixarmo-nos só para morrer... e talvez, além disso, reencontrarmo-nos, se Deus quiser...",1
"passion, amour, sexe …
homme, que faites-vous?
vos paroles viriles, fébriles, attisées,
poussant les portes d’un rêve oublié,
dans l’âme d’une femme douée,
que le monde semble agripper…
homme, que voulez-vous ?
sentir votre verge danser dans ses entrailles,
voir son corps frémissant et attisé,
jusqu’à ce que votre désir igné,
hurle sa chanson charnelle ?
et voir s’envoler de nouveau,
la passion pour un désir fougueux,
qui part vous laissant le vide,
jusqu’à ce qu’une autre flamme la suscite de nouveau ?
ou voulez-vous, homme…
la serrer contre votre cœur,
l’aimer et sentir bonheur,
chaque soir, chaque matin,
et encore saluer dieu
pour chaque jour de vie en vous !?","paixão, amor, sexo ..
homem, que estas fazendo ?
tuas palavras viris, febris, instigadas, forçando as portas de um sonho esquecido,
na alma de uma mulher dotada,
que o mundo parece agarrar…
homem, que estas querendo ?
sentir tua haste dançar em seu ventre,
ver seu corpo tremer de excitação,
até que teu desejo ígneo,
brade sua canção ?
e ver partir de novo,
a paixão por um desejo fogoso,
que parte te deixando o vazio,
até que outra chama, a desperte de novo ?
ou queres, homem…
aperta-la contra seu coração,
amá-la e sentir felicidade,
toda manhã, toda noite
e ainda saudar deus
por cada dia de vida em vós ?!!!",fr_XX,pt_XX,"paixão, amor, sexo…
Cara, o que você está fazendo?
suas palavras viris, febris, agitadas,
abrindo as portas de um sonho esquecido,
na alma de uma mulher talentosa,
que o mundo parece estar entendendo...
Cara, o que você quer?
sinta seu pau dançando em suas entranhas,
veja seu corpo tremendo e agitado,
até que seu desejo ardente,
grita sua canção carnal?
e vê-lo voar para longe novamente,
paixão por um desejo ardente,
que te deixa vazio,
até que outra chama o acenda novamente?
onde você quer, cara...
segure-a perto do seu coração,
amá-lo e sentir felicidade,
todas as noites, todas as manhãs,
e novamente saudar a Deus
para cada dia da sua vida!?",1
"cœur déchiré
pourquoi l’avoir dérobé, si tu ne désirais pas le garder ?
et ainsi avec tant d’ardeur, à leurer même le cupidon ?
oh voleur ! tôt ou tard je te le reprendrai,
et aussi brutalement comme tu me l’as fait à moi.
en arrivant comme un angelot,
en partant comme un voleur,
et comme si le monde,
ne tournait qu’autour de toi.
ce jour arrivera et toi,
ne te moqueras plus de moi, de ma naïveté.
et tu éprouveras comme moi aujourd’hui,
l’abandon, la déchirure, un mal être bien défini.
et l’amour, de retour dans mon ego,
je le détiendrai si calme, si serein,
dans mon être plein de vie,
pour un autre bien choisi.","coração rasgado
porque tê-lo roubado, se não desejava guarda-lo ?
e com tanto ardor, enganando até o cupido ?
oh ladro ! cedo ou tarde eu o pegarei de volta,
assim tão brutalmente como o fez comigo.
chegando como um anjinho,
partindo como um ladrão,
et como se o mundo,
so girasse ao seu redor.
este dia chegará e voce,
nao rirá mais de mim, de minha inocencia.
e provará como eu atualmente,
o abandono, o rasgão, um mal estar bem definido.
e o amor, de volta ao meu ego,
eu o guardarei tão calmo, tão sereno
no meu ser cheio de vida,
para um outro bem escolhido.",fr_XX,pt_XX,"coração partido
Por que você roubou se não queria ficar com ele?
e assim com tanto ardor, atrair até mesmo Cupido?
Ah ladrão! Mais cedo ou mais tarde eu vou pegar isso de volta de você,
e tão brutalmente quanto você fez comigo.
chegando como um querubim,
saindo como um ladrão,
e como se o mundo,
só girava em torno de você.
esse dia chegará e você,
Não tire mais sarro de mim, da minha ingenuidade.
e você experimentará como eu hoje,
abandono, desgosto, um mal-estar bem definido.
e amor, de volta ao meu ego,
Eu o manterei tão calmo, tão sereno,
no meu ser cheio de vida,
para outro bem escolhido.",1
"moment de nostalgie.
oh sentiment profond,
qui pénètre la poitrine et insiste à y rester.
cette chose poignante qui révèle le vide,
paralyse le regard le remplissant de tristesse.
oh, sentiment qui creuse,
qui jette dans le vide,
tout être aimable sans aucune pitié.
obligée je suis de te laisser la place,
si tu insistes à m’y habiter.
voilà, une lueur s’impose !
me dévoile, me secoue, t’arrachant de moi.
je partais fragile, naïve et inerte,
contente je suis de m’être séparée de toi.","momento de nostalgia
oh sentimento profond,
que penetra no peito
e insiste em ali ficar,
esta coisa pungente que revela o vazio,
paralisa o olhar lhe enchendo de tristesa.
oh, sentimento que perfura, que joga no vazio todo ser amável,
sem nenhuma piedade.
obrigada eu sou de me deixar partir,
se tu persistes em dentro morar …
eis que uma luz se impõe,
me desvela, me sacode,
te arrancando de mim.
eu partia frágil, inocente e inerte,
contente estou de ter me separado de ti.",fr_XX,pt_XX,"momento de nostalgia.
oh sentimento profundo,
que penetra no peito e insiste em permanecer ali.
essa coisa pungente que revela o vazio,
paralisa o olhar, enchendo-o de tristeza.
oh, sentimento que escava,
que joga no vazio,
todo tipo de ser sem nenhuma piedade.
Tenho que te dar meu lugar,
se você insiste em viver lá.
Aqui, é preciso um vislumbre de esperança!
me revela, me abala, arrancando você de mim.
Saí frágil, ingênuo e inerte,
Estou feliz por ter terminado com você.",1
"il paraît que j’ai un beau sourire,
que mes yeux pétillent,
que mon regard fascine,
il est vrai que j’aime la vie.
il paraît que mes mots sont forts,
que suis douce et tendre,
que j’inspire le bonheur,
il est vrai que les envies me supportent.
si mon sourire est beau,
si mes yeux pétillent,
si mon regard fascine,
je ne vois que votre âme.
si mes mots sont forts,
si je suis douce et tendre,
si j’inspire le bonheur,
je ne vois que votre cœur.
où est le mal, je ne le vois pas,
si je ne vois que le bien !
ou est la critique, je ne le fais pas,
si je ne sais pas juger !
je me laisse bercer,
je suis le rythme.
je me laisse guider,
j’ai confiance en vous.
je glisse …
dans l’intelligence du cœur,
dans la beauté de l’âme,
dans la façon élégante,
dont les choses sont faites.
et …
puisse moi ne pas me tromper,
puissent les anges m’accompagner.","parece que tenho um belo sorriso,
que meus olhos faíscam,
que meu olhar facina,
é verdade que eu amo a vida.
parece que minhas palavras são fortes,
que sou serena e carinhosa,
que inspiro a felicidade,
é verdade que os desejos me suportam.
se meu sorriso é bonito,
se meus olhos faíscam,
se meu olhar facina,
é que so vejo sua alma.
se minhas palavras são fortes,
se sou serena e carinhosa,
se inspiro a felicidade,
é que so vejo seu coração.
onde esta o mal, eu não o vejo,
se eu so vejo o bem !
onde esta a crítica, eu não a faço,
se eu não sei julgar !
eu me deixo balançar,
eu sigo o ritmo,
eu me deixo guiar,
tenho confiança em voce.
eu desliso …
na inteligência do coração,
na beleza da alma,
na maneira elegante,
com a qual as coisas são feitas.
e …
possa eu não me enganar.
possam os anjos me acompanhar.",fr_XX,pt_XX,"Parece que tenho um sorriso lindo,
que meus olhos brilham,
que meu olhar fascina,
É verdade que eu amo a vida.
parece que minhas palavras são fortes,
que sou doce e terno,
que eu inspiro felicidade,
É verdade que meus desejos me apoiam.
se meu sorriso é bonito,
se meus olhos brilham,
se meu olhar fascina,
Eu só vejo sua alma.
se minhas palavras são fortes,
se eu sou doce e terno,
se eu inspiro felicidade,
Eu só vejo seu coração.
onde está o mal, eu não vejo,
se eu apenas visse o lado bom!
onde está a crítica, eu não faço isso,
se eu não sei julgar!
Deixei-me embalar,
Eu sigo o ritmo.
Deixei-me guiar,
Eu confio em você.
Eu deslizo...
na inteligência do coração,
na beleza da alma,
de forma elegante,
do qual as coisas são feitas.
E …
que eu não esteja enganado,
que os anjos me acompanhem.",1
"les femmes et les hommespourquoi sur le chemin,
les hommes et les femmes y passent,
se entrelacent et tentent de construire un jardin,
et finissent pour y planter des souffrances ?
les femmes et les hommes en souffrent. ils se blessent, pleurent, subissent. ils sont tendus, malheureux, sombres. puis un jour déchirés ils se quittent.
les femmes et les hommes espèrent,
tous les jours le bonheur.
souvent l’attente est pérenne
et la solitude envahie leur cœur.
leurs émotions souvent meurtris
ils se replient dans un monde vide,
bordant une vie fade et triste,
ils se demandent si le bonheur exiiste.
mieux vaut vivre dans la certitude,
qu’un grand homme,
qu’une grande femme,
les attendent dans l’esprit de dieu.","as mulheres e os homensporque no caminho,
mulheres e homens ali passam,
se entrelaçam et tentam construir um jardim,
et acabam por plantar sofrimentos ?
as mulheres e os homens sofrem. eles se machucam, se aturam, choram. eles são tensos, infelizes, tristes, e um dia, dilacerados, eles se separam.
as mulheres e os homens esperam, todos os dias, a felicidade. muitas vezes a espera é eterna, e uma imensa solidão os invade.
suas emoções quase sempre feridas,
eles se fecham num mundo vazio,
tocando uma vida triste e sombria,
eles se perguntam se a felicidade existe.
melhor viver na certeza
que um grande homem,
que uma grande mulher,
lhes esperam no seio de deus.",fr_XX,pt_XX,"mulheres e homenspor que no caminho,
homens e mulheres passam por isso,
entrelaçam-se e tentam construir um jardim,
e acabar semeando sofrimento ali?
tanto mulheres quanto homens sofrem com isso. Eles se machucam, choram, sofrem. Eles estão tensos, infelizes, sombrios. então um dia, separados, eles se separam.
mulheres e homens esperam,
felicidade todos os dias.
muitas vezes a espera é longa
e a solidão invadiu seus corações.
suas emoções frequentemente machucadas
eles recuam para um mundo vazio,
beirando uma vida monótona e triste,
Eles se perguntam se a felicidade existe.
é melhor viver na certeza,
que um grande homem,
do que uma grande mulher,
espere por eles no espírito de Deus.",1
