original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"vie de femme …
les sentiments passent en premier.
ils sont absorbés et préservés.
si banalisés … exterminés.
si entretenus … sauvegardés.
si sauvegardés, elle est séduite.
si exterminés, l’autre est vite oublié.
et le poisson prend le large …
pour nager dans d’autres rives,
a l’encontre d’une âme pure,
telle que la sienne.
la solitude corrompt l’âme.
le téméraire loyal qui passe par là,
chanceux ou don juan,
c’est qu’il est arrivé …
sur le bon endroit au bon moment.","vida de mulher …
os sentimentos passam em primeiro.
eles são absorvidos e preservados.
si banalizados … exterminados.
si alimentados… salvados.
si salvados, ela é seduzida.
si exterminados, o outro é rápido esquecido.
e o peixe cai em alto mar …
para nadar em outras margens,
ao encontro de uma alma pura,
tal como a sua.
a solidão corrompe a alma.
o temerário leal que ali passa,
felizardo ou don juan,
é que ele chegou …
no bom lugar no momento certo.",fr_XX,pt_XX,"Vida de mulher...
Os sentimentos vêm em primeiro lugar.
Eles são absorvidos e preservados.
Se banalizados... exterminados.
Se cultivados... salvaguardados.
Se salvaguardados, ela é seduzida.
Se exterminados, o outro é logo esquecido.
E o peixe toma o rumo...
Para nadar em outras margens,
Contra uma alma pura,
Tal qual a sua.
A solidão corrompe a alma.
O ousado leal que passa por ali,
Sortudo ou don juan,
É que ele chegou...
No lugar certo na hora certa.",-1
"vie de femme …
les sentiments passent en premier.
ils sont absorbés et préservés.
si banalisés … exterminés.
si entretenus … sauvegardés.
si sauvegardés, elle est séduite.
si exterminés, l’autre est vite oublié.
et le poisson prend le large …
pour nager dans d’autres rives,
a l’encontre d’une âme pure,
telle que la sienne.
la solitude corrompt l’âme.
le téméraire loyal qui passe par là,
chanceux ou don juan,
c’est qu’il est arrivé …
sur le bon endroit au bon moment.","vida de mulher …
os sentimentos passam em primeiro.
eles são absorvidos e preservados.
si banalizados … exterminados.
si alimentados… salvados.
si salvados, ela é seduzida.
si exterminados, o outro é rápido esquecido.
e o peixe cai em alto mar …
para nadar em outras margens,
ao encontro de uma alma pura,
tal como a sua.
a solidão corrompe a alma.
o temerário leal que ali passa,
felizardo ou don juan,
é que ele chegou …
no bom lugar no momento certo.",fr_XX,pt_XX,"Vida de mulher...
Os sentimentos vêm em primeiro lugar.
Eles são absorvidos e preservados.
Se banalizados... exterminados.
Se cultivados... salvaguardados.
Se salvaguardados, ela é seduzida.
Se exterminados, o outro é logo esquecido.
E o peixe toma o rumo...
Para nadar em outras margens,
Contra uma alma pura,
Tal qual a sua.
A solidão corrompe a alma.
O ousado leal que passa por ali,
Sortudo ou don juan,
É que ele chegou...
No lugar certo na hora certa.",1
"vie de femme …
les sentiments passent en premier.
ils sont absorbés et préservés.
si banalisés … exterminés.
si entretenus … sauvegardés.
si sauvegardés, elle est séduite.
si exterminés, l’autre est vite oublié.
et le poisson prend le large …
pour nager dans d’autres rives,
a l’encontre d’une âme pure,
telle que la sienne.
la solitude corrompt l’âme.
le téméraire loyal qui passe par là,
chanceux ou don juan,
c’est qu’il est arrivé …
sur le bon endroit au bon moment.","vida de mulher …
os sentimentos passam em primeiro.
eles são absorvidos e preservados.
si banalizados … exterminados.
si alimentados… salvados.
si salvados, ela é seduzida.
si exterminados, o outro é rápido esquecido.
e o peixe cai em alto mar …
para nadar em outras margens,
ao encontro de uma alma pura,
tal como a sua.
a solidão corrompe a alma.
o temerário leal que ali passa,
felizardo ou don juan,
é que ele chegou …
no bom lugar no momento certo.",fr_XX,pt_XX,"Vida de mulher...
Os sentimentos vêm em primeiro lugar.
Eles são absorvidos e preservados.
Se banalizados... exterminados.
Se cultivados... salvaguardados.
Se salvaguardados, ela é seduzida.
Se exterminados, o outro é rapidamente esquecido.
E o peixe foge...
Para nadar em outras margens,
Contra uma alma pura,
Tal qual a sua.
A solidão corrompe a alma.
O ousado leal que passa por ali,
Sortudo ou don juan,
É que ele chegou...
No lugar certo na hora certa.",-1
"vie de femme …
les sentiments passent en premier.
ils sont absorbés et préservés.
si banalisés … exterminés.
si entretenus … sauvegardés.
si sauvegardés, elle est séduite.
si exterminés, l’autre est vite oublié.
et le poisson prend le large …
pour nager dans d’autres rives,
a l’encontre d’une âme pure,
telle que la sienne.
la solitude corrompt l’âme.
le téméraire loyal qui passe par là,
chanceux ou don juan,
c’est qu’il est arrivé …
sur le bon endroit au bon moment.","vida de mulher …
os sentimentos passam em primeiro.
eles são absorvidos e preservados.
si banalizados … exterminados.
si alimentados… salvados.
si salvados, ela é seduzida.
si exterminados, o outro é rápido esquecido.
e o peixe cai em alto mar …
para nadar em outras margens,
ao encontro de uma alma pura,
tal como a sua.
a solidão corrompe a alma.
o temerário leal que ali passa,
felizardo ou don juan,
é que ele chegou …
no bom lugar no momento certo.",fr_XX,pt_XX,"Vida de mulher...
Os sentimentos vêm em primeiro lugar.
Eles são absorvidos e preservados.
Se banalizados... exterminados.
Se cultivados... salvaguardados.
Se salvaguardados, ela é seduzida.
Se exterminados, o outro é rapidamente esquecido.
E o peixe foge...
Para nadar em outras margens,
Contra uma alma pura,
Tal qual a sua.
A solidão corrompe a alma.
O ousado leal que passa por ali,
Sortudo ou don juan,
É que ele chegou...
No lugar certo na hora certa.",1
"un soir d’été …
je t’ai vu un soir d’été,
t’étais là, élégant et svelte,
j’ai vu le ciel, j’ai vu tes mirettes,
tout en bleu j’ai vu le tableau.
je t’ai vu, je me suis stoppée,
pour t’observer en peu.
une sensation j’ai éprouvée,
une anxiété avec ardeur.
j’ai eu peur parce que mon corps,
jusqu’alors soumis à moi,
s’abandonnerait au tien aussi en cœur,
si tu le désirais ainsi comme moi.
le soleil brulait en nous,
en tête à tête nous étions,
sur ton visage j’ai vu la bonté,
et dans ton âme j’ai vu la beauté.
les moments que nous avons passé,
avec calme et spontanéité,
sans effort et en toute simplicité,
toi et moi nous avons aimé …
dans un silence plein de tendresse,
nos âmes nues et entrelacées,
hébergée dans tes bras j’entendais ton cœur,
le mien complice a accéléré sa marche.
avec volupté et sensualité, entre caresses et baisers,
nos entrailles ont proclamé le plaisir frémissant…
dehors la pluie tombait, comme si pour arroser,
la beauté de ces moments.","uma tarde de verão …
eu lhe vi numa tarde de verão,
voce estava ali, elegante e esbelto,
eu vi o céu, eu vi seus olhos,
todo azul eu vi o quadro.
eu lhe vi, eu parei,
para lhe observar un pouco.
uma sensação eu senti,
uma ansiedade com ardor.
eu tive medo porque meu corpo,
até então submisso à mim,
se abandonaria ao seu, tambem em coração,
se voce o desejasse assim como eu.
eu senti o sol que queimava em nós,
e frente à frente nós estávamos,
no seu rosto eu vi a bondade,
e a beleza da sua alma.
os momentos que juntos passamos,
com calma e espontâneidade,
com carinho e com simplicidade,
voce e eu, nós amamos …
num silencio cheio de emoção,
nossas almas nuas e entrelaçadas,
acolhida nos seus braços seu coração eu escutava ,
o meu cúmplice acelerou sua cançao.
entre carinhos e beijos,com sensualidade e volúpcia,
nossas entranhas proclamaram o prazer frêmito …
la fora a chuva caía, como se para arrozar,
a beleza destes momentos.",fr_XX,pt_XX,"Uma noite de verão...
Eu te vi numa noite de verão,
Você estava lá, elegante e esbelto,
Vi o céu, vi seus olhinhos,
Todo em azul vi o quadro.
Eu te vi, parei,
Para te observar um pouco.
Uma sensação eu senti,
Uma ansiedade com fervor.
Tive medo porque meu corpo,
Até então submisso a mim,
Se entregaria ao teu também em coração,
Se você desejasse assim como eu.
O sol queimava em nós,
A sós nós estávamos,
No teu rosto vi a bondade,
E na tua alma vi a beleza.
Os momentos que passamos,
Com calma e espontaneidade,
Sem esforço e em toda simplicidade,
Tu e eu amamos...
Num silêncio cheio de ternura,
Nossas almas nuas e entrelaçadas,
Acolhida em teus braços ouvia teu coração,
O meu cúmplice acelerou seu ritmo.
Com volúpia e sensualidade, entre carícias e beijos,
Nossos íntimos proclamaram o prazer vibrante...
Lá fora a chuva caía, como se para regar,
A beleza desses momentos.",1
"que veux-tu quand tu seras grand ?
trouver l’amour …
que veux tu faire avec l’amour ?
le chérir …
que veux tu comme amour ?
le vrai …
quel nom lui donnerais-tu ?
sincérité …
comment le souhaites-tu ?
constant …
que demanderais-tu à cet amour ?
fidélité …
combien de temps le garderais-tu ?
pour toujours …
où l’emmènerais tu ?
dans mon coeur …
que serais-tu pour lui ?
l’amour …
il en est déjà un !?
non ! il est la moitié d’un amour","que queres quando serás grande ?
encontrar o amor …
que queres fazer com o amor ?
amá-lo …
que queres como amor ?
o verdadeiro …
qual nome o darias tu ?
sinceridade …
como o desejas tu ?
constante …
que pedirias tu a este amor ?
fidelidade …
quanto tempo o guardarias tu ?
para sempre …
onde o levarias tu ?
no meu coração …
que serias tu para ele ?
o amor …
ele ja é um !?
nao ! ele é a metade de um amor …",fr_XX,pt_XX,"O que você quer ser quando crescer?
Encontrar o amor...
O que você quer fazer com o amor?
Cuidar dele...
Que tipo de amor você quer?
O verdadeiro...
Que nome você daria a ele?
Sinceridade...
Como você o deseja?
Constante...
O que você pediria a esse amor?
Fidelidade...
Por quanto tempo você o manteria?
Para sempre...
Para onde você o levaria?
Dentro do meu coração...
O que você seria para ele?
O amor...
Já existe um?
Não! Ele é a metade de um amor.",1
"toi, yeux verts, visage brun
si un jour ton visage m’a perturbé à jamais,
et si pendant mon parcours ton regard m’a suivi,
il ne m’est resté que nostalgie dans les allées de ma vie …
si les rides
ont changé ton visage,
et si même de moi
tu ne te souviens plus,
j’aurai toujours mon être
pour me perdre
dans ton regard…
si un jour la vie
me permet de rêver,
et si dans mon rêve toi,
tu m’apparaît pour moi,
j’aurai mon âme, pour t’embrasser !
si sur terre je n’ai plus l’espoir,
de sentir de nouveau cet envoûtement,
malheureuse, je suis morte dans le monde pour ne plus y espérer…
mais toi, yeux verts, visage brun,
pourvu que tu sois heureux, avec une belle et gentille fleur,
entouré d’un beau jardin, sous l’amour de dieu …","voce, olhos verdes, rosto moreno
se um dia seu rosto me pertubou para sempre,
e se durante meu percurso seu olhar me seguiu,
so me restou nostalgia nas alas da minha vida…
se as rugas mudaram seu rosto,
e se até mesmo de mim voce não mais se lembrar,
terei sempre meu sêr para me perder nos seus olhos…
se um dia a vida me permitir de sonhar,
e se no meu sonho seu rosto me aparecer,
eu terei minha alma para enfim lhe abraçar !
se na terra, eu não tenho mais esperança,
de sentir de novo este encantamento,
infeliz, estou morta no mundo para não mais esperar…
mas voce, olhos verdes, rosto moreno,
oxala esteja feliz, com uma bela e gentil flôr,
meio a um belo jardim, sob o amor de deus.",fr_XX,pt_XX,"você, olhos verdes, rosto moreno
se um dia teu rosto me perturbou para sempre,
e se durante meu caminho teu olhar me seguiu,
só me restou nostalgia nas vielas da minha vida...
se as rugas
mudaram teu rosto,
e se até de mim
você não se lembra mais,
eu sempre terei meu ser
para me perder
em teu olhar...
se um dia a vida
me permitir sonhar,
e se em meu sonho você,
aparece para mim,
eu terei minha alma, para te beijar!
se na terra não tenho mais esperança,
de sentir novamente essa fascinação,
infeliz, estou morta no mundo para não mais esperar...
mas você, olhos verdes, rosto moreno,
espero que estejas feliz, com uma linda e gentil flor,
cercado por um belo jardim, sob o amor de deus...",1
"tais-toi
je t’aime … mon amour, ma chérie.
tais-toi, ne répètes plus jamais ça,
tais-toi, tu ne sais pas ce que tu dis.
les mots qui caressent,
viennent en fusion avec dieu.
je ne veux pas de tes mots,
qu’ arrivent avec tes ténèbres,
de ton esprit sans paix,
qui débat contre ton corps.
les mots sortis de ta bouche,
ne guérissent pas ta blessure,
te rendent encore plus jaloux,
de ceux qu’ont connu l’amour.
je t’aime … mon amour, ma chérie.
tais-toi, tu ne sais pas ce qu’est l’amour,
tais-toi, tu ne sais pas ce que tu fais.
si seulement, t’ avais connu musset,
tu saurais, que tu n’as pas encore vécu.
que ta vie, n’est pas sommeil,
elle est seulement … un cauchemar.","cala-te
eu te amo … meu amor, minha querida.
cala-te, nao repitas nunca mais isso,
cala-te, tu nao sabes o que dises.
as palavras que acariciam,
vêm em fusao com deus.
nao quero tuas palavras,
que chegam com tuas trevas,
de teu espirito sem paz,
que debate contra teu corpo.
as palavras saidas de tua boca,
não curam tua cicatriz,
te tornam ainda mais ciumento,
daqueles que conheceram o amor.
eu te amo … meu amor, minha querida.
cala-te, tu nao sabes o que é o amor,
cala-te, tu nao sabes o que fazes.
si pelo menos, tu tivesses conhecido musset,
tu saberias que ainda nao viveu.
que tua vida nao é sono,
ela é somente … um pesadelo.",fr_XX,pt_XX,"Fique em silêncio
Eu te amo... meu amor, minha querida.
Fique em silêncio, não repita mais isso,
Fique em silêncio, você não sabe o que diz.
As palavras que acariciam,
vêm em fusão com Deus.
Eu não quero suas palavras,
que chegam com suas trevas,
de seu espírito sem paz,
que debate contra seu corpo.
As palavras que saem de sua boca,
não curam sua ferida,
te deixam ainda mais ciumento,
daqueles que conheceram o amor.
Eu te amo... meu amor, minha querida.
Fique em silêncio, você não sabe o que é o amor,
Fique em silêncio, você não sabe o que está fazendo.
Se ao menos, você tivesse conhecido Musset,
saberia, que você ainda não viveu.
que sua vida, não é sono,
ela é apenas... um pesadelo.",1
"ta différence …
où es tu, que fais tu, comment vas-tu ?
et le temps qui passe et cette bataille éternelle,
« ta différence » fait ton arrogance et ta peur.
la peur qui t’enferme dans ta coquille,
« ta différence » qui t’isole dans ton monde.
et la solitude nous corrompt et nous ronge les âmes.
et ton esprit se souvenant encore du mien,
s’adosse sur mon âme et la rends nostalgique et fragile.
et mon esprit se souvenant encore du tien,
s’adosse sur ton âme et la rends nostalgique et fragile.
je le sais … ton berceau différent du mien,
je le sais … ton être enchainé à la profondeur de ta créature.
et tes envies dans ton esprit confus, tourbillonnant dans ton cœur…
et la peur … incrustée en toi te rendant craintif et indécis.
ton âme je l’ai percée …
si seulement ton coeur me serait ouvert,
le temps serait à nous,
« ta différence » serait la mienne,
et nous serions heureux …","sua diferença …
onde está você, que faz você, como vai você ?
e o tempo que passa et esta batalha eterna,
« sua diferença » faz sua arrogância e seu mêdo.
o mêdo que te encarcera no seu caracol,
« sua diferença » que te isola no seu mundo.
e a solidão nos corrompe et nos rói as almas.
e seu espírito se lembrando aínda do meu,
se encosta na minha alma e a torna nostálgica e frágil.
e meu espírito se lembrando aínda do seu,
se encosta na sua alma e a torna nostálgica e frágil.
eu sei … seu berço diferente do meu,
eu sei … seu ser prisoneiro na profundeza de sua criação.
e seus desejos no seu espírito confuso, turbilhonando no seu coração …
e o mêdo … encrustado em voce lhe tornando receioso e indeciso.
sua alma eu a penetrei …
se seu coração tivesse se abrido,
o tempo sería nosso,
sua diferença seria minha,
e nós seríamos felizes …",fr_XX,pt_XX,"Essa diferença...
Onde você está, o que você faz, como vai você?
E o tempo que passa e essa batalha eterna,
""Sua diferença"" alimenta seu orgulho e seu medo.
O medo que te prende em tua concha,
""Sua diferença"" que te isola em teu mundo.
E a solidão nos corrompe e corrói as almas.
E teu espírito, ainda lembrando do meu,
apoia-se em minha alma e a torna nostálgica e frágil.
E meu espírito, ainda lembrando do teu,
apoia-se em tua alma e a torna nostálgica e frágil.
Eu sei... seu berço diferente do meu,
Eu sei... seu ser acorrentado à profundidade de sua criatura.
E seus desejos em sua mente confusa, girando em seu coração...
E o medo... incrustado em você, tornando-o tímido e indeciso.
Sua alma eu a penetrei...
Se apenas seu coração se abrisse para mim,
o tempo seria nosso,
""Sua diferença"" seria a minha,
e seríamos felizes...",1
"souvenir d’enfance
j’entendais en pleine nuit,
un son régulier,
comme une chanson dans le noir,
coupant le silence de la nuit.
je me paniquais, je criais maman.
mon petit frère se réveillait,
entendait la chanson dans le noir.
mon petit frère se paniquait,
et criait maman aussi.
la voix de maman,
magie, splendeur, douceur dans la nuit.
elle nous assurait que ce son,
n’était que papa en train de ronfler.
mais ce son ainsi insistant,
ouvrait les ailes de l’imagination,
la peur nous envahissait,
et voilà que tout à coup, ups !
quatre petites jambes pardessus le barreau,
du berceau où nous dormions.
et ainsi bien collés,
au chaud entre papa et maman,
mon petit frère et moi,
nous dormions comme si on était,
dans le ciel, dans les bras de dieu …","lembrança de infancia
eu ouvia em plena madrugada,
um som regular,
como uma canção na escuridão,
cortando o silencio da noite.
em pânico, eu gritava mamãe.
meu irmãozinho se acordava,
escutava a canção na escuridão.
meu irmãozinho em pânico,
gritava mamãe tambem.
a voz de mamãe …
magia, esplendor e brandura na escuridão.
ela nos assegurava que este som,
era so papai roncando no seu sono.
mas esse som assim persistente,
abria as asas da imaginação,
o mêdo nos invadia,
e eis que de repente, ups !
quatro perninhas por cima da barra,
do berço onde dormíamos.
e assim bem agarradinhos,
no quentinho entre papai e mamãe,
meu irmãozinho e eu,
nós dormíamos como si estivéssemos,
no céu, nos braços de deus …",fr_XX,pt_XX,"Lembrança de infância
Eu ouvia no meio da noite,
um som regular,
como uma canção no escuro,
cortando o silêncio da noite.
Eu me desesperava, gritava pela mamãe.
Meu irmãozinho acordava,
ouvia a canção no escuro.
Meu irmãozinho se desesperava,
e gritava pela mamãe também.
A voz da mamãe,
magia, esplendor, suavidade na noite.
Ela nos garantia que aquele som,
era só o papai roncando.
Mas aquele som tão insistente,
abria as asas da imaginação,
o medo nos invadia,
e de repente, ups!
Quatro pequenas pernas por cima da barra,
do berço onde dormíamos.
E assim bem coladinhos,
ao calor entre papai e mamãe,
meu irmãozinho e eu,
dormíamos como se estivéssemos,
no céu, nos braços de deus...",-1
