original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"bizarre déité, brune comme les nuits,
au parfum mélangé de musc et de havane,
oeuvre de quelque obi, le faust de la savane,
sorcière au flanc d’ébène, enfant des noirs minuits,
je préfère au constance, à l’opium, au nuits,
l’élixir de ta bauche où l’amour se pavane;
quand vers toi mes désirs partent en caravane,
tes yeux sont la citerne où boivent mes ennuis.
por ces deux grands yeux noirs, soupiraux de ton âme
o démon sans pitié! verse-moi moins de flamme;
je ne suis pas le styx pour t’embrasser neuf fois,
hélas! et je ne puis, mégère libertine,
pour briser ton courage et te mettre aux abois,
dans l’enfer de ton lit devenir proserpine!","bizarra divindade, cor da noite escura,
cujo perfume sabe a almíscar e a havana,
obra de algum obi, o fausto da savana,
feiticeira sombria, criança da hora impura,
prefiro ao ópio, ao vinho, à bêbeda loucura,
o elixir dessa boca onde o amor se engalana;
se meus desejos vão a ti em caravana,
é do frescor dos olhos teus que ando à procura.
que esses dois olhos negros, poros de tua alma,
ó demônio impiedoso! às chamas tragam calma;
não sou o estige para lúbrico abraçar-te,
e não posso, ai de mim, ó megera sensual,
para dobrar-te a fúria e à parede encostar-te,
qual prosérpina arder em teu leito infernal.",fr_XX,pt_XX,"estranha déidade, tão escura quanto as noites,
ao perfume misturado de almíscar e Havana,
obra de algum obi, o Fausto da savana,
feiticeira de flanco ébano, criança dos negros meios-dias,
prefiro à constância, ao ópio, às noites,
o elixir de teu colo onde o amor pavoneia;
quando em tua direção meus desejos partem em caravana,
teus olhos são a cisterna onde bebem meus desgostos.
por esses dois grandes olhos negros, suspiros da tua alma
oh demônio sem piedade! derrama-me menos chama;
não sou o estige para te beijar nove vezes,
ai de mim! e não posso, megera libertina,
para quebrar teu vigor e te colocar em apuros,
no inferno de tua cama tornar-me proserpina!",3
"voici le soir charmant, ami du criminel;
il vient comme un complice, à pas de loup; le ciel
se ferme lentement comme une grande alcôve,
et l’homme impatient se change en bête fauve.
o soir, aimable soir, désiré par celui
dont les bras, sans mentir, peuvent dire: aujourd’hui
nous avons travaillé! — c’est le soir qui soulage
les esprits que dévore une douleur sauvage,
le savant obstiné dont le front s’alourdit,
et l’ouvrier courbé qui regagne son lit.
cependant des démons malsains dans l’atmosphère
s’éveillent lourdement, comme des gens d’affaire,
et cognent en volant les volets et l’auvent.
a travers les lueurs que tourmente le vent
la prostitution s’allume dans les rues;
comme une fourmilière elle ouvre ses issues;
partout elle se fraye un occulte chemin,
ainsi que l’ennemi qui tente un coup de main;
elle remue au sein de la cité de fange
comme un ver qui dérobe à l’homme ce qu’il mange.
on entend çà et là les cuisines siffler,
les théâtres glapir, les orchestres ronfler;
les tables d’hôte, dont le jeu fait les délices,
s’emplissent de catins et d’escrocs, leurs complices","eis a noite sutil, amiga do assassino;
ela vem como um cúmplice, a passo lupino;
qual grande alcova o céu se fecha lentamente,
e em besta fera torna-se o homem impaciente.
ó noite, amável noite, almejada por quem
cujas mãos, sem mentir, podem dizer: amém,
galgamos nosso pão! — é a noite que alivia
as almas que uma dor selvagem suplicia,
o sábio cuja fronte pesa sem proveito,
e o recurvo operário que regressa ao leito.
entretanto, demônios insepultos no ócio
acordam do estupor, como homens de negócio,
e estremecem a voar o postigo e a janela.
através dos clarões que o vendaval flagela
o meretrício brilha ao longo das calçadas;
qual formigueiro ele franqueia mil entradas;
por toda parte engendra uma invisível trilha,
assim como inimigo apronta uma armadilha;
pela cidade imunda e hostil se movimenta
como um verme que ao homem furta o que o sustenta.
ouvem-se aqui e ali as cozinhas a chiar,
os teatros a ganir, as orquestras a ecoar;
sobre as roletas em que o jogo encena farsas,
curvam-se escroques e rameiras, seus comparsas",fr_XX,pt_XX,"Eis a noite sutil, amiga do assassino;
Vem como um cúmplice, a passo lupino;
Qual grande alcova o céu se fecha lentamente,
E em fera besta torna-se o homem impaciente.
Ó noite, amável noite, almejada por quem
Cujas mãos, sem mentir, podem dizer: amém,
Galgamos nosso pão! — É a noite que alivia
As almas que uma dor selvagem suplicia,
O sábio cuja fronte pesa sem proveito,
E o recurvo operário que regressa ao leito.
Entretanto, demônios insepultos no ócio
Acordam do estupor, como homens de negócio,
E estremecem a voar o postigo e a janela.
Através dos clarões que o vendaval flagela
O meretrício brilha ao longo das calçadas;
Qual formigueiro ele franqueia mil entradas;
Por toda parte engendra uma invisível trilha,
Assim como inimigo arma uma armadilha;
Pela cidade imunda e hostil se movimenta
Como um verme que ao homem furta o que o sustenta.
Ouvem-se aqui e ali as cozinhas a chiar,
Os teatros a ganir, as orquestras a ecoar;
Sobre as roletas em que o jogo encena farsas,
Curvam-se trapaceiros e rameiras, seus pares.",3
"et les voleurs, qui n’ont ni trêve ni merci,
vont bientôt commencer leur travail, eux aussi,
et forcer doucement les portes et les caisses
pour vivre quelques jours et vêtir leurs maîtresses.
recueille-toi, mon âme, en ce grave moment,
et ferme ton oreille à ce rugissement.
c’est l’heure où les douleurs des malades s’aigrissent!
la sombre nuit les prend à la gorge; ils finissent
leur destinée et vont vers le gouffre commun;
l’hôpital se remplit de leurs soupirs. — plus d’un
ne viendra plus chercher la soupe parfumée,
au coin du feu, le soir, auprès d’une âme aimée.
encore la plupart n’ont-ils jamais connu
la douceur du foyer et n’ont jamais vécu!","e os ladrões, que perdão ou trégua alguma têm
começam cedo a trabalhar, eles também,
forçando docemente o trinco e a fechadura
para que a vida não lhes seja assim tão dura.
recolhe-te, minha alma, neste grave instante,
e tapa teus ouvidos a este som uivante.
é o momento em que as dores dos doentes culminam!
a noite escura os estrangula; eles terminam
seus destinos no horror de um abismo comum;
seus suspiros inundam o hospital; mais de um
não mais virá buscar a sopa perfumada,
junto ao fogão, à tarde, ao pé da bem-amada.
e entre eles muitos há que nunca conheceram
a doçura do lar e que jamais viveram!",fr_XX,pt_XX,"E os ladrões, que não têm trégua nem clemência,
brevemente começarão seu trabalho, eles também,
e forçarão suavemente as portas e as caixas
para viver alguns dias e vestir suas amantes.
Recolhe-te, minha alma, neste grave momento,
e fecha teu ouvido a este rugir.
É a hora em que as dores dos doentes se agravam!
A sombria noite os estrangula; eles acabam
seu destino e vão ao abismo comum;
o hospital se enche de seus suspiros. — Não virá mais um
buscar a sopa perfumada,
ao lado do fogo, à noite, junto a uma alma amada.
Ainda a maioria nunca conheceu
a doçura do lar e nunca viveu!",3
"bizarre déité, brune comme les nuits,
au parfum mélangé de musc et de havane,
oeuvre de quelque obi, le faust de la savane,
sorcière au flanc d’ébène, enfant des noirs minuits,
je préfère au constance, à l’opium, au nuits,
l’élixir de ta bouche où l’amour se pavane;
quand vers toi mes désirs partent en caravane,
tes yeux sont la citerne où boivent mes ennuis.
par ces deux grands yeux noirs, soupiraux de ton âme,
ô démon sans pitié! verse-moi moins de flamme;
je ne suis pas le styx pour t’embrasser neuf fois,
hélas! et je ne puis, mégère libertine,
pour briser ton courage et te mettre aux abois,
dans l’enfer de ton lit devenir proserpine!","bizarra divindade, escura como as noites,
em mesclado perfume de almíscar e havana,
obra de algum obi, o fausto da savana,
ventre de ébano, bruxa em negras meias-noites,
eu prefiro ao constance, ao ópio ou ao nuits,
o elixir dessa boca onde o amor se engalana;
quando a ti meus desejos vão em caravana,
teus olhos, a cisterna onde eu bebo aos açoites.
por estes grandes olhos negros em fervor
por ti, demo sem pena! a mim, menos calor;
não sou o estige a nove vezes te abraçar,
e aí! eu sem poder, megera libertina,
para quebrar teu brio e então te encurralar,
no inferno de teu leito a virar proserpina!",fr_XX,pt_XX,"estranha déidade, escura como as noites,
ao perfume misto de almíscar e havana,
obra de algum obi, o fausto da savana,
feiticeira ao flanco de ébano, filha das negras meias-noites,
prefiro ao constância, ao ópio, às noites,
o elixir de tua boca onde o amor se pavoneia;
quando para ti meus desejos partem em caravana,
teus olhos são a cisterna onde bebo meus desgostos.
por esses dois grandes olhos negros, suspiros da tua alma,
ó demônio sem piedade! derrama-me menos chama;
não sou o estige para te abraçar nove vezes,
ai de mim! e não posso, mulher libertina,
para quebrar teu ânimo e te levar ao desespero,
no inferno de tua cama tornar-me prosérpina!",3
"un soir, l’âme du vin chantait dans les bouteilles:
«homme, vers toi je pousse, ô cher déshérité,
sous ma prison de verre et mes cires vermeilles,
un chant plein de lumière et de fraternité!
je sais combien il faut, sur la colline en flamme,
de peine, de sueur et de soleil cuisant
pour engendrer ma vie et pour me donner l’âme;
mais je ne serai point ingrat ni malfaisant,
car j’éprouve une joie immense quand je tombe
dans le gosier d’un homme usé par ses travaux,
et sa chaude poitrine est une douce tombe
où je me plais bien mieux que dans mes froids caveaux.
entends-tu retentir les refrains des dimanches
et l’espoir qui gazouille en mon sein palpitant?
les coudes sur la table et retroussant tes manches,
tu me glorifieras et tu seras content;
j’allumerai les yeux de ta femme ravie;
à ton fils je rendrai sa force et ses couleurs
et serai pour ce frêle athlète de la vie
l’huile qui raffermit les muscles des lutteurs.
en toi je tomberai, végétale ambroisie,
grain précieux jeté par l’éternel semeur,
pour que de notre amour naisse la poésie
qui jaillira vers dieu comme une rare fleur!»","a alma do vinho assim cantava nas garrafas:
“homem, ó deserdado amigo, eu te compus,
nesta prisão de vidro e lacre em que me abafas,
um cântico em que há só fraternidade e luz!
bem sei quanto custou, na colina incendida,
de causticante sol, de suor e de labor,
para fazer minha alma e engendrar minha vida;
mas eu não hei de ser ingrato e corruptor,
porque eu sinto um prazer imenso quando baixo
à goela do homem que já trabalhou demais,
e seu peito abrasante é doce tumba que acho
mais propícia ao prazer que as adegas glaciais.
não ouves retirar a domingueira toada
e esperanças chalrar em meu seio, febris?
cotovelos na mesa a manga arregaçada;
tu me hás de bendizer e tu serás feliz:
hei de acender-te o olhar da esposa embevecida;
a teu filho farei voltar a força e a cor
e serei para tão tenro atleta da vida
como o óleo e os tendões enrija ao lutador.
sobre ti tombarei, vegetal ambrosia,
grão precioso que lança o eterno semeador,
para que enfim do nosso amor nasça a poesia
que até deus subirá como uma rara flor!”",fr_XX,pt_XX,"uma noite, a alma do vinho cantava nas garrafas:
""homem, para ti me dirijo, ó caro deserdado,
sob minha prisão de vidro e minhas ceras vermelhas,
um canto cheio de luz e de fraternidade!
sei quanto custa, na colina em chamas,
de pena, suor e de sol escaldante
gerar minha vida e me dar alma;
mas não serei ingrato nem malvado,
pois sinto imensa alegria ao cair
na garganta de um homem usado por seus trabalhos,
e seu peito quente é uma doce tumba
onde me sinto melhor que nos meus frios adegas.
ouviste ressoar os refrões dos domingos
e a esperança que gorjeia em meu peito vibrante?
com os cotovelos na mesa e arregaçando as mangas,
tu me glorificarás e estarás contente;
acenderei os olhos de tua mulher extasiada;
ao teu filho darei sua força e suas cores
e serei para esse frágil atleta da vida
o óleo que robustece os músculos dos lutadores.
em ti cairei, vegetal ambrosia,
grão precioso lançado pelo eterno semeador,
para que de nosso amor nasça a poesia
que fluirá para deus como uma rara flor!""",3
"tiens non! j’attendrai tranquille,
planté sous le toit,
qu’il me tombe quelque tuile,
souvenir de toi!
j’ai tondu l’herbe, je lèche
la pierre, — altéré
comme la colique-sèche
de miserere!
je crèverai — dieu me damne! —
ton tympan ou la peau d’âne
de mon bon tambour!
dans ton boîtier, ô fenêtre!
calme et pure, gît peut-être…
. . . . . . . . . . . . . . . .
un vieux monsieur sourd!","não! prefiro esperar sentado
cair uma telha.
lembrança tua que o telhado
vem me dar na telha.
lambi a pedra, — me obceca
a sede – rumino
grama numa cólica-seca
do intestino!
eu rasgarei – maldito espasmo! –
teu tímpano ou a pele de asno
de meu bom tambor!
e, ó janela! calma e pura,
jaz talvez em tua moldura…
………………………………………………..
um surdo senhor!",fr_XX,pt_XX,"Espere não! Eu esperarei tranquilo,
Plantado sob o telhado,
Que me caia alguma telha,
Lembrança de ti!
Cortei a grama, lambi
A pedra, — alterado
Como a cólica-seca
De misericórdia!
Eu estourarei — Deus me condene! —
Teu tímpano ou a pele de asno
Do meu bom tambor!
Na tua caixa, ó janela!
Calma e pura, talvez repouse...
. . . . . . . . . . . . . . . .
Um velho senhor surdo!",3
"vous qui ronflez au coin d’une épouse endormie,
ruminant! savez-vous ce soupir: l’insomnie?
— avez-vous vu la nuit, et le sommeil ailé,
papillon de minuit dans la nuit envolé,
sans un coup d’aile ami, vous laissant sur le seuil,
seul, dans le pot-au-noir au couvercle sans œil?
— avez-vous navigué?… la pensée est la houle
ressassant le galet: ma tête… votre boule.
— vous êtes-vous laissé voyager en ballon?
— non? — bien, c’est l’insomnie. — un grand coup de talon
là! — vous voyez cligner des chandelles étranges:
une femme, une gloire en soleil, des archanges…
et, la nuit s’éteignant dans le jour à demi,
vous vous réveillez coi, sans vous être endormi.","você que ronca ao pé da esposa adormecida,
ruminante! conhece a insónia, esse gemido?
— você já viu a noite, viu o sono alado,
mariposa à meia-noite alta esvoaçada,
sem asas amigas, ficando na soleira,
só, em um buraco negro sem ribanceira?
já navegou?… — não? — o pensamento restolha
seixos como a onda: minha cabeça… uma bóia.
— já deixou-se embarcar em um balão?
— não? — pois é a insónia. — um pontapé malsão
lá! — você verá velinhas em desarranjo:
uma mulher, uma glória de sol, arcanjos…
e quando apaga a noite no dia mal nascido,
você acorda imóvel, sem ter adormecido.",fr_XX,pt_XX,"você que ronca ao lado de uma esposa adormecida,
ruminando! sabe o que é esse suspiro: a insônia?
— viu você a noite, e o sono alado,
papagaio da meia-noite na noite desgarrado,
sem um gesto de asa amiga, te deixando no umbral,
só, na panela negra com tampa sem olhar?
— navegou nos pensamentos?... a mente é a onda
martelando o seixo: minha cabeça... tua bola.
— deixou-se levar em balão?
— não? — bem, é a insônia. — um grande chute
ali! — vê piscar velas estranhas:
uma mulher, uma glória em sol, arcanjos...
e, a noite se apagando no dia quase,
você desperta calado, sem ter se deitado.",3
"sommeil — écoute-moi, je parlerai bien bas:
crépuscule flottant de l’être ou n’être pas!…
sombre lucidité! clair-obscur! souvenir
de l’inouï! marée! horizon! avenir!
conte des mille-et-une-nuits doux à ouïr!
lampiste d’aladin qui sais nous éblouir!
eunuque noir! muet blanc! derviche! djinn! fakir!
conte de fée où le roi se laisse assoupir!
forêt-vierge où peau-d’âne en pleurs va s’accroupir!
garde-manger où l’ogre encor va s’assouvir!
tourelle où ma sœur anne allait voir rien venir!
tour où dame malbrouck voyait page courir…
où femme barbe-bleue oyait l’heure mourir!…
où belle au-bois-dormant dormait dans un soupir!
cuirasse du petit! camisole du fort!
lampion des éteints! éteignoir du remord!
conscience du juste, et du pochard qui dort!
contre-poids des poids faux de l’épicier de sort!
portrait enluminé de la livide mort!
grand fleuve où cupidon va retremper ses dards
sommeil! — corne de diane, et corne du cornard!
couveur de magistrats et couveur de lézards!
marmite d’arlequin! — bout de cuir, lard, homard —
sommeil! — noce de ceux qui sont dans les beaux-arts.
boulet des forcenés, liberté des captifs!
sabbat du somnambule et relais des poussifs! —
somme! actif du passif et passif de l’actif!
pavillon de la folle et folle du poncif!…
— ô viens changer de patte au cormoran pensif!
ô brun amant de l’ombre! amant honteux du jour!
bal de nuit où psyché veut démasquer l’amour!
grosse nudité du chanoine en jupon court!
panier-à-salade idéal! banal four!
omnibus où, dans l’orbe, on fait pour rien un tour!
sommeil! drame hagard! sommeil, molle langueur!
bouche d’or du silence et bâillon du blagueur!
berceuse des vaincus! perchoir des coqs vainqueurs!
alinéa du livre où dorment les longueurs!
du jeune homme rêveur singulier féminin!
de la femme rêvant pluriel masculin!
sommeil! — râtelier du pégase fringant!
sommeil! — petite pluie abattant l’ouragan!
sommeil! — dédale vague où vient le revenant!
sommeil! — long corridor où plangore le vent!
néant du fainéant! lazzarone infini!
aurore boréale au sein du jour terni!
sommeil! — autant de pris sur notre éternité!
tour du cadran à blanc! clou du mont-de-piété!
héritage en espagne à tout déshérité!
coup de rapière dans l’eau du fleuve léthé!
génie au nimbe d’or des grands hallucinés
nid des petits hiboux! aile des déplumés!
immense vache à lait dont nous sommes les veaux!
arche où le hère et le boa changent de peaux!
arc-en-ciel miroitant! faux du vrai! vrai du faux!
ivresse que la brute appelle le repos!
sorcière de bohême à sayon d’oripeaux!
tityre sous l’ombrage essayant des pipeaux!
temps qui porte un chibouck à la place de faux!
parque qui met un peu d’huile à ses ciseaux!
parque qui met un peu de chanvre à ses fuseaux!
chat qui joue avec le peloton d’atropos!
sommeil! — manne de grâce au cœur disgracié!
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
le sommeil s’éveillant me dit: tu m’as scié.","sono – falarei baixo: escuta o que vou dizer:
crepúsculo vago do ser ou não ser! …
obscura lucidez! claro-escuro! ressurgir
do inaudito! maré! horizonte! porvir!
conte das mil e uma noites bom de se ouvir!
lampadeiro de aladim que sabe seduzir!
eunuco negro! mudo branco! djim! faquir!
conto de fadas onde o rei se deixa sucumbir!
mata para onde pele de asno pode fugir!
guarda-comida onde pode o ogre se servir!
torre onde a bela adormecida vai dormir!
onde minha irmã anne ia ver ninguém a vir!
de onde dama malbrouck via a pajem sair…
e a esposa barba-azul via a hora se extinguir!
couraça do pequeno! camisa do forte!
mordaça do remorso! do desnorteado o norte!
consciência do justo, e do bebum desmaiado!
contrapeso dos pesos viciados da sorte!
retrato colorido da lívida morte!
rio largo em que cupido retempera os dardos
sono! – corneta de diana e corno do corneado!
cobertura do lagarto, e do magistrado!
angu de arlequim: batata, bife, tomate –
sono! – núpcias dos que estão nas belas artes.
prisão do demente, liberdade do cativo!
farra do sonâmbulo, folga do compusivo! –
soma! ativo do passivo e passivos do ativo!
parágrafo que aloja as digressões do livro!
– ó vem trocar a pata do alcatraz pensativo!
louco amante da sombra! manso amante do alvor!
baile em que psique quer desmascarar o amor!
gorda nudez em saia curta do prior!
tintureiro ideal! imenso furta-cor!
omnibus, na orbe, passeando o visitor!
sono! drama truculento! mole langor!
boca de ouro do mudo! mudez do gozador!
cantiga do vencido! pódio do vencedor!
do moço sonhador singular feminino!
da mulher sonhando plural masculino!
sono! – cocho cheio do pégaso irritado!
sono! – dédalo vago onde pena a alma penada!
sono! – corredor onde o vento plangora uma toada!
sono! – bonança logo após a tempestade!
ócio do ocioso! lazzarone sem idade!
aurora boreal num dia sem claridade!
sono! – tantos extratos de nossa eternidade!
insônia de pedra! monte-da-piedade!
herança na espanha a todo deserdado!
rio letes fazendo água ao ser desafiado!
gênio no nimbo dourado dos alucinados!
ninho do filhote mocho! asa dos depenados!
vaca leiteira com a teta em nossas mãos!
arca onde se troca a sucuri, e o poltrão!
arco-íris cintilante! regra da exceção!
gozo que a ralé confunde com hibernação!
bruxa da boêmia com saio verdemar!
tityre na sombra com flautas a testar!
tempo sem a foice: um chibuque em seu lugar!
sono! – parca com a tesoura a azeitar!
sono! – parca com os fusos para untar!
gato com o novelo de atropos a brincar!
sono! – maná de graça de quem se desgraçou!
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
eis que o sono acorda e diz: você me cansou",fr_XX,pt_XX,"sono – falo baixo: escuta o que vou dizer:
crepúsculo vago do ser ou não ser! ...
obscura lucidez! claro-escuro! ressurgir
do inaudito! maré! horizonte! porvir!
conta das mil e uma noites bom de se ouvir!
lampadário de aladim que sabe seduzir!
eunuco negro! mudo branco! djim! faquir!
conto de fadas onde o rei se deixa sucumbir!
mata para onde pele de asno pode fugir!
despensa onde pode o ogre se servir!
torre onde a bela adormecida vai dormir!
onde minha irmã anne ia ver ninguém a vir!
de onde dama malbrouck via a pajem sair...
e a esposa barba-azul via a hora se extinguir!
couraça do pequeno! camisa do forte!
mordaça do remorso! do desnorteado o norte!
consciência do justo, e do bebum desmaiado!
contrapeso dos pesos viciados da sorte!
retrato colorido da lívida morte!
rio largo em que cupido retempera os dardos
sono! – corneta de diana e corno do corneado!
cobertura do lagarto, e do magistrado!
angu de arlequim: batata, bife, tomate –
sono! – núpcias dos que estão nas belas artes.
prisão do demente, liberdade do cativo!
farra do sonâmbulo, folga do compulsivo! –
soma! ativo do passivo e passivos do ativo!
parágrafo que aloja as digressões do livro!
– ó vem trocar a pata do alcatraz pensativo!
louco amante da sombra! manso amante do alvor!
baile em que psique quer desmascarar o amor!
gorda nudez em saia curta do prior!
tintureiro ideal! imenso furta-cor!
omnibus, na orbe, passeando o visitor!
sono! drama truculento! mole langor!
boca de ouro do mudo! mudez do gozador!
cantiga do vencido! pódio do vencedor!
do moço sonhador singular feminino!
da mulher sonhando plural masculino!
sono! – cocho cheio do pégaso irritado!
sono! – dédalo vago onde pena a alma penada!
sono! – corredor onde o vento plangora uma toada!
sono! – bonança logo após a tempestade!
ócio do ocioso! lazzarone sem idade!
aurora boreal num dia sem claridade!
sono! – tantos extratos de nossa eternidade!
insônia de pedra! monte-da-piedade!
herança na espanha a todo deserdado!
rio letes fazendo água ao ser desafiado!
gênio no nimbo dourado dos alucinados!
ninho do filhote mocho! asa dos depenados!
vaca leiteira com a teta em nossas mãos!
arca onde se troca a sucuri, e o poltrão!
arco-íris cintilante! regra da exceção!
gozo que a ralé confunde com hibernação!
bruxa da boêmia com saio verdemar!
tityre na sombra com flautas a testar!
tempo sem a foice: um chibouque em seu lugar!
sono! – parca com a tesoura a azeitar!
sono! – parca com os fusos para untar!
gato com o novelo de atropos a brincar!
sono! – maná de graça de quem se desgraçou!
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
eis que o sono acorda e diz: você me cansou",3
"il fait noir, enfant, voleur d’étincelles!
il n’est plus de nuits, il n’est plus de jours;
dors… en attendant venir toutes celles
qui disaient: jamais! qui disaient: toujours!
entends-tu leurs pas?… ils ne sont pas lourds:
oh! les pieds légers! — l’amour a des ailes…
il fait noir, enfant, voleur d’étincelles!
entends-tu leurs voix?… les caveaux sont sourds.
dors: il pèse peu, ton faix d’immortelles:
ils ne viendront pas, tes amis les ours,
jeter leur pavé sur tes demoiselles…
il fait noir, enfant, voleur d’étincelle!","é noite, menino, ladrão de cetelhas!
não há mais noites, e dias já não há;
dorme… esperando chegar a vez daquelas
que diziam: claro! e diziam: quiçá!
escutas os passos vindos para cá?…
oh, seus pés têm asas… – o amor usa delas!
é noite, menino, ladrão de centelhas!
escutas vozes?… não, na cova surda hás
de dormir, sob perpétuas amarelas;
e dos teus amigos-da-onça não virá
nenhum, jogar pedras em tuas donzelas…
é noite, menino, ladrão de centelhas!",fr_XX,pt_XX,"Faz escuro, criança, ladrão de faíscas!
Não há mais noites, não há mais dias;
Dorme... esperando vir todas aquelas
Que diziam: jamais! que diziam: sempre!
Escutas seus passos?... Não são pesados:
Oh! pés leves! — o amor tem asas...
Faz escuro, criança, ladrão de faíscas!
Escutas suas vozes?... Os túmulos são mudos.
Dorme: pesa pouco tua fardo de imortais:
Eles não virão, teus amigos os ursos,
Atirar seu bloco sobre tuas donzelas...
Faz escuro, criança, ladrão de faíscas!",3
"je meurs de seuf auprès de la fontaine,
chaud comme feu, et tremble dent à dent;
en mon pays suis en terre lointaine;
lez un brasier frissonne tout ardent;
nu comme un ver, vêtu en président,
je ris en pleurs et attends sans espoir;
confort reprends en triste désespoir;
je m’éjouis et n’ai plaisir aucun;
puissant je suis sans force et sans pouvoir,
bien recueilli, débouté de chacun.
rien ne m’est sûr que la chose incertaine;
obscur, fors ce qui est tout évident;
doute ne fais, fors en chose certaine;
science tiens à soudain accident;
je gagne tout et demeure perdant;
au point du jour dis: “dieu vous doint bon soir!”
gisant envers, j’ai grand paour de choir ;
j’ai bien de quoi et si n’en ai pas un;
echoite attends et d’homme ne suis hoir,
bien recueilli, débouté de chacun.
de rien n’ai soin, si mets toute ma peine
d’acquérir biens et n’y suis prétendant;
qui mieux me dit, c’est cil qui plus m’ataine,
et qui plus vrai, lors plus me va bourdant;
mon ami est, qui me fait entendant
d’un cygne blanc que c’est un corbeau noir;
et qui me nuit, crois qu’il m’aide à pourvoir;
bourde, verté, aujourd’hui m’est tout un;
je retiens tout, rien ne sait concevoir,
bien recueilli, débouté de chacun.
prince clément, or vous plaise savoir
que j’entends mout et n’ai sens ne savoir:
partial suis, à toutes lois commun.
que sais-je plus ? quoi? les gages ravoir,
bien recueilli, débouté de chacun.","morro de sede quase ao pé da fonte,
quente qual fogo, mas batendo os dentes;
em meu país vivo além do horizonte;
junto a um braseiro tremo e fico ardente;
nu como um verme. o traje: um presidente;
rio no pranto e espero sem esperança;
conforto acho na desesperança,
e alegro-me sem ter prazer algum;
tenho o poder sem força ou segurança;
e sou bem vindo a todos e a nenhum.
só me é certo algo com que eu não conte;
nada é obscuro, exceto o que é evidente;
e sem dúvidas, fora as que defronte,
tomo a ciência por mero acidente;
conquisto tudo e fico dependente
digo “boa noite” se a aurora avança;
deito-me sem controle em confiança;
tenho alguns bens, mas sem vintém algum;
sou um herdeiro mas serm ter herança,
e sou bem-vindo a todos e a nenhum
descuido-me de tudo e suo a fronte
para ter bens, sem ter um pretendente;
com quem mais me afague, me confronte,
quem mais me é veraz é quem mais mente;
é meu amigo que diz procedente
de um cisne alvo e um corvo a semelhança;
em quem me nega enxergo uma aliança;
a patranha e a verdade acho comum;
recordo tudo sem a menor lembrança
e sou bem-vindo a todos e a nenhum.
príncipe brando: se isso não vos cansa,
de tudo eu sei, e a mente não alcança;
sou faccioso e sigo a lei comum.
que faço? o quê? dos meus bens a cobrança,
e sou bem-vindo a todos e a nenhum.",fr_XX,pt_XX,"Morro de sede quase ao pé da fonte,
Quente como fogo, mas tremo de frio;
No meu país vivo além da visão,
Junto a um braseiro, fico em fogo e gelo;
Nu como um verme, o manto é um desvio,
Rio no pranto e espero sem ter sonho;
Conforto acho na desesperança,
E alegro-me sem ter prazer algum;
Tenho o poder sem força ou garantia;
E sou bem-vindo a todos e a nenhum.

Nada é certo, exceto o que não prevejo;
Nada é obscuro, exceto o que é evidente;
E sem dúvidas, salvo as que me acenam,
Tomo a ciência por mero acaso;
Conquisto tudo e fico dependente,
Digo ""boa noite"" se a aurora avança;
Deito-me sem controle em confiança,
Tenho alguns bens, mas sem vintém algum;
Sou um herdeiro mas sem ter herança,
E sou bem-vindo a todos e a nenhum.

Desprezo tudo e suor na fronte,
Para ter bens, sem ter um pretendente;
Quem mais me afaga, mais me enfrenta,
Quem mais mente, parece ser leal;
É meu amigo que compara um cisne alvo
A um corvo negro em estranha semelhança;
Em quem me nega vejo uma aliança,
A mentira e a verdade acho comum;
Recordo tudo sem a menor lembrança,
E sou bem-vindo a todos e a nenhum.

Príncipe brando, se isso não vos cansa,
De tudo eu sei, e a mente não alcança;
Sou faccioso e sigo a lei comum.
Que faço? O quê? Dos meus bens a cobrança,
E sou bem-vindo a todos e a nenhum.",3
