original_poem,translated_poem,translated_by_TA,src_lang,tgt_lang,topic
"mon fils …
vingt ans se sont passés …
avant je te soutenais dans mes bras,
et ne ratais un seul instant,
pour te faire plein de bisous partout.
aujourd’hui t’as pris tes pas,
et suis seul ton avenir.
comme un grand, plein de sagesse,
t’es ma fierté, mon seul but.
j’ai toute confiance en toi,
pour mettre en œuvre ce que je t’ai appris,
pour bâtir une vie honnête,
remplie de toutes les vertus.
et mon amour qui te suit,
ne demande qu’à te soutenir,
te donner la force pour réussir,
et à dieu de te protéger toujours.","meu filho …
vinte anos se passaram …
antes eu lhe amparava nos meus braços,
e não perdia um so instante,
para lhe dar um montão de beijinhos.
hoje voce caminha autônomo,
et segue sozinho seu futuro.
como um senhor,
cheio de juizo,
voce é meu orgullo,
meu único alvo.
tenho toda confiança em voce,
para colocar em obras tudo que lhe ensinei,
para construir uma vida honesta,
cheia de todas as virtudes.
et meu amor que lhe segue,
pede para lhe apoiar sempre,
lhe dar forças para vencer,
et a deus de lhe proteger.","o meu filho...
20 anos passaram...
antes de eu manter-te nos braços,
e não perdi um único momento,
para te fazer com bisos por toda a parte.
"""" Today you took your step,
e sou só o teu futuro.
como um grande, full of wisdom,
"""" You are my pride, my only goal.
"""" I have complete confidence in you,
para implementar o que eu aprendi,
para construir uma vida honest,
com todas as virtues.
e o amor que te segue,
"""" Demands only your support,
give-te the strength to succeed,
e que Deus te proteja sempre.",fr_XX,pt_XX,2
"inch allah !
quel bonheur …
tenir dans ses bras son bien aimé.
quel tourment …
le voir partir engloutit par la nuit.
inch allah ! pouvoir se glisser dans son intérieur,
faire de son corps une coquille,
etre avec lui, là où qu’il soit.","oxala !
que felicidade …
ter nos seus braços seu bem amado.
que tormento …
vê-lo partir, submergido pela noite.
oxala ! poder se deslisar no seu interior,
fazer do seu corpo uma conchinha,
estar com ele, seja la onde ele estiver.","inch allah!
que felicidade...
keeping her beloved in her arms.
que rotação...
"""" Aquele """" no dia-a-dia.
"""" inch allah! """" being able to glide within,
make his body a coquila,
"""" Goar with him, wherever he may be.",fr_XX,pt_XX,2
"comme un sourire …
si mon regard dans le tien
mon âme te dire : viens.
si à ton toucher câlin,
ma peau crier : oui.
je ne serai qu’émoi
pour nos désirs ardents …
brulante,
par tes mots qui m’excitent,
par tes caresses qui m’exaltent,
par tes désirs qui m’animent,
mes fermetés s’envolent,
comme un sourire …
je suis le plaisir, la sensualité, la jouissance …","como um sorriso …
se meu olhar no seu
minha alma lhe disser : vem.
se ao seu tocar carinhoso,
minha pele disser : sim.
eu serei so emoção
para nossos desejos ardentes …
abrasiva,
por suas palavras que me excitam,
por seus carinhos que me exaltam
por seus desejos que me animam,
minhas firmezas se vão,
como um sorriso …
eu sou o prazer, a sensualidade, o júbilo …","como um sorriso...
"""" If I look in the pan
"""" My soul tells-te: """" Come.
se you touch câlin,
"""" My Skin crier: """" Yeah.
"""" I will only be myself
para os nossos desejos ardentes...
brulante,
por as palavras que me entusiasmam,
"""" Through Thy caresses que me exaltem,
"""" through Thy desires, """"
"""" My firms revolve,
como um sorriso...
Eu sou o prazer, a sensualidade, a brincadeira...",fr_XX,pt_XX,2
"alors, ô ma beauté! dites à la vermine
qui vous mangera de baisers,
que j’ai gardé la forme et l’essence divine
de mes amours décomposés!","então, querida, dize à carne que se arruína,
ao verme que te beija o rosto,
que eu preservei a forma e a substância divina
de meu amor já decomposto!",""""" Então, oh, """" Oh, oh, """" Oh, oh, oh, """" Oh, oh, oh, """" Oh, oh, oh, oh! """"
que come de baisers,
que eu mantive a form and essence divinos
de mis amors descompostos!",fr_XX,pt_XX,2
"tantôt sonnera l’heure où le divin hasard,
où l’auguste vertu, ton épouse encor vierge,
où le repentir même (oh! la dernière auberge!),
où tout te dira: meurs, vieux lâche! il est trop tard!”","virá a hora em que o acaso, onde quer que te aguarde,
em que a augusta virtude, esposa ainda intocada,
e até mesmo o remorso (oh, a última pousada!)
te dirão: vais morrer, velho medroso! é tarde!”",""""" Someday will sound the hour when the divine chance,
"""" Whereupon the law increased, """" Thy wife became a virgin,
que repent (oh! a última albergue!),
que todo te diga: """" Morre, viejo cocó! """" """" É demasiado tarde!""",fr_XX,pt_XX,2
"je me suis enfin détaché
de toutes choses naturelles
je peux enfin mourir mais non pêcher
et ce qu’on n’a jamais touché
je l’ai touché je l’ai palpé
et j’ai scruté tout ce que nul
ne peut en rien imaginer
et j’ai soupesé maintes fois
même la vie impondérable
je peux mourir en souriant","eu finalmente me afastei
de tudo que há de natural
posso morrer mas não pecar
e o que ninguém jamais tocou
não só toquei como apalpei
já perscrutei o que ninguém
nunca sequer imaginou
e sopesei vezes sem conta
até a vida imponderável
se vou morrer, morro sorrindo",""""" I finally went
de tudo natural
"""" I can finally die, """" mas """" I cannot fish """".
e o que nunca foi atingido
"""" I touched him. """" I palpei-o.
"""" And I went through everything that no
cannot imagine
"""" And I suffoqueu many times
even a life immeasurable
"""" I can die smiling """"",fr_XX,pt_XX,2
"dans vos viviers, dans vos étangs,
carpes, que vous vivez longtemps!
est-ce que la mort vous oublie,
poissons de la mélancolie.","carpas, viveis tão longa vida
nesses viveiros de água fria!
será que a morte vos olvida,
ó peixes da melancolia.","Nos vossos vives, nos vossos lagos,
Carpes, que vivam muito!
"""" Será que a morte te esquece,
fish of melancolia.",fr_XX,pt_XX,2
"mes durs rêves formels sauront te chevaucher,
mon destin au char d’or sera ton beau cocher
qui pour rênes tiendra tendus à frénésie,
mes vers, les parangons de toute poésie.","os meus sonhos formais serão teu cavaleiro,
meu destino luzindo teu belo cocheiro
por rédeas terás tensos levando à agonia,
meus versos, o modelo de toda poesia.",""""" My hard dreams will overlap """",
"""" O meu destino no carro """" """" O teu belo carro """"
que tires a frana,
"""" My Vers """", """" The Comparisons of Poetry """".",fr_XX,pt_XX,2
"tu t’acharnes sur la beauté.
et quelles femmes ont été
victimes de ta cruauté !
eve, eurydice, cléopâtre;
j’en connais encor trois ou quatre.","sei que te obstinam as beldades
e que nelas com acuidade
exerceu tua crueldade!
cleópatra, eurídice, eva,
sei de outras três em tua leva.",""""" Tu insistes na beleza.
e quais as mulheres
Victims de Tua Crueldade!
eve, eurydice, cléopâtre;
Eu conheço três ou quatro.",fr_XX,pt_XX,2
"je souhaite dans ma maison :
une femme ayant sa raison,
un chat passant parmi les livres,
des amis en toute saison
sans lesquels je ne peux pas vivre.","desejo manter em meu lar:
uma companheira a pensar,
andando entre livros um gato,
bons amigos sempre a passar
sem os quais o viver é ingrato.",""""" I wish in my home:
uma mulher com razão,
um gato entre os livros,
"""" Friends All Season """"
"""" Sem os quais eu não posso viver.",fr_XX,pt_XX,2
