original_poem,translated_poem,src_lang,tgt_lang,topic
"je lui ai proposé mieux …
de devenir un ami.
lui, très gentil,
plutôt … intelligent,
devient alors, comme il dit :
» mon pote « .
dans ce contexte, finalement,
je l’ai trouvé à mon côté,
dans mon lit …
pour découvrir ensuite,
un océan de souffrance,
une citerne de tendresse,
un petit vase rustique,
et une mer de sagesse.
si seulement les circonstances étaient plus simples,
je naviguerais dans cet océan,
et je purifierais tout le mal là incrusté.
si seulement mon âme n’était pas voilée,
je plongerais dans cette citerne,
pour faire fusionner ses tendresses aux miennes.
si seulement le courage me faisait surface,
je prendrais ce vase pour le modeler,
et y faire jaillir de la sérénité.
si seulement la frontière était plus proche,
je nagerais dans cette mer et m’y accosterais,
pour sentir … ma vie.","eu lhe propus melhor …
de vir a ser meu amigo.
ele, muito gentil,
digamos … inteligente,
se torna entao, como ele diz :
» meu camarada « .
neste contexto, finalmente,
eu o encontrei ao meu lado,
no meu leito …
para descobrir em seguida,
um oceano de sofrimento,
uma cisterna de ternura,
um vazinho rústico,
e um mar de juizo.
se pelo menos, as circunstancias fossem mais simples,
eu navegaria neste oceano,
e purificaria todo o mal ali incrustado.
se pelo menos, minha alma nao tivesse esse véu,
eu mergulharia nesta cisterna,
para fazer fusionar suas ternuras às minhas.
se pelo menos a coragem me viesse à tona,
eu pegaria este vazo para molda-lo
e faria jorrar dele a serenidade.
se pelo menos, a fronteira estivesse mais perto,
eu nadaria neste mar e me acostaria ali,
para sentir … minha vida.",fr_XX,pt_XX,0
"la sottise, l’erreur, le péché, la lésine,
occupent nos esprits et travaillent nos corps,
et nous alimentons nos aimables remords,
comme les mendiants nourrissent leur vermine.
nos péchés sont têtus, nos repentirs sont lâches;
nous nous faisons payer grassement nos aveux,
et nous rentrons gaiement dans le chemin bourbeux,
croyant par de vils laver toutes nos taches.
sur l’oreiller du mal c’est satan trismégiste
qui berce longuement notre esprit enchanté,
et le riche métal de notre volonté
est tout vaporisé par ce savant chimiste.
c’est le diable qui tient les fils qui nous remuent!
aux objets répugnants nous trouvons des appas;
chaque jour vers l’enfer nous descendons d’un pas,
sans horreurs, à travers des ténèbres qui puent.
ainsi qu’un débauché pauvre qui baise et mange
le sein martyrisé d’une antique catin,
nous volons au passage un plaisir clandestin
que nous pressons bien fort comme une vieille orange.","a tolice, o pecado, o logro, a mesquinhez
habitam nosso espiríto e o corpo viciam,
e adoráveis remorsos sempre nos saciam,
como o mendigo exibe a sua sordidez.
fiéis ao pecado, a contrição nos amordaça;
impomos alto preço à infâmia confessada,
e alegres retornamos à lodosa estrada,
na ilusão de que o pranto as nódoas nos desfaça.
na almofada do mal é satã trismegisto
quem docemente nosso espírito consola,
e o metal puro da vontade então se evola
por obra deste sábio que age sem ser visto.
é o diabo que nos move e até nos manuseia!
em tudo o que repugna uma joia encontramos;
dia após dia, para o inferno caminhamos,
sem medo algum, dentro da treva que nauseia.
assim como um voraz devasso beija e suga
o seio murcho que lhe oferta uma vadia,
furtamos ao acaso uma carícia esguia
para espremê-la qual laranja que se enruga.",fr_XX,pt_XX,0
"serré, fourmillant, comme un million d’helminthes,
dans nos cerveaux ribote un peuple de démons,
et, quand nous respirons, la mort dans nos poumons
descend, fleuve invisible, avec de sourdes plaintes.
si le viol, le poison, le poignard, l’incendie,
n’ont pas encor brodé de leurs plaisants dessins
le canevas banal de nos piteux destins,
c’est que notre âme, hélas! n’est pas assez hardie.
mais parmi les chacals, les panthères, les lices,
les singes, les scorpions, les vautours, les serpents,
les monstres glapissants, hurlants, grognants, rampants,
dans la ménagerie infâme de nos vices,
il en est un plus laid, plus méchant, plus immonde!
quoiqu’il ne pousse ni grands gestes ni grands cris,
il ferait volontiers de la terre un débris
et dans un bâillement avalerait le monde;
c’est l’ennui! — l’œil chargé d’un pleur involontaire,
il rêve d’échafauds en fumant son houka.
tu le connais, lecteur, ce monstre délicat,
— hypocrite lecteur, — mon semblable, — mon frère!","espesso, a fervilhar, qual um milhão de helmintos,
em nosso crânio um povo de demônios cresce,
e, ao respirarmos, aos pulmões a morte desce,
rio invisível, com lamentos indistintos.
se o veneno, a paixão, o estupro, a punhalada
não bordaram ainda com desenhos finos
a trama vã de nossos míseros destinos,
é que nossa alma arriscou pouco ou quase nada.
em meio às hienas, às serpentes, aos chacais,
aos símios, escorpiões, abutres e panteras,
aos monstros ululantes e às viscosas feras,
no lodaçal de nossos vícios imortais,
um há mais feio, mais iníquo, mais imundo!
sem grandes gestos ou sequer lançar um grito,
da terra, por prazer, faria um só detrito
e num bocejo imenso engoliria o mundo;
é o tédio! — o olhar esquivo à mínima emoção,
com patíbulos sonha, ao cachimbo agarrado.
tu conheces, leitor, o monstro delicado
— hipócrita leitor, meu igual, meu irmão!",fr_XX,pt_XX,0
"ma pauvre muse, hélas! qu’as-tu donc ce matin?
tes yeux creux sont peuplés de visions nocturnes,
et je vois tour à tour réfléchis sur ton teint
la folie et l’horreur, froides et taciturnes.
le succube verdâtre et le rose lutin
t’ont-ils versé la peur et l’amour de leurs urnes?
le cauchemar, d’un poing despotique et mutin,
t’a-t-il noyée au fond d’un fabuleux minturnes?
je voudrais qu’exhalant l’odeur de la santé
ton sein de pensers forts fût toujours fréquenté,
et que ton sang chrétien coulât à flots rhythmiques,
comme les sons nombreux des syllabes antiques,
où règnent tour à tour le père des chansons,
phœbus, et le grand pan, le seigneur des moissons.","que tens esta manhã, ó musa de ar magoado?
teus olhos estão cheios de visões noturnas,
e vejo que em teu rosto afloram lado a lado
a loucura e a aflição, frias e taciturnas.
teria o duende róseo ou súcubo esverdeado
te ungindo com o medo e o mel de suas urnas?
o sonho mau, de um punho déspota e obcecado,
nas águas te afogou de um mítico minturnas?
quisera eu que, vertendo o odor da exuberância,
o pensamento fosse em ti uma constância
e que o sangue cristão te fluísse na cadência
das velhas sílabas de uníssona frequência,
quando reinavam febo, o criador das cantigas,
e o grande pã, senhor do campo e das espigas.",fr_XX,pt_XX,0
"o muse de mon cœur, amante des palais,
auras-tu, quand janvier lâchera ses borées,
durant les noirs ennuis des neigeuses soirées,
un tison pour chauffer tes deux pieds violets?
ranimeras-tu donc tes épaules marbrées
aux nocturnes rayons qui percent les volets?
sentant ta bourse à sec autant que ton palais,
récolteras-tu l’or des voûtes azurées?
il te faut, pour gagner ton pain de chaque soir,
comme un enfant de chœur, jouer de l’encensoir,
chanter des te deum auxquels tu ne crois guère,
ou, saltimbanque à jeun, étaler tes appas
et ton rire trempé de pleurs qu’on ne voit pas,
pour faire épanouir la rate du vulgaire.","ó musa de minha alma, amante dos palácios,
terás, quando janeiro desatar seus ventos,
no tédio negro dos crepúsculos nevoentos,
uma brasa que esquente os teus dois pés violáceos?
aquecerás teus níveos ombros sonolentos
na luz noturna que os postigos deixam coar?
sem um níquel na bolsa e seco o paladar,
colherás o ouro dos cerúleos firmamentos?
tens que, para ganhar o pão de cada dia,
esse turíbulo agitar na sacristia,
entoar esses te deum que nada têm de novo,
ou, bufão em jejum, exibir teus encantos
e teu riso molhado de invisíveis prantos
para desopilar o fígado do povo.",fr_XX,pt_XX,0
"ma jeunesse ne fut qu’un ténébreux orage,
travesé çà et là par de brillants soleils;
le tonnerre et la pluie ont fait un tel ravage,
qu’il reste en mon jardim bien peu de fruits vermeils.
voilà que j’ai touché l’automne des idées,
et qu’il faut employer la pelle et les râteaux
pour rassembler à neuf les terres inondées,
où l’on creuse des trous grands comme des tombeaux.
et qui sait si les fleurs nouvelles que je rêve
trouveront dans ce sol lavé comme une grève
le mystique aliment qui ferait leur vigueur?
— o douleur! ô douleur! le temps mange la vie,
et l’obscur ennemi qui nous ronge le cœur
du sang que nous perdons croît et se fortifie!","a juventude não foi mais que um temporal,
aqui e ali por sóis ardentes trespassado;
as chuvas e os trovões causaram dano tal
que em meu pomar não resta um fruto sazonado.
eis que alcancei o outono de meu pensamento,
e agora o ancinho e a pá se fazem necessários
para outra vez compor o solo lamacento,
onde profundas covas se abrem como ossários.
e quem sabe se as flores que meu sonho ensaia
não achem nessa gleba aguada como praia
o místico alimento que as fará radiosas?
ó dor! o tempo faz da vida uma carniça,
e o sombrio inimigo que nos rói as rosas
no sangue que perdemos se enraíza e viça!",fr_XX,pt_XX,0
"que tu viennes du ciel ou de l’enfer, qu’importe,
o beauté! monstre énorme, effrayant, ingénu!
si ton œil, ton souris, ton pied, m’ouvrent la porte
d’un infini que j’aime et n’ai jamais connu?
de satan ou de dieu, qu’importe? ange ou sirène,
qu’importe, si tu rends, — fée aux yeux de velours,
rhythme, parfum, lueur, ô mon unique reine! —
l’univers moins hideux et les instants moins lourds?","que venhas lá do céu ou do inferno, que importa,
beleza! ó monstro ingênuo, gigantesco e horrendo!
se teu olhar, teu riso, teus pés me abrem a porta
de um infinito que amo e que jamais desvendo?
de satã ou de deus, que importa? anjo ou sereia,
que importa, se és quem fazes — fada de olhos suaves,
ó rainha de luz, perfume e ritmo cheia! —
mais humano o universo e as horas menos graves?",fr_XX,pt_XX,0
"sous le fardeau de ta paresse
ta tête d’enfant
se balance avec la mollesse
d’un jeune éléphant,
et ton corps se penche et s’allonge
comme un fin vaisseau
qui roule bord sur bord et plonge
ses vergues dans l’eau.
comme un flot grossi par la fonte
des glaciers grondants,
quand l’eau de ta bouche remonte
au bord de tes dents,
je crois boire un vin de bohême,
amer et vainqueur,
un ciel liquide qui parsème
d’étoiles mon cœur!","ébria de preguiça infinita,
a fronte de infanta
se inclina vagarosa e imita
a de uma elefanta.
e teu corpo pende e se aguça
como escuna esguia,
que às praias toca e se debruça
sobre a espuma fria.
qual uma inflada vaga oriunda
dos gelos frementes,
quando a água em tua boca inunda
a arcada dos dentes,
bebo de um vinho que me infunde
amargura e calma,
um líquido céu que difunde
astros em minha alma!",fr_XX,pt_XX,0
"rappelez-vous l’objet que nous vîmes, mon âme,
ce beau matin d’été si doux:
au détour d’un sentier une charogne infâme
sur un lit semé de cailloux,
les jambes en l’air, comme une femme lubrique,
brûlante et suant les poisons,
ouvrait d’une façon nonchalante et cynique
son ventre plein d’exhalaisons.
le soleil rayonnait sur cette pourriture,
comme afin de la cuire à point,
et de rendre au centuple à la grande nature
tout ce qu’ensemble elle avait joint;
et le ciel regardait la carcasse superbe
comme une fleur s’épanouir.
la puanteur était si forte, que sur l’herbe
vous crûtes vous évanouir.
les mouches bourdonnaient sur ce ventre putride,
d’où sortaient de noirs bataillons
de larves, qui coulaient comme un épais liquide
le long de ces vivants haillons.","lembra-te, meu amor, do objeto que encontramos
numa bela manhã radiante:
na curva de um atalho, entre calhaus e ramos,
uma carniça repugnante.
as pernas para cima, qual mulher lasciva,
a transpirar miasmas e humores,
eis que as abria desleixada e repulsiva,
o ventre prenhe de livores.
ardia o sol naquela pútrida torpeza,
como a cozê-la em rubra pira
e para ao cêntuplo volver à natureza
tudo o que ali ela reunira.
e o céu olhava do alto a esplêndida carcaça
como uma flor a se entreabrir.
o fedor era tal que sobre a relva escassa
chegaste quase a sucumbir.
zumbiam moscas sobre o ventre e, em alvoroço,
dali saíam negros bandos
de larvas, a escorrer como um líquido grosso
por entre esses trapos nefandos.",fr_XX,pt_XX,0
"tout cela descendait, montait comme une vague,
ou s’élançait en pétillant;
on eût dit que le corps, enflé d’un souffle vague,
vivait en se multipliant.
et ce monde rendait une étrange musique,
comme l’eau courante et le vent,
ou le grain qu’un vanneur d’un mouvement rhythmique
agite et tourne dans son van.
les formes s’effaçaient et n’étaient plus qu’un rêve,
une ébauche lente à venir,
sur la toile oubliée, et que l’artiste achève
seulement par le souvenir.
derrière les rochers une chienne inquiète
nous regardait d’un œil fâché,
épiant le moment de reprendre au squelette
le morceau qu’elle avait lâché.
— et pourtant vous serez semblable à cette ordure,
a cette horrible infection,
étoile de mes yeux, soleil de ma nature,
vous, mon ange et ma passion!
oui! telle que vous serez, ô la reine des grâces,
après les derniers sacrements,
quand vous irez, sous l’herbe et les floraisons grasses,
moisir parmi les ossements.","e tudo isso ia e vinha, ao modo de uma vaga,
ou esguichava a borbulhar,
como se o corpo, a estremecer de forma vaga,
vivesse a se multiplicar.
e esse mundo emitia uma bulha esquisita,
como vento ou água corrente,
ou grãos que em rítmica cadência alguém agita
e à joeira deita novamente.
as formas fluíam como um sonho além da vista,
um frouxo esboço em agonia,
sobre a tela esquecida, e que conclui o artista
apenas de memória um dia.
por trás das rochas, irrequieta, uma cadela
em nós fixava o olho zangado,
aguardando o momento de reaver àquela
náusea carniça o seu bocado.
— pois hás de ser como essa coisa apodrecida,
essa medonha corrupção,
estrela de meus olhos, sol de minha vida,
tu, meu anjo e minha paixão!
sim! tal serás um dia, ó deusa da beleza,
após a bênção derradeira,
quando, sob a erva e as florações da natureza,
tornares afinal à poeira.",fr_XX,pt_XX,0
