original_poem,translated_poem,src_lang,tgt_lang,topic
"tantôt sonnera l’heure où le divin hasard,
où l’auguste vertu, ton épouse encor vierge,
où le repentir même (oh! la dernière auberge!),
où tout te dira: meurs, vieux lâche! il est trop tard!”","virá a hora em que o acaso, onde quer que te aguarde,
em que a augusta virtude, esposa ainda intocada,
e até mesmo o remorso (oh, a última pousada!)
te dirão: vais morrer, velho medroso! é tarde!”",fr_XX,pt_XX,1
"dans vos viviers, dans vos étangs,
carpes, que vous vivez longtemps!
est-ce que la mort vous oublie,
poissons de la mélancolie.","carpas, viveis tão longa vida
nesses viveiros de água fria!
será que a morte vos olvida,
ó peixes da melancolia.",fr_XX,pt_XX,1
"mes durs rêves formels sauront te chevaucher,
mon destin au char d’or sera ton beau cocher
qui pour rênes tiendra tendus à frénésie,
mes vers, les parangons de toute poésie.","os meus sonhos formais serão teu cavaleiro,
meu destino luzindo teu belo cocheiro
por rédeas terás tensos levando à agonia,
meus versos, o modelo de toda poesia.",fr_XX,pt_XX,1
"tu t’acharnes sur la beauté.
et quelles femmes ont été
victimes de ta cruauté !
eve, eurydice, cléopâtre;
j’en connais encor trois ou quatre.","sei que te obstinam as beldades
e que nelas com acuidade
exerceu tua crueldade!
cleópatra, eurídice, eva,
sei de outras três em tua leva.",fr_XX,pt_XX,1
"je souhaite dans ma maison :
une femme ayant sa raison,
un chat passant parmi les livres,
des amis en toute saison
sans lesquels je ne peux pas vivre.","desejo manter em meu lar:
uma companheira a pensar,
andando entre livros um gato,
bons amigos sempre a passar
sem os quais o viver é ingrato.",fr_XX,pt_XX,1
"ne soit pas lascif et peureux
comme le lièvre et l’amoureux.
mais que toujours ton cerveau soit
la hase pleine qui conçoit.","não sejas lascivo e assustado
como a lebre e o apaixonado,
faça com que o célebro seja
a fêmea que vários enseja.",fr_XX,pt_XX,1
"belles journées, souris du temps,
vous rongez peu à peu ma vie.
dieu! je vais avoir vingt-huit ans,
et mal vécus, à mon envie.","belos dias, rato das horas,
roído assim faço-me idas.
deus! foram-me vinte e oito auroras,
penso eu muito mal vividas.",fr_XX,pt_XX,1
"le travail mène à la richesse.
pauvres poètes, travaillons!
la chenille en peinant sans cesse
devient le riche papillon.","só o trabalho é que enriquece.
pobre poeta, à picareta!
a lagarta sem cessar tece
pra transformar-se em borboleta.",fr_XX,pt_XX,1
"saché-je d’où provient, sirènes, votre ennui
quand vous vous lamentez, au large, dans la nuit ?
mer, je suis comme toi, plein de voix machinées
et mes vaisseaux chantants se nomment les années.","saberei eu porque cantam entediadas
longas ladainhas durante as madrugadas?
mas, sou como tu, onde há vozes maquinando
meus cantantes barcos são anos navegando.",fr_XX,pt_XX,1
"la femelle de l’alcyon,
l’amour, les volantes sirènes,
savent de mortelles chansons
dangereuses et inhumaines.
n’oyez pas ces oiseaux maudits,
mais les anges du paradis.","a fatal fêmea do alcião,
o amor, as aladas sereias,
sabem uma mortal canção
inumanas e cheias de teias.
que não te encantem tais ruídos,
só anjos devem ser ouvidos.",fr_XX,pt_XX,1
