original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"from far, from eve and morning
and yon twelve-winded sky,
the stuff of life to knit me
blew hither: here am i.
now—for a breath i tarry
nor yet disperse apart—
take my hand quick and tell me,
what have you in your heart.
speak now, and i will answer;
how shall i help you, say;
ere to the wind’s twelve quarters
i take my endless way.","de bien loin, du ponant, de l’aurore
et parmi les douze vents du ciel sis,
l’étoffe de la vie dont je suis tissé
m’enleva par là : me voici.
à présent — je m’attarde qu’un souffle court
ne m’ait encore dissipé —
vite prends ma main et parle sans détour,
dis ce que ton cœur a gardé.
parle tout de suite, ma réponse sitôt suivant ;
comment t’aider, dis-le enfin ;
avant que dans les douze sens du vent
mon chemin ne m’emporte sans fin.",en_XX,fr_XX,"De loin, de l'aube au crépuscule
et du ciel aux douze vents,
le fil de la vie qui m'a tissé
a soufflé jusqu'ici : me voici.
Maintenant - pour un instant je reste
sans me disperser - 
prends ma main rapidement et dis-moi,
qu'as-tu dans ton cœur.
Parle maintenant, et je répondrai ;
comment puis-je t'aider, dis-moi ;
avant de m'envoler
aux douze points cardinaux du vent.",2
"from far, from eve and morning
and yon twelve-winded sky,
the stuff of life to knit me
blew hither: here am i.
now—for a breath i tarry
nor yet disperse apart—
take my hand quick and tell me,
what have you in your heart.
speak now, and i will answer;
how shall i help you, say;
ere to the wind’s twelve quarters
i take my endless way.","de loin, du couchant, du levant,
de par les douze vents célestes,
le fil de vie en me tissant
souffla par là : et j’en atteste.
je reste le temps d’une pause
et ne me dissous point encor ;
prends-moi la main, vite, et m’expose
ce que tu portes sur le cœur.
parle-moi, que je te réponde,
dis-moi comment je puis t’aider,
avant qu’aux douze vents du monde
je ne m’envole à tout jamais.",en_XX,fr_XX,"De loin, de l'aube au crépuscule
et de ce ciel aux douze vents,
le fil de la vie pour me tisser
a soufflé jusqu'ici: me voici.
Maintenant, pour un instant je reste
sans me disperser—
prends ma main rapidement et dis-moi,
qu'as-tu dans ton cœur.
Parle maintenant, et je répondrai;
comment puis-je t'aider, dis-moi;
avant de partir vers les douze quartiers du vent
sur mon chemin sans fin.",2
"the long-limbed lady leans against
her mother in an easy attitude,
a snow frill on her straw bonnet
and a gingham ruffle to keep out the cold.
people passing turn around,
and mutter, and go on.
with strangers
she is polite, but stiff.
one day she’d fallen over.
i helped her up.
a little too much rhubarb wine, she whispered.","la dame aux longs membres repose
contre sa mère avec désinvolture,
une collerette de neige le long de sa coiffe de paille
et un froufrou en vichy pour la préserver du froid.
les gens qui passent se retournent,
murmurent, puis repartent.
avec les étrangers
elle est polie, mais compassée.
un jour elle était tombée.
je l’aidai à se remettre debout.
un petit peu trop de vin de rhubarbe, chuchota-t-elle.",en_XX,fr_XX,"La dame aux longues jambes s'appuie
contre sa mère dans une attitude décontractée,
une frange de neige sur son chapeau de paille
et une volant en vichy pour se protéger du froid.
Les passants se retournent,
murmurent, et continuent leur chemin.
Avec les inconnus,
elle est polie, mais raide.
Un jour elle était tombée.
Je l'ai aidée à se relever.
Un peu trop de vin de rhubarbe, chuchota-t-elle.",2
"queen of the wide air; thou most lovely queen
of all the brightness that mine eyes have seen!
as thou exceedest all things in thy shine,
so every tale, does this sweet tale of thine.
o for three words of honey, that i might
tell but one wonder of thy bridal night!","reine du vaste espace, ô souveraine la plus charmante
entre toutes les splendeurs que mes yeux aient vues!
de même que ton éclat surpasse toutes choses,
de même aucun conte n'atteint la douceur du tien.
oh! pour trois paroles suaves comme le miel, puissé-je
raconter une seule merveille de ta nuit nuptiale!",en_XX,fr_XX,"Reine de l'air vaste ; toi, ô reine si belle
De toute la splendeur que mes yeux ont vue !
Comme tu surpasses toute chose dans ta clarté,
Ainsi chaque récit, ce doux récit du tien.
Oh, pour trois mots de miel, que je pourrais
Raconter ne serait-ce qu'une merveille de ta nuit de noces !",2
"why this, you’ll say—my fanny!—is not true;
put your soft hand upon your snowy side,
where the heart beats: confess—'tis nothing new -
must not a woman be
a feather on the sea,
swayed to and fro by every wind and tide?
of as uncertain speed
as blow-ball from the mead?","mais, ceci—vous le direz, ma fanny, n'est pas vrai!
mettez votre mignonne main sur votre sein de neige
là où le cœur bat: confessez,—ce n'est pas nouveau—
une femme ne peut-elle pas être
une plume sur la mer,
ballottée çà et là au gré des vents et des marées?
ayant une direction aussi incertaine
que la balle rebondissant dans la prairie?",en_XX,fr_XX,"Pourquoi cela, diras-tu - ma chérie! - n'est pas vrai;
pose ta main douce sur ton côté enneigé,
là où bat le cœur: avoue - ce n'est rien de nouveau -
ne doit pas une femme être
une plume sur la mer,
balancée de-ci de-là par chaque vent et marée?
d'une vitesse aussi incertaine
qu'un pissenlit du pré?",2
"with her two brothers this fair lady dwelt,
enriched from ancestral merchandize,
and for them many a weary hand did swelt
in torched mines and noisy factories,
and many once proud-quiver’d loins did melt
in blood from stinging whip; - with hollow eyes
many all day in dazzling river stood,
to take the rich-ored driftings of the flood.","la mignonne amoureuse habitait avec ses deux frères
enrichis par le commerce de leurs ancêtres,
pour eux, plus d'une main lassée s'humectait de sueur
dans les mines éclairées de torches ou dans les bruyantes factoreries,
plus d'un dos frémissant d'orgueil se courbait
et saignait sous l'aiguillon du fouet; les yeux creux,
aveuglé, plus d'un passait des jours entiers dans la rivière,
pour récolter les grains d'or roulés par les flots.",en_XX,fr_XX,"Avec ses deux frères, cette belle dame habitait,
enrichie par le commerce ancestral,
et pour eux, bien des mains fatiguées ont sué
dans des mines éclairées et des usines bruyantes,
et bien des reins jadis fiers se sont affaissés
sous le fouet cruel du sang qui coule ; - avec des yeux creux
bien des gens ont passé leur journée debout
à capturer les riches débris de minerai de la rivière étincelante.",2
"they told their sister how, with sudden speed,
lorenzo had ta’en ship for foreign lands,
because of some great urgency and need
in their affairs, requiring trusty hands.
poor girl! put on thy stifling widow’s weed,
and ’scape at once from hope’s accursed bands;
to-day thou wilt not see him, nor to-morrow,
and the next day will be a day of sorrow.","ils contèrent à leur sœur comment, en soudaine hâte,
lorenzo s'était embarqué pour des rivages étrangers;
cette grande urgence était nécessitée
par leurs affaires que requéraient des mains fidèles.
pauvre fille! revêts ton voile de veuve étouffant,
et sois libérée sur le champ des maudits liens de l'espérance;
aujourd'hui tu ne le verras plus, ni demain,
et le jour suivant sera un jour de deuil.",en_XX,fr_XX,"Ils dirent à leur sœur comment, avec une soudaine rapidité,
Lorenzo avait pris le navire pour des terres étrangères,
À cause d'une grande urgence et nécessité
Dans leurs affaires, nécessitant des mains fidèles.
Pauvre fille ! Mets ton lourd vêtement de veuve,
Et échappe immédiatement aux liens maudits de l'espoir ;
Aujourd'hui tu ne le verras pas, ni demain,
Et le jour suivant sera un jour de chagrin.",2
"because lorenzo came not. oftentimes
she ask’d her brothers, with an eye all pale,
striving to be itself, what dungeon climes
could keep him off so long? they spake a tale
time after time, to quiet her. their crimes
came on them, like a smoke from hinnom’s vale;
and every night in dreams they groan’d aloud,
to see their sister in her snowy shroud.","parce que lorenzo ne revenait pas. souvent
elle demandait à ses frères, l'œil éteint,
s'efforçant de rester brillant, quelle contrée
pouvait le retenir si longtemps prisonnier! ils inventaient
de temps en temps un conte pour la tranquilliser. leur crime
etait sur leur tête, comme la fumée sur la vallée de hinnom;
et chaque nuit dans leurs rêves ils gémissaient tout haut,
de voir leur sœur dans son linceul de neige.",en_XX,fr_XX,"Parce que Lorenzo ne venait pas. Souvent
elle demandait à ses frères, l'œil tout pâle,
essayant d'être elle-même, quels climats de donjons
pourraient le retenir si longtemps? Ils racontaient
encore et encore, pour la calmer. Leurs crimes
les accablaient, comme une fumée de la vallée de Hinnom;
et chaque nuit dans leurs rêves, ils gémissaient à voix haute,
de voir leur sœur dans son linceul blanc.",2
"see, as they creep along the river side,
how she doth whisper to that aged dame,
and, after looking round the champaign wide,
shows her a knife. - «what feverous hectic flame
«burns in thee, child? - what good can thee betide,
«that thou should’st smile again?» - the evening came,
and they had found lorenzo’s earthy bed;
the flint was there, the berries at his head.","voyez comme elles se glissent le long de la rivière,
comme elle chuchotte bas avec la vieille femme,
et après avoir parcouru du regard la vaste plaine,
comme elle lui montre le poignard: «quelle fièvre hectique, quelle flamme
te consume, enfant?—quel bonheur peut-il t'advenir,
que tu souries encore?» le soir tomba
et elles avaient découvert la couche terrestre de lorenzo;
la pierre était là, les airelles se penchaient sur sa tête.",en_XX,fr_XX,"Voici, alors qu'ils se faufilent le long de la rivière,
comment elle chuchote à cette dame âgée,
et, après avoir regardé autour de la vaste campagne,
lui montre un couteau. - «Quelle fièvreuse flamme
«brûle en toi, enfant? - quel bien peut t'arriver,
«pour que tu souries à nouveau?» - Le soir est arrivé,
et elles avaient trouvé le lit terrestre de Lorenzo;
la pierre à silex était là, les baies à sa tête.",2
"soon she turn’d up a soiled glove, whereon
her silk had play’d in purple phantasies,
she kiss’d it with a lip more chill than stone,
and put it in her bosom, where it dries
and freezes utterly unto the bone
those dainties made to still an infant’s cries:
then ’gan she work again; nor stay’d her care,
but to throw back at times her veiling hair.","bientôt elle déterra un gant boueux, sur lequel
avec la soie sa fantaisie avait brodé de pourpres dessins,
elle le baisa de ses lèvres plus froides que le marbre,
et le mit dans son sein où il se sécha
et glaça complètement jusqu'à l'os
les suaves mamelles créées pour apaiser les cris des enfants:
puis elle recommença à fouiller, sans répit
si ce n'est pour écarter de temps en temps le voile de ses cheveux.",en_XX,fr_XX,"Bientôt, elle trouva un gant souillé, sur lequel
sa soie avait joué dans des fantaisies pourpres,
elle l'embrassa avec des lèvres plus froides que la pierre,
et le mit dans son sein, où il sèche
et gèle complètement jusqu'à l'os
ces friandises faites pour apaiser les pleurs d'un enfant :
alors elle se remit au travail ; ne cessant pas de veiller,
mais pour jeter de temps en temps ses cheveux voilés en arrière.",2
