original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"there was arthur unhurt beside me, and my wife come back again,
and surely that eve between us there was love though no lack of pain
as we talked all the matter over, and our hearts spake more than our lips;
and we said, we shall learn, we shall learn–yea, e’en from disasters and slips.","arthur indemne se trouvait à mes côtés, ma femme revint,
et bien sûr ce soir-là il y eut entre nous de l’amour, quoique non sans douleur
comme nous discutions de toute l’affaire à cœur ouvert, plutôt qu’avec nos lèvres ;
et nous déclarâmes : nous apprendrons, nous apprendrons — oui-da, même des désastres et des faux pas.",en_XX,fr_XX,"Arthur était indemne à mes côtés, et ma femme était de retour.
Et il y avait sûrement de l'amour entre nous, malgré la douleur.
Alors que nous discutions de tout cela, nos cœurs parlaient plus que nos lèvres.
Et nous nous disions : nous apprendrons, nous apprendrons, oui, même des désastres et des erreurs.",1
"from far, from eve and morning
and yon twelve-winded sky,
the stuff of life to knit me
blew hither: here am i.
now—for a breath i tarry
nor yet disperse apart—
take my hand quick and tell me,
what have you in your heart.
speak now, and i will answer;
how shall i help you, say;
ere to the wind’s twelve quarters
i take my endless way.","de bien loin, du ponant, de l’aurore
et parmi les douze vents du ciel sis,
l’étoffe de la vie dont je suis tissé
m’enleva par là : me voici.
à présent — je m’attarde qu’un souffle court
ne m’ait encore dissipé —
vite prends ma main et parle sans détour,
dis ce que ton cœur a gardé.
parle tout de suite, ma réponse sitôt suivant ;
comment t’aider, dis-le enfin ;
avant que dans les douze sens du vent
mon chemin ne m’emporte sans fin.",en_XX,fr_XX,"De loin, du soir au matin
et de ce ciel aux douze vents,
l'étoffe de la vie qui me liait
soufflait ici : me voici.
Maintenant, je m'attarde un instant
sans me disperser pour autant,
prends vite ma main et dis-moi,
qu'as-tu dans le cœur ?
Parle maintenant, et je te répondrai ;
Comment puis-je t'aider ?
Dites-moi, ici, aux douze vents,
je prends mon chemin sans fin.",1
"from far, from eve and morning
and yon twelve-winded sky,
the stuff of life to knit me
blew hither: here am i.
now—for a breath i tarry
nor yet disperse apart—
take my hand quick and tell me,
what have you in your heart.
speak now, and i will answer;
how shall i help you, say;
ere to the wind’s twelve quarters
i take my endless way.","de loin, du couchant, du levant,
de par les douze vents célestes,
le fil de vie en me tissant
souffla par là : et j’en atteste.
je reste le temps d’une pause
et ne me dissous point encor ;
prends-moi la main, vite, et m’expose
ce que tu portes sur le cœur.
parle-moi, que je te réponde,
dis-moi comment je puis t’aider,
avant qu’aux douze vents du monde
je ne m’envole à tout jamais.",en_XX,fr_XX,"De loin, du soir au matin
et de ce ciel aux douze vents,
l'étoffe de la vie qui me liait
soufflait ici : me voici.
Maintenant, je m'attarde un instant
sans me disperser pour autant,
prends vite ma main et dis-moi,
qu'as-tu dans le cœur ?
Parle maintenant, et je te répondrai ;
Comment puis-je t'aider ?
Dites-moi, ici, aux douze vents,
je prends mon chemin sans fin.",1
"sweet are the pleasures that to verse belong,
and doubly sweet a brotherhood in song;
nor can remembrance, mathew! bring to view
a fate more pleasing, a delight more true
than that in which the brother poets joy’d,
who with combined powers, their wit employ’d
to raise a trophy to the drama’s muses.
the thought of this great partnership diffuses
over the genius loving heart, a feeling
of all that’s high, and great, and good, and healing.","douces sont les joies que procure la poésie,
et doublement douces quand elle chante une fraternité;
aucun souvenir, matthew, ne peut évoquer à nos yeux
un destin plus plaisant, une jouissance plus vraie
que celui dans lesquels s'ébattent deux poètes frères,
qui, en combinant leurs inspirations, emploient leur talent
a élever un trophée aux muses du drame.
la pensée de cette grande association infuse
dans le cœur aimant du génie, la divination
de tout ce qui est haut, grand, bon et calmant.",en_XX,fr_XX,"Doux sont les plaisirs qui appartiennent aux vers, et doublement doux est la fraternité dans le chant ; et le souvenir, Mathieu ! ne peut faire entrevoir
un destin plus agréable, un plaisir plus vrai
que celui dont se réjouirent les frères poètes,
qui, unissant leurs forces et leur esprit,
élevèrent un trophée aux muses du drame.
La pensée de cette grande association répand
dans le cœur amoureux du génie un sentiment
de tout ce qui est élevé, grand, bon et salutaire.",1
"her brothers were the craggy hills,
her sisters larchen trees—
alone with her great family
she liv'd as she did please.
no breakfast had she many a morn,
no dinner many a noon,
and 'stead of supper she would stare
full hard against the moon.","ses frères étaient les rocailleux côteaux
et ses sœurs les grands mélèzes;
seule avec sa vaste famille
elle vivait à sa fantaisie.
plus d'un matin elle passait sans déjeuner,
et plus d'une après-midi sans dîner,
puis, au lieu de souper, elle fixait
la lune, yeux contre rayons.",en_XX,fr_XX,"Ses frères étaient les collines escarpées, ses sœurs les mélèzes.
Seule avec sa grande famille, elle vivait à sa guise.
Elle ne prenait pas de petit-déjeuner bien des matins,
pas de dîner bien des midis,
et au lieu de souper, elle fixait la lune.",1
"old meg was brave as margaret queen
and tall as amazon:
an old red blanket cloak she wore;
a chip hat had she on.
god rest her aged bones somewhere—
she died full long agone!","la vieille meg était brave comme la reine marguerite,
et de la taille d'une amazone.
un vieux plaid rouge enveloppait son buste,
un débris de chapeau couvrait son chef.
que dieu donne quelque part le repos à ses os âgés!
elle mourut il y a bien des années passées!",en_XX,fr_XX,"La vieille Meg était aussi courageuse que Margaret Queen et grande comme Amazone :
elle portait une vieille cape rouge ;
elle portait un chapeau à carreaux.
Que Dieu ait le repos de ses vieux os !
Elle est morte depuis longtemps !",1
"physician nature! let my spirit blood!
o ease my heart of verse and let me rest;
throw me upon thy tripod, till the flood
of stifling numbers ebbs from my full breast.
a theme! a theme! great nature! give a theme;
let me begin my dream.
i come—i see thee, as thou standest there,
beckon me out into the wintry air.","nature guérisseuse! laisse mon esprit saigner!
que mon cœur se soulage en composant des vers et que je trouve le repos;
lance-moi sur ton trépied, jusqu'à ce que la marée montante
de vers qui m'étouffent déborde de ma poitrine trop pleine.
un thême! un thême! grande nature! donne-moi un thême;
que je commence mon songe!
je viens.—je te vois telle que tu te tiens ici,
ne me renvoie pas dans l'air glacial.",en_XX,fr_XX,"Médecine de la nature ! Que mon esprit saigne !
Ô apaise mon cœur de vers et laisse-moi me reposer ;
jette-moi sur ton trépied, jusqu'à ce que le flot
des nombres étouffants reflue de ma poitrine pleine.
Un thème ! Un thème ! Grande nature ! Donne un thème ;
Laisse-moi commencer mon rêve.
J'arrive, je te vois, tandis que tu es là,
invite-moi à sortir dans l'air hivernal.",1
"who now, with greedy looks, eats up my feast?
what stare outfaces now my silver moon!
ah! keep that hand unravished at the least;
let, let the amorous burn—
but, prithee, do not turn
the current of your heart from me so soon:
o save, in charity,
the quickest pulse for me.","qui, en ce moment, de ses regards gloutons, dévore mon festin?
quels yeux effrontés dévisagent en ce moment ma lune argentée?
ah! que du moins ta main ne soit saisie par personne;
laisse, laisse les amoureux se consumer—
mais, je t'en supplie, ne détourne pas,
sitôt de moi, l'élan de ton cœur.
oh! conserve, par charité
les pulsations les plus rapides pour moi.",en_XX,fr_XX,"Qui maintenant, d'un air avide, dévore mon festin ?
Quel regard fixe maintenant ma lune d'argent !
Ah ! Garde au moins cette main intacte ;
Laisse, laisse brûler l'amour —
Mais, je t'en prie, ne détourne pas
si tôt le courant de ton cœur de moi :
O, par charité,
garde-moi le pouls le plus vif.",1
"why this, you’ll say—my fanny!—is not true;
put your soft hand upon your snowy side,
where the heart beats: confess—'tis nothing new -
must not a woman be
a feather on the sea,
swayed to and fro by every wind and tide?
of as uncertain speed
as blow-ball from the mead?","mais, ceci—vous le direz, ma fanny, n'est pas vrai!
mettez votre mignonne main sur votre sein de neige
là où le cœur bat: confessez,—ce n'est pas nouveau—
une femme ne peut-elle pas être
une plume sur la mer,
ballottée çà et là au gré des vents et des marées?
ayant une direction aussi incertaine
que la balle rebondissant dans la prairie?",en_XX,fr_XX,"Pourquoi cela, me direz-vous, mon cul ! Ce n’est pas vrai ;
pose ta douce main sur ton flanc blanc,
là où bat le cœur : avoue-le, ce n’est pas nouveau !
Une femme ne doit-elle pas être
une plume sur la mer,
balancée par chaque vent et chaque marée ?
D’une vitesse aussi incertaine
que celle d’une boule de vent dans l’hydromel ?",1
"i know it—and to know it is despair
to one who loves you as i love, sweet fanny,
whose heart goes fluttering for you every where,
nor when away you roam,
dare keep its wretched home:
love, love alone, has pains severe and many;
then, loveliest! keep me free
from torturing jealousy.","je le sais—et le savoir, c'est se désespérer
pour quelqu'un vous aimant comme je vous aime, douce fanny!
quelqu'un dont le cœur bat pour vous en tous lieux,
qui lorsque vous rôdez au loin
n'ose pas rester dans sa misérable demeure,
aimer, aimer seul, ses tristes, ses innombrables souffrances:
chérie entre toutes! evitez-moi
les tortures de la jalousie.",en_XX,fr_XX,"Je le sais, et savoir que c'est désespérer
pour quelqu'un qui t'aime comme je t'aime, ma douce chatte,
dont le cœur palpite pour toi partout,
et qui, quand tu erres loin de moi,
n'ose pas garder sa misérable demeure :
l'amour, l'amour seul, a des douleurs intenses et nombreuses ;
alors, ma belle ! préserve-moi
de la jalousie torturante",1
