original_poem,translated_poem,translated_by_TA,src_lang,tgt_lang,topic
"queen of the wide air; thou most lovely queen
of all the brightness that mine eyes have seen!
as thou exceedest all things in thy shine,
so every tale, does this sweet tale of thine.
o for three words of honey, that i might
tell but one wonder of thy bridal night!","reine du vaste espace, ô souveraine la plus charmante
entre toutes les splendeurs que mes yeux aient vues!
de même que ton éclat surpasse toutes choses,
de même aucun conte n'atteint la douceur du tien.
oh! pour trois paroles suaves comme le miel, puissé-je
raconter une seule merveille de ta nuit nuptiale!","Reine du grand air, tu es la plus belle reine
de toute la luminosité que mes yeux ont vue!
comme tu surpasses toutes choses en ton éclat,
Donc chaque conte, fait ce doux conte de toi.
o pour trois mots de miel, que je pourrais
Dis-le, mais une merveille de ta nuit de noces!",en_XX,fr_XX,1
"ah! dearest love, sweet home of all my fears
and hopes and joys and panting miseries,—
to-night, if i may guess, thy beauty wears
a smile of such delight,
as brilliant and as bright,
as when with ravished, aching, vassal eyes,
lost in a soft amaze,
i gaze, i gaze!","ah! mon plus cher amour! doux sanctuaire de mes craintes,
de mes espoirs, de mes joies, de mes misères haletantes.—
cette nuit, si je peux deviner, ta beauté montre
un sourire si délicieux,
aussi brillant, aussi éblouissant,
que lorsque avec des yeux ravis, douloureux, asservis,
perdu dans une douce extase
j'admire, j'admire!","Ah! amour le plus cher, douce maison de toutes mes peurs
et des espoirs, des joies et des misères,
à ce soir, si je peux deviner, ta beauté porte
un sourire d'un tel plaisir,
aussi brillant et aussi brillant,
comme avec des yeux ravagés, douloureux, vassaux,
perdu dans un stupéfiant doux,
Je regarde, je regarde!",en_XX,fr_XX,1
"fair isabel, poor simple isabel!
lorenzo, a young palmer in love’s eye!
they could not in the self-same mansion dwell
without some stir of heart, some malady;
they could not sit at meals but feel how well
it soothed each to be the other by;
they could not, sure, beneath the same roof sleep
but to each other dream, and nightly weep.","gracieuse isabelle, pauvre innocente isabelle!
lorenzo, un jeune pèlerin sous l'œil de l'amour!
ils ne pouvaient habiter la même demeure
sans émotion au cœur, sans souffrance;
ils ne pouvaient s'asseoir aux repas sans éprouver
quelle douceur pour l'un était la présence de l'autre;
ils ne pouvaient, à coup sûr, dormir sous le même toit
sans rêver l'un à l'autre et pleurer chaque nuit.","Une isabel juste, une pauvre isabel simple!
lorenzo, un jeune palmier dans l'œil d'amour!
ils ne pouvaient pas habiter dans la même demeure
sans un peu de cœur, un peu de malaise;
ils ne pouvaient pas s'asseoir aux repas mais se sentir comme
il apaisait chacun pour être l'autre par;
ils n'ont pas pu, bien sûr, dormir sous le même toit
mais l'un à l'autre rêve, et pleure la nuit.",en_XX,fr_XX,1
"he knew whose gentle hand was at the latch,
before the door had given her to his eyes;
and from her chamber-window he would catch
her beauty farther than the falcon spies;
and constant as her vespers would he watch,
because her face was turn’d to the same skies;
and with sick longing all the night outwear,
to hear her morning-step upon the stair.","il devinait quelle gentille main tournait le loquet,
avant que la porte ouverte ne la découvrît à ses yeux;
a travers la fenêtre de sa chambre il surprenait sa beauté
d'un regard plus perçant que celui du faucon;
régulièrement il la guettait aux vêpres,
sachant que ses yeux étaient levés vers les mêmes cieux;
il passait toute la nuit dans une attente enfiévrée,
pour entendre sur l'escalier son pas matinal.","Il savait qui était la main douce au verrou,
avant que la porte ne l'ait donnée à ses yeux;
et de sa fenêtre de chambre il attraperait
sa beauté plus loin que les espions de faucon;
et constant comme ses vêpres regarderaient,
parce que son visage était tourné vers le même ciel;
et avec des envies malades toute la nuit,
pour entendre son pas du matin sur l'escalier.",en_XX,fr_XX,1
"so once more he had wak’d and anguished
a dreary night of love and misery,
if isabel’s quick eye had not been wed
to every symbol on his forehead high;
she saw it waxing very pale and dead,
and straight all flush’d; so, lisped tenderly,
«lorenzo!» - here she ceas’d her timid quest,
but in her tone and look he read the rest.","ainsi, une fois de plus, il aurait passé dans l'angoisse et l'insomnie
une terrible nuit d'amour et de misère,
si les yeux vifs d'isabelle n'avaient été fiancés
avec chaque pensée reflétée sur son front;
elle le vit couleur de cire et pâle comme un mort,
puis soudain tout rougissant; aussi murmura-t-elle tendrement:
«lorenzo!»—là elle interrompit sa timide requête,
mais dans son ton et son regard il devina le reste.","Une fois de plus, il s'était réveillé et angoissé.
une triste nuit d'amour et de misère,
si l'œil rapide n'avait pas été marié
à chaque symbole sur son front,
Elle l'a vu s'épiler très pâle et morte,
et droit tout rinçage; ainsi, lispé tendrement,
«lorenzo!» - ici elle a césé sa timide quête,
Mais dans son ton, il a lu le reste.",en_XX,fr_XX,1
"how was it these same ledger-men could spy
fair isabella in her downy nest?
how could they find out in lorenzo’s eye
a straying from his toil? hot egypt’s pest
into their vision covetous and sly!
how could these money-bags see east and west? -
yet so they did - and every dealer fair
must see behind, as doth the hunted hare.","comment se fit-il que ces mêmes teneurs de livres purent épier
la gracieuse isabelle dans sa couche duvetée?
comment purent-ils découvrir dans les yeux de lorenzo
un obstacle à son labeur? torride plaie d'egypte
dans leur horizon de cupidité et d'astuce!
comment purent ces sacs d'argent regarder à l'est et à l'ouest?
pourtant ils le firent—et tout bon joueur
doit regarder derrière lui, comme le lièvre chassé.","Comment était-ce ces mêmes bouquins-hommes pouvaient espionner
Une bonne isabella dans son nid?
comment ont-ils pu le découvrir dans l'œil de Lorenzo
un s'égarant de son travail? Egypt chaude ravageur
dans leur vision convoitée et sournoise!
Comment ces sacs d'argent ont-ils pu voir l'est et l'ouest?
Et pourtant, ils l'ont fait - et chaque foire de concessionnaires
doit voir derrière, comme le lièvre chassé.",en_XX,fr_XX,1
"«to-day we purpose, ay, this hour we mount
«to spur three leagues towards the apennine;
«come down, we pray thee, ere the hot sun count
«his dewy rosary on the eglantine.»
lorenzo, courteously as he was wont,
bow’d a fair greeting to these serpents’ whine;
and went in haste, to get in readiness,
with belt, and spur, and bracing huntsman’s dress.","nous avons le projet, à l'instant même
d'éperonner, trois lieues, vers les apennins;
descends, nous t'en prions, avant que le soleil brûlant
ne pompe son humide rosée sur l'églantine.»
lorenzo, courtoisement comme il en avait l'habitude,
avec déférence s'inclina devant ces paroles vipérines
et partit à la hâte, pour se tenir tout prêt,
avec sa ceinture, ses éperons et son pourpoint de chasse.","""Aujourd'hui, nous voulons, ay, cette heure nous montons
«pour pousser trois lieues vers l'apennine;
«Descendez, nous vous prions, le soleil chaud compte
«son rosaire de rosée sur l'églantine.»
lorenzo, courtoisement comme il l'a été,
un salut juste à ces serpents de gémissement;
et est allé à la hâte, pour se préparer,
avec ceinture, et éperon, et robe de chasse à braser.",en_XX,fr_XX,1
"she weeps alone for pleasures not to be;
sorely she wept until the night came on,
and then, instead of love, o misery!
she brooded o’er the luxury alone:
his image in the dusk she seem’d to see,
and to the silence made a gentle moan,
spreading her perfect arms upon the air,
and on her couch low murmuring, «where? o where?»","elle pleure solitaire sur ses plaisirs perdus;
douloureusement elle pleura jusqu'à la venue de la nuit,
puis alors, au lieu d'amour, o misère!
elle médita solitaire sur la volupté:
il lui semblait voir son image dans l'obscurité,
elle répondait au silence par un doux gémissement,
etreignant l'air de ses beaux bras,
et sur sa couche murmurant tout bas: «où donc? où donc?»","Elle pleure seule pour ne pas être des plaisirs;
Elle pleura douloureusement jusqu'à ce que la nuit arrive,
Et puis, au lieu de l'amour, o la misère!
Elle a brodé le luxe seul :
son image dans le crépuscule qu'elle semble voir,
et au silence fit un gémissement doux,
étendant ses bras parfaits sur les airs,
et sur son canapé bas murmurant, «où? o où?»",en_XX,fr_XX,1
"because lorenzo came not. oftentimes
she ask’d her brothers, with an eye all pale,
striving to be itself, what dungeon climes
could keep him off so long? they spake a tale
time after time, to quiet her. their crimes
came on them, like a smoke from hinnom’s vale;
and every night in dreams they groan’d aloud,
to see their sister in her snowy shroud.","parce que lorenzo ne revenait pas. souvent
elle demandait à ses frères, l'œil éteint,
s'efforçant de rester brillant, quelle contrée
pouvait le retenir si longtemps prisonnier! ils inventaient
de temps en temps un conte pour la tranquilliser. leur crime
etait sur leur tête, comme la fumée sur la vallée de hinnom;
et chaque nuit dans leurs rêves ils gémissaient tout haut,
de voir leur sœur dans son linceul de neige.","Parce que lorenzo n'est pas venu. souvent fois
elle demanda à ses frères, avec un œil tout pâle,
s'efforcer d'être lui-même, quels climes de donjon
Ils ont parlé d'une histoire.
temps après temps, pour la calmer. leurs crimes
est venu sur eux, comme une fumée de hinnoms vale;
Et chaque nuit dans les rêves ils gémissent à haute voix,
de voir leur sœur dans son linceul enneigé.",en_XX,fr_XX,1
"it was a vision. - in the drowsy gloom,
the dull of midnight, at her couch’s foot
lorenzo stood, and wept: the forest tomb
had marr’d his glossy hair which once could shoot
lustre into the sun, and put cold doom
upon his lips, and taken the soft lute
from his lorn voice, and past his loamed ears
had made a miry channel for his tears.","ce fut une vision. dans l'engourdissante obscurité,
dans la tristesse de minuit, aux pieds de sa couche
lorenzo se tenait, et pleurait; la tombe de la forêt
avait souillé sa luisante chevelure qui autrefois lançait
ses éclats jusqu'au soleil, et mis sa froide empreinte
sur ses lèvres, et brisé le suave luth
de sa voix rendue au silence; le long de ses oreilles fangeuses
un lit de boue était creusé par ses larmes.","C'était une vision.
le terne de minuit, au pied de son canapé
lorenzo se tenait, et pleurait: le tombeau de la forêt
avait marr.d ses cheveux brillants qui une fois pouvait tirer
lustre dans le soleil, et mettre froid
sur ses lèvres, et pris le luth doux
de sa voix enflammée, et au-delà de ses oreilles englouties
avait fait un canal de mirage pour ses larmes.",en_XX,fr_XX,1
