original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"now lords and ladies blithe and bold,
to bless you here now am i bound:
i thank you all a thousand-fold,
and pray god save you whole and sound;
wherever you go on grass or ground,
may he you guide that nought you grieve,
for friendship that i here have found
against my will i take my leave.
for friendship and for favours good,
for meat and drink you heaped on me,
the lord that raised was on the rood
now keep you comely company.
on sea or land where’er you be,
may he you guide that nought you grieve.
such fair delight you laid on me
against my will i take my leave.
against my will although i wend,
i may not always tarry here;
for everything must have and end,
and even friends must part, i fear;
be we beloved however dear
out of this world death will us reave,
and when we brought are to our bier
against our will we take our leave.
now good day to you, goodmen all,
and good day to you, young and old,
and good day to you, great and small,
and gramercy a thousand-fold!
if ought there were that dear ye hold,
full fain i would the deed achieve –
now christ you keep from sorrows cold
for now at last i take my leave.","seigneurs et dames, allègres et admirables,
recevez à présent ma bénédiction :
soyez tous remerciés mille fois,
et dieu vous garde sains et saufs ;
que vos pas mènent sur l’herbe douce ou le sol dur,
qu’il vous guide afin que rien ne vous afflige,
puisque ici j’ai trouvé l’amitié
je prends congé contre mon gré.
vous m’avez tant couvert d’affection et de faveurs,
tant pourvu en vivres et en boisson,
puisse notre seigneur qui fut cloué sur la croix
vous tenir une délicate compagnie.
que vous soyez sur terre ou sur mer,
qu’il vous guide afin que rien ne vous afflige.
puisque vous m’avez apporté tant de plaisir
je prends congé contre mon gré.
quand bien même je m’en vais malgré moi,
je ne pourrais demeurer ici pour toujours ;
car toutes choses doivent finir,
et même les amis se séparer, je le crains ;
quelle que soit la force de nos liens
la mort nous arrachera à ce monde,
et lorsque nous serons mis en bière
nous prendrons congé contre notre gré.
à présent, salut à vous, tous gens de bien,
salut à vous, jeunes et vieux,
salut à vous, petits et grands,
et mille fois grand merci !
si quelque dessein vous tenait à cœur,
je l’accomplirais bien volontiers –
à présent, christ vous garde des peines cruelles,
car enfin je prends congé.",en_XX,fr_XX,"Maintenant seigneurs et dames joyeux et audacieux,
Pour vous bénir je suis ici lié :
Je vous remercie tous mille fois,
Et je prie Dieu de vous sauvegarder sains et saufs ;
Où que vous alliez sur herbe ou sol,
Que celui qui vous guide vous évite la peine,
Pour l'amitié que j'ai ici trouvée
Contre ma volonté je prends congé.

Pour l'amitié et pour les bonnes faveurs,
Pour la nourriture et la boisson que vous avez accumulées pour moi,
Le Seigneur qui a souffert sur la croix
Maintenant garde votre compagnie.

Sur mer ou terre où que vous soyez,
Que celui qui vous guide vous évite la peine.
Un tel plaisir que vous avez mis en moi
Contre ma volonté je prends congé.

Malgré ma volonté je dois partir,
Je ne puis toujours demeurer ici ;
Car tout doit avoir une fin,
Et même les amis doivent se séparer, je le crains ;
Quoi qu'il en soit, nous aimons-nous très chers
La mort du monde nous délivrera,
Et lorsque nous serons portés à notre cercueil
Contre notre volonté nous prendrons congé.

Maintenant bonjour à vous tous, braves gens,
Et bonjour à vous, jeunes et vieux,
Et bonjour à vous, grands et petits,
Et merci bien mille fois !
S'il y avait quelque chose que vous tenez chère,
De bon cœur j'aimerais accomplir l'œuvre –
Maintenant que Christ vous garde des tristesses froides
Car maintenant enfin je prends congé.",0
"now lords and ladies blithe and bold,
to bless you here now am i bound:
i thank you all a thousand-fold,
and pray god save you whole and sound;
wherever you go on grass or ground,
may he you guide that nought you grieve,
for friendship that i here have found
against my will i take my leave.
for friendship and for favours good,
for meat and drink you heaped on me,
the lord that raised was on the rood
now keep you comely company.
on sea or land where’er you be,
may he you guide that nought you grieve.
such fair delight you laid on me
against my will i take my leave.
against my will although i wend,
i may not always tarry here;
for everything must have and end,
and even friends must part, i fear;
be we beloved however dear
out of this world death will us reave,
and when we brought are to our bier
against our will we take our leave.
now good day to you, goodmen all,
and good day to you, young and old,
and good day to you, great and small,
and gramercy a thousand-fold!
if ought there were that dear ye hold,
full fain i would the deed achieve –
now christ you keep from sorrows cold
for now at last i take my leave.","seigneurs et dames, allègres et admirables,
recevez à présent ma bénédiction :
soyez tous remerciés mille fois,
et dieu vous garde sains et saufs ;
que vos pas mènent sur l’herbe douce ou le sol dur,
qu’il vous guide afin que rien ne vous afflige,
puisque ici j’ai trouvé l’amitié
je prends congé contre mon gré.
vous m’avez tant couvert d’affection et de faveurs,
tant pourvu en vivres et en boisson,
puisse notre seigneur qui fut cloué sur la croix
vous tenir une délicate compagnie.
que vous soyez sur terre ou sur mer,
qu’il vous guide afin que rien ne vous afflige.
puisque vous m’avez apporté tant de plaisir
je prends congé contre mon gré.
quand bien même je m’en vais malgré moi,
je ne pourrais demeurer ici pour toujours ;
car toutes choses doivent finir,
et même les amis se séparer, je le crains ;
quelle que soit la force de nos liens
la mort nous arrachera à ce monde,
et lorsque nous serons mis en bière
nous prendrons congé contre notre gré.
à présent, salut à vous, tous gens de bien,
salut à vous, jeunes et vieux,
salut à vous, petits et grands,
et mille fois grand merci !
si quelque dessein vous tenait à cœur,
je l’accomplirais bien volontiers –
à présent, christ vous garde des peines cruelles,
car enfin je prends congé.",en_XX,fr_XX,"Maintenant seigneurs et dames joyeux et audacieux,
Pour vous bénir je suis ici lié :
Je vous remercie tous mille fois,
Et je prie Dieu de vous sauvegarder sains et saufs ;
Où que vous alliez sur herbe ou sol,
Que celui qui vous guide vous évite la peine,
Pour l'amitié que j'ai ici trouvée
Contre ma volonté je prends congé.

Pour l'amitié et pour les bonnes faveurs,
Pour la nourriture et la boisson que vous avez accumulées pour moi,
Le Seigneur qui a souffert sur la croix
Maintenant garde votre compagnie.

Sur mer ou terre où que vous soyez,
Que celui qui vous guide vous évite la peine.
Un tel plaisir que vous avez mis en moi
Contre ma volonté je prends congé.

Malgré ma volonté je dois partir,
Je ne puis toujours demeurer ici ;
Car tout doit avoir une fin,
Et même les amis doivent se séparer, je le crains ;
Quoi qu'il en soit, nous aimons-nous très chers
La mort du monde nous délivrera,
Et lorsque nous serons portés à notre cercueil
Contre notre volonté nous prendrons congé.

Maintenant bonjour à vous tous, braves gens,
Et bonjour à vous, jeunes et vieux,
Et bonjour à vous, grands et petits,
Et merci bien mille fois !
S'il y avait quelque chose que vous tenez chère,
De bon cœur j'aimerais accomplir l'œuvre –
Maintenant que Christ vous garde des tristesses froides
Car maintenant enfin je prends congé.",0
"now lords and ladies blithe and bold,
to bless you here now am i bound:
i thank you all a thousand-fold,
and pray god save you whole and sound;
wherever you go on grass or ground,
may he you guide that nought you grieve,
for friendship that i here have found
against my will i take my leave.
for friendship and for favours good,
for meat and drink you heaped on me,
the lord that raised was on the rood
now keep you comely company.
on sea or land where’er you be,
may he you guide that nought you grieve.
such fair delight you laid on me
against my will i take my leave.
against my will although i wend,
i may not always tarry here;
for everything must have and end,
and even friends must part, i fear;
be we beloved however dear
out of this world death will us reave,
and when we brought are to our bier
against our will we take our leave.
now good day to you, goodmen all,
and good day to you, young and old,
and good day to you, great and small,
and gramercy a thousand-fold!
if ought there were that dear ye hold,
full fain i would the deed achieve –
now christ you keep from sorrows cold
for now at last i take my leave.","gentes dames et gais seigneurs,
que votre bonté soit bénie :
mille fois merci, de bon cœur,
et dieu vous prête longue vie,
vous guide sur roche ou prairie,
et vous garde d’être affligés ;
ici n’ayant qu’âmes amies,
contre mon gré, je prends congé.
vous m’avez tant traité en roi,
tant servi en viande et en vin,
christ qui fut cloué sur la croix
vous soit un gracieux soutien,
et quelque soit votre chemin,
qu’il vous garde d’être affligés ;
car vous m’avez comblé de biens,
contre mon gré, je prends congé.
il me faut cependant partir,
je ne puis rester sur ces terres ;
car toute chose doit finir,
jusqu’aux amitiés les plus chères ;
quoi que l’amour en nous espère
la mort viendra nous déloger ;
quand donc nous serons mis en bière
à contre-gré, prenons congé.
salutations, ô bonnes gens,
salutations, hivers, verdeurs,
salutations, petits et grands,
mille mercis pour tant d’ardeur !
mais qu’un dessein vous tienne à cœur,
je reviendrai sans déroger –
christ vous préserve du malheur,
car à présent, je prends congé.",en_XX,fr_XX,"Maintenant, seigneurs et dames, joyeux et audacieux,
Pour vous bénir, je suis ici lié :
Je vous remercie tous mille fois,
Et je prie Dieu de vous sauver en bonne santé ;
Où que vous alliez, sur l'herbe ou sur le sol,
Que celui qui vous guide ne vous cause pas de peine,
Pour l'amitié que j'ai ici trouvée,
Contre ma volonté, je prends congé.

Pour l'amitié et pour les bons faveurs,
Pour la nourriture et la boisson que vous avez accumulées pour moi,
Que le Seigneur qui a été élevé sur la croix
Maintienne maintenant votre compagnie agréable.
Sur mer ou sur terre, où que vous soyez,
Que celui qui vous guide ne vous cause pas de peine.
Telle joie si belle que vous m'avez accordée
Contre ma volonté, je prends congé.

Malgré mon départ, je le fais contre ma volonté,
Car tout doit avoir une fin,
Et même les amis doivent se séparer, je le crains ;
Quoi qu'il en soit, la mort nous arrachera de ce monde,
Et lorsque nous serons amenés à notre lit de mort
Contre notre volonté, nous prendrons congé.

Maintenant, bonjour à vous tous, braves gens,
Et bonjour à vous, jeunes et vieux,
Et bonjour à vous, grands et petits,
Et merci mille fois !
S'il y avait quelque chose de cher que vous tenez,
Je serais ravi de réaliser l'acte –
Maintenant, que le Christ vous garde des douleurs
Car maintenant enfin, je prends congé.",0
"now lords and ladies blithe and bold,
to bless you here now am i bound:
i thank you all a thousand-fold,
and pray god save you whole and sound;
wherever you go on grass or ground,
may he you guide that nought you grieve,
for friendship that i here have found
against my will i take my leave.
for friendship and for favours good,
for meat and drink you heaped on me,
the lord that raised was on the rood
now keep you comely company.
on sea or land where’er you be,
may he you guide that nought you grieve.
such fair delight you laid on me
against my will i take my leave.
against my will although i wend,
i may not always tarry here;
for everything must have and end,
and even friends must part, i fear;
be we beloved however dear
out of this world death will us reave,
and when we brought are to our bier
against our will we take our leave.
now good day to you, goodmen all,
and good day to you, young and old,
and good day to you, great and small,
and gramercy a thousand-fold!
if ought there were that dear ye hold,
full fain i would the deed achieve –
now christ you keep from sorrows cold
for now at last i take my leave.","gentes dames et gais seigneurs,
que votre bonté soit bénie :
mille fois merci, de bon cœur,
et dieu vous prête longue vie,
vous guide sur roche ou prairie,
et vous garde d’être affligés ;
ici n’ayant qu’âmes amies,
contre mon gré, je prends congé.
vous m’avez tant traité en roi,
tant servi en viande et en vin,
christ qui fut cloué sur la croix
vous soit un gracieux soutien,
et quelque soit votre chemin,
qu’il vous garde d’être affligés ;
car vous m’avez comblé de biens,
contre mon gré, je prends congé.
il me faut cependant partir,
je ne puis rester sur ces terres ;
car toute chose doit finir,
jusqu’aux amitiés les plus chères ;
quoi que l’amour en nous espère
la mort viendra nous déloger ;
quand donc nous serons mis en bière
à contre-gré, prenons congé.
salutations, ô bonnes gens,
salutations, hivers, verdeurs,
salutations, petits et grands,
mille mercis pour tant d’ardeur !
mais qu’un dessein vous tienne à cœur,
je reviendrai sans déroger –
christ vous préserve du malheur,
car à présent, je prends congé.",en_XX,fr_XX,"Maintenant, seigneurs et dames, joyeux et audacieux,
Pour vous bénir, je suis ici lié :
Je vous remercie tous mille fois,
Et je prie Dieu de vous sauver en bonne santé ;
Où que vous alliez, sur l'herbe ou sur le sol,
Que celui qui vous guide ne vous cause pas de peine,
Pour l'amitié que j'ai ici trouvée,
Contre ma volonté, je prends congé.

Pour l'amitié et pour les bons faveurs,
Pour la nourriture et la boisson que vous avez accumulées pour moi,
Que le Seigneur qui a été élevé sur la croix
Maintienne maintenant votre compagnie agréable.
Sur mer ou sur terre, où que vous soyez,
Que celui qui vous guide ne vous cause pas de peine.
Telle joie si belle que vous m'avez accordée
Contre ma volonté, je prends congé.

Malgré mon départ, je le fais contre ma volonté,
Car tout doit avoir une fin,
Et même les amis doivent se séparer, je le crains ;
Quoi qu'il en soit, la mort nous arrachera de ce monde,
Et lorsque nous serons amenés à notre lit de mort
Contre notre volonté, nous prendrons congé.

Maintenant, bonjour à vous tous, braves gens,
Et bonjour à vous, jeunes et vieux,
Et bonjour à vous, grands et petits,
Et merci mille fois !
S'il y avait quelque chose de cher que vous tenez,
Je serais ravi de réaliser l'acte –
Maintenant, que le Christ vous garde des douleurs
Car maintenant enfin, je prends congé.",0
"i dwell in a lonely house i know
that vanished many a summer ago,
and left no trace but the cellar walls,
and a cellar in which the daylight falls
and the purple-stemmed wild raspberries grow.
o’er ruined fences the grape-vines shield
the woods come back to the mowing field;
the orchard tree has grown one copse
of new wood and old where the woodpecker chops;
the footpath down to the well is healed.
i dwell with a strangely aching heart
in that vanished abode there far apart
on that disused and forgotten road
that has no dust-bath now for the toad.
night comes; the black bats tumble and dart;
the whippoorwill is coming to shout
and hush and cluck and flutter about:
i hear him begin far enough away
full many a time to say his say
before he arrives to say it out.
it is under the small, dim, summer star.
i know not who these mute folk are
who share the unlit place with me—
those stones out under the low-limbed tree
doubtless bear names that the mosses mar.
they are tireless folk, but slow and sad—
though two, close-keeping, are lass and lad,—
with none among them that ever sings,
and yet, in view of how many things,
as sweet companions as might be had.","je demeure dans une maison à l’écart
qui disparut il y a bien des étés,
et dont rien ne reste hormis la cave,
où pénètre la lumière du jour
et où poussent les framboises violettes.
les clôtures détruites sont couvertes de vigne,
les bois reviennent sur les champs qui connurent la faux ;
de l’ancien arbre fruitier a grossi un taillis
de branches neuves que frappe le grand pic ;
la plaie du sentier qui mène au puits s’est refermée.
mon cœur languit étrangement, comme je demeure
dans ce logis disparu qui se tient tout au bout
de cette route oubliée, à l’abandon,
qui ne baigne plus le crapaud dans sa poussière.
la nuit tombe ; les chauves-souris voltigent et plongent ;
l’engoulevent arrive pour pousser son cri,
se taire, claqueter, battre des ailes :
je l’entends de bien assez loin
qui souvent commence son discours
avant même qu’il n’arrive pour le débiter.
c’est sous une petite et pâle étoile d’été.
je ne sais qui sont ces muettes gens
qui partagent cet endroit sombre avec moi —
ces pierres qui gisent sous les basses frondaisons
portent à n’en pas douter des noms mangés de mousse.
ce sont gens inlassables, mais lents et tristes —
deux pourtant, enlacés, sont jouvenceaux, —
dont jamais aucun ne chante,
mais qui, en pareilles circonstances,
me sont la plus douce des compagnies.",en_XX,fr_XX,"Je demeure dans une maison solitaire que je connais
qui a disparu depuis bien des étés anciens,
et n'a laissé de trace que les murs de la cave,
et une cave où la lumière du jour se répand
et où poussent des framboisiers sauvages aux tiges pourpres.
Sur les clôtures ruinées, les vignes se protègent,
Les bois reviennent aux champs labourés ;
L'arbre du verger est devenu une touffe
de bois nouveau et ancien où le pic fouine ;
Le chemin menant au puits est guéri.
Je demeure avec un cœur étrangement douloureux
dans cette demeure disparue là-bas,
sur cette route abandonnée et oubliée
qui n'accueille plus de bain de poussière pour le crapaud.
La nuit arrive ; les chauves-souris noires tombent et s'élancent ;
Le whippoorwill arrive pour crier
et marmonner et caqueter et s'agiter :
j'entends lui commencer bien loin
beaucoup de fois pour dire son mot
avant qu'il n'arrive pour le dire en entier.
C'est sous la petite étoile d'été pâle.
Je ne sais pas qui sont ces gens muets
qui partagent l'endroit non éclairé avec moi —
ces pierres sous le faible arbre
portent sûrement des noms que les mousses défigurent.
Ce sont des gens infatigables, mais tristes —
bien que deux, très proches, soient une jeune fille et un garçon —
sans personne parmi eux qui jamais ne chante,
et pourtant, compte tenu de combien de choses,
des compagnons aussi doux que pourrait-on souhaiter.",0
"bright star, would i were steadfast as thou art—
not in lone splendour hung aloft the night
and watching, with eternal lids apart,
like nature’s patient, sleepless eremite,
the moving waters at their priestlike task
of pure ablution round earth’s human shores,
or gazing on the new soft-fallen mask
of snow upon the mountains and the moors—
no—yet still steadfast, still unchangeable,
pillow’d upon my fair love’s ripening breast,
to feel for ever its soft fall and swell,
awake for ever in a sweet unrest,
still, still to hear her tender-taken breath,
and so live ever—or else swoon to death.","brillante étoile, que ne suis-je constant comme toi —
non pas fixé dans l’air nocturne, dans une splendide solitude,
à observer, paupières éternellement ouvertes,
tel de la nature l’ermite patient et sans sommeil,
les eaux mouvantes comme des prêtres s’acquittant de leur tâche
de pure ablution, le long des rives humaines qui parcourent la terre,
ou considérant la fraîcheur tombée doucement du masque
de la neige sur les monts et les landes —
non — mais toujours constant, toujours immuable,
soutenu par la poitrine ferme de ma bien-aimée,
à la sentir pour toujours tomber doucement et remonter,
pour toujours dans l’éveil d’un trouble délicat,
sans cesse, sans cesse à l’écoute de sa tendre inspiration,
et vivre ainsi toujours — ou bien choir dans la mort.",en_XX,fr_XX,"étoile brillante, je voudrais être aussi immuable que toi—
non, suspendu seul en un éclat nocturne,
et regardant, avec des paupières éternellement ouvertes,
comme un ermite patient, veilleur insomniant de la nature,
les eaux en mouvement à leur tâche de prêtre
de pure ablution autour des rives humaines de la terre,
ou contemplant le nouveau masque doucement tombé
de neige sur les montagnes et les landes—
non—pourtant toujours immuable, toujours inchangé,
couvé sur le sein murissant de ma belle amante,
pour toujours sentir sa douce montée et descente,
éveillé pour toujours dans un doux agitation,
toujours, toujours écouter sa respiration doucement prise,
et ainsi vivre pour toujours—ou sinon sombrer dans la mort.",0
"bright star, would i were steadfast as thou art—
not in lone splendour hung aloft the night
and watching, with eternal lids apart,
like nature’s patient, sleepless eremite,
the moving waters at their priestlike task
of pure ablution round earth’s human shores,
or gazing on the new soft-fallen mask
of snow upon the mountains and the moors—
no—yet still steadfast, still unchangeable,
pillow’d upon my fair love’s ripening breast,
to feel for ever its soft fall and swell,
awake for ever in a sweet unrest,
still, still to hear her tender-taken breath,
and so live ever—or else swoon to death.","brillante étoile, que ne suis-je constant comme toi —
non pas fixé dans l’air nocturne, dans une splendide solitude,
à observer, paupières éternellement ouvertes,
tel de la nature l’ermite patient et sans sommeil,
les eaux mouvantes comme des prêtres s’acquittant de leur tâche
de pure ablution, le long des rives humaines qui parcourent la terre,
ou considérant la fraîcheur tombée doucement du masque
de la neige sur les monts et les landes —
non — mais toujours constant, toujours immuable,
soutenu par la poitrine ferme de ma bien-aimée,
à la sentir pour toujours tomber doucement et remonter,
pour toujours dans l’éveil d’un trouble délicat,
sans cesse, sans cesse à l’écoute de sa tendre inspiration,
et vivre ainsi toujours — ou bien choir dans la mort.",en_XX,fr_XX,"étoile brillante, je voudrais être aussi immuable que toi—
non, suspendu seul en un éclat nocturne,
et regardant, avec des paupières éternellement ouvertes,
comme un ermite patient, veilleur insomniant de la nature,
les eaux en mouvement à leur tâche de prêtre
de pure ablution autour des rives humaines de la terre,
ou contemplant le nouveau masque doucement tombé
de neige sur les montagnes et les landes—
non—pourtant toujours immuable, toujours inchangé,
couvé sur le sein murissant de ma belle amante,
pour toujours sentir sa douce montée et descente,
éveillé pour toujours dans un doux agitation,
toujours, toujours écouter sa respiration doucement prise,
et ainsi vivre pour toujours—ou sinon sombrer dans la mort.",0
"bright star, would i were steadfast as thou art—
not in lone splendour hung aloft the night
and watching, with eternal lids apart,
like nature’s patient, sleepless eremite,
the moving waters at their priestlike task
of pure ablution round earth’s human shores,
or gazing on the new soft-fallen mask
of snow upon the mountains and the moors—
no—yet still steadfast, still unchangeable,
pillow’d upon my fair love’s ripening breast,
to feel for ever its soft fall and swell,
awake for ever in a sweet unrest,
still, still to hear her tender-taken breath,
and so live ever—or else swoon to death.","brillante étoile, que ne suis-je constant comme toi —
non pas fixé dans l’air nocturne, dans une splendide solitude,
à observer, paupières éternellement ouvertes,
tel de la nature l’ermite patient et sans sommeil,
les eaux mouvantes comme des prêtres s’acquittant de leur tâche
de pure ablution, le long des rives humaines qui parcourent la terre,
ou considérant la fraîcheur tombée doucement du masque
de la neige sur les monts et les landes —
non — mais toujours constant, toujours immuable,
soutenu par la poitrine ferme de ma bien-aimée,
à la sentir pour toujours tomber doucement et remonter,
pour toujours dans l’éveil d’un trouble délicat,
sans cesse, sans cesse à l’écoute de sa tendre inspiration,
et vivre ainsi toujours — ou bien choir dans la mort.",en_XX,fr_XX,"étoile brillante, je voudrais être aussi immuable que toi—
non, suspendu seul en un éclat nocturne,
et regardant, avec des paupières éternellement ouvertes,
comme un ermite patient, veilleur insomniant de la nature,
les eaux en mouvement à leur tâche de prêtre
de pure ablution autour des rives humaines de la terre,
ou contemplant le nouveau masque doucement tombé
de neige sur les montagnes et les landes—
non—pourtant toujours immuable, toujours inchangé,
couvé sur le sein murissant de ma belle amante,
pour toujours sentir sa douce montée et descente,
éveillé pour toujours dans un doux agitation,
toujours, toujours écouter sa respiration doucement prise,
et ainsi vivre pour toujours—ou sinon sombrer dans la mort.",0
"bright star, would i were steadfast as thou art—
not in lone splendour hung aloft the night
and watching, with eternal lids apart,
like nature’s patient, sleepless eremite,
the moving waters at their priestlike task
of pure ablution round earth’s human shores,
or gazing on the new soft-fallen mask
of snow upon the mountains and the moors—
no—yet still steadfast, still unchangeable,
pillow’d upon my fair love’s ripening breast,
to feel for ever its soft fall and swell,
awake for ever in a sweet unrest,
still, still to hear her tender-taken breath,
and so live ever—or else swoon to death.","vive étoile, avec ta fermeté que j’advienne —
non dans un éclat seul appendu dans la nuit,
aux aguets, ouvrant des paupières éternelles
tel de la nature l’ermite sans sommeil,
des eaux mouvantes qui tâchent comme des prêtres
à la pure ablution de toute rive humaine,
à l’affût du masque doux, tombé à l’instant,
de la neige sur les montagnes et les landes —
non — pourtant ferme encore, indéfectible encore,
ma tête sur le sein mûr de ma bien-aimée,
pour sentir à jamais son doux balancement,
à jamais éveillé dans un trouble plaisant,
encore, encore à l’écoute de son haleine,
ainsi vivre toujours — ou sombrer dans la mort.",en_XX,fr_XX,"étoile brillante, je voudrais être aussi stable que toi—
non, suspendu seul dans l'éclat de la nuit,
et observant, avec des paupières éternelles ouvertes,
comme un ermite patient de la nature, sans sommeil,
les eaux en mouvement à leur tâche sacerdotale
de pure ablution autour des rives humaines de la terre,
ou regardant la nouvelle masque doucement tombée
de neige sur les montagnes et les landes—
non—pourtant toujours stable, toujours inchangé,
couvé sur la poitrine en pleine épanouissance de ma belle amante,
pour toujours ressentir sa douce montée et descente,
éveillé pour toujours dans une douce inquiétude,
toujours, toujours écouter sa douce respiration,
et ainsi vivre éternellement—ou sinon s'évanouir vers la mort.",0
"bright star, would i were steadfast as thou art—
not in lone splendour hung aloft the night
and watching, with eternal lids apart,
like nature’s patient, sleepless eremite,
the moving waters at their priestlike task
of pure ablution round earth’s human shores,
or gazing on the new soft-fallen mask
of snow upon the mountains and the moors—
no—yet still steadfast, still unchangeable,
pillow’d upon my fair love’s ripening breast,
to feel for ever its soft fall and swell,
awake for ever in a sweet unrest,
still, still to hear her tender-taken breath,
and so live ever—or else swoon to death.","vive étoile, avec ta fermeté que j’advienne —
non dans un éclat seul appendu dans la nuit,
aux aguets, ouvrant des paupières éternelles
tel de la nature l’ermite sans sommeil,
des eaux mouvantes qui tâchent comme des prêtres
à la pure ablution de toute rive humaine,
à l’affût du masque doux, tombé à l’instant,
de la neige sur les montagnes et les landes —
non — pourtant ferme encore, indéfectible encore,
ma tête sur le sein mûr de ma bien-aimée,
pour sentir à jamais son doux balancement,
à jamais éveillé dans un trouble plaisant,
encore, encore à l’écoute de son haleine,
ainsi vivre toujours — ou sombrer dans la mort.",en_XX,fr_XX,"étoile brillante, je voudrais être aussi stable que toi—
non, suspendu seul dans l'éclat de la nuit,
et observant, avec des paupières éternelles ouvertes,
comme un ermite patient de la nature, sans sommeil,
les eaux en mouvement à leur tâche sacerdotale
de pure ablution autour des rives humaines de la terre,
ou regardant la nouvelle masque doucement tombée
de neige sur les montagnes et les landes—
non—pourtant toujours stable, toujours inchangé,
couvé sur la poitrine en pleine épanouissance de ma belle amante,
pour toujours ressentir sa douce montée et descente,
éveillé pour toujours dans une douce inquiétude,
toujours, toujours écouter sa douce respiration,
et ainsi vivre éternellement—ou sinon s'évanouir vers la mort.",0
