original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"my tears are like the quiet drift
of petals from some magic rose;
and all my grief flows from the rift
of unremembered skies and snows.
i think, that if i touched the earth,
it would crumble;
it is so sad and beautiful,
so tremulously like a dream.","mes larmes sont comme la douce dérive
des pétales tombés de quelque rose magique ;
tout mon chagrin s’écoule de l’abîme
des cieux et neiges oubliés.
je crois, si je touchais la terre,
qu’elle s’effondrerait ;
elle est si triste et belle,
si frissonnante comme un rêve.",en_XX,fr_XX,"mes larmes sont comme la douce dérive
des pétales d'une rose magique ;
et toute ma tristesse jaillit du creux
de cieux oubliés et de neiges anciennes.
je pense que si je touchais la terre,
elle s'étiolerait ;
elle est si triste et si belle,
si tremblotante comme un rêve.",-1
"my tears are like the quiet drift
of petals from some magic rose;
and all my grief flows from the rift
of unremembered skies and snows.
i think, that if i touched the earth,
it would crumble;
it is so sad and beautiful,
so tremulously like a dream.","mes larmes sont telles les discrets détours
de pétales chus d’une rose magique ;
et toute ma peine se déverse depuis la faille
de cieux et de neiges effacés.
je pense que, si j’atteignais la terre,
elle tomberait en morceaux ;
c’est tellement triste et beau,
tel un rêve qui tremble.",en_XX,fr_XX,"mes larmes sont comme la douce dérive
des pétales d'une rose magique ;
et toute ma tristesse jaillit de la faille
de cieux oubliés et de neiges.

je pense que si je touchais la terre,
elle s'effriterait ;
elle est si triste et belle,
si tremblotante comme un rêve.",-1
"my tears are like the quiet drift
of petals from some magic rose;
and all my grief flows from the rift
of unremembered skies and snows.
i think, that if i touched the earth,
it would crumble;
it is so sad and beautiful,
so tremulously like a dream.","mes larmes sont comme le tracé silencieux
des pétales tombés d’une rose enchantée ;
et toute ma douleur s’échappe hors du grand creux
de cieux et de neiges que j’ai occultés.
je crois, si je touchais la terre,
qu’elle s’écroulerait ;
elle est si malheureuse et belle,
comme un rêve par ses frissons.",en_XX,fr_XX,"Mes larmes sont comme la douce dérive
De pétales d'une rose magique ;
Et toute ma douleur jaillit du creux
De cieux oubliés et de neiges anciennes.
Je crois que si je touchais la terre,
Elle s'évanouirait ;
C'est si triste et si beau,
Si tremblant comme un rêve.",-1
"my tears are like the quiet drift
of petals from some magic rose;
and all my grief flows from the rift
of unremembered skies and snows.
i think, that if i touched the earth,
it would crumble;
it is so sad and beautiful,
so tremulously like a dream.","mes larmes dérivent comme
les pétales d’une rose magique
et toute ma douleur coule
de la faille des cieux et de neiges sans nombre.
je pense que si je retombais
sur terre, je m’effriterais ;
c’est si triste et beau
c’est le tremblement d’un rêve.",en_XX,fr_XX,"mes larmes sont comme la délicate
pluie de pétales d'une rose magique ;
et toute ma tristesse jaillit de la faille
de cieux oubliés et de neiges.

je pense que si je touchais la terre,
elle s'évanouirait ;
elle est si triste et belle,
si tremblante comme un rêve.",-1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, quand les voix tendres s’éteignent,
retentit dans la mémoire ;
les parfums, quand les douces violettes fanent,
vit encore dans les sensations qu’elles avivent.
les pétales de rose, quand la rose est morte,
sont amassés pour le lit de l’être aimé ;
ainsi donc l’image de toi, quand tu auras disparu,
sur quoi l’amour même reposera.",en_XX,fr_XX,"musique, quand les voix douces s'évanouissent,
résonne dans la mémoire ;
parfums, quand les violettes sucrées languissent,
vivent dans les sens qu'ils aguicent.
feuilles de rose, quand la rose est morte,
sont empilées pour le lit de l'être aimé ;
et ainsi tes pensées, quand tu seras parti,
l'amour lui-même s'endormira.",-1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, alors que les voix douces meurent,
retentit dans la mémoire ;
les senteurs, alors que les violettes suaves s’altèrent,
vit encore dans les sens qu’elles exaltent.
les pétales de rose, alors que la rose est morte,
s’amoncellent pour la couche de l’être aimé ;
or donc cette impression de toi, au moment de ton départ,
sur quoi l’amour même trouvera le sommeil.",en_XX,fr_XX,"musique, quand les voix douces meurent,
résonne dans la mémoire ;
odeurs, quand les violettes sucrées déclinent,
vivent dans le sens qu'elles stimulent.
feuilles de rose, quand la rose est morte,
sont entassées pour le lit du bien-aimé ;
et ainsi tes pensées, quand tu seras parti,
l'amour lui-même s'endormira.",-1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, lorsque meurent les douces voix,
vibre en la mémoire ;
les odeurs, lorsque dépérissent les suaves violettes,
se préservent dans la sensation qu’elles attisent.
les pétales de rose, lorsque est morte la rose,
sont amoncelés pour le lit de la bien-aimée ;
ainsi tes pensées, lorsque tu seras partie,
seront la couche de l’amour.",en_XX,fr_XX,"musique, quand les voix douces s'évanouissent,
vibre dans la mémoire ;
odeurs, quand les violettes suaves déclinent,
vivent dans le sens qu'elles éveillent.
feuilles de rose, quand la rose est morte,
sont empilées pour le lit du bien-aimé ;
et ainsi tes pensées, quand tu seras parti,
l'amour lui-même s'endormira.",-1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, au moment que se taisent les voix douces,
résonne en la mémoire ;
les baumes, au moment que s’assèchent les violettes délicates,
perdurent dans le sens qu’elles exaltent.
les pétales de rose, une fois que la rose a péri,
s’amoncellent pour former la couche de l’aimé ;
de même la pensée de toi, une fois que tu seras parti,
à quoi l’amour lui-même s’endormira.",en_XX,fr_XX,"musique, quand les voix douces meurent,
vibre dans la mémoire ;
odes, quand les violettes sucrées s'affaiblissent,
vivent dans le sens qu'elles éveillent.
feuilles de rose, lorsque la rose est morte,
sont empilées pour le lit du bien-aimé ;
et ainsi tes pensées, quand tu seras parti,
l'amour lui-même s'endormira.",-1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, quand les voix s’adoucissent à mourir,
résonne en souvenir ;
les fragrances, quand les tendres violettes se gâtent,
perdurent dans la sensualité qu’elles exaltent.
les pétales de rose, quand la rose a péri,
sont ramassés pour le lit de l’être chéri ;
et donc cette impression de toi, quand tu t’en seras allée,
sur laquelle l’amour même est voué à reposer.",en_XX,fr_XX,"musique, quand les voix douces s'éteignent,
résonne dans la mémoire ;
odeurs, quand les violettes sucrées déclinent,
vivent dans les sens qu'elles ravivent.
feuilles de rose, quand la rose est morte,
sont empilées pour le lit de l'être aimé ;
et ainsi tes pensées, quand tu partiras,
l'amour lui-même s'endormira.",-1
"now lords and ladies blithe and bold,
to bless you here now am i bound:
i thank you all a thousand-fold,
and pray god save you whole and sound;
wherever you go on grass or ground,
may he you guide that nought you grieve,
for friendship that i here have found
against my will i take my leave.
for friendship and for favours good,
for meat and drink you heaped on me,
the lord that raised was on the rood
now keep you comely company.
on sea or land where’er you be,
may he you guide that nought you grieve.
such fair delight you laid on me
against my will i take my leave.
against my will although i wend,
i may not always tarry here;
for everything must have and end,
and even friends must part, i fear;
be we beloved however dear
out of this world death will us reave,
and when we brought are to our bier
against our will we take our leave.
now good day to you, goodmen all,
and good day to you, young and old,
and good day to you, great and small,
and gramercy a thousand-fold!
if ought there were that dear ye hold,
full fain i would the deed achieve –
now christ you keep from sorrows cold
for now at last i take my leave.","seigneurs et dames, allègres et admirables,
recevez à présent ma bénédiction :
soyez tous remerciés mille fois,
et dieu vous garde sains et saufs ;
que vos pas mènent sur l’herbe douce ou le sol dur,
qu’il vous guide afin que rien ne vous afflige,
puisque ici j’ai trouvé l’amitié
je prends congé contre mon gré.
vous m’avez tant couvert d’affection et de faveurs,
tant pourvu en vivres et en boisson,
puisse notre seigneur qui fut cloué sur la croix
vous tenir une délicate compagnie.
que vous soyez sur terre ou sur mer,
qu’il vous guide afin que rien ne vous afflige.
puisque vous m’avez apporté tant de plaisir
je prends congé contre mon gré.
quand bien même je m’en vais malgré moi,
je ne pourrais demeurer ici pour toujours ;
car toutes choses doivent finir,
et même les amis se séparer, je le crains ;
quelle que soit la force de nos liens
la mort nous arrachera à ce monde,
et lorsque nous serons mis en bière
nous prendrons congé contre notre gré.
à présent, salut à vous, tous gens de bien,
salut à vous, jeunes et vieux,
salut à vous, petits et grands,
et mille fois grand merci !
si quelque dessein vous tenait à cœur,
je l’accomplirais bien volontiers –
à présent, christ vous garde des peines cruelles,
car enfin je prends congé.",en_XX,fr_XX,"Maintenant seigneurs et dames joyeux et audacieux,
Pour vous bénir je suis ici lié :
Je vous remercie tous mille fois,
Et je prie Dieu de vous sauvegarder sains et saufs ;
Où que vous alliez sur herbe ou sol,
Que celui qui vous guide vous évite la peine,
Pour l'amitié que j'ai ici trouvée
Contre ma volonté je prends congé.

Pour l'amitié et pour les bonnes faveurs,
Pour la nourriture et la boisson que vous avez accumulées pour moi,
Le Seigneur qui a souffert sur la croix
Maintenant garde votre compagnie.

Sur mer ou terre où que vous soyez,
Que celui qui vous guide vous évite la peine.
Un tel plaisir que vous avez mis en moi
Contre ma volonté je prends congé.

Malgré ma volonté je dois partir,
Je ne puis toujours demeurer ici ;
Car tout doit avoir une fin,
Et même les amis doivent se séparer, je le crains ;
Quoi qu'il en soit, nous aimons-nous très chers
La mort du monde nous délivrera,
Et lorsque nous serons portés à notre cercueil
Contre notre volonté nous prendrons congé.

Maintenant bonjour à vous tous, braves gens,
Et bonjour à vous, jeunes et vieux,
Et bonjour à vous, grands et petits,
Et merci bien mille fois !
S'il y avait quelque chose que vous tenez chère,
De bon cœur j'aimerais accomplir l'œuvre –
Maintenant que Christ vous garde des tristesses froides
Car maintenant enfin je prends congé.",2
"now lords and ladies blithe and bold,
to bless you here now am i bound:
i thank you all a thousand-fold,
and pray god save you whole and sound;
wherever you go on grass or ground,
may he you guide that nought you grieve,
for friendship that i here have found
against my will i take my leave.
for friendship and for favours good,
for meat and drink you heaped on me,
the lord that raised was on the rood
now keep you comely company.
on sea or land where’er you be,
may he you guide that nought you grieve.
such fair delight you laid on me
against my will i take my leave.
against my will although i wend,
i may not always tarry here;
for everything must have and end,
and even friends must part, i fear;
be we beloved however dear
out of this world death will us reave,
and when we brought are to our bier
against our will we take our leave.
now good day to you, goodmen all,
and good day to you, young and old,
and good day to you, great and small,
and gramercy a thousand-fold!
if ought there were that dear ye hold,
full fain i would the deed achieve –
now christ you keep from sorrows cold
for now at last i take my leave.","gentes dames et gais seigneurs,
que votre bonté soit bénie :
mille fois merci, de bon cœur,
et dieu vous prête longue vie,
vous guide sur roche ou prairie,
et vous garde d’être affligés ;
ici n’ayant qu’âmes amies,
contre mon gré, je prends congé.
vous m’avez tant traité en roi,
tant servi en viande et en vin,
christ qui fut cloué sur la croix
vous soit un gracieux soutien,
et quelque soit votre chemin,
qu’il vous garde d’être affligés ;
car vous m’avez comblé de biens,
contre mon gré, je prends congé.
il me faut cependant partir,
je ne puis rester sur ces terres ;
car toute chose doit finir,
jusqu’aux amitiés les plus chères ;
quoi que l’amour en nous espère
la mort viendra nous déloger ;
quand donc nous serons mis en bière
à contre-gré, prenons congé.
salutations, ô bonnes gens,
salutations, hivers, verdeurs,
salutations, petits et grands,
mille mercis pour tant d’ardeur !
mais qu’un dessein vous tienne à cœur,
je reviendrai sans déroger –
christ vous préserve du malheur,
car à présent, je prends congé.",en_XX,fr_XX,"Maintenant, seigneurs et dames, joyeux et audacieux,
Pour vous bénir, je suis ici lié :
Je vous remercie tous mille fois,
Et je prie Dieu de vous sauver en bonne santé ;
Où que vous alliez, sur l'herbe ou sur le sol,
Que celui qui vous guide ne vous cause pas de peine,
Pour l'amitié que j'ai ici trouvée,
Contre ma volonté, je prends congé.

Pour l'amitié et pour les bons faveurs,
Pour la nourriture et la boisson que vous avez accumulées pour moi,
Que le Seigneur qui a été élevé sur la croix
Maintienne maintenant votre compagnie agréable.
Sur mer ou sur terre, où que vous soyez,
Que celui qui vous guide ne vous cause pas de peine.
Telle joie si belle que vous m'avez accordée
Contre ma volonté, je prends congé.

Malgré mon départ, je le fais contre ma volonté,
Car tout doit avoir une fin,
Et même les amis doivent se séparer, je le crains ;
Quoi qu'il en soit, la mort nous arrachera de ce monde,
Et lorsque nous serons amenés à notre lit de mort
Contre notre volonté, nous prendrons congé.

Maintenant, bonjour à vous tous, braves gens,
Et bonjour à vous, jeunes et vieux,
Et bonjour à vous, grands et petits,
Et merci mille fois !
S'il y avait quelque chose de cher que vous tenez,
Je serais ravi de réaliser l'acte –
Maintenant, que le Christ vous garde des douleurs
Car maintenant enfin, je prends congé.",2
