original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"now morning from her orient chamber came,
and her first footsteps touch'd a verdant hill;
crowning its lawny crest with amber flame,
silv'ring the untainted gushes of its rill;
which, pure from mossy beds, did down distill,
and after parting beds of simple flowers,
by many streams a little lake did fill,
which round its marge reflected woven bowers,
and, in its middle space, a sky that never lowers.","maintenant le matin émergeant de son oriental séjour,
dès ses premiers pas rencontra une verdoyante colline;
il couronna de flammes ambrées sa crête dénudée,
puis argenta les limpides cascatelles de son ruisseau;
oui, jaillissant pur de sa source moussue, suintait goutte à goutte,
et après un adieu à son lit de fleurs des champs,
divisé en maints ruisselets, formait un petit lac;
celui-ci, le long de ses rives, reflétait des berceaux de ramures entrelacées,
et dans l'espace central, un ciel qui jamais ne s'abaisse.",en_XX,fr_XX,"maintenant la matinée de sa chambre orientale sortit,
et ses premiers pas touchèrent un vert sommet;
couronnant son sommet herbeux de flamme d'or,
argenty les sources immaculées de son ruisseau;
qui, pure des lits moussus, en bas s'écouilla,
et après avoir quitté des lits de simples fleurs,
par de nombreux cours d'eau un petit lac fut rempli,
qui autour de son pourtour refléta des bosquets entrelacés,
et, en son espace central, un ciel qui jamais ne s'assombrit.",2
"and all around it dipp'd luxuriously
slopings of verdure through the glossy tide,
which, as it were in gentle amity,
rippled delighted up the flowery side;
as if to glean the ruddy tears, it tried,
which fell profusely from the rose-tree stem!
haply it was the workings of its pride,
in strife to throw upon the shore a gem
outviewing all the buds in flora's diadem.","tout autour, le lac baignait luxurieusement
des pentes de verdure à travers ses vagues miroitantes,
qui, ainsi qu'en une gentille amitié
se ridaient avec délices sur le bord fleuri,
comme si elles s'efforçaient de recueillir les rougeoyantes larmes
qui tombaient en profusion des tiges de rosiers!
peut-être était-ce l'œuvre de son orgueil
luttant pour jeter sur la grève un joyau
qui surpassât tous les bourgeons sertis dans le diadème de flora.",en_XX,fr_XX,"et tout autour, luxueusement plongé,
des penteurs de verdure dans la flot scintillante,
qui, comme en douce amitié, caressait
les bords fleuris, ravi, en ondulant.
Comme pour recueillir les larmes rouges, il a essayé,
qui tombaient abondamment du tige de la rose !
peut-être était-ce l'orgueil de sa part,
en compétition pour jeter sur le rivage une gemme
dépassant toutes les boutons dans le diadème de la flore.",2
"a clock stopped — not the mantel’s geneva’s farthest skill can’t put the puppet bowing that just now dangled still. an awe came on the trinket! the figures hunched with pain, then quivered out of decimals into degreeless noon. it will not stir for doctors, this pendulum of snow; the shopman importunes it, while cool, concernless no nods from the gilded pointers, nods from seconds slim, decades of arrogance between the dial life and him.","une horloge s’est arrêtée, pas celle de la cheminée. la compétence la plus lointaine de genève ne peut faire plier la marionnette qui, à l’instant, se balançait encore. une crainte s’est emparée du bibelot ! les figures se courbèrent de douleur, puis s’éloignèrent des décimales dans un midi sans lumière. il ne bougera pas pour les médecins, ce pendule de neige ; le commerçant l’importune, alors que le froid, l’insouciant non hoche la tête des pointeurs dorés, les hochements de tête des secondes minces, des décennies d’arrogance entre la vie du cadran et lui.",en_XX,fr_XX,"Une horloge s'arrête — pas celle du manteau, la plus lointaine habileté de Genève ne peut ranimer ce pantin qui fléchissait encore il y a peu. Une stupeur s'empare de l'objet! Les figures se courbent de douleur, puis elles tressaillent hors des décimales, vers une midi dépourvue de degrés. Elle ne bougera pas pour les médecins, ce pendule de neige; le commerçant la supplie, tandis que les aiguilles dorées hochent avec indifférence, des hennissements des secondes, des décennies d'arrogance entre la vie du cadran et lui.",2
"who hath not seen thee oft amid thy store?
sometimes whoever seeks abroad may find
thee sitting careless on a granary floor,
thy hair soft-lifted by the winnowing wind;
or on a half-reap'd furrow sound asleep,
drows'd with the fume of poppies, while thy hook
spares the next swath and all its twined flowers:
and sometimes like a gleaner thou dost keep
steady thy laden head across a brook;
or by a cyder-press, with patient look,
thou watchest the last oozings hours by hours.","qui ne t'a pas vue souvent parmi tes récoltes?
parfois qui cherche au dehors peut te trouver
assise nonchalamment sur le plancher d'un grenier,
les cheveux mollement soulevés par le souffle du van:
ou sur un sillon à moitié moissonné profondément assoupie,
engourdie par l'exhalaison des pavots, tandis que ta faucille,
epargne l'andain le plus proche et, toutes ses fleurs entrelacées:
et parfois, comme une glaneuse tu restes
la tête chargée, bien droite, en franchissant un ruisseau;
ou près d'un pressoir à cidre, d'un patient regard
tu surveilles les dernières cuvées, heure par heure.",en_XX,fr_XX,"qui n'a pas vu souvent au milieu de tes granges ?
parfois, celui qui cherche à l'extérieur peut trouver
toi, assise négligemment sur un sol de grenier,
tes cheveux doucement soulevés par le vent qui trie ;
ou dans une sillonnée à moitié fauchée, profondément endormie,
assoupie par la fumée des pavots, tandis que ton faucille
épargne la prochaine rangée et toutes ses fleurs entrelacées :
et parfois comme une glaneuse tu gardes
ta tête chargée stable au-dessus d'une rivière ;
ou près d'une presse à cidre, avec un regard patient,
tu surveilles les dernières gouttes, heure après heure.",2
"yet were these florentines as self-retired
in hungry pride and gainful cowardice, 130
as two close hebrews in that land inspired,
paled in and vineyarded from beggar-spies,
the hawks of ship-mast forests - the untired
and pannier’d mules for ducats and old lies -
quick cat’s-paws on the generous stray-away, -
great wits in spanish, tuscan, and malay.","cependant ces deux florentins s'étaient emmurés
dans leur orgueil dévorant et leur couardise rapace
autant que deux juifs côte à côte dans la terre sainte.
barricadés comme dans un enclos contre les regards épieurs des mendiants;
oiseaux de proie des forêts fournisseuses de mâts—mules infatigables
et bâtées, colportant ducats et vieux mensonges—
aux griffes agiles, s'abattant sur les passants sans défiance,—
on les admirait en espagne, en toscane, en malaisie.",en_XX,fr_XX,"Pourtant ces florentins étaient autant repliés sur eux-mêmes,
dans une fierté avide et une lâcheté lucrative, 130
comme deux Juifs proches dans ce pays inspiré,
pâlis et viticulés loin des yeux des mendiants,
les faucons des forêts de mâts de navires - sans relâche,
et mules bardées pour ducats et vieilles ruses -
des griffes rapides sur la générosité égarée, -
de grands esprits en espagnol, toscan, et malais.",2
"how was it these same ledger-men could spy
fair isabella in her downy nest?
how could they find out in lorenzo’s eye
a straying from his toil? hot egypt’s pest
into their vision covetous and sly!
how could these money-bags see east and west? -
yet so they did - and every dealer fair
must see behind, as doth the hunted hare.","comment se fit-il que ces mêmes teneurs de livres purent épier
la gracieuse isabelle dans sa couche duvetée?
comment purent-ils découvrir dans les yeux de lorenzo
un obstacle à son labeur? torride plaie d'egypte
dans leur horizon de cupidité et d'astuce!
comment purent ces sacs d'argent regarder à l'est et à l'ouest?
pourtant ils le firent—et tout bon joueur
doit regarder derrière lui, comme le lièvre chassé.",en_XX,fr_XX,"comment pouvait-il ces mêmes financiers
apercevoir belle isabelle dans son nid moelleux ?
comment pouvaient-ils déceler dans l'oeil de lorenzo
un écart par rapport à son labeur ? fléau de l'Égypte en colère
dans leur vision avide et rusée !
comment ces sacs à gnocchi pourraient-ils voir est et ouest ?
- pourtant ils le firent - et tout marchand honnête
doit voir à travers, comme le lièvre poursuivi.",2
"saying moreover, «isabel, my sweet!
«red whortle-berries droop above my head,
«and a large flint-stone weighs upon my feet;
«around me beeches and high chestnuts shed
«their leaves and prickly nuts; a sheep-fold bleat
«comes from beyond the river to my bed:
«go, shed one tear upon my heather-bloom,
«and it shall comfort me within the tomb.","ajoutant: «isabelle! ma bien-aimée!
de rouges airelles s'inclinent sur ma tête,
et une énorme pierre pèse sur mes pieds;
autour de moi les hêtres et les châtaigners élevés répandent
leurs feuilles et leurs coques hérissées de piquants; le bêlement des brebis
arrive d'au delà du fleuve jusqu'à mon lit.
vas, répands une larme sur ma fougère en fleurs,
et cela me consolera au fond de mon tombeau.",en_XX,fr_XX,"disant encore : « Isabel, ma douce !

« des airelles rouges pendent au-dessus de ma tête,
« et un gros caillou de silex pèse sur mes pieds ;
« autour de moi, hêtres et châtaigniers élevés
« éparpillent leurs feuilles et leurs glands piquants ;
« un bêlement de bergerie vient de l'autre côté de la rivière
« pour me faire compagnie dans mon lit de repos :
« va, verse une larme sur ma bruyère,
« et cela me portera consolation au sein du tombeau.",2
"see, as they creep along the river side,
how she doth whisper to that aged dame,
and, after looking round the champaign wide,
shows her a knife. - «what feverous hectic flame
«burns in thee, child? - what good can thee betide,
«that thou should’st smile again?» - the evening came,
and they had found lorenzo’s earthy bed;
the flint was there, the berries at his head.","voyez comme elles se glissent le long de la rivière,
comme elle chuchotte bas avec la vieille femme,
et après avoir parcouru du regard la vaste plaine,
comme elle lui montre le poignard: «quelle fièvre hectique, quelle flamme
te consume, enfant?—quel bonheur peut-il t'advenir,
que tu souries encore?» le soir tomba
et elles avaient découvert la couche terrestre de lorenzo;
la pierre était là, les airelles se penchaient sur sa tête.",en_XX,fr_XX,"Voyez, comment ils rampent le long du cours d'eau,
comment elle chuchote à cette vieille dame,
et, après avoir regardé tout autour du plateau,
elle lui montre un couteau. - «Quelle fièvre dévorante
«brûle en toi, enfant ? - quel bien peut-il t'arriver,
«que tu souries à nouveau ?» - Le soir venu,
ils avaient trouvé le lit terrestre de lorenzo ;
la pierre à feu était là, les baies à sa tête.",2
"she gaz’d into the fresh-thrown mould, as though
one glance did fully all its secrets tell;
clearly she saw, as other eyes would know
pale limbs at bottom of a crystal well;
upon the murderous spot she seem’d to grow,
like to a native lily of the dell:
then with her knife, all sudden, she began
to dig more fervently than misers can.","ses regards sondaient la terre fraîchement remuée, comme si
un simple coup d'œil pouvait surprendre tous ses secrets:
distinctement elle vit, comme d'autres auraient reconnu
des membres livides au fond d'une source de cristal;
sur le lieu du meurtre elle semblait prendre racine,
tel un lis né dans le vallon:
alors, avec un poignard, soudain, elle commença
a creuser avec plus d'ardeur que les avares ne le peuvent.",en_XX,fr_XX,"elle regardait le moule fraîchement jeté, comme
un seul regard tout son secret révélait;
clairement elle voyait, comme d'autres le sauraient,
des membres pâles au fond d'une source cristalline;
sur le lieu meurtrier elle semblait croître,
comme une lys native du pré clos:
alors avec son couteau, tout à coup, elle commença
à creuser plus ardemment que les avares ne le peuvent.",2
"that old nurse stood beside her wondering,
until her heart felt pity to the core
at sight of such a dismal labouring,
and so she kneeled, with her locks all hoar,
and put her lean hands to the horrid thing:
three hours they labour’d at this travail sore;
at last they felt the kernel of the grave,
and isabella did not stamp and rave.","la vieille nourrice se tenait à côté d'elle, étonnée,
jusqu'à ce qu'elle se sentît le cœur ému de pitié
a la vue d'un si pénible labeur,
alors elle s'agenouilla aussi, malgré ses mèches blanches
et prêta ses mains décharnées à cette horrible besogne;
trois heures elles peinèrent sur ce douloureux travail;
enfin elles touchèrent le fond de la fosse
sans qu'isabelle perdît son calme ni son sang froid.",en_XX,fr_XX,"Cette vieille nourrice se tenait à côté d'elle, perplexe,
jusqu'à ce que son cœur sente la pitié au cœur
à la vue d'un si pénible labeur,
alors elle s'agenouilla, ses cheveux déjà en déroute,
et posa ses mains maigres sur cette horreur :
trois heures ils travaillèrent à cette douleur atroce ;
enfin ils sentirent le noyau de la tombe,
et Isabella ne se débatta pas et ne râle pas.",2
