original_poem,translated_poem,src_lang,tgt_lang,topic
"sweet are the pleasures that to verse belong,
and doubly sweet a brotherhood in song;
nor can remembrance, mathew! bring to view
a fate more pleasing, a delight more true
than that in which the brother poets joy’d,
who with combined powers, their wit employ’d
to raise a trophy to the drama’s muses.
the thought of this great partnership diffuses
over the genius loving heart, a feeling
of all that’s high, and great, and good, and healing.","douces sont les joies que procure la poésie,
et doublement douces quand elle chante une fraternité;
aucun souvenir, matthew, ne peut évoquer à nos yeux
un destin plus plaisant, une jouissance plus vraie
que celui dans lesquels s'ébattent deux poètes frères,
qui, en combinant leurs inspirations, emploient leur talent
a élever un trophée aux muses du drame.
la pensée de cette grande association infuse
dans le cœur aimant du génie, la divination
de tout ce qui est haut, grand, bon et calmant.",en_XX,fr_XX,2
"save it for me, sweet love! though music breathe
voluptuous visions into the warm air,
though swimming through the dance’s dangerous wreath,
be like an april day,
smiling and cold and gay,
a temperate lily, temperate as fair;
then, heaven! there will be
a warmer june for me.","conserve-les pour moi, doux amour! quoique la musique souffle
de voluptueuses visions dans l'atmosphère embrasée,
lorsque tu tourbillonnes au milieu des dangereux festons de la danse;
sois comme un jour d'avril,
souriante, et froide, et gaie,
un lis tempéré, aussi tempéré que beau;
alors, ciel! il y aura
pour moi un juin plus ardent.",en_XX,fr_XX,2
"when they come back -- if blossoms do --
i always feel a doubt
if blossoms can be born again
when once the art is out --
when they begin, if robins do,
i always had a fear
i did not tell, it was their last experiment
last year,
when it is may, if may return,
has nobody a pang
lest on a face so beautiful
we might not look again?
if i am there -- one does not know
what party -- one may be
tomorrow, but if i am there
i take back all i say --","quand elles reviennent, si les fleurs reviennent
je ressens toujours un doute
que les fleurs puissent renaître
quand leur beauté est finie
quand ils commencent, si les merles commencent
j'ai toujours eu une crainte
je n'ai pas dit que c'était leur dernier
essai l'an dernier
quand c'est le mois de mai, si mai revient
personne n'a une crainte
qu'un visage si beau
nous ne puissions le revoir.
si je suis là, on ne sait pas
en quelle compagnie, on peut être
demain, mais si je suis là
je retire tout ce que j'ai dit.",en_XX,fr_XX,2
"my heart aches, and a drowsy numbness pains
my sense, as though of hemlock i had drunk,
or emptied some dull opiate to the drains
one minute past, and lethe-wards had sunk:
'tis not through envy of thy happy lot,
but being too happy in thine happiness,—
that thou, light-winged dryad of the trees
in some melodious plot
of beechen green, and shadows numberless,
singest of summer in full-throated ease.","mon cœur souffre, une torpeur accablante s'empare
de mes sens comme si j'avais bu de la ciguë,
ou vidé une coupe de puissant narcotique
a l'instant même et m'étais plongé dans le léthé:
ce n'est pas par envie de ton heureux destin,
mais parce que je suis enivré de ton bonheur,—
toi, qui, dryade ailée des arbres,
dans quelque mélodieux entrelacs
de hêtres verts et d'ombrages infinis
chantes à plein gosier le calme de l'été.",en_XX,fr_XX,2
"heard melodies are sweet, but those unheard
are sweeter; therefore, ye soft pipes, play on;
not to the sensual ear, but, more endear'd,
pipe to the spirit ditties of no tone:
fair youth, beneath the trees, thou canst not leave
thy song, nor ever can those trees be bare;
bold lover, never, never canst thou kiss,
though winning near the goal yet, do not grieve;
she cannot fade, though thou hast not thy bliss,
for ever wilt thou love, and she be fair!","les mélodies entendues sont douces, mais celles qu'on n'entend pas
sont plus douces encore; donc, suaves pipeaux, continuez de jouer:
non pour l'oreille sensuelle, mais des ballades plus chéries,
des ballades pour l'esprit, sans sonorités!
bel éphèbe, sous ces arbres, tu ne peux quitter
ta chanson, pas plus que les arbres ne quittent leurs feuilles;
audacieux amoureux, jamais, jamais tu n'obtiens les baisers,
quoique tu sois proche du but—cependant, ne te chagrine pas;
elle ne peut se flétrir, quoique tu n'atteignes pas ton bonheur,
a jamais tu aimeras, et elle sera belle!",en_XX,fr_XX,2
"ah, happy, happy boughs! that cannot shed
your leaves, nor ever bid the spring adieu;
and, happy melodist, unwearied,
for ever piping songs for ever new;
more happy love! more happy, happy love!
for ever warm and still to be enjoy'd,
for ever panting, and for ever young;
all breathing human passion far above,
that leaves a heart high-sorrowful and cloy'd,
a burning forehead, and a parching tongue.","ah! heureux, heureux rameaux! qui ne pouvez perdre
vos feuillages, ni jamais dire au printemps adieu;
et toi, heureux mélodiste, jamais lassé,
modulant à jamais des chants qui ne vieillissent jamais;
plus heureux amour, plus heureux, heureux amour!
que l'on peut goûter sans cesse, à jamais chaud,
a jamais haletant, à jamais jeune;
soupirant bien au-dessus de toute passion humaine,
qui laisse le cœur repu et plein d'amertume,
le front brûlant et la langue desséchée.",en_XX,fr_XX,2
"«love! thou art leading me from wintry cold,
«lady! thou leadest me to summer clime,
«and i must taste the blossoms that unfold
«in its ripe warmth this gracious morning time.»
so said, his erewhile timid lips grew bold,
and poesied with hers in dewy rhyme:
great bliss was with them, and great happiness
grew, like a lusty flower in june’s caress.","«amour! tu me délivres de l'hiver glacial,
jeune fille! tu me mènes vers la chaleur de l'été,
il me faut donc goûter la floraison qui s'épanouit
dans la chaude maturité de ce gracieux matin.»
il dit, et ses lèvres timides tout à l'heure, s'enhardirent,
un baiser chanta poétiquement, humide de rosée:
une grande béatitude, une extase s'éleva en eux,
telle une fleur de volupté sous la caresse de juin.",en_XX,fr_XX,2
"parting they seem’d to tread upon the air,
twin roses by the zephyr blown apart
only to meet again more close, and share
the inward fragrance of each other’s heart.
she, to her chamber gone, a ditty fair
sang, of delicious love and honey’d dart;
he with light steps went up a western hill,
and bade the sun farewell, and joy’d his fill.","en se quittant, ils semblaient marcher dans les airs,
roses jumelles momentanément séparées par le zéphir
pour se retrouver plus unies et partager
le ravissement parfumé de leur deux cœurs.
elle, rentrée dans sa chambre entonna un hymne
a la gloire du délicieux amour et de sa flèche aussi douce que le miel;
lui, allègrement gravit la colline vers le couchant,
et salua le soleil d'un adieu, le cœur comblé de joie.",en_XX,fr_XX,2
"and so she ever fed it with thin tears,
whence thick, and green, and beautiful it grew,
so that it smelt more balmy than its peers
of basil-tufts in florence; for it drew
nurture besides, and life, from human fears,
from the fast mouldering head there shut from view:
so that the jewel, safely casketed,
came forth, and in perfumed leafits spread.","ainsi elle le nourrit sans trêve de ses larmes amères,
qui le rendirent gras, vert et florissant
au point que son baume surpassa celui de ses semblables
les autres touffes de basilics de florence; car il tirait,
en plus, sa nourriture et sa vie, d'un forfait humain,
de cette tête devenue pourriture cachée à tous les regards
au point que ce joyau, en sûreté dans son écrin,
prospéra au grand jour et s'épanouit en feuilles parfumées.",en_XX,fr_XX,2
"ah, happy lycius!—for she was a maid
more beautiful than ever twisted braid,
or sigh'd, or blush'd, or on spring-flowered lea
spread a green kirtle to the minstrelsy:
a virgin purest lipp'd, yet in the lore
of love deep learned to the red heart's core:
not one hour old, yet of sciential brain
to unperplex bliss from its neighbour pain;
define their pettish limits, and estrange
their points of contact, and swift counterchange;
intrigue with the specious chaos, and dispart
its most ambiguous atoms with sure art;
as though in cupid's college she had spent
sweet days a lovely graduate, still unshent,
and kept his rosy terms in idle languishment.","oui, heureux lycius! car c'était une fille plus belle
qu'aucune autre qui tordît jamais sa natte,
ou soupirât, ou rosît, ou sur une prairie aux fleurs printanières,
déployât, pour chanter, son manteau vert:
une vierge aux lèvres pures, et cependant, dans la science
de l'amour, très instruite jusqu'au fond de son cœur rouge[2]:
ayant à peine une heure d'existence, et cependant assez rouée
pour garantir le bonheur contre les chagrins toujours proches,
faire la part des moments d'humeur, éloigner
les points de contact, rapidement échanger
une intrigue contre un chaos plausible, et séparer
ses atomes les plus ambigus avec un art sûr;
comme si elle avait, à l'école de cupidon, passé,
charmant étudiant, de délicieuses journées sans être jamais punie,
et conservé sa fraîcheur en un paresseux alanguissement.",en_XX,fr_XX,2
