original_poem,translated_poem,src_lang,tgt_lang,topic
"there was arthur unhurt beside me, and my wife come back again,
and surely that eve between us there was love though no lack of pain
as we talked all the matter over, and our hearts spake more than our lips;
and we said, we shall learn, we shall learn–yea, e’en from disasters and slips.","arthur indemne se trouvait à mes côtés, ma femme revint,
et bien sûr ce soir-là il y eut entre nous de l’amour, quoique non sans douleur
comme nous discutions de toute l’affaire à cœur ouvert, plutôt qu’avec nos lèvres ;
et nous déclarâmes : nous apprendrons, nous apprendrons — oui-da, même des désastres et des faux pas.",en_XX,fr_XX,1
"high-mindedness, a jealousy for good,
a loving-kindness for the great man's fame,
dwells here and there with people of no name,
in noisome alley, and in pathless wood:
and where we think the truth least understood,
oft may be found a singleness of aim,
that ought to frighten into hooded shame
a money-mongering, pitiable brood.
how glorious this affection for the cause
of steadfast genius, toiling gallantly!
what when a stout unbending champion awes
envy and malice to their native sty?
unnumbered souls breathe out a still applause,
proud to behold him in his country's eye.","hauteur d'esprit, jalousie pour tout ce qui est bien,
une ardente tendresse pour la renommée d'un grand homme,
habitent çà et là au milieu de cette foule sans nom,
dans la ruelle infecte, dans le bois inextricable;
et là où nous pensons que la vérité est la moins comprise,
très souvent nous trouvons la sincérité du but
qui devrait épouvanter jusqu'à se cacher de honte
une pitoyable engeance, affamée d'argent.
combien glorieuse est cette affection pour la cause
du génie inébranlable, peinant vaillamment!
qu'arrive-t-il lorsqu'un intrépide champion fait rentrer
l'envie et la malice dans leur taudis natal?
d'innombrables âmes font retentir de discrets applaudissements,
fières de le contempler dans les yeux de sa patrie.",en_XX,fr_XX,1
"i know it—and to know it is despair
to one who loves you as i love, sweet fanny,
whose heart goes fluttering for you every where,
nor when away you roam,
dare keep its wretched home:
love, love alone, has pains severe and many;
then, loveliest! keep me free
from torturing jealousy.","je le sais—et le savoir, c'est se désespérer
pour quelqu'un vous aimant comme je vous aime, douce fanny!
quelqu'un dont le cœur bat pour vous en tous lieux,
qui lorsque vous rôdez au loin
n'ose pas rester dans sa misérable demeure,
aimer, aimer seul, ses tristes, ses innombrables souffrances:
chérie entre toutes! evitez-moi
les tortures de la jalousie.",en_XX,fr_XX,1
"devouring time, blunt thou the lion’s paws, and make the earth devour her own sweet brood; pluck the keen teeth from the fierce tiger’s jaws, and burn the long-lived phoenix in her blood; make glad and sorry seasons as thou fleet’st, and do whate’er thou wilt, swift-footed time, to the wide world and all her fading sweets; but i forbid thee one most heinous crime: o! carve not with thy hours my love’s fair brow, nor draw no lines there with thine antique pen; him in thy course untainted do allow for beauty’s pattern to succeeding men. yet, do thy worst old time: despite thy wrong, my love shall in my verse ever live young.","temps dévorant, émousse les pattes du lion, et fais en sorte que la terre dévore sa douce progéniture ; arrache les dents acérées des mâchoires du tigre féroce, et brûle dans son sang le phénix à la longue vie ; fais des saisons joyeuses et tristes comme tu le souhaites, et fais tout ce que tu veux, le temps aux pieds rapides, au monde entier et à toutes ses douceurs fugitives ; mais je t’interdis un crime des plus odieux : o ! ne sculpte pas avec tes heures le beau front de mon amour, et ne trace pas de lignes avec ta plume antique ; laisse-le intact dans ton parcours comme modèle de beauté pour les hommes qui se succèdent. pourtant, fais ce que tu as à faire, vieux temps, malgré ton erreur, mon amour vivra toujours jeune dans mes vers.",en_XX,fr_XX,1
"as hermes once took to his feathers light,
when lulled argus, baffled, swoon’d and slept,
so on a delphic reed, my idle spright
so play’d, so charm’d, so conquer’d, so bereft
the dragon-world of all its hundred eyes;
and seeing it asleep, so fled away,
not to pure ida with its snow-cold skies,
nor unto tempe where jove griev’d that day;
but to that second circle of sad hell,
where in the gust, the whirlwind, and the flaw
of rain and hail-stones, lovers need not tell
their sorrows—pale were the sweet lips i saw,
pale were the lips i kiss’d, and fair the form
i floated with, about that melancholy storm.","de même qu'autrefois hermès emprunta la légèreté de ses plumes
lorsqu'il berçait argus déjoué, pâmé, endormi;
de même sur un chalumeau delphique mon esprit oisif
amusa, charma, conquit, priva
de ses cent yeux, le dragon monde;
et le voyant assoupi, s'envola de même—
non vers le mont ida, avec ses nuages chargés de neige,
non vers tempé où jupiter un jour se lamenta—
mais vers ce second cercle du sombre enfer,
où parmi les rafales, les tourbillons et les averses
de pluie et de grêle, les amoureux n'ont pas besoin de dire
leurs tourments. pâles étaient les douces lèvres que je vis,
pâles les lèvres que je baisai, et enchanteresse la forme
que j'étreignis en flottant au milieu de cette lugubre tempête.",en_XX,fr_XX,1
"i cry your mercy—pity—love! aye, love!
merciful love that tantalizes not,
one-thoughted, never-wandering, guileless love,
unmasked, and being seen—without a blot!
o! let me have thee whole,—all—all—be mine!
that shape, that fairness, that sweet minor zest
of love, your kiss,—those hands, those eyes divine,
that warm, white, lucent, million-pleasured breast,—
yourself—your soul—in pity give me all,
withhold no atom’s atom or i die,
or living on perhaps, your wretched thrall,
forget, in the mist of idle misery,
life’s purposes,—the palate of my mind
losing its gust, and my ambition blind!","j'implore votre merci—pitié—amour!—oui, l'amour!
l'amour miséricordieux qui n'excite pas les désirs,
qui n'a qu'une pensée, ne vagabonde jamais, l'amour sincère,
sans masque, et quand il se montre—sans aucune tache!
oh! que tout cela soit à moi,—tout—soit mien!
cette forme, cette beauté, cette douce, cette légère marque
d'amour, votre baiser,—ces mains, ces yeux divins.
ce sein brûlant, éclatant de blancheur, prometteur de mille plaisirs,—
vous même—votre âme—par pitié donnez-moi tout.
ne me refusez pas un atome d'atome, ou je meurs,
ou, si je vis, peut-être, votre esclave infortuné
oubliera, plongé dans une langoureuse détresse,
le but de son existence—le palais de mon esprit
perdant son goût, et mon ambition aveugle!",en_XX,fr_XX,1
"he knew whose gentle hand was at the latch,
before the door had given her to his eyes;
and from her chamber-window he would catch
her beauty farther than the falcon spies;
and constant as her vespers would he watch,
because her face was turn’d to the same skies;
and with sick longing all the night outwear,
to hear her morning-step upon the stair.","il devinait quelle gentille main tournait le loquet,
avant que la porte ouverte ne la découvrît à ses yeux;
a travers la fenêtre de sa chambre il surprenait sa beauté
d'un regard plus perçant que celui du faucon;
régulièrement il la guettait aux vêpres,
sachant que ses yeux étaient levés vers les mêmes cieux;
il passait toute la nuit dans une attente enfiévrée,
pour entendre sur l'escalier son pas matinal.",en_XX,fr_XX,1
"until sweet isabella’s untouch’d cheek
fell sick within the rose’s just domain,
fell thin as a young mother’s, who doth seek
by every lull to cool her infant’s pain:
«how ill she is,» said he, «i may not speak,
«and yet i will, and tell my love all plain:
«if looks speak love-laws, i will drink her tears,
«and at the least ’twill startle off her cares.»","si bien que les joues de la charmante isabelle privées de baisers
pâlirent tout comme le feraient les roses;
devinrent aussi maigres que celles d'une jeune mère, qui cherche
par quelque chant berceur à calmer la douleur de son enfant:
«comme elle souffre» se dit-il, «je ne peux parler,
et cependant je le veux, je lui déclarerai tout mon amour:
si ses yeux expriment qu'il l'a vaincue, je boirai ses larmes,
et du moins ses tourments cesseront.»",en_XX,fr_XX,1
"how was it these same ledger-men could spy
fair isabella in her downy nest?
how could they find out in lorenzo’s eye
a straying from his toil? hot egypt’s pest
into their vision covetous and sly!
how could these money-bags see east and west? -
yet so they did - and every dealer fair
must see behind, as doth the hunted hare.","comment se fit-il que ces mêmes teneurs de livres purent épier
la gracieuse isabelle dans sa couche duvetée?
comment purent-ils découvrir dans les yeux de lorenzo
un obstacle à son labeur? torride plaie d'egypte
dans leur horizon de cupidité et d'astuce!
comment purent ces sacs d'argent regarder à l'est et à l'ouest?
pourtant ils le firent—et tout bon joueur
doit regarder derrière lui, comme le lièvre chassé.",en_XX,fr_XX,1
"so on a pleasant morning, as he leant
into the sun-rise, o’er the balustrade
of the garden-terrace, towards him they bent
their footing through the dews; and to him said,
«you seem there in the quiet of content,
«lorenzo, and we are most loth to invade
«calm speculation; but if you are wise,
«bestride your steed while cold is in the skies.","ainsi, par une riante matinée, comme il se penchait
au lever du soleil, par dessus la balustrade
de la terrasse du jardin, vers lui ils dirigèrent
leurs pas à travers la rosée; et lui dirent:
«vous semblez heureux et satisfait ici,
lorenzo, et nous sommes désolés de troubler
votre paisible méditation; mais si vous êtes sage,
enfourchez votre coursier pendant qu'il fait encore frais.",en_XX,fr_XX,1
"«love, isabel!» said he, «i was in pain
«lest i should miss to bid thee a good morrow:
«ah! what if i should lose thee, when so fain
«i am to stifle all the heavy sorrow
«of a poor three hours’ absence? but we’ll gain
«out of the amorous dark what day doth borrow.
«good bye! i’ll soon be back.» - «good bye!» said she: -
and as he went she chanted merrily.","«mon amour, isabelle», dit-il, «je craignais
de ne pouvoir t'adresser un tendre adieu:
ah! si j'allais te perdre, pendant que contraint
je suis d'étouffer mon pesant chagrin
d'être séparé de toi trois tristes heures? mais nous regagnerons
dans l'amoureuse obscurité ce que le jour nous fait perdre.
adieu! je serai bientôt de retour». «adieu», dit-elle:
et comme il s'éloignait, elle chantait heureuse.",en_XX,fr_XX,1
"but selfishness, love’s cousin, held not long
its fiery vigil in her single breast;
she fretted for the golden hour, and hung
upon the time with feverish unrest -
not long - for soon into her heart a throng
of higher occupants, a richer zest,
came tragic; passion not to be subdued,
and sorrow for her love in travels rude.","mais l'égoïsme, cousin de l'amour, n'imposa pas longtemps
sa brûlante insomnie en son sein seulement;
elle se consuma dans l'attente de l'heure fortunée et compta
les instants fièvreusement, haletante, sans relâche—
pas longtemps—car bientôt sur son cœur une infinité
de tourments plus nobles, une douleur plus aiguë
s'abattit tragiquement; passion insurmontable,
et cruelle inquiétude pour les voyages de son amant.",en_XX,fr_XX,1
"its eyes, though wild, were still all dewy bright
with love, and kept all phantom fear aloof
from the poor girl by magic of their light,
the while it did unthread the horrid woof
of the late darken’d time, - the murderous spite
of pride and avarice, - the dark pine roof
in the forest, - and the sodden turfed dell,
where, without any word, from stabs he fell.","ses yeux, quoique farouches, cependant tout brillants d'humidité
et d'amour, éloignaient toute l'épouvante que cause un revenant
a une malheureuse fille, tant leur lueur était magique.
pendant qu'il détissa l'horrible trame
des lugubres derniers jours,—la haine homicide
de l'orgueil et de l'avarice—le funèbre toit de pins
sur la forêt—et le vallon au frais gazon,
où, sans un mot, il tomba mortellement frappé.",en_XX,fr_XX,1
"with duller steel than the persèan sword
they cut away no formless monster’s head,
but one, whose gentleness did well accord
with death, as life. the ancient harps have said,
love never dies, but lives, immortal lord:
if love impersonate was ever dead,
pale isabella kiss’d it, and low moan’d.
’twas love; cold, - dead indeed, but not dethroned.","d'un stylet plus émoussé que le glaive de persée
elles tranchèrent, non la tête d'un monstre informe,
mais une tête, dont la beauté s'harmonisait merveilleusement
avec la mort comme avec la vie. les anciens bardes ont dit:
l'amour ne meurt jamais, mais vit, dieu immortel:
si l'amour personnifié est jamais mort,
isabelle l'embrassa et gémit à voix basse.
c'était l'amour; froid—mort, c'est vrai; mais toujours dieu.",en_XX,fr_XX,1
"a third time pass’d they by, and, passing, turn’d
each one the face a moment whiles to me;
then faded, and to follow them i burn’d
and ached for wings, because i knew the three;
the first was a fair maid, and love her name;
the second was ambition, pale of cheek,
and ever watchful with fatiguèd eye;
the last, whom i love more, the more of blame
is heap’d upon her, maiden most unmeek,—
i knew to be my demon poesy.","une troisième fois encore elles passèrent, et en passant, tournèrent
chacune leur face, l'espace d'un moment, vers moi;
puis elles disparurent; et pour les suivre, ardent
et haletant, je souhaitais des ailes parce que je reconnaissais les trois.
la première était une belle jeune fille, qui s'appelait l'amour;
la seconde était l'ambition, les joues pâles,
toujours aux aguets, les yeux caves.
la dernière, ma préférée, celle qui le plus de blâme
accumula sur sa tête, jeune fille sans pitié,
je la reconnus pour mon démon, c'était la poésie.",en_XX,fr_XX,1
"he ventures in: let no buzz'd whisper tell:
all eyes be muffled, or a hundred swords
will storm his heart, love's fev'rous citadel:
for him, those chambers held barbarian hordes,
hyena foemen, and hot-blooded lords,
whose very dogs would execrations howl
against his lineage: not one breast affords
him any mercy, in that mansion foul,
save one old beldame, weak in body and in soul.","il s'aventure dans l'intérieur, qu'aucun bourdonnement ne le dénonce:
que tous les yeux soient bandés, ou cent épées
assailliront son cœur, fiévreuse citadelle de l'amour:
pour lui, sont bondées ces salles de hordes barbares,
d'ennemis sanguinaires, de lords au sang bouillant,
dont les chiens hurleraient des exécrations
contre sa race: pas un cœur qui lui accorde
merci, dans cette demeure hostile,
sauf une vieille douairière, faible de corps et d'esprit.",en_XX,fr_XX,1
