original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, quand les voix tendres s’éteignent,
retentit dans la mémoire ;
les parfums, quand les douces violettes fanent,
vit encore dans les sensations qu’elles avivent.
les pétales de rose, quand la rose est morte,
sont amassés pour le lit de l’être aimé ;
ainsi donc l’image de toi, quand tu auras disparu,
sur quoi l’amour même reposera.",en_XX,fr_XX,"Quand les voix douces se taisent enfin,
La musique résonne en la mémoire sans fin ;
Les parfums, lorsque les violettes se fanent,
Dans les sens demeurent et leur douceur maintiennent.
Les feuilles de roses, quand la rose a trépassé,
Sont amassées pour le lit de l'être aimé ;
Ainsi, tes pensées, lorsque tu t'en iras,
L'amour lui-même dormira en paix, là-bas.",1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, quand les voix tendres s’éteignent,
retentit dans la mémoire ;
les parfums, quand les douces violettes fanent,
vit encore dans les sensations qu’elles avivent.
les pétales de rose, quand la rose est morte,
sont amassés pour le lit de l’être aimé ;
ainsi donc l’image de toi, quand tu auras disparu,
sur quoi l’amour même reposera.",en_XX,fr_XX,"Quand les voix douces se taisent enfin,
La musique résonne en la mémoire sans fin ;
Les parfums, lorsque les violettes se fanent,
Dans les sens demeurent et leur douceur maintiennent.
Les feuilles de roses, quand la rose a trépassé,
Sont amassées pour le lit de l'être aimé ;
Ainsi, tes pensées, lorsque tu t'en iras,
L'amour lui-même dormira en paix, là-bas.",1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, quand les voix tendres s’éteignent,
retentit dans la mémoire ;
les parfums, quand les douces violettes fanent,
vit encore dans les sensations qu’elles avivent.
les pétales de rose, quand la rose est morte,
sont amassés pour le lit de l’être aimé ;
ainsi donc l’image de toi, quand tu auras disparu,
sur quoi l’amour même reposera.",en_XX,fr_XX,"Quand les voix douces se taisent enfin,
La musique résonne en la mémoire sans fin ;
Les parfums, lorsque les violettes se fanent,
Dans les sens demeurent et leur douceur maintiennent.
Les feuilles de roses, quand la rose a trépassé,
Sont amassées pour le lit de l'être aimé ;
Ainsi, tes pensées, lorsque tu t'en iras,
L'amour lui-même dormira en paix, là-bas.",1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, quand les voix tendres s’éteignent,
retentit dans la mémoire ;
les parfums, quand les douces violettes fanent,
vit encore dans les sensations qu’elles avivent.
les pétales de rose, quand la rose est morte,
sont amassés pour le lit de l’être aimé ;
ainsi donc l’image de toi, quand tu auras disparu,
sur quoi l’amour même reposera.",en_XX,fr_XX,"Quand les voix douces se taisent enfin,
La musique résonne en la mémoire sans fin ;
Les parfums, lorsque les violettes se fanent,
Dans les sens demeurent et leur douceur maintiennent.
Les feuilles de roses, quand la rose a trépassé,
Sont amassées pour le lit de l'être aimé ;
Ainsi, tes pensées, lorsque tu t'en iras,
L'amour lui-même dormira en paix, là-bas.",1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, quand les voix tendres s’éteignent,
retentit dans la mémoire ;
les parfums, quand les douces violettes fanent,
vit encore dans les sensations qu’elles avivent.
les pétales de rose, quand la rose est morte,
sont amassés pour le lit de l’être aimé ;
ainsi donc l’image de toi, quand tu auras disparu,
sur quoi l’amour même reposera.",en_XX,fr_XX,"Quand les voix douces se taisent enfin,
La musique résonne en la mémoire sans fin ;
Les parfums, lorsque les violettes se fanent,
Dans les sens demeurent et leur douceur maintiennent.
Les feuilles de roses, quand la rose a trépassé,
Sont amassées pour le lit de l'être aimé ;
Ainsi, tes pensées, lorsque tu t'en iras,
L'amour lui-même dormira en paix, là-bas.",1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, alors que les voix douces meurent,
retentit dans la mémoire ;
les senteurs, alors que les violettes suaves s’altèrent,
vit encore dans les sens qu’elles exaltent.
les pétales de rose, alors que la rose est morte,
s’amoncellent pour la couche de l’être aimé ;
or donc cette impression de toi, au moment de ton départ,
sur quoi l’amour même trouvera le sommeil.",en_XX,fr_XX,"Quand les voix douces s'éteignent en silence,
La musique résonne dans la mémoire en révérence ;
Les parfums, quand les violettes s'effacent,
Résident dans les sens, toujours tenaces.
Les feuilles de roses, quand la rose se fane,
Sont entassées pour le lit de l'amant en peine ;
Ainsi, tes pensées, une fois disparu,
L'amour lui-même dormira, entendu.",1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, alors que les voix douces meurent,
retentit dans la mémoire ;
les senteurs, alors que les violettes suaves s’altèrent,
vit encore dans les sens qu’elles exaltent.
les pétales de rose, alors que la rose est morte,
s’amoncellent pour la couche de l’être aimé ;
or donc cette impression de toi, au moment de ton départ,
sur quoi l’amour même trouvera le sommeil.",en_XX,fr_XX,"Quand les voix douces s'éteignent en silence,
La musique résonne dans la mémoire en révérence ;
Les parfums, quand les violettes s'effacent,
Résident dans les sens, toujours tenaces.
Les feuilles de roses, quand la rose se fane,
Sont entassées pour le lit de l'amant en peine ;
Ainsi, tes pensées, une fois disparu,
L'amour lui-même dormira, entendu.",1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, alors que les voix douces meurent,
retentit dans la mémoire ;
les senteurs, alors que les violettes suaves s’altèrent,
vit encore dans les sens qu’elles exaltent.
les pétales de rose, alors que la rose est morte,
s’amoncellent pour la couche de l’être aimé ;
or donc cette impression de toi, au moment de ton départ,
sur quoi l’amour même trouvera le sommeil.",en_XX,fr_XX,"Quand les voix douces s'éteignent en silence,
La musique résonne dans la mémoire en révérence ;
Les parfums, quand les violettes s'effacent,
Résident dans les sens, toujours tenaces.
Les feuilles de roses, quand la rose se fane,
Sont entassées pour le lit de l'amant en peine ;
Ainsi, tes pensées, une fois disparu,
L'amour lui-même dormira, entendu.",1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, alors que les voix douces meurent,
retentit dans la mémoire ;
les senteurs, alors que les violettes suaves s’altèrent,
vit encore dans les sens qu’elles exaltent.
les pétales de rose, alors que la rose est morte,
s’amoncellent pour la couche de l’être aimé ;
or donc cette impression de toi, au moment de ton départ,
sur quoi l’amour même trouvera le sommeil.",en_XX,fr_XX,"Quand les voix douces s'éteignent en silence,
La musique résonne dans la mémoire en révérence ;
Les parfums, quand les violettes s'effacent,
Résident dans les sens, toujours tenaces.
Les feuilles de roses, quand la rose se fane,
Sont entassées pour le lit de l'amant en peine ;
Ainsi, tes pensées, une fois disparu,
L'amour lui-même dormira, entendu.",1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, alors que les voix douces meurent,
retentit dans la mémoire ;
les senteurs, alors que les violettes suaves s’altèrent,
vit encore dans les sens qu’elles exaltent.
les pétales de rose, alors que la rose est morte,
s’amoncellent pour la couche de l’être aimé ;
or donc cette impression de toi, au moment de ton départ,
sur quoi l’amour même trouvera le sommeil.",en_XX,fr_XX,"Quand les voix douces s'éteignent en silence,
La musique résonne dans la mémoire en révérence ;
Les parfums, quand les violettes s'effacent,
Résident dans les sens, toujours tenaces.
Les feuilles de roses, quand la rose se fane,
Sont entassées pour le lit de l'amant en peine ;
Ainsi, tes pensées, une fois disparu,
L'amour lui-même dormira, entendu.",1
