original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"which eye’s his eye?
which limb lies
next the mirror?
for neither is clearer
nor a different color
than the other,
nor meets a stranger
in this arrangement
of leg and leg and
arm and so on.
to his mind
it’s the indication
of a mirrored reflection
somewhere along the line
of what we call the spine.","qual olho é o dele?
qual membro é real
e qual está no espelho?
a cor é igual
à esquerda e à direita,
e ninguém suspeita
que esta ou aquela
perna, ou braço, seja
verdade ou impostura
nessa estranha estrutura.
a seu ver,
isso é prova garantida
de uma imagem refletida
ao longo desta linha
que chamamos de espinha.",en_XX,pt_XX,"Qual olho é o seu olho?
Qual membro repousa
ao lado do espelho?
Pois nenhum é mais claro
nem de cor diferente
do que o outro,
nem encontra um estranho
neste arranjo
de perna e perna e
braço e assim por diante.
Para sua mente
é a indicação
de um reflexo espelhado
em algum ponto
do que chamamos de espinha.",2.0
"he felt in modesty
his person was
half looking-glass,
for why should he
be doubled?
the glass must stretch
down his middle,
or rather down the edge.
but he’s in doubt
as to which side’s in or out
of the mirror.
there’s little margin for error,
but there’s no proof, either.
and if half his head’s reflected,
thought, he thinks, might be affected.","modesto, sentia
que sua pessoa
era metade espelho:
pois duplicar-se seria
um total destrambelho.
o vidro se prolonga
por sua mediana,
ou melhor, sua borda.
mas ele não sabe direito
o que está dentro ou fora
da imagem refletida.
não há muita margem de erro,
mas provar é impossível.
e se meio cérebro é reflexo
seu pensamento terá nexo?",en_XX,pt_XX,"Ele sentiu em modéstia
sua pessoa era
meio espelho,
por que ele deveria
ser duplicado?
O espelho deve se estender
pela metade,
ou melhor, pela borda.
mas ele está em dúvida
sobre qual lado está dentro ou fora
do espelho.
há pouco espaço para erro,
mas não há prova alguma.
e se metade de sua cabeça é refletida,
pensou, ele pensa, pode ser afetado.",2.0
"each night he must
be carried through artificial tunnels and dream recurrent dreams.
just as the ties recur beneath his train, these underlie
his rushing brain. he does not dare look out the window,
for the third rail, the unbroken draught of poison,
runs there beside him. he regards it as a disease
he has inherited the susceptibility to. he has to keep
his hands in his pockets, as others must wear mufflers.","toda noite ele é levado
por túneis artificiais, e sonha sonhos recorrentes
que lhe passam sob o sono como os dormentes
sob o trem. não ousa olhar pela janela, para não ver
o terceiro trilho, frasco intato de veneno,
a seu lado, como um mal a que ele é suscetível
por hereditariedade. tem de andar sempre
com as mãos nos bolsos, como quem usa um cachecol.",en_XX,pt_XX,"cada noite ele precisa
ser carregado por túneis artificiais e sonhar sonhos recorrentes.
assim como os trilhos recorrem sob seu trem, estes subjazem
sua mente apressada. ele não se atreve a olhar pela janela,
pois o terceiro trilho, o ininterrupto sopro de veneno,
corre ao lado dele. ele o considera uma doença
que herdou a suscetibilidade. ele tem que manter
suas mãos nos bolsos, como outros devem usar cachecóis.",2.0
"i dreamed that dead, and meditating,
i lay upon a grave, or bed,
(at least, some cold and close-built bower).
in the cold heart, its final thought
stood frozen, drawn immense and clear,
stiff and idle as i was there;
and we remained unchanged together
for a year, a minute, an hour.
suddenly there was a motion,
as startling, there, to every sense
as an explosion. then it dropped
to insistent, cautious creeping
in the region of the heart,
prodding me from desperate sleep.
i raised my head. a slight young weed
had pushed up through the heart and its
green head was nodding on the breast.
(all this was in the dark.)
it grew an inch like a blade of grass;
next, one leaf shot out of its side
a twisting, waving flag, and then
two leaves moved like a semaphore.
the stem grew thick. the nervous roots
reached to each side; the graceful head
changed its position mysteriously,
since there was neither sun nor moon
to catch its young attention.
the rooted heart began to change
(not beat) and then it split apart
and from it broke a flood of water.
two rivers glanced off from the sides,
one to the right, one to the left,
two rushing, half-clear streams,
(the ribs made of them two cascades)
which assuredly, smooth as glass,
went off through the fine black grains of earth.
the weed was almost swept away;
it struggled with its leaves,
lifting them fringed with heavy drops.
a few drops fell upon my face
and in my eyes, so i could see
(or, in that black place, thought i saw)
that each drop contained a light,
a small, illuminated scene;
the weed-deflected stream was made
itself of racing images.
(as if a river should carry all
the scenes that it had once reflected
shut in its waters, and not floating
on momentary surfaces.)
the weed stood in the severed heart.
what are you doing there? i asked.
it lifted its head all dripping wet
(with my own thoughts?)
and answered then: i grow, it said,
but to divide your heart again.","sonhei que, morta, eu meditava
dentro da cova, ou numa cama
(algum espaço frio e estreito).
no frio coração, se congelara
a ideia final, imensa e clara,
vazia e dura como eu;
e assim ficamos, imóveis,
um ano, um minuto, uma hora.
de súbito, algo mexeu-se,
abalando-me os sentidos,
qual explosão, e abrandou-se
num toque tímido e insistente
no coração, a despertar-me
de um sono desesperado.
olhei. do coração brotara
uma ervinha, e sua cabeça
roçava tenra em meu peito.
(tudo isso era no escuro.)
cresceu um pouco, uma grama;
surgiu uma folha torcida,
depois outra, tremulando,
duas bandeiras de um semáforo.
o caule engrossou. as raízes
se abriam, nervosas; a cabeça
girava misteriosamente,
pois sol nem lua a atraíam.
o coração, com as raízes,
começou a mudar (não bater);
partiu-se ao meio, então,
e dele veio um jorro d’água.
dois rios desceram, um à esquerda,
um à direita, dois cursos
de água rápida e translúcida,
(formando cascatas nas costelas)
lisa como vidro, fluindo
por entre os grãos de terra negra.
a erva foi quase arrastada;
agarrou-se com as folhas, erguendo-as,
orladas de gotas gordas.
caíram-me pingos no rosto,
nos olhos, e vi então
(ou julguei ver, naquele breu)
que em cada gota brilhava
uma cena iluminada;
a água que a erva desviava
era um fluxo de imagens velozes.
(como rio que levasse as cenas
todas nele já refletidas
encerradas n’água, não flutuando
nas superfícies efêmeras.)
perguntei à erva: que fazes
neste coração partido?
ela ergueu a cabeça molhada
(com meus próprios pensamentos?)
e disse: cresço, para partir
teu coração outra vez.",en_XX,pt_XX,"Sonhei que morto, e meditando,
eu deitava sobre uma sepultura, ou cama,
(pelo menos, algum bower frio e apertado).
no coração frio, seu pensamento final
ficou congelado, desenhado imenso e claro,
rígido e inerte enquanto eu estava lá;
e permanecemos inalterados juntos
por um ano, um minuto, uma hora.
de repente houve um movimento,
tão surpreendente, ali, para todos os sentidos
como uma explosão. então caiu
para um arrastar insistente e cauteloso
na região do coração,
me cutucando de um sono desesperado.
ergui minha cabeça. uma pequena erva tímida
havia brotado através do coração e sua
cabeça verde estava acenando sobre o peito.
(tudo isso estava na escuridão.)
ela cresceu uma polegada como uma lâmina de grama;
em seguida, uma folha disparou de seu lado
uma bandeira torcida e ondulante, e então
duas folhas se moviam como um semáforo.
o caule engrossou. as raízes nervosas
alcançaram para cada lado; a cabeça graciosa
mudou de posição misteriosamente,
já que não havia nem sol nem lua
para captar sua jovem atenção.
o coração enraizado começou a mudar
(não bater) e então se partiu
e dele brotou uma enchente de água.
dois rios deslizaram dos lados,
um para a direita, um para a esquerda,
dois torrentes apressadas, meio transparentes,
(os arcos feitos deles duas cascatas)
que seguramente, lisos como vidro,
se foram através dos finos grãos pretos da terra.
a erva quase foi levada embora;
ela lutava com suas folhas,
erguendo-as franjadas com gotas pesadas.
algumas gotas caíram em meu rosto
e em meus olhos, então eu pude ver
(ou, naquele lugar escuro, pensei que vi)
que cada gota continha uma luz,
uma pequena cena iluminada;
o córrego desviado pela erva foi feito
ele mesmo de imagens correndo.
(como se um rio devesse carregar todos
as cenas que ele uma vez refletiu
presas em suas águas, e não flutuando
em superfícies momentâneas.)
a erva estava no coração partido.
o que você está fazendo aqui? perguntei.
ela ergueu sua cabeça toda molhada
(com meus próprios pensamentos?)
e respondeu então: eu cresço, disse,
mas para dividir seu coração novamente.",2.0
"more slowly falling into sight
and showering into stippled faces,
darkening, condensing all his light;
in spite of all the dreaming
squandered upon him with that look,
suffers our uses and abuses,
sinks through the drift of bodies,
sinks through the drift of classes
to evening to the beggar in the park
who, weary, without lamp or book
prepares stupendous studies:
the fiery event
of every day in endless
endless assent.","mais lentamente, aparecem
os rostos sarapintados,
condensam sua luz, e a escurecem;
apesar de tantos sonhos
gastos nela em tal olhar,
atura nosso uso e abuso,
mergulha no fluxo de corpos,
mergulha no fluxo de classes
até chegar ao mendigo exausto
sem livro, sem luz, no lusco-fusco,
imerso em estupendos estudos:
este incandescente evento
de cada dia em constante
constante consentimento.",en_XX,pt_XX,"mais lentamente caindo em vista
e chovendo em rostos pontilhados,
escurecendo, condensando toda sua luz;
apesar de todo o sonho
desperdiçado sobre ele com aquele olhar,
suporta nossos usos e abusos,
afunda através da deriva de corpos,
afunda através da deriva de classes
para a noite para o mendigo no parque
que, cansado, sem lâmpada ou livro
prepara estudos estupendos:
o evento ardente
de cada dia em um interminável
interminável consentimento.",2.0
"i need a virgin mirror
no one’s ever looked at,
that’s never looked back at anyone,
to flash up the spirits’ eyes
and help me recognize them.
the storekeeper offered me
a box of little mirrors,
but each time i picked one up
a neighbor looked over my shoulder
and then that one was spoiled —
spoiled, that is, for anything
but the girls to look at their mouths in,
to examine their teeth and smiles.","preciso de um espelho virgem
um que ninguém nunca olhou,
que nunca olhou pra ninguém,
pra olhar nos olhos dos espíritos
e reconhecer cada um.
na loja me deram uma caixa
cheia de espelhos novos,
mas cada um que eu pegava
alguém trás de mim se mirava
e pronto, estragava o espelho,
que agora só servia mesmo
pra moça ficar se olhando,
vendo os dentes e o sorriso.",en_XX,pt_XX,"Preciso de um espelho virgem
que ninguém tenha olhado,
que nunca tenha olhado para ninguém,
para acender os olhos dos espíritos
e me ajudar a reconhecê-los.
O lojista me ofereceu
uma caixa de pequenos espelhos,
mas sempre que eu pegava um
um vizinho olhava por cima do meu ombro
e então aquele ficava estragado —
estragado, isto é, para qualquer coisa
além das meninas olharem suas bocas,
examinarem seus dentes e sorrisos.",2.0
"because i didn’t know enough.
why didn’t i know enough of something?
greek drama or astronomy? the books
i’d read were full of blanks;
the poems — well, i tried
reciting to my iris-beds,
“they flash upon that inward eye,
which is the bliss...” the bliss of what?
one of the first things that i did
when i got back was look it up.","pois eu sabia muito pouco.
por que eu não entendia bem de alguma coisa?
teatro grego, astronomia? os livros
que eu lera estavam cheios de lacunas;
os poemas — bem que eu tentava
recitar para os meus canteiros de íris.
“seu lume brilha no olho interior
que é a ventura...” a ventura do quê?
uma das primeiras coisas que fiz
quando voltei foi consultar o livro.",en_XX,pt_XX,"porque eu não sabia o suficiente.
por que eu não sabia o suficiente sobre algo?
drama grego ou astronomia? os livros
que eu lia estavam cheios de lacunas;
os poemas - bem, eu tentei
recitar para minhas camas de íris,
""eles brilham naquele olho interior,
que é a felicidade..."" a felicidade de quê?
uma das primeiras coisas que eu fiz
quando voltei foi procurar.",2.0
"weary with toil, i haste me to my bed,
the dear repose for limbs with travel tired;
but then begins a journey in my head
to work my mind, when body’s work’s expir’d:
for then my thoughts — from far where i abide —
intend a zealous pilgrimage to thee,
and keep my drooping eyelids open wide,
looking on darkness which the blind do see:
save that my soul’s imaginary sight
presents thy shadow to my sightless view,
which, like a jewel hung in ghastly night,
makes black night beauteous and her old face new.
lo! thus, by day my limbs, by night my mind,
for thee, and for myself no quiet find.","lanço-me ao leito, exausto da fadiga,
repousa o corpo ao fim da caminhada;
mais eis que a outra jornada a mente obriga
quando é do corpo a obrigação passada.
a ti meu pensamento — na distância —
em santa romaria então me leva,
e fico, as frouxas pálpebras em ânsia,
olhando, como os cegos veem na treva.
e a vista de minh’alma ali desvenda
aos olhos sem visão tua figura,
que igual a joia erguida em noite horrenda,
renova a velha face à noite escura.
ai! que de dia o corpo, à noite a alma,
por tua e minha culpa não têm calma.",en_XX,pt_XX,"Cansado do trabalho, apresso-me para a cama,
O doce repouso para membros cansados de viajar;
Mas então começa uma jornada na minha cabeça
Para trabalhar minha mente, quando o corpo já se esgotou:
Pois então meus pensamentos - de longe onde resido -
Planejam uma peregrinação zelosa até ti,
E mantêm minhas pálpebras caídas bem abertas,
Olhando a escuridão que os cegos veem:
Exceto que a visão imaginária da minha alma
Apresenta tua sombra à minha vista sem visão,
Que, como uma joia pendurada na noite escura,
Torna a noite negra bela e seu rosto antigo novo.
Eis! Assim, de dia meus membros, de noite minha mente,
Por ti, e por mim mesmo, não encontram descanso.",2.0
"set ope all shutters, that the day come in
like a sea or a din!
let not a nook of useless shade compel
thoughts of the night, or tell
the mind's comparing that some things are sad,
for this day all are glad!
'tis morn, 'tis open morn, the full sun is
risen from out the abyss
where last night lay beyond the unseen rim
of the horizon dim.
now is the bride awaking. lo! she starts
to feel the day is home
whose too-near night will put two different hearts
to beat as near as flesh can let them come.
guess how she joys in her feared going, nor opes
her eyes for fear of fearing at her joy.
now is the pained arrival of all hopes.
with the half-thought she scarce knows how to toy.
oh, let her wait a moment or a day
and prepare for the fray
for which her thoughts not ever quite prepare!
with the real day's arrival she's half wroth.
though she wish what she wants, she yet doth stay.
her dreams yet merged are
in the slow verge of sleep, which idly doth
the accurate hope of things remotely mar.","abram-se as janelas e que entre o dia
como um mar de ruído!
nem reste um canto de vã sombra a compelir
pensares noturnos, ou contar
ao cotêjo da mente que há coisas tão tristes
neste dia de tanta alegria.
é manhã, manhã aberta, o pleno sol
ascendeu do abismo
onde à noite estêve além do inviso arco
do horizonte fôsco.
vai despertando a noiva. eis!
começa a sentir que entra o dia
cuja noite tão logo fará dois diferentes corações
bater tão perto quanto a carne o permitir.
pensai quanto se alegra no temido ir-se,
nem abre os olhos de medo de temer a alegria.
já é a vinda dorida de toda a esperança.
com tal pressentir ela nem sabe bem brincar.
oh, deixai que espere um instante, um dia
p'ra dispor-se a esta luta
à qual seu pensar nem sempre se dispôs!
vindo o dia realmente, está quase irada.
se ela anela o que quer, assim mesmo fica.
seus sonhos 'inda imersos são
na tarda margem do sono, que em vão
a precisa espera das coisas vagamente mancha.",en_XX,pt_XX,"Abre todas as persianas, para que o dia entre
como um mar ou um ruído!
Que nenhum canto de sombra inútil force
pensamentos da noite, ou conte
a comparação da mente de que algumas coisas são tristes,
pois neste dia todos estão felizes!
É manhã, é manhã aberta, o sol pleno está
levantando-se do abismo
onde a noite passada jazia além da borda invisível
do horizonte sombrio.
Agora a noiva está despertando. Veja! Ela se surpreende
ao sentir que o dia é o seu lar
onde a noite muito próxima fará com que dois corações diferentes
batam tão perto quanto a carne permite.
Adivinhe como ela se alegra em seu temido partir, nem abre
os olhos com medo de temer sua alegria.
Agora é a chegada dolorosa de todas as esperanças.
Com o pensamento meio confuso, ela mal sabe como brincar.
Oh, deixe-a esperar um momento ou um dia
e preparar-se para a batalha
para a qual seus pensamentos nunca estão totalmente preparados!
Com a chegada do dia real, ela está meio irritada.
Embora deseje o que quer, ela ainda fica.
Seus sonhos ainda se fundem
na lenta margem do sono, que ociosamente
estraga a esperança precisa de coisas remotas.",2.0
"part from the windows the small curtains set
sight more than light to omit!
look on the general fields, how bright they lie
under the broad blue sky,
cloudless, and the beginning of the heat
does the sight half ill-treat!
the bride hath wakened. lo! she feels her shaking
heart better all her waking!
her breasts are with fear's coldness inward clutched
and more felt on her grown,
that will by hands other than hers be touched
and will find lips sucking their budded crown.","separai nas janelas as leves cortinas:
desvelam mais que a luz omitem!
olhai o extenso campo, quão brilhante jaz
sob o amplo céu azul
sem nuvens, e o começo do calor
já faz quase mal à vista!
a noiva está acordando. eis! pressente o palpitar
do coração enquanto acorda!
seus seios são por frio receio contraídos,
mais cientes de no seu desabrochar
que mãos outras que as dela os tocarão
e terão lábios sorvendo as flóreas pontas.",en_XX,pt_XX,"Afastam-se das janelas as pequenas cortinas
Visão mais que luz a omitir!
Olha para os campos gerais, como brilham
Sob o amplo céu azul,
Sem nuvens, e o início do calor
Faz a visão meio maltratada!
A noiva despertou. Veja! Ela sente a sua agitação
Coração melhor em todo o seu despertar!
Seus seios estão apertados pelo frio do medo
E mais sentidos em seu crescimento,
Que serão tocados por mãos que não são as suas
E encontrarão lábios sugando sua coroa florescida.",2.0
