original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"which eye’s his eye?
which limb lies
next the mirror?
for neither is clearer
nor a different color
than the other,
nor meets a stranger
in this arrangement
of leg and leg and
arm and so on.
to his mind
it’s the indication
of a mirrored reflection
somewhere along the line
of what we call the spine.","qual olho é o dele?
qual membro é real
e qual está no espelho?
a cor é igual
à esquerda e à direita,
e ninguém suspeita
que esta ou aquela
perna, ou braço, seja
verdade ou impostura
nessa estranha estrutura.
a seu ver,
isso é prova garantida
de uma imagem refletida
ao longo desta linha
que chamamos de espinha.",en_XX,pt_XX,"Qual olho é seu olho?
Qual membro jaz
próximo ao espelho?
Pois nenhum é mais claro
nem de cor diversa
do que o outro,
nem encontra um estranho
nessa disposição
de perna e perna e
braço e assim por diante.
Para a sua mente
é a indicação
de um reflexo espelhado
em algum ponto
do que chamamos de espinha.",2.0
"he felt in modesty
his person was
half looking-glass,
for why should he
be doubled?
the glass must stretch
down his middle,
or rather down the edge.
but he’s in doubt
as to which side’s in or out
of the mirror.
there’s little margin for error,
but there’s no proof, either.
and if half his head’s reflected,
thought, he thinks, might be affected.","modesto, sentia
que sua pessoa
era metade espelho:
pois duplicar-se seria
um total destrambelho.
o vidro se prolonga
por sua mediana,
ou melhor, sua borda.
mas ele não sabe direito
o que está dentro ou fora
da imagem refletida.
não há muita margem de erro,
mas provar é impossível.
e se meio cérebro é reflexo
seu pensamento terá nexo?",en_XX,pt_XX,"Sentiu em modéstia
que sua pessoa era
meio espelho,
por que ele deveria
estar duplicado?
O vidro deve se estender
por seu meio,
ou melhor, pela borda.
Mas ele está em dúvida
sobre qual lado está dentro ou fora
do espelho.
Há pouco espaço para erro,
mas também não há prova.
E se metade de sua cabeça é refletida,
o pensamento, ele pensa, poderia ser afetado.",2.0
"up the façades,
his shadow dragging like a photographer’s cloth behind him,
he climbs fearfully, thinking that this time he will manage
to push his small head through that round clean opening
and be forced through, as from a tube, in black scrolls on the light.
(man, standing below him, has no such illusions.)
but what the man-moth fears most he must do, although
he fails, of course, and falls back scared but quite unhurt.","sobe as fachadas,
medroso, arrastando como um pano de fotógrafo
sua sombra, e pensa que dessa vez vai conseguir
meter a cabeça naquele furo bem redondo
e sair, como de um tubo, em dobras negras na luz.
(o homem, lá embaixo, não tem tais ilusões.)
porém o homem-mariposa tem de fazer o que mais teme,
e fracassa, é claro: cai, assustado, mas ileso.",en_XX,pt_XX,"pelas fachadas acima,
sua sombra arrastando como pano de fotógrafo atrás dele,
ele sobe temeroso, pensando que desta vez conseguirá
empurrar sua pequena cabeça através daquela abertura redonda e limpa
e ser forçado, como de um tubo, em rolos negros na luz.
(o homem, em pé abaixo dele, não tem tais ilusões.)
mas o que o homem-mariposa mais teme ele deve fazer, embora
fracasse, é claro, e caia de volta assustado mas completamente ileso.",2.0
"if you catch him,
hold up a flashlight to his eye. it’s all dark pupil,
an entire night itself, whose haired horizon tightens
as he stares back, and closes up the eye. then from the lids
one tear, his only possession, like the bee’s sting, slips.
slyly he palms it, and if you’re not paying attention
he’ll swallow it. however, if you watch, he’ll hand it over,
cool as from underground springs and pure enough to drink.","se você o pegar,
aponte uma lanterna para o seu olho. é só pupila,
uma pequena noite, cujo horizonte estreito
se aperta quando ele olha, e fecha-se. então uma só lágrima,
seu único pertence, como o ferrão da abelha, brota.
discreto, ele a colhe e, se você se distrair,
engole. mas se você olhar, ele a entrega,
fresca como água de fonte, potável de tão pura.",en_XX,pt_XX,"Se o capturares,
aponta uma lanterna para o seu olho. É só pupila negra,
uma noite inteira, cujo horizonte cabeludo se estreita
enquanto ele te encara, e fecha o olho. então das pálpebras
uma lágrima, sua única posse, como o ferrão da abelha, escorrega.
Astuciosamente ele a palma, e se não estás atento
ele a engolirá. contudo, se observares, ele a entregará,
fresca como de nascentes subterrâneas e pura o suficiente para beber.",2.0
"more slowly falling into sight
and showering into stippled faces,
darkening, condensing all his light;
in spite of all the dreaming
squandered upon him with that look,
suffers our uses and abuses,
sinks through the drift of bodies,
sinks through the drift of classes
to evening to the beggar in the park
who, weary, without lamp or book
prepares stupendous studies:
the fiery event
of every day in endless
endless assent.","mais lentamente, aparecem
os rostos sarapintados,
condensam sua luz, e a escurecem;
apesar de tantos sonhos
gastos nela em tal olhar,
atura nosso uso e abuso,
mergulha no fluxo de corpos,
mergulha no fluxo de classes
até chegar ao mendigo exausto
sem livro, sem luz, no lusco-fusco,
imerso em estupendos estudos:
este incandescente evento
de cada dia em constante
constante consentimento.",en_XX,pt_XX,"mais devagar se revela a visão
e chove em rostos salpicados,
escurecendo, condensando toda a sua luz;
apesar de todo o sonho
desperdiçado nele com aquele olhar,
suporta nossos usos e abusos,
afunda através do desfile de corpos,
afunda através do desfile de classes
até a noite, até o mendigo no parque
que, cansado, sem lâmpada ou livro,
prepara estudos estupendos:
o evento flamejante
de cada dia em um
infinito consentimento sem fim.",2.0
"i need a virgin mirror
no one’s ever looked at,
that’s never looked back at anyone,
to flash up the spirits’ eyes
and help me recognize them.
the storekeeper offered me
a box of little mirrors,
but each time i picked one up
a neighbor looked over my shoulder
and then that one was spoiled —
spoiled, that is, for anything
but the girls to look at their mouths in,
to examine their teeth and smiles.","preciso de um espelho virgem
um que ninguém nunca olhou,
que nunca olhou pra ninguém,
pra olhar nos olhos dos espíritos
e reconhecer cada um.
na loja me deram uma caixa
cheia de espelhos novos,
mas cada um que eu pegava
alguém trás de mim se mirava
e pronto, estragava o espelho,
que agora só servia mesmo
pra moça ficar se olhando,
vendo os dentes e o sorriso.",en_XX,pt_XX,"Preciso de um espelho virgem,
Que ninguém tenha olhado antes,
Que nunca tenha olhado para trás para ninguém,
Para acender os olhos dos espíritos
E me ajudar a reconhecê-los.
O lojista me ofereceu
Uma caixa de pequenos espelhos,
Mas toda vez que eu pegava um
Um vizinho olhava por cima do meu ombro
E então aquele ficava estragado —
Estragado, isto é, para qualquer coisa
Além das garotas olharem suas bocas,
Examinarem seus dentes e sorrisos.",2.0
"set ope all shutters, that the day come in
like a sea or a din!
let not a nook of useless shade compel
thoughts of the night, or tell
the mind's comparing that some things are sad,
for this day all are glad!
'tis morn, 'tis open morn, the full sun is
risen from out the abyss
where last night lay beyond the unseen rim
of the horizon dim.
now is the bride awaking. lo! she starts
to feel the day is home
whose too-near night will put two different hearts
to beat as near as flesh can let them come.
guess how she joys in her feared going, nor opes
her eyes for fear of fearing at her joy.
now is the pained arrival of all hopes.
with the half-thought she scarce knows how to toy.
oh, let her wait a moment or a day
and prepare for the fray
for which her thoughts not ever quite prepare!
with the real day's arrival she's half wroth.
though she wish what she wants, she yet doth stay.
her dreams yet merged are
in the slow verge of sleep, which idly doth
the accurate hope of things remotely mar.","abram-se as janelas e que entre o dia
como um mar de ruído!
nem reste um canto de vã sombra a compelir
pensares noturnos, ou contar
ao cotêjo da mente que há coisas tão tristes
neste dia de tanta alegria.
é manhã, manhã aberta, o pleno sol
ascendeu do abismo
onde à noite estêve além do inviso arco
do horizonte fôsco.
vai despertando a noiva. eis!
começa a sentir que entra o dia
cuja noite tão logo fará dois diferentes corações
bater tão perto quanto a carne o permitir.
pensai quanto se alegra no temido ir-se,
nem abre os olhos de medo de temer a alegria.
já é a vinda dorida de toda a esperança.
com tal pressentir ela nem sabe bem brincar.
oh, deixai que espere um instante, um dia
p'ra dispor-se a esta luta
à qual seu pensar nem sempre se dispôs!
vindo o dia realmente, está quase irada.
se ela anela o que quer, assim mesmo fica.
seus sonhos 'inda imersos são
na tarda margem do sono, que em vão
a precisa espera das coisas vagamente mancha.",en_XX,pt_XX,"Abre todas as janelas, que o dia entre
como um mar ou um som!
Não permitas que uma sombra inútil envolva
pensamentos da noite, ou revele
a comparação da mente de que algumas coisas são tristes,
pois neste dia todos estão alegres!
É manhã, é manhã aberta, o sol pleno está
levantando-se do abismo
onde a noite passada jazia além da fronteira invisível
do horizonte sombrio.
Agora a noiva está despertando. Veja! Ela se agita
ao sentir que o dia é lar
cuja noite muito próxima colocará dois corações diferentes
a bater tão perto quanto a carne pode deixá-los chegar.
Adivinhe como ela se alegra em seu temido partir, nem abre
os olhos por medo de temer sua alegria.
Agora é a chegada dolorosa de todas as esperanças.
Com o pensamento meio-formado, mal sabe como brincar.
Oh, deixe que ela espere um momento ou um dia
e se prepare para a batalha
para a qual seus pensamentos nunca se preparam completamente!
Com a chegada do verdadeiro dia, ela está meio irada.
Embora deseje o que quer, ainda assim permanece.
Seus sonhos ainda se mesclam
na lenta fronteira do sono, que ociosamente
a esperança precisa das coisas distantes marcar.",2.0
"part from the windows the small curtains set
sight more than light to omit!
look on the general fields, how bright they lie
under the broad blue sky,
cloudless, and the beginning of the heat
does the sight half ill-treat!
the bride hath wakened. lo! she feels her shaking
heart better all her waking!
her breasts are with fear's coldness inward clutched
and more felt on her grown,
that will by hands other than hers be touched
and will find lips sucking their budded crown.","separai nas janelas as leves cortinas:
desvelam mais que a luz omitem!
olhai o extenso campo, quão brilhante jaz
sob o amplo céu azul
sem nuvens, e o começo do calor
já faz quase mal à vista!
a noiva está acordando. eis! pressente o palpitar
do coração enquanto acorda!
seus seios são por frio receio contraídos,
mais cientes de no seu desabrochar
que mãos outras que as dela os tocarão
e terão lábios sorvendo as flóreas pontas.",en_XX,pt_XX,"Partindo das janelas, os pequenos cortinados
Visão mais que luz para omitir!
Olha os campos gerais, como brilham
Sob o amplo céu azul,
Sem nuvens, e o início do calor
A vista quase maltrata!
A noiva despertou. Eis que ela sente seu tremor
Coração melhor em todo seu despertar!
Seus seios estão com o frio do medo agarrados por dentro
E mais sentidos em seu crescimento,
Que serão tocados por mãos que não as suas
E encontrarão lábios sugando sua coroa florescente.",2.0
"lo! the thought of the bridegroom's hands already
feels her about where even her hands are shy,
and her thoughts shrink till they become unready
she gathers up her body and still doth lie.
she vaguely lets her eyes feel opening.
in a fringed mist each thing
looms, and the present day is truly clear
but to her sense of fear.
like a hue, light lies on her lidded sight,
and she half hates the inevitable light.","eis! já as maõs-imagens do noivo sente
tocar mesmo onde as dela se acanham,
e seu pensar se encolhe até a indistinção.
ela soergue o corpo, deita-se contudo.
vagamente deixa os olhos sentir-se abrindo.
em franjada névoa cada coisa
imerge, e o presente dia é mesmo claro
menos ao seu senso-receio.
qual matiz, luz lhe jaz sobre pálpebras,
e quase odeia a inevitável luz.",en_XX,pt_XX,"Eis! o pensamento das mãos do noivo já
a envolve onde até suas mãos são recatadas,
e seus pensamentos encolhem até se tornarem despreparados
ela reúne seu corpo e ainda permanece deitada.
ela vagamente deixa seus olhos sentirem abrindo.
numa névoa franjada cada coisa
aparece, e o dia presente é verdadeiramente claro
mas para seu senso de medo.
como um matiz, a luz repousa em sua visão cerrada,
e ela meio odeia a luz inevitável.",2.0
"open the windows and the doors all wide
lest aught of night abide
or, like a ship's trail in the sea, survive
what made it there to live!
she lies in bed half waiting that her wish
grow bolder or more rich
to make her rise, or poorer, to oust fear,
and she rise as a common day were here.
that she would be a bride in bed with man
the parts where she is woman do insist
and send up messages that shame doth ban
from being dreamed but in a shapeless mist.","abram janelas e as portas de todo.
que nada da noite fique,
ou, qual rasto de barco no mar, resista
ao que a fez viver ali!
no leito fica, como à espera que o desejo
cresça mais, audaz e fértil
para erguê-la, ou tão tênue que expulse o medo,
e ela se erga como se comum fôsse o dia.
que se tornaria noiva na cama com homem
suas partes de mulher insistem
e mandam acima mensagens que o pudor proíbe
serem sonhadas salvo em vaga névoa.",en_XX,pt_XX,"Abra as janelas e portas, bem abertas, sim
que nada da noite fique assim
ou, como rastro de navio no mar, persista
o que fez ali existir, resista!
Ela deitada, meio à espera, de seu desejo
se tornar audaz, desperto e inteiro
para fazê-la levantar, ou mais pobre, para expulsar o medo,
e ela desperta como se fosse um dia comum, cedo.
Que ela fosse no leito uma noiva com homem
as partes onde ela é mulher insistem
e enviam mensagens que a vergonha condena
de serem sonhadas além de uma névoa inexistente.",2.0
