original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"each screaming
“get up! stop dreaming!”
roosters, what are you projecting?
you, whom the greeks elected
to shoot at on a post, who struggled
when sacrificed, you whom they labeled
“very combative...”
what right have you to give
commands and tell us how to live,
cry “here!” and “here!”
and wake us here where are
unwanted love, conceit and war?
the crown of red
set on your little head
is charged with all your fighting blood.
yes, that excrescence
makes a most virile presence,
plus all that vulgar beauty of iridescence.
now in mid-air
by twos they fight each other.
down comes a first flame-feather,
and one is flying,
with raging heroism defying
even the sensation of dying.","sempre gritando:
“chega de sonhos! todos levantando!”
galos, o que vocês estão projetando?
na antiguidade
vocês já combatiam à saciedade
quando ofertados a alguma divindade,
e eram tidos
por “muito aguerridos...”
com que direito agridem nossos ouvidos
com ordens feras
e nos despertam nesta terra
de amor malquisto, arrogância e guerra?
a coroa feia
na cabecinha altaneira
é vermelha de sangue de guerreiro.
essa excrescência
soma-se à viril eloquência
da beleza vulgar da iridescência.
em pleno ar,
aos pares, começam a se atracar.
e a primeira pena começa a voar.
um, moribundo,
ainda briga, furibundo,
disposto a enfrentar sozinho o mundo.",en_XX,pt_XX,"Cada galo cacareja
""Levanta! Acorda da soneca!""
Galo, o que está a projetar?
Tu, que os gregos elegeram
para alvo em um poste, que lutavas
quando sacrificado, que rotularam
""muito combativo...""
Que direito tens de dar
ordens e dizer-nos como viver,
gritar ""aqui!"" e ""aqui!""
e nos acordar aqui onde estão
amores indesejados, arrogância e guerra?
A coroa vermelha
sobre tua cabecinha
carrega todo teu sangue de luta.
Sim, tal excrescência
confere presença viril intensa,
além de toda beleza vulgar de iridescência.
Agora no ar
lutam dois a dois.
Desce uma primeira pena flamejante,
e um voa,
com heroísmo furioso desafiando
até mesmo a sensação de morrer.",1
"when i consider every thing that grows
holds in perfection but a little moment,
that this huge stage presenteth nought but shows
whereon the stars in secret influence comment;
when i perceive that men as plants increase,
cheered and check’d e’en by the self-same sky,
vaunt in their youthful sap, at height decrease,
and wear their brave state out of memory;
then the conceit of this inconstant stay
sets you most rich in youth before my sight,
where wasteful time debateth with decay,
to change your day of youth to sullied night;
and, all in war with time for love of you,
as he takes from you, i engraft you new.","quando observo que tudo quanto cresce
desfruta a perfeição de um só momento,
que neste palco imenso se obedece
à secreta influição do firmamento;
quando percebo que ao homem, como à planta,
esmaga o mesmo céu que lhe deu glória,
que se ergue em seiva e, no ápice, aquebranta
e um dia enfim se apaga da memória:
esse conceito da inconstante sina
mais jovem faz-te ao meu olhar agora,
quando o tempo se alia com a ruína
para tornar em noite a tua aurora.
e crua guerra contra o tempo enfrento,
pois tudo que te toma eu te acrescento.",en_XX,pt_XX,"Quando considero tudo o que cresce,
Permanece em perfeição por um breve momento,
Que este imenso palco apresenta apenas shows
Sobre os quais as estrelas em influência secreta comentam;
Quando percebo que homens como plantas se multiplicam,
Animados e limitados pelo mesmo céu,
Se orgulham de sua seiva jovem, ao atingir o auge diminuem,
E usam seu estado valente fora da memória;
Então, a noção desta estadia inconstante
Te coloca mais rica em juventude diante dos meus olhos,
Onde o tempo perdulário debate com a decadência,
Para transformar seu dia de juventude em noite manchada;
E, em guerra contra o tempo por amor a você,
Enquanto ele te tira, eu te enxerto de novo.",1
"my glass shall not persuade me i am old,
so long as youth and thou are of one date;
but when in thee time’s furrows i behold,
then look i death my days should expiate.
for all that beauty that doth cover thee
is but the seemly raiment of my heart,
which in thy breast doth live, as thine in me:
how can i then, be elder than thou art?
o! therefore, love, be of thyself so wary
as i, not for myself, but for thee will;
bearing thy heart, which i will keep so chary
as tender nurse her babe from faring ill.
presume not on thy heart when mine is slain;
thou gav’st me thine, not to give back again.","o espelho não me prova que envelheço
enquanto andares par com a mocidade;
mas se de rugas vir teu rosto impresso,
já sei que a morte a minha vida invade.
pois toda essa beleza que te veste
vem de meu coração, que é teu espelho;
o meu vive em teu peito, e o teu me deste:
por isso como posso ser mais velho?
portanto, amor, tenhas de ti cuidado
que eu, não por mim, antes por ti, terei;
levar teu coração, tão desvelado
qual ama guarda o doce infante, eu hei.
e nem penses em volta, morto o meu,
pois para sempre é que me deste o teu.",en_XX,pt_XX,"Meu espelho não há de me convencer de estar velho,
enquanto juventude e tu estiverdes em sintonia;
mas quando em ti as rugas do tempo vejo,
então encaro a morte a expiar meus dias.
Pois toda a beleza que te cobre
é apenas a traje aprazível do meu coração,
que em teu peito vive, assim como o teu em mim:
como então poderia ser mais velho do que és?
Oh! Por isso, amor, cuida de ti mesmo
como eu, não por mim, mas por ti farei;
guardando teu coração, que zelarei tão amoroso
como uma terna mãe protege seu filho de sofrer mal.
Não presumas de teu coração quando o meu estiver desfeito;
tu me deste o teu, não para devolveres.",1
"as an unperfect actor on the stage,
who with his fear is put besides his part,
or some fierce thing replete with too much rage,
whose strength’s abundance weakens his own heart;
so i, for fear of trust, forget to say
the perfect ceremony of love’s rite,
and in mine own love’s strength seem to decay,
o’ercharg’d with burden of mine own love’s might.
o! let my books be then the eloquence
and dumb presagers of my speaking breast,
who plead for love, and look for recompense,
more than that tongue that more hath more express’d.
o! learn to read what silent love hath writ:
to hear with eyes belongs to love’s fine wit.","como imperfeito ator que em meio à cena
o seu papel na indecisão recita,
ou como o ser violento em fúria plena
a que o excesso de forças debilita;
também eu, sem confiança em mim, me esqueço
no amor de os ritos próprios recitar,
e na força com que amo me enfraqueço
rendido ao peso do poder de amar.
oh! sejam pois meus livros a eloquência,
áugures mudos do expressivo peito,
que amor implorem, peçam recompensa,
mais do que a voz que muito mais tem feito.
saibas ler o que o mudo amor escreve,
que o fino amor ouvir com os olhos deve.",en_XX,pt_XX,"como um ator imperfeito no palco,
que com seu medo é posto além de seu papel,
ou algo feroz repleto de muita raiva,
cuja abundância de força enfraquece seu próprio coração;
assim eu, por medo de confiar, esqueço de dizer
a cerimônia perfeita do rito do amor,
e na força do meu próprio amor pareço definhar,
sobrecarregado pelo peso do próprio poder do meu amor.
ó! que meus livros sejam então a eloquência
e prenúncios mudos do meu peito falante,
que pleiteiam por amor, e esperam recompensa,
mais do que aquela língua que mais expressou.
ó! aprenda a ler o que o amor silencioso escreveu:
ouvir com os olhos pertence ao engenho fino do amor.",1
"take all my loves, my love, yea, take them all;
what hast thou then more than thou hadst before?
no love, my love, that thou mayst true love call;
all mine was thine before thou hadst this more
then, if for my love thou my love receivest,
i cannot blame thee for my love thou usest;
but yet be blam’d, if thou thyself deceivest
by wilful taste of what thyself refusest.
i do forgive thy robbery, gentle thief,
although thou steal thee all my poverty;
and yet, love knows it is a greater grief
to bear love’s wrong than hate’s known injury.
lascivious grace, in whom all ill well shows,
kill me with spites; yet we must not be foes.","leva-me, amor, todos os meus amores:
que tens agora a mais que não te déssemos?
nenhum sincero amor, amor, que apores
ao quanto era já teu sem tais acréscimos.
e se é por meu amor que o amor me raptas,
não te posso culpar se dele abusas;
todavia te culpo se te adaptas
só por capricho ao que em geral recusas.
gentil ladrão, eu te perdoo a ofensa,
pois roubaste de ti minha penúria,
que sempre soube o amor ser dor mais densa
sofrer seus erros que do ódio a injúria.
lasciva graça, que faz bem do mal;
morro de teu desdém, não teu rival.",en_XX,pt_XX,"Leva todos os meus amores, meu amor, leva-os todos;
o que então tens mais do que tinhas antes?
Nenhum amor, meu amor, que possas chamar de verdadeiro amor;
todo o meu era teu antes de teres este mais
então, se recebes meu amor por meu amor,
não posso culpar-te por usares meu amor;
mas, contudo, serás culpado se a ti mesmo enganares
ao provar deliberadamente o que a ti mesmo recusas.
Eu perdoo teu roubo, gentil ladrão,
embora tires de mim toda a minha pobreza;
e ainda assim, o amor sabe que é uma dor maior
suportar a injustiça do amor do que o dano conhecido do ódio.
graça lasciva, em quem todo mal se mostra bem,
mata-me com despeitos; ainda assim não devemos ser inimigos.",1
"mine eye and heart are at a mortal war,
how to divide the conquest of thy sight;
mine eye my heart thy picture’s sight would bar,
my heart mine eye the freedom of that right.
my heart doth plead that thou in him dost lie,—
a closet never pierc’d with crystal eyes,—
but the defendant doth that plea deny,
and says in him thy fair appearance lies.
to ‘cide this title is impannelled
a quest of thoughts, all tenants to the heart;
and by their verdict is determined
the clear eye’s moiety and the dear heart’s part:
as thus; mine eye’s due is thine outward part,
and my heart’s right thine inward love of heart.","o olhar e o coração em mortal guerra
estão para a conquista de tua imagem;
o olhar, ao coração a vista emperra,
o coração faz ao olhar barragem.
meu coração quer ver-te nele preso —
abrigo impenetrável a qualquer vista —
porém o contendor se diz surpreso
e quer que nele é que teu vulto exista.
convocam-se a julgar o meu conflito
pensamentos leais ao coração,
que determinam como veredito
que cada qual terá sua porção:
assim, ao meu olhar o exterior
e ao coração internamente o amor.",en_XX,pt_XX,"Meu olhar e coração travam guerra mortal,
como dividir a conquista de tua visão;
meu olhar quer proibir a imagem de teu portal,
meu coração quer a liberdade dessa afeição.

Meu coração argumenta que em si tu repousas,—
um esconderijo nunca visto por olhos de cristal,—
mas o réu nega essa acusação amorosa,
e diz que em si reside tua beleza especial.

Para decidir este caso é convocada
uma corte de pensamentos, todos inquilinos do coração;
e por seu veredito é determinada
a parcela clara do olho e a parte querida do coração:

Assim; a parte de meu olhar é tua exterioridade,
e o direito de meu coração é tua amorosidade.",1
"not marble, nor the gilded monuments
of princes, shall outlive this powerful rime;
but you shall shine more bright in these contents
than unswept stone, besmear’d with sluttish time.
when wasteful war shall statues overturn,
and broils root out the work of masonry,
nor mars his sword nor war’s quick fire shall burn
the living record of your memory.
‘gainst death and all-oblivious enmity
shall you pace forth; your praise shall still find room
even in the eyes of all posterity
that wear this world out to the ending doom.
so, till the judgment that yourself arise,
you live in this, and dwell in lovers’ eyes.","nem mármore, nem áureos monumentos
de reis hão de durar mais que esta rima,
e sempre hás de brilhar nestes acentos
do que na pedra, pois o tempo a lima.
pode a estátua na guerra ser tombada
e a cantaria o vil motim destrua;
nem fogo ou marte apagará com a espada
vivo registro da memória tua.
há de seguir teu passo sobranceiro
vencendo a morte e as legiões do olvido,
e os pósteros, no juízo derradeiro,
hão de a este louvor prestar ouvido.
pois até a sentença que levantes,
vives aqui e no lábio dos amantes.",en_XX,pt_XX,"Nem mármore, nem monumentos dourados
de príncipes, resistirão a este poderoso poema;
mas tu brilharás mais intensamente nestes versos
do que pedra não varrida, manchada pelo tempo desleixado.
quando a guerra devastadora derrubar estátuas,
e conflitos arrancarem o trabalho de alvenaria,
nem Marte com sua espada, nem o fogo rápido da guerra queimará
o registro vivo da tua memória.
Contra a morte e a inimizade esquecedora
tu avançarás; teu louvor sempre encontrará espaço
até nos olhos de toda a posteridade
que desgastarão este mundo até o fim do destino.
Assim, até o julgamento em que te levantes,
viverás nisto, e habitarás nos olhos dos amantes.",1
"like as the waves make towards the pebbled shore,
so do our minutes hasten to their end;
each changing place with that which goes before,
in sequent toil all forwards do contend.
nativity, once in the main of light,
crawls to maturity, wherewith being crown’d,
crooked eclipses ‘gainst his glory fight,
and time that gave doth now his gift confound.
time doth transfix the flourish set on youth
and delves the parallels in beauty’s brow,
feeds on the rarities of nature’s truth,
and nothing stands but for his scythe to mow:
and yet to times in hope my verse shall stand,
praising thy worth, despite his cruel hand.","quais ondas rumo aos seixos de uma praia,
nossos minutos correm para o fim,
cada qual sucedendo ao que desmaia,
lutando por chegar mais longe enfim.
o nascimento, luminoso instante,
para a maturidade avança herói;
eclipses frustram sua glória adiante
e o tempo que o gerou ora o destrói.
trespassa o tempo o ardor da juventude,
enruga a face da beleza opima;
nutre-se do que é raro em plenitude,
nada lhe escapa à foice que dizima.
mas meus versos esperam no papel,
louvando-te, vencer a mão cruel.",en_XX,pt_XX,"Assim como as ondas rumam para a praia de seixos,
nossos minutos apressam-se para o fim;
cada lugar trocando com o que vai antes,
em sequente esforço todos seguem adiante.
A natividade, outrora no âmago da luz,
rasteja até a maturidade, com coroa ostentada,
e eclipses tortos lutam contra sua glória,
e o tempo que dava agora sua dádiva confunde.
O tempo atravessa o florescer da juventude
e escava paralelos na fronte da beleza,
alimenta-se das raridades da verdade da natureza,
e nada permanece exceto para sua foice ceifar:
e ainda assim para os tempos, em esperança, minha poesia permanecerá,
enaltecendo teu valor, apesar de sua mão cruel.",1
"when i have seen by time’s fell hand defac’d
the rich-proud cost of outworn buried age;
when sometime lofty towers i see down-raz’d,
and brass eternal slave to mortal rage;
when i have seen the hungry ocean gain
advantage on the kingdom of the shore,
and the firm soil win of the watery main,
increasing store with loss, and loss with store;
when i have seen such interchange of state,
or state itself confounded to decay;
ruin has taught me thus to ruminate —
that time will come and take my love away.
this thought is as a death, which cannot choose
but weep to have that which it fears to lose.","ao ver que a mão do tempo desfigura
as pompas de um passado imemorial,
altivas torres a tombar, da altura,
e o bronze eterno escravo à ira mortal;
quando vejo o faminto oceano arcar
vantagem sobre o reino litorâneo
ou vejo a terra firme encher o mar
crescendo ganho em perda e perda em ganho;
quando vejo de estados o alterar
e o próprio estado vir-se a descompor,
a ruína me leva a ruminar
que o tempo há de levar o meu amor.
morte é pensar que só posso escolher
chorar por ter a quem temo perder.",en_XX,pt_XX,"Quando eu vi, pelas mãos cruéis do tempo,
a rica altivez da idade já enterrada;
quando torres altaneiras vi caídas por terra,
e o bronze eterno servil à ira mortal;
quando eu vi o oceano faminto ganhar
vantagem sobre o reino da costa,
e a firme terra ganhar do mar aquoso,
aumentando o tesouro com perda, e a perda com tesouro;
quando eu vi tal troca de estado,
ou o próprio estado confundido na decadência;
a ruína me ensinou a refletir assim —
que o tempo virá e levará meu amor.
Este pensamento é como uma morte, que não pode escolher
senão chorar por ter o que teme perder.",1
"since brass, nor stone, nor earth, nor boundless sea,
but sad mortality o’ersways their power,
how with this rage shall beauty hold a plea,
whose action is no stronger than a flower?
o! how shall summer’s honey breath hold out
against the wrackful siege of battering days,
when rocks impregnable are not so stout,
nor gates of steel so strong, but time decays?
o fearful meditation! where, alack,
shall time’s best jewell from time’s chest lie hid?
or what strong hand can hold his swift foot back?
or who his spoil of beauty can forbid?
o! none, unless this miracle have might,
that in black ink my love may still shine bright.","se ao bronze, à pedra, ao solo, ao mar ingente,
lhes vem a morte o seu poder impor,
como a beleza lhe faria frente
se não possui mais forças que uma flor?
com um hálito de mel pode o verão
vencer o assédio pertinaz dos dias,
quando infensas ao tempo nem serão
as portas de aço e as ínvias penedias?
atroz meditação! como esconder
da arca do tempo a joia preferida?
que mão lhe pode os ágeis pés deter?
quem não lhe sofre o espólio nesta vida?
nada! a não ser que a graça se consinta
de que viva este amor na negra tinta.",en_XX,pt_XX,"Desde o bronze, nem pedra, nem terra, nem vasto mar,
Porém a triste mortalidade domina seu poder,
Como com esta fúria a beleza poderá pleitear,
Cuja ação não é mais forte do que uma flor a florescer?
Oh! Como o doce hálito do verão resistirá
Contra o assédio destrutivo dos dias a bater,
Quando rochas impregnáveis não são tão firmes,
Nem portões de aço tão resistentes, mas o tempo desfaz?
Oh meditação temerosa! Onde, ai de mim,
O melhor tesouro do tempo se esconderá?
Ou que mão forte pode deter seu passo veloz?
Ou quem pode proibir o saque de sua beleza?
Oh! Ninguém, a menos que este milagre tenha poder,
Que em tinta negra meu amor ainda possa brilhar.",1
