original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"we’d rather have the iceberg than the ship,
although it meant the end of travel.
although it stood stock-still like cloudy rock
and all the sea were moving marble.
we’d rather have the iceberg than the ship;
we’d rather own this breathing plain of snow
though the ship’s sails were laid upon the sea
as the snow lies undissolved upon the water.
o solemn, floating field,
are you aware an iceberg takes repose
with you, and when it wakes may pasture on your snows?","o iceberg nos atrai mais que o navio,
mesmo acabando com a viagem.
mesmo pairando imóvel, nuvem pétrea,
e o mar um mármore revolto.
o iceberg nos atrai mais que o navio:
queremos esse chão vivo de neve,
mesmo com as velas do navio tombadas
qual neve indissoluta sobre a água.
ó calmo campo flutuante,
sabes que um iceberg dorme em ti, e em breve
vai despertar e talvez pastar na tua neve?",en_XX,pt_XX,"preferimos ter o iceberg do que o navio,
embora isso significasse o fim da viagem.
embora ele estivesse parado como uma rocha nublada
e todo o mar fosse mármore em movimento.
preferimos ter o iceberg do que o navio;
preferimos possuir esta planície de neve que respira
embora as velas do navio estivessem colocadas sobre o mar
como a neve permanece não dissolvida sobre a água.
ó campo solene e flutuante,
você sabe que um iceberg repousa
com você, e quando ele acorda pode pastar em suas neves?",0
"remembering the strait of belle isle or
some northerly harbor of labrador,
before he became a schoolteacher
a great-uncle painted a big picture.
receding for miles on either side
into a flushed, still sky
are overhanging pale blue cliffs
hundreds of feet high,
their bases fretted by little arches,
the entrances to caves
running in along the level of a bay
masked by perfect waves.
on the middle of that quiet floor
sits a fleet of small black ships,
square-rigged, sails furled, motionless,
their spars like burnt match-sticks.","lembrando o estreito de belle isle, talvez,
ou algum porto em labrador,
antes de virar professor,
meu tio-avô pintou um quadro, uma vez.
dos dois lados, tendo ao fundo
um céu imóvel e rubicundo,
estendem-se barrancos azul-pálido
com uma altura respeitável,
em cuja base há arcos pequenos
que são grutas naturais
ao nível de uma baía onde as ondas
são exatamente iguais.
nesse assoalho tranquilo
barquinhos negros estão ancorados,
com velas redondas, e mastros
que lembram fósforos queimados.",en_XX,pt_XX,"lembrando do estreito de belle isle ou
algum porto ao norte de labrador,
antes de se tornar professor
um tio-avô pintou um grande quadro.
recuando por quilômetros de cada lado
em um céu ruborizado e parado
estão pendurados penhascos azul-claros
com centenas de pés de altura,
suas bases frisadas por pequenos arcos,
as entradas para cavernas
correndo ao longo do nível de uma baía
mascaradas por ondas perfeitas.
no meio daquele chão tranquilo
fica uma frota de pequenos navios pretos,
de velas quadradas, velas enroladas, imóveis,
seus mastros como fósforos queimados.",0
"and high above them, over the tall cliffs’
semi-translucent ranks,
are scribbled hundreds of fine black birds
hanging in n’s in banks.
one can hear their crying, crying,
the only sound there is
except for occasional sighing
as a large aquatic animal breathes.
in the pink light
the small red sun goes rolling, rolling,
round and round and round at the same height
in perpetual sunset, comprehensive, consoling,
while the ships consider it.
apparently they have reached their destination.
it would be hard to say what brought them there,
commerce or contemplation.","lá no alto, acima dos barrancos
diáfanos e solenes,
centenas de gaivotas garatujam-se,
formando fileiras de enes.
elas pipilam, pipilam,
um som triste, mas simpático,
tendo por contraponto o suspiro
de algum mamífero aquático.
na luz rósea
um solzinho vermelho rola, rola,
dá voltas e voltas, na mesma altura,
num crepúsculo eterno, e consola,
enquanto o perscrutam os navios.
chegaram ao porto, pelo visto. mas não
se sabe o que os trouxe até ali,
se comércio ou contemplação.",en_XX,pt_XX,"e bem acima deles, sobre as fileiras semitranslúcidas dos altos penhascos,
estão rabiscadas centenas de belos pássaros pretos
pendurados em n's em bancos.
pode-se ouvir seus gritos, gritos,
o único som que há
exceto por suspiros ocasionais
enquanto um grande animal aquático respira.
na luz rosa
o pequeno sol vermelho vai rolando, rolando,
girando e girando e girando na mesma altura
em perpétuo pôr do sol, abrangente, consolador,
enquanto os navios o consideram.
aparentemente eles chegaram ao seu destino.
seria difícil dizer o que os trouxe lá,
comércio ou contemplação.",0
"then he returns
to the pale subways of cement he calls his home. he flits,
he flutters, and cannot get aboard the silent trains
fast enough to suit him. the doors close swiftly.
the man-moth always seats himself facing the wrong way
and the train starts at once at its full, terrible speed,
without a shift in gears or a gradation of any sort.
he cannot tell the rate at which he travels backwards.","então retorna
aos túneis subterrâneos onde mora. saltita,
hesita, e sempre entra no vagão menos depressa
do que pretende. as portas fecham rápido.
ele se senta sempre de frente para o lado errado
e o trem sai a toda, com uma pressa terrível,
sem trocar marcha, sem transição alguma. ele não sabe
a que velocidade está indo para trás.",en_XX,pt_XX,"então ele retorna
aos metrôs pálidos de cimento que ele chama de lar. ele voa,
ele esvoaça, e não consegue embarcar nos trens silenciosos
rápido o suficiente para ele. as portas se fecham rapidamente.
o homem-mariposa sempre se senta de frente para o lado errado
e o trem parte imediatamente em sua velocidade máxima e terrível,
sem uma troca de marchas ou uma gradação de qualquer tipo.
ele não consegue dizer a velocidade em que viaja para trás.",0
"each night he must
be carried through artificial tunnels and dream recurrent dreams.
just as the ties recur beneath his train, these underlie
his rushing brain. he does not dare look out the window,
for the third rail, the unbroken draught of poison,
runs there beside him. he regards it as a disease
he has inherited the susceptibility to. he has to keep
his hands in his pockets, as others must wear mufflers.","toda noite ele é levado
por túneis artificiais, e sonha sonhos recorrentes
que lhe passam sob o sono como os dormentes
sob o trem. não ousa olhar pela janela, para não ver
o terceiro trilho, frasco intato de veneno,
a seu lado, como um mal a que ele é suscetível
por hereditariedade. tem de andar sempre
com as mãos nos bolsos, como quem usa um cachecol.",en_XX,pt_XX,"toda noite ele deve
ser carregado por túneis artificiais e sonhar sonhos recorrentes.
assim como os laços se repetem sob seu trem, estes estão por trás
de seu cérebro apressado. ele não ousa olhar pela janela,
pois o terceiro trilho, o gole ininterrupto de veneno,
corre ali ao lado dele. ele considera isso uma doença
à qual herdou a suscetibilidade. ele tem que manter
suas mãos nos bolsos, como outros devem usar cachecóis.",0
"earliest morning, switching all the tracks
that cross the sky from cinder star to star,
coupling the ends of streets
to trains of light,
now draw us into daylight in our beds;
and clear away what presses on the brain:
put out the neon shapes
that float and swell and glare
down the gray avenue between the eyes
in pinks and yellows, letters and twitching signs.
hang-over moons, wane, wane!
from the window i see
an immense city, carefully revealed,
made delicate by over-workmanship,
detail upon detail,
cornice upon façade
reaching so languidly up into
a weak white sky, it seems to waver there.
(where it has slowly grown
in skies of water-glass
from fused beads of iron and copper crystals,
the little chemical garden in a jar
trembles and stands again,
pale blue, blue-green, and brick.)","a madrugada, desviando todos os trilhos
que riscam o céu das brasas às estrelas,
ligando os fins das ruas
a trilhas luminosas,
traz a luz do dia a nossas camas;
e leva embora o que nos pesa na mente:
apaga as formas de néon
que pairam e pulsam e doem
pela avenida cinzenta entre os olhos
em rosa e amarelo, letras a latejar.
ó luas de ressaca, minguai,
minguai! da janela vejo
uma cidade imensa, revelada com cuidado,
delicada por excesso de desvelo,
detalhe por detalhe,
cornija por fachada
a se estender, toda lânguida, até
um céu branco e débil, e nele hesitar.
(onde cresceu bem lenta
em céus de copo d’água
de contas de ferro e cristais de cobre
fundidos, “jardinzinho” químico num pote
tremendo um pouco, azul--claro, verde-azulado, brique.)",en_XX,pt_XX,"de manhã cedo, trocando todos os trilhos
que cruzam o céu de estrela de cinzas para estrela,
acoplando as pontas das ruas
a trens de luz,
agora nos atraem para a luz do dia em nossas camas;
e limpam o que pressiona o cérebro:
apagam as formas de neon
que flutuam e incham e brilham
pela avenida cinza entre os olhos
em rosas e amarelos, letras e sinais trêmulos.
luas de ressaca, minguantes, minguantes!
da janela eu vejo
uma cidade imensa, cuidadosamente revelada,
tornada delicada pelo excesso de trabalho,
detalhe após detalhe,
cornija sobre fachada
alcançando tão languidamente para cima em
um céu branco fraco, parece vacilar ali.
(onde cresceu lentamente
em céus de vidro d'água
de contas fundidas de cristais de ferro e cobre,
o pequeno jardim químico em uma jarra
treme e se levanta novamente,
azul-claro, verde-azulado e tijolo.)",0
"the sparrows hurriedly begin their play.
then, in the west, “boom!” and a cloud of smoke.
“boom!” and the exploding ball
of blossom blooms again.
(and all the employees who work in plants
where such a sound says “danger,” or once said “death,”
turn in their sleep and feel
the short hairs bristling
on backs of necks.) the cloud of smoke moves off.
a shirt is taken off a threadlike clothes-line.
along the street below
the water-wagon comes
throwing its hissing, snowy fan across
peelings and newspapers. the water dries
light-dry, dark-wet, the pattern
of the cool watermelon.
i hear the day-springs of the morning strike
from stony walls and halls and iron beds,
scattered or grouped cascades,
alarms for the expected:
queer cupids of all persons getting up,
whose evening meal they will prepare all day,
you will dine well
on his heart, on his, and his,
so send them about your business affectionately,
dragging in the streets their unique loves.
scourge them with roses only,
be light as helium,
for always to one, or several, morning comes,
whose head has fallen over the edge of his bed,
whose face is turned
so that the image of
the city grows down into his open eyes
inverted and distorted. no. i mean
distorted and revealed,
if he sees it at all.","pardais apressados começam o espetáculo.
então, do oeste, um “bum!” e uma nuvem de fumaça.
“bum!” e a bola de flor
explode em fogo outra vez.
(e os operários de fábricas para quem
este som diz “perigo”, e outrora “morte”,
se viram na cama e sentem
eriçar-se os cabelos
da nuca.) a nuvem de fumaça se afasta.
de um fio de varal tira-se uma camisa.
pela rua passa
o caminhão d’água
lançando um leque alvo e sibilante
sobre jornais e cascas. onde seca
é claro, o molhado é escuro,
como na fresca melancia.
ouço as molas da manhã soando
em muros, corredores, camas de ferro,
soltas ou em arpejos,
alarmes esperados:
levantam-se os cupidos improváveis
de quem vai preparar-lhes o jantar,
vocês vão alimentar-se
do coração dele, e dele,
assim, despachem com afeto esses que saem
arrastando pela rua seus amores singulares.
neles só batam com rosas,
sejam leves como o hélio,
pois o dia sempre chega a um caído
com a cabeça para fora do colchão,
rosto virado de modo
que a imagem da cidade
surge em seus olhos abertos inversa
e distorcida. não. melhor dizendo:
distorcida e revelada,
se é que ele a vê de fato.",en_XX,pt_XX,"os pardais apressadamente começam sua brincadeira.
então, no oeste, “bum!” e uma nuvem de fumaça.
“bum!” e a bola explosiva
de flores floresce novamente.
(e todos os funcionários que trabalham em fábricas
onde tal som diz “perigo”, ou uma vez disse “morte”,
se viram no sono e sentem
os pelos curtos se arrepiando
na nuca.) a nuvem de fumaça se afasta.
uma camisa é tirada de um varal fino.
ao longo da rua abaixo
o vagão de água vem
jogando seu leque sibilante e nevado sobre
cascas e jornais. a água seca
claro-seco, escuro-molhado, o padrão
da melancia fresca.
ouço os raios do dia da manhã atacarem
de paredes de pedra e corredores e camas de ferro,
cascatas espalhadas ou agrupadas,
alarmes para o esperado:
cupidos estranhos de todas as pessoas se levantando,
cuja refeição noturna eles prepararão o dia todo,
vocês jantarão bem
no coração dele, no dele e dele,
então enviem-nos sobre seus negócios afetuosamente,
arrastando nas ruas seus amores únicos.
os açoitem apenas com rosas,
sejam leves como hélio,
pois sempre para um, ou vários, a manhã chega,
cuja cabeça caiu sobre a beirada de sua cama,
cujo rosto está virado
de modo que a imagem da
cidade cresce em seus olhos abertos
invertida e distorcida. não. quero dizer
distorcida e revelada,
se ele a vê.",0
"at six o’clock we were waiting for coffee,
waiting for coffee and the charitable crumb
that was going to be served from a certain balcony,
— like kings of old, or like a miracle.
it was still dark. one foot of the sun
steadied itself on a long ripple in the river.
the first ferry of the day had just crossed the river.
it was so cold we hoped that the coffee
would be very hot, seeing that the sun
was not going to warm us; and that the crumb
would be a loaf each, buttered, by a miracle.
at seven a man stepped out on the balcony.
he stood for a minute alone on the balcony
looking over our heads toward the river.
a servant handed him the makings of a miracle,
consisting of one lone cup of coffee
and one roll, which he proceeded to crumb,
his head, so to speak, in the clouds — along with the sun.
was the man crazy? what under the sun
was he trying to do, up there on his balcony!
each man received one rather hard crumb,
which some flicked scornfully into the river,
and, in a cup, one drop of the coffee.
some of us stood around, waiting for the miracle.
i can tell what i saw next; it was not a miracle.
a beautiful villa stood in the sun
and from its doors came the smell of hot coffee.
in front, a baroque white plaster balcony
added by birds, who nest along the river,
— i saw it with one eye close to the crumb —
and galleries and marble chambers. my crumb
my mansion, made for me by a miracle,
through ages, by insects, birds, and the river
working the stone. every day, in the sun,
at breakfast time i sit on my balcony
with my feet up, and drink gallons of coffee.
we licked up the crumb and swallowed the coffee.
a window across the river caught the sun
as if the miracle were working, on the wrong balcony.","às seis, estávamos à espera do café,
à espera do café e da caridosa migalha
que seriam servidos de uma certa varanda
— como por reis de outrora, ou por milagre.
ainda estava escuro. um dos pés do sol
se apoiava numa longa ondulação do rio.
a primeira barca do dia já cruzara o rio.
tal era o frio que ansiávamos por café
quentíssimo — pois pelo visto o sol
não ia aquecer-nos — e uma migalha
que fosse um pão para cada um, como um milagre.
às sete um homem apareceu na varanda.
ficou a sós por um minuto na varanda
olhando não para nós, mas para o rio.
um criado deu-lhe material para um milagre,
ou seja, uma única xícara de café
e um pão, que ele reduziu a migalhas,
com a cabeça nas nuvens, tal qual o sol.
seria um louco? parado ali, ao sol,
que estava ele fazendo na varanda?
cada um recebeu uma mísera migalha,
que uns, com desprezo, jogaram no rio,
e, numa xícara, uma gota de café.
alguns de nós ficamos, à espera do milagre.
digo o que vi em seguida: não foi milagre.
era um belo casarão, aberto ao sol,
de onde vinha um cheiro quente de café.
à frente, uma estrutura barroca, uma varanda
de gesso branco, feita pelas aves do rio
— foi o que vi ao olhar de perto a migalha —
galerias e salões de mármore. minha migalha,
uma mansão, feita para mim por milagre,
ao longo dos tempos, pelas aves, pelo rio
a lavrar a pedra. todos os dias, ao sol,
pela manhã, me instalo na varanda,
os pés para cima, e bebo litros de café.
engolimos a migalha e a gota de café.
além-rio, uma janela refletia o sol
como se o milagre fosse em outra varanda.",en_XX,pt_XX,"às seis horas estávamos esperando pelo café,
esperando pelo café e pela migalha caridosa
que seria servida de uma certa sacada,
— como reis de antigamente, ou como um milagre.
ainda estava escuro. um pé do sol
se firmou em uma longa ondulação no rio.
a primeira balsa do dia tinha acabado de cruzar o rio.
estava tão frio que esperávamos que o café
estivesse bem quente, visto que o sol
não iria nos aquecer; e que a migalha
seria um pão cada, amanteigado, por um milagre.
às sete um homem saiu na sacada.
ele ficou por um minuto sozinho na sacada
olhando por cima de nossas cabeças em direção ao rio.
um servo entregou a ele os ingredientes de um milagre,
consistindo em uma única xícara de café
e um pãozinho, que ele começou a esfarelar,
sua cabeça, por assim dizer, nas nuvens — junto com o sol.
o homem estava louco? o que sob o sol
ele estava tentando fazer, lá em cima na sacada!
cada homem recebeu uma migalha bem dura,
que alguns jogaram com desdém no rio,
e, em uma xícara, uma gota de café.
alguns de nós ficaram parados, esperando o milagre.
posso dizer o que vi em seguida; não foi um milagre.
uma bela vila estava ao sol
e de suas portas vinha o cheiro de café quente.
na frente, uma sacada barroca de gesso branco
adicionada por pássaros, que fazem ninhos ao longo do rio,
— eu a vi com um olho perto da migalha —
e galerias e câmaras de mármore. minha migalha
minha mansão, feita para mim por um milagre,
através das eras, por insetos, pássaros e o rio
trabalhando a pedra. todos os dias, ao sol,
na hora do café da manhã eu sento na minha sacada
com os pés para cima e bebo galões de café.
nós lambíamos a migalha e engulíamos o café.
uma janela do outro lado do rio captava o sol
como se o milagre estivesse acontecendo, na sacada errada.",0
"look down into the courtyard. all the houses
are built that way, with ornamental urns
set on the mansard roof-tops where the pigeons
take their walks. it is like introspection
to stare inside, or retrospection,
a star inside a rectangle, a recollection:
this hollow square could easily have been there.
—the childish snow-forts, built in flashier winters,
could have reached these proportions and been houses;
the mighty snow-forts, four, five, stories high,
withstanding spring as sand-forts do the tide,
their walls, their shape, could not dissolve and die,
only be overlapping in a strong chain, turned to stone,
and grayed and yellowed now like these.","veja o pátio lá embaixo. as casas todas
são iguais, com urnas ornamentais
nos telhados de mansarda, onde os pombos
fazem o footing. é como introspecção
olhar lá dentro — ou retrospecção,
estrela em retângulo, uma rememoração:
este quadrado oco bem podia estar ali.
— as fortalezas de neve das crianças
podiam, aumentadas, virar casas
de quatro ou cinco andares, resistindo à primavera
como um forte de areia resiste à maré,
muralhas que em vez de dissolver-se
formassem uma corrente sólida de pedra,
agora amarelada, como estas.",en_XX,pt_XX,"olhe para o pátio. todas as casas
são construídas dessa forma, com urnas ornamentais
colocadas nos telhados de mansarda onde os pombos
fazem suas caminhadas. é como introspecção
olhar para dentro, ou retrospecção,
uma estrela dentro de um retângulo, uma lembrança:
este quadrado oco poderia facilmente ter estado lá.
—os infantis fortes de neve, construídos em invernos mais chamativos,
poderiam ter alcançado essas proporções e sido casas;
os poderosos fortes de neve, quatro, cinco andares de altura,
resistindo à primavera como os fortes de areia resistem à maré,
suas paredes, sua forma, não poderiam se dissolver e morrer,
apenas se sobrepor em uma forte corrente, transformada em pedra,
e acinzentada e amarelada agora como estas.",0
"it is so peaceful on the ceiling!
it is the place de la concorde.
the little crystal chandelier
is off, the fountain is in the dark.
not a soul is in the park.
below, where the wallpaper is peeling,
the jardin des plantes has locked its gates.
those photographs are animals.
the mighty flowers and foliage rustle;
under the leaves the insects tunnel.
we must go under the wallpaper
to meet the insect-gladiator,
to battle with a net and trident,
and leave the fountain and the square.
but oh, that we could sleep up there...","é tão tranquilo aqui no teto!
aqui é a place de la concorde.
o lampadário — o chafariz —
está apagado, escuro, frio.
o parque está vazio.
embaixo, na parede, um rasgo no papel:
o jardin des plantes fechou os portões.
essas fotografias são os bichos.
farfalham flores, folhas e gravetos;
sob as plantas, cavam túneis os insetos.
abandonemos chafariz e praça
e entremos embaixo do papel,
armados de rede e de tridente,
para enfrentar o gladiador-inseto.
mas, quem dera poder dormir no teto...",en_XX,pt_XX,"é tão tranquilo no teto!
é o place de la concorde.
o pequeno lustre de cristal
está desligado, a fonte está no escuro.
não há uma alma no parque.
abaixo, onde o papel de parede está descascando,
o jardin des plantes trancou seus portões.
essas fotografias são animais.
as flores e folhagens poderosas farfalham;
sob as folhas os insetos fazem um túnel.
devemos ir sob o papel de parede
para encontrar o inseto-gladiador,
para lutar com uma rede e um tridente,
e deixar a fonte e a praça.
mas oh, se pudéssemos dormir lá em cima...",0
