original_poem,translated_poem,translated_by_TA,src_lang,tgt_lang,topic
"but he’s resigned
to such economical design.
if the glass slips
he’s in a fix —
only one leg etc. but
while it stays put
he can walk and run
and his hands can clasp one
another. the uncertainty
he says he
finds exhilarating. he loves
that sense of constant re-adjustment.
he wishes to be quoted as saying at present:
“half is enough.”","mas ele aceita sem problema
a parcimônia do esquema.
se o espelho escorregar
vai ser de amargar —
só uma perna etc. mas por ora
está apoiado na escora,
e ele anda e corre e pega a mão
com a outra. a sensação
de incerteza o deixa feliz,
ele diz.
afirma também que gosta
de estar sempre a se reajustar.
no momento, eis o que tem a declarar:
“metade basta.”","- mas ele está resignado
para um design tão econômico.
se o vidro escorregar
ele está em uma correção -
apenas uma perna, etc., mas
enquanto ele permanece colocado
ele pode andar e correr
e suas mãos podem apertar um
Outro. a incerteza
diz que ele
Ele ama o amor.
Essa sensação de constante reajuste.
Ele quer ser citado como dizendo no momento:
“metade é o suficiente”.",en_XX,pt_XX,1.0
"iv / o breath
beneath that loved and celebrated breast;
silent, bored really blindly veined,
grieves, maybe lives and lets
live, passes bets,
something moving but invisibly,
and with what clamor why restrained
i cannot fathom even a ripple.
(see the thin flying of nine black hairs
four around one five the other nipple,
flying almost intolerably on your own breath.)
equivocal, but what we have in common’s bound to be there,
whatever we must own equivalents for,
something that maybe i could bargain with
and make a separate peace beneath
within if never with.","iv / fôlego
sob aquele peito amado e célebre,
calado, no fundo entediado com veias cegas,
sofre, talvez viva e deixe correr
o barco, sem pagar para ver,
algo a mover-se mas invisível,
e com clamor só que contido
nenhum tremor tudo tranquilo.
(vê o voo fino de nove pelos negros
quatro em torno de um cinco do outro mamilo,
voo quase insuportável no vento do teu próprio hálito.)
ambíguo, mas o que temos em comum tem que estar lá,
seja lá o que havemos de ter de equivalente,
algo com que eu talvez possa entrar num acordo
um tratado de paz debaixo
dentro dele já que jamais com ele.","iv / o respiração
abaixo daquele peito amado e celebrado;
em silêncio, entediado realmente cegamente veiado,
A dor, talvez viva e deixe
ao vivo, passa apostas,
algo em movimento, mas invisível,
e com que clamor por que contido
Não consigo imaginar nem uma ondulação.
(veja o voo fino de nove cabelos pretos
quatro em torno de um cinco o outro mamilo,
voando quase intolerável em sua própria respiração.)
equívoco, mas o que temos em comum é obrigado a estar lá,
O que quer que tenhamos de possuir equivalentes para,
Algo que talvez eu pudesse negociar com
e fazer uma paz separada abaixo
dentro, se nunca com.",en_XX,pt_XX,1.0
"from fairest creatures we desire increase,
that thereby beauty’s rose might never die,
but as the riper should by time decease,
his tender heir might bear his memory:
but thou, contracted to thine own bright eyes,
feed’st thy light’s flame with self-substantial fuel,
making a famine where abundance lies,
thyself thy foe, to thy sweet self too cruel.
thou that art now the world’s fresh ornament
and only herald to the gaudy spring,
within thine own bud buriest thy content
and, tender churl, mak’st waste in niggarding.
pity the world, or else this glutton be,
to eat the world’s due, by the grave and thee.","dos seres ímpares ansiamos prole
para que a flor do belo não se extinga,
e se a rosa madura o tempo colhe,
fresco botão sua memória vinga.
mas tu, que só com os olhos teus contrais,
nutres o ardor com as próprias energias
causando fome onde a abundância jaz,
cruel rival, que o próprio ser crucias.
tu, que do mundo és hoje o galardão,
arauto da festiva natureza,
matas o teu prazer inda em botão
e, sovina, esperdiças na avareza.
piedade, senão ides, tu e o fundo
do chão, comer o que é devido ao mundo.","das criaturas mais belas que desejamos aumentar,
Assim, a rosa da beleza pode nunca morrer,
mas como o riper deveria pelo tempo morrer,
Seu terno herdeiro pode suportar sua memória:
mas tu, contraídos aos teus próprios olhos brilhantes,
alimenta a chama da tua luz com combustível auto-substancial,
fazendo uma fome onde a abundância está,
A ti mesmo teu inimigo, a teu doce eu demasiado cruel.
Tu que agora és o ornamento fresco do mundo
e somente anunciam a primavera amena,
dentro do teu próprio botão mais buriest teu conteúdo
e, terno churl, mak'st desperdício em niggarding.
Com pena do mundo, ou então este glutão seja,
comer do mundo devido, pela sepultura e por ti.",en_XX,pt_XX,1.0
"when forty winters shall besiege thy brow,
and dig deep trenches in thy beauty’s field,
thy youth’s proud livery, so gaz’d on now,
will be a tatter’d weed, of small worth held:
then being ask’d where all thy beauty lies,
where all the treasure of thy lusty days,
to say, within thine own deep-sunken eyes,
were an all-eating shame and thriftless praise.
how much more praise deserv’d thy beauty’s use,
if thou couldst answer, ‘this fair child of mine
shall sum my count, and make my old excuse,’
proving his beauty by succession thine!
this were to be new made when thou art old,
and see thy blood warm when thou feel’st it cold.","quando no assédio de quarenta invernos
se cavarem as linhas de teu rosto,
da juventude os teus galões supernos
pobres andrajos se tiverem posto,
se então te perguntarem pelo fausto
de teus dias de glória e de beleza,
dizer que tudo jaz no olhar exausto,
opróbrio fora, encômio sem grandeza.
mais mérito terias nessa usança
se pudesses dizer: “meu filho há-de
saldar-me a dívida, exculpar-me a idade”,
provando que a beleza é tua herança.
fora tornar em novo as coisas velhas
e ver o sangue quente enquanto engelhas.","quando quarenta invernos cercarem a tua fronte,
e cavar trincheiras profundas no campo de tua beleza,
O orgulho da tua juventude, tão gaz'd agora,
será uma erva daninha esfarrapada, de pequeno valor:
sendo então perguntado onde está toda a tua beleza,
onde todo o tesouro dos teus dias luxuriosos,
para dizer, dentro dos teus próprios olhos profundos,
Eram uma vergonha e um elogio inescrupuloso.
quanto mais louvor mereceu o uso de tua beleza,
Se tu pudesses responder: “Este meu filho justo
somará a minha conta, e fará a minha velha desculpa,
Provando a sua beleza por sucessão a tua!
Isto era para ser feito novo quando tu és velho,
E vê o teu sangue quente quando sentes frio.",en_XX,pt_XX,1.0
"not from the stars do i my judgment pluck;
and yet methinks i have astronomy,
but not to tell of good or evil luck,
of plagues, of dearths, or seasons’ quality;
nor can i fortune to brief minutes tell,
pointing to each his thunder, rain, and wind,
or say with princes if it shall go well,
by oft predict that i in heaven find:
but from thine eyes my knowledge i derive,
and, constant stars, in them i read such art
as ‘truth and beauty shall together thrive,
if from thyself to store thou wouldst convert;’
or else of thee this i prognosticate:
‘thy end is truth’s and beauty’s doom and date.’","dos astros não retiro entendimento
embora eu tenha cá de astronomia,
mas não para prever a sorte, o intento
das estações, ou fome, epidemia;
nem sei dizer o que será do instante,
prever a alguém quer chuva, ou vento, ou raio;
se tudo há-de sorrir ao governante
segundo as predições que aos céus extraio.
de teus olhos provêm meus atributos
e, astros constantes, leio ali tal arte:
“que a verdade e a beleza darão frutos
se em ti deixas de tanto reservar-te”;
ou um vaticínio sobre ti revelo:
“teu fim põe termo ao verdadeiro e ao belo.”","- não das estrelas eu faço o meu julgamento arrancar;
E ainda assim eu acho que tenho astronomia,
mas não para falar de sorte boa ou má sorte,
de pragas, de escassez ou de qualidade das estações;
Eu não posso nem a sorte para breves minutos dizer,
a cada um seu trovão, chuva e vento,
ou dizer com os príncipes se vai bem,
s vezes prevejo que eu no céu encontro:
mas dos teus olhos deduzo o meu conhecimento,
e, estrelas constantes, neles eu leio tal arte
“A verdade e a beleza prosperarão juntas,
se de ti mesmo para guardar te converteres,
ou então de ti isto eu prognostico:
“Teu fim é o destino e a data da verdade e da beleza.”",en_XX,pt_XX,1.0
"when i consider every thing that grows
holds in perfection but a little moment,
that this huge stage presenteth nought but shows
whereon the stars in secret influence comment;
when i perceive that men as plants increase,
cheered and check’d e’en by the self-same sky,
vaunt in their youthful sap, at height decrease,
and wear their brave state out of memory;
then the conceit of this inconstant stay
sets you most rich in youth before my sight,
where wasteful time debateth with decay,
to change your day of youth to sullied night;
and, all in war with time for love of you,
as he takes from you, i engraft you new.","quando observo que tudo quanto cresce
desfruta a perfeição de um só momento,
que neste palco imenso se obedece
à secreta influição do firmamento;
quando percebo que ao homem, como à planta,
esmaga o mesmo céu que lhe deu glória,
que se ergue em seiva e, no ápice, aquebranta
e um dia enfim se apaga da memória:
esse conceito da inconstante sina
mais jovem faz-te ao meu olhar agora,
quando o tempo se alia com a ruína
para tornar em noite a tua aurora.
e crua guerra contra o tempo enfrento,
pois tudo que te toma eu te acrescento.","quando considero tudo o que cresce
na perfeição, mas um pequeno momento,
esse enorme palco não apresenta nada, mas mostra
em que as estrelas em comentário de influência secreta;
Quando percebo que os homens como plantas aumentam,
aplaudido e verificado pelo mesmo céu,
em sua seiva juvenil, em diminuição de altura,
e usar o seu estado corajoso fora da memória;
então o conceito desta permanência inconstante
te coloca mais rico de juventude diante da minha vista,
onde o tempo perdido debate com a decadência,
para mudar o seu dia de juventude para noite manchada;
e, tudo em guerra contra o tempo por amor de ti,
como ele tira de você, eu enxerto você novo.",en_XX,pt_XX,1.0
"who will believe my verse in time to come,
if it were fill’d with your most high deserts?
though yet, heaven knows, it is but as a tomb
which hides your life and shows not half your parts.
if i could write the beauty of your eyes
and in fresh numbers number all your graces,
the age to come would say, ‘this poet lies;
such heavenly touches ne’er touch’d earthly faces.’
so should my papers, yellow’d with their age,
be scorn’d, like old men of less truth than tongue,
and your true rights be term’d a poet’s rage
and stretched metre of an antique song:
but were some child of yours alive that time,
you should live twice, — in it and in my rime.","um dia crer nos versos meus quem há-de
se eu neles derramar teus dons mais puros?
no entanto sabe o céu que eles são muros
que a tua vida ocultam por metade.
dissera o que de teu olhar emana,
teus dons em nova métrica medira,
que acharia o porvir então: “mentira!
tais tratos não retratam face humana.”
que mofem pois deste papel fanado
qual de velhos loquazes, e a teu ente
chamem de pura exaltação da mente
e a meu verso exageros do passado.
mas se chegar a tua estirpe a tanto,
em dobro hás-de viver: nela e em meu canto.","que crerão no meu versículo no tempo por vir,
Se fosse preenchido com seus desertos mais altos?
No entanto, o céu sabe, é apenas como um túmulo
que esconde sua vida e não mostra metade de suas partes.
Se eu pudesse escrever a beleza dos seus olhos
e em números frescos numerem todas as vossas graças,
A era por vir diria: “Este poeta mente;
tais toques celestiais ne’er touch’d faces terrenas.
assim deveriam os meus papéis, amarelos com a idade deles,
ser desprezado, como velhos homens de menos verdade do que a língua,
e os seus verdadeiros direitos sejam a ira de um poeta
e um metro esticado de uma canção antiga:
mas se algum de seus filhos estivesse vivo naquele tempo,
Você deve viver duas vezes – nele e no meu rime.",en_XX,pt_XX,1.0
"shall i compare thee to a summer’s day?
thou art more lovely and more temperate:
rough winds do shake the darling buds of may,
and summer’s lease hath all too short a date:
sometime too hot the eye of heaven shines,
and often is his gold complexion dimm’d:
and every fair from fair sometime declines,
by chance, or nature’s changing course untrimm’d;
but thy eternal summer shall not fade,
nor lose possession of that fair thou ow’st,
nor shall death brag thou wander’st in his shade,
when in eternal lines to time thou grow’st;
so long as men can breathe, or eyes can see,
so long lives this, and this gives life to thee.","devo igualar-te a um dia de verão?
mais afável e belo é o teu semblante:
o vento esfolha maio inda em botão,
dura o termo estival um breve instante.
muitas vezes a luz do céu calcina,
mas o áureo tom também perde a clareza:
de seu belo a beleza enfim declina,
ao léu ou pelas leis da natureza.
só teu verão eterno não se acaba
nem a posse de tua formosura;
de impor-te a sombra a morte não se gaba
pois que esta estrofe eterna ao tempo dura.
enquanto houver viventes nesta lida,
há-de viver meu verso e te dar vida.","devo comparar-te a um dia de verão?
És mais amável e mais temperado:
ventos fortes agitam os brotos queridos de maio,
E o contrato de arrendamento de verão tem uma data muito curta:
s vezes muito quente o olho do céu brilha,
e muitas vezes é sua tez de ouro dimm'd:
e todas as justas, em algum momento, declinam,
por acaso, ou curso de mudança da natureza untrimm'd;
mas o teu verão eterno não se desvanecerá,
nem percas a posse daquele belo que tu ow'st,
Nem te gabarás da morte à sua sombra,
quando em linhas eternas de tempo tu cresces;
enquanto os homens podem respirar, ou os olhos podem ver,
por muito tempo vive isso, e isso dá vida a ti.",en_XX,pt_XX,1.0
"devouring time, blunt thou the lion’s paws,
and make the earth devour her own sweet brood;
pluck the keen teeth from the fierce tiger’s jaws,
and burn the long-liv’d phœnix in her blood;
make glad and sorry seasons as thou fleets,
and do whate’er thou wilt, swift-footed time,
to the wide world and all her fading sweets;
but i forbid thee one most heinous crime:
o! carve not with thy hours my love’s fair brow,
nor draw no lines there with thine antique pen;
him in thy course untainted do allow
for beauty’s pattern to succeeding men.
yet, do thy worst, old time: despite thy wrong,
my love shall in my verse ever live young.","tempo voraz, ao leão cegas as garras
e à terra fazes devorar seus genes;
ao tigre as presas hórridas desgarras
e ardes no próprio sangue a eterna fênix.
pelo caminho vão teus pés ligeiros
alegres, tristes estações deixando;
impões-te ao mundo e aos gozos passageiros,
mas proíbo-te um crime mais nefando:
de meu amor não vinques o semblante
nem nele imprimas o teu traço duro.
oh! permite que intacto siga avante
como padrão do belo no futuro.
ou antes, velho tempo, sê perverso:
pois jovem sempre há-de o manter meu verso.","devorando o tempo, embota as patas do leão,
e fazei a terra devorar a sua própria doce criação;
arrancar os dentes afiados das mandíbulas do tigre feroz,
e queimar o há muito vivido fnix em seu sangue;
Faze feliz e triste as estações como frotas,
e faze o que tu queres, tempo de pés velozes,
para o mundo inteiro e todos os seus doces desvanecido;
mas eu te proíbo de um crime mais hediondo:
não esculveis com as tuas horas a testa justa do meu amor,
nem desenhar linhas lá com sua caneta antiga;
em seu curso imaculado permitir
O padrão da beleza para os homens que se sucedem.
Faze, porém, o teu pior, o velho tempo; apesar do teu erro,
Meu amor, em meu verso, sempre viverá jovem.",en_XX,pt_XX,1.0
"my glass shall not persuade me i am old,
so long as youth and thou are of one date;
but when in thee time’s furrows i behold,
then look i death my days should expiate.
for all that beauty that doth cover thee
is but the seemly raiment of my heart,
which in thy breast doth live, as thine in me:
how can i then, be elder than thou art?
o! therefore, love, be of thyself so wary
as i, not for myself, but for thee will;
bearing thy heart, which i will keep so chary
as tender nurse her babe from faring ill.
presume not on thy heart when mine is slain;
thou gav’st me thine, not to give back again.","o espelho não me prova que envelheço
enquanto andares par com a mocidade;
mas se de rugas vir teu rosto impresso,
já sei que a morte a minha vida invade.
pois toda essa beleza que te veste
vem de meu coração, que é teu espelho;
o meu vive em teu peito, e o teu me deste:
por isso como posso ser mais velho?
portanto, amor, tenhas de ti cuidado
que eu, não por mim, antes por ti, terei;
levar teu coração, tão desvelado
qual ama guarda o doce infante, eu hei.
e nem penses em volta, morto o meu,
pois para sempre é que me deste o teu.","Meu copo não me convencerá de que sou velho,
enquanto a mocidade e tu forem de uma só data;
Quando, porém, no tempo de ti, eis que,
Então olhe para a morte que meus dias devem expiar.
por toda aquela beleza que te cobre
mas é a roupa do meu coração,
que no teu peito vive, como o teu em mim;
Então, como posso ser mais velho do que tu?
Portanto, amor, sê de ti mesmo tão cauteloso
como eu, não para mim, mas para ti;
Levando teu coração, que eu vou manter tão chary
como amalgama terna seu bebê de doente faring.
Não presumas no teu coração quando o meu for morto;
Tu me gav'st me teu, para não dar de volta novamente.",en_XX,pt_XX,1.0
